Stat,BR-Via Dei Mille,,,,,  ,
,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
02/01/2014 10.00,"6,0","42,2","148,2","16,8",,,
02/01/2014 11.00,"4,1","40,1","86,4",,,,
02/01/2014 12.00,"3,2","30,6","52,0","22,2",,,
02/01/2014 13.00,"3,3","34,8","63,2",,,,
02/01/2014 14.00,"3,3","23,3","37,6","23,2",,,
02/01/2014 15.00,"3,3","23,7","36,8",,,,
02/01/2014 16.00,"3,3","29,4","49,1","12,7",,,
02/01/2014 17.00,"3,3","29,5","45,8",,,,
02/01/2014 18.00,"3,4","44,0","75,8","10,7",,,
02/01/2014 19.00,"4,3","55,0","104,4",,,,
02/01/2014 20.00,"5,3","65,7","134,7","15,9",,,
02/01/2014 21.00,"3,6","58,4","94,4",,,,
02/01/2014 22.00,"3,9","57,3","102,9","22,7",,,
02/01/2014 23.00,"3,7","52,5","88,4",,,,
03/01/2014 0.00,"3,4","39,5","61,2","28,6",,,
03/01/2014 1.00,"3,1","27,6","38,5",,,,
03/01/2014 2.00,"2,7","24,0","32,2","25,9",,,
03/01/2014 3.00,"2,1","15,9","18,5",,,,
03/01/2014 4.00,"2,0","11,3","12,0","21,2",,,
03/01/2014 5.00,"2,0","14,4","15,4",,,,
03/01/2014 6.00,"3,3","17,4","18,1","16,4",,,
03/01/2014 7.00,"3,0","19,3","21,2",,,,
03/01/2014 8.00,"3,3","36,5","46,3","18,1",,,
03/01/2014 9.00,"5,3","57,8","134,2",,,,
03/01/2014 10.00,"4,1","40,9","82,4","16,4",,,
03/01/2014 11.00,"3,4","44,9","76,5",,,,
03/01/2014 12.00,"4,1","48,2","95,4","27,1",,,
03/01/2014 13.00,"3,9","46,1","94,7",,,,
03/01/2014 14.00,"3,8","50,0","91,5","17,8",,,
03/01/2014 15.00,"3,4","48,8","79,9",,,,
03/01/2014 16.00,"3,4","48,7","79,2","20,5",,,
03/01/2014 17.00,"3,2","40,2","59,0",,,,
03/01/2014 18.00,"3,3","48,2","70,9","22,2",,,
03/01/2014 19.00,"3,6","56,0","95,9",,,,
03/01/2014 20.00,"4,6","63,5","124,8","20,3",,,
03/01/2014 21.00,"3,4","56,5","88,2",,,,
03/01/2014 22.00,"3,3","56,3","87,6","24,9",,,
03/01/2014 23.00,"3,3","51,5","72,6",,,,
04/01/2014 0.00,"3,3","48,1","65,1","35,7",,,
04/01/2014 1.00,,"39,1","54,5",,,,
04/01/2014 2.00,"3,4",,,"40,0",,,
04/01/2014 3.00,"3,1","20,8","30,2",,,,
04/01/2014 4.00,"3,2","28,2","40,4","32,0",,,
04/01/2014 5.00,"2,8","25,4","40,9",,,,
04/01/2014 6.00,"2,5","15,1","23,6","27,6",,,
04/01/2014 7.00,"2,5","17,2","24,6",,,,
04/01/2014 8.00,"2,9","30,2","44,4","23,0",,,
04/01/2014 9.00,"3,5","43,9","77,4",,,,
04/01/2014 10.00,"3,5","38,8","74,5","16,8",,,
04/01/2014 11.00,"3,4","35,1","67,0",,,,
04/01/2014 12.00,"2,7","27,1","41,3","22,0",,,
04/01/2014 13.00,"2,2","22,8","33,9",,,,
04/01/2014 14.00,"2,6","22,0","31,2","16,4",,,
04/01/2014 15.00,"2,2","19,1","27,0",,,,
04/01/2014 16.00,"2,3","14,3","19,2","9,3",,,
04/01/2014 17.00,"1,0","16,5","21,0",,,,
04/01/2014 18.00,"2,1","23,8","29,0","5,9",,,
04/01/2014 19.00,"3,1","34,4","45,2",,,,
04/01/2014 20.00,"2,4","35,3","47,0","6,1",,,
04/01/2014 21.00,"2,4","34,0","49,0",,,,
04/01/2014 22.00,"3,0","35,0","50,3","16,6",,,
04/01/2014 23.00,"3,0","27,3","37,2",,,,
05/01/2014 0.00,"2,4","23,1","30,5","18,6",,,
05/01/2014 1.00,"2,1","17,8","23,1",,,,
05/01/2014 2.00,"2,7","17,3","22,7","23,0",,,
05/01/2014 3.00,"2,5","13,2","16,5",,,,
05/01/2014 4.00,"2,0","9,7","12,1","15,9",,,
05/01/2014 5.00,"2,1","6,8","7,3",,,,
05/01/2014 6.00,"2,2","4,7","4,9","16,8",,,
05/01/2014 7.00,"2,1","6,0","6,9",,,,
05/01/2014 8.00,"2,3","8,7","9,9","11,2",,,
05/01/2014 9.00,"2,1","7,9","9,2",,,,
05/01/2014 10.00,"2,3","7,2","8,6","12,5",,,
05/01/2014 11.00,"3,0","9,0","11,2",,,,
05/01/2014 12.00,"3,3","9,6","12,6","12,2",,,
05/01/2014 13.00,"3,1","11,7","15,5",,,,
05/01/2014 14.00,"3,1","11,2","14,9","14,7",,,
05/01/2014 15.00,"3,3","10,5","12,8",,,,
05/01/2014 16.00,"3,1","6,8","7,9","8,3",,,
05/01/2014 17.00,"3,3","7,5","8,6",,,,
05/01/2014 18.00,"3,2","9,7","11,2","5,9",,,
05/01/2014 19.00,"2,9","12,2","14,4",,,,
05/01/2014 20.00,"2,9","22,4","25,3","13,7",,,
05/01/2014 21.00,"3,0","19,7","21,8",,,,
05/01/2014 22.00,"3,3","38,4","48,5","19,3",,,
05/01/2014 23.00,"3,0","33,4","40,9",,,,
06/01/2014 0.00,"3,1","28,2","36,7","10,7",,,
06/01/2014 1.00,,"28,5","35,0",,,,
06/01/2014 2.00,"3,3",,,"10,7",,,
06/01/2014 3.00,"3,3","16,5","18,7",,,,
06/01/2014 4.00,"3,3","21,8","27,2","6,1",,,
06/01/2014 5.00,"3,1","11,6","12,9",,,,
06/01/2014 6.00,"3,1","7,2","7,7","7,1",,,
06/01/2014 7.00,"3,0","16,8","20,9",,,,
06/01/2014 8.00,"2,5","21,8","25,2","5,9",,,
06/01/2014 9.00,"2,4","25,5","31,0",,,,
06/01/2014 10.00,"3,2","37,3","52,1","9,3",,,
06/01/2014 11.00,"2,8","36,7","49,9",,,,
06/01/2014 12.00,"3,3","29,7","40,8","9,0",,,
06/01/2014 13.00,"2,7","17,3","23,7",,,,
06/01/2014 14.00,"2,7","19,0","29,6","7,6",,,
06/01/2014 15.00,"2,7","12,2","16,7",,,,
06/01/2014 16.00,"2,7","9,9","12,9","4,6",,,
06/01/2014 17.00,"2,1","13,2","18,1",,,,
06/01/2014 18.00,"2,2","15,9","22,1","3,7",,,
06/01/2014 19.00,"2,6","28,6","46,2",,,,
06/01/2014 20.00,"2,3","19,9","27,3","3,7",,,
06/01/2014 21.00,"3,0","35,0","58,3",,,,
06/01/2014 22.00,"3,4","44,9","74,9","10,3",,,
06/01/2014 23.00,"2,5","33,7","49,2",,,,
07/01/2014 0.00,"2,6","35,2","50,6","11,7",,,
07/01/2014 1.00,"2,0","26,2","32,0",,,,
07/01/2014 2.00,"2,1","16,6","20,6","8,8",,,
07/01/2014 3.00,"2,1","10,0","12,5",,,,
07/01/2014 4.00,"2,0","7,0","7,5","6,8",,,
07/01/2014 5.00,"2,0","5,1","5,7",,,,
07/01/2014 6.00,"2,0","4,8","5,2","10,3",,,
07/01/2014 7.00,"1,9","5,9","6,6",,,,
07/01/2014 8.00,"2,0","12,9","14,2","6,6",,,
07/01/2014 9.00,"2,0","28,6","37,3",,,,
07/01/2014 10.00,"2,0","26,4","41,8","4,9",,,
07/01/2014 11.00,"2,1","17,3","28,6",,,,
07/01/2014 12.00,"2,0","13,2","21,5","11,5",,,
07/01/2014 13.00,"1,9","11,6","18,0",,,,
07/01/2014 14.00,"2,0","13,0","20,4","9,5",,,
07/01/2014 15.00,"2,0","11,7","20,0",,,,
07/01/2014 16.00,"2,0","9,6","14,2","5,4",,,
07/01/2014 17.00,"2,0","11,5","15,8",,,,
07/01/2014 18.00,"2,1","20,2","31,6","5,4",,,
07/01/2014 19.00,"2,3","27,3","41,3",,,,
07/01/2014 20.00,"2,6","31,7","51,3","3,2",,,
07/01/2014 21.00,"3,6","54,7","103,5",,,,
07/01/2014 22.00,"3,2","48,8","77,3","14,2",,,
07/01/2014 23.00,"2,1","32,4","41,8",,,,
08/01/2014 0.00,"2,0","26,9","33,8","17,3",,,
08/01/2014 1.00,,"20,2","22,2",,,,
08/01/2014 2.00,"2,8",,,"22,5",,,
08/01/2014 3.00,"2,0","9,8","10,6",,,,
08/01/2014 4.00,"2,0","6,6","7,4","15,1",,,
08/01/2014 5.00,"1,9","4,0","4,3",,,,
08/01/2014 6.00,"1,9","5,4","5,9","12,5",,,
08/01/2014 7.00,"2,0","7,1","7,6",,,,
08/01/2014 8.00,"1,9","17,1","19,9","12,5",,,
08/01/2014 9.00,"2,5","36,3","57,9",,,,
08/01/2014 10.00,"3,4","43,4","95,0","10,0",,,
08/01/2014 11.00,"2,0","21,4","36,0",,,,
08/01/2014 12.00,"1,9","12,5","19,8","11,0",,,
08/01/2014 13.00,"1,9","11,8","18,3",,,,
08/01/2014 14.00,"2,0","18,0","26,9","14,4",,,
08/01/2014 15.00,"2,0","11,1","17,2",,,,
08/01/2014 16.00,"2,0","12,4","19,8","8,8",,,
08/01/2014 17.00,"2,0","6,6","9,2",,,,
08/01/2014 18.00,"2,0","11,6","17,7","8,3",,,
08/01/2014 19.00,"2,4","12,2","17,7",,,,
08/01/2014 20.00,"2,5","11,5","18,1","7,6",,,
08/01/2014 21.00,"2,0","10,2","14,1",,,,
08/01/2014 22.00,"2,0","7,2","10,5","11,2",,,
08/01/2014 23.00,"1,9","4,9","7,4",,,,
09/01/2014 0.00,"2,0","6,1","7,6","14,7",,,
09/01/2014 1.00,"2,0","4,4","5,8",,,,
09/01/2014 2.00,"2,0","4,6","5,6","13,9",,,
09/01/2014 3.00,"2,0","7,2","8,0",,,,
09/01/2014 4.00,"2,0","6,0","6,0","9,8",,,
09/01/2014 5.00,"2,0","5,0","5,1",,,,
09/01/2014 6.00,"1,9","5,0","5,0","11,2",,,
09/01/2014 7.00,"2,0","7,2","7,3",,,,
09/01/2014 8.00,"2,0","6,2","7,4","12,9",,,
09/01/2014 9.00,"2,0","9,1","11,2",,,,
09/01/2014 10.00,"2,0","17,1","24,7","13,2",,,
09/01/2014 11.00,"1,9","15,8","22,9",,,,
09/01/2014 12.00,"2,0","9,9","15,9","18,3",,,
09/01/2014 13.00,"2,0","8,8","15,2",,,,
09/01/2014 14.00,"1,9","9,6","14,6","11,7",,,
09/01/2014 15.00,"2,3","9,7","15,3",,,,
09/01/2014 16.00,"2,1","10,5","16,0","7,6",,,
09/01/2014 17.00,"2,2","12,5","17,0",,,,
09/01/2014 18.00,"2,1","14,9","19,5","8,5",,,
09/01/2014 19.00,"2,2","22,2","28,6",,,,
09/01/2014 20.00,"3,1","45,7","63,5","17,3",,,
09/01/2014 21.00,"3,2","36,5","56,7",,,,
09/01/2014 22.00,"3,3","45,2","70,6","21,5",,,
09/01/2014 23.00,"3,3","41,1","62,6",,,,
10/01/2014 0.00,"3,3","38,6","67,4","31,7",,,
10/01/2014 1.00,,"37,5","67,9",,,,
10/01/2014 2.00,"3,7",,,"33,0",,,
10/01/2014 3.00,"3,4","32,7","54,7",,,,
10/01/2014 4.00,"3,3","24,6","34,0","39,1",,,
10/01/2014 5.00,"2,8","13,7","18,0",,,,
10/01/2014 6.00,"2,6","8,4","9,8","44,0",,,
10/01/2014 7.00,"2,5","17,0","19,2",,,,
10/01/2014 8.00,"3,1","35,4","43,8","33,9",,,
10/01/2014 9.00,"4,6","65,2","127,6",,,,
10/01/2014 10.00,"6,5","70,3","181,0","28,3",,,
10/01/2014 11.00,"5,2","61,2","134,7",,,,
10/01/2014 12.00,"3,7","48,5","87,9","26,9",,,
10/01/2014 13.00,"3,6","46,1","86,3",,,,
10/01/2014 14.00,"3,3","40,6","69,6","26,1",,,
10/01/2014 15.00,"3,5","40,9","69,7",,,,
10/01/2014 16.00,"3,3","32,4","47,5","19,0",,,
10/01/2014 17.00,"3,3","48,0","71,4",,,,
10/01/2014 18.00,"3,6","54,9","87,2","25,2",,,
10/01/2014 19.00,"3,8","66,7","112,6",,,,
10/01/2014 20.00,"6,3","80,3","191,0","24,2",,,
10/01/2014 21.00,"6,2","80,6","187,6",,,,
10/01/2014 22.00,"7,2","72,3","212,7","32,5",,,
10/01/2014 23.00,"5,8","64,9","161,8",,,,
11/01/2014 0.00,"5,3","48,3","129,3","38,3",,,
11/01/2014 1.00,"3,8","37,4","89,0",,,,
11/01/2014 2.00,"3,9","32,2","80,2","47,4",,,
11/01/2014 3.00,"3,3","25,2","46,8",,,,
11/01/2014 4.00,"3,3","20,8","45,5","40,0",,,
11/01/2014 5.00,"3,2","18,5","38,4",,,,
11/01/2014 6.00,"3,2","15,7","24,5","46,4",,,
11/01/2014 7.00,"2,9","14,9","20,7",,,,
11/01/2014 8.00,"3,2","23,6","48,5","41,5",,,
11/01/2014 9.00,"3,9","27,3","79,2",,,,
11/01/2014 10.00,"5,0","39,0","121,2","30,8",,,
11/01/2014 11.00,"4,5","38,3","99,9",,,,
11/01/2014 12.00,"3,1","28,7","65,4","41,3",,,
11/01/2014 13.00,"2,1","16,9","28,9",,,,
11/01/2014 14.00,"2,3","20,8","31,7","32,2",,,
11/01/2014 15.00,"2,5","21,4","31,6",,,,
11/01/2014 16.00,"2,2","13,7","16,1","22,7",,,
11/01/2014 17.00,"2,7","17,9","22,6",,,,
11/01/2014 18.00,"2,9","34,7","49,6","18,8",,,
11/01/2014 19.00,"4,2","53,2","103,0",,,,
11/01/2014 20.00,"6,2","67,4","163,9","23,7",,,
11/01/2014 21.00,"7,6","72,5","230,4",,,,
11/01/2014 22.00,"7,8","66,0","222,0","26,1",,,
11/01/2014 23.00,"4,5","54,4","117,3",,,,
12/01/2014 0.00,"5,9","53,0","155,5","38,6",,,
12/01/2014 1.00,,"50,2","150,1",,,,
12/01/2014 2.00,"7,4",,,"43,0",,,
12/01/2014 3.00,"6,9","55,7","169,0",,,,
12/01/2014 4.00,"5,1","41,5","113,9","45,7",,,
12/01/2014 5.00,"3,4","27,3","43,7",,,,
12/01/2014 6.00,"3,6","27,7","52,0","44,9",,,
12/01/2014 7.00,"3,1","20,0","32,0",,,,
12/01/2014 8.00,"3,3","22,7","38,1","40,3",,,
12/01/2014 9.00,"3,2","22,0","36,1",,,,
12/01/2014 10.00,"3,3","19,1","32,4","35,2",,,
12/01/2014 11.00,"3,3","23,2","40,0",,,,
12/01/2014 12.00,"2,8","14,2","20,8","38,3",,,
12/01/2014 13.00,"2,8","16,7","22,3",,,,
12/01/2014 14.00,"3,0","14,3","20,5","32,7",,,
12/01/2014 15.00,"2,5","13,7","18,8",,,,
12/01/2014 16.00,"2,3","5,4","6,8","17,3",,,
12/01/2014 17.00,"2,1","6,1","7,0",,,,
12/01/2014 18.00,"2,4","13,9","17,0","12,9",,,
12/01/2014 19.00,"2,1","19,9","24,2",,,,
12/01/2014 20.00,"2,3","19,8","24,6","20,0",,,
12/01/2014 21.00,"2,9","29,1","38,3",,,,
12/01/2014 22.00,"2,1","15,2","18,5","21,5",,,
12/01/2014 23.00,"2,4","17,9","23,7",,,,
13/01/2014 0.00,"2,8","23,5","32,0","28,8",,,
13/01/2014 1.00,"2,6","14,1","18,3",,,,
13/01/2014 2.00,"2,2","13,0","17,2","29,5",,,
13/01/2014 3.00,"2,1","11,4","14,0",,,,
13/01/2014 4.00,"2,2","8,3","10,4","28,6",,,
13/01/2014 5.00,"2,3","6,2","7,2",,,,
13/01/2014 6.00,"2,0","5,9","6,9","29,5",,,
13/01/2014 7.00,"2,0","7,0","7,7",,,,
13/01/2014 8.00,"2,1","9,8","11,9","25,9",,,
13/01/2014 9.00,"2,8","26,6","35,5",,,,
13/01/2014 10.00,"3,2","24,2","36,2","25,9",,,
13/01/2014 11.00,"3,0","24,9","40,7",,,,
13/01/2014 12.00,"3,1","15,6","25,0","25,4",,,
13/01/2014 13.00,"2,5","13,6","22,9",,,,
13/01/2014 14.00,"3,3","19,4","34,5","21,2",,,
13/01/2014 15.00,"3,3","16,9","26,9",,,,
13/01/2014 16.00,"3,3","12,1","16,6","13,9",,,
13/01/2014 17.00,"3,3","28,9","46,5",,,,
13/01/2014 18.00,"3,5","37,1","60,8","10,5",,,
13/01/2014 19.00,"4,0","52,0","86,4",,,,
13/01/2014 20.00,"5,2","66,6","131,9","19,8",,,
13/01/2014 21.00,"5,4","66,6","153,2",,,,
13/01/2014 22.00,"7,7","62,8","195,8","27,6",,,
13/01/2014 23.00,"5,4","53,0","124,4",,,,
14/01/2014 0.00,"3,4","42,1","62,7","36,6",,,
14/01/2014 1.00,,"41,6","80,0",,,,
14/01/2014 2.00,"4,3",,,"43,2",,,
14/01/2014 3.00,"3,8","24,4","47,8",,,,
14/01/2014 4.00,"3,5","22,5","35,9","31,0",,,
14/01/2014 5.00,"3,3","11,8","13,9",,,,
14/01/2014 6.00,"3,3","13,5","14,9","26,1",,,
14/01/2014 7.00,"3,3","15,9","18,3",,,,
14/01/2014 8.00,"3,3","26,8","36,5","28,8",,,
14/01/2014 9.00,"3,5","40,1","67,7",,,,
14/01/2014 10.00,"4,9","47,7","93,4","16,1",,,
14/01/2014 11.00,"3,6","37,6","69,2",,,,
14/01/2014 12.00,"3,3","33,7","52,9","19,5",,,
14/01/2014 13.00,"3,4","36,0","59,9",,,,
14/01/2014 14.00,"3,3","29,3","48,9","22,5",,,
14/01/2014 15.00,"3,3","26,2","43,3",,,,
14/01/2014 16.00,"3,3","27,4","42,3","12,5",,,
14/01/2014 17.00,"3,3","34,1","50,2",,,,
14/01/2014 18.00,"3,6","45,7","71,3","9,0",,,
14/01/2014 19.00,"4,2","54,1","86,7",,,,
14/01/2014 20.00,"4,8","54,1","99,2","15,9",,,
14/01/2014 21.00,"4,1","45,9","77,6",,,,
14/01/2014 22.00,"5,0","51,4","92,5","23,4",,,
14/01/2014 23.00,"3,4","33,6","47,2",,,,
15/01/2014 0.00,"3,3","19,4","25,4","24,7",,,
15/01/2014 1.00,"3,3","14,7","18,1",,,,
15/01/2014 2.00,"3,3","12,1","14,2","24,9",,,
15/01/2014 3.00,"3,3","7,6","8,1",,,,
15/01/2014 4.00,"3,3","3,7","3,9","13,7",,,
15/01/2014 5.00,"3,3","3,7","3,8",,,,
15/01/2014 6.00,"3,3","5,2","5,4","14,2",,,
15/01/2014 7.00,"3,3","15,0","17,2",,,,
15/01/2014 8.00,"3,3","26,6","32,1","12,5",,,
15/01/2014 9.00,"4,6","53,0","102,2",,,,
15/01/2014 10.00,"5,5","56,9","118,8","14,4",,,
15/01/2014 11.00,"5,2","53,0","104,4",,,,
15/01/2014 12.00,"5,0","49,4","90,9","17,3",,,
15/01/2014 13.00,"4,8","45,2","90,3",,,,
15/01/2014 14.00,"4,5","35,7","68,2","25,4",,,
15/01/2014 15.00,"3,3","22,7","38,2",,,,
15/01/2014 16.00,"3,3","15,7","24,5","23,9",,,
15/01/2014 17.00,"3,3","13,3","17,1",,,,
15/01/2014 18.00,"3,5","21,3","33,3","16,8",,,
15/01/2014 19.00,"3,3","33,2","43,5",,,,
15/01/2014 20.00,"3,3","36,7","51,7","12,0",,,
15/01/2014 21.00,"3,3","32,1","48,7",,,,
15/01/2014 22.00,"3,3","27,6","37,6","13,4",,,
15/01/2014 23.00,"3,3","20,4","26,2",,,,
16/01/2014 0.00,"3,3","16,9","20,8","19,8",,,
16/01/2014 1.00,,"16,7","20,1",,,,
16/01/2014 2.00,"3,6",,,"16,1",,,
16/01/2014 3.00,"3,3","8,3","9,0",,,,
16/01/2014 4.00,"3,3","6,4","6,6","8,8",,,
16/01/2014 5.00,"3,1","9,0","9,2",,,,
16/01/2014 6.00,"3,3","8,2","9,2","10,0",,,
16/01/2014 7.00,"3,3","10,1","10,7",,,,
16/01/2014 8.00,"3,3","9,7","10,9","19,0",,,
16/01/2014 9.00,"3,3","21,3","27,6",,,,
16/01/2014 10.00,"3,3","22,7","38,0","10,7",,,
16/01/2014 11.00,"3,2","13,6","20,9",,,,
16/01/2014 12.00,"3,3","11,9","19,1","13,7",,,
16/01/2014 13.00,"2,9","11,2","17,3",,,,
16/01/2014 14.00,"3,3","12,9","19,6","12,9",,,
16/01/2014 15.00,"3,3","15,2","24,3",,,,
16/01/2014 16.00,"3,3","19,1","31,9","7,8",,,
16/01/2014 17.00,"3,4","16,0","23,8",,,,
16/01/2014 18.00,"3,3","25,8","41,4","7,8",,,
16/01/2014 19.00,"5,8","68,6","164,9",,,,
16/01/2014 20.00,"7,2","77,8","210,7","14,9",,,
16/01/2014 21.00,"8,9","63,0","243,7",,,,
16/01/2014 22.00,"9,5","63,0","286,6","25,6",,,
16/01/2014 23.00,"8,4","55,3","222,6",,,,
17/01/2014 0.00,"6,6","48,7","170,1","28,3",,,
17/01/2014 1.00,"4,9","44,0","113,0",,,,
17/01/2014 2.00,"3,3","28,6","49,1","37,4",,,
17/01/2014 3.00,"3,2","21,2","29,8",,,,
17/01/2014 4.00,"3,0","20,9","24,4","35,7",,,
17/01/2014 5.00,"2,9","16,3","17,8",,,,
17/01/2014 6.00,"2,9","13,4","14,4","31,0",,,
17/01/2014 7.00,"3,0","15,4","18,2",,,,
17/01/2014 8.00,"3,3","27,6","35,6","28,6",,,
17/01/2014 9.00,"4,3","51,6","101,1",,,,
17/01/2014 10.00,"5,1","54,3","125,3","24,7",,,
17/01/2014 11.00,"3,3","32,4","53,6",,,,
17/01/2014 12.00,"3,3","28,1","43,3","26,9",,,
17/01/2014 13.00,"3,3","18,0","24,7",,,,
17/01/2014 14.00,"3,3","17,8","25,5","22,2",,,
17/01/2014 15.00,"3,3","17,9","25,8",,,,
17/01/2014 16.00,"3,3","16,4","23,4","12,5",,,
17/01/2014 17.00,"3,3","14,7","19,1",,,,
17/01/2014 18.00,"3,3","17,5","22,8","12,2",,,
17/01/2014 19.00,"3,3","21,7","27,9",,,,
17/01/2014 20.00,"3,3","23,9","31,8","12,9",,,
17/01/2014 21.00,"3,2","24,6","31,2",,,,
17/01/2014 22.00,"3,3","26,7","34,7","17,1",,,
17/01/2014 23.00,"3,3","22,0","26,9",,,,
18/01/2014 0.00,"3,2","18,0","21,4","27,1",,,
18/01/2014 1.00,,"12,1","14,4",,,,
18/01/2014 2.00,"3,3",,,"29,3",,,
18/01/2014 3.00,"3,3","12,3","14,8",,,,
18/01/2014 4.00,"3,2","8,3","10,4","15,6",,,
18/01/2014 5.00,"3,0","6,6","7,3",,,,
18/01/2014 6.00,"2,9","7,0","7,6","15,6",,,
18/01/2014 7.00,"2,7","6,7","7,8",,,,
18/01/2014 8.00,"3,2","10,2","11,9","16,4",,,
18/01/2014 9.00,"3,3","24,9","32,4",,,,
18/01/2014 10.00,"3,3","27,7","37,4","19,0",,,
18/01/2014 11.00,"3,2","28,8","38,7",,,,
18/01/2014 12.00,"3,1","20,2","25,1","20,3",,,
18/01/2014 13.00,"3,3","18,7","23,5",,,,
18/01/2014 14.00,"3,3","20,1","26,5","14,4",,,
18/01/2014 15.00,"3,3","21,1","28,5",,,,
18/01/2014 16.00,"3,3","13,4","16,5","12,5",,,
18/01/2014 17.00,"3,3","14,4","17,7",,,,
18/01/2014 18.00,"3,3","15,1","19,1","16,1",,,
18/01/2014 19.00,"3,3","19,7","26,2",,,,
18/01/2014 20.00,"3,3","19,6","24,8","12,5",,,
18/01/2014 21.00,"3,3","16,7","21,2",,,,
18/01/2014 22.00,"3,3","22,3","29,3","19,5",,,
18/01/2014 23.00,"3,3","14,4","18,5",,,,
19/01/2014 0.00,"3,3","11,2","13,3","21,7",,,
19/01/2014 1.00,"3,2","10,9","14,0",,,,
19/01/2014 2.00,"3,3","8,7","11,5","26,1",,,
19/01/2014 3.00,"3,3","7,7","10,3",,,,
19/01/2014 4.00,"3,3","6,2","8,2","17,8",,,
19/01/2014 5.00,"3,2","4,5","5,3",,,,
19/01/2014 6.00,"3,3","2,8","3,3","22,0",,,
19/01/2014 7.00,"3,3","3,7","4,1",,,,
19/01/2014 8.00,"3,3","5,4","6,2","19,3",,,
19/01/2014 9.00,"3,3","5,8","6,8",,,,
19/01/2014 10.00,"3,3","7,2","8,9","16,4",,,
19/01/2014 11.00,"3,3","7,2","8,8",,,,
19/01/2014 12.00,"3,3","9,7","12,3","13,2",,,
19/01/2014 13.00,"3,3","13,6","17,0",,,,
19/01/2014 14.00,"3,3","18,8","24,2","18,6",,,
19/01/2014 15.00,"3,3","19,8","24,4",,,,
19/01/2014 16.00,"3,3","10,9","13,1","14,2",,,
19/01/2014 17.00,"3,3","8,6","10,1",,,,
19/01/2014 18.00,"3,3","9,2","11,4","16,8",,,
19/01/2014 19.00,"3,3","11,3","14,3",,,,
19/01/2014 20.00,"3,0","8,6","9,6","21,5",,,
19/01/2014 21.00,"2,0","7,9","9,4",,,,
19/01/2014 22.00,"2,0","15,6","18,9",,,,
19/01/2014 23.00,"1,9","10,6","12,9",,,,
20/01/2014 0.00,"1,9","8,6","10,5","17,1",,,
20/01/2014 1.00,,"7,4","8,8",,,,
20/01/2014 2.00,"3,2",,,"24,9",,,
20/01/2014 3.00,"2,4","3,8","3,9",,,,
20/01/2014 4.00,"2,0","3,0","3,1","27,8",,,
20/01/2014 5.00,"2,0","2,1","2,1",,,,
20/01/2014 6.00,"2,3","2,5","2,5","40,8",,,
20/01/2014 7.00,"2,0","7,4","8,3",,,,
20/01/2014 8.00,"2,0","17,9","21,3","46,9",,,
20/01/2014 9.00,"2,6","33,2","49,7",,,,
20/01/2014 10.00,"2,8","30,4","48,0","65,0",,,
20/01/2014 11.00,"2,4","25,5","38,5",,,,
20/01/2014 12.00,"2,5","22,8","35,8","79,4",,,
20/01/2014 13.00,"2,6","21,3","31,5",,,,
