"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
01/07/2012 18.00,"7,288876","7,693566","12,960019","0,30157","117,883257"
01/07/2012 19.00,"8,38564","7,483614","11,921629","0,278936","117,97197"
01/07/2012 20.00,"7,011304","10,505765","15,118671","0,303047","116,606176"
01/07/2012 21.00,"5,783919","9,153382","13,570408","0,291004","114,238012"
01/07/2012 22.00,"5,55308","11,326706","16,028985","0,2979","89,582025"
01/07/2012 23.00,"4,776674","15,096809","19,781283","0,305854","65,509537"
02/07/2012 0.00,"4,253628","16,444269","20,59352","0,324251","49,66002"
02/07/2012 1.00,"5,238353","14,227479","19,287625","0,323857","44,138816"
02/07/2012 2.00,"4,922497","14,672806","19,940975","0,322453","40,15917"
02/07/2012 3.00,"4,517683","13,576303","18,060372","0,317578","44,150768"
02/07/2012 4.00,"4,512052","12,425671","23,893499","0,319646","37,802915"
02/07/2012 5.00,"4,091475","9,105815","15,040042","0,323562",
02/07/2012 6.00,"4,098233","16,756736","24,858944","0,352746","32,872074"
02/07/2012 7.00,"4,609455","12,43141","18,905027","0,344126","65,912207"
02/07/2012 8.00,"6,542871","9,344472","15,075709","0,322873","88,931115"
02/07/2012 9.00,"6,804114","9,47077","14,9298","0,313267","101,100436"
02/07/2012 10.00,"9,727884","9,429763","15,010861","0,326862","122,212685"
02/07/2012 11.00,"11,263803","8,664591","14,017864","0,308268","140,212875"
02/07/2012 12.00,"9,191888","7,861691","12,84086","0,308859","137,407878"
02/07/2012 13.00,"9,867513","7,017785","12,544176","0,30014","131,958355"
02/07/2012 14.00,"10,359589","6,261634","11,487954","0,301052","133,229477"
02/07/2012 15.00,"10,820706","6,083666","10,96673","0,300732","129,366676"
02/07/2012 16.00,"16,714974","7,778859","12,84086","0,303662","129,446873"
02/07/2012 17.00,"10,990179","6,233749","11,889206","0,30413","118,707348"
02/07/2012 18.00,"7,214558","7,595972","13,897083","0,30679","98,418301"
02/07/2012 19.00,"5,487771","7,718988","14,291039","0,284206","89,919003"
02/07/2012 20.00,"4,919683","9,788979","16,121395","0,286225","82,161863"
02/07/2012 21.00,"4,355535","9,100894","15,048149","0,296447","78,931198"
02/07/2012 22.00,"4,048686","7,740313","13,116467","0,288491","75,975228"
02/07/2012 23.00,"4,094292","8,73512","13,376673","0,290733","69,689681"
03/07/2012 0.00,"3,38376","8,284053","13,383156","0,27603","65,605937"
03/07/2012 1.00,"3,150668","11,450545","16,281085","0,274355","58,560294"
03/07/2012 2.00,"2,92771","9,650376","14,722282","0,269109","59,345984"
03/07/2012 3.00,"2,884738","7,672108","12,706909","0,280457","60,178975"
03/07/2012 4.00,"3,210349","7,369618","12,701435","0,294009","63,884429"
03/07/2012 5.00,"3,379817","7,185089","12,893548","0,300338","65,878075"
03/07/2012 6.00,"3,324078","10,965033","18,837746","0,312799","58,260006"
03/07/2012 7.00,"3,634305","9,586408","17,01712","0,306224","60,588091"
03/07/2012 8.00,"3,78857","11,062627","19,158736","0,332846","71,622794"
03/07/2012 9.00,"4,535702","9,401061","16,78123","0,329202","90,723467"
03/07/2012 10.00,"5,308166","8,476783","15,071657","0,317134","97,557558"
03/07/2012 11.00,"4,75697","7,73293","14,609608","0,308982","100,712272"
03/07/2012 12.00,"4,954588","6,329703","12,065918","0,302751","101,07568"
03/07/2012 13.00,"4,56554","5,533364","11,873802","0,30386","100,397479"
03/07/2012 14.00,"4,661819","5,206135","10,985375","0,300781","99,78242"
03/07/2012 15.00,"4,610582","4,869885","10,455237","0,304771","100,528871"
03/07/2012 16.00,"4,459692","4,56808","9,964818","0,302973","100,317281"
03/07/2012 17.00,"4,678707","4,987163","10,743003","0,304179","99,220231"
03/07/2012 18.00,"4,153973","5,559608","11,484711","0,301864","96,438301"
03/07/2012 19.00,"3,846001","6,653651","13,173209","0,292727","91,803478"
03/07/2012 20.00,"3,949596","8,020794","14,431275","0,266007","85,546919"
03/07/2012 21.00,"3,576874","9,164046","14,847928","0,266745","82,637029"
03/07/2012 22.00,"3,540843","9,122219","14,763624","0,26805","78,541337"
03/07/2012 23.00,"3,019484","7,397501","12,431502","0,267484","77,346174"
04/07/2012 0.00,"3,52958","6,853761","11,768425","0,266007","76,295166"
04/07/2012 1.00,"1,847274","6,022157","11,105345","0,267238","75,181875"
04/07/2012 2.00,"1,527477","5,997554","10,388767","0,265957","72,12783"
04/07/2012 3.00,"1,427261","5,593233","10,656268",,"71,535755"
04/07/2012 4.00,"1,120976","5,390662","10,188547","0,262706","68,896328"
04/07/2012 5.00,"1,272428","5,145446","9,914561","0,25091",
04/07/2012 6.00,"1,385594","6,675794","12,592814","0,268125","60,103527"
04/07/2012 7.00,"1,239772","8,619483","15,043285","0,282212","65,589735"
04/07/2012 8.00,"1,752685","11,369354","20,736174","0,318144","68,432212"
04/07/2012 9.00,"2,699688","8,134791","14,088386","0,292284","81,567254"
04/07/2012 10.00,"3,77168","8,477604","14,96952","0,288442","94,724418"
04/07/2012 11.00,"4,89322","8,59652","15,278362","0,287925","101,968881"
04/07/2012 12.00,"4,710801","7,028447","13,684703","0,277631","101,759863"
04/07/2012 13.00,"4,459692","7,673062","15,287279","0,277901","104,732036"
04/07/2012 14.00,"4,698977","6,491267","12,605783","0,284527","104,168149"
04/07/2012 15.00,"4,214215","4,390935","9,81972","0,266277","103,936111"
04/07/2012 16.00,"3,373624","4,753429","9,913751","0,267681","98,861069"
04/07/2012 17.00,"3,227801","5,630138","11,927304","0,300953","93,912313"
04/07/2012 18.00,"3,639371","7,169508","14,208356","0,305928","84,698087"
04/07/2012 19.00,"3,272843","8,986899","16,743132","0,298712","80,991396"
04/07/2012 20.00,"3,10788","9,291984","16,197592","0,263839","74,827843"
04/07/2012 21.00,"2,35005","8,428396","14,642843","0,248717","67,819726"
04/07/2012 22.00,"1,691317","7,285144","14,25213","0,257559","67,286524"
04/07/2012 23.00,"1,946364","7,758354","12,223174","0,26805","61,432635"
05/07/2012 0.00,"1,699197","6,538833","11,895689","0,266597","58,214778"
05/07/2012 1.00,"1,848961","5,672785","11,013746","0,266031","55,054958"
05/07/2012 2.00,"1,421629","4,523794","9,948606","0,265981","56,931754"
05/07/2012 3.00,"1,618124","3,829151","9,073147","0,267016","56,335428"
05/07/2012 4.00,"1,339991","3,828331","9,150965","0,265981","55,144493"
05/07/2012 5.00,"1,209933","5,840089","11,274762","0,286053","47,080266"
05/07/2012 6.00,"1,635578","6,677434","13,269672","0,291644","42,50601"
05/07/2012 7.00,"2,097256","6,007395","13,371809","0,292654","54,183062"
05/07/2012 8.00,"1,985212","8,951634","18,299502","0,315115","58,364085"
05/07/2012 9.00,"2,667597","7,184269","13,996788","0,294206","73,943181"
05/07/2012 10.00,"4,095418","6,637248","13,107549","0,293072","90,192814"
05/07/2012 11.00,"4,674766","7,51806","14,431275","0,296151","97,655632"
05/07/2012 12.00,"4,601013","7,034187","14,260237","0,319351","96,905772"
05/07/2012 13.00,"3,965923","5,326694","10,845949","0,291595","104,923116"
05/07/2012 14.00,"3,61854","4,791155","10,606011","0,307504","105,200383"
05/07/2012 15.00,"3,453573","3,958729","9,513309","0,303909","101,307719"
05/07/2012 16.00,"3,195145","4,007936","10,535487","0,301028","98,083918"
05/07/2012 17.00,"2,726151","3,935766","10,288252","0,307283","89,82003"
05/07/2012 18.00,"2,43394","4,724724","10,760837","0,278098","81,623532"
05/07/2012 19.00,"1,964946","5,623578","12,106447","0,281916","69,239249"
05/07/2012 20.00,"1,552814","5,652281","11,381763","0,268567","59,173656"
05/07/2012 21.00,"1,722282","7,162946","13,351544","0,276227","46,815807"
05/07/2012 22.00,"1,429512","5,782681","11,568204","0,27539","44,677965"
05/07/2012 23.00,"1,702577","6,24359","11,654938","0,288369","43,18337"
06/07/2012 0.00,"1,538175","7,979789","13,469082","0,289674","39,132903"
06/07/2012 1.00,"1,707081","6,337903","12,26938","0,272927","37,636573"
06/07/2012 2.00,"1,195294","5,080656","11,013746","0,266007","37,536763"
06/07/2012 3.00,"1,43852","4,464746","9,863493","0,267312","34,611516"
06/07/2012 4.00,"1,48694","4,696839","10,537919","0,265981","31,882495"
06/07/2012 5.00,"1,635578","4,747687","10,717875","0,269257",
06/07/2012 6.00,"1,471176","6,322322","12,643881","0,281547","34,069813"
06/07/2012 7.00,"1,464999","5,400094","11,311916","0,277254","48,258012"
06/07/2012 8.00,"1,276371","7,057972","15,134883","0,303465","60,219554"
06/07/2012 9.00,"1,790972","6,760268","14,027592","0,297161","71,817306"
06/07/2012 10.00,"2,843258","6,776669","13,33371","0,299081","79,295466"
06/07/2012 11.00,"3,428799","6,660213","12,563631","0,295362","85,752504"
06/07/2012 12.00,"3,503682","5,711331","12,330176","0,298294","87,482566"
06/07/2012 13.00,"3,556043","5,723633","12,53364","0,302308","86,830818"
06/07/2012 14.00,"3,441188","4,417997","9,942931","0,311593","85,372019"
06/07/2012 15.00,"3,415852","3,966111","9,029376","0,302087","84,338088"
06/07/2012 16.00,"3,077477","3,873437","9,768651","0,304968","83,656477"
06/07/2012 17.00,"3,204717","4,003016","8,945883","0,304402","82,854547"
06/07/2012 18.00,"2,94066","5,168409","11,202618","0,317972","85,165573"
06/07/2012 19.00,"2,651831","7,447528","14,640411","0,305436","77,228427"
06/07/2012 20.00,"2,893366","7,928941","15,865242","0,299894","73,151525"
06/07/2012 21.00,"2,182272","7,964206","14,088386","0,305411","72,712166"
06/07/2012 22.00,"1,853466","5,284867","10,344994","0,265981","65,478852"
06/07/2012 23.00,"1,890063","4,271196","10,03291","0,282827","58,661778"
07/07/2012 0.00,"1,584905","5,206135","10,794071","0,265957","53,851214"
07/07/2012 1.00,"2,363565","6,143535","11,025905","0,271843","47,128024"
07/07/2012 2.00,"2,089937","6,44288","11,710059","0,27896","43,413693"
07/07/2012 3.00,"1,776334","8,361966","13,867902",,"37,389173"
07/07/2012 4.00,"1,910332","5,483337","10,940792","0,265932","44,619971"
07/07/2012 5.00,"1,789281","5,394763","10,802176","0,266007","52,330189"
07/07/2012 6.00,"1,906953","8,593239","14,045425","0,279182","40,532814"
07/07/2012 7.00,"2,459841","7,424565","13,550953","0,290092","53,706218"
07/07/2012 8.00,"1,888936","7,723089","14,582049","0,305609","60,092412"
07/07/2012 9.00,"3,944529","8,982797","15,879023","0,283985","90,622798"
07/07/2012 10.00,"5,601499","8,715438","14,475858","0,265981","107,731499"
07/07/2012 11.00,"7,389657","8,247968","13,761711","0,266007","118,604106"
07/07/2012 12.00,"8,046139","7,978967","13,206444","0,26608","125,329012"
07/07/2012 13.00,"8,262904","8,570275","14,256994","0,265981","131,09676"
07/07/2012 14.00,"9,843303","6,440419","11,705197","0,270218","135,188145"
07/07/2012 15.00,"8,409289","6,64955","11,6979","0,286349","133,992122"
07/07/2012 16.00,"6,351445","5,421828","10,721928","0,271695","121,273419"
07/07/2012 17.00,"4,459131","4,591045","9,683536","0,301791","106,358879"
07/07/2012 18.00,"4,014907","5,266003","10,374988","0,3012","99,388289"
07/07/2012 19.00,"3,570119","7,700947","12,236957","0,280192","99,119561"
07/07/2012 20.00,"2,611293","8,307018","12,929217","0,268371","85,679148"
07/07/2012 21.00,"1,719467","7,506579","13,14808","0,269356","77,050992"
07/07/2012 22.00,"1,495386","6,564257","11,052656","0,266302","70,205805"
07/07/2012 23.00,"1,367016","5,581751","10,396873","0,273813","67,262643"
08/07/2012 0.00,"1,851778","5,992632","11,618461","0,266573","66,267936"
08/07/2012 1.00,"2,092187","5,129863","9,55465","0,265957","64,229923"
08/07/2012 2.00,"2,167069","4,454084","9,666513","0,265981","65,25705"
08/07/2012 3.00,"2,654082","3,989895","9,640573","0,265981","65,419104"
08/07/2012 4.00,"2,610166","5,699029","10,914042","0,265981","57,038386"
08/07/2012 5.00,"2,815669","6,84556","11,738431","0,265981",
08/07/2012 6.00,"2,910257","6,31576","11,909469","0,265981","61,9803"
08/07/2012 7.00,"3,25145","5,749877","10,889723","0,274627","75,792687"
08/07/2012 8.00,"4,05263","6,357587","12,173728","0,266253","91,767649"
08/07/2012 9.00,"4,666886","6,237028","11,783825","0,266401","98,683634"
08/07/2012 10.00,"3,942839","5,871255","11,280436","0,265981","101,891255"
08/07/2012 11.00,"4,10499","5,449712","10,341751","0,266007","107,117278"
08/07/2012 12.00,"3,795889","4,96994","9,352808","0,266031","107,484096"
08/07/2012 13.00,"4,376928","4,29826","9,441165","0,259923","114,049481"
08/07/2012 14.00,"4,722622","3,525705","8,324956","0,266105","115,445108"
08/07/2012 15.00,"4,617338","2,902412","7,623779","0,266129","110,648208"
08/07/2012 16.00,"4,602701","3,499461","8,787814","0,266129","111,360542"
08/07/2012 17.00,"5,729305","6,984161","12,296131","0,266154","116,547303"
08/07/2012 18.00,"16,566339","8,334901","13,731719","0,266228","113,665586"
08/07/2012 19.00,"7,06029","10,352401","15,789045","0,248668","111,341767"
08/07/2012 20.00,"7,217372","12,083679","17,385134","0,249333","102,38432"
08/07/2012 21.00,"9,075905","18,292004","23,008319","0,252831","82,379397"
08/07/2012 22.00,"10,623643","15,979261","22,553569","0,276252","78,669297"
08/07/2012 23.00,"9,75322","12,895601","17,377029","0,271351","78,719631"
09/07/2012 0.00,"6,147068","10,210519","15,447778","0,268715","84,91562"
09/07/2012 1.00,"3,429364","12,437973","17,270838","0,282852","63,362338"
09/07/2012 2.00,"2,719957","11,930318","16,552639","0,265981","65,686135"
09/07/2012 3.00,"2,262784","9,755352","14,612041","0,270563","73,981582"
09/07/2012 4.00,"2,410856","8,357044","13,154565","0,285832","73,547353"
09/07/2012 5.00,"2,150179","9,246057","14,136213","0,266228","78,944006"
09/07/2012 6.00,"2,70025","17,363625","23,613849","0,277852","71,495656"
09/07/2012 7.00,"3,264962","16,399163","25,685769","0,31711","77,088519"
09/07/2012 8.00,"3,897797","12,050055","18,659411","0,303515","93,902914"
09/07/2012 9.00,"3,388262","11,584224","17,453226","0,273912","112,934478"
09/07/2012 10.00,"9,93733","13,862526","20,291156","0,295806","128,287517"
09/07/2012 11.00,"11,741763","10,849894","16,738314","0,283122","133,970403"
09/07/2012 12.00,"9,825285","10,258088","15,291331","0,287211","127,547056"
09/07/2012 13.00,"11,288578","10,086683","15,818227","0,280611","131,400458"
09/07/2012 14.00,"10,553836","9,13206","13,991926","0,300363","138,336931"
09/07/2012 15.00,"7,86902","7,462446","12,299674","0,299821","139,065543"
09/07/2012 16.00,"9,247064","7,367978","12,936511","0,296324","141,992411"
09/07/2012 17.00,"12,205739","9,488814","15,478581","0,268371","137,171593"
09/07/2012 18.00,"8,703187","10,454917","16,235691","0,27002","120,633604"
09/07/2012 19.00,"7,265228","13,957659","19,291679","0,274799","103,258746"
09/07/2012 20.00,"7,491561","15,09927","19,949082","0,249506","96,952713"
09/07/2012 21.00,"5,881321","25,473805","31,608074","0,258766","67,718182"
09/07/2012 22.00,"4,012655","14,690028","19,924761","0,258298","53,974946"
09/07/2012 23.00,"5,965211","16,817425","21,658658","0,250565","50,778418"
10/07/2012 0.00,"11,116288","17,355427","22,966178","0,265981","58,585888"
10/07/2012 1.00,"9,046628","14,197135","19,167647","0,254111","61,834448"
10/07/2012 2.00,"7,575452","15,04596","19,887475","0,261254","42,07433"
10/07/2012 3.00,"4,797505","15,429779","20,535969",,"25,874192"
10/07/2012 4.00,"4,845361","14,544867","19,711571","0,265981","26,151438"
10/07/2012 5.00,"6,205623","18,692224","23,858642","0,293441",
10/07/2012 6.00,"6,260236","21,940716","28,574782","0,30285","46,601683"
10/07/2012 7.00,"6,397049","18,384676","25,740891","0,343042","72,864045"
10/07/2012 8.00,"6,511907","14,546507","23,525495","0,316395","89,869505"
10/07/2012 9.00,"4,385373","12,256724","18,890436","0,267656","103,305672"
10/07/2012 10.00,"4,528478","8,74335","14,692998","0,2714","116,994021"
10/07/2012 11.00,"6,439774","9,610729","15,158278","0,377571","130,065364"
10/07/2012 12.00,"5,719734","9,645456","14,674458","0,299919","140,51569"
10/07/2012 13.00,"11,839771","9,755352","15,38293","0,316148","152,815551"
10/07/2012 14.00,"15,452684","9,684822","15,112185","0,341762","172,062069"
10/07/2012 15.00,"14,884028","8,606361","14,006516","0,349741","161,542657"
10/07/2012 16.00,"8,735842","6,273115","10,931875","0,319128","141,807298"
10/07/2012 17.00,"6,314284","5,621117","10,863785","0,307504","120,01595"
10/07/2012 18.00,"7,351371","7,195752","12,517428","0,321887","120,222434"
10/07/2012 19.00,"6,854786","14,385763","19,529989","0,325803","103,982176"
10/07/2012 20.00,"4,567231","10,248247","15,630166","0,299525","100,171407"
10/07/2012 21.00,"1,448653","10,826432","15,795531","0,295461","79,121441"
10/07/2012 22.00,"1,236396","10,346662","14,218084","0,291694","76,398385"
10/07/2012 23.00,"1,016816","9,041848","13,752794","0,295609","76,578376"
11/07/2012 0.00,"0,781475","9,576567","14,228624","0,29024","54,986708"
11/07/2012 1.00,"0,322048","8,959014","12,832753","0,290757","34,277971"
11/07/2012 2.00,"0,24604","8,019153","13,472324","0,290315","39,723224"
11/07/2012 3.00,"0,430149","6,489626","12,351252","0,289526","33,571581"
11/07/2012 4.00,"0,483636","7,509858","12,793033","0,296225","36,652958"
11/07/2012 5.00,"1,042152","10,464758","15,608279","0,323808","51,721074"
11/07/2012 6.00,"1,123229","14,335735","22,708402","0,349102","29,017814"
11/07/2012 7.00,"2,636629","16,357337","25,144272","0,398135","40,107979"
11/07/2012 8.00,"3,854446",,,"0,351958","77,70615"
11/07/2012 9.00,,,,,"118,888177"
11/07/2012 10.00,"9,168805",,,"0,190104","144,905688"
11/07/2012 11.00,"8,705436","22,29174","27,512876","0,183651","170,248392"
11/07/2012 12.00,"8,028124","17,220926","22,431985","0,182518","167,081753"
11/07/2012 13.00,"6,778216","12,647924","17,544824","0,183947","160,048903"
11/07/2012 14.00,"5,868935","11,064267","15,373202","0,183232","164,212799"
11/07/2012 15.00,"12,695566","11,340649","15,926039","0,183823","163,5986"
11/07/2012 16.00,"9,704238","8,579299","13,026488","0,182123","139,855388"
11/07/2012 17.00,"6,022639","8,370986","13,636068","0,163307","127,675853"
11/07/2012 18.00,"4,895473","11,291442","17,202748","0,284206","119,917016"
11/07/2012 19.00,"4,159604","11,784334","18,186827","0,375083","115,648159"
11/07/2012 20.00,"4,468137","16,063733","22,287687","0,195718","98,802218"
11/07/2012 21.00,"3,788009","15,215726","21,364401","0,185005","85,770419"
11/07/2012 22.00,"3,925947","13,607467","18,863686","0,186779","89,093192"
11/07/2012 23.00,"3,406841","10,197399","15,066793","0,189266","86,969014"
12/07/2012 0.00,"2,953611","9,792258","14,635549","0,212515","88,543825"
12/07/2012 1.00,"1,763383","8,971316","13,583377","0,21217","80,612645"
12/07/2012 2.00,"2,460404",,,"0,212121","76,975901"
12/07/2012 3.00,"3,093802",,,"0,231675","71,737969"
12/07/2012 4.00,"2,628183","18,625795","23,572512","0,2317","70,374724"
12/07/2012 5.00,"2,254338","15,965317","20,838313","0,234384",
12/07/2012 6.00,"2,0798","16,191671","21,422774","0,25421","70,573468"
12/07/2012 7.00,"2,059534","16,274504","22,30715","0,275316","66,101613"
12/07/2012 8.00,"3,013292","14,325075","20,043112","0,221208","81,286577"
12/07/2012 9.00,"4,437173","11,556342","17,167891","0,215298","97,603623"
12/07/2012 10.00,"3,5628","9,836546","14,812261","0,193255","107,222194"
12/07/2012 11.00,"3,177693","8,826975","14,524494","0,18274","116,598513"
12/07/2012 12.00,"2,893366","7,807564","13,355597","0,181902","124,476771"
12/07/2012 13.00,"5,821641","10,738679","15,976294","0,183896","133,855624"
12/07/2012 14.00,"4,588623","8,409532","13,526635","0,183306","137,291897"
12/07/2012 15.00,"6,466619","8,02379","12,932248","0,18575","135,48271"
12/07/2012 16.00,"5,323931","7,10882","12,49635","0,185621","122,438757"
12/07/2012 17.00,"3,257078","6,84556","11,942705","0,183478","103,064234"
12/07/2012 18.00,"2,103449","8,498105","13,760901","0,182862","98,88922"
12/07/2012 19.00,"3,697925","10,620582","15,506953","0,192516","97,532817"
12/07/2012 20.00,"3,815598","10,167054","15,049771","0,18966","94,384907"
12/07/2012 21.00,"2,651831","15,517531","20,763746","0,183232","75,73978"
12/07/2012 22.00,"2,837627","14,550606","19,008783","0,199511","59,886849"
12/07/2012 23.00,"2,837627","16,059632","20,902367","0,212515","48,49811"
13/07/2012 0.00,"2,834812","12,843932","18,314904","0,213229","57,191943"
13/07/2012 1.00,"1,341118","9,930038","15,296195","0,180991","65,663951"
13/07/2012 2.00,"1,372082",,,"0,182296","66,044436"
13/07/2012 3.00,"1,335487",,,,"72,367548"
13/07/2012 4.00,"1,153067","15,925132","20,524611","0,21217","84,158918"
13/07/2012 5.00,"1,102397","13,278598","17,625887","0,215888","79,379933"
13/07/2012 6.00,"0,904775","13,572202","18,076584","0,232143","66,944463"
13/07/2012 7.00,"1,073118","12,639723","18,10982","0,223425","67,333465"
13/07/2012 8.00,"0,843407","11,261916","16,853374","0,21515","85,251737"
13/07/2012 9.00,"1,17559","10,857597","16,839595","0,21148","97,75121"
13/07/2012 10.00,"1,525789","10,048958","15,744462","0,200077","102,75457"
13/07/2012 11.00,"1,508334","8,763005","13,775491","0,190595","109,244865"
13/07/2012 12.00,"1,419377","8,406251","13,79981","0,178996","107,513106"
13/07/2012 13.00,"1,422755","8,482523","14,070553","0,179711","105,143206"
13/07/2012 14.00,"4,36398","9,67088","15,666644","0,18035","96,63024"
13/07/2012 15.00,"8,681228","9,657758","15,45021","0,181926","98,890917"
13/07/2012 16.00,"4,233358","5,671965","10,845949","0,181926","111,165155"
13/07/2012 17.00,"2,641134","5,43495","10,783534","0,182419","106,872431"
13/07/2012 18.00,"1,735794","6,570819","10,807851","0,185523","106,243705"
13/07/2012 19.00,"2,633814","8,717079","13,137543","0,194857","104,288408"
13/07/2012 20.00,"1,84108","8,822054","13,84034","0,187","99,093108"
13/07/2012 21.00,"1,34337","11,440704","16,667746","0,21052","82,260813"
13/07/2012 22.00,"1,422191","14,43415","18,820722","0,211874","65,176852"
13/07/2012 23.00,"1,24653","12,474878","17,470248","0,224163","59,984105"
14/07/2012 0.00,"1,162077","14,44071","19,176575","0,224927","52,94355"
14/07/2012 1.00,"2,724459","11,369354","15,779318","0,224409","59,936324"
14/07/2012 2.00,"2,705881",,,"0,22702","52,105829"
14/07/2012 3.00,"2,671537",,,"0,219484","56,320067"
14/07/2012 4.00,"2,759368","18,810322","23,781646","0,213229","57,212411"
14/07/2012 5.00,"3,079165","16,615674","22,056659","0,224927",
14/07/2012 6.00,"3,126458","16,429506","21,533822","0,230887","52,047815"
14/07/2012 7.00,"2,807788","16,190851","22,508981","0,228006","63,818733"
14/07/2012 8.00,"3,218794","14,63262","20,819672","0,186286","94,921503"
14/07/2012 9.00,"3,772244","13,026","18,52404","0,181508","119,076723"
14/07/2012 10.00,"4,381433","10,632063","16,217858","0,180277","124,07837"
14/07/2012 11.00,"6,670115","11,188106","15,98278","0,181287","133,474301"
14/07/2012 12.00,"5,230468","9,432225","14,26348","0,181951","138,864113"
14/07/2012 13.00,"5,142638","8,730199","13,660385","0,182099","142,361786"
14/07/2012 14.00,"4,538516","7,067813","12,437175","0,182543","137,47529"
14/07/2012 15.00,"4,585245","6,453541","11,191271","0,183675","138,595408"
14/07/2012 16.00,"3,856134","5,795803","10,509547","0,185523","137,834452"
14/07/2012 17.00,"3,487356","6,103348","10,341751","0,186384","139,20364"
14/07/2012 18.00,"3,306062","6,601163","11,295029","0,187566","139,26335"
14/07/2012 19.00,"3,326895","8,512048","14,306442","0,203451","132,314107"
14/07/2012 20.00,"3,193457","11,572745","16,636943","0,208303","124,816297"
14/07/2012 21.00,"3,326895","10,044856","14,647707","0,189808","130,10888"
14/07/2012 22.00,"3,019484","10,600078","15,703931","0,182936","120,624205"
14/07/2012 23.00,"2,837065","10,229384","14,693102","0,213894","117,047233"
15/07/2012 0.00,"2,866342","8,735941","13,186178","0,215667","115,301805"
15/07/2012 1.00,"2,627622","9,369895","13,782787","0,212268","106,112335"
15/07/2012 2.00,"2,356597",,,"0,479137","88,68266"
15/07/2012 3.00,"2,526276",,,"0,265686","72,807744"
15/07/2012 4.00,"2,274605","18,962864","23,91782","0,255293","67,306174"
15/07/2012 5.00,"2,680544","15,923491","21,065288","0,256131","65,57268"
15/07/2012 6.00,"2,574696","15,187841","20,972078","0,256401","61,518799"
15/07/2012 7.00,"3,048199","13,126055","19,076066","0,239876","74,827843"
15/07/2012 8.00,"3,195145","11,557162","17,174376","0,2184","92,088386"
15/07/2012 9.00,"3,72889","9,587229","15,558022","0,205003","102,110486"
15/07/2012 10.00,"3,832488","8,197121","13,581756","0,180228","116,190699"
15/07/2012 11.00,"3,152921","8,416914","13,289937","0,182543","119,945167"
15/07/2012 12.00,"2,958678","7,693564","12,802761","0,185399","116,897089"
15/07/2012 13.00,"2,718831","6,85212","12,529586","0,187468","120,256528"
15/07/2012 14.00,"3,14335","6,749605","12,086182","0,190029","116,957636"
15/07/2012 15.00,"2,752049","6,132874","11,104534","0,191088","114,278948"
15/07/2012 16.00,"3,149542","6,006575","11,295839","0,197935","113,708219"
15/07/2012 17.00,"3,243004","5,882736","10,884048","0,188404","109,39074"
15/07/2012 18.00,"3,042568","6,273935","11,759507","0,187099","107,188062"
15/07/2012 19.00,"2,713666","7,617295","13,272279","0,184132","102,889653"
15/07/2012 20.00,"2,815108","8,954913","14,173501","0,2085","94,771359"
15/07/2012 21.00,"2,741351","10,528728","15,475339","0,182518","87,879254"
15/07/2012 22.00,"2,360186","8,701496","13,440712","0,202663","92,450119"
15/07/2012 23.00,"2,339917","7,942884","12,571738","0,21217","96,546649"
16/07/2012 0.00,"3,208096","8,945071","13,751175","0,202909","85,337901"
16/07/2012 1.00,"2,570192","8,737582","13,474757","0,190448","77,679734"
16/07/2012 2.00,,,,,
16/07/2012 3.00,"1,435056",,,"0,451193","71,653479"
16/07/2012 4.00,"2,845511","18,001682","22,594104","0,28699","73,034638"
16/07/2012 5.00,"2,557806","13,646012","18,473783","0,206727",
16/07/2012 6.00,"2,485739","15,655311","22,325792","0,204633","69,430352"
16/07/2012 7.00,"2,814543","12,980892","18,727503","0,210815","79,224645"
16/07/2012 8.00,"2,937846","13,242514","20,202804","0,198328","86,03232"
16/07/2012 9.00,"2,704193","10,234305","15,558832","0,183577","101,04412"
16/07/2012 10.00,"2,548798","9,921018","15,1973","0,181829","105,63118"
16/07/2012 11.00,"2,70025","9,623314","14,719042","0,181287","106,793946"
16/07/2012 12.00,"2,547672","9,370715","14,831716","0,181705","105,960479"
16/07/2012 13.00,"2,066853","8,415274","13,425308","0,182173","105,208062"
16/07/2012 14.00,"2,022935","7,355676","12,467169","0,183799","106,160098"
16/07/2012 15.00,"2,605099","6,995642","12,390972","0,185497","106,904851"
16/07/2012 16.00,"2,519522","7,070273","12,001069","0,183281","104,662052"
16/07/2012 17.00,"2,092751","7,440148","12,593625","0,183478","105,384621"
16/07/2012 18.00,"2,849451","8,940971","14,259426","0,195423","106,431375"
16/07/2012 19.00,"2,212111","8,750703","13,670924","0,194216","100,839372"
16/07/2012 20.00,"1,538175","9,26246","13,689567","0,183084","99,242415"
16/07/2012 21.00,"1,305648","8,593239","13,961932","0,180523","92,844227"
16/07/2012 22.00,"1,384468","7,896956","12,659283","0,18232","88,438034"
16/07/2012 23.00,"1,271302","7,231836","11,845433","0,17907","87,07052"
17/07/2012 0.00,"1,212181","6,392818","11,013112","0,259627","85,071312"
17/07/2012 1.00,"1,229638","6,274863","11,142191","0,260169","81,431874"
17/07/2012 2.00,"1,236958",,,"0,178922","82,707835"
17/07/2012 3.00,"1,397983",,,"0,179291","79,890936"
17/07/2012 4.00,"2,130474","14,591613","19,767498","0,178922","80,337951"
