"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
07/01/2012 7.00,"0,498254","7,486075","9,985083","0,141857","53,440523"
07/01/2012 8.00,"0,479919","10,210519","14,978435","0,141857","51,552338"
07/01/2012 9.00,"0,294888","11,33573","15,155959","0,141857","49,976567"
07/01/2012 10.00,"0,382917","10,248247","14,780647","0,141882","50,549351"
07/01/2012 11.00,"0,44543","11,128237","16,217858","0,141857","50,819951"
07/01/2012 12.00,"0,506195","10,801828","15,235399","0,141857","53,143488"
07/01/2012 13.00,"0,643323","10,673891","14,62501","0,145526","56,970239"
07/01/2012 14.00,"0,83702","10,953552","15,320514","0,174982","59,335611"
07/01/2012 15.00,"0,706858","9,164866","12,504457","0,156486","61,836701"
07/01/2012 16.00,"0,624435","10,089962","13,562301","0,180498","61,169991"
07/01/2012 17.00,"0,642926","15,103369","19,214663","0,246304","56,25918"
07/01/2012 18.00,"0,686559","19,472152","23,353645","0,287852","50,502387"
07/01/2012 19.00,"0,710069","21,37484","26,380456","0,296939","47,936438"
07/01/2012 20.00,"0,558061","24,081239","28,339701","0,341787","45,964581"
07/01/2012 21.00,"0,602411","25,79611","30,433494","0,366439","43,034984"
07/01/2012 22.00,"0,676194","23,089713","27,224299","0,294427","43,466901"
07/01/2012 23.00,"0,459567","17,513708","20,973683","0,230616","49,811819"
08/01/2012 0.00,"0,475912","16,629616","19,37355","0,26906","51,52674"
08/01/2012 1.00,"0,320278","14,876195","17,663983","0,24687","51,269805"
08/01/2012 2.00,"0,313249",,,"0,22606","50,411056"
08/01/2012 3.00,"0,268945",,,"0,192074","53,963813"
08/01/2012 4.00,,"17,184689","19,943879","0,171953","55,700062"
08/01/2012 5.00,"0,112898","11,401338","13,846826","0,17673",
08/01/2012 6.00,"0,278309","11,555522","14,244024","0,178134","49,510473"
08/01/2012 7.00,"0,352598","13,810037","16,884177","0,170523","41,786991"
08/01/2012 8.00,"0,530818","15,785711","19,325731","0,173554","36,706264"
08/01/2012 9.00,"0,432193","17,699057","22,040445","0,195374","35,361813"
08/01/2012 10.00,"0,741058","16,668982","21,175534","0,218252","38,038767"
08/01/2012 11.00,"0,780032","18,994028","23,992407","0,293812","41,284211"
08/01/2012 12.00,"0,708123","23,466148","28,412645","0,367991","40,872763"
08/01/2012 13.00,"0,564302","18,272322","22,675976","0,257091","50,790925"
08/01/2012 14.00,"0,618646","16,544324","20,437884","0,270046","53,369682"
08/01/2012 15.00,"0,467142","16,330272","20,375457","0,32962","50,755054"
08/01/2012 16.00,"0,565399","15,354327","18,708859","0,320262","50,971035"
08/01/2012 17.00,"0,713611","16,810865","20,758889","0,318242","53,995373"
08/01/2012 18.00,"0,680675","25,924061","29,32702","0,372842","44,0892"
08/01/2012 19.00,"0,599892","24,267409","28,954142","0,254332","37,030631"
08/01/2012 20.00,"0,508312","23,591633","28,239188","0,261623","37,682817"
08/01/2012 21.00,"0,449575","27,662719","33,138515","0,346022","33,244839"
08/01/2012 22.00,"0,608218","27,81608","32,079039","0,443574","32,372468"
08/01/2012 23.00,"0,564851","24,459317","27,900343","0,400401","33,301178"
09/01/2012 0.00,"0,660366","18,283804","21,953717","0,283862","38,622642"
09/01/2012 1.00,"1,528225","14,196315","17,463764","0,235147","41,386653"
09/01/2012 2.00,"1,386053","13,446723","16,884177","0,24825","37,261114"
09/01/2012 3.00,"1,691259","12,576573","15,722573",,"35,537673"
09/01/2012 4.00,"1,431709","11,748142","14,521605","0,206257","39,129691"
09/01/2012 5.00,"1,630875","9,782417","12,550662","0,185917","43,002545"
09/01/2012 6.00,"1,544145","11,088872","13,527446","0,195054","40,445972"
09/01/2012 7.00,"1,670946","16,971607","20,663232","0,227809","36,334097"
09/01/2012 8.00,"2,021716","42,009106","72,163658","0,471452","29,090332"
