NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
08/01/2009 2.00,"0,5","7,5","12,9","0,6","31,5",,"1,1"
08/01/2009 3.00,"0,4","6,6","11,9",,"20,9",,"1,2"
08/01/2009 4.00,"0,2","5,0","10,4","0,4",,,"1,4"
08/01/2009 5.00,"0,3","4,7","9,7","0,3","22,6",,"1,0"
08/01/2009 6.00,"0,2","5,5","10,5","0,3","26,0",,"1,1"
08/01/2009 7.00,"0,2","7,4","12,4","0,2","23,5",,"1,2"
08/01/2009 8.00,"0,3","13,9","23,6","0,3","9,0",,"0,8"
08/01/2009 9.00,"0,4","12,2","24,0","0,2","9,8",,"0,9"
08/01/2009 10.00,"0,3","18,9","32,7","0,4","10,6",,"1,0"
08/01/2009 11.00,"0,3","15,5","26,1","0,5","18,6",,"2,0"
08/01/2009 12.00,"0,3","24,8","42,0","0,6","18,8",,"1,6"
08/01/2009 13.00,"0,2","16,8","27,3","0,7","44,7",,"1,9"
08/01/2009 14.00,"0,1","11,8","19,4","0,7","46,1",,"1,8"
08/01/2009 15.00,"0,2","8,6","15,8","0,7","56,5",,"1,2"
08/01/2009 16.00,"1,0","9,7","16,8","0,8","56,6",,"1,1"
08/01/2009 17.00,"1,2","17,5","24,3","0,7","39,0",,"0,7"
08/01/2009 18.00,"1,2","17,3","23,4","0,5","30,8",,"1,1"
08/01/2009 19.00,"0,8","10,1","16,0","0,5","26,9",,"1,4"
08/01/2009 20.00,"0,5","11,1","16,8","0,5","29,4",,"1,4"
08/01/2009 21.00,"0,5","20,2","26,7","0,5","21,7",,"1,3"
08/01/2009 22.00,"0,3","20,0","26,0","0,5","19,9",,"1,4"
08/01/2009 23.00,"0,4","19,4","25,0","0,5","19,9",,"1,2"
09/01/2009 0.00,"0,3","16,4","21,9","0,5","20,9",,"1,4"
09/01/2009 1.00,"0,3","15,4","20,8","0,5","20,3",,"1,2"
09/01/2009 2.00,"0,3","14,6","20,2","0,5","18,2",,"1,3"
09/01/2009 3.00,"0,2","12,7","18,0","0,4","19,3",,"1,3"
09/01/2009 4.00,"0,2","9,5","14,8","0,5","21,8",,"1,5"
09/01/2009 5.00,"0,3","5,1","10,3","0,4","42,8",,"1,1"
09/01/2009 6.00,"0,2","6,1","11,7","0,5","47,2",,"1,0"
09/01/2009 7.00,"0,2","6,0","11,4","0,4","50,7",,"1,6"
09/01/2009 8.00,"0,2","4,5","10,0","0,4","52,6",,"0,9"
09/01/2009 9.00,"0,2","2,4","7,9","0,4","51,8",,"0,8"
09/01/2009 10.00,"0,3","3,6","9,2","0,4","50,3",,"0,8"
09/01/2009 11.00,"0,4","3,2","8,7","0,4","54,2",,"0,6"
09/01/2009 12.00,"0,3","4,5","10,4","0,5","53,0",,"0,9"
09/01/2009 13.00,"0,4","3,2",,"0,6","54,9",,"1,2"
09/01/2009 14.00,"0,5",,,"0,7","58,4",,
09/01/2009 15.00,"0,6","3,2","7,1","0,6","60,8",,
09/01/2009 16.00,"0,7","2,9","7,2","0,7","59,2",,
09/01/2009 17.00,"0,6","5,2","9,8","0,6","51,8",,
09/01/2009 18.00,"0,3","2,9","7,0",,"52,1",,
09/01/2009 19.00,"0,3","6,7","11,2","0,5","48,6",,"1,6"
09/01/2009 20.00,"0,3","6,5","11,2","0,6","56,9",,"1,7"
09/01/2009 21.00,"0,2","4,4","9,1","0,5","55,2",,"1,9"
09/01/2009 22.00,"0,3","4,4","9,2","0,5","49,1",,"1,7"
09/01/2009 23.00,"0,3","5,3","10,1","0,5","46,6",,"1,8"
10/01/2009 0.00,"0,1","3,2","8,1","0,5","48,9",,"1,8"
10/01/2009 1.00,,"4,1","8,9","0,5","48,5",,"1,8"
10/01/2009 2.00,"1,3",,,"0,5","39,6",,"1,8"
10/01/2009 3.00,"1,0","5,5","8,6",,"41,7",,"1,9"
10/01/2009 4.00,"1,1","6,6","10,2","0,5",,,"1,7"
10/01/2009 5.00,"0,8","4,0","7,8","0,4","45,0",,"1,7"
10/01/2009 6.00,"1,1","3,4","7,5","0,4","50,7",,"0,9"
10/01/2009 7.00,"1,4","3,3","7,4","0,3","45,8",,"1,1"
10/01/2009 8.00,"1,3","3,0","7,4","0,4","43,6",,"0,9"
10/01/2009 9.00,"1,0","2,7","7,2","0,3","47,6",,"1,0"
10/01/2009 10.00,"1,0","2,8","7,5","0,3","46,7",,"1,0"
10/01/2009 11.00,"1,0","6,7","11,8","0,4","43,1",,"0,7"
10/01/2009 12.00,"1,1","4,0","9,0","0,3","56,1",,"0,9"
10/01/2009 13.00,"1,1","3,0","8,1","0,4","53,9",,"0,8"
10/01/2009 14.00,"1,1","3,3","8,7","0,5","50,1",,"0,7"
10/01/2009 15.00,"1,4","3,3","8,7","0,5","49,4",,"1,0"
10/01/2009 16.00,"1,2","3,7","9,4","0,5","39,8",,"0,6"
10/01/2009 17.00,"1,2","8,0","13,8","0,5","20,9",,"0,6"
10/01/2009 18.00,"1,0","6,0","11,7","0,4","22,1",,"1,0"
10/01/2009 19.00,"1,1","12,8","18,3","0,6","23,7",,"0,7"
10/01/2009 20.00,"1,3","14,4","19,9","0,6","28,9",,"1,7"
10/01/2009 21.00,"0,8","10,2","15,5","0,4","34,0",,"1,6"
10/01/2009 22.00,"0,9","10,2","15,4","0,4","34,6",,"1,3"
10/01/2009 23.00,"1,2","11,1","16,2","0,5","32,0",,"1,2"
11/01/2009 0.00,"1,1","10,8","16,1","0,5","32,0",,"1,3"
11/01/2009 1.00,"1,2","12,9","18,2","0,5","28,1",,"1,6"
11/01/2009 2.00,"0,9","14,5","19,9","0,5","25,1",,"1,5"
11/01/2009 3.00,"1,1","13,6","18,9","0,5","26,0",,"1,5"
11/01/2009 4.00,"1,2","14,4","19,9","0,6","26,0",,"1,4"
11/01/2009 5.00,"1,0","13,6","19,1","0,6","28,6",,"1,3"
11/01/2009 6.00,"1,1","12,4","17,9","0,5","30,7",,"1,4"
11/01/2009 7.00,"1,1","10,6","16,3","0,4","31,1",,"1,4"
11/01/2009 8.00,"1,2","13,1","20,5","0,4","27,6",,"1,2"
11/01/2009 9.00,"1,1","9,0","15,1","0,4","38,4",,"1,3"
11/01/2009 10.00,"1,1","7,5","13,5","0,4","56,3",,"1,3"
11/01/2009 11.00,"2,1","5,6","11,5","0,5","61,5",,"1,1"
11/01/2009 12.00,"2,3","5,5","11,8","0,5","64,3",,"1,4"
11/01/2009 13.00,"2,6","4,5","10,6","0,5","66,6",,"1,0"
11/01/2009 14.00,"2,7","5,0","11,4","0,6","66,4",,"0,8"
