NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
25/06/2009 18.00,"0,6","5,2","5,5","1,1","77,2","7,1",
25/06/2009 19.00,"0,6","4,6","4,8","1,0","77,0","7,1",
25/06/2009 20.00,"0,7","2,8","3,2","0,9","58,0","7,1",
25/06/2009 21.00,"0,5","8,3","8,8","0,7","42,9","7,1",
25/06/2009 22.00,"0,4","12,5","13,0","0,6","31,2","7,1",
25/06/2009 23.00,"0,4","11,8","12,2","0,6","18,3","7,1",
26/06/2009 0.00,"0,3","14,6","15,3","0,6","16,2","7,1",
26/06/2009 1.00,"0,3","8,8","9,1","0,6","35,1","9,3",
26/06/2009 2.00,"0,3","2,2","2,2","0,5","47,8","9,3",
26/06/2009 3.00,"0,4","2,8","2,9","0,6","41,7","9,3",
26/06/2009 4.00,"0,4","3,3","3,4","0,6","42,0","9,3",
26/06/2009 5.00,"0,4","3,7","3,8","0,5","48,3","9,3",
26/06/2009 6.00,"0,4","12,4","13,2","0,6","45,1","9,3",
26/06/2009 7.00,"0,3","6,4","6,9","0,6","55,6","9,3",
26/06/2009 8.00,"0,3","7,5","8,7","0,6","59,4","9,3",
26/06/2009 9.00,"0,5","3,6","4,2","0,8","75,4","9,3",
26/06/2009 10.00,"1,1","5,2","5,7","1,0","83,9","9,3",
26/06/2009 11.00,"0,9","6,4","6,8","1,1","94,4","9,3",
26/06/2009 12.00,"1,2","2,9","3,0","1,2","103,0","9,3",
26/06/2009 13.00,"1,2","3,5","3,9","1,4","106,2","9,3",
26/06/2009 14.00,,"3,1","3,2","1,6",,"9,3",
26/06/2009 15.00,"1,3","1,7","1,9","1,4","101,2","9,3",
26/06/2009 16.00,"0,7","2,5","2,7","1,3","92,9","9,3",
26/06/2009 17.00,"0,8","4,2","4,8","1,1","70,3","9,3",
26/06/2009 18.00,"0,7","3,1","3,1","1,1","82,5","9,3",
26/06/2009 19.00,"0,5","8,7","9,2","1,1","73,2","9,3",
26/06/2009 20.00,"0,7","19,4","20,3","0,9","49,2","9,3",
26/06/2009 21.00,"0,4","27,9","30,2","0,8","21,3","9,3",
26/06/2009 22.00,"0,4","13,2","14,9","0,7","16,6","9,3",
26/06/2009 23.00,"0,5","3,1","3,3","0,6","25,0","9,3",
27/06/2009 0.00,"0,5","3,9","3,9","0,7","24,8","9,3",
27/06/2009 1.00,,"3,4","3,5","0,7","33,4","8,9","1,2"
27/06/2009 2.00,"1,2",,,"0,7","25,3","8,9","0,6"
27/06/2009 3.00,,"8,4","8,6",,,"8,9","0,5"
27/06/2009 4.00,"1,3","4,5","4,5","0,3",,"8,9","0,0"
27/06/2009 5.00,"1,1","4,5","4,5","0,3","52,7","8,9","0,0"
27/06/2009 6.00,"1,2","6,2","6,6","0,3","49,1","8,9","0,0"
27/06/2009 7.00,"1,6","5,2","5,7","0,4","57,9","8,9","0,0"
27/06/2009 8.00,"1,8","4,8","5,3","0,6","63,6","8,9","0,8"
27/06/2009 9.00,"1,4","1,6","1,8","0,8","74,0","8,9","0,5"
27/06/2009 10.00,,"1,0","1,3","1,1",,"8,9","0,0"
27/06/2009 11.00,"1,9","0,6","0,6","1,1","91,5","8,9","0,6"
27/06/2009 12.00,"1,8","1,9","2,0","1,2","97,7","8,9","0,0"
27/06/2009 13.00,"2,0","5,3","6,3","1,3","95,9","8,9","0,0"
27/06/2009 14.00,"2,4","0,2","0,2","1,3","100,6","8,9","0,0"
27/06/2009 15.00,"1,9",,,"1,4","95,8","8,9","1,0"
27/06/2009 16.00,"1,9","3,3","3,6","1,1","87,1","8,9","0,4"
27/06/2009 17.00,"2,0","3,2","3,4","0,9","88,8","8,9","0,0"
27/06/2009 18.00,"2,1","3,2","3,3","0,8","87,4","8,9","0,4"
27/06/2009 19.00,"2,3","6,6","6,7","0,8","78,6","8,9","0,8"
27/06/2009 20.00,"2,2","7,7","7,9","0,7","66,3","8,9","1,0"
27/06/2009 21.00,"1,9","8,6","8,9","0,6","58,6","8,9","0,9"
27/06/2009 22.00,"1,4","8,2","8,4","0,5","69,3","8,9","0,9"
27/06/2009 23.00,"1,2","7,4","7,6","0,5","46,1","8,9","0,9"
28/06/2009 0.00,"1,4","11,5","11,7","0,5","49,4","8,9","0,4"
28/06/2009 1.00,"1,2","8,0","8,2","0,5","57,5","14,1","0,5"
28/06/2009 2.00,"1,4","6,2","6,3","0,5","63,5","14,1","0,9"
28/06/2009 3.00,"1,5","3,6","3,6","0,5","67,6","14,1","0,7"
28/06/2009 4.00,"1,3","3,7","3,8","0,4","62,8","14,1","0,0"
28/06/2009 5.00,"0,9","3,8","3,9","0,4","56,5","14,1","0,0"
28/06/2009 6.00,"1,3","6,4","6,9","0,4","50,4","14,1","0,4"
28/06/2009 7.00,"1,4","6,6","7,6","0,5","63,5","14,1","0,7"
28/06/2009 8.00,"1,1","3,3","3,8","0,6","83,2","14,1","0,8"
28/06/2009 9.00,"1,3","5,0","5,5","0,9","88,7","14,1","0,0"
28/06/2009 10.00,"1,4","5,5","6,0","1,1","93,8","14,1","0,0"
28/06/2009 11.00,"1,3","3,1","3,4","1,2","100,5","14,1","1,1"
28/06/2009 12.00,"1,2",,,"1,1","101,6","14,1","0,9"
28/06/2009 13.00,"1,2","0,7","0,8","1,1","105,8","14,1","0,7"
28/06/2009 14.00,"1,5","0,3","0,3","1,2","109,0","14,1","0,4"
28/06/2009 15.00,"1,5","0,1","0,1","1,1","109,2","14,1","0,0"
28/06/2009 16.00,"1,4","2,1","2,2","0,9","106,0","14,1","0,0"
28/06/2009 17.00,"1,3","6,2","6,5","1,1","104,5","14,1","0,0"
28/06/2009 18.00,"1,8","2,8","2,9","1,1","108,6","14,1","0,4"
28/06/2009 19.00,"1,5","7,7","7,9","0,9","99,4","14,1","0,5"
28/06/2009 20.00,"1,4","11,4","11,9","0,8","68,5","14,1","1,6"
28/06/2009 21.00,"1,3","18,4","18,8","0,6","42,7","14,1","1,4"
28/06/2009 22.00,"1,5","15,0","15,6","0,6","38,6","14,1","0,7"
28/06/2009 23.00,"1,7","14,9","15,1","0,6","38,8","14,1","0,0"
29/06/2009 0.00,"1,3","19,0","19,4","0,6","32,7","14,1","3,8"
29/06/2009 1.00,,"16,9","17,5","0,5","30,3","12,4","2,1"
29/06/2009 2.00,"0,4",,,"0,6","41,4","12,4","1,4"
29/06/2009 3.00,"0,3","9,6","9,7",,"45,4","12,4","1,4"
29/06/2009 4.00,"0,3","6,3","6,6","0,4",,"12,4","1,0"
29/06/2009 5.00,"0,5","8,7","9,0","0,4","36,4","12,4","0,5"
29/06/2009 6.00,"0,4","11,0","12,3","0,4","41,4","12,4","0,4"
29/06/2009 7.00,"0,4","6,4","7,2","0,6","64,4","12,4","0,5"
29/06/2009 8.00,"0,4","3,1","3,6","0,7","82,2","12,4","0,4"
29/06/2009 9.00,"0,5","0,8","1,1","0,9","92,3","12,4","2,5"
29/06/2009 10.00,"0,4","0,3","0,3","1,2","97,0","12,4","2,9"
29/06/2009 11.00,"0,5",,,"1,2","101,1","12,4","0,0"
29/06/2009 12.00,"0,6",,,"1,2","100,0","12,4","0,0"
29/06/2009 13.00,"0,6",,,"1,2","104,7","12,4","0,0"
29/06/2009 14.00,"0,9",,,"1,2","106,0","12,4","0,5"
29/06/2009 15.00,"0,9",,,"1,3","103,8","12,4","0,4"
29/06/2009 16.00,"1,0","0,7","0,8","1,3","110,2","12,4","0,0"
29/06/2009 17.00,"0,8","0,4","0,5","1,2","110,7","12,4","0,9"
29/06/2009 18.00,"0,8","0,1","0,1","1,2","103,0","12,4","1,0"
29/06/2009 19.00,"0,6","0,4","0,4","1,1","98,0","12,4","0,0"
29/06/2009 20.00,"0,6","1,8","1,8","0,8","85,4","12,4","0,0"
29/06/2009 21.00,"0,6","11,2","11,7","0,7","53,1","12,4","0,0"
29/06/2009 22.00,"0,7","10,0","10,4","0,6","32,7","12,4","0,7"
29/06/2009 23.00,"0,7","9,9","10,2","0,6","40,3","12,4","0,8"
30/06/2009 0.00,"0,6","12,7","12,8","0,5","46,4","12,4","0,0"
30/06/2009 1.00,"0,7","6,8","7,1","0,6","40,5","14,8","1,0"
30/06/2009 2.00,"0,6","6,0","6,1","0,5","26,2","14,8","1,0"
30/06/2009 3.00,"0,4","4,4","4,8","0,5","21,4","14,8","0,5"
30/06/2009 4.00,"0,5","4,1","4,5","0,5","32,4","14,8","0,4"
30/06/2009 5.00,"0,4","6,2","6,6","0,5","25,5","14,8","0,6"
30/06/2009 6.00,"0,4","9,5","10,7","0,5","29,1","14,8","0,6"
30/06/2009 7.00,"0,3","6,2","6,9","0,6","57,7","14,8","1,3"
30/06/2009 8.00,"0,3","2,6","2,9","0,7","82,6","14,8","0,7"
30/06/2009 9.00,"0,4",,,"0,8","92,3","14,8","0,4"
30/06/2009 10.00,"0,5",,,"1,1","93,2","14,8","0,0"
30/06/2009 11.00,"0,6",,,"1,1","96,4","14,8","0,0"
30/06/2009 12.00,"0,8",,,"1,1","117,4","14,8","0,0"
30/06/2009 13.00,"0,4",,,"1,1","96,9","14,8","0,0"
30/06/2009 14.00,"0,4","3,6","3,8","0,9","93,4","14,8","0,0"
30/06/2009 15.00,"0,6","3,4","3,6","0,8","94,8","14,8","0,6"
30/06/2009 16.00,"0,6","1,0","1,2","0,9","96,9","14,8","1,1"
30/06/2009 17.00,"0,6","0,2","0,2","1,0","101,7","14,8","0,4"
30/06/2009 18.00,"0,6",,,"1,2","97,8","14,8","0,0"
30/06/2009 19.00,"0,5","0,9","1,1","1,0","90,9","14,8","0,0"
30/06/2009 20.00,"0,6","6,0","6,2","0,8","65,2","14,8","0,0"
30/06/2009 21.00,"0,6","16,7","17,3","0,7","36,9","14,8","0,5"
30/06/2009 22.00,"0,7","15,0","15,5","0,6","36,1","14,8","0,0"
30/06/2009 23.00,"0,6","15,5","16,1","0,6","26,8","14,8","1,2"
01/07/2009 0.00,"0,7","15,7","16,4","0,6","27,0","14,8","1,4"
01/07/2009 1.00,,"12,7","13,5","0,6",,"14,8","0,0"
01/07/2009 2.00,"1,0",,,"0,7",,"14,8","0,7"
01/07/2009 3.00,"0,8","13,3","13,8",,,"14,8","1,1"
01/07/2009 4.00,"0,7","7,6","7,9","0,5",,"14,8","0,9"
01/07/2009 5.00,"0,7","6,2","6,6","0,5",,"14,8","0,8"
01/07/2009 6.00,"0,7","7,3","8,0","0,4",,"14,8","1,0"
01/07/2009 7.00,"0,9","4,8","5,5","0,4",,"14,8","1,0"
01/07/2009 8.00,"0,8","3,7","4,3","0,5",,"14,8","0,5"
01/07/2009 9.00,"1,0","4,6","5,0","0,7",,"14,8","0,0"
01/07/2009 10.00,"1,0","0,4","0,4","0,9",,"14,8","0,0"
01/07/2009 11.00,"1,0","0,5","0,5","1,0",,"14,8","0,0"
01/07/2009 12.00,"0,8",,,"0,9",,"14,8","0,0"
01/07/2009 13.00,"0,7",,,"0,9",,"14,8","0,0"
01/07/2009 14.00,"0,7",,,"0,9",,"14,8","0,0"
01/07/2009 15.00,"0,8",,,"0,9",,"14,8","0,0"
01/07/2009 16.00,"0,7",,,,,"14,8","0,0"
01/07/2009 17.00,"0,7",,,,,"14,8","0,0"
01/07/2009 18.00,"0,7","6,4","6,8","1,0",,"14,8","0,0"
01/07/2009 19.00,"0,8","3,5","3,6","1,1",,"14,8","0,0"
01/07/2009 20.00,"1,3","6,6","7,0","1,0",,"14,8","0,8"
01/07/2009 21.00,"0,8","19,5","20,0","1,0",,"14,8","0,4"
01/07/2009 22.00,"0,7","12,0","12,6","1,0",,"14,8","0,6"
01/07/2009 23.00,"0,7","20,6","21,4","1,0",,"14,8","0,5"
02/07/2009 0.00,"0,7","16,4","17,4","1,0",,"14,8","0,6"
02/07/2009 1.00,"0,7","9,2","9,9","1,0",,"16,5","0,7"
02/07/2009 2.00,"0,9","8,9","9,8","1,0",,"16,5","1,7"
02/07/2009 3.00,"0,9","8,2","8,8","1,0",,"16,5","0,0"
02/07/2009 4.00,"1,0","7,1","7,8","1,0",,"16,5","1,0"
02/07/2009 5.00,"0,8","10,9","11,8","1,0",,"16,5","2,0"
02/07/2009 6.00,"0,6","14,9","18,6","1,0",,"16,5","1,3"
02/07/2009 7.00,"0,8","12,1","14,4","0,9",,"16,5","0,0"
02/07/2009 8.00,"0,5","5,9","6,5","0,8",,"16,5","2,8"
02/07/2009 9.00,"0,9","3,6","3,9","1,1",,"16,5",
02/07/2009 10.00,"0,6","11,4","12,8","1,2",,"16,5",
02/07/2009 11.00,"1,0","23,6","26,4","1,1",,"16,5",
02/07/2009 12.00,"1,0","9,6","10,3","0,9",,"16,5",
02/07/2009 13.00,"1,4","9,4","10,3","0,4",,"16,5",
02/07/2009 14.00,"2,0","13,7","15,5","0,3",,"16,5","0,6"
02/07/2009 15.00,"1,7","14,9","16,6","0,3",,"16,5","0,1"
02/07/2009 16.00,"1,5","14,5","16,5","0,3",,"16,5","0,2"
02/07/2009 17.00,"1,6","15,2","16,8","0,3",,"16,5","0,3"
02/07/2009 18.00,"1,1","17,0","19,0","0,4",,"16,5","0,2"
02/07/2009 19.00,"1,5","16,2","18,1","0,7",,"16,5","0,0"
02/07/2009 20.00,"1,5","15,8","17,8","0,8",,"16,5","0,0"
02/07/2009 21.00,"1,3","15,4","18,0","1,2",,"16,5","0,2"
02/07/2009 22.00,"1,3","20,6","24,5","1,2",,"16,5","0,2"
02/07/2009 23.00,"1,2","17,0","21,9","1,2",,"16,5","0,2"
03/07/2009 0.00,"1,0","16,3","21,2","1,3",,"16,5","0,2"
03/07/2009 1.00,,"14,4","20,1","1,3",,"16,7","0,2"
03/07/2009 2.00,"0,6",,,"1,4",,"16,7","0,2"
03/07/2009 3.00,"0,5",,,,,"16,7","0,4"
03/07/2009 4.00,"0,6",,,"0,3",,"16,7","0,3"
03/07/2009 5.00,"0,6",,,"0,3",,"16,7","0,7"
03/07/2009 6.00,"0,7",,,"0,3",,"16,7","0,7"
03/07/2009 7.00,"0,9",,,"0,3",,"16,7","0,3"
03/07/2009 8.00,"0,5",,,"0,3",,"16,7","0,3"
03/07/2009 9.00,"0,9",,,"0,2",,"16,7","0,2"
03/07/2009 10.00,"0,9",,,"0,0",,"16,7","0,3"
03/07/2009 11.00,"1,1",,,"0,0",,"16,7","0,1"
03/07/2009 12.00,"1,5",,,"0,0",,"16,7","0,1"
03/07/2009 13.00,"1,2",,,"0,0",,"16,7","0,3"
03/07/2009 14.00,"1,0",,,"0,0",,"16,7","0,2"
03/07/2009 15.00,"1,3",,,"0,0",,"16,7","0,1"
03/07/2009 16.00,"1,4",,,"0,0",,"16,7","0,3"
03/07/2009 17.00,"1,2",,,"0,0",,"16,7","0,2"
03/07/2009 18.00,"1,2",,,"0,0",,"16,7","0,4"
03/07/2009 19.00,"1,4",,,"0,1",,"16,7","0,4"
03/07/2009 20.00,"1,4",,,"0,1",,"16,7","0,4"
03/07/2009 21.00,"1,6",,,"0,1",,"16,7","0,3"
03/07/2009 22.00,"1,3",,,"0,2",,"16,7","0,3"
03/07/2009 23.00,"1,2",,,"0,2",,"16,7","0,2"
04/07/2009 0.00,"1,0",,,"0,2",,"16,7","0,5"
04/07/2009 1.00,"0,8",,,"0,2",,"19,5","0,4"
04/07/2009 2.00,"0,7",,,"0,2",,"19,5","0,0"
04/07/2009 3.00,"0,9",,,"0,2",,"19,5","0,4"
04/07/2009 4.00,"1,0",,,"0,3",,"19,5","0,1"
04/07/2009 5.00,"0,8",,,"0,3",,"19,5","0,2"
04/07/2009 6.00,"0,9",,,"0,2",,"19,5","0,4"
04/07/2009 7.00,"0,9",,,"0,2",,"19,5","0,2"
04/07/2009 8.00,"0,9",,,"0,2",,"19,5","0,6"
04/07/2009 9.00,"1,0",,,"0,1",,"19,5","0,3"
04/07/2009 10.00,"1,1",,,"0,0",,"19,5","0,1"
04/07/2009 11.00,"1,1",,,"0,0",,"19,5","0,1"
04/07/2009 12.00,"1,3",,,"0,0",,"19,5","0,4"
04/07/2009 13.00,"1,5",,,"0,0",,"19,5","0,1"
04/07/2009 14.00,"1,6",,,"0,0",,"19,5","0,3"
04/07/2009 15.00,"1,1",,,"0,0",,"19,5","0,3"
04/07/2009 16.00,"1,5",,,"0,0",,"19,5","0,2"
04/07/2009 17.00,"1,5",,,"0,0",,"19,5","0,6"
04/07/2009 18.00,"2,1",,,"0,0",,"19,5","0,6"
04/07/2009 19.00,"1,9",,,"0,0",,"19,5","0,3"
04/07/2009 20.00,"1,8",,,"0,1",,"19,5","0,3"
04/07/2009 21.00,"1,7",,,"0,2",,"19,5","0,0"
04/07/2009 22.00,"1,7",,,"0,2",,"19,5","0,9"
04/07/2009 23.00,"2,0",,,"0,1",,"19,5","0,3"
05/07/2009 0.00,"2,0",,,"0,2",,"19,5","0,5"
05/07/2009 1.00,,,,"0,3",,"21,7","0,5"
05/07/2009 2.00,"0,7",,,"0,3",,"21,7","0,2"
05/07/2009 3.00,"1,0","12,1","12,8",,,"21,7","0,2"
05/07/2009 4.00,"0,8","7,1","7,5","0,6",,"21,7","0,4"
05/07/2009 5.00,"1,0","6,3","6,7","0,6",,"21,7","0,4"
05/07/2009 6.00,"1,1","8,1","8,7","0,5",,"21,7","0,2"
05/07/2009 7.00,"0,8","8,6","9,3","0,5",,"21,7","0,2"
05/07/2009 8.00,"0,8","10,3","11,1","0,5",,"21,7","0,5"
05/07/2009 9.00,"0,7","6,1","6,6","0,2",,"21,7","0,4"
05/07/2009 10.00,"0,6","1,6","1,7","0,1",,"21,7","0,0"
05/07/2009 11.00,"1,6","2,3","2,4","0,1",,"21,7","0,0"
05/07/2009 12.00,"1,7","2,3","2,4","0,1",,"21,7","0,0"
05/07/2009 13.00,"1,5","1,8","2,0","0,1",,"21,7","0,5"
05/07/2009 14.00,"1,5","0,3","0,3","0,0",,"21,7","0,4"
05/07/2009 15.00,"1,5","0,6","0,6","0,0",,"21,7","0,3"
05/07/2009 16.00,"1,4","2,9","2,9","0,1",,"21,7","0,3"
05/07/2009 17.00,"1,6","3,8","4,0","0,2",,"21,7","0,4"
05/07/2009 18.00,"2,1","5,2","5,3","0,2",,"21,7","0,2"
05/07/2009 19.00,"1,6","6,4","6,6","0,3",,"21,7","0,3"
05/07/2009 20.00,"1,5","10,9","11,5","0,3",,"21,7","0,4"
05/07/2009 21.00,"1,0","9,8","10,2","0,4",,"21,7","0,4"
05/07/2009 22.00,"1,1","7,2","7,3","0,4",,"21,7","0,4"
05/07/2009 23.00,"1,2","8,4","8,7","0,5",,"21,7","0,3"
06/07/2009 0.00,"1,3","9,5","10,0","0,5",,"21,7","0,2"
06/07/2009 1.00,"1,2","13,3","13,7","0,6",,"15,3","0,2"
06/07/2009 2.00,"1,2","12,7","13,2","0,7",,"15,3","0,3"
06/07/2009 3.00,"1,1","6,0","6,5","0,7",,"15,3","0,3"
06/07/2009 4.00,"1,1","5,0","5,2","0,6",,"15,3","0,5"
06/07/2009 5.00,"1,1","8,5","8,8","0,5",,"15,3","0,2"
06/07/2009 6.00,"1,1","20,5","24,5","0,5",,"15,3","0,5"
06/07/2009 7.00,"0,7","12,4","13,6","0,5",,"15,3","0,3"
06/07/2009 8.00,"0,8","7,5","8,5","0,5",,"15,3","0,4"
06/07/2009 9.00,"0,8","12,4","14,0","0,3",,"15,3","0,4"
06/07/2009 10.00,"0,8","9,1","10,2","0,2",,"15,3","0,2"
06/07/2009 11.00,"1,3","6,9","7,4","0,1",,"15,3","0,2"
06/07/2009 12.00,"1,8","7,3","7,9","0,1",,"15,3","0,2"
06/07/2009 13.00,"1,6","8,8","9,6","0,0",,"15,3","0,4"
06/07/2009 14.00,"2,4",,,"0,0",,"15,3","0,4"
06/07/2009 15.00,"2,0","1,4","1,5","0,1",,"15,3","0,3"
06/07/2009 16.00,"1,5",,,,,"15,3","0,2"
06/07/2009 17.00,"1,7",,,,,"15,3","0,2"
06/07/2009 18.00,"1,7","6,6","6,9","0,2",,"15,3","0,3"
06/07/2009 19.00,"1,5","3,2","3,4","0,2",,"15,3","0,2"
06/07/2009 20.00,"1,5","3,5","4,1","0,5",,"15,3","0,0"
06/07/2009 21.00,"0,9","3,4","3,8","0,6",,"15,3","0,1"
06/07/2009 22.00,"1,4","6,9","7,4","0,7",,"15,3","0,3"
06/07/2009 23.00,"0,7","11,2","11,7","0,7",,"15,3","0,3"
07/07/2009 0.00,"0,9","8,9","9,6","0,8",,"15,3","0,2"
07/07/2009 1.00,,"9,7","10,4","0,9",,"21,3","0,2"
07/07/2009 2.00,"0,6",,,"0,9",,"21,3","0,5"
07/07/2009 3.00,"0,3","18,8","19,5",,,"21,3","0,3"
07/07/2009 4.00,"0,3","12,1","12,9","0,3",,"21,3","0,7"
07/07/2009 5.00,"0,3","11,1","11,5","0,4",,"21,3","0,8"
07/07/2009 6.00,"0,4","14,6","17,3","0,4",,"21,3","0,8"
07/07/2009 7.00,"0,2","6,6","7,5","0,4",,"21,3","1,0"
07/07/2009 8.00,"0,4","5,0","5,4","0,3",,"21,3","0,3"
07/07/2009 9.00,"0,4","8,6","9,5","0,2",,"21,3","0,4"
07/07/2009 10.00,"0,2","6,1","6,8","0,2",,"21,3","0,1"
07/07/2009 11.00,"0,2","2,9","3,0","0,1",,"21,3","0,3"
07/07/2009 12.00,"0,1","1,1","1,2","0,1",,"21,3","0,2"
07/07/2009 13.00,"0,2","0,3","0,3","0,1",,"21,3","0,1"
07/07/2009 14.00,"0,4","0,8","1,0","0,1",,"21,3","0,1"
07/07/2009 15.00,"0,1","1,3","1,4","0,0",,"21,3","0,0"
07/07/2009 16.00,"0,2","1,0","1,1","0,0",,"21,3","0,3"
07/07/2009 17.00,"0,1","1,5","1,7","0,0",,"21,3","0,3"
07/07/2009 18.00,"0,3","2,1","2,2","0,0",,"21,3","0,3"
07/07/2009 19.00,"0,5","3,7","3,8","0,0",,"21,3","0,1"
07/07/2009 20.00,"0,3","7,5","7,8","0,1",,"21,3","0,3"
07/07/2009 21.00,"0,3","14,3","14,9","0,2",,"21,3","0,2"
07/07/2009 22.00,"0,2","8,8","9,3","0,3",,"21,3","0,0"
07/07/2009 23.00,"0,4","11,1","11,5","0,3",,"21,3","0,3"
08/07/2009 0.00,"0,2","8,5","8,8","0,3",,"21,3","0,8"
08/07/2009 1.00,"0,2","5,0","5,3","0,3",,"16,2","0,5"
08/07/2009 2.00,"0,2","5,1","5,3","0,3",,"16,2","0,2"
08/07/2009 3.00,"0,1","4,8","5,2","0,4",,"16,2","0,2"
08/07/2009 4.00,"0,2","4,3","4,7","0,4",,"16,2","0,3"
08/07/2009 5.00,"0,4","4,8","5,2","0,4",,"16,2","0,4"
08/07/2009 6.00,"0,5","10,2","11,1","0,3",,"16,2","0,1"
08/07/2009 7.00,"0,3","9,5","11,3","0,4",,"16,2","0,2"
08/07/2009 8.00,"0,4","7,8","9,2","0,3",,"16,2","0,4"
08/07/2009 9.00,"0,4","4,0","4,5","0,1",,"16,2","0,6"
08/07/2009 10.00,"0,5","1,6","1,8","0,0",,"16,2","0,4"
08/07/2009 11.00,"0,3","1,0","1,1","0,0",,"16,2","0,1"
08/07/2009 12.00,"0,4","0,9","1,1","0,0",,"16,2","0,1"
08/07/2009 13.00,"0,7","1,2","1,3","0,0",,"16,2","0,2"
08/07/2009 14.00,"1,1","1,1","1,2","0,0",,"16,2","0,3"
08/07/2009 15.00,"1,0","1,4","1,4","0,0",,"16,2","0,3"
08/07/2009 16.00,"0,6","0,9","1,1","0,0",,"16,2","0,1"
08/07/2009 17.00,"0,5","1,1","1,3","0,0",,"16,2","0,3"
08/07/2009 18.00,"0,9","1,8","1,9","0,0",,"16,2","0,3"
08/07/2009 19.00,"0,7","3,2","3,4","0,0",,"16,2","0,3"
08/07/2009 20.00,"0,8","7,1","7,2","0,1",,"16,2","0,2"
08/07/2009 21.00,"0,8","7,7","7,9","0,2",,"16,2","0,5"
08/07/2009 22.00,"0,8","6,3","6,6","0,3",,"16,2","0,2"
08/07/2009 23.00,"0,7","4,7","5,0","0,3",,"16,2","0,4"
09/07/2009 0.00,"0,7","3,3","3,4","0,3",,"16,2","0,4"
09/07/2009 1.00,,"2,5","2,6","0,3",,"15,6","0,1"
09/07/2009 2.00,"0,8",,,"0,4",,"15,6","0,2"
09/07/2009 3.00,"0,6","14,6","15,3",,,"15,6","0,0"
09/07/2009 4.00,"0,7","6,2","6,8","0,3",,"15,6","0,4"
09/07/2009 5.00,"0,7","10,9","11,7","0,3",,"15,6","0,4"
09/07/2009 6.00,"0,5","11,9","13,0","0,3",,"15,6","0,5"
09/07/2009 7.00,"0,5","8,8","10,0","0,3",,"15,6","0,3"
09/07/2009 8.00,"0,6","5,3","6,1","0,2",,"15,6","0,4"
09/07/2009 9.00,"1,8","13,2","15,7","0,1",,"15,6","0,3"
09/07/2009 10.00,"3,7","8,7","9,7","0,1",,"15,6","0,4"
09/07/2009 11.00,"2,1","1,9","2,1","0,1",,"15,6","0,4"
09/07/2009 12.00,"1,7","2,2","2,5","0,0",,"15,6","0,2"
09/07/2009 13.00,"1,8","2,4","2,5","0,0",,"15,6","0,4"
09/07/2009 14.00,"1,6","1,8","2,0","0,0",,"15,6","0,4"
09/07/2009 15.00,"2,1","2,2","2,3","0,0",,"15,6","0,4"
09/07/2009 16.00,"1,9",,,,,"15,6","0,4"
09/07/2009 17.00,"1,4",,,,,"15,6","0,2"
09/07/2009 18.00,"1,1","8,1","8,4","1,2",,"15,6","0,3"
09/07/2009 19.00,"1,0","10,9","11,2","1,2",,"15,6","0,2"
09/07/2009 20.00,"1,0","10,5","11,7","1,1",,"15,6","0,2"
09/07/2009 21.00,"0,8","4,6","5,1","1,0",,"15,6","0,1"
09/07/2009 22.00,"0,7","3,9","4,3","1,0",,"15,6","0,3"
09/07/2009 23.00,"0,5","12,0","12,4","0,9",,"15,6","0,2"
10/07/2009 0.00,"0,6","10,9","11,4","1,0",,"15,6","0,2"
10/07/2009 1.00,"0,8","14,2","14,8","1,1",,"18,2","0,3"
10/07/2009 2.00,"0,8","10,6","11,1","1,0",,"18,2","0,5"
10/07/2009 3.00,"0,7","12,4","12,9","1,0",,"18,2","0,3"
10/07/2009 4.00,"0,7","6,6","6,9","0,9",,"18,2","0,6"
10/07/2009 5.00,"0,6","7,2","7,7","0,9",,"18,2","0,2"
10/07/2009 6.00,"0,7","8,1","9,0","0,9",,"18,2","0,3"
10/07/2009 7.00,"0,4","6,1","7,2","0,9",,"18,2","0,3"
10/07/2009 8.00,"0,4","4,0","4,9","1,0",,"18,2","0,0"
10/07/2009 9.00,"0,5","3,0","3,4","1,3",,"18,2","0,3"
10/07/2009 10.00,"0,7","6,1","6,8","1,4",,"18,2","0,3"
10/07/2009 11.00,"0,6","5,6","6,2","1,2",,"18,2","0,4"
10/07/2009 12.00,"1,0","1,4","1,5",,,"18,2","0,4"
10/07/2009 13.00,"0,9","0,4","0,5",,,"18,2","0,3"
10/07/2009 14.00,"0,7","0,4","0,4","0,4",,"18,2","0,2"
10/07/2009 15.00,"0,7",,,"0,3",,"18,2","0,2"
10/07/2009 16.00,"0,7","0,1","0,1","0,3",,"18,2","0,0"
10/07/2009 17.00,"0,8","1,0","1,2","0,3",,"18,2","0,0"
10/07/2009 18.00,,"1,9","2,0",,,"18,2","0,1"
10/07/2009 19.00,,"5,9","6,2",,,"18,2","0,1"
10/07/2009 20.00,"1,0","3,9","4,5","0,0",,"18,2","0,2"
10/07/2009 21.00,"0,7","17,0","18,1","0,0",,"18,2","0,1"
10/07/2009 22.00,"0,8","4,8","5,2","0,0",,"18,2","0,0"
10/07/2009 23.00,"0,7","6,0","6,4","0,0",,"18,2","0,2"
