"NetC","SIMAGE Brindisi","","","",""
"Stat","Via Dei Mille","","","",""
Parm,SO2,NOX,NO2,PM10
03/07/2011 13.00,"0,6","7,5","5,9",
03/07/2011 14.00,"0,6","4,7",4,"9,5"
03/07/2011 15.00,"0,6","9,6","8,1",
03/07/2011 16.00,"0,6","11,5","9,4","6,3"
03/07/2011 17.00,"0,6","11,8","9,6",
03/07/2011 18.00,"0,6","14,4","11,1","8,5"
03/07/2011 19.00,"0,6","25,2","21,1",
03/07/2011 20.00,"0,6","29,9","23,7","5,1"
03/07/2011 21.00,"0,6","67,1","54,7",
03/07/2011 22.00,"0,6","104,5","82,5","8,5"
03/07/2011 23.00,"0,6","84,8","69,1",
04/07/2011 0.00,"0,7","66,4","52,4","15,1"
04/07/2011 1.00,"0,6","41,5","36,5",
04/07/2011 2.00,"0,5","34,7","29,9","16,1"
04/07/2011 3.00,"0,6","21,3","20,8",
04/07/2011 4.00,"0,6","29,9","28,8",9
04/07/2011 5.00,"0,6","39,5","36,7",
04/07/2011 6.00,"0,6","89,6","70,3","11,7"
04/07/2011 7.00,"0,6",80,"63,5",
04/07/2011 8.00,"0,6","55,5",42,"21,2"
04/07/2011 9.00,"0,6","31,3","24,9",
04/07/2011 10.00,"0,6","56,2","45,1","46,2"
04/07/2011 11.00,"0,6","40,8","33,9",
04/07/2011 12.00,"0,6","60,2","47,4","29,1"
04/07/2011 13.00,"0,6","77,3","57,7",
04/07/2011 14.00,"0,6","45,2","36,5","25,6"
04/07/2011 15.00,"0,8","43,4","34,7",
04/07/2011 16.00,"0,8","35,7","29,9","21,7"
04/07/2011 17.00,"1,3","34,9","29,7",
04/07/2011 18.00,1,"32,2","28,2","19,8"
04/07/2011 19.00,"0,8","27,4","23,6",
04/07/2011 20.00,"0,6","53,2","43,7",21
04/07/2011 21.00,"0,9","78,4","67,6",
04/07/2011 22.00,"0,6","63,9","56,1","22,5"
04/07/2011 23.00,"0,6","24,6",22,
05/07/2011 0.00,"0,6","27,3","23,1",22
05/07/2011 1.00,,"14,8","13,1",
05/07/2011 2.00,"0,8",,,"37,1"
05/07/2011 3.00,"0,5","9,5","8,6",
05/07/2011 4.00,"0,6","7,1",7,"29,1"
05/07/2011 5.00,"0,6","11,9","11,5",
05/07/2011 6.00,"0,6","26,5","23,2","21,7"
05/07/2011 7.00,"0,6","39,3","29,3",
05/07/2011 8.00,"0,6","29,2",24,"25,4"
05/07/2011 9.00,"0,5","38,3","28,3",
05/07/2011 10.00,"0,6","76,4","55,5",31
05/07/2011 11.00,"0,6","31,6","23,5",
05/07/2011 12.00,"0,6","30,6","23,9","29,1"
05/07/2011 13.00,"0,6","36,2",29,
05/07/2011 14.00,"0,6","18,5","16,2",19
05/07/2011 15.00,"0,6","27,2","23,8",
05/07/2011 16.00,"0,6","31,5","28,1","22,7"
05/07/2011 17.00,"0,5","62,9","52,1",
05/07/2011 18.00,"0,6","55,1","45,9",32
05/07/2011 19.00,"0,6",80,"63,6",
05/07/2011 20.00,"0,6","78,3","61,8","29,8"
05/07/2011 21.00,"0,6","60,7","50,1",
05/07/2011 22.00,"0,6","50,6","43,1","38,3"
05/07/2011 23.00,"0,6","33,4","26,8",
06/07/2011 0.00,"0,5","21,2","17,7","28,1"
06/07/2011 1.00,"0,6","17,4","15,1",
06/07/2011 2.00,"0,6","12,9","11,7","24,9"
06/07/2011 3.00,"0,5","11,3","10,8",
06/07/2011 4.00,"0,5","15,3","15,1","16,4"
06/07/2011 5.00,"0,6","23,1","21,7",
06/07/2011 6.00,"0,6",33,"27,9","14,4"
06/07/2011 7.00,"0,6","23,1","18,5",
06/07/2011 8.00,"0,6","20,8","17,4","17,1"
06/07/2011 9.00,"0,6",22,"16,9",
06/07/2011 10.00,"0,6",26,"18,6","11,2"
06/07/2011 11.00,"0,6","19,2","14,7",
06/07/2011 12.00,"0,6","48,3",31,"7,1"
06/07/2011 13.00,"0,6","48,8","34,8",
06/07/2011 14.00,"0,6","42,6","30,5",12
06/07/2011 15.00,"0,6",15,"11,7",
06/07/2011 16.00,"0,6","16,1","12,1","7,3"
06/07/2011 17.00,"0,6","12,7","9,8",
06/07/2011 18.00,"0,6","12,5","10,7","12,5"
06/07/2011 19.00,"0,4","13,1","11,7",
06/07/2011 20.00,"0,5","16,8","14,7","9,3"
06/07/2011 21.00,"0,5","26,3","21,7",
06/07/2011 22.00,"0,6","34,9","30,2","17,1"
06/07/2011 23.00,"0,6","65,8","52,2",
07/07/2011 0.00,"0,6","66,1","48,7","16,8"
07/07/2011 1.00,,"42,8",34,
07/07/2011 2.00,"1,2",,,"21,7"
07/07/2011 3.00,"0,6",18,"15,6",
07/07/2011 4.00,"0,6","11,4","11,1","18,1"
07/07/2011 5.00,"0,6",20,"18,2",
07/07/2011 6.00,"0,6","33,4","29,3","17,1"
07/07/2011 7.00,"0,6","56,1","41,1",
07/07/2011 8.00,"0,6",32,"24,9",21
07/07/2011 9.00,"0,6",40,30,
07/07/2011 10.00,"0,6",21,"17,1","18,3"
07/07/2011 11.00,"0,6","21,6","16,4",
07/07/2011 12.00,"0,6","30,8","22,2","12,9"
07/07/2011 13.00,"0,6","16,8","13,4",
07/07/2011 14.00,"0,5","18,6","13,7","7,3"
07/07/2011 15.00,"2,2","3,4","3,2",
07/07/2011 16.00,"0,8","5,6","4,8","8,8"
07/07/2011 17.00,"0,5","13,3",11,
07/07/2011 18.00,"0,5","23,6","19,8","16,6"
07/07/2011 19.00,"0,5","28,8","23,8",
07/07/2011 20.00,"0,5","34,1","28,3","13,7"
07/07/2011 21.00,"0,6","40,8","34,6",
07/07/2011 22.00,"0,9",97,"70,8","24,4"
07/07/2011 23.00,"1,1","96,3","72,1",
08/07/2011 0.00,"1,1","130,7","85,3","32,2"
08/07/2011 1.00,"0,8","73,8","55,9",
08/07/2011 2.00,"0,6","38,3","36,5","20,5"
08/07/2011 3.00,"0,6","32,6","28,8",
08/07/2011 4.00,"0,6",26,"24,2","12,2"
08/07/2011 5.00,"0,6","38,3","33,5",
08/07/2011 6.00,"0,6","63,3","47,1","21,5"
08/07/2011 7.00,"1,5","110,2","70,2",
08/07/2011 8.00,"1,1","149,6","108,9","20,5"
08/07/2011 9.00,"1,1","133,4","97,3",
08/07/2011 10.00,"0,6","81,2","65,8","25,6"
08/07/2011 11.00,"3,6","136,4","90,7",
08/07/2011 12.00,"8,9","69,9","54,7","22,5"
08/07/2011 13.00,"5,4","68,9","49,7",
08/07/2011 14.00,"3,3","53,2","40,4","12,5"
08/07/2011 15.00,"3,6","94,4","63,3",
08/07/2011 16.00,"8,5","127,2","85,6","12,9"
08/07/2011 17.00,"6,4","120,2","89,3",
08/07/2011 18.00,"4,5","128,5","98,1","7,6"
08/07/2011 19.00,"3,7","60,7","54,1",
08/07/2011 20.00,"2,9","66,1","56,3","15,4"
08/07/2011 21.00,"2,7","128,1",109,
08/07/2011 22.00,4,"125,8",107,"20,5"
08/07/2011 23.00,"3,4","170,6","117,3",
09/07/2011 0.00,"2,4","182,3",117,"46,6"
09/07/2011 1.00,,"126,1","85,7",
09/07/2011 2.00,"2,1",,,"48,1"
09/07/2011 3.00,"1,3","37,1","33,6",
09/07/2011 4.00,"0,5",34,"30,1","37,9"
09/07/2011 5.00,"0,5","45,2","42,3",
09/07/2011 6.00,"0,6","60,5","49,6","31,5"
09/07/2011 7.00,"1,3","77,4","56,6",
09/07/2011 8.00,"1,8","62,2","51,3","35,4"
09/07/2011 9.00,"2,3","69,8",53,
09/07/2011 10.00,"1,2","112,7","74,2","30,8"
09/07/2011 11.00,"1,6","132,2","92,1",
09/07/2011 12.00,"5,6","98,7","77,8","30,5"
09/07/2011 13.00,6,"83,7","65,1",
09/07/2011 14.00,"5,5","80,5","61,9","27,1"
09/07/2011 15.00,"4,2","78,4","61,2",
09/07/2011 16.00,"2,3","87,7","68,5","14,4"
09/07/2011 17.00,2,"80,5","64,7",
09/07/2011 18.00,"2,7","80,2","67,5","21,5"
09/07/2011 19.00,"3,5","58,5","53,4",
09/07/2011 20.00,"3,4","73,8","65,3","20,8"
09/07/2011 21.00,3,"86,3","75,2",
09/07/2011 22.00,"2,3","101,6",86,23
09/07/2011 23.00,2,"119,5","87,9",
10/07/2011 0.00,"2,1","162,4","103,5","26,4"
10/07/2011 1.00,"2,2","182,2",116,
10/07/2011 2.00,"1,6","112,1","79,1","39,6"
10/07/2011 3.00,"1,5","84,9","61,8",
10/07/2011 4.00,"1,1","65,7","52,4","27,1"
10/07/2011 5.00,"0,5","51,4","46,1",
10/07/2011 6.00,"0,6","50,7","40,3",33
10/07/2011 7.00,"0,7","55,4","42,9",
10/07/2011 8.00,"0,6","57,9","47,4","30,8"
10/07/2011 9.00,"0,7","33,2","29,1",
10/07/2011 10.00,"0,7","32,4","27,7","34,7"
10/07/2011 11.00,"0,6","32,9",29,
10/07/2011 12.00,"1,4","39,8",34,"24,2"
10/07/2011 13.00,"5,4","22,9","20,7",
10/07/2011 14.00,"5,5","15,2","13,8","19,5"
10/07/2011 15.00,"3,4","40,4","34,1",
10/07/2011 16.00,"2,7","20,1","18,2","16,4"
10/07/2011 17.00,"2,9","17,9",17,
10/07/2011 18.00,"3,3",25,"22,6","17,6"
10/07/2011 19.00,"4,4","42,2",40,
10/07/2011 20.00,"3,4",70,"65,4","13,4"
10/07/2011 21.00,"4,2","150,1","124,6",
10/07/2011 22.00,"4,9","207,5","164,7","25,2"
10/07/2011 23.00,"3,8","199,3","152,2",
11/07/2011 0.00,"2,8","202,9","143,9","37,4"
11/07/2011 1.00,,"110,4","91,7",
11/07/2011 2.00,"2,1",,,"53,2"
11/07/2011 3.00,2,"38,4","36,1",
11/07/2011 4.00,"0,9","32,1",31,"35,7"
11/07/2011 5.00,"0,8","47,8","44,1",
11/07/2011 6.00,"1,5","65,5","51,9","33,7"
11/07/2011 7.00,"1,1","61,1","49,2",
11/07/2011 8.00,"0,6","36,7","29,7","34,4"
11/07/2011 9.00,"0,8","32,8","26,9",
11/07/2011 10.00,"0,5","25,5","20,1","43,5"
11/07/2011 11.00,"0,6","28,4","22,3",
11/07/2011 12.00,"0,6","27,6","22,5","37,9"
11/07/2011 13.00,"0,5","24,4",19,
11/07/2011 14.00,"0,6","28,8","23,8","26,6"
11/07/2011 15.00,"0,6","16,3","13,9",
11/07/2011 16.00,"0,6","14,1","11,6","17,8"
11/07/2011 17.00,"0,7","18,7","15,6",
11/07/2011 18.00,"0,5","26,2","22,6","17,6"
11/07/2011 19.00,"0,7","24,7","23,1",
11/07/2011 20.00,"0,5","21,2",20,"18,8"
11/07/2011 21.00,"0,5","32,8","29,4",
11/07/2011 22.00,"0,6","29,7","26,3",41
11/07/2011 23.00,"0,6","45,5","38,9",
12/07/2011 0.00,"0,5","35,3","31,8","39,8"
12/07/2011 1.00,"0,5","19,9","18,3",
12/07/2011 2.00,"0,5","14,3","13,6","43,7"
12/07/2011 3.00,"0,5","21,5","21,4",
12/07/2011 4.00,"0,5","12,6","12,6","26,4"
12/07/2011 5.00,"0,5","20,5","20,3",
12/07/2011 6.00,"0,5",19,"18,1","29,1"
12/07/2011 7.00,"0,5","20,8","17,9",
12/07/2011 8.00,"0,5","25,8","19,8","23,9"
12/07/2011 9.00,"0,5","19,6","16,8",
12/07/2011 10.00,"0,5","19,6","16,9",22
12/07/2011 11.00,"0,5",21,"17,4",
12/07/2011 12.00,"0,5","16,3","13,3",23
12/07/2011 13.00,"0,6","20,2","15,5",
12/07/2011 14.00,"0,5",12,"10,1","33,7"
12/07/2011 15.00,"0,6","8,5","7,4",
12/07/2011 16.00,"2,4","1,9","1,7","29,8"
12/07/2011 17.00,"0,5","9,2","7,8",
12/07/2011 18.00,"0,5","7,7","6,9","33,5"
12/07/2011 19.00,"0,5","8,4","7,7",
12/07/2011 20.00,"0,5","9,4","8,9","39,8"
12/07/2011 21.00,"0,5","9,4","8,8",
12/07/2011 22.00,"0,5","11,9","10,9","42,7"
12/07/2011 23.00,"0,5","17,1","15,3",
13/07/2011 0.00,"0,5","15,4","14,2",41
13/07/2011 1.00,,"12,3","10,9",
13/07/2011 2.00,"0,7",,,"36,1"
13/07/2011 3.00,"0,5","7,2","7,2",
13/07/2011 4.00,"0,6","15,8","15,6","29,8"
13/07/2011 5.00,"0,6","65,5","53,6",
13/07/2011 6.00,"0,6","60,6","49,9","27,1"
13/07/2011 7.00,"0,6","40,4","33,9",
13/07/2011 8.00,"0,6","31,7","24,8","33,7"
13/07/2011 9.00,"0,6","20,3","16,3",
13/07/2011 10.00,"0,6","20,9",17,"30,8"
13/07/2011 11.00,"0,6","20,3","16,1",
13/07/2011 12.00,"0,6","25,3","19,6","23,7"
13/07/2011 13.00,"5,3","46,1","6,1",
13/07/2011 14.00,"0,6","27,2","20,6",
13/07/2011 15.00,"0,6","38,2","33,6",
13/07/2011 16.00,"0,7","82,7",60,"17,8"
13/07/2011 17.00,"1,2",121,"94,7",
13/07/2011 18.00,"0,8","131,1","101,9","17,8"
13/07/2011 19.00,"0,6","56,7",51,
13/07/2011 20.00,"0,7","71,9","64,9","28,6"
13/07/2011 21.00,"1,2","131,3","112,1",
13/07/2011 22.00,"1,3","98,4","84,4","35,2"
13/07/2011 23.00,"1,3","56,9","51,8",
14/07/2011 0.00,"0,8","72,4","60,9","50,3"
14/07/2011 1.00,"1,7","57,7","50,3",
14/07/2011 2.00,"0,9","50,9","43,2",51
14/07/2011 3.00,"0,6","35,4",34,
14/07/2011 4.00,"0,6","25,6","24,7","44,7"
14/07/2011 5.00,"0,7","39,7","32,2",
14/07/2011 6.00,"0,6","59,8","51,6","37,6"
14/07/2011 7.00,"1,2","76,1",60,
14/07/2011 8.00,1,"78,7","62,7","45,2"
14/07/2011 9.00,"1,1","72,4","58,4",
14/07/2011 10.00,"0,7","54,9","44,7","44,2"
14/07/2011 11.00,"0,9","55,6","43,8",
14/07/2011 12.00,1,"43,6","35,1","38,1"
14/07/2011 13.00,"1,7",51,"40,6",
14/07/2011 14.00,"1,8","34,3","27,6","34,2"
14/07/2011 15.00,2,"37,1","30,2",
14/07/2011 16.00,2,"29,7","25,2","21,7"
14/07/2011 17.00,2,"38,9","32,1",
14/07/2011 18.00,"1,7","51,1",44,"23,9"
14/07/2011 19.00,"1,7","62,3","55,2",
14/07/2011 20.00,"1,2",61,"55,8","27,6"
14/07/2011 21.00,"0,7","45,1","40,7",
14/07/2011 22.00,"0,7",37,"32,8",52
14/07/2011 23.00,"0,6","36,2","30,4",
15/07/2011 0.00,"0,7","29,8","25,4","47,4"
15/07/2011 1.00,,"17,4","14,7",
15/07/2011 2.00,"1,9",,,"49,8"
15/07/2011 3.00,"1,5","21,2","19,5",
15/07/2011 4.00,"0,6","17,3","16,5","35,9"
15/07/2011 5.00,"0,6","18,1",16,
15/07/2011 6.00,"0,6","21,9","18,9","32,5"
15/07/2011 7.00,"0,7","20,7","16,5",
15/07/2011 8.00,"0,6","16,9","13,5","37,9"
15/07/2011 9.00,"1,2","17,7","13,1",
15/07/2011 10.00,"1,2","18,7","14,1",43
15/07/2011 11.00,"1,3","27,3","20,9",
15/07/2011 12.00,"1,2","29,2","20,8","36,1"
15/07/2011 13.00,"1,2","32,4","21,6",
15/07/2011 14.00,"1,4","24,8",18,"25,4"
15/07/2011 15.00,"1,2","22,1","15,9",
15/07/2011 16.00,"1,2","30,2","23,9","26,1"
15/07/2011 17.00,"1,3","30,7","25,4",
15/07/2011 18.00,"1,3","98,8","81,5","27,1"
15/07/2011 19.00,"1,2","101,7","89,1",
15/07/2011 20.00,"1,7","103,5","98,6","38,8"
15/07/2011 21.00,"2,6","175,1",138,
15/07/2011 22.00,"2,6","138,3","113,5","36,4"
15/07/2011 23.00,"2,4","94,8","75,2",
16/07/2011 0.00,"2,6","65,4","51,8","49,3"
16/07/2011 1.00,"2,4","59,9","45,7",
16/07/2011 2.00,"2,4","32,3","29,5","44,4"
16/07/2011 3.00,"1,8","23,9","21,3",
16/07/2011 4.00,"1,4","22,4","20,9",40
16/07/2011 5.00,"1,4","11,5","10,4",
16/07/2011 6.00,"1,6",14,"12,1","37,6"
16/07/2011 7.00,"1,5","11,9","10,2",
16/07/2011 8.00,"1,4","14,7","10,9","22,5"
16/07/2011 9.00,"1,2","12,9","9,3",
16/07/2011 10.00,"1,2","14,5",11,20
16/07/2011 11.00,"1,4","18,6","13,9",
16/07/2011 12.00,"1,2","14,2","11,3","16,8"
16/07/2011 13.00,"1,2","21,6","14,6",
16/07/2011 14.00,"1,3",12,"9,8",20
16/07/2011 15.00,"1,2","7,3","5,7",
16/07/2011 16.00,"1,2","8,7","6,4","27,8"
16/07/2011 17.00,"1,2","11,7","8,9",
16/07/2011 18.00,"1,2","22,8","18,1","30,5"
16/07/2011 19.00,"1,2","33,2","29,1",
16/07/2011 20.00,"1,2","34,2",31,"22,2"
16/07/2011 21.00,"1,2","38,2","34,7",
16/07/2011 22.00,"1,3",49,41,"29,1"
16/07/2011 23.00,"1,6","83,2","64,9",
17/07/2011 0.00,"1,9","84,5","67,1","33,2"
17/07/2011 1.00,,"77,1","62,1",
17/07/2011 2.00,"2,6",,,"30,5"
17/07/2011 3.00,"2,6",44,"39,3",
17/07/2011 4.00,"1,8","24,5","22,7","30,5"
17/07/2011 5.00,"1,7","24,1","21,3",
17/07/2011 6.00,"1,8","29,6","26,3","37,1"
17/07/2011 7.00,"1,5","21,3","17,4",
17/07/2011 8.00,"1,2","10,7","7,6","25,9"
17/07/2011 9.00,"1,5",10,"7,6",
17/07/2011 10.00,"1,2","11,2","8,4","24,7"
17/07/2011 11.00,"1,3","11,3","8,3",
17/07/2011 12.00,"1,2","10,2","7,8","25,2"
17/07/2011 13.00,"1,2","8,6","6,7",
17/07/2011 14.00,"1,2","10,3","8,6",23
17/07/2011 15.00,"1,3","7,2","5,4",
17/07/2011 16.00,"1,3","8,8","7,4",19
17/07/2011 17.00,"1,4","11,5","8,8",
17/07/2011 18.00,"1,2","16,5","13,5","17,8"
17/07/2011 19.00,"1,2","18,8","17,4",
17/07/2011 20.00,"1,3","35,9","31,9",19
17/07/2011 21.00,"1,3","31,1","29,4",
17/07/2011 22.00,"1,8","64,5","52,9","25,4"
17/07/2011 23.00,"2,5","95,3","71,5",
18/07/2011 0.00,"1,6","65,9","52,7","24,4"
18/07/2011 1.00,"1,7",38,"32,4",
18/07/2011 2.00,"2,2",33,"28,2","26,9"
18/07/2011 3.00,"1,7","23,7","22,4",
18/07/2011 4.00,"1,3","13,1","12,3","18,3"
18/07/2011 5.00,"1,5","26,7","23,6",
18/07/2011 6.00,"1,9",54,"46,9","21,7"
18/07/2011 7.00,"2,4","94,9","74,2",
18/07/2011 8.00,"2,5","95,7","72,5","19,8"
18/07/2011 9.00,"1,7","39,1","30,6",
18/07/2011 10.00,"2,1","30,7","23,8","31,5"
18/07/2011 11.00,"2,6","64,5","49,5",
18/07/2011 12.00,"2,6","86,8","67,4","23,7"
18/07/2011 13.00,"2,6","67,2","53,4",
18/07/2011 14.00,"2,6","116,4",83,"23,4"
18/07/2011 15.00,"2,6","58,5","43,9",
18/07/2011 16.00,"2,5",29,"23,2","22,5"
18/07/2011 17.00,"2,5",22,"17,6",
18/07/2011 18.00,"2,4","26,4","21,3","20,5"
18/07/2011 19.00,"2,6","41,9","35,3",
18/07/2011 20.00,"2,7","76,7","63,5","17,6"
18/07/2011 21.00,"2,5","36,4","31,5",
18/07/2011 22.00,"2,4","33,2","27,8","20,8"
18/07/2011 23.00,"2,4","34,3","27,1",
19/07/2011 0.00,"2,1","25,2","20,2","22,5"
19/07/2011 1.00,,"14,1","11,9",
19/07/2011 2.00,"2,6",,,"17,3"
19/07/2011 3.00,"2,4","10,6",10,
19/07/2011 4.00,"2,3","11,2","10,1","9,3"
19/07/2011 5.00,"2,4","34,6","30,2",
19/07/2011 6.00,"2,5","57,9","47,4","5,9"
19/07/2011 7.00,"2,6","76,6","54,1",
19/07/2011 8.00,"2,6",64,"44,5",9
19/07/2011 9.00,"2,4","61,2","43,8",
19/07/2011 10.00,"2,3","56,3","41,1","11,5"
19/07/2011 11.00,"1,5","47,1","34,2",
19/07/2011 12.00,"2,5","53,5","38,6","13,7"
19/07/2011 13.00,"2,6","48,8","35,3",
19/07/2011 14.00,"2,6","33,9","26,2","8,1"
19/07/2011 15.00,"2,6","24,1","19,1",
19/07/2011 16.00,"2,6",20,"15,6","4,9"
19/07/2011 17.00,"2,6","26,9","21,5",
19/07/2011 18.00,"2,3","28,4","24,2","3,2"
19/07/2011 19.00,"2,5","26,8","22,8",
19/07/2011 20.00,"2,1","26,5","22,2","19,5"
19/07/2011 21.00,"1,7","21,5","17,3",
19/07/2011 22.00,"1,4","20,4","16,5","19,5"
19/07/2011 23.00,"2,1","25,2","20,2",
20/07/2011 0.00,"1,9","26,3","20,7","26,4"
20/07/2011 1.00,2,"23,9","20,1",
20/07/2011 2.00,"1,7","18,6","16,5","17,6"
20/07/2011 3.00,"2,3",15,"13,6",
20/07/2011 4.00,"1,5","12,8",12,"10,3"
20/07/2011 5.00,"2,2","28,2","24,8",
20/07/2011 6.00,"2,4",56,"46,2","6,6"
20/07/2011 7.00,"2,6","66,9","52,1",
20/07/2011 8.00,"2,5","44,6","33,9","4,4"
20/07/2011 9.00,"2,4","42,1","29,5",
20/07/2011 10.00,2,"36,2","26,3","3,7"
20/07/2011 11.00,"2,6","34,7",25,
20/07/2011 12.00,"2,6",35,"25,5","7,6"
20/07/2011 13.00,"2,5","34,4","24,7",
20/07/2011 14.00,"2,1","22,4","14,6",10
20/07/2011 15.00,"2,2","13,9",10,
20/07/2011 16.00,"2,5","20,2","15,3","17,3"
20/07/2011 17.00,2,29,"22,1",
20/07/2011 18.00,"2,5","25,6","19,8","14,7"
20/07/2011 19.00,"2,2","22,6","16,2",
20/07/2011 20.00,"1,6","30,8","24,4","8,5"
20/07/2011 21.00,"1,4",31,"24,5",
20/07/2011 22.00,"1,7","28,7","23,9","18,6"
20/07/2011 23.00,"1,9","30,8",26,
21/07/2011 0.00,2,"37,2","29,3","12,7"
21/07/2011 1.00,,"30,5","23,7",
21/07/2011 2.00,"2,7",,,9
21/07/2011 3.00,"2,5","13,9","11,1",
21/07/2011 4.00,"2,5","8,4","7,5","5,4"
21/07/2011 5.00,"2,3","15,1","12,1",
21/07/2011 6.00,"2,2","23,9","18,7","3,9"
21/07/2011 7.00,"2,4","32,5","23,8",
21/07/2011 8.00,"2,3",20,"14,4","3,7"
21/07/2011 9.00,"2,6","20,1",14,
21/07/2011 10.00,"2,3","22,5","16,9","2,7"
21/07/2011 11.00,"2,3","77,1","40,3",
21/07/2011 12.00,"2,8","73,9","43,1","2,2"
21/07/2011 13.00,"2,5","27,4","19,4",
21/07/2011 14.00,"2,5","28,7","21,2","1,7"
21/07/2011 15.00,"2,5","45,1","33,8",
21/07/2011 16.00,4,"54,2","41,2","6,3"
21/07/2011 17.00,"3,7",26,"19,9",
21/07/2011 18.00,"2,8","25,3","19,7","3,9"
21/07/2011 19.00,"2,6","43,4","34,8",
21/07/2011 20.00,"3,1","111,6","77,6","8,5"
21/07/2011 21.00,3,"69,9","53,4",
21/07/2011 22.00,"2,6","34,1","28,3","8,1"
21/07/2011 23.00,"2,6","28,3","23,3",
22/07/2011 0.00,"2,6","31,8","24,6","15,4"
22/07/2011 1.00,"2,4","23,6","19,5",
22/07/2011 2.00,2,"13,6","12,1","9,5"
22/07/2011 3.00,"2,3","8,9","8,6",
22/07/2011 4.00,"2,2","8,2","7,7","6,3"
22/07/2011 5.00,"2,3",17,"15,5",
22/07/2011 6.00,2,"24,7","21,5","4,4"
22/07/2011 7.00,"2,4","33,2","25,2",
22/07/2011 8.00,"2,5","32,8","22,9","3,2"
22/07/2011 9.00,"2,3","23,5","16,4",
22/07/2011 10.00,"2,1","20,2","14,1","2,4"
22/07/2011 11.00,"1,3","23,7","15,2",
22/07/2011 12.00,"2,2",20,"12,4","2,9"
22/07/2011 13.00,"1,8","27,2","16,6",
22/07/2011 14.00,"2,1","26,7","18,4","6,3"
22/07/2011 15.00,"1,6","21,6","15,6",
22/07/2011 16.00,"1,7","59,6","44,3","8,3"
22/07/2011 17.00,"2,5","34,5","26,7",
22/07/2011 18.00,"2,6","23,3","18,7","9,3"
22/07/2011 19.00,"2,6","32,6","26,6",
22/07/2011 20.00,"2,5","60,7",50,"5,9"
22/07/2011 21.00,"2,6",64,"53,6",
22/07/2011 22.00,"2,5","41,9","33,3","4,2"
22/07/2011 23.00,"2,2","43,6","33,7",
23/07/2011 0.00,2,"34,2","27,1","14,7"
23/07/2011 1.00,,"28,5","23,4",
23/07/2011 2.00,"2,7",,,"8,3"
23/07/2011 3.00,"2,6","23,9","22,2",
23/07/2011 4.00,"2,1",21,"19,6","8,3"
23/07/2011 5.00,"2,5","30,9","24,6",
23/07/2011 6.00,"2,6","30,5","25,4","5,4"
23/07/2011 7.00,"2,4","40,5","32,2",
23/07/2011 8.00,"2,3","64,1","47,8","6,1"
23/07/2011 9.00,"2,6",85,"57,2",
23/07/2011 10.00,"2,3","43,1","31,8","10,3"
23/07/2011 11.00,"2,1","29,7","22,7",
23/07/2011 12.00,"1,8","51,5","37,4",12
23/07/2011 13.00,"1,6","43,4","33,4",
23/07/2011 14.00,"1,5","41,6","34,9","15,4"
23/07/2011 15.00,"1,2","28,9","23,9",
23/07/2011 16.00,"1,5","13,9","12,3","8,8"
23/07/2011 17.00,"1,9","28,6","23,6",
23/07/2011 18.00,"2,6","32,7","26,8","5,4"
23/07/2011 19.00,"3,5",62,"47,8",
23/07/2011 20.00,"3,2","79,5","62,3","3,9"
23/07/2011 21.00,"3,3","111,9","81,5",
23/07/2011 22.00,"2,4",75,"53,5","4,4"
23/07/2011 23.00,"2,6","47,8","37,2",
24/07/2011 0.00,"2,6","84,6","54,8","14,7"
24/07/2011 1.00,"2,7","96,4","63,8",
24/07/2011 2.00,"2,5","67,7",54,"14,2"
24/07/2011 3.00,"2,6","59,5","44,2",
24/07/2011 4.00,"2,5","44,9",35,"7,8"
24/07/2011 5.00,"2,6","29,1","25,3",
24/07/2011 6.00,"2,4","28,3","25,1","9,8"
24/07/2011 7.00,"2,5","38,4","32,6",
24/07/2011 8.00,"2,6","21,7","16,5","6,1"
24/07/2011 9.00,"2,6","21,3","16,1",
24/07/2011 10.00,"2,6","21,9","17,1","4,4"
24/07/2011 11.00,"2,7","46,5","39,8",
24/07/2011 12.00,"4,2","33,6","28,2","3,4"
24/07/2011 13.00,"5,3","30,2","24,9",
24/07/2011 14.00,"4,4","20,2","16,9","2,4"
24/07/2011 15.00,3,"13,3","11,3",
24/07/2011 16.00,"2,6","23,5","18,4","2,9"
24/07/2011 17.00,"2,6",26,21,
24/07/2011 18.00,"2,6","53,5","46,1",2
24/07/2011 19.00,"2,6","45,4","41,2",
24/07/2011 20.00,"2,6","44,6","41,5","2,9"
24/07/2011 21.00,"2,6","50,9","44,5",
24/07/2011 22.00,"2,6","54,2","45,2","8,8"
24/07/2011 23.00,"2,6","31,1","24,6",
25/07/2011 0.00,"2,6","25,5","18,3","10,3"
25/07/2011 1.00,,"27,1","19,6",
25/07/2011 2.00,"2,7",,,"6,1"
25/07/2011 3.00,"2,5","7,8","6,7",
25/07/2011 4.00,"2,4","8,2","7,3","3,9"
25/07/2011 5.00,"2,6","17,3","15,2",
25/07/2011 6.00,"2,5","19,4",16,"3,4"
25/07/2011 7.00,"2,6",26,"20,8",
25/07/2011 8.00,"2,6","21,3","15,5","3,2"
25/07/2011 9.00,2,"15,8","11,2",
25/07/2011 10.00,"1,9","17,9","12,8","8,1"
25/07/2011 11.00,"2,3","22,9","16,4",
25/07/2011 12.00,"2,5","21,6","15,3","5,6"
25/07/2011 13.00,"1,9",23,"17,6",
