"NetC","SIMAGE Brindisi","","","",""
"Stat","Via Dei Mille","","","",""
Parm,SO2,NOX,NO2,PM10
14/01/2011 7.00,"0,4","45,2","40,1",
14/01/2011 8.00,"0,5","94,2","61,9","28,6"
14/01/2011 9.00,"0,6","121,2",70,
14/01/2011 10.00,"0,7","104,5","59,5","25,6"
14/01/2011 11.00,"0,4","42,7","29,2",
14/01/2011 12.00,"0,5","37,7","26,2","32,5"
14/01/2011 13.00,"0,5","34,2","24,5",
14/01/2011 14.00,"0,5","43,7","28,3","25,2"
14/01/2011 15.00,"0,3","29,8","22,4",
14/01/2011 16.00,"0,2",25,"20,8","22,5"
14/01/2011 17.00,"0,3","28,2","23,9",
14/01/2011 18.00,"0,4","31,1","24,7","21,2"
14/01/2011 19.00,"0,5","33,2","26,4",
14/01/2011 20.00,"0,5",84,"61,1","27,1"
14/01/2011 21.00,"0,6",95,"66,5",
14/01/2011 22.00,"0,5","104,5","66,5","23,4"
14/01/2011 23.00,"0,7","88,9",57,
15/01/2011 0.00,"0,8","138,8","77,1","24,9"
15/01/2011 1.00,1,"152,2","78,4",
15/01/2011 2.00,"1,6","160,1","70,1",30
15/01/2011 3.00,"0,5","64,1","43,8",
15/01/2011 4.00,"0,5","72,1","40,1","28,6"
15/01/2011 5.00,"0,3","49,2","40,6",
15/01/2011 6.00,"0,4","46,8","38,8","32,2"
15/01/2011 7.00,"0,6","83,3","48,9",
15/01/2011 8.00,"2,3","212,4",74,"35,4"
15/01/2011 9.00,"5,1","357,2","109,4",
15/01/2011 10.00,"1,3","139,2","70,6","30,8"
15/01/2011 11.00,"0,5","79,9",53,
15/01/2011 12.00,"0,5","50,8","36,1","43,5"
15/01/2011 13.00,"0,7","36,4","27,8",
15/01/2011 14.00,"0,5","34,5",24,"27,6"
15/01/2011 15.00,"0,5","18,5","15,2",
15/01/2011 16.00,"0,5","17,9","14,9",33
15/01/2011 17.00,"0,3","17,2","14,3",
15/01/2011 18.00,"0,3","17,7","14,6","26,6"
15/01/2011 19.00,"0,3","16,1","13,1",
15/01/2011 20.00,"0,2","16,4","13,1","33,5"
15/01/2011 21.00,"0,2",15,"12,7",
15/01/2011 22.00,"0,1","16,2","13,9","29,3"
15/01/2011 23.00,"0,2","19,8","17,3",
16/01/2011 0.00,"0,1","26,9",23,"23,7"
16/01/2011 1.00,,"23,8","20,8",
16/01/2011 2.00,"0,3",,,"20,3"
16/01/2011 3.00,"0,2","26,8","24,2",
16/01/2011 4.00,"0,2",25,23,20
16/01/2011 5.00,"0,2","23,3","21,9",
16/01/2011 6.00,"0,1","21,2","20,5",23
16/01/2011 7.00,"0,1","21,9","20,3",
16/01/2011 8.00,"0,1","20,7","18,8","25,6"
16/01/2011 9.00,"0,3","22,5","17,8",
16/01/2011 10.00,"0,5","22,9",14,"25,6"
16/01/2011 11.00,"0,5","20,7","12,4",
16/01/2011 12.00,"0,5","48,9","28,7","15,6"
16/01/2011 13.00,"0,4","19,9","13,6",
16/01/2011 14.00,"0,5","14,5","9,8","23,4"
16/01/2011 15.00,"0,5","13,6","10,9",
16/01/2011 16.00,"0,4","16,1",13,"13,2"
16/01/2011 17.00,"0,2","16,9","13,8",
16/01/2011 18.00,"0,1","16,8","13,7","20,5"
16/01/2011 19.00,"0,1",17,"14,3",
16/01/2011 20.00,"0,3","18,5","14,9","24,4"
16/01/2011 21.00,"0,1","24,4","18,2",
16/01/2011 22.00,0,"21,1","18,4","23,7"
16/01/2011 23.00,"0,1",26,"20,6",
17/01/2011 0.00,0,"20,6","17,4","21,7"
17/01/2011 1.00,"0,1","23,6","19,8",
17/01/2011 2.00,0,"19,8","17,5","24,9"
17/01/2011 3.00,"0,1","18,8","17,1",
17/01/2011 4.00,"0,1",15,"14,5","17,3"
17/01/2011 5.00,"0,1","13,8","13,3",
17/01/2011 6.00,"0,1","13,8","13,4","20,5"
17/01/2011 7.00,0,"19,7","17,8",
17/01/2011 8.00,0,"42,6","32,3","18,6"
17/01/2011 9.00,"0,1","33,5","23,3",
17/01/2011 10.00,0,"34,1","21,2","17,6"
17/01/2011 11.00,0,"28,4","19,2",
17/01/2011 12.00,0,"24,7","16,5","17,3"
17/01/2011 13.00,"0,1","23,6","15,5",
17/01/2011 14.00,"0,3","31,6","19,6","15,4"
17/01/2011 15.00,"0,3","29,7","20,5",
17/01/2011 16.00,"0,3",33,"25,1","15,4"
17/01/2011 17.00,"0,3",46,"33,9",
17/01/2011 18.00,"0,2","45,6","33,9","15,9"
17/01/2011 19.00,"0,2","46,7","34,8",
17/01/2011 20.00,"0,3",65,"44,3","19,8"
17/01/2011 21.00,"0,5","101,1","70,8",
17/01/2011 22.00,"0,3","72,1","55,2","26,9"
17/01/2011 23.00,"0,2",60,"46,7",
18/01/2011 0.00,"0,1","48,8","34,9","32,5"
18/01/2011 1.00,,"42,2","30,7",
18/01/2011 2.00,"0,1",,,"30,5"
18/01/2011 3.00,"0,2","32,5","27,2",
18/01/2011 4.00,"0,2","23,7","22,2","27,1"
18/01/2011 5.00,"0,1","21,1",20,
18/01/2011 6.00,"0,1","28,6",24,"25,2"
18/01/2011 7.00,"0,5",78,"44,6",
18/01/2011 8.00,"0,8","126,6","57,1","27,6"
18/01/2011 9.00,2,"202,6","69,2",
18/01/2011 10.00,"2,1","219,7","74,6","37,4"
18/01/2011 11.00,"0,5","86,8","47,4",
18/01/2011 12.00,"0,5","50,9","32,9","42,7"
18/01/2011 13.00,"0,5","50,9","33,3",
18/01/2011 14.00,"0,6","62,1","39,1","33,7"
18/01/2011 15.00,"0,4","45,7","33,1",
18/01/2011 16.00,"0,3","43,9","31,8","20,5"
18/01/2011 17.00,"0,4","53,8","39,8",
18/01/2011 18.00,"0,4","79,7","49,7","22,2"
18/01/2011 19.00,"0,5","80,8","51,8",
18/01/2011 20.00,"0,9","156,1","90,8","25,9"
18/01/2011 21.00,"0,3","87,9","64,7",
18/01/2011 22.00,"0,4",66,"48,5","23,4"
18/01/2011 23.00,"0,3","39,1","32,1",
19/01/2011 0.00,"0,1",21,"18,3","26,6"
19/01/2011 1.00,"0,2",42,"30,2",
19/01/2011 2.00,"0,1","35,9","28,7","16,1"
19/01/2011 3.00,"0,1","37,4","27,7",
19/01/2011 4.00,"0,1","19,2","17,7",10
19/01/2011 5.00,"0,1","15,4","14,4",
19/01/2011 6.00,"0,1","18,8","17,1","22,5"
19/01/2011 7.00,"0,1","45,3","35,3",
19/01/2011 8.00,"0,3","65,1","44,8","21,5"
19/01/2011 9.00,"0,5","84,4","54,9",
19/01/2011 10.00,"0,5","90,7","53,9","25,6"
19/01/2011 11.00,"0,6","84,4","51,1",
19/01/2011 12.00,"0,5","81,7","53,3","33,2"
19/01/2011 13.00,"1,4","85,4","57,9",
19/01/2011 14.00,12,"115,2","69,7","27,6"
19/01/2011 15.00,"5,7",78,"55,3",
19/01/2011 16.00,"3,1","91,8","68,2",23
19/01/2011 17.00,"1,8","80,2","59,2",
19/01/2011 18.00,"1,8","133,9","91,3","27,4"
19/01/2011 19.00,"2,1","146,6","95,4",
19/01/2011 20.00,"2,3","190,3","109,1","27,4"
19/01/2011 21.00,"2,7","206,5","112,5",
19/01/2011 22.00,"0,8","107,8","77,2","31,5"
19/01/2011 23.00,"0,6","83,9","65,7",
20/01/2011 0.00,"0,5",53,"47,8",40
20/01/2011 1.00,,44,"39,4",
20/01/2011 2.00,"0,5",,,44
20/01/2011 3.00,"0,5","25,7","25,1",
20/01/2011 4.00,"0,5","23,1","22,6",41
20/01/2011 5.00,"0,4","23,3","22,5",
20/01/2011 6.00,"0,4","30,7","28,2","39,1"
20/01/2011 7.00,"0,5","72,4","55,3",
20/01/2011 8.00,"0,6","115,4","74,7","32,7"
20/01/2011 9.00,"0,8","132,5","84,2",
20/01/2011 10.00,"0,5","106,9","73,1","33,5"
20/01/2011 11.00,"0,5","71,4","53,6",
20/01/2011 12.00,"0,5","62,8","44,7","33,7"
20/01/2011 13.00,"0,5","67,3","51,5",
20/01/2011 14.00,"0,5","95,9","65,7","24,9"
20/01/2011 15.00,"0,5","74,1","54,2",
20/01/2011 16.00,"0,5","86,9","63,6","29,5"
20/01/2011 17.00,"0,7","114,2",78,
20/01/2011 18.00,"0,7","125,1",86,"23,7"
20/01/2011 19.00,"0,7","131,5","85,9",
20/01/2011 20.00,"0,9","151,5","94,2",23
20/01/2011 21.00,1,"131,3","85,5",
20/01/2011 22.00,"0,8","103,6","74,3","38,1"
20/01/2011 23.00,"0,7","116,4","77,4",
21/01/2011 0.00,"0,6","109,7","74,1","47,6"
21/01/2011 1.00,"0,5","76,7","55,7",
21/01/2011 2.00,"0,5","50,4","40,8","52,5"
21/01/2011 3.00,"0,5","38,6","33,1",
21/01/2011 4.00,"0,4","30,2","27,7","46,4"
21/01/2011 5.00,"0,2","22,2","20,4",
21/01/2011 6.00,"0,4","21,2","19,9",44
21/01/2011 7.00,"0,5","27,2",23,
21/01/2011 8.00,1,"106,4",47,"37,1"
21/01/2011 9.00,"2,3","203,5",66,
21/01/2011 10.00,"1,5","147,9","57,4","36,9"
21/01/2011 11.00,"0,5","58,3","33,8",
21/01/2011 12.00,"0,6",60,"33,3","38,6"
21/01/2011 13.00,"0,5","54,4","32,9",
21/01/2011 14.00,"0,5","58,4","35,1","26,9"
21/01/2011 15.00,"0,4","38,1","25,8",
21/01/2011 16.00,"0,4","28,5","21,7","16,4"
21/01/2011 17.00,"0,3","30,8","23,7",
21/01/2011 18.00,"0,5","36,8","26,6","18,6"
21/01/2011 19.00,"0,5","32,6","23,9",
21/01/2011 20.00,"0,5","34,4","24,7",20
21/01/2011 21.00,"0,4","33,1","25,5",
21/01/2011 22.00,"0,4",30,"24,2","12,5"
21/01/2011 23.00,"0,4","26,4","22,1",
22/01/2011 0.00,"0,4","35,5","30,6","11,5"
22/01/2011 1.00,,"29,7","25,7",
22/01/2011 2.00,"0,5",,,"17,6"
22/01/2011 3.00,"0,2","21,9","20,1",
22/01/2011 4.00,"0,3","18,3","17,1","10,3"
22/01/2011 5.00,"0,3","16,1","15,6",
22/01/2011 6.00,"0,3","22,9","20,1","8,3"
22/01/2011 7.00,"0,3","24,3","20,3",
22/01/2011 8.00,"0,4","40,7","30,1","11,5"
22/01/2011 9.00,"0,5","76,7","42,9",
22/01/2011 10.00,"0,8","90,6","53,5",19
22/01/2011 11.00,"0,5","52,4","36,1",
22/01/2011 12.00,"0,5","46,3","31,5","15,1"
22/01/2011 13.00,"0,5","59,4","41,9",
22/01/2011 14.00,"0,5","63,3","43,2","17,8"
22/01/2011 15.00,"0,5","37,4","29,4",
22/01/2011 16.00,"0,5","31,8","25,9","17,3"
22/01/2011 17.00,"0,5","72,9","52,6",
22/01/2011 18.00,"1,1","130,4","84,3","16,6"
22/01/2011 19.00,"0,9","130,1",83,
22/01/2011 20.00,"0,5",77,"58,2","13,9"
22/01/2011 21.00,"0,7","121,9","88,5",
22/01/2011 22.00,"0,5","92,8","72,9","26,4"
22/01/2011 23.00,"0,5","92,6",72,
23/01/2011 0.00,"0,6","103,1","77,1","18,6"
