, Brindisi,,,,,,,
,Terminale Passeggeri,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10-FAI,BENZ,PM2.5-FAI
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,
08/01/2010 2.00,,"7,19820965","9,25553503","0,78051389",,"25,60000038","1,51039755","10,80000019"
08/01/2010 3.00,"4,67877664","7,05229919","8,5438198","0,77883745",,"25,60000038","1,31421825","10,80000019"
08/01/2010 4.00,"3,05529784","4,21840927","5,61589963","0,78317824",,"25,60000038","1,39740885","10,80000019"
08/01/2010 5.00,"2,32247714","5,33380889","6,90476927","0,79551093",,"25,60000038","1,3616613","10,80000019"
08/01/2010 6.00,"1,85347131","5,38730856","6,91773837","0,80064159",,"25,60000038","1,4139351","10,80000019"
08/01/2010 7.00,"2,21875432","6,51729674","8,12554686","0,80735083",,"25,60000038","1,35154215","10,80000019"
08/01/2010 8.00,"5,52884829","6,32923624","8,10447088","0,86230504",,"25,60000038","1,38713715","10,80000019"
08/01/2010 9.00,"6,06324518","10,75029839","14,87954154","0,86704077",,"25,60000038","1,4615307","10,80000019"
08/01/2010 10.00,"2,67423099","18,69426834","29,36025136","0,91153794",,"25,60000038","1,51639785","10,80000019"
08/01/2010 11.00,"5,59874975","7,34087735","9,86835589","0,87878164",,"25,60000038","1,47551445","10,80000019"
08/01/2010 12.00,"7,47476999","5,45377924","7,28251355","0,86556122",,"25,60000038","1,4783112","10,80000019"
08/01/2010 13.00,"6,69655651","5,40776314","7,27134174","0,85558649",,"25,60000038","1,6417431","10,80000019"
08/01/2010 14.00,"8,47591496","96,5711048","98,98833168","0,84079681",,"25,60000038","1,2990141","10,80000019"
08/01/2010 15.00,"2,85912668","39,87223616","42,15650256","0,83842953",,"25,60000038","1,7863605","10,80000019"
08/01/2010 16.00,,"8,64045993","10,89023958","0,84470073",,"25,60000038","1,58443515","10,80000019"
08/01/2010 17.00,"7,3079108","10,6400563","13,35235449","0,85431314",,"25,60000038","1,5462468","10,80000019"
08/01/2010 18.00,"7,32820504","8,57948816","10,75191977","0,86200913",,"25,60000038","1,5251949","10,80000019"
08/01/2010 19.00,"7,73181878","7,93910582","9,56843001","0,85086008",,"25,60000038","1,5848928","10,80000019"
08/01/2010 20.00,"6,69685245","7,8564233","9,59761286","0,86122043",,"25,60000038","1,6018767","10,80000019"
08/01/2010 21.00,"8,02494767","7,20469515","8,69297301","0,85490613",,"25,60000038","1,4913288","10,80000019"
08/01/2010 22.00,"8,10161218","7,08634618","8,68324475","0,86210816",,"25,60000038","1,7099838","10,80000019"
08/01/2010 23.00,"6,43754593","6,78317754","8,16283468","0,85283359",,"25,60000038","1,48334535","10,80000019"
09/01/2010 0.00,"7,08017399","6,82857225","8,39142575","0,84010597",,"25,60000038","1,4320377","10,80000019"
09/01/2010 1.00,"8,3541526","7,27764942","8,94588281","0,84661832",,"34,29999161","1,3954257","12,60000038"
09/01/2010 2.00,"6,09030145","6,929088","8,73674442","0,85549795",,"34,29999161","1,41907095","12,60000038"
