,Regione Puglia,,,
02/01/2006 22.00,"0,87862495","62,02399896",75,"15,95345974"
02/01/2006 23.00,"0,46369505","54,64300976",51,"15,95345974"
03/01/2006 0.00,"0,41263351","43,8862316",35,"15,95345974"
03/01/2006 1.00,"0,39147279","32,0691156",18,"17,80830002"
03/01/2006 2.00,"0,35651138","19,84963832",5,"17,80830002"
03/01/2006 3.00,"0,25162817","13,83141374",0,"17,80830002"
03/01/2006 4.00,"0,4080326","20,83732016",25,"17,80830002"
03/01/2006 5.00,"0,18078599","16,06375595",1,"17,80830002"
03/01/2006 6.00,"0,30682992","20,81915616",5,"17,80830002"
03/01/2006 7.00,"0,26588855","32,92051008",18,"17,80830002"
03/01/2006 8.00,"0,29717045","48,2367008",40,"17,80830002"
03/01/2006 9.00,"0,29256954","56,4353568",60,"17,80830002"
03/01/2006 10.00,"0,47703504","59,48926056",62,"17,80830002"
03/01/2006 11.00,"0,26588855","62,47695176",71,"17,80830002"
03/01/2006 12.00,"0,75534217","61,40621264",65,"17,80830002"
03/01/2006 13.00,"0,96648764","63,378976",69,"17,80830002"
03/01/2006 14.00,2,"69,11428768",77,"17,80830002"
03/01/2006 15.00,"0,56351665","52,83376064",45,"17,80830002"
03/01/2006 16.00,"0,32247036","64,65089576",67,"17,80830002"
03/01/2006 17.00,"0,70014043","62,576892",67,"17,80830002"
03/01/2006 18.00,"0,58881758","78,61339048",126,"17,80830002"
03/01/2006 19.00,2,"84,04498096",188,"17,80830002"
03/01/2006 20.00,1,"80,41225744",200,"17,80830002"
03/01/2006 21.00,1,"80,54982584",165,"17,80830002"
03/01/2006 22.00,1,"80,1838308",139,"17,80830002"
03/01/2006 23.00,"0,79904266","67,06883008",78,"17,80830002"
04/01/2006 0.00,"0,40205264","54,62482664",52,"17,80830002"
04/01/2006 1.00,,"40,58055568",29,"20,61226082"
04/01/2006 2.00,2,,,"20,61226082"
04/01/2006 3.00,2,"20,58034736",4,"20,61226082"
04/01/2006 4.00,1,"14,78405818",0,"20,61226082"
04/01/2006 5.00,1,"14,34667862",0,"20,61226082"
04/01/2006 6.00,1,"18,62316489",2,"20,61226082"
04/01/2006 7.00,2,"38,92187656",31,"20,61226082"
04/01/2006 8.00,2,"55,07259792",58,"20,61226082"
04/01/2006 9.00,2,"62,60933864",86,"20,61226082"
04/01/2006 10.00,2,"62,26930856",95,"20,61226082"
04/01/2006 11.00,3,"66,8871136",102,"20,61226082"
04/01/2006 12.00,2,"63,89682208",83,"20,61226082"
04/01/2006 13.00,2,"61,32315536",66,"20,61226082"
04/01/2006 14.00,2,"60,76246136",66,"20,61226082"
04/01/2006 15.00,2,"55,32827056",52,"20,61226082"
04/01/2006 16.00,2,"70,46406408",85,"20,61226082"
04/01/2006 17.00,2,"78,31488904",125,"20,61226082"
04/01/2006 18.00,3,"84,22409712",173,"20,61226082"
04/01/2006 19.00,3,"86,86267624",209,"20,61226082"
04/01/2006 20.00,3,"86,16961448",193,"20,61226082"
04/01/2006 21.00,3,"81,12478336",158,"20,61226082"
04/01/2006 22.00,2,"65,58536664",100,"20,61226082"
04/01/2006 23.00,2,"51,16859984",52,"20,61226082"
05/01/2006 0.00,2,"43,32815704",37,"20,61226082"
05/01/2006 1.00,2,"35,1308012",25,"27,5178299"
05/01/2006 2.00,2,"20,85030264",5,"27,5178299"
05/01/2006 3.00,1,"18,16242069",4,"27,5178299"
05/01/2006 4.00,"0,99552096","14,16886453",0,"27,5178299"
05/01/2006 5.00,1,"12,93978122",0,"27,5178299"
05/01/2006 6.00,1,"14,58288901",0,"27,5178299"
05/01/2006 7.00,1,"24,02491096",10,"27,5178299"
05/01/2006 8.00,1,"40,21066016",37,"27,5178299"
05/01/2006 9.00,2,"54,75851368",83,"27,5178299"
05/01/2006 10.00,3,"50,81686832",86,"27,5178299"
05/01/2006 11.00,3,"51,0777416",82,"27,5178299"
05/01/2006 12.00,2,"50,11990608",84,"27,5178299"
05/01/2006 13.00,3,"55,50348624",97,"27,5178299"
05/01/2006 14.00,3,"55,51126808",83,"27,5178299"
05/01/2006 15.00,2,"44,46897096",44,"27,5178299"
05/01/2006 16.00,3,"51,25943896",59,"27,5178299"
05/01/2006 17.00,2,"62,24204344",102,"27,5178299"
05/01/2006 18.00,3,"65,7242352",136,"27,5178299"
05/01/2006 19.00,2,"61,93314072",160,"27,5178299"
05/01/2006 20.00,3,"64,10838488",160,"27,5178299"
05/01/2006 21.00,3,"60,0174888",146,"27,5178299"
05/01/2006 22.00,3,"55,62290976",108,"27,5178299"
05/01/2006 23.00,2,"46,11468672",59,"27,5178299"
06/01/2006 0.00,1,"40,11073904",40,"27,5178299"
06/01/2006 1.00,,"35,01787848",30,"31,13809967"
06/01/2006 2.00,2,,,"31,13809967"
06/01/2006 3.00,1,"26,41039864",13,"31,13809967"
06/01/2006 4.00,1,"23,0774576",8,"31,13809967"
06/01/2006 5.00,1,"20,39086816",5,"31,13809967"
06/01/2006 6.00,1,"18,15982802",2,"31,13809967"
06/01/2006 7.00,1,"22,14816824",8,"31,13809967"
06/01/2006 8.00,1,"27,9847012",16,"31,13809967"
06/01/2006 9.00,"0,59296388","32,99448536",27,"31,13809967"
06/01/2006 10.00,2,"36,6700568",37,"31,13809967"
06/01/2006 11.00,2,"42,39756752",56,"31,13809967"
06/01/2006 12.00,3,"44,5260824",53,"31,13809967"
06/01/2006 13.00,3,"53,27244992",79,"31,13809967"
06/01/2006 14.00,2,"55,43599264",77,"31,13809967"
06/01/2006 15.00,2,"29,95228304",18,"31,13809967"
06/01/2006 16.00,1,"35,83552616",26,"31,13809967"
06/01/2006 17.00,1,"50,34445136",49,"31,13809967"
06/01/2006 18.00,2,"68,37059616",95,"31,13809967"
06/01/2006 19.00,1,"71,2350016",98,"31,13809967"
06/01/2006 20.00,1,"66,84688512",90,"31,13809967"
06/01/2006 21.00,1,"63,72680704",92,"31,13809967"
06/01/2006 22.00,1,"63,45425144",87,"31,13809967"
06/01/2006 23.00,1,"54,57551616",63,"31,13809967"
07/01/2006 0.00,"0,74334157","45,172434",41,"31,13809967"
07/01/2006 1.00,"0,78404293","35,92378408",26,"40,47280121"
07/01/2006 2.00,"0,67157087","30,65832728",19,"40,47280121"
07/01/2006 3.00,"0,5639143","20,94116088",5,"40,47280121"
07/01/2006 4.00,"0,47847308","22,52974608",11,"40,47280121"
07/01/2006 5.00,"0,31955157","17,22534949",1,"40,47280121"
07/01/2006 6.00,"0,29050097","17,95086745",3,"40,47280121"
07/01/2006 7.00,"0,31784301","24,64397832",10,"40,47280121"
07/01/2006 8.00,"0,28195715","37,20478584",27,"40,47280121"
07/01/2006 9.00,"0,21624471","47,05043864",43,"40,47280121"
07/01/2006 10.00,1,"53,88633576",64,"40,47280121"
07/01/2006 11.00,2,"62,63270328",83,"40,47280121"
07/01/2006 12.00,4,"65,9202152",90,"40,47280121"
07/01/2006 13.00,5,"76,4057188",112,"40,47280121"
07/01/2006 14.00,4,"73,02216712",93,"40,47280121"
07/01/2006 15.00,3,"52,63519944",46,"40,47280121"
07/01/2006 16.00,2,"59,62812912",55,"40,47280121"
07/01/2006 17.00,2,"78,39924648",102,"40,47280121"
07/01/2006 18.00,1,"90,6265056",150,"40,47280121"
07/01/2006 19.00,1,"87,2831824",173,"40,47280121"
07/01/2006 20.00,1,"81,73738816",144,"40,47280121"
07/01/2006 21.00,1,"81,0131608",165,"40,47280121"
07/01/2006 22.00,"0,96533437","71,99685712",121,"40,47280121"
07/01/2006 23.00,"0,65448221","60,75079816",75,"40,47280121"
08/01/2006 0.00,"0,58100295","53,10371592",59,"40,47280121"
08/01/2006 1.00,,"44,08739312",37,"37,79513168"
08/01/2006 2.00,1,,,"37,79513168"
08/01/2006 3.00,"0,41660388",,,"37,79513168"
08/01/2006 4.00,2,,,"37,79513168"
08/01/2006 5.00,"0,93441553",,,"37,79513168"
08/01/2006 6.00,1,,,"37,79513168"
08/01/2006 7.00,"0,48534901",,,"37,79513168"
08/01/2006 8.00,"0,07027267",,,"37,79513168"
08/01/2006 9.00,"0,72671871",,,"37,79513168"
08/01/2006 10.00,2,,,"37,79513168"
08/01/2006 11.00,4,,,"37,79513168"
08/01/2006 12.00,5,,,"37,79513168"
08/01/2006 13.00,5,,,"37,79513168"
08/01/2006 14.00,3,,,"37,79513168"
08/01/2006 15.00,3,,,"37,79513168"
08/01/2006 16.00,2,,,"37,79513168"
08/01/2006 17.00,2,,,"37,79513168"
08/01/2006 18.00,3,,,"37,79513168"
08/01/2006 19.00,2,,,"37,79513168"
08/01/2006 20.00,2,,,"37,79513168"
08/01/2006 21.00,3,,,"37,79513168"
08/01/2006 22.00,3,,,"37,79513168"
08/01/2006 23.00,3,,,"37,79513168"
09/01/2006 0.00,2,,,"37,79513168"
09/01/2006 1.00,2,,,"33,81644058"
09/01/2006 2.00,3,,,"33,81644058"
09/01/2006 3.00,1,,,"33,81644058"
09/01/2006 4.00,2,,,"33,81644058"
09/01/2006 5.00,2,,,"33,81644058"
09/01/2006 6.00,2,,,"33,81644058"
09/01/2006 7.00,2,,,"33,81644058"
09/01/2006 8.00,2,,,"33,81644058"
09/01/2006 9.00,3,,,"33,81644058"
09/01/2006 10.00,3,,,"33,81644058"
09/01/2006 11.00,3,,,"33,81644058"
09/01/2006 12.00,4,,,"33,81644058"
09/01/2006 13.00,3,,,"33,81644058"
09/01/2006 14.00,3,"60,68070424",73,"33,81644058"
09/01/2006 15.00,3,"46,78308368",41,"33,81644058"
09/01/2006 16.00,3,"54,56901536",52,"33,81644058"
09/01/2006 17.00,3,"69,50752872",85,"33,81644058"
09/01/2006 18.00,3,"79,84766296",161,"33,81644058"
09/01/2006 19.00,3,"77,51540536",190,"33,81644058"
09/01/2006 20.00,2,"75,19869232",176,"33,81644058"
09/01/2006 21.00,3,"76,2772324",170,"33,81644058"
09/01/2006 22.00,2,"68,60680464",117,"33,81644058"
09/01/2006 23.00,1,"55,82407128",63,"33,81644058"
10/01/2006 0.00,1,"42,8946684",35,"33,81644058"
10/01/2006 1.00,,"35,0840528",22,"39,75389099"
10/01/2006 2.00,2,"22,823066",6,"39,75389099"
10/01/2006 3.00,"0,93597053","19,60174752",2,"39,75389099"
10/01/2006 4.00,1,"19,77176256",3,"39,75389099"
10/01/2006 5.00,"0,91535492","19,68092344",2,"39,75389099"
10/01/2006 6.00,1,"21,53558256",4,"39,75389099"
10/01/2006 7.00,2,"30,56746904",17,"39,75389099"
10/01/2006 8.00,2,"52,48464856",54,"39,75389099"
10/01/2006 9.00,2,"65,05841944",83,"39,75389099"
10/01/2006 10.00,2,"66,9182792",97,"39,75389099"
10/01/2006 11.00,2,"75,000112",133,"39,75389099"
10/01/2006 12.00,3,"78,10852688",146,"39,75389099"
10/01/2006 13.00,3,"78,69516672",129,"39,75389099"
10/01/2006 14.00,4,"80,27336976",143,"39,75389099"
10/01/2006 15.00,3,"74,2473576",105,"39,75389099"
10/01/2006 16.00,3,"69,17528048",79,"39,75389099"
10/01/2006 17.00,3,"83,50508952",123,"39,75389099"
10/01/2006 18.00,3,"96,01656744",210,"39,75389099"
10/01/2006 19.00,3,"88,57328528",189,"39,75389099"
10/01/2006 20.00,3,"83,09366536",176,"39,75389099"
10/01/2006 21.00,3,"81,50376088",155,"39,75389099"
10/01/2006 22.00,3,"73,56077752",106,"39,75389099"
10/01/2006 23.00,2,"55,39316384",53,"39,75389099"
11/01/2006 0.00,2,"43,62405816",33,"39,75389099"
11/01/2006 1.00,1,"29,49282944",14,"36,92876053"
11/01/2006 2.00,2,"23,22670832",6,"36,92876053"
11/01/2006 3.00,1,"17,60303067",0,"36,92876053"
11/01/2006 4.00,1,"17,33956854",1,"36,92876053"
11/01/2006 5.00,"0,62673032","17,4213314",1,"36,92876053"
11/01/2006 6.00,1,"18,83341606",2,"36,92876053"
11/01/2006 7.00,"0,89886121","26,93602656",11,"36,92876053"
11/01/2006 8.00,2,"55,54371472",56,"36,92876053"
11/01/2006 9.00,2,"72,66913544",99,"36,92876053"
11/01/2006 10.00,2,"67,4049788",80,"36,92876053"
11/01/2006 11.00,2,"65,85790312",76,"36,92876053"
11/01/2006 12.00,2,"72,00853944",91,"36,92876053"
11/01/2006 13.00,4,"76,0410048",102,"36,92876053"
11/01/2006 14.00,4,"80,07610872",116,"36,92876053"
11/01/2006 15.00,4,"62,22257928",62,"36,92876053"
11/01/2006 16.00,3,"54,50932272",47,"36,92876053"
11/01/2006 17.00,3,"71,9176812",83,"36,92876053"
11/01/2006 18.00,3,"78,56668032",132,"36,92876053"
11/01/2006 19.00,3,"79,19224848",139,"36,92876053"
11/01/2006 20.00,2,"82,5745",153,"36,92876053"
11/01/2006 21.00,2,"84,90549568",158,"36,92876053"
11/01/2006 22.00,2,"77,8048248",117,"36,92876053"
11/01/2006 23.00,1,"64,80922848",74,"36,92876053"
12/01/2006 0.00,2,"58,47951424",57,"36,92876053"
12/01/2006 1.00,,"45,23730816",31,"41,82526016"
12/01/2006 2.00,,"23,77440072",6,"41,82526016"
12/01/2006 3.00,,"20,0521",2,"41,82526016"
12/01/2006 4.00,,"25,5447024",8,"41,82526016"
12/01/2006 5.00,,"27,41364416",9,"41,82526016"
12/01/2006 6.00,,"31,636908",16,"41,82526016"
12/01/2006 7.00,,"41,10230224",29,"41,82526016"
12/01/2006 8.00,,"61,59051032",68,"41,82526016"
12/01/2006 9.00,,"72,91444504",124,"41,82526016"
12/01/2006 10.00,,"72,51858456",121,"41,82526016"
12/01/2006 11.00,,"82,752316",139,"41,82526016"
12/01/2006 12.00,,"82,84057392",131,"41,82526016"
12/01/2006 13.00,,"73,24539312",82,"41,82526016"
12/01/2006 14.00,,"86,09045768",112,"41,82526016"
12/01/2006 15.00,,"80,364228",92,"41,82526016"
12/01/2006 16.00,,"76,0046768",83,"41,82526016"
12/01/2006 17.00,,"79,26754304",90,"41,82526016"
12/01/2006 18.00,,"80,39279328",101,"41,82526016"
12/01/2006 19.00,,"87,05475576",121,"41,82526016"
12/01/2006 20.00,,"95,49353984",162,"41,82526016"
12/01/2006 21.00,,"106,8744904",195,"41,82526016"
12/01/2006 22.00,,"101,7090312",145,"41,82526016"
12/01/2006 23.00,,"94,83550592",112,"41,82526016"
13/01/2006 0.00,,"82,87170128",95,"41,82526016"
13/01/2006 1.00,,"69,65677944",64,"38,40808105"
13/01/2006 2.00,,"51,96678336",38,"38,40808105"
13/01/2006 3.00,,"29,27738528",11,"38,40808105"
13/01/2006 4.00,,"24,27020144",6,"38,40808105"
13/01/2006 5.00,,"23,46681728",6,"38,40808105"
13/01/2006 6.00,,"28,15991688",12,"38,40808105"
13/01/2006 7.00,,"42,85962144",29,"38,40808105"
13/01/2006 8.00,,"72,67045472",90,"38,40808105"
13/01/2006 9.00,,"86,37207616",154,"38,40808105"
13/01/2006 10.00,,"89,52980152",171,"38,40808105"
13/01/2006 11.00,,"87,54405568",159,"38,40808105"
13/01/2006 12.00,,"82,47457888",128,"38,40808105"
13/01/2006 13.00,,"79,65690272",118,"38,40808105"
13/01/2006 14.00,,"83,1040284",121,"38,40808105"
13/01/2006 15.00,,"64,6430948",71,"38,40808105"
13/01/2006 16.00,,"57,81499864",55,"38,40808105"
13/01/2006 17.00,,"45,48651824",35,"38,40808105"
13/01/2006 18.00,,"50,55339472",43,"38,40808105"
13/01/2006 19.00,,"53,68777456",48,"38,40808105"
13/01/2006 20.00,,"64,52889104",65,"38,40808105"
13/01/2006 21.00,,"69,8696424",72,"38,40808105"
13/01/2006 22.00,,"92,09180504",117,"38,40808105"
13/01/2006 23.00,,"77,64389176",84,"38,40808105"
14/01/2006 0.00,,"59,41528528",55,"38,40808105"
14/01/2006 1.00,,"43,33073824",29,"54,73802185"
14/01/2006 2.00,,"31,70700192",16,"54,73802185"
14/01/2006 3.00,,"21,0994936",3,"54,73802185"
14/01/2006 4.00,,"17,99888924",2,"54,73802185"
14/01/2006 5.00,,"14,28178342",0,"54,73802185"
14/01/2006 6.00,,"18,07675353",2,"54,73802185"
14/01/2006 7.00,,"27,17613552",10,"54,73802185"
14/01/2006 8.00,,"53,62028096",45,"54,73802185"
14/01/2006 9.00,,"68,16293384",70,"54,73802185"
14/01/2006 10.00,,"80,596536",105,"54,73802185"
14/01/2006 11.00,,"85,354548",123,"54,73802185"
14/01/2006 12.00,,"90,32540384",158,"54,73802185"
14/01/2006 13.00,,"89,28061056",146,"54,73802185"
14/01/2006 14.00,,"94,69143672",162,"54,73802185"
14/01/2006 15.00,,"75,9865128",90,"54,73802185"
14/01/2006 16.00,,"74,25383928",82,"54,73802185"
14/01/2006 17.00,,"84,52391784",121,"54,73802185"
14/01/2006 18.00,,"75,34276152",102,"54,73802185"
14/01/2006 19.00,,"86,82244776",154,"54,73802185"
14/01/2006 20.00,,"87,0690384",149,"54,73802185"
14/01/2006 21.00,,"83,0767824",166,"54,73802185"
14/01/2006 22.00,,"77,66595624",154,"54,73802185"
14/01/2006 23.00,,"67,13112304",102,"54,73802185"
15/01/2006 0.00,,"63,00257968",86,"54,73802185"
15/01/2006 1.00,,"63,06747296",89,"68,12248993"
15/01/2006 2.00,,"60,2653796",71,"68,12248993"
15/01/2006 3.00,,"61,15054",61,"68,12248993"
15/01/2006 4.00,,"43,5890112",30,"68,12248993"
15/01/2006 5.00,,"36,06267176",23,"68,12248993"
15/01/2006 6.00,,"29,63171712",14,"68,12248993"
15/01/2006 7.00,,"26,81272168",9,"68,12248993"
15/01/2006 8.00,,"38,4922884",24,"68,12248993"
15/01/2006 9.00,,"44,52998288",34,"68,12248993"
15/01/2006 10.00,,"60,5016072",63,"68,12248993"
15/01/2006 11.00,,"66,59771328",83,"68,12248993"
15/01/2006 12.00,,"66,37706848",76,"68,12248993"
15/01/2006 13.00,,"69,7164912",82,"68,12248993"
15/01/2006 14.00,,"67,17655216",73,"68,12248993"
15/01/2006 15.00,,"36,12496472",21,"68,12248993"
15/01/2006 16.00,,"43,61497616",33,"68,12248993"
15/01/2006 17.00,,"60,22385096",57,"68,12248993"
15/01/2006 18.00,,"79,37784632",103,"68,12248993"
15/01/2006 19.00,,"82,91584936",123,"68,12248993"
15/01/2006 20.00,,"91,1806988",170,"68,12248993"
15/01/2006 21.00,,"92,08400408",215,"68,12248993"
15/01/2006 22.00,,"86,16183264",207,"68,12248993"
15/01/2006 23.00,,"79,56084384",178,"68,12248993"
16/01/2006 0.00,,"80,59525496",141,"68,12248993"
16/01/2006 1.00,,"67,28037376",69,"55,19427109"
16/01/2006 2.00,,"56,01225032",47,"55,19427109"
16/01/2006 3.00,,"49,85125096",38,"55,19427109"
16/01/2006 4.00,,"34,42863832",17,"55,19427109"
16/01/2006 5.00,,"28,30656728",10,"55,19427109"
16/01/2006 6.00,,"33,7615224",20,"55,19427109"
16/01/2006 7.00,,"47,42293448",39,"55,19427109"
16/01/2006 8.00,,"67,32322168",95,"55,19427109"
16/01/2006 9.00,,"75,86970872",137,"55,19427109"
16/01/2006 10.00,,"81,15462968",139,"55,19427109"
16/01/2006 11.00,,"77,8723184",115,"55,19427109"
16/01/2006 12.00,,"65,52177352",77,"55,19427109"
16/01/2006 13.00,,"60,28874424",62,"55,19427109"
16/01/2006 14.00,,"61,50355256",66,"55,19427109"
16/01/2006 15.00,,"59,46459576",56,"55,19427109"
16/01/2006 16.00,,"66,58861216",71,"55,19427109"
16/01/2006 17.00,,"80,8665104",104,"55,19427109"
16/01/2006 18.00,,"85,4402056",154,"55,19427109"
16/01/2006 19.00,,"87,24813544",214,"55,19427109"
16/01/2006 20.00,,"86,11252216",229,"55,19427109"
16/01/2006 21.00,,"81,977478",196,"55,19427109"
16/01/2006 22.00,,"79,01055112",167,"55,19427109"
16/01/2006 23.00,,"71,39203416",109,"55,19427109"
17/01/2006 0.00,,"67,22068112",75,"55,19427109"
17/01/2006 1.00,,"58,41462096",58,"55,89797974"
17/01/2006 2.00,,"47,605932",39,"55,89797974"
17/01/2006 3.00,,,,"55,89797974"
17/01/2006 4.00,,,,"55,89797974"
17/01/2006 5.00,,,,"55,89797974"
17/01/2006 6.00,,,,"55,89797974"
17/01/2006 7.00,,"59,92534952",71,"55,89797974"
17/01/2006 8.00,,"70,24731976",138,"55,89797974"
17/01/2006 9.00,,"85,0638284",270,"55,89797974"
17/01/2006 10.00,,"90,21768176",206,"55,89797974"
17/01/2006 11.00,,"68,39914232",83,"55,89797974"
17/01/2006 12.00,,,,"55,89797974"
17/01/2006 13.00,,,,"55,89797974"
17/01/2006 14.00,,,,"55,89797974"
17/01/2006 15.00,,,,"55,89797974"
17/01/2006 16.00,,,,"55,89797974"
17/01/2006 17.00,,"84,03849928",94,"55,89797974"
17/01/2006 18.00,10,"104,22686752",216,"55,89797974"
17/01/2006 19.00,12,"83,65304008",134,"55,89797974"
17/01/2006 20.00,11,"77,85155408",106,"55,89797974"
17/01/2006 21.00,11,"75,74252248",89,"55,89797974"
17/01/2006 22.00,10,"71,4647284",71,"55,89797974"
17/01/2006 23.00,11,,,"55,89797974"
18/01/2006 0.00,10,,,"55,89797974"
18/01/2006 1.00,10,,,"21,42897034"
18/01/2006 2.00,10,,,"21,42897034"
18/01/2006 3.00,11,,,"21,42897034"
18/01/2006 4.00,10,,,"21,42897034"
18/01/2006 5.00,9,,,"21,42897034"
18/01/2006 6.00,10,,,"21,42897034"
18/01/2006 7.00,10,,,"21,42897034"
18/01/2006 8.00,10,,,"21,42897034"
18/01/2006 9.00,,,,"21,42897034"
18/01/2006 10.00,,,,"21,42897034"
18/01/2006 11.00,7,,,"21,42897034"
18/01/2006 12.00,9,,,"21,42897034"
18/01/2006 13.00,8,,,"21,42897034"
18/01/2006 14.00,7,,,"21,42897034"
18/01/2006 15.00,7,,,"21,42897034"
18/01/2006 16.00,6,,,"21,42897034"
18/01/2006 17.00,6,,,"21,42897034"
18/01/2006 18.00,6,"93,73492048",119,"21,42897034"
18/01/2006 19.00,6,"99,7622328",140,"21,42897034"
18/01/2006 20.00,7,"103,82710656",158,"21,42897034"
18/01/2006 21.00,7,"97,74662152",137,"21,42897034"
18/01/2006 22.00,6,"92,1044816",127,"21,42897034"
18/01/2006 23.00,6,"80,2448236",91,"21,42897034"
19/01/2006 0.00,6,"95,34817048",144,"21,42897034"
19/01/2006 1.00,6,"64,7352532",70,"21,92863083"
19/01/2006 2.00,4,"19,95347904",5,"21,92863083"
19/01/2006 3.00,5,"12,6983721",0,"21,92863083"
19/01/2006 4.00,3,"17,37071502",2,"21,92863083"
19/01/2006 5.00,5,"16,26622719",1,"21,92863083"
19/01/2006 6.00,4,"18,90998974",2,"21,92863083"
19/01/2006 7.00,5,"35,95883104",22,"21,92863083"
19/01/2006 8.00,5,"62,87021192",74,"21,92863083"
19/01/2006 9.00,5,"75,09097024",121,"21,92863083"
19/01/2006 10.00,5,"48,9349632",50,"21,92863083"
19/01/2006 11.00,5,"36,76611568",26,"21,92863083"
19/01/2006 12.00,5,"43,1788872",36,"21,92863083"
19/01/2006 13.00,5,"48,20815464",43,"21,92863083"
19/01/2006 14.00,6,"52,81429648",49,"21,92863083"
19/01/2006 15.00,5,"29,54344008",15,"21,92863083"
19/01/2006 16.00,5,"43,68246976",34,"21,92863083"
19/01/2006 17.00,4,"35,69537656",23,"21,92863083"
19/01/2006 18.00,3,"52,41067328",49,"21,92863083"
19/01/2006 19.00,3,"66,52111856",76,"21,92863083"
19/01/2006 20.00,4,"57,14010088",55,"21,92863083"
19/01/2006 21.00,3,"63,19209712",66,"21,92863083"
19/01/2006 22.00,3,"39,6954144",27,"21,92863083"
19/01/2006 23.00,3,"60,44189544",53,"21,92863083"
20/01/2006 0.00,3,"54,18355616",44,"21,92863083"
20/01/2006 1.00,,"37,40336616",23,"36,82376099"
20/01/2006 2.00,2,"24,09238544",6,"36,82376099"
20/01/2006 3.00,2,"20,60631232",3,"36,82376099"
20/01/2006 4.00,3,"16,72566741",0,"36,82376099"
20/01/2006 5.00,2,"20,257162",2,"36,82376099"
20/01/2006 6.00,3,"24,34417672",6,"36,82376099"
20/01/2006 7.00,3,"38,38066584",25,"36,82376099"
20/01/2006 8.00,3,"64,58082096",72,"36,82376099"
20/01/2006 9.00,3,"80,79383528",117,"36,82376099"
20/01/2006 10.00,6,"81,6958404",111,"36,82376099"
20/01/2006 11.00,6,"78,84311728",98,"36,82376099"
20/01/2006 12.00,6,"72,86511544",81,"36,82376099"
20/01/2006 13.00,5,"69,57760352",72,"36,82376099"
20/01/2006 14.00,3,"69,50882888",70,"36,82376099"
20/01/2006 15.00,4,"45,02446432",33,"36,82376099"
20/01/2006 16.00,5,"47,0244928",36,"36,82376099"
20/01/2006 17.00,3,"57,52946056",46,"36,82376099"
20/01/2006 18.00,5,"101,67400336",155,"36,82376099"
20/01/2006 19.00,4,"22,91392424",158,"36,82376099"
20/01/2006 20.00,3,"1,59119126",92,"36,82376099"
20/01/2006 21.00,3,"1,99093692",59,"36,82376099"
