,Provincia di TARANTO
16/11/2013 13.00.00,25
16/11/2013 14.00.00,15
16/11/2013 15.00.00,9
16/11/2013 16.00.00,11
16/11/2013 17.00.00,14
16/11/2013 18.00.00,17
16/11/2013 19.00.00,20
16/11/2013 20.00.00,26
16/11/2013 21.00.00,27
16/11/2013 22.00.00,16
16/11/2013 23.00.00,11
17/11/2013 00.00.00,12
17/11/2013 01.00.00,12
17/11/2013 02.00.00,7
17/11/2013 03.00.00,5
17/11/2013 04.00.00,3
17/11/2013 05.00.00,6
17/11/2013 06.00.00,7
17/11/2013 07.00.00,5
17/11/2013 08.00.00,9
17/11/2013 09.00.00,9
17/11/2013 10.00.00,11
17/11/2013 11.00.00,12
17/11/2013 12.00.00,12
17/11/2013 13.00.00,15
17/11/2013 14.00.00,14
17/11/2013 15.00.00,5
17/11/2013 16.00.00,5
17/11/2013 17.00.00,7
17/11/2013 18.00.00,22
17/11/2013 19.00.00,17
17/11/2013 20.00.00,22
17/11/2013 21.00.00,21
17/11/2013 22.00.00,17
17/11/2013 23.00.00,38
18/11/2013 00.00.00,59
18/11/2013 01.00.00,38
18/11/2013 02.00.00,28
18/11/2013 03.00.00,7
18/11/2013 04.00.00,3
18/11/2013 05.00.00,5
18/11/2013 06.00.00,7
18/11/2013 07.00.00,14
18/11/2013 08.00.00,46
18/11/2013 09.00.00,45
18/11/2013 10.00.00,24
18/11/2013 11.00.00,14
18/11/2013 12.00.00,16
18/11/2013 13.00.00,15
18/11/2013 14.00.00,16
18/11/2013 15.00.00,13
18/11/2013 16.00.00,27
18/11/2013 17.00.00,39
18/11/2013 18.00.00,33
18/11/2013 19.00.00,41
18/11/2013 20.00.00,42
18/11/2013 21.00.00,18
18/11/2013 22.00.00,7
18/11/2013 23.00.00,8
19/11/2013 00.00.00,3
19/11/2013 01.00.00,4
19/11/2013 02.00.00,3
19/11/2013 03.00.00,1
19/11/2013 04.00.00,1
19/11/2013 05.00.00,1
19/11/2013 06.00.00,2
19/11/2013 07.00.00,6
19/11/2013 08.00.00,20
19/11/2013 09.00.00,59
19/11/2013 10.00.00,23
19/11/2013 11.00.00,9
19/11/2013 12.00.00,12
19/11/2013 13.00.00,36
19/11/2013 14.00.00,21
19/11/2013 15.00.00,7
19/11/2013 16.00.00,11
19/11/2013 17.00.00,21
19/11/2013 18.00.00,77
19/11/2013 19.00.00,186
19/11/2013 20.00.00,147
19/11/2013 21.00.00,96
19/11/2013 22.00.00,58
19/11/2013 23.00.00,15
20/11/2013 00.00.00,7
20/11/2013 01.00.00,22
20/11/2013 02.00.00,20
20/11/2013 03.00.00,4
20/11/2013 04.00.00,7
20/11/2013 05.00.00,1
20/11/2013 06.00.00,3
20/11/2013 07.00.00,5
20/11/2013 08.00.00,15
20/11/2013 09.00.00,26
20/11/2013 10.00.00,23
20/11/2013 11.00.00,16
20/11/2013 12.00.00,12
20/11/2013 13.00.00,17
20/11/2013 14.00.00,14
20/11/2013 15.00.00,15
20/11/2013 16.00.00,34
20/11/2013 17.00.00,24
20/11/2013 18.00.00,28
20/11/2013 19.00.00,15
20/11/2013 20.00.00,28
20/11/2013 21.00.00,40
20/11/2013 22.00.00,20
20/11/2013 23.00.00,15
21/11/2013 00.00.00,22
21/11/2013 01.00.00,14
21/11/2013 02.00.00,2
21/11/2013 03.00.00,1
21/11/2013 04.00.00,1
21/11/2013 05.00.00,3
21/11/2013 06.00.00,6
21/11/2013 07.00.00,8
21/11/2013 08.00.00,12
21/11/2013 09.00.00,21
21/11/2013 10.00.00,16
21/11/2013 11.00.00,16
21/11/2013 12.00.00,15
21/11/2013 13.00.00,20
21/11/2013 14.00.00,25
21/11/2013 15.00.00,12
21/11/2013 16.00.00,13
21/11/2013 17.00.00,16
21/11/2013 18.00.00,22
21/11/2013 19.00.00,20
21/11/2013 20.00.00,24
21/11/2013 21.00.00,52
21/11/2013 22.00.00,66
21/11/2013 23.00.00,28
22/11/2013 00.00.00,34
22/11/2013 01.00.00,20
22/11/2013 02.00.00,10
22/11/2013 03.00.00,9
22/11/2013 04.00.00,3
22/11/2013 05.00.00,6
22/11/2013 06.00.00,4
22/11/2013 07.00.00,33
22/11/2013 08.00.00,111
22/11/2013 09.00.00,98
22/11/2013 10.00.00,43
22/11/2013 11.00.00,12
22/11/2013 12.00.00,18
22/11/2013 13.00.00,16
22/11/2013 14.00.00,18
22/11/2013 15.00.00,14
22/11/2013 16.00.00,18
22/11/2013 17.00.00,24
22/11/2013 18.00.00,24
22/11/2013 19.00.00,19
22/11/2013 20.00.00,10
22/11/2013 21.00.00,10
22/11/2013 22.00.00,6
22/11/2013 23.00.00,3
23/11/2013 00.00.00,2
23/11/2013 01.00.00,3
23/11/2013 02.00.00,2
23/11/2013 03.00.00,2
23/11/2013 04.00.00,1
23/11/2013 05.00.00,1
23/11/2013 06.00.00,2
23/11/2013 07.00.00,4
23/11/2013 08.00.00,17
23/11/2013 09.00.00,49
23/11/2013 10.00.00,39
23/11/2013 11.00.00,13
23/11/2013 12.00.00,17
23/11/2013 13.00.00,18
23/11/2013 14.00.00,17
23/11/2013 15.00.00,5
23/11/2013 16.00.00,10
23/11/2013 17.00.00,10
23/11/2013 18.00.00,7
23/11/2013 19.00.00,14
23/11/2013 20.00.00,13
23/11/2013 21.00.00,14
23/11/2013 22.00.00,14
23/11/2013 23.00.00,21
24/11/2013 00.00.00,32
24/11/2013 01.00.00,26
24/11/2013 02.00.00,14
24/11/2013 03.00.00,5
24/11/2013 04.00.00,5
24/11/2013 05.00.00,5
24/11/2013 06.00.00,3
24/11/2013 07.00.00,6
24/11/2013 08.00.00,15
24/11/2013 09.00.00,25
24/11/2013 10.00.00,25
24/11/2013 11.00.00,15
24/11/2013 12.00.00,17
24/11/2013 13.00.00,16
24/11/2013 14.00.00,14
24/11/2013 15.00.00,10
24/11/2013 16.00.00,9
24/11/2013 17.00.00,14
24/11/2013 18.00.00,38
24/11/2013 19.00.00,51
24/11/2013 20.00.00,100
24/11/2013 21.00.00,31
24/11/2013 22.00.00,51
24/11/2013 23.00.00,12
25/11/2013 00.00.00,25
25/11/2013 01.00.00,20
25/11/2013 02.00.00,7
25/11/2013 03.00.00,3
25/11/2013 04.00.00,2
25/11/2013 05.00.00,2
25/11/2013 06.00.00,10
25/11/2013 07.00.00,10
25/11/2013 08.00.00,30
25/11/2013 09.00.00,33
25/11/2013 10.00.00,28
25/11/2013 11.00.00,20
25/11/2013 12.00.00,21
25/11/2013 13.00.00,24
25/11/2013 14.00.00,24
25/11/2013 15.00.00,17
25/11/2013 16.00.00,29
25/11/2013 17.00.00,21
25/11/2013 18.00.00,13
25/11/2013 19.00.00,14
25/11/2013 20.00.00,9
25/11/2013 21.00.00,10
25/11/2013 22.00.00,6
25/11/2013 23.00.00,4
26/11/2013 00.00.00,3
26/11/2013 01.00.00,6
26/11/2013 02.00.00,6
26/11/2013 03.00.00,3
26/11/2013 04.00.00,3
26/11/2013 05.00.00,4
26/11/2013 06.00.00,4
26/11/2013 07.00.00,10
26/11/2013 08.00.00,15
26/11/2013 09.00.00,18
26/11/2013 10.00.00,19
26/11/2013 11.00.00,22
26/11/2013 12.00.00,17
26/11/2013 13.00.00,21
26/11/2013 14.00.00,18
26/11/2013 15.00.00,20
26/11/2013 16.00.00,20
26/11/2013 17.00.00,27
26/11/2013 18.00.00,23
26/11/2013 19.00.00,17
26/11/2013 20.00.00,12
26/11/2013 21.00.00,8
26/11/2013 22.00.00,5
26/11/2013 23.00.00,3
27/11/2013 00.00.00,3
27/11/2013 01.00.00,2
27/11/2013 02.00.00,2
27/11/2013 03.00.00,1
27/11/2013 04.00.00,1
27/11/2013 05.00.00,1
27/11/2013 06.00.00,2
27/11/2013 07.00.00,8
27/11/2013 08.00.00,18
27/11/2013 09.00.00,30
27/11/2013 10.00.00,27
27/11/2013 11.00.00,19
27/11/2013 12.00.00,18
27/11/2013 13.00.00,21
27/11/2013 14.00.00,14
27/11/2013 15.00.00,14
27/11/2013 16.00.00,26
27/11/2013 17.00.00,60
27/11/2013 18.00.00,31
27/11/2013 19.00.00,36
27/11/2013 20.00.00,29
27/11/2013 21.00.00,33
27/11/2013 22.00.00,22
27/11/2013 23.00.00,11
28/11/2013 00.00.00,10
28/11/2013 01.00.00,6
28/11/2013 02.00.00,3
28/11/2013 03.00.00,3
28/11/2013 04.00.00,2
28/11/2013 05.00.00,4
28/11/2013 06.00.00,6
28/11/2013 07.00.00,13
28/11/2013 08.00.00,50
28/11/2013 09.00.00,47
28/11/2013 10.00.00,59
28/11/2013 11.00.00,26
28/11/2013 12.00.00,23
28/11/2013 13.00.00,27
28/11/2013 14.00.00,36
28/11/2013 15.00.00,22
28/11/2013 16.00.00,20
28/11/2013 17.00.00,32
28/11/2013 18.00.00,30
28/11/2013 19.00.00,28
28/11/2013 20.00.00,27
28/11/2013 21.00.00,26
28/11/2013 22.00.00,18
28/11/2013 23.00.00,13
29/11/2013 00.00.00,9
29/11/2013 01.00.00,5
29/11/2013 02.00.00,2
29/11/2013 03.00.00,1
29/11/2013 04.00.00,2
29/11/2013 05.00.00,1
29/11/2013 06.00.00,3
29/11/2013 07.00.00,11
29/11/2013 08.00.00,37
29/11/2013 09.00.00,81
29/11/2013 10.00.00,43
29/11/2013 11.00.00,25
29/11/2013 12.00.00,32
29/11/2013 13.00.00,22
29/11/2013 14.00.00,38
29/11/2013 15.00.00,22
29/11/2013 16.00.00,21
29/11/2013 17.00.00,35
29/11/2013 18.00.00,30
29/11/2013 19.00.00,36
29/11/2013 20.00.00,40
29/11/2013 21.00.00,63
29/11/2013 22.00.00,59
29/11/2013 23.00.00,36
30/11/2013 00.00.00,15
30/11/2013 01.00.00,14
30/11/2013 02.00.00,7
30/11/2013 03.00.00,5
30/11/2013 04.00.00,3
30/11/2013 05.00.00,3
30/11/2013 06.00.00,5
30/11/2013 07.00.00,15
30/11/2013 08.00.00,35
30/11/2013 09.00.00,45
30/11/2013 10.00.00,29
30/11/2013 11.00.00,36
30/11/2013 12.00.00,34
30/11/2013 13.00.00,28
30/11/2013 14.00.00,26
30/11/2013 15.00.00,11
30/11/2013 16.00.00,9
30/11/2013 17.00.00,8
30/11/2013 18.00.00,10
30/11/2013 19.00.00,9
30/11/2013 20.00.00,10
30/11/2013 21.00.00,9
30/11/2013 22.00.00,5
30/11/2013 23.00.00,4
01/12/2013 00.00.00,6
01/12/2013 01.00.00,5
01/12/2013 02.00.00,7
01/12/2013 03.00.00,5
01/12/2013 04.00.00,2
01/12/2013 05.00.00,1
01/12/2013 06.00.00,1
01/12/2013 07.00.00,2
01/12/2013 08.00.00,2
01/12/2013 09.00.00,3
01/12/2013 10.00.00,8
01/12/2013 11.00.00,12
01/12/2013 12.00.00,19
01/12/2013 13.00.00,12
01/12/2013 14.00.00,6
01/12/2013 15.00.00,5
01/12/2013 16.00.00,5
01/12/2013 17.00.00,8
01/12/2013 18.00.00,10
01/12/2013 19.00.00,16
01/12/2013 20.00.00,15
01/12/2013 21.00.00,14
01/12/2013 22.00.00,11
01/12/2013 23.00.00,3
02/12/2013 00.00.00,4
02/12/2013 01.00.00,3
02/12/2013 02.00.00,4
02/12/2013 03.00.00,1
02/12/2013 04.00.00,1
02/12/2013 05.00.00,2
02/12/2013 06.00.00,3
02/12/2013 07.00.00,10
02/12/2013 08.00.00,31
02/12/2013 09.00.00,43
