"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
05/01/2012 2.00,"19,47001072","22,30407272","0,46785818","28,862862","20,02441978","2,53291884"
05/01/2012 3.00,"20,56801496","23,26967096","0,47202655","25,88973345",,"2,35605746"
05/01/2012 4.00,"10,17466785","11,31869775","0,39644601","35,56273035","19,29179955","1,73013362"
05/01/2012 5.00,"9,72495589","11,07227154","0,42283209","31,07226465",,"1,08224869"
05/01/2012 6.00,"9,50237041","10,45167076","0,40814377","33,00797325","12,45421028","0,99317983"
05/01/2012 7.00,"14,18703235","16,6531529","0,38838421","28,97101095",,"1,10875883"
05/01/2012 8.00,"17,70751382","21,6516792","0,49845224","24,354162","9,76801014","2,12073993"
05/01/2012 9.00,"27,24232896","39,8080312","0,60570913","15,58480833",,"1,95663274"
05/01/2012 10.00,"21,63032216","32,21035504","0,51722971","21,43102815","10,50061035","2,21114004"
05/01/2012 11.00,"20,10923056","29,98279856","0,47806358","26,9501757",,"3,45816002"
05/01/2012 12.00,"23,58297128","37,861902","0,54222013","29,6664879","5,86080599","2,2450814"
05/01/2012 13.00,"27,8289688","46,90961984","0,51738699","33,04444185",,"2,45444306"
05/01/2012 14.00,"32,53310064","55,7342264","0,5694322","33,88186305","10,01220989","2,27109219"
05/01/2012 15.00,"20,612794","28,2098392","0,40678888","40,61618505",,"2,28018722"
05/01/2012 16.00,"26,64788816","34,58058496","0,48700845","33,63176985","6,10500622","1,62193092"
05/01/2012 17.00,"36,367674","46,78316016","0,54864976","23,4255294",,"1,90172796"
05/01/2012 18.00,"32,84330352","43,43369944","0,54536563","26,5162632","3,90720391","3,17448211"
05/01/2012 19.00,"58,55218936","92,79266776","0,84228219","5,12712407",,"3,17930675"
05/01/2012 20.00,"49,7461292","74,60845792","0,74701897","12,99758061","14,40781021","3,926577"
05/01/2012 21.00,"69,36475968","118,65436064","0,86298657","2,49056798",,"4,67573174"
05/01/2012 22.00,"49,22308248","74,96642256","0,59823682","20,6308137","8,30280876","4,14669851"
05/01/2012 23.00,"31,84003888","41,8014824","0,48773657","35,9864883",,"2,3471282"
06/01/2012 0.00,"35,66356088","42,6749796","0,47182966","30,38626395","10,01220989","1,86179648"
06/01/2012 1.00,"19,34802512","22,58810032","0,3991791","44,35102455",,"1,29371858"
