,,Lecce,,,
,GALATINA FRAZ SANTA BARBARA,,,
Parm,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
10/01/2009 11.00,"0,7","9,8","15,7",,
10/01/2009 12.00,"0,7","14,2","20,5",,
10/01/2009 13.00,"0,6","9,2","14,9",,
10/01/2009 14.00,"0,5","8,4","13,5",,
10/01/2009 15.00,"0,6","14,3","19,1",,
10/01/2009 16.00,"0,7","11,4","15,3",,
10/01/2009 17.00,"0,7","10,7","14,7",,
10/01/2009 18.00,"0,8","15,8","21,8",,
10/01/2009 19.00,"0,7","13,8","19,2",,
10/01/2009 20.00,"0,8","11,1","15,7",,
10/01/2009 21.00,"0,9","21,1","27,0",,
10/01/2009 22.00,"0,6","19,7","25,6",,
10/01/2009 23.00,"0,8","16,7","22,8",,
11/01/2009 0.00,"0,8","14,2","19,7",,
11/01/2009 1.00,"0,9","14,1","20,2",,
11/01/2009 2.00,"0,7","13,4","19,6",,
11/01/2009 3.00,"0,7","13,5","20,4",,
11/01/2009 4.00,"0,6","13,7","19,9",,
11/01/2009 5.00,"0,6","12,8","19,8",,
11/01/2009 6.00,"0,7","12,0","17,3",,
11/01/2009 7.00,"0,8","12,7","18,8",,
11/01/2009 8.00,"0,9","11,1","15,4",,
11/01/2009 9.00,"0,8","10,7","16,4",,
11/01/2009 10.00,"0,9","10,7","16,6",,
11/01/2009 11.00,"0,9","10,6","16,2",,
11/01/2009 12.00,"0,7","10,5","14,3",,
11/01/2009 13.00,"0,8","5,2","8,1",,
11/01/2009 14.00,"0,8","7,6","10,0",,
11/01/2009 15.00,"0,7","5,9","7,3",,
11/01/2009 16.00,"0,9","6,1","6,6",,
11/01/2009 17.00,"0,7","8,2","9,6",,
11/01/2009 18.00,"0,8","16,0","18,6",,
11/01/2009 19.00,"1,1","21,0","25,4",,
11/01/2009 20.00,"1,1","15,8","21,4",,
11/01/2009 21.00,"1,0","14,2","20,6",,
11/01/2009 22.00,"0,9","14,8","20,4",,
11/01/2009 23.00,"0,8","16,0","23,3",,
12/01/2009 0.00,"1,0","12,0","20,1",,
12/01/2009 1.00,,"10,0","16,2",,
12/01/2009 2.00,"0,8",,,,
12/01/2009 3.00,"0,9","16,0","19,8",,
12/01/2009 4.00,"0,8","12,4","13,7",,
12/01/2009 5.00,"0,8","19,9","24,7",,
12/01/2009 6.00,"0,8","21,3","26,5",,
12/01/2009 7.00,"0,7","18,9","18,4",,
12/01/2009 8.00,"0,7","18,1","27,2",,
12/01/2009 9.00,"1,1","20,9","43,7",,
12/01/2009 10.00,"1,2","27,7","56,9",,
12/01/2009 11.00,"1,3","37,8","75,6",,
12/01/2009 12.00,"1,4","17,7","28,9",,
12/01/2009 13.00,"1,4","15,9","21,9",,
12/01/2009 14.00,"1,7","23,0","30,3",,
12/01/2009 15.00,"1,0","15,9","20,3",,
12/01/2009 16.00,"1,1","13,9","19,1",,
12/01/2009 17.00,"1,0","15,7","23,5",,
12/01/2009 18.00,"1,0","21,9","30,3",,
12/01/2009 19.00,"1,1","40,6","51,6",,
12/01/2009 20.00,"1,0","46,7","64,6",,
12/01/2009 21.00,"1,1","46,9","63,6",,
12/01/2009 22.00,"1,2","45,1","63,2",,
12/01/2009 23.00,"1,3","38,7","61,9",,
13/01/2009 0.00,"1,0","33,1","48,8",,
13/01/2009 1.00,"1,2","36,0","58,8",,
13/01/2009 2.00,"1,2","33,6","52,0",,
13/01/2009 3.00,"1,0","26,2","34,1",,
13/01/2009 4.00,"1,1","17,3","22,5",,
13/01/2009 5.00,"0,8","8,2","13,3",,
13/01/2009 6.00,"1,0","6,3","11,4",,
13/01/2009 7.00,"0,9","5,7","11,0",,
13/01/2009 8.00,"0,8","9,5","14,8",,
13/01/2009 9.00,"0,8","15,7","23,8",,
13/01/2009 10.00,"1,1","24,5","36,3",,
13/01/2009 11.00,"0,8","25,2","33,7",,
13/01/2009 12.00,"1,0","13,0","19,2",,
13/01/2009 13.00,"1,0","10,8","18,1",,
13/01/2009 14.00,"1,1","10,4","19,3",,
13/01/2009 15.00,"0,9","9,4","18,5",,
13/01/2009 16.00,"1,1","7,9","15,6",,
13/01/2009 17.00,"1,2","8,1","16,4",,
13/01/2009 18.00,"0,9","8,2","15,4",,
13/01/2009 19.00,"0,9","10,5","17,9",,
13/01/2009 20.00,"0,7","14,6","21,4",,
13/01/2009 21.00,,"11,9","21,1",,
13/01/2009 22.00,"0,8","7,5","16,3",,
13/01/2009 23.00,"0,8","6,0","12,8",,
14/01/2009 0.00,"0,8","5,3","11,6",,
14/01/2009 1.00,,"5,2","10,8",,
14/01/2009 2.00,"0,8",,,,
14/01/2009 3.00,"0,8","4,6","9,2",,
14/01/2009 4.00,"0,9","4,4","9,6",,
14/01/2009 5.00,"0,8","5,2","11,8",,
14/01/2009 6.00,"0,7","5,2","11,1",,
14/01/2009 7.00,"0,8","4,9","10,4",,
14/01/2009 8.00,"0,8","13,1","19,5",,
14/01/2009 9.00,"0,6","12,6","20,7",,
14/01/2009 10.00,"0,9","11,7","21,8",,
14/01/2009 11.00,"0,9","10,4","18,5",,
14/01/2009 12.00,"0,7","9,6","15,6",,
14/01/2009 13.00,"0,8","7,9","12,5",,
14/01/2009 14.00,"0,8","4,3","6,8",,
14/01/2009 15.00,"0,9","4,3","6,6",,
14/01/2009 16.00,"0,8","5,0","8,0",,
14/01/2009 17.00,"0,6","5,9","10,4",,
14/01/2009 18.00,"0,7","7,1","11,8",,
14/01/2009 19.00,"0,7","6,5","11,4",,
14/01/2009 20.00,"0,8","7,5","12,4",,
14/01/2009 21.00,"0,7","6,7","11,4",,
14/01/2009 22.00,"0,7","7,5","11,9",,
14/01/2009 23.00,"0,5","8,5","13,6",,
15/01/2009 0.00,"0,9","13,5","20,0",,
15/01/2009 1.00,"0,8","9,6","14,7",,
15/01/2009 2.00,"0,6","8,9","13,0",,
15/01/2009 3.00,"0,7","6,1","8,0",,
