NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
11/01/2006 17.00,"2,005116","42,340474"
11/01/2006 18.00,"2,487554","63,642449"
11/01/2006 19.00,"1,763206","53,259465"
11/01/2006 20.00,"1,824673","37,961438"
11/01/2006 21.00,"1,76339","40,134082"
11/01/2006 22.00,"2,051216","41,447531"
11/01/2006 23.00,"1,708182","52,583288"
12/01/2006 0.00,"1,756305","39,922539"
12/01/2006 1.00,,"16,912566"
12/01/2006 2.00,"0,935462",
12/01/2006 3.00,"0,939754","14,142905"
12/01/2006 4.00,"1,105082","13,028031"
12/01/2006 5.00,"1,022419","17,906741"
12/01/2006 6.00,"1,510284","22,74909"
12/01/2006 7.00,"0,934226","39,402093"
12/01/2006 8.00,"0,869564","36,488358"
12/01/2006 9.00,"1,291935","42,487125"
12/01/2006 10.00,"0,931539","19,854838"
12/01/2006 11.00,"1,196332","20,085846"
12/01/2006 12.00,"1,593998","15,475824"
12/01/2006 13.00,"2,322662","16,30257"
12/01/2006 14.00,"2,606846","14,712671"
12/01/2006 15.00,"2,323681","11,099401"
12/01/2006 16.00,"2,095944","15,910609"
12/01/2006 17.00,"2,491635","18,115691"
12/01/2006 18.00,"1,991047","28,499965"
12/01/2006 19.00,"2,105579","22,595938"
12/01/2006 20.00,"1,998056","25,475907"
12/01/2006 21.00,"1,713625","24,486945"
12/01/2006 22.00,"1,446918","30,986676"
12/01/2006 23.00,"1,501514","32,842635"
13/01/2006 0.00,"1,91252","22,546609"
13/01/2006 1.00,"1,890811","11,622436"
13/01/2006 2.00,"2,04172","8,764531"
13/01/2006 3.00,"1,814663","8,699636"
13/01/2006 4.00,"1,869566","8,334935"
13/01/2006 5.00,"1,63973","11,464101"
13/01/2006 6.00,"1,173079","13,251272"
13/01/2006 7.00,"1,357214","47,389184"
13/01/2006 8.00,"1,100791","85,475253"
13/01/2006 9.00,"1,643467","107,483172"
13/01/2006 10.00,"0,574357","36,320942"
13/01/2006 11.00,"0,551722","20,903514"
13/01/2006 12.00,"1,360332","17,155266"
13/01/2006 13.00,"1,64603","20,425895"
13/01/2006 14.00,"2,020351","20,015772"
13/01/2006 15.00,"1,440589","13,900205"
13/01/2006 16.00,"1,765595","16,046892"
13/01/2006 17.00,"1,437315","17,94697"
13/01/2006 18.00,"1,02776","34,413074"
13/01/2006 19.00,"1,039001","40,47023"
13/01/2006 20.00,"1,016582","42,440394"
13/01/2006 21.00,"0,860455","34,220976"
13/01/2006 22.00,"0,956923","66,212232"
13/01/2006 23.00,"1,245091","100,124324"
14/01/2006 0.00,"1,256114","76,562752"
14/01/2006 1.00,,"34,88029"
14/01/2006 2.00,"0,369266",
14/01/2006 3.00,"0,637465","15,516054"
14/01/2006 4.00,"0,579166","12,601037"
14/01/2006 5.00,"0,569428","12,882677"
14/01/2006 6.00,"0,490547","13,564056"
14/01/2006 7.00,"0,675549","28,069077"
14/01/2006 8.00,"0,555994","40,703858"
14/01/2006 9.00,"0,457146","62,035676"
14/01/2006 10.00,"0,558213","49,836987"
14/01/2006 11.00,"0,773536","30,337741"
14/01/2006 12.00,"1,458453","27,252711"
14/01/2006 13.00,"2,269953","29,50191"
14/01/2006 14.00,"2,616789","22,55571"
14/01/2006 15.00,"2,349575","17,403162"
14/01/2006 16.00,"1,573696","18,119586"
14/01/2006 17.00,"2,084704","22,188396"
14/01/2006 18.00,"20,512431","50,092657"
14/01/2006 19.00,"3,031413","66,650904"
14/01/2006 20.00,"1,606728","98,042555"
14/01/2006 21.00,"0,914661","85,990495"
14/01/2006 22.00,"0,62896","62,949387"
14/01/2006 23.00,"0,821358","36,237867"
15/01/2006 0.00,"0,63919","29,154099"
15/01/2006 1.00,"0,699091","21,339602"
15/01/2006 2.00,"0,672099","21,778273"
15/01/2006 3.00,"0,492026","16,845074"
15/01/2006 4.00,"0,577317","14,846358"
15/01/2006 5.00,"0,507186","16,617948"
15/01/2006 6.00,"0,288412","18,771122"
15/01/2006 7.00,"0,610102","35,797896"
15/01/2006 8.00,"0,693175","53,959007"
15/01/2006 9.00,"0,515444","59,025923"
15/01/2006 10.00,"0,426332","53,225721"
15/01/2006 11.00,"0,551434","37,668118"
15/01/2006 12.00,"1,774352","20,318174"
15/01/2006 13.00,"2,389509","19,529072"
15/01/2006 14.00,"1,744155","17,801605"
15/01/2006 15.00,"2,40923","24,455799"
15/01/2006 16.00,"2,253684","24,023591"
15/01/2006 17.00,"1,621395","34,789451"
15/01/2006 18.00,"1,742306","43,823936"
15/01/2006 19.00,"1,124315","61,760521"
15/01/2006 20.00,"1,02337","35,474731"
15/01/2006 21.00,"0,684424","58,640444"
15/01/2006 22.00,"0,999582","103,863432"
15/01/2006 23.00,"1,05936","76,061784"
16/01/2006 0.00,"1,236105","86,420101"
16/01/2006 1.00,,"75,961846"
16/01/2006 2.00,"0,616895",
16/01/2006 3.00,"0,62114","73,128586"
16/01/2006 4.00,"0,347107","39,57471"
16/01/2006 5.00,"0,4144","33,291704"
16/01/2006 6.00,"0,425595","37,822569"
16/01/2006 7.00,"0,34317","61,236177"
16/01/2006 8.00,"0,443433","99,566231"
16/01/2006 9.00,"1,182983","116,521562"
16/01/2006 10.00,"0,883423","95,650572"
16/01/2006 11.00,"2,47995","38,057499"
16/01/2006 12.00,"5,102366","25,138479"
16/01/2006 13.00,"3,17952","20,065101"
16/01/2006 14.00,"3,338219","23,125467"
16/01/2006 15.00,"4,670556","24,649179"
16/01/2006 16.00,"4,559835","25,435679"
16/01/2006 17.00,"2,419363","32,815389"
16/01/2006 18.00,"1,58496","52,720854"
16/01/2006 19.00,"1,313756","83,297427"
16/01/2006 20.00,"1,438318","115,422292"
16/01/2006 21.00,"1,276542","132,353014"
16/01/2006 22.00,"1,189935","120,450242"
16/01/2006 23.00,"0,818344","115,315892"
17/01/2006 0.00,"0,685541","92,081421"
17/01/2006 1.00,"0,519461","53,031041"
17/01/2006 2.00,"0,453521","31,607078"
17/01/2006 3.00,"0,525613","24,146897"
17/01/2006 4.00,"0,379339","20,363603"
17/01/2006 5.00,"0,381308","18,867165"
17/01/2006 6.00,"0,342924","27,020383"
17/01/2006 7.00,"0,249119","46,446933"
17/01/2006 8.00,"0,42744","80,270789"
17/01/2006 9.00,"0,627414","120,969407"
17/01/2006 10.00,"0,252503","100,665538"
17/01/2006 11.00,"0,274155","39,325517"
17/01/2006 12.00,"0,524629","27,285137"
17/01/2006 13.00,"0,950225","26,978855"
17/01/2006 14.00,"0,938229","26,803638"
17/01/2006 15.00,"0,984178","25,067084"
17/01/2006 16.00,"0,851376","24,476563"
17/01/2006 17.00,"0,629012","33,116488"
17/01/2006 18.00,"0,919224","57,922718"
17/01/2006 19.00,"1,071648","90,382514"
17/01/2006 20.00,"0,808073","79,98915"
17/01/2006 21.00,"0,71273","62,187531"
17/01/2006 22.00,"0,454813","64,657375"
17/01/2006 23.00,"0,373864","50,24581"
18/01/2006 0.00,"0,482124","39,664247"
18/01/2006 1.00,,"32,00682"
18/01/2006 2.00,"0,593455",
18/01/2006 3.00,"0,664645","18,632248"
18/01/2006 4.00,"0,749337","14,599764"
18/01/2006 5.00,"0,511218","11,972867"
18/01/2006 6.00,"0,638256","15,073487"
18/01/2006 7.00,"0,446165","33,481184"
18/01/2006 8.00,"0,642552","47,103647"
18/01/2006 9.00,"0,447393","43,063382"
18/01/2006 10.00,"0,419776","49,086812"
18/01/2006 11.00,"0,338767","34,34948"
18/01/2006 12.00,"0,193317","22,878877"
18/01/2006 13.00,"0,221548","22,672515"
18/01/2006 14.00,"0,34429","24,023591"
18/01/2006 15.00,"0,282919","25,182587"
18/01/2006 16.00,"0,26819","23,642014"
18/01/2006 17.00,"0,292125","26,222199"
18/01/2006 18.00,"0,459667","38,537699"
18/01/2006 19.00,"0,440642","44,115957"
18/01/2006 20.00,"0,440028","45,373596"
18/01/2006 21.00,"0,338152","33,438373"
18/01/2006 22.00,"0,293352","25,521336"
18/01/2006 23.00,"0,540063","17,983314"
19/01/2006 0.00,"0,482374","13,482296"
19/01/2006 1.00,"0,559088","12,664633"
19/01/2006 2.00,"0,409957","12,580267"
19/01/2006 3.00,"0,593455","9,464082"
19/01/2006 4.00,"0,530857","11,884615"
19/01/2006 5.00,"0,559088","10,74248"
19/01/2006 6.00,"0,427754","10,10004"
19/01/2006 7.00,"0,409343","12,059825"
19/01/2006 8.00,"0,300102","20,751662"
19/01/2006 9.00,"0,170611","24,784165"
19/01/2006 10.00,"0,077941","22,379195"
19/01/2006 11.00,"0,123969","17,035868"
19/01/2006 12.00,,
19/01/2006 13.00,"0,290897","8,803465"
19/01/2006 14.00,,
19/01/2006 15.00,"0,783227","9,671743"
19/01/2006 16.00,"0,549751","10,507572"
19/01/2006 17.00,"0,765351","11,927438"
19/01/2006 18.00,"0,558206","15,591334"
19/01/2006 19.00,"0,72199","16,119568"
19/01/2006 20.00,"0,714199","13,297992"
19/01/2006 21.00,"0,781899","11,819718"
19/01/2006 22.00,"1,044665","8,978679"
19/01/2006 23.00,"0,962955","7,345955"
20/01/2006 0.00,"1,118042","7,423829"
20/01/2006 1.00,,"5,018872"
20/01/2006 2.00,"0,865815",
20/01/2006 3.00,"0,73406","5,514659"
20/01/2006 4.00,"1,224952","4,81251"
20/01/2006 5.00,"0,444596","5,103233"
20/01/2006 6.00,"0,373406","5,161639"
20/01/2006 7.00,"0,63737","8,56985"
20/01/2006 8.00,"1,064055","36,337809"
20/01/2006 9.00,"0,781572","66,907898"
20/01/2006 10.00,"0,838796","29,346178"
20/01/2006 11.00,"0,448087","16,418084"
20/01/2006 12.00,"1,048572","14,795735"
20/01/2006 13.00,"1,331358","14,615337"
20/01/2006 14.00,"1,571946","19,948278"
20/01/2006 15.00,"1,824982","13,22921"
20/01/2006 16.00,"1,248025","13,560162"
