,Regione Puglia,,,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
04/01/2006 15.00,"0,8836174","44,12955272","9,91936999","28,9217724","0,92567638","43,59464025","2,161125","9,18864536","6,68769503"
04/01/2006 16.00,"0,87208665","44,49789952","12,52233659","25,57324856","0,80565575","37,79836725","1,082088","8,50203609","6,68769503"
04/01/2006 17.00,"0,7658549","52,49633088","13,09514604","32,45717512","0,92335337","19,32388521","1,01806785","8,33706474","6,68769503"
04/01/2006 18.00,"1,11879255","73,42173688","18,62468073","44,86093096","1,22518973","4,18868604","1,187856","7,78442621","6,68769503"
04/01/2006 19.00,"0,7638809","69,9302528","19,33182949","40,28073496","1,52683036","2,83831643","1,676016","7,37613678","6,68769503"
04/01/2006 20.00,"1,24030371","130,1280432","47,95530538","56,71051272","2,00753732","1,89769388","1,278369","7,04850101","6,68769503"
04/01/2006 21.00,"1,07713013","110,23764104","33,15861537","59,4477128","2,08229887","2,62596663","2,7769185","7,3049798","6,68769503"
04/01/2006 22.00,"0,9127514","70,37121736","20,13865096","40,08477408","2,58383486","1,39523118","2,7647145","8,52265739","6,68769503"
04/01/2006 23.00,"0,97073464","28,96920912","8,18405102","16,4167819","1,69544198","7,95117624","1,9785735","7,82587194","6,68769503"
05/01/2006 0.00,"0,72732789","22,436364","7,12207714","11,51082125","1,15271158","16,49005554","1,00983015","7,38834715","6,68769503"
05/01/2006 1.00,"0,74222287","15,16552512","5,61486565","6,74763729","0,87162854","22,8171741","0,971235","7,67887688","16,86581993"
05/01/2006 2.00,"0,80122514","13,74144649","5,18821707","5,78072359","0,64997564","33,17299965","0,994626","7,88136005","16,86581993"
05/01/2006 3.00,"0,88331027","12,60270326","5,12907685","4,96955186","0,49038578","42,78710415","1,060731","7,901371","16,86581993"
05/01/2006 4.00,"0,87306196","10,40562789","4,86464053","2,93968088","0,39762033","43,1011371","1,04705235","8,01655197","16,86581993"
05/01/2006 5.00,"0,89488474","10,63908309","4,86294959","3,17848777","0,37864947","38,7300123","1,0389672","8,15466118","16,86581993"
05/01/2006 6.00,"0,88850612","12,49894476","4,87731254","5,01497715","0,39885989","26,22824505","1,1080215","7,99810123","16,86581993"
