TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
07/01/2011 21.00,"4,051011","69,928051","0,802574","29,200001","2,611148","21,700001"
07/01/2011 22.00,"4,070878","69,964381","0,760836","29,200001","2,7459","21,700001"
07/01/2011 23.00,"3,902913","71,079245","0,749383","29,200001","2,394526","21,700001"
08/01/2011 0.00,"3,664512","46,321047","0,541992","29,200001","2,056882","21,700001"
08/01/2011 1.00,,"17,661436","0,425215","22,9","0,764275","17,1"
08/01/2011 2.00,"3,538088",,"0,42855","22,9","1,141074","17,1"
08/01/2011 3.00,"3,669931","15,340843",,"22,9","1,203111","17,1"
08/01/2011 4.00,"3,576015","9,109764","0,376145","22,9","1,056866","17,1"
08/01/2011 5.00,"3,682573","7,130509","0,35718","22,9","0,984507","17,1"
08/01/2011 6.00,"3,657288","9,029295","0,368621","22,9","0,895265","17,1"
08/01/2011 7.00,"3,483906","13,569244","0,381552","22,9","1,070901","17,1"
08/01/2011 8.00,"3,689798","17,174735","0,413916","22,9","1,154295","17,1"
08/01/2011 9.00,"3,58324","24,277983","0,456115","22,9","1,188364","17,1"
08/01/2011 10.00,"3,539894","29,135916","0,459915","22,9","1,321591","17,1"
08/01/2011 11.00,"3,59227","38,65322","0,469985","22,9","0,595962","17,1"
08/01/2011 12.00,"3,520027","43,467026","0,405569","22,9","1,251418","17,1"
08/01/2011 13.00,"3,496549","35,604518","0,471003","22,9","0,580198","17,1"
08/01/2011 14.00,"3,408051","36,502639","0,470377","22,9","1,501092","17,1"
08/01/2011 15.00,"3,341226","25,851004","0,391621","22,9","1,291081","17,1"
08/01/2011 16.00,"3,473069","13,765226","0,361452","22,9","0,988982","17,1"
08/01/2011 17.00,"3,377348","14,599764","0,384059","22,9","0,836889","17,1"
08/01/2011 18.00,"3,227444","15,961223","0,390886","22,9","1,076495","17,1"
08/01/2011 19.00,"3,397214","16,990439","0,432057","22,9","1,173109","17,1"
08/01/2011 20.00,"3,534476","17,657541","0,43528","22,9","1,134463","17,1"
08/01/2011 21.00,"3,624779","24,442817","0,469789","22,9","1,347525","17,1"
08/01/2011 22.00,"3,464039","27,221545","0,448553","22,9","1,411087","17,1"
08/01/2011 23.00,"3,659095","25,253982","0,415562","22,9","1,43397","17,1"
09/01/2011 0.00,"3,370123","19,311027","0,354058","22,9","1,007745","17,1"
09/01/2011 1.00,"3,445978","15,590032","0,392288","44,799992","0,890994","28,700001"
09/01/2011 2.00,"3,4225","32,032768","0,494245","44,799992","1,347016","28,700001"
09/01/2011 3.00,"3,319554","26,998318","0,384765","44,799992","1,396341","28,700001"
09/01/2011 4.00,"3,79455","24,942499","0,401652","44,799992","1,134972","28,700001"
09/01/2011 5.00,"3,635726","27,385613",,"44,799992","1,207687","28,700001"
09/01/2011 6.00,"3,38999","35,85629","0,655393","44,799992","1,473124","28,700001"
09/01/2011 7.00,"3,411664","45,129603","0,994706","44,799992","1,053612","28,700001"
09/01/2011 8.00,"3,749398","50,667616","1,169651","44,799992","2,550127","28,700001"
09/01/2011 9.00,"3,388184","46,601385","1,121224","44,799992","2,00349","28,700001"
09/01/2011 10.00,"3,565179","53,071287","1,340132","44,799992","2,523685","28,700001"
