TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
18/06/2011 13.00,"0,742294","18,066377",,,"0,615183",
18/06/2011 14.00,"0,890392","26,113178",,,"0,457294",
18/06/2011 15.00,"0,874137","10,471226",,,"0,518467",
18/06/2011 16.00,"1,007786","7,665233",,,"0,462989",
18/06/2011 17.00,"0,971665","8,626955",,,"0,458209",
18/06/2011 18.00,"0,897616","9,931317",,,"0,796006",
18/06/2011 19.00,"0,856076","15,086456",,,"0,483177",
18/06/2011 20.00,"1,045714","15,831441",,,"0,726138",
18/06/2011 21.00,"0,762161","13,225315",,,"0,716222",
18/06/2011 22.00,"0,828985","10,321975",,,"0,798955",
18/06/2011 23.00,"0,715203","9,953382",,,"0,648287",
19/06/2011 0.00,"0,83621","11,592591",,,"0,563926",
19/06/2011 1.00,,"8,755445",,,"0,815685",
19/06/2011 2.00,"0,736875",,,,"0,802006",
19/06/2011 3.00,"0,751324","5,618488",,,"0,656118",
19/06/2011 4.00,"0,774803","4,673637",,,"0,578927",
19/06/2011 5.00,"0,778416","5,011084",,,"0,576436",
19/06/2011 6.00,"0,73507","5,791106",,,"0,547807",
19/06/2011 7.00,"0,707978","6,521807",,,"0,454294",
19/06/2011 8.00,"0,605033","5,304402",,,"0,567537",
19/06/2011 9.00,"0,897616","13,022844",,,"0,637608",
19/06/2011 10.00,"0,599615","13,566651",,,"0,479312",
19/06/2011 11.00,"0,774803","7,366722",,,"0,622506",
19/06/2011 12.00,"0,809119","9,900168",,,"0,578368",
19/06/2011 13.00,"0,884973","7,361531",,,"0,399274",
19/06/2011 14.00,"0,980695","8,652912",,,"0,403851",
19/06/2011 15.00,"0,796476","6,863149",,,"0,630896",
19/06/2011 16.00,"0,841627","5,641849",,,"0,394749",
19/06/2011 17.00,"0,605033","7,523766",,,"0,718968",
19/06/2011 18.00,"0,949992","13,878142",,,"0,417784",
19/06/2011 19.00,"0,883168","14,856735",,,"0,486126",
19/06/2011 20.00,"0,73507","15,015081",,,"0,521874",
19/06/2011 21.00,"0,6845","20,298709",,,"0,654846",
19/06/2011 22.00,"0,931931","29,217693",,,"0,723901",
19/06/2011 23.00,"0,962634","25,928879",,,"0,912961",
20/06/2011 0.00,"0,912065","30,575269",,,"1,348542",
20/06/2011 1.00,"1,141435","27,465554",,,"1,383374",
20/06/2011 2.00,"1,052938","14,602359",,,"1,598622",
20/06/2011 3.00,"1,128793","13,308378",,,"0,54079",
20/06/2011 4.00,"1,083641","19,603047",,,"0,417326",
20/06/2011 5.00,"1,096283","50,93109",,,"0,494109",
20/06/2011 6.00,"1,334684","93,642762",,,"2,035525",
20/06/2011 7.00,"1,46111","60,606727",,,"3,788833",
20/06/2011 8.00,"1,264248","22,433706",,,"1,994845",
20/06/2011 9.00,"1,322042","13,827528",,,"0,750139",
20/06/2011 10.00,"1,190199","13,6614",,,"0,627184",
20/06/2011 11.00,"1,338297","15,129288",,,"0,570944",
20/06/2011 12.00,"1,31843","16,573823",,,"0,786141",
20/06/2011 13.00,"1,444855","17,490123",,,"0,699035",
20/06/2011 14.00,"1,582116","13,233095",,,"0,789192",
20/06/2011 15.00,"4,399582","20,5479",,,"1,049544",
20/06/2011 16.00,"5,396532","20,638739",,,"0,682916",
20/06/2011 17.00,"1,862057","12,541329",,,"0,880925",
20/06/2011 18.00,"1,383448","14,663357",,,"0,931623",
20/06/2011 19.00,"1,273278","15,625075",,,"0,504737",
20/06/2011 20.00,"1,210066","19,932715",,,"0,546739",
20/06/2011 21.00,"2,456253","63,591838",,,"0,579893",
20/06/2011 22.00,"9,936988","87,29226",,,"1,766122",
20/06/2011 23.00,"5,353187","42,171741",,,"3,556449",
21/06/2011 0.00,"2,734387","38,631156",,,"1,824498",
21/06/2011 1.00,,"87,570019",,,"0,918758",
21/06/2011 2.00,"5,047962",,,,"4,081221",
21/06/2011 3.00,"7,560202","22,06381",,,"4,93906",
21/06/2011 4.00,"3,668125","25,355222",,,"0,99488",
21/06/2011 5.00,"2,483344","56,20953",,,"0,722833",
21/06/2011 6.00,"1,91082","52,614414",,,"1,900264",
21/06/2011 7.00,"2,351501","47,987509",,,"1,098868",
21/06/2011 8.00,"1,95236","46,489762",,,"2,211975",
21/06/2011 9.00,"5,438072","38,711613",,,"2,034203",
21/06/2011 10.00,"4,614505","18,394736",,,"1,18928",
21/06/2011 11.00,"4,179242","17,786031",,,"0,611725",
21/06/2011 12.00,"3,167844","18,235098",,,,
21/06/2011 13.00,"3,798162","15,092945",,,,
21/06/2011 14.00,"4,825815","19,553718",,,"1,293065",
21/06/2011 15.00,"3,906526","13,434274",,,"1,200568",
21/06/2011 16.00,"3,559761","15,943057",,,"0,529959",
21/06/2011 17.00,"2,869843","16,791866",,,"1,534653",
21/06/2011 18.00,"2,826497","19,657558",,,"0,899079",
21/06/2011 19.00,"2,328022","19,083908",,,"0,816448",
21/06/2011 20.00,"1,721183","19,499206",,,"0,812634",
21/06/2011 21.00,"1,84219","28,137851",,,"0,769971",
21/06/2011 22.00,"1,818711","52,036877",,,"0,890587",
21/06/2011 23.00,"1,769947","45,098437",,,"1,614487",
22/06/2011 0.00,"1,722989","43,024433",,,"1,636861",
22/06/2011 1.00,"1,85122","16,172777",,"26,9","1,13365","14,3"
22/06/2011 2.00,"1,820517","14,492032",,"26,9","0,580554","14,3"
22/06/2011 3.00,"1,862057","7,586063",,"26,9","0,930606","14,3"
22/06/2011 4.00,"1,739244","9,456297",,"26,9","0,370544","14,3"
22/06/2011 5.00,"1,735631","25,043719",,"26,9","0,43731","14,3"
22/06/2011 6.00,"1,52974","47,008909",,"26,9","0,540332","14,3"
22/06/2011 7.00,"1,941523","79,357078",,"26,9","0,867501","14,3"
22/06/2011 8.00,"1,983064","62,059045",,"26,9","4,036981","14,3"
22/06/2011 9.00,"1,853026","45,89534",,"26,9","1,765512","14,3"
22/06/2011 10.00,"2,010154","45,670814",,"26,9","0,840957","14,3"
22/06/2011 11.00,"2,095039","18,096232",,"26,9","0,677322","14,3"
22/06/2011 12.00,"1,986675","11,548466",,"26,9","0,452463","14,3"
22/06/2011 13.00,"1,925268","8,72819",,"26,9","0,322033","14,3"
22/06/2011 14.00,"1,721183","10,323268",,"26,9","0,310541","14,3"
22/06/2011 15.00,"1,659777","12,660736",,"26,9","0,34222","14,3"
22/06/2011 16.00,"2,024603","19,266898",,"26,9","0,334084","14,3"
22/06/2011 17.00,"6,413349","20,986589",,"26,9","0,512822","14,3"
22/06/2011 18.00,"3,566985","13,65491",,"26,9","0,551672","14,3"
22/06/2011 19.00,"2,972788","20,066383",,"26,9","0,455667","14,3"
22/06/2011 20.00,"1,847608","52,78055",,"26,9","0,561537","14,3"
22/06/2011 21.00,"1,574892","86,744569",,"26,9","0,652558","14,3"
22/06/2011 22.00,"1,468333","84,05668",,"26,9","0,816804","14,3"
22/06/2011 23.00,"1,585728","53,772132",,"26,9","1,049798","14,3"
23/06/2011 0.00,"1,77356","67,028601",,"26,9","1,457361","14,3"
23/06/2011 1.00,,"29,494129",,"29,5","1,310913","19,700001"
23/06/2011 2.00,"1,647134",,,"29,5","1,093173","19,700001"
23/06/2011 3.00,"1,601982","17,430414",,"29,5","1,172601","19,700001"
23/06/2011 4.00,"1,701317","15,597824",,"29,5","1,1187","19,700001"
23/06/2011 5.00,"1,603789","21,695216",,"29,5","1,01822","19,700001"
23/06/2011 6.00,"1,592952","33,539595",,"29,5","0,813142","19,700001"
23/06/2011 7.00,"1,914432","37,321609",,"29,5","0,933606","19,700001"
23/06/2011 8.00,"1,383448","24,454499",,"29,5","1,305828","19,700001"
23/06/2011 9.00,"1,502649","16,480374",,"29,5","0,922114","19,700001"
23/06/2011 10.00,"1,692286","23,404524",,"29,5","0,82377","19,700001"
23/06/2011 11.00,"1,862057","8,852785",,"29,5","0,739308","19,700001"
23/06/2011 12.00,"1,764529","28,22871",,"29,5","0,560367","19,700001"
23/06/2011 13.00,"1,75008","14,576399",,"29,5","0,537383","19,700001"
23/06/2011 14.00,"2,006542","8,151934",,"29,5","0,481194","19,700001"
23/06/2011 15.00,"3,608524","19,752298",,"29,5","0,368103","19,700001"
23/06/2011 16.00,"3,650065","18,312973",,"29,5","0,314965","19,700001"
23/06/2011 17.00,"2,580871","21,290291",,"29,5","0,343085","19,700001"
23/06/2011 18.00,"2,120324","10,259675",,"29,5","0,471278","19,700001"
23/06/2011 19.00,"1,688674","14,98133",,"29,5","0,404868","19,700001"
23/06/2011 20.00,"1,757305","15,255186",,"29,5","0,448192","19,700001"
23/06/2011 21.00,"1,831353","17,460269",,"29,5","1,175652","19,700001"
23/06/2011 22.00,"1,331072","43,762946",,"29,5","0,838161","19,700001"
23/06/2011 23.00,"1,273278","36,202839",,"29,5","0,714951","19,700001"
24/06/2011 0.00,"1,473752","27,315003",,"29,5","0,541502","19,700001"
24/06/2011 1.00,"1,491813","27,133306",,"39,599991","0,74841","24,1"
24/06/2011 2.00,"1,527934","19,963861",,"39,599991","0,863077","24,1"
24/06/2011 3.00,"1,616431","23,076158",,"39,599991","0,922012","24,1"
24/06/2011 4.00,"1,699511","44,370329",,"39,599991","0,93025","24,1"
24/06/2011 5.00,"1,937912","36,298879",,"39,599991","0,881129","24,1"
24/06/2011 6.00,"1,847608","37,14509",,"39,599991","0,925877","24,1"
24/06/2011 7.00,"1,948748","43,624056",,"39,599991","1,203111","24,1"
24/06/2011 8.00,"1,997512","48,080948",,"39,599991","1,073952","24,1"
24/06/2011 9.00,"2,241331","36,864735",,"39,599991","1,513804","24,1"
24/06/2011 10.00,"2,152833","30,467528",,"39,599991","0,88596","24,1"
24/06/2011 11.00,"2,326217","28,236491",,"39,599991","0,836432","24,1"
24/06/2011 12.00,"1,975839","17,273371",,"39,599991","0,803277","24,1"
24/06/2011 13.00,"2,432774","22,313001",,"39,599991","0,810396","24,1"
24/06/2011 14.00,"2,490568","26,149506",,"39,599991","0,75319","24,1"
24/06/2011 15.00,"3,090183","19,067033",,"39,599991","0,917842","24,1"
24/06/2011 16.00,"2,589902","18,777613",,"39,599991","0,620472","24,1"
24/06/2011 17.00,"3,799968","23,857477",,"39,599991","0,426428","24,1"
24/06/2011 18.00,"2,515853","21,886013",,"39,599991","0,288319","24,1"
24/06/2011 19.00,"2,152833","21,840585",,"39,599991","0,421089","24,1"
24/06/2011 20.00,"2,132966","35,691474",,"39,599991","0,372425","24,1"
24/06/2011 21.00,"1,760917","57,952564",,"39,599991","0,598606","24,1"
24/06/2011 22.00,"1,735631","46,044591",,"39,599991","1,519398","24,1"
24/06/2011 23.00,"1,811486","60,157654",,"39,599991","1,330744","24,1"
25/06/2011 0.00,"1,80968","64,852059",,"39,599991","1,361763","24,1"
25/06/2011 1.00,,"70,094166",,"159,399902","2,956419","86,099991"
25/06/2011 2.00,"3,478488",,,"159,399902","3,636283","86,099991"
25/06/2011 3.00,"9,2561","37,681101",,"159,399902","3,363219","86,099991"
25/06/2011 4.00,"5,154519","15,621178",,"159,399902","1,830803","86,099991"
25/06/2011 5.00,"3,874016","20,437577",,"159,399902","0,674068","86,099991"
25/06/2011 6.00,"3,485711","32,965938",,"159,399902","1,061951","86,099991"
25/06/2011 7.00,"3,364706","51,740957",,"159,399902","0,889875","86,099991"
25/06/2011 8.00,"3,608524","59,83059",,"159,399902","2,420968","86,099991"
25/06/2011 9.00,"6,713156","58,553488",,"159,399902","3,428815","86,099991"
25/06/2011 10.00,"15,266695","54,010939",,"159,399902","2,706745","86,099991"
25/06/2011 11.00,"25,414992","62,42764",,"159,399902","2,974216","86,099991"
25/06/2011 12.00,"34,206928","54,450909",,"159,399902","3,459834","86,099991"
25/06/2011 13.00,"31,889742","42,457279",,"159,399902","3,47458","86,099991"
25/06/2011 14.00,"32,877667","38,454641",,"159,399902","2,527753","86,099991"
25/06/2011 15.00,"33,110641","40,494898",,"159,399902","2,785563","86,099991"
25/06/2011 16.00,"38,505369","42,356038",,"159,399902","2,784546","86,099991"
25/06/2011 17.00,"49,796914","53,756549",,"159,399902","2,334015","86,099991"
25/06/2011 18.00,"54,902662","66,872851",,"159,399902","3,478648","86,099991"
25/06/2011 19.00,"56,264445","79,471283",,"159,399902","4,152919","86,099991"
25/06/2011 20.00,"42,22407","72,923523",,"159,399902","4,697523","86,099991"
25/06/2011 21.00,"35,680682","65,153157",,"159,399902","5,269077","86,099991"
25/06/2011 22.00,"42,615982","61,713813",,"159,399902","4,891262","86,099991"
25/06/2011 23.00,"37,694454","61,695651",,"159,399902","4,410729","86,099991"
26/06/2011 0.00,"33,182879","65,286843",,"159,399902","4,092916","86,099991"
26/06/2011 1.00,"25,447495","14,938505",,"45,900002","4,888719",14
26/06/2011 2.00,"16,427998","10,632167",,"45,900002","0,979625",14
26/06/2011 3.00,"12,516046","6,676255",,"45,900002","0,515466",14
26/06/2011 4.00,"10,56549","8,22202",,"45,900002","0,180365",14
26/06/2011 5.00,"8,893081","5,445871",,"45,900002","0,376798",14
26/06/2011 6.00,"7,334444","8,47251",,"45,900002","0,357781",14
26/06/2011 7.00,"6,673423","5,682085",,"45,900002","0,343543",14
26/06/2011 8.00,"5,923905","8,83851",,"45,900002","0,303473",14
26/06/2011 9.00,"5,50309","8,982574",,"45,900002","0,324982",14
26/06/2011 10.00,"5,067828","9,161679",,"45,900002","0,348933",14
26/06/2011 11.00,"5,429042","11,253848",,"45,900002","0,339932",14
26/06/2011 12.00,"4,825815","9,42385",,"45,900002","0,419665",14
26/06/2011 13.00,"4,77705","7,061723",,"45,900002","0,402223",14
26/06/2011 14.00,"6,29776","10,311592",,"45,900002","0,40141",14
26/06/2011 15.00,"8,921977","12,382995",,"45,900002","0,401918",14
26/06/2011 16.00,"5,654801","5,53153",,"45,900002","0,53062",14
26/06/2011 17.00,"5,900425","7,336871",,"45,900002","0,365459",14
26/06/2011 18.00,"4,430286","8,100021",,"45,900002","0,356357",14
26/06/2011 19.00,"4,312891","12,672424",,"45,900002","0,355543",14
26/06/2011 20.00,"4,748154","37,306026",,"45,900002","0,480126",14
26/06/2011 21.00,"5,058798","71,684054",,"45,900002","1,206823",14
26/06/2011 22.00,"22,816048","88,691389",,"45,900002","2,643691",14
26/06/2011 23.00,"33,157607","62,255027",,"45,900002","7,02747",14
27/06/2011 0.00,"9,696781","23,957417",,"45,900002","5,329588",14
27/06/2011 1.00,,"19,22537",,"49,299992","1,239723","14,7"
27/06/2011 2.00,"5,405562",,,"49,299992","1,081478","14,7"
27/06/2011 3.00,"5,587975","52,619614",,"49,299992","2,875059","14,7"
27/06/2011 4.00,"5,01184","58,245884",,"49,299992","4,098001","14,7"
27/06/2011 5.00,"5,187028","61,925359",,"49,299992","3,994267","14,7"
27/06/2011 6.00,"5,741491","70,273284",,"49,299992","3,898669","14,7"
27/06/2011 7.00,"6,310402","61,889007",,"49,299992","5,175004","14,7"
27/06/2011 8.00,"6,747472","30,320878",,"49,299992","2,330964","14,7"
27/06/2011 9.00,"7,637863","14,908651",,"49,299992","0,983541","14,7"
27/06/2011 10.00,"8,800971","14,011822",,"49,299992","0,645134","14,7"
27/06/2011 11.00,"9,133288","11,45631",,"49,299992","0,509212","14,7"
27/06/2011 12.00,"7,408493","12,062417",,"49,299992","0,748868","14,7"
27/06/2011 13.00,"14,313084","33,902989",,"49,299992","0,68795","14,7"
27/06/2011 14.00,"25,855668","39,303453",,"49,299992","1,186178","14,7"
27/06/2011 15.00,"15,714592","22,886658",,"49,299992","2,008066","14,7"
27/06/2011 16.00,"20,634329","33,290406",,"49,299992","0,676203","14,7"
27/06/2011 17.00,"26,45348","41,665577",,"49,299992","1,312947","14,7"
27/06/2011 18.00,"16,012593","27,9886",,"49,299992","1,79653","14,7"
27/06/2011 19.00,"21,681849","46,213305",,"49,299992","0,933148","14,7"
27/06/2011 20.00,"11,587728","36,548072",,"49,299992","2,101122","14,7"
27/06/2011 21.00,"9,783473","44,066645",,"49,299992","0,744444","14,7"
27/06/2011 22.00,"8,347648","32,300122",,"49,299992","1,387188","14,7"
27/06/2011 23.00,"5,508509","31,459111",,"49,299992","1,023255","14,7"
28/06/2011 0.00,"4,948627","59,184255",,"49,299992","1,160499","14,7"
28/06/2011 1.00,"6,546998","68,62237",,"38,5","2,543008","14,3"
28/06/2011 2.00,"9,55952","52,186128",,"38,5","3,937315","14,3"
28/06/2011 3.00,"5,192447","18,388246",,"38,5","6,213361","14,3"
28/06/2011 4.00,"4,81859","11,889802",,"38,5","1,462954","14,3"
28/06/2011 5.00,"5,309841","11,849563",,"38,5","0,719985","14,3"
28/06/2011 6.00,"5,643963","25,382468",,"38,5","0,560774","14,3"
28/06/2011 7.00,"5,757745","24,85684",,"38,5","0,759292","14,3"
28/06/2011 8.00,"5,076858","19,234452",,"38,5","0,692882","14,3"
28/06/2011 9.00,"5,122009","28,303985",,"38,5","0,712663","14,3"
28/06/2011 10.00,"12,512435","40,004298",,"38,5","0,708951","14,3"
28/06/2011 11.00,"15,086086","26,776374",,"38,5","1,168533","14,3"
28/06/2011 12.00,"11,361792","27,531365",,"38,5","0,803023","14,3"
28/06/2011 13.00,"9,003251","51,956398",,"38,5","0,794379","14,3"
28/06/2011 14.00,"8,405442","60,107047",,"38,5","0,53006","14,3"
28/06/2011 15.00,"8,578825","44,145803",,"38,5","0,450022","14,3"
28/06/2011 16.00,"15,407569","27,948353",,"38,5","0,639184","14,3"
28/06/2011 17.00,"11,886126","20,663921",,"38,5","0,681187","14,3"
28/06/2011 18.00,"5,25566","12,943675",,"38,5","0,966811","14,3"
28/06/2011 19.00,"4,459183","13,756142",,"38,5","0,572164","14,3"
28/06/2011 20.00,"3,933616","17,372018",,"38,5","0,516839","14,3"
28/06/2011 21.00,"3,440561","17,645862",,"38,5","0,637608","14,3"
28/06/2011 22.00,"2,913188","40,729806",,"38,5","0,807498","14,3"
28/06/2011 23.00,"2,822885","68,242105",,"38,5","1,631878","14,3"
29/06/2011 0.00,"3,254535","29,870506",,"38,5","3,547804","14,3"
29/06/2011 1.00,,"40,374194",,"38,099991","0,72863","15,2"
29/06/2011 2.00,"3,287045",,,"38,099991","0,838211","15,2"
29/06/2011 3.00,"3,095601","62,807919",,"38,099991","0,539213","15,2"
29/06/2011 4.00,"3,976963","58,771534",,"38,099991","1,973387","15,2"
29/06/2011 5.00,"5,465162","47,812292",,"38,099991","2,913705","15,2"
29/06/2011 6.00,"4,737317","70,329074",,"38,099991","1,551637","15,2"
29/06/2011 7.00,"4,583802","48,677989",,"38,099991","3,770019","15,2"
29/06/2011 8.00,"6,375421","34,995812",,"38,099991","1,893654","15,2"
29/06/2011 9.00,"24,284393","51,409987",,"38,099991","0,924911","15,2"
29/06/2011 10.00,"24,318707","35,683673",,"38,099991","1,302777","15,2"
29/06/2011 11.00,"23,511391","42,689587",,"38,099991","1,312438","15,2"
29/06/2011 12.00,"22,378697","37,38564",,"38,099991","1,023509","15,2"
29/06/2011 13.00,,,,"38,099991",,"15,2"
29/06/2011 14.00,,,,"38,099991",,"15,2"
29/06/2011 15.00,,,,"38,099991",,"15,2"
29/06/2011 16.00,,,,"38,099991","1,004796","15,2"
29/06/2011 17.00,"15,454524",,,"38,099991","0,875484","15,2"
29/06/2011 18.00,"6,857642",,,"38,099991","0,8226","15,2"
29/06/2011 19.00,"4,448347",,,"38,099991","0,645134","15,2"
29/06/2011 20.00,"4,07449",,,"38,099991","0,773276","15,2"
29/06/2011 21.00,"3,601301",,,"38,099991","0,798345","15,2"
29/06/2011 22.00,"3,102825",,,"38,099991","0,783141","15,2"
29/06/2011 23.00,"3,193129",,,"38,099991","0,768699","15,2"
30/06/2011 0.00,"2,842752",,,"38,099991","0,752224","15,2"
30/06/2011 1.00,"2,815661",,,"38,5","0,828346","18,6"
30/06/2011 2.00,"2,541138",,,"38,5","0,689119","18,6"
30/06/2011 3.00,"2,367756",,,"38,5","0,602115","18,6"
30/06/2011 4.00,"2,12213",,,"38,5","1,299726","18,6"
30/06/2011 5.00,"2,004736",,,"38,5","1,230061","18,6"
30/06/2011 6.00,"2,042663",,,"38,5","0,958929","18,6"
30/06/2011 7.00,"2,058918",,,"38,5","1,271758","18,6"
30/06/2011 8.00,"2,459865",,,"38,5","1,520415","18,6"
30/06/2011 9.00,"2,676593",,,"38,5","1,096123","18,6"
30/06/2011 10.00,"2,613381",,,"38,5","0,944437","18,6"
30/06/2011 11.00,"2,750642",,,"38,5","0,819702","18,6"
30/06/2011 12.00,"2,810242",,,"38,5","0,747953","18,6"
30/06/2011 13.00,"3,324009",,,"38,5","0,792294","18,6"
30/06/2011 14.00,"3,38096",,,"38,5","0,732748","18,6"
30/06/2011 15.00,"3,039612",,,"38,5","0,668372","18,6"
30/06/2011 16.00,"1,963196",,,"38,5","0,27637","18,6"
30/06/2011 17.00,,,,"38,5","0,895774","18,6"
30/06/2011 18.00,"1,650747",,,"38,5","0,71068","18,6"
30/06/2011 19.00,"1,795232",,,"38,5","0,858195","18,6"
30/06/2011 20.00,"1,656165",,,"38,5","1,426648","18,6"
30/06/2011 21.00,"1,670614",,,"38,5","0,842737","18,6"
30/06/2011 22.00,"1,927075",,,"38,5","1,635285","18,6"
30/06/2011 23.00,"2,035439",,,"38,5","2,374695","18,6"
01/07/2011 0.00,"2,127549",,,"38,5","1,398477","18,6"
01/07/2011 1.00,,,,"28,5","1,255995","15,5"
01/07/2011 2.00,"2,351501",,,"28,5","0,605064","15,5"
01/07/2011 3.00,"2,665757","19,043678",,"28,5","1,134006","15,5"
01/07/2011 4.00,"2,635054","25,548602",,"28,5","0,957658","15,5"
01/07/2011 5.00,"2,669369","17,628988",,"28,5","2,189601","15,5"
01/07/2011 6.00,"2,65492","17,361632",,"28,5","1,026661","15,5"
01/07/2011 7.00,"2,817466","30,472729",,"28,5","1,398121","15,5"
01/07/2011 8.00,"2,895127","30,688174",,"28,5","1,194466","15,5"
01/07/2011 9.00,"2,988082","36,326259",,"28,5","1,71873","15,5"
01/07/2011 10.00,"2,501405","35,490314",,"28,5","0,904876","15,5"
01/07/2011 11.00,"2,831915","41,662976",,"28,5","0,746529","15,5"
01/07/2011 12.00,"3,01794","36,301461",,"28,5","0,818075","15,5"
01/07/2011 13.00,"2,627829","27,470755",,"28,5","1,011864","15,5"
01/07/2011 14.00,"2,779539","31,394219",,"28,5","1,161465","15,5"
01/07/2011 15.00,"2,992656","17,055337",,"28,5","1,19645","15,5"
01/07/2011 16.00,"3,597688","8,976084",,"28,5","0,556452","15,5"
01/07/2011 17.00,"4,274964","13,491379",,"28,5","0,649304","15,5"
01/07/2011 18.00,"4,018502","15,484908",,"28,5","0,632523","15,5"
01/07/2011 19.00,"2,920413","21,802936",,"28,5","0,414072","15,5"
01/07/2011 20.00,"2,318992","17,656248",,"28,5","0,323762","15,5"
01/07/2011 21.00,"1,979451","14,92033",,"28,5","0,540891","15,5"
01/07/2011 22.00,"1,919851","8,437466",,"28,5","0,419512","15,5"
01/07/2011 23.00,"1,806772","12,406716",,"28,5","0,502754","15,5"
02/07/2011 0.00,"1,742856","13,643225",,"28,5","0,626625","15,5"
02/07/2011 1.00,"1,802456","6,946212",,"23,4","0,70712","11,2"
02/07/2011 2.00,"2,233002","2,445218",,"23,4","0,352696","11,2"
02/07/2011 3.00,"1,564055","7,134404",,"23,4","0,319287","11,2"
02/07/2011 4.00,"1,567668","14,027395",,"23,4","0,479109","11,2"
02/07/2011 5.00,"1,652553","12,715247",,"23,4","0,555435","11,2"
02/07/2011 6.00,"1,954166","17,896355",,"23,4","0,902791","11,2"
02/07/2011 7.00,"1,863863","14,490741",,"23,4","0,54262","11,2"
02/07/2011 8.00,"1,717571","14,154593",,"23,4","0,748868","11,2"
02/07/2011 9.00,"1,889148","21,688733",,"23,4","0,960302","11,2"
02/07/2011 10.00,"1,887341","17,5628",,"23,4","0,55218","11,2"
02/07/2011 11.00,"2,040858","18,61537",,"23,4","0,446819","11,2"
02/07/2011 12.00,"1,955972","13,922267",,"23,4","0,529298","11,2"
02/07/2011 13.00,"1,981257","12,528361",,"23,4","0,476363","11,2"
02/07/2011 14.00,"1,945136","9,548446",,"23,4","0,509466","11,2"
02/07/2011 15.00,"1,771753","11,218807",,"23,4","0,449667","11,2"
02/07/2011 16.00,"1,829547","8,280425",,"23,4","0,438835","11,2"
02/07/2011 17.00,"1,728408","4,272595",,"23,4","0,493448","11,2"
02/07/2011 18.00,"1,724795","5,160341",,"23,4","0,525128","11,2"
02/07/2011 19.00,"1,695898","4,772275",,"23,4","0,474786","11,2"
02/07/2011 20.00,"1,625462","5,748275",,"23,4","0,481346","11,2"
02/07/2011 21.00,"1,544188","9,369339",,"23,4","0,506924","11,2"
02/07/2011 22.00,"1,553219","16,279207",,"23,4","0,419818","11,2"
02/07/2011 23.00,"1,621849","2,770956",,"23,4","0,511602","11,2"
03/07/2011 0.00,"1,531546","4,833276",,"23,4","0,292032","11,2"
03/07/2011 1.00,,"5,591233",,"19,6","0,787616","12,2"
03/07/2011 2.00,"1,744662",,,"19,6","0,247029","12,2"
03/07/2011 3.00,"1,350939","20,899631",,"19,6","0,649914","12,2"
03/07/2011 4.00,"1,410539","2,282958",,"19,6","0,811159","12,2"
03/07/2011 5.00,"1,396091","4,144107",,"19,6","0,272403","12,2"
03/07/2011 6.00,"1,506261","8,119487",,"19,6","0,245605","12,2"
03/07/2011 7.00,"1,43763","4,732041",,"19,6","0,424394","12,2"
03/07/2011 8.00,"1,432213","7,998785",,"19,6","0,344051","12,2"
03/07/2011 9.00,"1,282309","22,929487",,"19,6","0,381121","12,2"
03/07/2011 10.00,"1,410539","21,996316",,"19,6","0,567944","12,2"
03/07/2011 11.00,"1,385255","22,283155",,"19,6","0,732291","12,2"
03/07/2011 12.00,"1,708541","9,216189",,"19,6","0,64732","12,2"
03/07/2011 13.00,"1,387061","9,717168",,"19,6","0,471329","12,2"
03/07/2011 14.00,"1,701317","14,669848",,"19,6","0,465023","12,2"
03/07/2011 15.00,"1,607401","12,861905",,"19,6","1,926656","12,2"
03/07/2011 16.00,"1,49723","13,83531",,"19,6","0,626574","12,2"
03/07/2011 17.00,"1,867474","10,007891",,"19,6","0,419106","12,2"
03/07/2011 18.00,"1,815099","7,165552",,"19,6","0,375832","12,2"
03/07/2011 19.00,"1,526127","6,433553",,"19,6","0,380307","12,2"
03/07/2011 20.00,"1,526127","12,170138",,"19,6","0,453124","12,2"
03/07/2011 21.00,"1,526127","9,604253",,"19,6","0,389155","12,2"
03/07/2011 22.00,"1,343715","4,693105",,"19,6","0,326915","12,2"
03/07/2011 23.00,"1,611013","7,756083",,"19,6","0,349339","12,2"
04/07/2011 0.00,"1,634492","3,296596",,"19,6","0,268641","12,2"
04/07/2011 1.00,"1,899984","6,137637",,"25,6","0,30449","14,9"
04/07/2011 2.00,"2,138385","7,513382",,"25,6","0,619912","14,9"
04/07/2011 3.00,"1,778977","5,291426",,"25,6","1,506075","14,9"
04/07/2011 4.00,"1,990287","7,497808",,"25,6","1,200213","14,9"
04/07/2011 5.00,"1,83316","10,877459",,"25,6","0,860636","14,9"
04/07/2011 6.00,"1,614625","20,231215",,"25,6","0,618692","14,9"
04/07/2011 7.00,"1,753692","23,948335",,"25,6","0,580249","14,9"
04/07/2011 8.00,"2,257585","20,669905",,"25,6","0,763564","14,9"
04/07/2011 9.00,"1,784396","15,17082",,"25,6","0,568147","14,9"
04/07/2011 10.00,"1,766335","18,24289",,"25,6","0,452616","14,9"
04/07/2011 11.00,"1,919851","7,194105",,"25,6","0,48038","14,9"
04/07/2011 12.00,"1,475558","9,443316",,"25,6","0,345068","14,9"
04/07/2011 13.00,"1,887341","9,641891",,"25,6","0,389664","14,9"
04/07/2011 14.00,"3,52364","8,597105",,"25,6","0,42297","14,9"
