,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
03/01/2010 8.00,"42,50233785","6,99163717","0,28028619",,"11,23320961",
03/01/2010 9.00,"35,3935344","12,32458757","0,31434962",,,
03/01/2010 10.00,"40,03807395","12,9955925","0,28662612",,"13,18680954",
03/01/2010 11.00,"34,67519475","21,53946392","0,302434",,,
03/01/2010 12.00,"32,16033765","27,71734624","0,28887224",,"20,51280975",
03/01/2010 13.00,"36,0373608","31,26831264","0,24237243",,,
03/01/2010 14.00,"42,48685665","27,96005552","0,23033565",,"14,65200996",
03/01/2010 15.00,"50,5332702","18,57773768","0,16919062",,,
03/01/2010 16.00,"55,89896235","10,75935554","0,18664349",,"7,81440783",
03/01/2010 17.00,"40,59052935","26,28967496","0,29007568",,,
03/01/2010 18.00,"53,65821825","17,60952","0,22929297",,"4,88400507",
03/01/2010 19.00,"39,05545665","31,92244608","0,25336537",,,
03/01/2010 20.00,"41,77416285","30,18979168","0,26792903",,"13,67521",
03/01/2010 21.00,"36,147006","33,90299128","0,33681665",,,
03/01/2010 22.00,"40,8815001","23,1047036","0,27242244",,"13,18680954",
03/01/2010 23.00,"42,79472505","19,92881424","0,25477036",,,
04/01/2010 0.00,"45,87045645","18,32983923","0,18411544",,"16,60560989",
04/01/2010 1.00,"47,20730595",,"0,17585093",,,
04/01/2010 2.00,,,"0,16012343",,"24,42000961",
04/01/2010 3.00,"43,0561698",,"0,11980161",,,
04/01/2010 4.00,"32,13583905",,,,"33,21123123",
04/01/2010 5.00,"21,3098319",,"0,29778682",,,
04/01/2010 6.00,"8,47043883",,"0,43475121",,"17,58241081",
04/01/2010 7.00,"8,19728942",,"0,35490211","7,64393269",,
04/01/2010 8.00,"7,18917203",,"0,56070984","7,64779627","25,39682007",
04/01/2010 9.00,"20,3833938",,"0,66425621","10,38826854",,
04/01/2010 10.00,"22,11379695",,"0,7255888","10,39920129","23,93161964",
04/01/2010 11.00,"35,1320298",,"0,55476601","10,40339133",,
04/01/2010 12.00,"34,33652355",,"0,59826478","9,95051309","35,65322113",
04/01/2010 13.00,"35,12359095",,"0,57131251","9,54630644",,
04/01/2010 14.00,"32,72157105",,"0,5032334","9,67533934","23,93161964",
04/01/2010 15.00,"42,8393532",,"0,38731474","8,94805518",,
04/01/2010 16.00,"31,41636225",,"0,54074757","8,84098847","21,0012207",
04/01/2010 17.00,"28,3638327",,"0,57271983","9,60017083",,
04/01/2010 18.00,"18,96555129",,"0,73285956","9,99510549","11,72161007",
04/01/2010 19.00,"20,22568905",,"0,69956153","10,59909264",,
04/01/2010 20.00,"22,96985145",,"0,6024017","10,11839844","18,55920982",
04/01/2010 21.00,"25,46340195",,"0,61091668","10,13352021",,
04/01/2010 22.00,"32,0992308",,"0,52700989","9,60149598","15,62880993",
04/01/2010 23.00,"43,6432983",,"0,44085581","8,74352326",,
05/01/2010 0.00,"47,89542135",,"0,36201094","7,08420335","27,8388195",
05/01/2010 1.00,"34,8617073",,"0,47503574","7,20628199",,
05/01/2010 2.00,"29,7464874",,"0,51696875","7,4531984","18,07081032",
05/01/2010 3.00,"20,69032455",,"0,42973006","7,64823765",,
05/01/2010 4.00,"13,17873858",,"0,35438019","7,3704146","18,55920982",
05/01/2010 5.00,"16,00034289",,"0,40928664","7,27957311",,
05/01/2010 6.00,"4,85952075",,"0,77246257","8,75765142","10,7448101",
05/01/2010 7.00,"2,95366932",,"1,43952992","10,32303816",,
05/01/2010 8.00,"4,49710307",,"1,46162065","12,24759879","13,67521",
05/01/2010 9.00,"9,71087397",,"1,58938737","11,83477815",,
05/01/2010 10.00,"19,04299121",,"1,1441931","13,30049889","20,51280975",
05/01/2010 11.00,"23,68370235",,"0,95095688","11,02360878",,
05/01/2010 12.00,"36,1499985",,"0,66879505","10,59169905","23,93161964",
05/01/2010 13.00,"37,04689065",,"0,61409014","10,23031827",,
05/01/2010 14.00,"58,89601095",,"0,34988096","8,72895371","17,58241081",
05/01/2010 15.00,"68,84623305",,"0,26509226","6,22733508",,
05/01/2010 16.00,"57,71752455",,"0,21161177","5,10180491","33,21123123",
05/01/2010 17.00,"60,07449735",,"0,17113501","0,42223908",,
05/01/2010 18.00,"61,52893215","16,57512609","0,28834799",,"37,11843109",
05/01/2010 19.00,"60,72638355","16,72437681","0,34626596",,,
05/01/2010 20.00,"57,10083015","20,033936","0,34899789",,"37,6068306",
05/01/2010 21.00,"52,0419291","23,20982536","0,32449677",,,
05/01/2010 22.00,"58,17230475","12,76845646","0,23930615",,"37,11843109",
05/01/2010 23.00,"58,6932591","6,65029737","0,21062851",,,
06/01/2010 0.00,"52,53754695","10,97609794","0,22874309",,"32,72283173",
06/01/2010 1.00,"54,614322","5,57436143","0,19006276",,,
06/01/2010 2.00,,"0,78002143","0,13419286",,"42,97924042",
06/01/2010 3.00,"58,0402557",,"0,12820825",,,
06/01/2010 4.00,"69,4762341","4,64768004",,,"36,63003159",
06/01/2010 5.00,"61,52318655","3,69504134","0,07451806",,,
06/01/2010 6.00,"62,11007565","1,59897883","0,07612926",,"20,02441978",
06/01/2010 7.00,"59,14710165","1,87023427","0,19532507",,,
06/01/2010 8.00,"61,44055365","0,25697854","0,20524737",,"13,67521",
06/01/2010 9.00,"61,83943395","1,80404274","0,2206743",,,
06/01/2010 10.00,"62,2453965","3,76512761","0,2687224",,"15,62880993",
06/01/2010 11.00,"68,8309314","2,11163766","0,20279621",,,
06/01/2010 12.00,"68,140023","0,72810681","0,22035276",,"14,65200996",
06/01/2010 13.00,"68,0745072","1,22389223","0,21975046",,,
06/01/2010 14.00,"63,8565186","5,37189402","0,20090891",,"14,16361046",
06/01/2010 15.00,"75,25688625",,"0,11578003",,,
06/01/2010 16.00,"70,45771425","0,22323365","0,11971773",,"19,04759979",
06/01/2010 17.00,"71,6457567","1,4017025","0,13169044",,,
06/01/2010 18.00,"65,49044355","5,70284974","0,13020273",,"21,97801971",
06/01/2010 19.00,"59,46191265","10,63476006","0,33171395",,,
06/01/2010 20.00,"54,55588845","13,37846094","0,39293936",,"11,72161007",
06/01/2010 21.00,"56,7339696","10,29471659","0,33416511",,,
06/01/2010 22.00,"54,56729985","12,22595131","0,31584665",,"18,55920982",
06/01/2010 23.00,"29,27225595","44,01601816","0,55158556",,,
07/01/2010 0.00,"28,2765315","38,30409024","0,42688629",,"18,07081032",
07/01/2010 1.00,"17,34057192",,"0,50177016",,,
07/01/2010 2.00,"45,78945945",,"0,26763778",,"34,67642975",
07/01/2010 3.00,"64,32093465",,"0,14948581",,,
07/01/2010 4.00,"67,9733607",,"0,14386236",,"29,30401993",
07/01/2010 5.00,"69,45343125",,"0,12313235",,,
07/01/2010 6.00,"63,0645036","0,92668139","0,17455545",,"17,58241081",
07/01/2010 7.00,"57,74681115","7,4874245","0,28772355",,,
07/01/2010 8.00,"45,6384579","20,3830672","0,42162282",,"20,51280975",
07/01/2010 9.00,"16,86905367","59,11936504","0,90523529",,,
07/01/2010 10.00,"17,28785804","53,64492664","0,89683797","10,45973313","14,65200996",
07/01/2010 11.00,"43,87350135","22,8996416","0,41664128","9,99998811",,
07/01/2010 12.00,"59,9747274","7,75608345","0,26844047","7,0030681","31,74603081",
07/01/2010 13.00,"62,1855864","9,90536074","0,25052393","6,00025932",,
07/01/2010 14.00,"62,4704724","12,50109958","0,2872424","6,12529133","22,95482063",
07/01/2010 15.00,"60,1585068","15,30190617","0,30274972",,,
07/01/2010 16.00,"35,68398645","44,20421632","0,60979828","7,08992702","12,21000957",
07/01/2010 17.00,"14,15678334","72,0824956","1,08886958","10,62392778",,
07/01/2010 18.00,"20,5029741","59,72286872","0,86602605","11,30165658","26,86202049",
07/01/2010 19.00,"17,42176643","62,29655456","0,89647682","10,57292523",,
07/01/2010 20.00,"12,9302753","70,38488816","1,12004382","11,95227216","35,65322113",
07/01/2010 21.00,"22,5101037","47,73703784","0,81689218","11,6973306",,
07/01/2010 22.00,"34,37770035","34,06652464","0,56809711","10,37475261","43,9560318",
07/01/2010 23.00,"54,4789812","10,61139542","0,38321743","8,80830209",,
08/01/2010 0.00,"58,69694985","4,87480652","0,30785125","7,62192582","47,86323166",
08/01/2010 1.00,"65,8807653","1,2057225","0,27852471",,,
08/01/2010 2.00,,,"0,22987431",,"40,53723145",
08/01/2010 3.00,"66,4169814",,"0,20235584",,,
08/01/2010 4.00,"63,9087477","4,17395718",,,"28,81562042",
08/01/2010 5.00,"60,204711","1,61974506","0,21505201",,,
08/01/2010 6.00,"56,00014875","1,70151174","0,27589297",,"43,46763992",
08/01/2010 7.00,"58,49413815","5,22653039","0,31021504","3,42070493",,
08/01/2010 8.00,"61,78728465","4,5555312","0,31001582","3,78219452","54,70085144",
08/01/2010 9.00,"58,3093014","7,98710467","0,27756475","5,46980839",,
08/01/2010 10.00,"62,24086785","1,4017025","0,19402842","5,4586336","40,53723145",
08/01/2010 11.00,"61,6735098","1,60546816","0,19319312","4,83501733",,
08/01/2010 12.00,"60,04118085","5,05261678","0,25028977","5,47080404","43,9560318",
08/01/2010 13.00,"66,62316465","1,90787199","0,22066615","5,04414304",,
08/01/2010 14.00,"68,36356275","2,65674503","0,24001796","4,74207269","50,30524063",
08/01/2010 15.00,"72,835455",,"0,18781664","3,79779632",,
