NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NOX,NO2,PM10
PtId,1,2,4,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
09/01/2007 3.00,"0,8257","45,504317","27,124224","40,146381"
09/01/2007 4.00,"0,637495","40,317752","21,961288","40,146381"
09/01/2007 5.00,"0,725117","33,308895","15,046226","40,146381"
09/01/2007 6.00,"0,612588","34,22455","16,695825","40,146381"
09/01/2007 7.00,"0,460759","57,711463","35,793998","40,146381"
09/01/2007 8.00,"0,680131","102,891583","73,093561","40,146381"
09/01/2007 9.00,"1,202174","168,414749","103,340386","40,146381"
09/01/2007 10.00,"0,986742","131,016488","87,111865","40,146381"
09/01/2007 11.00,"0,661991","81,586186","56,863662","40,146381"
09/01/2007 12.00,"0,756633","61,589418","42,047154","40,146381"
09/01/2007 13.00,"0,720288","47,240987","30,466247","40,146381"
09/01/2007 14.00,"0,62914","38,426743","22,930787","40,146381"
09/01/2007 15.00,"0,974796","50,958105","34,022413","40,146381"
09/01/2007 16.00,"0,858964","64,789056","50,244508","40,146381"
09/01/2007 17.00,"0,474675","51,714265","39,258024","40,146381"
09/01/2007 18.00,"0,754727","71,136457","55,755275","40,146381"
09/01/2007 19.00,"0,796123","90,31221","71,891713","40,146381"
09/01/2007 20.00,"0,993128","82,634116","65,517871","40,146381"
09/01/2007 21.00,"0,72067","84,154174","67,293355","40,146381"
09/01/2007 22.00,"0,658718","73,657773","56,07844","40,146381"
09/01/2007 23.00,"0,856422","102,5453","80,387591","40,146381"
10/01/2007 0.00,"0,573606","56,992932","43,308691","40,146381"
10/01/2007 1.00,,"39,051872","24,923016","45,60656"
10/01/2007 2.00,"0,374736",,,"45,60656"
10/01/2007 3.00,"0,648237",,,"45,60656"
10/01/2007 4.00,"0,401653",,,"45,60656"
10/01/2007 5.00,"0,419597",,,"45,60656"
10/01/2007 6.00,"0,37698",,,"45,60656"
10/01/2007 7.00,"0,404344",,,"45,60656"
10/01/2007 8.00,"0,403596",,,"45,60656"
10/01/2007 9.00,"0,379521",,,"45,60656"
10/01/2007 10.00,"0,615488",,,"45,60656"
10/01/2007 11.00,"0,50558",,,"45,60656"
10/01/2007 12.00,"0,397914",,,"45,60656"
10/01/2007 13.00,"0,603376",,,"45,60656"
10/01/2007 14.00,"0,5793",,,"45,60656"
10/01/2007 15.00,"0,690107",,,"45,60656"
10/01/2007 16.00,"0,472084",,,"45,60656"
10/01/2007 17.00,"0,483598",,,"45,60656"
10/01/2007 18.00,"0,497356",,,"45,60656"
10/01/2007 19.00,"0,824539",,,"45,60656"
10/01/2007 20.00,"0,972878",,,"45,60656"
10/01/2007 21.00,"0,901401",,,"45,60656"
10/01/2007 22.00,"1,041515",,,"45,60656"
10/01/2007 23.00,"1,197331",,,"45,60656"
11/01/2007 0.00,"0,636274",,,"45,60656"
11/01/2007 1.00,"0,493318",,,"45,319221"
11/01/2007 2.00,"0,459074",,,"45,319221"
11/01/2007 3.00,"0,577506",,,"45,319221"
11/01/2007 4.00,"0,497056",,,"45,319221"
11/01/2007 5.00,"0,37683",,,"45,319221"
11/01/2007 6.00,"0,322549",,,"45,319221"
11/01/2007 7.00,"0,388642",,,"45,319221"
11/01/2007 8.00,"0,454887",,,"45,319221"
11/01/2007 9.00,"0,75007",,,"45,319221"
11/01/2007 10.00,"0,658704",,,"45,319221"
11/01/2007 11.00,"0,963905",,,"45,319221"
11/01/2007 12.00,"0,652723",,,"45,319221"
11/01/2007 13.00,"0,36711",,,"45,319221"
11/01/2007 14.00,"0,363072",,,"45,319221"
11/01/2007 15.00,"0,443074","39,858621","28,653116","45,319221"
11/01/2007 16.00,"0,410774","34,991071","23,866558","45,319221"
11/01/2007 17.00,"0,448906","38,07658","25,792611","45,319221"
11/01/2007 18.00,"0,473131","48,010108","34,123635","45,319221"
11/01/2007 19.00,"0,539525","47,259152","34,208012","45,319221"
11/01/2007 20.00,"0,533842","74,850993","58,884455","45,319221"
11/01/2007 21.00,"0,615189","136,890484","108,060731","45,319221"
11/01/2007 22.00,"0,513954","71,563139","56,513232","45,319221"
11/01/2007 23.00,"0,53145","46,296803","33,329351","45,319221"
12/01/2007 0.00,"0,546104","41,251572","26,877633","45,319221"
12/01/2007 1.00,,"37,940388","22,588158","30,372271"
12/01/2007 2.00,"1,188472",,,"30,372271"
12/01/2007 3.00,"1,058551",,,"30,372271"
12/01/2007 4.00,"1,220734",,,"30,372271"
12/01/2007 5.00,"1,201551",,,"30,372271"
12/01/2007 6.00,"0,99141",,,"30,372271"
12/01/2007 7.00,"1,459649",,,"30,372271"
12/01/2007 8.00,"1,429131",,,"30,372271"
12/01/2007 9.00,"2,028163",,,"30,372271"
12/01/2007 10.00,"1,590442",,,"30,372271"
12/01/2007 11.00,"1,398613",,,"30,372271"
12/01/2007 12.00,"1,329728",,,"30,372271"
12/01/2007 13.00,"1,26346",,,"30,372271"
12/01/2007 14.00,"1,293106",,,"30,372271"
12/01/2007 15.00,"1,225094",,,"30,372271"
12/01/2007 16.00,"1,506735",,,"30,372271"
12/01/2007 17.00,"1,252997",,,"30,372271"
12/01/2007 18.00,"1,309673",,,"30,372271"
12/01/2007 19.00,"1,25474",,,"30,372271"
12/01/2007 20.00,"1,301826",,,"30,372271"
12/01/2007 21.00,"1,73257",,,"30,372271"
12/01/2007 22.00,"1,140515",,,"30,372271"
12/01/2007 23.00,"1,166673",,,"30,372271"
13/01/2007 0.00,"1,121332",,,"30,372271"
13/01/2007 1.00,"1,178881",,,"32,199692"
13/01/2007 2.00,"1,181497",,,"32,199692"
13/01/2007 3.00,"1,158826",,,"32,199692"
13/01/2007 4.00,"1,246893",,,"32,199692"
13/01/2007 5.00,"1,184112",,,"32,199692"
13/01/2007 6.00,"1,155337",,,"32,199692"
13/01/2007 7.00,"1,085581",,,"32,199692"
13/01/2007 8.00,"1,023673",,,"32,199692"
13/01/2007 9.00,"1,024545",,,"32,199692"
13/01/2007 10.00,"1,188472",,,"32,199692"
13/01/2007 11.00,"1,221606",,,"32,199692"
13/01/2007 12.00,"1,460522",,,"32,199692"
13/01/2007 13.00,"1,487552",,,"32,199692"
13/01/2007 14.00,"1,512838",,,"32,199692"
13/01/2007 15.00,"1,500631",,,"32,199692"
13/01/2007 16.00,"1,681998",,,"32,199692"
13/01/2007 17.00,"1,722979",,,"32,199692"
13/01/2007 18.00,"1,357631",,,"32,199692"
13/01/2007 19.00,"1,786632",,,"32,199692"
13/01/2007 20.00,"1,958406",,,"32,199692"
13/01/2007 21.00,"1,497143",,,"32,199692"
13/01/2007 22.00,"1,843308",,,"32,199692"
13/01/2007 23.00,"1,610498",,,"32,199692"
14/01/2007 0.00,"1,559052",,,"32,199692"
14/01/2007 1.00,,,,"40,271191"
14/01/2007 2.00,"0,44792",,,"40,271191"
14/01/2007 3.00,"0,657375",,,"40,271191"
14/01/2007 4.00,"0,561139",,,"40,271191"
14/01/2007 5.00,"0,500284",,,"40,271191"
14/01/2007 6.00,"0,540618",,,"40,271191"
14/01/2007 7.00,"0,493207",,,"40,271191"
14/01/2007 8.00,"0,542387",,,"40,271191"
14/01/2007 9.00,"0,684264",,,"40,271191"
14/01/2007 10.00,"0,916362",,,"40,271191"
14/01/2007 11.00,"1,410277",,,"40,271191"
14/01/2007 12.00,"3,233448",,,"40,271191"
14/01/2007 13.00,"8,365779",,,"40,271191"
14/01/2007 14.00,"6,340232",,,"40,271191"
14/01/2007 15.00,"7,840375",,,"40,271191"
14/01/2007 16.00,"5,611742",,,"40,271191"
14/01/2007 17.00,"2,28489",,,"40,271191"
14/01/2007 18.00,"1,331024",,,"40,271191"
14/01/2007 19.00,"1,006936",,,"40,271191"
14/01/2007 20.00,"0,947143",,,"40,271191"
14/01/2007 21.00,"0,89018",,,"40,271191"
14/01/2007 22.00,"0,686033",,,"40,271191"
14/01/2007 23.00,"0,62164",,,"40,271191"
15/01/2007 0.00,"0,637207",,,"40,271191"
15/01/2007 1.00,"0,441552",,,"35,60561"
15/01/2007 2.00,"0,339656",,,"35,60561"
15/01/2007 3.00,"3,718586",,,"35,60561"
15/01/2007 4.00,"0,42241",,,"35,60561"
15/01/2007 5.00,"0,463841",,,"35,60561"
15/01/2007 6.00,"0,40971",,,"35,60561"
15/01/2007 7.00,"0,533895",,,"35,60561"
15/01/2007 8.00,"0,421385",,,"35,60561"
15/01/2007 9.00,"0,486131",,,"35,60561"
15/01/2007 10.00,"0,305336",,,"35,60561"
15/01/2007 11.00,"0,560077",,,"35,60561"
15/01/2007 12.00,"0,495331",,,"35,60561"
15/01/2007 13.00,"0,520097",,,"35,60561"
15/01/2007 14.00,"0,430937",,,"35,60561"
15/01/2007 15.00,"0,678249",,,"35,60561"
15/01/2007 16.00,"0,685679",,,"35,60561"
15/01/2007 17.00,"0,495685",,,"35,60561"
