Stat,BR-CASALE,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
02/01/2014 12.00,"1,0","19,7","24,3","21,0",,,
02/01/2014 13.00,"0,9","17,4","23,1",,,,
02/01/2014 14.00,"0,7","15,1","19,2","18,8",,,
02/01/2014 15.00,"0,7","14,6","17,5",,,,
02/01/2014 16.00,"0,8","14,7","16,8","10,0",,,
02/01/2014 17.00,"0,8","26,4","30,4",,,,
02/01/2014 18.00,"1,1","41,4","53,4","12,7",,,
02/01/2014 19.00,"1,3","46,9","58,1",,,,
02/01/2014 20.00,"1,0","48,5","59,1","18,8",,,
02/01/2014 21.00,"1,0","44,4","52,5",,,,
02/01/2014 22.00,"0,8","42,8","50,8","10,7",,,
02/01/2014 23.00,"0,7","31,2","33,7",,,,
03/01/2014 0.00,"0,7","21,8","23,5","17,3",,,
03/01/2014 1.00,"0,7","15,7","17,0",,,,
03/01/2014 2.00,,"11,4","12,2","11,7",,,
03/01/2014 3.00,"0,9","9,9","10,4",,,,
03/01/2014 4.00,"0,7","8,9","9,3","22,5",,,
03/01/2014 5.00,"1,4","12,1","13,0",,,,
03/01/2014 6.00,"0,8","14,1","14,9","23,4",,,
03/01/2014 7.00,"0,9","21,3","23,4",,,,
03/01/2014 8.00,"2,0","41,5","61,3","12,9",,,
03/01/2014 9.00,"2,7","42,3","81,1",,,,
03/01/2014 10.00,"2,0","41,7","61,2","16,8",,,
03/01/2014 11.00,"2,1","40,0","61,3",,,,
03/01/2014 12.00,"1,9","31,9","41,9","17,3",,,
03/01/2014 13.00,"1,9","33,1","41,3",,,,
03/01/2014 14.00,"1,6","33,7","43,3","24,9",,,
03/01/2014 15.00,"1,7","34,5","43,2",,,,
03/01/2014 16.00,"0,9","24,7","28,4","26,6",,,
03/01/2014 17.00,"1,1","35,7","40,8",,,,
03/01/2014 18.00,"1,4","48,4","58,8","26,6",,,
03/01/2014 19.00,"1,9","51,1","63,1",,,,
03/01/2014 20.00,"1,0","44,1","51,8","22,2",,,
03/01/2014 21.00,"1,0","42,4","49,3",,,,
03/01/2014 22.00,"0,7","36,7","40,7","24,9",,,
03/01/2014 23.00,"0,7","29,8","32,9",,,,
04/01/2014 0.00,"0,7","24,6","26,1","31,7",,,
04/01/2014 1.00,"0,7","17,9","18,9",,,,
04/01/2014 2.00,,"14,0","14,8","33,2",,,
04/01/2014 3.00,"0,8",,,,,,
04/01/2014 4.00,"0,7","17,0","18,7","30,5",,,
04/01/2014 5.00,"0,7","11,8","12,7",,,,
04/01/2014 6.00,"0,7","11,0","12,3","22,0",,,
04/01/2014 7.00,"0,7","19,1","21,8",,,,
04/01/2014 8.00,"0,9","32,6","49,3","18,3",,,
04/01/2014 9.00,"1,0","34,0","51,0",,,,
04/01/2014 10.00,"0,9","33,5","49,2","12,0",,,
04/01/2014 11.00,"0,7","18,4","23,1",,,,
04/01/2014 12.00,"0,7","13,2","17,1","20,5",,,
04/01/2014 13.00,"0,8","12,7","15,8",,,,
04/01/2014 14.00,"0,7","9,9","11,8","22,2",,,
04/01/2014 15.00,"0,7","7,5","9,0",,,,
04/01/2014 16.00,"0,7","8,6","9,8","12,2",,,
04/01/2014 17.00,"0,7","13,5","15,1",,,,
04/01/2014 18.00,"0,7","22,2","23,8","5,9",,,
04/01/2014 19.00,"0,7","22,2","24,3",,,,
04/01/2014 20.00,"0,7","22,0","24,0","9,0",,,
04/01/2014 21.00,"0,7","19,8","21,6",,,,
04/01/2014 22.00,"0,7","15,1","16,7","10,5",,,
04/01/2014 23.00,"0,7","14,3","15,7",,,,
05/01/2014 0.00,"0,7","10,3","10,8","15,9",,,
05/01/2014 1.00,"0,7","8,6","9,1",,,,
05/01/2014 2.00,,"6,7","7,1","19,0",,,
05/01/2014 3.00,"0,9","4,7","5,1",,,,
05/01/2014 4.00,"0,7","4,0","4,5","12,0",,,
05/01/2014 5.00,"0,7","3,5","3,9",,,,
05/01/2014 6.00,"0,7","5,2","5,6","13,2",,,
05/01/2014 7.00,"0,7","6,2","6,7",,,,
05/01/2014 8.00,"0,7","5,8","7,2","10,3",,,
05/01/2014 9.00,"0,7","6,3","7,2",,,,
05/01/2014 10.00,"0,6","5,8","7,0","17,6",,,
05/01/2014 11.00,"0,7","6,0","7,3",,,,
05/01/2014 12.00,"0,7","6,6","8,0","10,5",,,
05/01/2014 13.00,"0,7","7,0","8,5",,,,
05/01/2014 14.00,"0,7","7,2","9,1","10,0",,,
05/01/2014 15.00,"0,8","6,1","6,7",,,,
05/01/2014 16.00,"0,7","5,9","7,1","12,9",,,
05/01/2014 17.00,"0,7","6,8","7,4",,,,
05/01/2014 18.00,"0,7","7,7","8,9","14,7",,,
05/01/2014 19.00,"0,7","13,3","15,0",,,,
05/01/2014 20.00,"0,7","14,9","16,4","15,4",,,
05/01/2014 21.00,"0,7","23,4","25,3",,,,
05/01/2014 22.00,"0,7","20,6","21,8","8,1",,,
05/01/2014 23.00,"0,7","17,1","17,6",,,,
06/01/2014 0.00,"0,7","14,8","15,6","8,5",,,
06/01/2014 1.00,,"12,9","13,3",,,,
06/01/2014 2.00,,"14,7","15,4","7,3",,,
06/01/2014 3.00,,,,,,,
06/01/2014 4.00,,"9,7","10,3","9,3",,,
06/01/2014 5.00,,"7,6","7,9",,,,
06/01/2014 6.00,,"9,2","10,0","9,3",,,
06/01/2014 7.00,,"14,3","16,2",,,,
06/01/2014 8.00,,"16,5","18,2","6,6",,,
06/01/2014 9.00,,"25,8","31,0",,,,
06/01/2014 10.00,,"29,2","35,0","8,1",,,
06/01/2014 11.00,,"22,7","26,7",,,,
06/01/2014 12.00,,"11,5","14,0","6,3",,,
06/01/2014 13.00,,"5,1","6,1",,,,
06/01/2014 14.00,,"4,1","5,0","15,1",,,
06/01/2014 15.00,,"6,8","8,0",,,,
06/01/2014 16.00,,"5,9","6,5","8,3",,,
06/01/2014 17.00,,"6,4","6,8",,,,
06/01/2014 18.00,,"9,9","10,6","4,2",,,
06/01/2014 19.00,,"7,7","8,0",,,,
06/01/2014 20.00,,"6,0","6,9","5,4",,,
06/01/2014 21.00,,"12,7","13,7",,,,
06/01/2014 22.00,,"21,2","22,5","2,7",,,
06/01/2014 23.00,,"13,8","14,3",,,,
07/01/2014 0.00,,"15,1","15,8","1,2",,,
07/01/2014 1.00,,"6,6","6,8",,,,
07/01/2014 2.00,,"4,3","4,6","3,7",,,
07/01/2014 3.00,,"4,0","4,4",,,,
07/01/2014 4.00,,"4,2","4,5","4,9",,,
07/01/2014 5.00,,"4,1","4,9",,,,
07/01/2014 6.00,,"4,2","4,9","7,3",,,
07/01/2014 7.00,,"5,9","6,8",,,,
07/01/2014 8.00,,"9,3","11,0","4,6",,,
07/01/2014 9.00,,"10,0","12,5",,,,
07/01/2014 10.00,,"10,4","13,4","6,3",,,
07/01/2014 11.00,,"9,6","12,7",,,,
07/01/2014 12.00,,"5,4","6,8","12,7",,,
07/01/2014 13.00,,"5,9","7,7",,,,
07/01/2014 14.00,,"5,5","7,0","12,5",,,
07/01/2014 15.00,,"6,4","9,4",,,,
07/01/2014 16.00,,"6,5","7,8","7,1",,,
07/01/2014 17.00,,"8,6","9,6",,,,
07/01/2014 18.00,"1,3","10,5","11,7","3,4",,,
07/01/2014 19.00,"1,2","9,5","10,8",,,,
07/01/2014 20.00,"0,9","14,2","16,0","6,6",,,
07/01/2014 21.00,"0,7","32,3","35,9",,,,
07/01/2014 22.00,,"17,0","18,2","3,9",,,
07/01/2014 23.00,,"14,9","15,9",,,,
08/01/2014 0.00,"0,1","12,4","13,5","17,1",,,
08/01/2014 1.00,"0,3","7,8","8,2",,,,
08/01/2014 2.00,,"6,9","7,2","12,0",,,
08/01/2014 3.00,"1,3",,,,,,
08/01/2014 4.00,"0,7","4,5","4,8","12,9",,,
08/01/2014 5.00,"0,3","7,0","7,6",,,,
08/01/2014 6.00,"0,4","8,2","8,5","6,3",,,
08/01/2014 7.00,,"14,4","15,5",,,,
08/01/2014 8.00,"0,2","25,0","27,6","5,1",,,
08/01/2014 9.00,"0,7","20,1","25,9",,,,
08/01/2014 10.00,"0,2","9,8","12,0","5,9",,,
08/01/2014 11.00,"0,7","7,1","8,6",,,,
08/01/2014 12.00,"0,6","6,8","8,8","12,9",,,
08/01/2014 13.00,"0,5","9,8","12,3",,,,
08/01/2014 14.00,"0,6","5,7","6,9","13,7",,,
08/01/2014 15.00,"0,4","3,5","4,4",,,,
08/01/2014 16.00,"0,6","3,4","4,3","10,5",,,
08/01/2014 17.00,"0,7","4,1","4,9",,,,
08/01/2014 18.00,"0,2","4,7","5,5","8,8",,,
08/01/2014 19.00,"0,3","5,8","7,0",,,,
08/01/2014 20.00,"0,2","5,1","5,9","5,4",,,
08/01/2014 21.00,"0,2","2,6","3,4",,,,
08/01/2014 22.00,"0,2","2,9","3,2","3,4",,,
08/01/2014 23.00,"0,3","4,7","5,3",,,,
09/01/2014 0.00,,,,,,,
09/01/2014 1.00,,"3,9","4,4",,,,
09/01/2014 2.00,,"7,4","7,8","5,9",,,
09/01/2014 3.00,,"6,3","6,7",,,,
09/01/2014 4.00,,"5,2","5,6","3,7",,,
09/01/2014 5.00,,"4,7","5,1",,,,
09/01/2014 6.00,,"5,0","5,4","14,7",,,
09/01/2014 7.00,,"5,1","5,8",,,,
09/01/2014 8.00,,"4,9","6,2","17,1",,,
09/01/2014 9.00,,"5,9","7,1",,,,
09/01/2014 10.00,,"5,7","7,0","9,0",,,
09/01/2014 11.00,,"4,2","5,6",,,,
09/01/2014 12.00,,"3,8","5,2","13,9",,,
09/01/2014 13.00,,"4,0","5,4",,,,
09/01/2014 14.00,,"4,4","5,8","17,3",,,
09/01/2014 15.00,,"4,4","5,0",,,,
09/01/2014 16.00,,"5,9","6,9","11,0",,,
09/01/2014 17.00,,"6,3","7,2",,,,
09/01/2014 18.00,,"7,7","8,7","5,4",,,
09/01/2014 19.00,,"19,9","21,1",,,,
09/01/2014 20.00,,"32,6","35,3","8,8",,,
09/01/2014 21.00,,"34,5","38,9",,,,
09/01/2014 22.00,,"30,6","36,6","5,1",,,
09/01/2014 23.00,,"27,3","32,2",,,,
10/01/2014 0.00,,"27,1","30,9","17,8",,,
10/01/2014 1.00,"1,3","29,0","32,9",,,,
10/01/2014 2.00,,"25,8","27,2","28,8",,,
10/01/2014 3.00,"1,4",,,,,,
10/01/2014 4.00,"1,3","13,5","14,1","41,3",,,
10/01/2014 5.00,"1,3","8,6","9,2",,,,
10/01/2014 6.00,"1,3","12,7","13,7","33,5",,,
10/01/2014 7.00,"1,3","18,2","19,6",,,,
10/01/2014 8.00,"1,4","37,1","46,1","22,5",,,
10/01/2014 9.00,"3,1","56,1","112,2",,,,
10/01/2014 10.00,"2,7","57,4","102,2","19,3",,,
10/01/2014 11.00,"1,3","30,4","38,2",,,,
10/01/2014 12.00,"1,3","21,0","26,2","23,7",,,
10/01/2014 13.00,"1,3","18,3","21,6",,,,
10/01/2014 14.00,"1,3","18,5","22,3","18,6",,,
10/01/2014 15.00,"1,2","13,1","15,9",,,,
10/01/2014 16.00,,"19,4","21,5","19,3",,,
10/01/2014 17.00,"0,1","30,2","34,7",,,,
10/01/2014 18.00,"0,3","43,4","49,8","8,3",,,
10/01/2014 19.00,"1,2","68,4","109,6",,,,
10/01/2014 20.00,"1,5","73,7","127,2","9,0",,,
10/01/2014 21.00,"2,6","72,5","153,2",,,,
10/01/2014 22.00,"1,1","51,7","72,8","10,7",,,
10/01/2014 23.00,"0,2","40,0","47,7",,,,
11/01/2014 0.00,"0,1","32,8","39,2","33,5",,,
11/01/2014 1.00,,"21,9","23,8",,,,
11/01/2014 2.00,,"20,1","21,5","49,8",,,
11/01/2014 3.00,,"15,3","16,7",,,,
11/01/2014 4.00,,"12,5","13,7","44,2",,,
11/01/2014 5.00,,"12,2","13,0",,,,
11/01/2014 6.00,,"14,0","15,5","24,4",,,
11/01/2014 7.00,,"24,3","28,6",,,,
11/01/2014 8.00,,"29,1","38,1","25,4",,,
11/01/2014 9.00,,"39,8","77,3",,,,
11/01/2014 10.00,,"35,4","66,3","25,2",,,
11/01/2014 11.00,,"18,3","22,5",,,,
11/01/2014 12.00,,"13,0","15,9","32,5",,,
11/01/2014 13.00,,"14,8","18,6",,,,
11/01/2014 14.00,,"12,6","15,5","21,5",,,
11/01/2014 15.00,,"21,8","27,3",,,,
11/01/2014 16.00,,"30,4","37,6","21,0",,,
11/01/2014 17.00,,"25,3","29,1",,,,
11/01/2014 18.00,,"29,3","35,5","14,7",,,
11/01/2014 19.00,,"62,3","174,5",,,,
11/01/2014 20.00,,"60,9","130,9","7,6",,,
11/01/2014 21.00,,"66,6","142,5",,,,
11/01/2014 22.00,,"50,8","69,4","16,8",,,
11/01/2014 23.00,,"48,4","76,8",,,,
12/01/2014 0.00,,"46,5","74,3","31,7",,,
12/01/2014 1.00,,"44,7","73,4",,,,
12/01/2014 2.00,,"42,3","67,7","42,2",,,
12/01/2014 3.00,,,,,,,
12/01/2014 4.00,,"23,0","24,5","47,4",,,
12/01/2014 5.00,,"21,5","22,9",,,,
12/01/2014 6.00,,"22,0","25,3","39,3",,,
12/01/2014 7.00,,"29,4","36,4",,,,
12/01/2014 8.00,,"22,8","27,1","32,2",,,
12/01/2014 9.00,,"18,7","24,4",,,,
12/01/2014 10.00,,"22,3","28,5","28,6",,,
12/01/2014 11.00,,"16,6","20,5",,,,
12/01/2014 12.00,,"10,8","13,0","37,9",,,
12/01/2014 13.00,,"6,1","7,1",,,,
12/01/2014 14.00,,"7,0","8,4","26,6",,,
12/01/2014 15.00,,"7,7","8,7",,,,
12/01/2014 16.00,,"4,8","5,4","17,6",,,
12/01/2014 17.00,,"6,4","6,8",,,,
12/01/2014 18.00,,"10,4","11,8","9,8",,,
12/01/2014 19.00,,"8,3","9,2",,,,
12/01/2014 20.00,,"11,6","12,6","14,4",,,
12/01/2014 21.00,,"9,7","10,2",,,,
12/01/2014 22.00,,"10,6","11,1","20,0",,,
12/01/2014 23.00,,"11,9","12,8",,,,
13/01/2014 0.00,,"8,9","9,9","21,7",,,
13/01/2014 1.00,,"6,8","7,2",,,,
13/01/2014 2.00,,"7,1","7,6","36,1",,,
13/01/2014 3.00,,"5,8","6,1",,,,
13/01/2014 4.00,,"5,2","5,5","21,2",,,
13/01/2014 5.00,,"5,6","6,0",,,,
13/01/2014 6.00,,"6,3","7,0","30,0",,,
13/01/2014 7.00,,"7,6","8,1",,,,
13/01/2014 8.00,,"10,4","11,6","19,3",,,
13/01/2014 9.00,,"11,2","13,2",,,,
13/01/2014 10.00,,"11,9","14,0","22,2",,,
13/01/2014 11.00,,"9,9","12,1",,,,
13/01/2014 12.00,,"8,5","10,1","25,4",,,
13/01/2014 13.00,,"11,6","15,5",,,,
13/01/2014 14.00,,"25,5","36,5","20,3",,,
13/01/2014 15.00,,"20,5","27,2",,,,
13/01/2014 16.00,,"12,7","15,3","12,2",,,
13/01/2014 17.00,,"22,5","26,9",,,,
13/01/2014 18.00,,"42,0","50,3","13,2",,,
13/01/2014 19.00,,"47,9","56,0",,,,
13/01/2014 20.00,,"50,4","60,4","12,0",,,
13/01/2014 21.00,,"57,6","117,3",,,,
13/01/2014 22.00,,"53,8","100,4","16,4",,,
13/01/2014 23.00,,"37,6","42,1",,,,
14/01/2014 0.00,,"38,9","44,2","30,8",,,
14/01/2014 1.00,,"37,5","42,6",,,,
14/01/2014 2.00,,"30,8","35,2","18,3",,,
14/01/2014 3.00,,,,,,,
14/01/2014 4.00,,"17,6","18,8","25,4",,,
14/01/2014 5.00,,"13,3","14,1",,,,
14/01/2014 6.00,,"13,3","14,2","22,7",,,
14/01/2014 7.00,,"17,1","18,5",,,,
14/01/2014 8.00,,"31,1","37,3","16,6",,,
14/01/2014 9.00,,"44,8","69,2",,,,
14/01/2014 10.00,,"29,2","38,8","16,4",,,
14/01/2014 11.00,,"21,7","26,6",,,,
14/01/2014 12.00,,"16,7","20,6","25,2",,,
14/01/2014 13.00,"1,8","11,0","13,7",,,,
14/01/2014 14.00,"1,8","13,9","18,1","13,4",,,
14/01/2014 15.00,"1,5","9,4","11,7",,,,
14/01/2014 16.00,"1,0","14,9","17,2","13,4",,,
14/01/2014 17.00,"1,2","22,7","25,2",,,,
14/01/2014 18.00,"1,6","39,9","45,2","8,3",,,
14/01/2014 19.00,"1,5","36,2","40,6",,,,
14/01/2014 20.00,"1,0","33,4","37,2","15,6",,,
14/01/2014 21.00,"1,3","30,5","34,0",,,,
14/01/2014 22.00,"1,0","25,6","29,9","15,1",,,
14/01/2014 23.00,"1,0","16,3","17,8",,,,
15/01/2014 0.00,"0,8","8,9","9,4","15,1",,,
15/01/2014 1.00,"0,7","7,6","8,1",,,,
15/01/2014 2.00,"0,7","6,9","7,5","15,1",,,
15/01/2014 3.00,"0,7","4,7","5,0",,,,
15/01/2014 4.00,"0,9","5,0","5,7","12,9",,,
15/01/2014 5.00,"0,7","7,4","7,9",,,,
15/01/2014 6.00,"0,7","12,1","13,0","15,9",,,
15/01/2014 7.00,"0,7","19,6","21,3",,,,
15/01/2014 8.00,,,,,,,
15/01/2014 9.00,,,,,,,
15/01/2014 10.00,"1,3","36,8","50,0","13,7",,,
15/01/2014 11.00,"1,1","28,6","33,9",,,,
15/01/2014 12.00,"1,4","27,7","33,9","12,2",,,
15/01/2014 13.00,"1,4","19,8","24,8",,,,
15/01/2014 14.00,"1,6","8,3","10,0","23,2",,,
15/01/2014 15.00,"0,7","5,5","6,1",,,,
15/01/2014 16.00,"0,7","7,0","7,6","23,2",,,
15/01/2014 17.00,"0,7","7,0","7,9",,,,
15/01/2014 18.00,"0,7","16,4","18,1","11,7",,,
15/01/2014 19.00,"0,7","24,3","26,5",,,,
15/01/2014 20.00,"0,7","27,5","30,3","6,8",,,
15/01/2014 21.00,"0,7","21,8","23,9",,,,
15/01/2014 22.00,"0,7","9,3","10,3","4,9",,,
15/01/2014 23.00,"0,7","10,0","10,8",,,,
16/01/2014 0.00,"0,7","10,9","11,5","6,8",,,
16/01/2014 1.00,"0,7","9,9","10,2",,,,
16/01/2014 2.00,,"6,8","7,1","14,2",,,
16/01/2014 3.00,"0,7",,,,,,
16/01/2014 4.00,"0,7","6,9","7,5","16,4",,,
16/01/2014 5.00,"0,7","7,0","7,4",,,,
16/01/2014 6.00,"0,7","7,3","7,6","13,7",,,
16/01/2014 7.00,"0,7","7,1","7,7",,,,
16/01/2014 8.00,"0,7","9,2","10,0","8,8",,,
16/01/2014 9.00,"0,7","10,5","13,1",,,,
16/01/2014 10.00,"2,2","8,6","11,6","9,5",,,
16/01/2014 11.00,"3,3","6,5","9,0",,,,
16/01/2014 12.00,"3,3","6,2","8,0","16,4",,,
16/01/2014 13.00,"3,3","8,0","10,5",,,,
16/01/2014 14.00,"3,3","6,9","8,8","14,9",,,
16/01/2014 15.00,"3,3","4,0","5,2",,,,
16/01/2014 16.00,"3,3","4,0","4,9","13,9",,,
16/01/2014 17.00,"3,3","9,1","10,1",,,,
16/01/2014 18.00,"3,3","23,3","26,0","11,0",,,
16/01/2014 19.00,"2,8","52,5","68,4",,,,
16/01/2014 20.00,"6,7","75,0","186,1","5,6",,,
16/01/2014 21.00,"6,7","72,9","168,4",,,,
16/01/2014 22.00,"7,0","71,0","187,8","10,5",,,
16/01/2014 23.00,"5,8","59,9","134,3",,,,
17/01/2014 0.00,"4,8","46,4","80,6","27,8",,,
17/01/2014 1.00,"3,3","23,1","26,7",,,,
17/01/2014 2.00,"3,2","14,6","15,4","30,5",,,
17/01/2014 3.00,"3,3","16,5","16,9",,,,
17/01/2014 4.00,"3,3","13,1","13,6","30,8",,,
17/01/2014 5.00,"3,2","10,2","10,8",,,,
17/01/2014 6.00,"3,3","13,3","14,5","23,7",,,
17/01/2014 7.00,"3,2","16,1","17,8",,,,
17/01/2014 8.00,"3,1","25,3","29,0","21,2",,,
17/01/2014 9.00,"3,3","29,4","39,0",,,,
17/01/2014 10.00,"3,2","22,0","27,7","17,8",,,
17/01/2014 11.00,"3,3","13,4","16,7",,,,
17/01/2014 12.00,"3,3","8,5","10,7","22,2",,,
17/01/2014 13.00,"3,2","8,7","10,9",,,,
17/01/2014 14.00,"3,3","8,9","11,4","20,5",,,
17/01/2014 15.00,"3,3","9,0","11,2",,,,
17/01/2014 16.00,"3,3","7,6","9,1","18,1",,,
17/01/2014 17.00,"3,3","9,9","11,7",,,,
17/01/2014 18.00,"3,3","11,2","12,5","8,8",,,
17/01/2014 19.00,"3,3","12,9","14,6",,,,
17/01/2014 20.00,"3,3","11,1","12,5","6,8",,,
17/01/2014 21.00,"3,2","12,0","13,5",,,,
17/01/2014 22.00,"3,1","9,5","10,8","4,2",,,
17/01/2014 23.00,"3,3","8,1","9,2",,,,
18/01/2014 0.00,"3,2","5,4","6,1","16,6",,,
18/01/2014 1.00,"2,9","4,1","4,4",,,,
18/01/2014 2.00,,"3,8","4,1","13,4",,,
18/01/2014 3.00,"2,9",,,,,,
18/01/2014 4.00,"2,2","3,0","3,4","17,6",,,
18/01/2014 5.00,"2,3","3,2","3,5",,,,
18/01/2014 6.00,"2,3","4,2","4,5","15,6",,,
18/01/2014 7.00,"2,5","5,7","6,7",,,,
18/01/2014 8.00,"2,3","11,8","13,1","11,7",,,
18/01/2014 9.00,"2,6","15,6","17,8",,,,
18/01/2014 10.00,"2,8","15,6","17,9","14,7",,,
18/01/2014 11.00,"2,8","11,4","13,1",,,,
18/01/2014 12.00,"2,8","8,5","10,0","18,1",,,
18/01/2014 13.00,"3,0","9,8","11,8",,,,
18/01/2014 14.00,"2,8","9,2","10,6","18,8",,,
18/01/2014 15.00,"2,6","6,6","7,9",,,,
18/01/2014 16.00,"2,5","7,2","8,6","19,0",,,
18/01/2014 17.00,"2,9","6,3","7,6",,,,
18/01/2014 18.00,"2,4","8,8","10,3","17,3",,,
18/01/2014 19.00,"2,9","10,0","11,4",,,,
18/01/2014 20.00,"2,9","9,5","10,7","21,2",,,
18/01/2014 21.00,"2,7","11,2","12,6",,,,
18/01/2014 22.00,"2,4","8,0","9,2","13,9",,,
18/01/2014 23.00,"2,7","6,3","7,0",,,,
19/01/2014 0.00,"2,4","4,6","5,2","16,8",,,
19/01/2014 1.00,"2,5","3,9","4,4",,,,
19/01/2014 2.00,"2,4","2,3","2,9","17,3",,,
19/01/2014 3.00,"2,2","1,6","2,1",,,,
19/01/2014 4.00,"2,0","1,5","1,9","20,3",,,
19/01/2014 5.00,"2,1","1,5","1,9",,,,
19/01/2014 6.00,"2,4","2,1","2,5","16,1",,,
19/01/2014 7.00,"2,5","2,5","3,0",,,,
19/01/2014 8.00,"2,3","3,1","3,8","17,3",,,
19/01/2014 9.00,"2,5","4,5","6,0",,,,
19/01/2014 10.00,"2,1","4,4","5,3","17,6",,,
19/01/2014 11.00,"2,0","5,3","6,6",,,,
19/01/2014 12.00,"2,3","6,8","8,2","15,1",,,
19/01/2014 13.00,"2,5","8,6","10,1",,,,
19/01/2014 14.00,"2,5","8,9","10,0","20,5",,,
19/01/2014 15.00,"2,8","5,4","6,6",,,,
19/01/2014 16.00,"3,2","4,7","5,3","21,7",,,
19/01/2014 17.00,"3,2","4,8","5,5",,,,
19/01/2014 18.00,"3,3","6,2","7,3","21,0",,,
19/01/2014 19.00,"3,2","8,0","9,7",,,,
19/01/2014 20.00,"3,2","5,0","6,2","15,4",,,
19/01/2014 21.00,"3,2","8,0","9,1",,,,
19/01/2014 22.00,"3,3","7,2","8,4","8,1",,,
19/01/2014 23.00,"3,2","4,6","5,5",,,,
20/01/2014 0.00,"3,2","3,5","3,9","14,9",,,
20/01/2014 1.00,"3,2","2,9","3,4",,,,
20/01/2014 2.00,,"1,8","2,1","26,4",,,
20/01/2014 3.00,"3,3",,,,,,
20/01/2014 4.00,"3,3","1,5","1,9","39,8",,,
20/01/2014 5.00,"3,2","1,6","1,9",,,,
20/01/2014 6.00,"3,1","4,5","5,2","45,7",,,
20/01/2014 7.00,"3,2","9,1","10,0",,,,
20/01/2014 8.00,"3,3","22,2","25,2","54,2",,,
20/01/2014 9.00,"5,9","18,4","23,3",,,,
20/01/2014 10.00,"4,7","12,5","15,4","67,2",,,
20/01/2014 11.00,"3,3","9,7","12,5",,,,
20/01/2014 12.00,"3,3","8,7","11,1","98,7",,,
20/01/2014 13.00,"3,3","7,7","9,7",,,,
20/01/2014 14.00,"3,3","9,1","11,1","130,9",,,
20/01/2014 15.00,"3,3","11,7","13,7",,,,
20/01/2014 16.00,"3,3","11,0","13,2","131,9",,,
20/01/2014 17.00,"3,3","20,7","23,5",,,,
20/01/2014 18.00,"3,3","15,9","17,8","98,4",,,
20/01/2014 19.00,"3,3","15,9","18,0",,,,
20/01/2014 20.00,"3,3","15,3","17,0","92,8",,,
20/01/2014 21.00,"3,3","14,6","16,3",,,,
20/01/2014 22.00,"3,3","12,5","14,0","134,8",,,
20/01/2014 23.00,"3,3","9,5","10,6",,,,
21/01/2014 0.00,"3,3","4,2","4,6","142,9",,,
21/01/2014 1.00,"3,2","2,0","2,4",,,,
21/01/2014 2.00,"3,3","1,5","1,9","75,5",,,
21/01/2014 3.00,"3,3","1,7","2,1",,,,
21/01/2014 4.00,"3,2","1,5","1,8","38,3",,,
21/01/2014 5.00,"3,2","2,1","2,4",,,,
21/01/2014 6.00,"3,2","4,1","4,6","27,1",,,
21/01/2014 7.00,"3,3","6,7","8,0",,,,
21/01/2014 8.00,"3,2","13,4","15,1","14,7",,,
