,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



07/01/2010 6.00,"5,08047028","27,5666424","20,5"
07/01/2010 7.00,"5,06782796","35,18322824","20,5"
07/01/2010 8.00,"5,67286058","46,0791044","20,5"
07/01/2010 9.00,"6,46572497","51,42670072","20,5"
07/01/2010 10.00,"6,47294872","56,03024224","20,5"
07/01/2010 11.00,"6,46933735","57,45007432","20,5"
07/01/2010 12.00,"5,18702849","58,47945688","20,5"
07/01/2010 13.00,"5,08227647","59,9047764","20,5"
07/01/2010 14.00,"5,04796188","60,66382128","20,5"
07/01/2010 15.00,"5,22676166","61,64542296","20,5"
07/01/2010 16.00,"6,4061247","66,25441368","20,5"
07/01/2010 17.00,"7,22246755","70,16443456","20,5"
07/01/2010 18.00,"6,85222361","67,63466736","20,5"
07/01/2010 19.00,"6,51990767","64,23388856","20,5"
07/01/2010 20.00,"6,35194301","62,06728664","20,5"
07/01/2010 21.00,"6,41334947","61,40514192","20,5"
07/01/2010 22.00,"5,9744743","59,70269712","20,5"
07/01/2010 23.00,"5,17799855","54,90665544","20,5"
08/01/2010 0.00,"5,17619236","50,54339496","20,5"
08/01/2010 1.00,,"40,66462632","29,20000076"
08/01/2010 2.00,"5,12381584",,"29,20000076"
08/01/2010 3.00,"5,2032832","28,0976048","29,20000076"
08/01/2010 4.00,"5,29900528","22,6719224","29,20000076"
08/01/2010 5.00,"6,03407457","23,06571792","29,20000076"
08/01/2010 6.00,"6,45127645","23,12671072","29,20000076"
08/01/2010 7.00,"6,01781986","25,44923624","29,20000076"
08/01/2010 8.00,"6,45308264","29,11119424","29,20000076"
08/01/2010 9.00,"6,46753116","29,22350512","29,20000076"
08/01/2010 10.00,"6,31220983","30,3535736","29,20000076"
08/01/2010 11.00,"6,48920444","31,58207184","29,20000076"
08/01/2010 12.00,"6,45669502","30,5435308","29,20000076"
08/01/2010 13.00,"6,48197968","28,82833296","29,20000076"
08/01/2010 14.00,"6,46753116","26,39489232","29,20000076"
08/01/2010 15.00,"6,48197968","23,7007696","29,20000076"
08/01/2010 16.00,"6,49100962","25,1428","29,20000076"
