Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/01/2009 13.00,"5,98350425","10,17531028",,
10/01/2009 14.00,"6,11895949","1,09540392",,
10/01/2009 15.00,"5,9744743","5,24599838",,
10/01/2009 16.00,"6,44044031","3,29659583",,
10/01/2009 17.00,"6,52351904","1,48606376",,
10/01/2009 18.00,"6,06658399","1,91436132",,
10/01/2009 19.00,"6,61382254","1,85336087",,
10/01/2009 20.00,"6,34291205","0,89163826",,
10/01/2009 21.00,"5,89320176","1,12395773",,
10/01/2009 22.00,"6,21106918","0,65802054",,
10/01/2009 23.00,"5,7252371","2,91242532",,
11/01/2009 0.00,"5,76858265","1,16808478",,
11/01/2009 1.00,"6,30679126","6,80733949",,
11/01/2009 2.00,"6,05394167","1,09540392",,
11/01/2009 3.00,"6,00156515","2,15965945",,
11/01/2009 4.00,"5,92932255","4,47895751",,
11/01/2009 5.00,"6,12618426","5,33555263",,
11/01/2009 6.00,"6,84680605","5,14346738",,
11/01/2009 7.00,"6,16049886","8,19865982",,
11/01/2009 8.00,"6,09186865","9,28497792",,
11/01/2009 9.00,"6,41696083","7,61980756",,
11/01/2009 10.00,"6,08825626","8,78529584",,
11/01/2009 11.00,"5,87694604","10,03904204",,
11/01/2009 12.00,"6,01781986","9,67823234",,
11/01/2009 13.00,"6,00156515","8,75804028",,
11/01/2009 14.00,"6,77095107","8,72819014",,
11/01/2009 15.00,"5,9943414","8,55687111",,
11/01/2009 16.00,"6,79262334","8,18827575",,
11/01/2009 17.00,"6,87028451","8,5023619",,
11/01/2009 18.00,"6,44947025","7,63667905",,
11/01/2009 19.00,"7,09062468","9,10846782",,
11/01/2009 20.00,"6,79623573","14,74901695",,
11/01/2009 21.00,"6,87750928","15,9651197",,
11/01/2009 22.00,"6,4061247","18,21044057",,
11/01/2009 23.00,"6,16591743","12,43360981",,
12/01/2009 0.00,"6,20203924","10,56727028",,
12/01/2009 1.00,"5,885977","9,71197723",,
12/01/2009 2.00,"5,06602176","8,67497726",,
12/01/2009 3.00,,"7,75997819",,
12/01/2009 4.00,"5,6349336",,,
12/01/2009 5.00,"5,85346757","20,22343432",,
12/01/2009 6.00,"5,90042552","10,59582218",,
12/01/2009 7.00,"6,13882659","26,71278144",,
12/01/2009 8.00,"6,07019638","32,6505548",,
12/01/2009 9.00,"6,03046219","30,1768092",,
12/01/2009 10.00,"5,87333467","27,9847012",,
12/01/2009 11.00,"5,38027781","7,88068084",,
12/01/2009 12.00,"5,41278724","2,59963742",,
12/01/2009 13.00,"5,86430371","4,19212692",,
12/01/2009 14.00,"6,27608803","8,28561567",,
