Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
05/01/2014 9.00,"1,2","5,4","10,3","0,4","79,7","6,8",,,
05/01/2014 10.00,"1,1","5,6","11,8","0,3","77,8","6,8",,,
05/01/2014 11.00,"1,1","5,9","11,5","0,3","78,9","6,8",,,
05/01/2014 12.00,"1,2","5,6","11,0","0,2","83,3","6,8",,,
05/01/2014 13.00,"1,3","6,2","12,0","0,3","81,3","6,8",,,
05/01/2014 14.00,"1,5","5,9","10,6","0,3","78,9","6,8",,,
05/01/2014 15.00,"1,0","4,8","10,5","0,3","78,6","6,8",,,
05/01/2014 16.00,"1,1","5,7","11,2","0,3","78,9","6,8",,,
05/01/2014 17.00,"1,2","6,8","12,9","0,3","80,4","6,8",,,
05/01/2014 18.00,"0,9","7,5","13,9","0,3","78,2","6,8",,,
05/01/2014 19.00,"0,3","8,0","16,7","0,3","79,7","6,8",,,
05/01/2014 20.00,"0,1","11,7","21,5","0,3","76,5","6,8",,,
05/01/2014 21.00,,"15,3","26,2","0,2","69,8","6,8",,,
05/01/2014 22.00,,"11,3","19,0","0,1","76,5","6,8",,,
05/01/2014 23.00,,"13,4","22,5","0,1","69,0","6,8",,,
06/01/2014 0.00,,"14,8","23,8","0,1","67,7","6,8",,,
06/01/2014 1.00,,"13,8","23,3",,,"14,6",,,
06/01/2014 2.00,,,,,"63,3","14,6",,,
06/01/2014 3.00,,"11,4","20,1",,"69,8","14,6",,,
06/01/2014 4.00,,"8,4","12,5","0,3","64,8","14,6",,,
06/01/2014 5.00,,"6,5","11,7","0,5","61,8","14,6",,,
06/01/2014 6.00,"1,4","6,9","12,3","0,6","60,2","14,6",,,
06/01/2014 7.00,"1,5","11,2","18,9","0,6","49,1","14,6",,,
06/01/2014 8.00,"1,8","13,4","21,5","0,6","38,9","14,6",,,
06/01/2014 9.00,"1,3","17,7","31,1","0,7","39,2","14,6",,,
06/01/2014 10.00,"1,7","11,1","18,7","0,6","61,7","14,6",,,
06/01/2014 11.00,"2,5","7,3","13,1","0,5","77,9","14,6",,,
06/01/2014 12.00,"2,4","10,0","17,5","0,6","76,3","14,6",,,
06/01/2014 13.00,"2,8","10,4","17,4","0,6","78,4","14,6",,,
06/01/2014 14.00,"2,8","6,4","12,7","0,5","86,4","14,6",,,
06/01/2014 15.00,"2,7","5,6","10,9","0,5","82,6","14,6",,,
06/01/2014 16.00,"2,5","8,7","14,8","0,5","73,3","14,6",,,
06/01/2014 17.00,"2,8","17,1","25,3","0,6","59,8","14,6",,,
