Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
01/07/2014 20.00,"1,0","5,2","9,7","0,2","77,7","4,9",,,
01/07/2014 21.00,"1,0","3,6","6,9","0,2","81,9","4,9",,,
01/07/2014 22.00,"1,0","3,4","7,6","0,1","79,6","4,9",,,
01/07/2014 23.00,"0,7","3,5","7,8","0,2","71,1","4,9",,,
02/07/2014 0.00,"1,0","4,2","8,3","0,1","58,2","4,9",,,
02/07/2014 1.00,"0,9","3,4","6,7","0,1","51,0","6,4",,,
02/07/2014 2.00,"0,8","3,1","6,9","0,1","53,7","6,4",,,
02/07/2014 3.00,"0,6","3,1","6,3","0,1","56,2","6,4",,,
02/07/2014 4.00,"0,7","3,3","6,9","0,1","48,5","6,4",,,
02/07/2014 5.00,"0,8","4,8","8,6","0,1","44,2","6,4",,,
02/07/2014 6.00,"1,1","4,2","8,4","0,1","43,4","6,4",,,
02/07/2014 7.00,"3,2","5,2","9,5","0,2","66,4","6,4",,,
02/07/2014 8.00,"4,5","3,5","7,7","0,1","79,7","6,4",,,
02/07/2014 9.00,"5,0","4,0","7,9","0,2","89,8","6,4",,,
02/07/2014 10.00,"5,2","4,3","8,5","0,2","95,6","6,4",,,
02/07/2014 11.00,"3,4","3,6","6,8","0,1","107,2","6,4",,,
02/07/2014 12.00,"2,9","4,0","8,8","0,1","110,0","6,4",,,
02/07/2014 13.00,"2,2","3,0","6,7","0,2","101,9","6,4",,,
02/07/2014 14.00,"2,2","2,7","6,4","0,1","106,0","6,4",,,
02/07/2014 15.00,"2,2","2,9","6,5","0,1","110,2","6,4",,,
02/07/2014 16.00,"1,4","2,7","5,5","0,1","107,2","6,4",,,
02/07/2014 17.00,"1,2","2,8","6,5","0,1","104,4","6,4",,,
02/07/2014 18.00,"0,8","3,4","7,4","0,1","99,0","6,4",,,
02/07/2014 19.00,"0,4","4,4","8,3","0,1","91,1","6,4",,,
02/07/2014 20.00,"0,1","5,1","9,1","0,1","78,8","6,4",,,
02/07/2014 21.00,"0,1","5,0","9,0","0,2","73,7","6,4",,,
02/07/2014 22.00,"1,7","3,9","7,8","0,1","75,4","6,4",,,
02/07/2014 23.00,"3,2","3,7","8,0","0,1","76,2","6,4",,,
03/07/2014 0.00,"2,7","3,8","7,5","0,1","73,1","6,4",,,
03/07/2014 1.00,"2,3","3,8","7,5","0,1",,"8,5",,,
03/07/2014 2.00,"2,2",,,"0,1","61,5","8,5",,,
03/07/2014 3.00,"2,4","2,5","6,5",,"64,9","8,5",,,
03/07/2014 4.00,"2,6","3,9","7,4","0,3","47,2","8,5",,,
03/07/2014 5.00,,"7,4","12,3","0,3","22,5","8,5",,,
03/07/2014 6.00,"2,7","6,5","12,7","0,3","38,3","8,5",,,
03/07/2014 7.00,"4,4","6,6","11,8","0,3","61,8","8,5",,,
03/07/2014 8.00,"5,6","5,6","10,2","0,3","79,3","8,5",,,
03/07/2014 9.00,"6,2","4,6","8,7","0,3","94,0","8,5",,,
03/07/2014 10.00,"4,8","4,1","8,9","0,2","98,8","8,5",,,
03/07/2014 11.00,"3,9","4,3","8,3","0,3","102,1","8,5",,,
03/07/2014 12.00,"4,2","3,8","7,7","0,3","103,8","8,5",,,
03/07/2014 13.00,"3,7","2,9","7,5","0,3","101,7","8,5",,,
03/07/2014 14.00,"2,9","3,0","6,8","0,2","103,1","8,5",,,
03/07/2014 15.00,"2,4","3,0","6,7","0,2","102,0","8,5",,,
03/07/2014 16.00,"1,7","3,0","6,4","0,2","106,9","8,5",,,
03/07/2014 17.00,"3,0","4,2","9,0","0,3","108,1","8,5",,,
03/07/2014 18.00,"4,9","5,0","9,7","0,3","89,5","8,5",,,
03/07/2014 19.00,"11,8","7,6","12,7","0,2","76,5","8,5",,,
03/07/2014 20.00,"18,0","9,4","14,9","0,2","67,8","8,5",,,
03/07/2014 21.00,"17,1","8,7","14,2","0,2","65,7","8,5",,,
03/07/2014 22.00,"8,5","5,5","9,9","0,2","74,5","8,5",,,
03/07/2014 23.00,"2,8","4,5","8,4","0,2","78,7","8,5",,,
04/07/2014 0.00,"1,4","4,5","8,8","0,2","76,2","8,5",,,
04/07/2014 1.00,"1,8","3,7","7,5","0,2","88,6","8,0",,,
04/07/2014 2.00,"3,4","4,6","8,6","0,2","79,6","8,0",,,
04/07/2014 3.00,"2,0","3,2","5,9","0,2","88,6","8,0",,,
04/07/2014 4.00,"1,6","3,1","6,8","0,2","86,1","8,0",,,
04/07/2014 5.00,"1,6","4,0","8,2","0,2","77,3","8,0",,,
04/07/2014 6.00,"1,5","4,0","7,8","0,3","78,3","8,0",,,
04/07/2014 7.00,"2,6","4,2","7,6","0,3","80,7","8,0",,,
04/07/2014 8.00,"4,5","3,9","8,1","0,3","81,5","8,0",,,
04/07/2014 9.00,"4,2","3,8","7,2","0,2","90,5","8,0",,,
04/07/2014 10.00,"3,8","3,7","8,1","0,2","95,8","8,0",,,
04/07/2014 11.00,"2,5","3,5","7,7","0,2","96,3","8,0",,,
04/07/2014 12.00,"2,6","3,4","8,0","0,2","98,1","8,0",,,
04/07/2014 13.00,"2,7","3,0","6,1","0,2","102,8","8,0",,,
04/07/2014 14.00,"2,0","3,0","6,3","0,1","106,3","8,0",,,
04/07/2014 15.00,"2,2","2,9","6,8","0,1","106,4","8,0",,,
04/07/2014 16.00,"2,7","3,6","8,0","0,2","106,5","8,0",,,
04/07/2014 17.00,"3,1","4,6","9,7","0,2","104,5","8,0",,,
04/07/2014 18.00,"2,9","4,8","9,1","0,2","99,5","8,0",,,
04/07/2014 19.00,"2,2","5,2","9,8","0,2","96,4","8,0",,,
04/07/2014 20.00,"2,1","6,4","11,2","0,2","87,5","8,0",,,
04/07/2014 21.00,"1,1","4,8","9,0","0,2","89,8","8,0",,,
04/07/2014 22.00,"1,5","5,2","9,7","0,2","84,7","8,0",,,
04/07/2014 23.00,"2,0","5,0","9,0","0,2","79,8","8,0",,,
05/07/2014 0.00,"1,7","4,3","8,7","0,2","73,0","8,0",,,
05/07/2014 1.00,"1,8","5,0","9,3","0,2",,"10,1",,,
05/07/2014 2.00,"1,5",,,"0,2","68,2","10,1",,,
05/07/2014 3.00,"1,6","4,0","7,8",,"70,0","10,1",,,
05/07/2014 4.00,"1,8","3,5","7,1","0,2","60,8","10,1",,,
05/07/2014 5.00,,"3,9","7,1","0,2","56,3","10,1",,,
05/07/2014 6.00,"1,6","5,5","9,9","0,3","52,8","10,1",,,
05/07/2014 7.00,"2,6","4,4","8,5","0,3","61,8","10,1",,,
05/07/2014 8.00,"5,5","5,0","9,4","0,3","83,4","10,1",,,
05/07/2014 9.00,"7,4","3,4","7,4","0,3","97,2","10,1",,,
05/07/2014 10.00,"4,6","3,3","7,0","0,2","108,2","10,1",,,
05/07/2014 11.00,"3,3","3,2","7,5","0,2","110,8","10,1",,,
05/07/2014 12.00,"2,8","3,2","6,9","0,1","110,5","10,1",,,
05/07/2014 13.00,"2,2","2,7","6,0","0,2","112,4","10,1",,,
05/07/2014 14.00,"1,9","2,6","6,3","0,1","113,4","10,1",,,
05/07/2014 15.00,"2,0","2,6","6,5","0,2","112,6","10,1",,,
05/07/2014 16.00,"1,3","2,6","5,9","0,2","111,1","10,1",,,
05/07/2014 17.00,"1,8","2,4","6,5","0,1","113,2","10,1",,,
05/07/2014 18.00,"2,0","3,3","7,2","0,2","109,2","10,1",,,
05/07/2014 19.00,"0,6","3,5","7,7","0,2","101,4","10,1",,,
05/07/2014 20.00,"0,2","3,6","7,6","0,2","94,9","10,1",,,
05/07/2014 21.00,"0,2","4,1","8,3","0,2","91,0","10,1",,,
05/07/2014 22.00,"0,9","5,1","9,1","0,2","82,4","10,1",,,
05/07/2014 23.00,"1,3","4,4","8,4","0,2","78,6","10,1",,,
06/07/2014 0.00,"1,0","4,9","8,6","0,2","74,8","10,1",,,
06/07/2014 1.00,"1,2","3,5","7,7","0,1","74,0","10,9",,,
06/07/2014 2.00,"1,2","3,1","6,6","0,1","74,9","10,9",,,
06/07/2014 3.00,"0,9","3,0","7,0","0,1","76,1","10,9",,,
06/07/2014 4.00,"1,0","3,1","6,1","0,1","68,6","10,9",,,
06/07/2014 5.00,"1,1","3,9","7,5","0,2","54,5","10,9",,,
06/07/2014 6.00,"1,6","4,1","8,3","0,1","57,0","10,9",,,
06/07/2014 7.00,"2,2","2,9","6,2","0,1","80,5","10,9",,,
06/07/2014 8.00,"3,2","2,7","5,9","0,1","95,8","10,9",,,
06/07/2014 9.00,"3,6","2,9","6,8","0,1","96,9","10,9",,,
06/07/2014 10.00,"2,3","2,9","6,8","0,1","97,8","10,9",,,
06/07/2014 11.00,"1,2","2,3","5,7","0,4","96,1","10,9",,,
06/07/2014 12.00,"1,8","2,3","6,8","0,4","101,4","10,9",,,
06/07/2014 13.00,"2,5","2,3","5,6","0,3","103,4","10,9",,,
06/07/2014 14.00,"3,1","2,4","5,8","0,3","102,1","10,9",,,
06/07/2014 15.00,"3,3","2,0","5,2","0,3","104,5","10,9",,,
06/07/2014 16.00,"3,1","2,4","5,8","0,3","100,3","10,9",,,
06/07/2014 17.00,"3,1","2,5","5,6","0,2","103,5","10,9",,,
06/07/2014 18.00,"2,9","2,7","6,2","0,3","102,2","10,9",,,
06/07/2014 19.00,"2,6","3,9","8,5","0,4","92,8","10,9",,,
06/07/2014 20.00,"0,9","3,9","8,9","0,3","89,0","10,9",,,
06/07/2014 21.00,"0,8","5,1","9,1","0,3","77,5","10,9",,,
06/07/2014 22.00,"2,5","5,1","9,3","0,3","69,3","10,9",,,
06/07/2014 23.00,"2,0","4,9","9,1","0,3","62,4","10,9",,,
07/07/2014 0.00,"1,8","4,1","7,6","0,2","55,2","10,9",,,
07/07/2014 1.00,"1,2","3,4","7,0","0,4",,"11,9",,,
07/07/2014 2.00,"1,5",,,"0,4","53,8","11,9",,,
07/07/2014 3.00,"1,1","3,6","8,0",,"47,5","11,9",,,
07/07/2014 4.00,"1,3","3,1","6,4","0,3","40,0","11,9",,,
07/07/2014 5.00,,"4,7","9,0","0,3","40,3","11,9",,,
07/07/2014 6.00,"1,0","5,4","10,5","0,3","51,5","11,9",,,
07/07/2014 7.00,"1,6","4,2","8,3","0,3","63,3","11,9",,,
07/07/2014 8.00,"3,5","3,3","6,7","0,3","70,1","11,9",,,
07/07/2014 9.00,"4,9","3,9","8,0","0,2","82,5","11,9",,,
07/07/2014 10.00,"3,4","3,9","8,1","0,1","92,1","11,9",,,
07/07/2014 11.00,"1,5","3,1","7,0","0,1","94,7","11,9",,,
07/07/2014 12.00,"1,8","3,5","7,1","0,1","97,0","11,9",,,
07/07/2014 13.00,"1,3","3,2","6,8",,"98,4","11,9",,,
07/07/2014 14.00,"1,7","2,4","6,1",,"99,4","11,9",,,
07/07/2014 15.00,"1,1","2,9","7,1",,"97,3","11,9",,,
07/07/2014 16.00,"0,1","3,0","6,6",,"100,3","11,9",,,
07/07/2014 17.00,,"3,5","7,3",,"95,2","11,9",,,
07/07/2014 18.00,,"4,1","8,3",,"92,1","11,9",,,
07/07/2014 19.00,,"6,8","12,0",,"80,9","11,9",,,
07/07/2014 20.00,,"6,2","10,5",,"88,3","11,9",,,
07/07/2014 21.00,,"4,8","8,8",,"92,4","11,9",,,
07/07/2014 22.00,"1,4","4,2","8,2",,"83,2","11,9",,,
07/07/2014 23.00,"3,6","10,1","15,7",,"58,9","11,9",,,
08/07/2014 0.00,"3,5","12,3","18,4",,"45,2","11,9",,,
08/07/2014 1.00,"2,8","8,5","13,6",,"52,5","11,1",,,
08/07/2014 2.00,"2,9","7,9","12,4",,"43,8","11,1",,,
08/07/2014 3.00,"3,4","7,1","12,0",,"56,2","11,1",,,
08/07/2014 4.00,"4,1","3,5","7,1",,"64,2","11,1",,,
08/07/2014 5.00,"3,9","3,2","6,9",,"63,0","11,1",,,
08/07/2014 6.00,"4,6","5,1","9,4",,"65,6","11,1",,,
08/07/2014 7.00,"7,6","4,4","8,8",,"71,9","11,1",,,
08/07/2014 8.00,"8,6","3,5","7,1",,"84,4","11,1",,,
08/07/2014 9.00,"8,9","3,3","7,0",,"88,3","11,1",,,
08/07/2014 10.00,"4,1","3,5","7,5",,"87,7","11,1",,,
08/07/2014 11.00,"0,7","3,2","6,4",,"90,7","11,1",,,
08/07/2014 12.00,"0,6","2,5","6,1",,"85,2","11,1",,,
08/07/2014 13.00,"0,3","2,3","6,2",,"87,4","11,1",,,
08/07/2014 14.00,"0,1","1,9","5,1",,"87,3","11,1",,,
08/07/2014 15.00,"0,5","2,2","4,9",,"87,3","11,1",,,
08/07/2014 16.00,"0,2","2,3","6,6",,"89,5","11,1",,,
08/07/2014 17.00,"0,2","2,6","6,4",,"93,4","11,1",,,
08/07/2014 18.00,"0,2","2,9","8,5",,"91,4","11,1",,,
08/07/2014 19.00,,"3,2","7,8",,"83,8","11,1",,,
08/07/2014 20.00,,"3,5","7,5",,"78,4","11,1",,,
08/07/2014 21.00,,"2,4","6,2",,"78,0","11,1",,,
08/07/2014 22.00,"0,7","3,0","6,7",,"76,9","11,1",,,
08/07/2014 23.00,"1,1","2,7","7,3",,"77,8","11,1",,,
09/07/2014 0.00,"3,3","2,5","6,2",,"78,4","11,1",,,
09/07/2014 1.00,"3,2","2,4","6,2",,,"4,2",,,
09/07/2014 2.00,"3,5",,,,"77,3","4,2",,,
09/07/2014 3.00,"3,6","2,2","5,4",,"75,8","4,2",,,
09/07/2014 4.00,"3,5","2,5","5,9",,"73,7","4,2",,,
09/07/2014 5.00,,"3,0","7,6",,"68,8","4,2",,,
09/07/2014 6.00,"4,4","4,7","8,8",,"60,3","4,2",,,
09/07/2014 7.00,"5,1","4,4","8,4",,"69,4","4,2",,,
09/07/2014 8.00,"5,3","3,0","6,8",,"77,8","4,2",,,
09/07/2014 9.00,"0,7","2,8","7,0",,"78,5","4,2",,,
09/07/2014 10.00,"3,4","3,0","7,3",,"79,3","4,2",,,
09/07/2014 11.00,"5,1","2,5","6,1",,"80,4","4,2",,,
09/07/2014 12.00,"5,7","2,8","7,2",,"84,8","4,2",,,
09/07/2014 13.00,"5,7","2,5","6,6",,"91,4","4,2",,,
09/07/2014 14.00,"6,2","2,3","6,1",,"98,8","4,2",,,
09/07/2014 15.00,"6,7","2,7","6,7",,"98,8","4,2",,,
09/07/2014 16.00,"5,7","2,2","6,2",,"98,7","4,2",,,
09/07/2014 17.00,"5,8","2,3","6,2",,"86,2","4,2",,,
09/07/2014 18.00,"5,0","2,7","8,0",,"79,1","4,2",,,
09/07/2014 19.00,"4,3","3,4","8,8",,"75,1","4,2",,,
09/07/2014 20.00,"3,4","3,3","7,6",,"74,0","4,2",,,
09/07/2014 21.00,"2,9","3,1","7,0",,"72,2","4,2",,,
09/07/2014 22.00,"2,9","2,9","6,4",,"70,5","4,2",,,
09/07/2014 23.00,"2,7","2,9","7,3",,"71,2","4,2",,,
10/07/2014 0.00,"2,8","2,8","7,0",,"68,8","4,2",,,
10/07/2014 1.00,"2,9","2,8","6,2",,"70,2","4,2",,,
10/07/2014 2.00,"2,9","2,6","7,4",,"69,4","4,2",,,
10/07/2014 3.00,"3,0","2,7","6,2",,"66,5","4,2",,,
10/07/2014 4.00,"3,3","2,9","6,5",,"63,3","4,2",,,
10/07/2014 5.00,"3,3","2,8","6,2",,"60,0","4,2",,,
10/07/2014 6.00,"3,1","4,0","7,6",,"60,5","4,2",,,
10/07/2014 7.00,"4,3","3,4","7,9",,"69,7","4,2",,,
10/07/2014 8.00,"5,8","2,8","6,6",,"76,7","4,2",,,
10/07/2014 9.00,"6,1","3,0","6,8",,"79,4","4,2",,,
10/07/2014 10.00,"4,6","2,8","6,0",,"81,9","4,2",,,
10/07/2014 11.00,"2,7","2,6","6,9",,"82,4","4,2",,,
10/07/2014 12.00,"3,3","2,5","6,9",,"81,3","4,2",,,
10/07/2014 13.00,"2,3","2,8","6,7",,"81,3","4,2",,,
10/07/2014 14.00,"2,4","2,0","5,5",,"81,8","4,2",,,
10/07/2014 15.00,"3,2","2,3","6,8",,"85,3","4,2",,,
10/07/2014 16.00,"3,8","2,3","6,2",,"87,7","4,2",,,
10/07/2014 17.00,"2,3","2,9","7,7",,"86,7","4,2",,,
10/07/2014 18.00,"1,5","3,4","7,7",,"80,0","4,2",,,
10/07/2014 19.00,"0,9","3,5","8,1",,"75,9","4,2",,,
10/07/2014 20.00,"0,6","3,5","7,4",,"78,8","4,2",,,
10/07/2014 21.00,"0,5","3,0","7,4",,"77,8","4,2",,,
10/07/2014 22.00,"1,5","2,6","6,4",,"77,7","4,2",,,
10/07/2014 23.00,"3,2","3,9","7,8",,"69,7","4,2",,,
11/07/2014 0.00,"3,5","3,9","8,5",,"70,7","4,2",,,
11/07/2014 1.00,"3,4","3,5","8,0",,,"8,5",,,
11/07/2014 2.00,"3,8",,,,"74,8","8,5",,,
11/07/2014 3.00,"4,0","3,4","7,3",,"74,0","8,5",,,
11/07/2014 4.00,"4,4","3,3","7,0",,"64,9","8,5",,,
11/07/2014 5.00,,"4,9","8,9",,"57,1","8,5",,,
11/07/2014 6.00,"4,5","5,2","9,5",,"55,6","8,5",,,
11/07/2014 7.00,"4,9","4,2","9,1",,"71,1","8,5",,,
11/07/2014 8.00,"5,6","4,9","9,5",,"76,1","8,5",,,
11/07/2014 9.00,"6,2","4,4","8,1",,"83,8","8,5",,,
11/07/2014 10.00,"3,4","3,5","7,6",,"92,6","8,5",,,
11/07/2014 11.00,"4,0","3,5","7,4",,"96,7","8,5",,,
11/07/2014 12.00,"5,3","3,6","7,9",,"101,9","8,5",,,
11/07/2014 13.00,"7,4","3,6","8,3",,"105,8","8,5",,,
11/07/2014 14.00,"6,5","2,9","7,0",,"105,3","8,5",,,
11/07/2014 15.00,"5,6","2,8","5,4",,"97,9","8,5",,,
11/07/2014 16.00,"5,6","3,7","8,2","0,4","96,8","8,5",,,
11/07/2014 17.00,"4,5","4,6","9,7","0,4","92,0","8,5",,,
11/07/2014 18.00,"3,5","5,8","10,6","0,4","81,6","8,5",,,
11/07/2014 19.00,"3,1","5,3","9,8","0,4","75,4","8,5",,,
11/07/2014 20.00,"3,1","5,9","10,7","0,5","58,3","8,5",,,
11/07/2014 21.00,"2,7","5,6","10,3","0,5","57,2","8,5",,,
11/07/2014 22.00,"1,6","5,7","10,5","0,5","60,0","8,5",,,
11/07/2014 23.00,"0,9","8,1","12,8","0,5","50,2","8,5",,,
12/07/2014 0.00,"1,0","8,8","14,2","0,5","45,5","8,5",,,
12/07/2014 1.00,"0,9","6,6","11,1","0,5","47,8","6,2",,,
12/07/2014 2.00,"0,3","5,2","9,4","0,4","53,6","6,2",,,
12/07/2014 3.00,"0,5","5,0","8,9","0,4","51,8","6,2",,,
12/07/2014 4.00,"0,5","6,6","11,0","0,4","32,1","6,2",,,
12/07/2014 5.00,"0,4","7,1","12,6","0,4","33,0","6,2",,,
12/07/2014 6.00,"0,6","6,2","10,8","0,4","49,5","6,2",,,
12/07/2014 7.00,"0,5","3,6","7,7","0,4","68,8","6,2",,,
12/07/2014 8.00,"1,7","5,1","9,9","0,4","80,6","6,2",,,
12/07/2014 9.00,"2,7","3,8","8,3","0,4","99,9","6,2",,,
12/07/2014 10.00,"2,8","3,9","8,6","0,4","107,0","6,2",,,
12/07/2014 11.00,"4,2","3,8","8,6","0,5","112,6","6,2",,,
12/07/2014 12.00,"4,0","3,7","7,5","0,5","109,3","6,2",,,
12/07/2014 13.00,"3,7","3,1","7,7","0,4","111,0","6,2",,,
12/07/2014 14.00,"3,9","2,6","5,9","0,5","113,6","6,2",,,
12/07/2014 15.00,"5,1","3,2","8,2","0,5","113,6","6,2",,,
12/07/2014 16.00,"4,7","2,4","5,7","0,5","111,1","6,2",,,
12/07/2014 17.00,"5,2","2,7","6,9","0,4","105,6","6,2",,,
12/07/2014 18.00,"5,0","3,0","7,1","0,5","101,4","6,2",,,
12/07/2014 19.00,"4,7","3,7","8,3","0,5","95,5","6,2",,,
12/07/2014 20.00,"3,3","3,7","8,0","0,5","87,2","6,2",,,
12/07/2014 21.00,"2,5","4,5","8,9","0,5","80,5","6,2",,,
12/07/2014 22.00,"2,6","4,1","8,4","0,5","77,0","6,2",,,
12/07/2014 23.00,"3,0","4,0","8,8","0,5","74,2","6,2",,,
13/07/2014 0.00,"3,1","5,4","10,4","0,5","61,7","6,2",,,
13/07/2014 1.00,"3,5","4,6","8,5","0,5",,"4,0",,,
13/07/2014 2.00,"3,1",,,"0,5","58,9","4,0",,,
13/07/2014 3.00,"3,2","3,6","7,8",,"57,1","4,0",,,
13/07/2014 4.00,"3,2","3,5","8,3","0,5","52,7","4,0",,,
13/07/2014 5.00,,"3,0","7,4","0,5","60,1","4,0",,,
13/07/2014 6.00,"3,1","3,3","7,3","0,5","62,0","4,0",,,
13/07/2014 7.00,"5,2","2,8","6,3","0,5","74,8","4,0",,,
13/07/2014 8.00,"3,0","2,4","6,0","0,4","86,3","4,0",,,
13/07/2014 9.00,"0,3","2,2","5,6","0,4","90,8","4,0",,,
13/07/2014 10.00,"5,0","2,0","5,5","0,4","89,1","4,0",,,
13/07/2014 11.00,"3,0","2,2","6,6","0,4","88,3","4,0",,,
13/07/2014 12.00,,"2,8","5,9","0,4","90,8","4,0",,,
13/07/2014 13.00,,"2,0","5,9","0,4","90,5","4,0",,,
13/07/2014 14.00,,"1,9","5,6","0,4","91,1","4,0",,,
13/07/2014 15.00,,"1,8","5,5","0,4","89,0","4,0",,,
13/07/2014 16.00,,"1,9","5,6","0,4","88,4","4,0",,,
13/07/2014 17.00,,"2,2","6,1","0,4","89,1","4,0",,,
13/07/2014 18.00,,"2,5","6,8","0,4","88,1","4,0",,,
13/07/2014 19.00,,"3,2","7,0","0,4","82,8","4,0",,,
13/07/2014 20.00,,"4,2","8,9","0,5","82,1","4,0",,,
13/07/2014 21.00,,"3,9","8,0","0,4","85,2","4,0",,,
13/07/2014 22.00,"1,3","4,4","8,3","0,4","81,9","4,0",,,
13/07/2014 23.00,"2,6","6,0","10,2","0,5","66,2","4,0",,,
14/07/2014 0.00,"3,2","4,2","8,8","0,4","64,4","4,0",,,
14/07/2014 1.00,"1,9","3,2","6,9","0,4","64,4","5,5",,,
14/07/2014 2.00,"1,7","2,8","7,3","0,4","64,8","5,5",,,
14/07/2014 3.00,"1,5","2,7","6,6","0,4","66,7","5,5",,,
14/07/2014 4.00,"1,0","2,9","6,9","0,4","61,9","5,5",,,
14/07/2014 5.00,"1,0","2,8","6,4","0,4","57,8","5,5",,,
14/07/2014 6.00,"1,4","3,7","8,1","0,4","53,1","5,5",,,
14/07/2014 7.00,"2,3","4,2","9,1","0,5","59,4","5,5",,,
14/07/2014 8.00,"3,9","3,8","7,5","0,5","74,0","5,5",,,
14/07/2014 9.00,"5,1","3,8","8,5","0,5","75,8","5,5",,,
14/07/2014 10.00,"3,7","3,3","7,5","0,5","81,9","5,5",,,
14/07/2014 11.00,"3,0","3,2","7,2","0,5","88,3","5,5",,,
14/07/2014 12.00,"2,0","3,6","8,4","0,5","88,2","5,5",,,
14/07/2014 13.00,"0,3","3,4","8,3","0,5","83,2","5,5",,,
14/07/2014 14.00,"0,3","3,0","7,2","0,5","87,5","5,5",,,
14/07/2014 15.00,"0,4","2,9","6,6","0,5","90,3","5,5",,,
14/07/2014 16.00,"0,8","2,5","6,7","0,4","88,2","5,5",,,
14/07/2014 17.00,"0,4","3,8","8,7","0,4","89,0","5,5",,,
14/07/2014 18.00,"0,2","4,6","8,8","0,4","82,8","5,5",,,
14/07/2014 19.00,"0,1","4,1","9,3","0,4","81,1","5,5",,,
14/07/2014 20.00,"0,1","4,4","8,4","0,4","74,2","5,5",,,
14/07/2014 21.00,"0,1","3,4","7,6","0,4","75,6","5,5",,,
14/07/2014 22.00,"0,2","4,3","9,8","0,4","70,7","5,5",,,
14/07/2014 23.00,"0,3","3,9","8,0","0,4","66,3","5,5",,,
15/07/2014 0.00,"0,3","4,0","8,4","0,4","61,7","5,5",,,
15/07/2014 1.00,"0,3","3,7","7,8","0,4",,"4,4",,,
15/07/2014 2.00,"0,5",,,"0,4","60,3","4,4",,,
15/07/2014 3.00,"0,4","3,0","7,2",,"63,0","4,4",,,
15/07/2014 4.00,"0,3","3,2","6,8","0,4","62,9","4,4",,,
15/07/2014 5.00,,"3,6","7,9","0,4","56,2","4,4",,,
15/07/2014 6.00,"0,3","7,0","12,3","0,5","48,2","4,4",,,
15/07/2014 7.00,"0,4","4,9","9,8","0,4","78,5","4,4",,,
15/07/2014 8.00,"0,4","4,7","9,6","0,5","80,7","4,4",,,
15/07/2014 9.00,"0,3","5,0","9,9","0,5","77,3","4,4",,,
15/07/2014 10.00,"0,5","5,5","10,1","0,5","72,4","4,4",,,
15/07/2014 11.00,"1,7","4,6","9,4","0,6","81,4","4,4",,,
15/07/2014 12.00,"1,7","3,3","7,3","0,5","89,9","4,4",,,
15/07/2014 13.00,"2,3","3,3","7,8","0,5","92,2","4,4",,,
15/07/2014 14.00,"2,0","2,2","5,8","0,5","93,6","4,4",,,
15/07/2014 15.00,"1,9","3,0","7,8","0,5","90,9","4,4",,,
15/07/2014 16.00,"1,8","3,5","7,1","0,5","90,1","4,4",,,
15/07/2014 17.00,"3,4","4,2","9,0","0,5","90,1","4,4",,,
15/07/2014 18.00,"2,7","3,9","8,6","0,5","88,3","4,4",,,
15/07/2014 19.00,"2,3","4,3","9,2","0,5","81,9","4,4",,,
15/07/2014 20.00,"2,6","6,1","11,1","0,5","75,2","4,4",,,
15/07/2014 21.00,"3,1","5,9","10,4","0,5","71,3","4,4",,,
15/07/2014 22.00,"2,8","4,3","8,6","0,5","74,9","4,4",,,
15/07/2014 23.00,"2,4","4,5","8,9","0,5","73,0","4,4",,,
16/07/2014 0.00,"2,2","3,6","7,5","0,5","73,1","4,4",,,
16/07/2014 1.00,"1,9","3,2","7,0","0,5","73,9","9,7",,,
16/07/2014 2.00,"1,9","3,2","7,5","0,5","69,8","9,7",,,
16/07/2014 3.00,"1,7","3,1","7,2","0,5","65,7","9,7",,,
16/07/2014 4.00,"2,2","2,9","6,8","0,5","65,8","9,7",,,
16/07/2014 5.00,"1,9","3,2","7,1","0,5","62,6","9,7",,,
16/07/2014 6.00,"2,4","3,6","7,3","0,5","63,9","9,7",,,
16/07/2014 7.00,"3,1","4,0","8,6","0,5","69,0","9,7",,,
16/07/2014 8.00,"4,3","3,6","7,5","0,5","82,6","9,7",,,
16/07/2014 9.00,"5,3","3,1","6,9","0,5","91,9","9,7",,,
16/07/2014 10.00,"5,6","3,4","7,8","0,5","94,7","9,7",,,
16/07/2014 11.00,"3,8","3,2","7,6","0,3","103,7","9,7",,,
16/07/2014 12.00,"3,7","3,4","7,6","0,4","102,1","9,7",,,
16/07/2014 13.00,"3,8","2,8","6,7","0,4","107,8","9,7",,,
16/07/2014 14.00,"3,5","2,1","6,1","0,4","106,7","9,7",,,
16/07/2014 15.00,"3,1","2,6","7,1","0,3","109,6","9,7",,,
16/07/2014 16.00,"2,9","2,6","6,7","0,4","108,7","9,7",,,
16/07/2014 17.00,"3,0","3,4","7,7","0,4","106,2","9,7",,,
16/07/2014 18.00,"4,5","5,3","10,5","0,4","100,3","9,7",,,
16/07/2014 19.00,"8,5","7,6","13,2","0,4","87,4","9,7",,,
16/07/2014 20.00,"6,4","6,6","11,6","0,4","91,5","9,7",,,
16/07/2014 21.00,"3,1","5,5","10,4","0,4","96,4","9,7",,,
16/07/2014 22.00,"3,1","4,1","8,3","0,4","104,7","9,7",,,
