,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
06/01/2014 18.00,"1,1",,,"11,4","8,5","0,7","0,3",
06/01/2014 19.00,"1,2",,,"11,4","8,5","0,7","0,3",
06/01/2014 20.00,"1,3",,,"11,4","8,5","1,0","0,4",
06/01/2014 21.00,"1,1",,,"11,4","8,5","1,0","0,4",
06/01/2014 22.00,"1,5",,,"11,4","8,5","1,2","0,6",
06/01/2014 23.00,"1,7",,,"11,4","8,5","1,5","0,7",
07/01/2014 0.00,"1,5",,,"11,4","8,5","1,9","0,6",
07/01/2014 1.00,"1,5",,,"31,6","18,7","1,5","0,5",
07/01/2014 2.00,"1,6",,,"31,6","18,7","1,4","0,4",
07/01/2014 3.00,"1,9",,,"31,6","18,7","0,9","0,5",
07/01/2014 4.00,"1,4",,,"31,6","18,7","1,1","0,4",
07/01/2014 5.00,"1,4",,,"31,6","18,7","1,0","0,4",
07/01/2014 6.00,"1,8",,,"31,6","18,7","1,2","0,4",
07/01/2014 7.00,"2,1",,,"31,6","18,7","1,0","0,5",
07/01/2014 8.00,"2,2",,,"31,6","18,7","1,3","0,8",
07/01/2014 9.00,"2,9",,,"31,6","18,7","2,5","1,2",
07/01/2014 10.00,"2,4",,,"31,6","18,7","3,4","0,9",
07/01/2014 11.00,"2,4",,,"31,6","18,7","2,1","0,8",
07/01/2014 12.00,"2,1",,,"31,6","18,7","1,8","0,4",
07/01/2014 13.00,"2,4",,,"31,6","18,7","1,0","0,6",
07/01/2014 14.00,"2,8",,,"31,6","18,7","1,8","0,6",
07/01/2014 15.00,"3,0",,,"31,6","18,7","1,4","0,5",
07/01/2014 16.00,"3,3",,,"31,6","18,7","1,0","0,5",
07/01/2014 17.00,"3,3",,,"31,6","18,7","1,2","1,5",
07/01/2014 18.00,"5,2",,,"31,6","18,7","5,9","2,3",
07/01/2014 19.00,"5,0",,,"31,6","18,7","8,6","2,2",
07/01/2014 20.00,"4,0",,,"31,6","18,7","4,9","1,8",
07/01/2014 21.00,"3,4",,,"31,6","18,7","6,0","1,4",
07/01/2014 22.00,"2,6",,,"31,6","18,7","3,2","0,9",
07/01/2014 23.00,"2,6",,,"31,6","18,7","3,1","1,2",
08/01/2014 0.00,"3,0",,,"31,6","18,7","3,7","1,1",
08/01/2014 1.00,,,,"28,8","20,7","3,3","1,1",
08/01/2014 2.00,"0,5",,,"28,8","20,7","3,3","0,9",
08/01/2014 3.00,"0,4",,,"28,8","20,7","2,7",,
08/01/2014 4.00,"0,4",,,"28,8","20,7","2,4","0,5",
08/01/2014 5.00,"0,4",,,"28,8","20,7","2,1","0,5",
08/01/2014 6.00,"0,3",,,"28,8","20,7","1,3","0,4",
08/01/2014 7.00,"0,6",,,"28,8","20,7","1,4","0,8",
08/01/2014 8.00,"2,2",,,"28,8","20,7","2,8","1,7",
08/01/2014 9.00,"3,8",,,"28,8","20,7","6,8","2,8",
08/01/2014 10.00,"1,6",,,"28,8","20,7","7,3","1,3",
08/01/2014 11.00,"0,8",,,"28,8","20,7","2,7","0,6",
08/01/2014 12.00,"0,7",,,"28,8","20,7","2,0","0,5",
08/01/2014 13.00,"0,4",,,"28,8","20,7","1,1","0,4",
08/01/2014 14.00,"0,4",,,"28,8","20,7","1,1","0,4",
08/01/2014 15.00,"0,2","193,7","34,2","28,8","20,7","1,0","0,3",
08/01/2014 16.00,"0,2","46,0","38,4","28,8","20,7","1,2","0,4",
08/01/2014 17.00,"0,1","62,3","49,6","28,8","20,7","1,0","0,4",
08/01/2014 18.00,"0,2","99,7","67,7","28,8","20,7","1,0","0,5",
08/01/2014 19.00,"0,3","241,4","97,0","28,8","20,7","2,2","1,3",
08/01/2014 20.00,"0,4","204,5","93,1","28,8","20,7","3,8","1,3",
08/01/2014 21.00,"0,1","92,9","66,7","28,8","20,7","2,7","0,6",
08/01/2014 22.00,"0,1","55,3","46,1","28,8","20,7","1,4","0,3",
08/01/2014 23.00,,"48,9","42,2","28,8","20,7","1,3","0,3",
09/01/2014 0.00,,"39,6","30,2","28,8","20,7","0,9","0,3",
09/01/2014 1.00,,"46,8","38,1","35,2","24,4","1,0","0,4",
09/01/2014 2.00,,"48,7","40,2","35,2","24,4","1,2","0,4",
09/01/2014 3.00,,"49,6","35,9","35,2","24,4","1,1","0,4",
09/01/2014 4.00,,"35,3","29,0","35,2","24,4","0,9","0,5",
09/01/2014 5.00,,"33,6","28,1","35,2","24,4","0,9","0,4",
09/01/2014 6.00,,"51,4","39,2","35,2","24,4","1,0","0,4",
09/01/2014 7.00,,"87,1","49,1","35,2","24,4","1,0","0,6",
09/01/2014 8.00,"0,1","156,8","67,2","35,2","24,4","1,9","0,8",
09/01/2014 9.00,"0,4","310,8","85,4","35,2","24,4","3,1","1,5",
09/01/2014 10.00,"0,1","145,1","68,2","35,2","24,4","3,6","0,8",
09/01/2014 11.00,"0,2","137,8","63,5","35,2","24,4","2,0","1,0",
09/01/2014 12.00,"0,4","111,7","57,6","35,2","24,4","2,4","0,7",
09/01/2014 13.00,"0,3","94,2","52,0","35,2","24,4","1,9","0,7",
09/01/2014 14.00,"0,5","66,1","39,9","35,2","24,4","1,7","0,5",
09/01/2014 15.00,"0,2","43,1","29,2","35,2","24,4","1,1","0,4",
09/01/2014 16.00,"0,4","73,1","46,7","35,2","24,4","1,0","0,5",
09/01/2014 17.00,"0,3","174,0","87,7","35,2","24,4","1,7","0,9",
09/01/2014 18.00,"0,6","302,8","102,7","35,2","24,4","2,8","1,4",
09/01/2014 19.00,"0,6","343,1","106,7","35,2","24,4","4,2","1,5",
09/01/2014 20.00,"1,1","396,6","110,1","35,2","24,4","5,9","2,2",
09/01/2014 21.00,"0,4","211,0","90,4","35,2","24,4","5,2","1,2",
09/01/2014 22.00,"0,2","104,3","61,8","35,2","24,4","3,2","0,8",
09/01/2014 23.00,"0,1","91,6","57,8","35,2","24,4","2,2","0,6",
10/01/2014 0.00,"0,1","62,4","47,9","35,2","24,4","1,9","0,5",
10/01/2014 1.00,,"57,0","39,4","35,0","26,4","1,4","0,4",
10/01/2014 2.00,"0,6","33,2","28,2","35,0","26,4","1,3","0,5",
10/01/2014 3.00,"0,4","29,1","23,9","35,0","26,4","1,8",,
10/01/2014 4.00,"0,4","33,5","28,0","35,0","26,4","1,5","0,5",
10/01/2014 5.00,"0,4","72,3","54,2","35,0","26,4","1,5","0,4",
10/01/2014 6.00,"0,5","59,7","45,3","35,0","26,4","1,2","0,4",
10/01/2014 7.00,"0,5","52,9","40,2","35,0","26,4","1,1","0,5",
10/01/2014 8.00,"1,0","245,1","79,1","35,0","26,4","1,7","1,6",
10/01/2014 9.00,"1,2","206,4","81,3","35,0","26,4","5,1","1,1",
10/01/2014 10.00,"0,9","138,0","67,5","35,0","26,4","2,3","0,9",
10/01/2014 11.00,"0,7","71,9","41,6","35,0","26,4","2,5","0,6",
10/01/2014 12.00,"0,4","45,4","29,8","35,0","26,4","1,2","0,4",
10/01/2014 13.00,"0,6","39,7","25,8","35,0","26,4","1,1","0,4",
10/01/2014 14.00,"0,4","101,8","23,9","35,0","26,4","1,2","0,4",
10/01/2014 15.00,"0,6",,,"35,0","26,4","1,1","0,4",
10/01/2014 16.00,"0,4","31,4","25,0","35,0","26,4","0,8","0,4",
10/01/2014 17.00,"0,6","89,2","58,1","35,0","26,4","1,0","0,6",
10/01/2014 18.00,"0,7","178,5","90,4","35,0","26,4","1,9","1,0",
10/01/2014 19.00,"1,1","278,8","109,0","35,0","26,4","3,7","1,7",
10/01/2014 20.00,"1,3","315,8","106,6","35,0","26,4","3,7","1,4",
10/01/2014 21.00,"1,4","270,7","89,7","35,0","26,4","5,5","1,3",
10/01/2014 22.00,"1,1","338,9","91,0","35,0","26,4","2,5","1,3",
10/01/2014 23.00,"0,9","173,7","66,5","35,0","26,4","3,2","0,8",
11/01/2014 0.00,"0,4","135,4","58,7","35,0","26,4","2,2","0,8",
11/01/2014 1.00,"0,3","54,6","39,4","40,6","31,2","1,7","0,5",
11/01/2014 2.00,"0,3","61,1","39,4","40,6","31,2","1,5","0,5",
11/01/2014 3.00,"0,2","43,4","33,3","40,6","31,2","1,3","0,4",
11/01/2014 4.00,"0,4","30,9","24,8","40,6","31,2","1,1","0,4",
11/01/2014 5.00,"0,5","87,4","45,4","40,6","31,2","0,9","0,3",
11/01/2014 6.00,"0,5","58,8","41,9","40,6","31,2","0,8","0,4",
11/01/2014 7.00,"0,4","67,9","40,2","40,6","31,2","1,1","0,4",
11/01/2014 8.00,"0,6","107,1","47,6","40,6","31,2","1,0","0,8",
11/01/2014 9.00,"1,4","314,0","72,8","40,6","31,2","2,5","1,6",
11/01/2014 10.00,"1,1","218,5","77,4","40,6","31,2","4,2","1,2",
11/01/2014 11.00,"0,8","171,7","76,6","40,6","31,2","3,3","1,1",
11/01/2014 12.00,"0,2","126,2","67,3","40,6","31,2","3,4","0,8",
11/01/2014 13.00,"0,2","102,1","59,1","40,6","31,2","2,8","0,7",
11/01/2014 14.00,"0,5","43,3","28,9","40,6","31,2","2,0","0,4",
11/01/2014 15.00,"0,7","36,3","27,7","40,6","31,2","1,0","0,4",
11/01/2014 16.00,"0,7","48,9","39,3","40,6","31,2","1,2","0,4",
11/01/2014 17.00,"1,0","73,8","51,7","40,6","31,2","1,4","0,5",
11/01/2014 18.00,"1,2","133,5","75,0","40,6","31,2","1,8","0,8",
11/01/2014 19.00,"1,2","191,0","81,2","40,6","31,2","3,9","1,3",
11/01/2014 20.00,"1,4","236,5","86,8","40,6","31,2","3,9","1,3",
11/01/2014 21.00,"0,9","123,2","67,9","40,6","31,2","3,2","0,9",
11/01/2014 22.00,"0,3","108,1","63,8","40,6","31,2","2,7","0,9",
11/01/2014 23.00,"0,6","75,5","52,4","40,6","31,2","3,2","0,7",
12/01/2014 0.00,"0,9","119,8","56,5","40,6","31,2","2,5","0,9",
12/01/2014 1.00,,"146,8","56,2","39,1","31,3","3,2","1,1",
12/01/2014 2.00,"0,8",,,"39,1","31,3","3,4","0,9",
12/01/2014 3.00,"0,4","102,1","56,0","39,1","31,3","2,8",,
12/01/2014 4.00,"0,6","64,1","42,2","39,1","31,3","2,7","0,6",
12/01/2014 5.00,"0,4","42,5","31,1","39,1","31,3","2,1","0,5",
12/01/2014 6.00,"0,3","43,4","28,5","39,1","31,3","1,5","0,4",
12/01/2014 7.00,"0,3","61,1","38,1","39,1","31,3","1,3","0,5",
12/01/2014 8.00,"0,4","68,1","42,4","39,1","31,3","1,6","0,5",
12/01/2014 9.00,"0,5","87,5","43,0","39,1","31,3","1,6","0,7",
12/01/2014 10.00,"0,4","53,3","33,1","39,1","31,3","2,0","0,5",
12/01/2014 11.00,"0,5","46,2","30,7","39,1","31,3","1,7","0,5",
12/01/2014 12.00,"0,2","39,8","26,6","39,1","31,3","1,6","0,5",
12/01/2014 13.00,"0,4","44,2","31,2","39,1","31,3","1,4","0,5",
12/01/2014 14.00,"0,3","26,8","20,8","39,1","31,3","1,1","0,3",
12/01/2014 15.00,"0,2","18,5","15,0","39,1","31,3","0,9","0,3",
12/01/2014 16.00,"0,3","24,0","19,1","39,1","31,3","0,8","0,3",
12/01/2014 17.00,"0,5","37,0","30,3","39,1","31,3","1,0","0,3",
12/01/2014 18.00,"0,4","70,0","47,9","39,1","31,3","1,3","0,6",
12/01/2014 19.00,"0,3","66,3","50,1","39,1","31,3","1,7","0,5",
12/01/2014 20.00,"0,3","62,8","48,3","39,1","31,3","1,4","0,5",
12/01/2014 21.00,"0,5","78,9","53,0","39,1","31,3","1,8","0,6",
12/01/2014 22.00,"0,4","93,4","55,2","39,1","31,3","2,0","0,6",
12/01/2014 23.00,"0,4","66,6","46,6","39,1","31,3","1,9","0,6",
13/01/2014 0.00,"0,6","113,8","58,5","39,1","31,3","2,2","0,7",
13/01/2014 1.00,"0,6","146,4","61,8","39,6","29,7","2,4","0,8",
13/01/2014 2.00,"0,7","125,2","55,3","39,6","29,7","2,3","0,6",
13/01/2014 3.00,"0,5","51,2","36,0","39,6","29,7","2,0","0,4",
13/01/2014 4.00,"0,5","32,9","28,7","39,6","29,7","1,4","0,4",
13/01/2014 5.00,"0,2","27,6","22,3","39,6","29,7","1,4","0,4",
13/01/2014 6.00,"0,5","28,3","24,1","39,6","29,7","1,0","0,4",
13/01/2014 7.00,"0,9","127,7","54,9","39,6","29,7","1,5","0,8",
13/01/2014 8.00,"0,4","110,0","62,3","39,6","29,7","2,5","0,7",
13/01/2014 9.00,"0,5","150,4","69,0","39,6","29,7","2,1","0,8",
13/01/2014 10.00,"0,4","100,9","54,8","39,6","29,7","2,1","0,6",
13/01/2014 11.00,"0,4","70,6","41,1","39,6","29,7","1,4","0,5",
13/01/2014 12.00,"0,7","65,7","42,2","39,6","29,7","1,7","0,5",
13/01/2014 13.00,"0,7","60,1","36,5","39,6","29,7","1,3","0,5",
13/01/2014 14.00,"0,9","59,6","40,8","39,6","29,7","1,5","0,5",
13/01/2014 15.00,"0,5","35,7","27,0","39,6","29,7","1,3","0,4",
13/01/2014 16.00,"0,6","39,5","29,3","39,6","29,7","1,0","0,4",
13/01/2014 17.00,"0,6","55,6","40,3","39,6","29,7","1,1","0,4",
13/01/2014 18.00,"0,5","74,5","60,6","39,6","29,7","1,3","0,5",
