,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
21/07/2014 6.00,"0,8","30,2","27,7","26,1","16,0","0,6","0,3","13,34648037"
21/07/2014 7.00,"0,4","34,6","30,6","26,1","16,0","0,6","0,3","17,16226959"
21/07/2014 8.00,"0,1","43,9","35,6","26,1","16,0","0,8","0,4","16,6497097"
21/07/2014 9.00,"0,1","36,2","28,6","26,1","16,0","0,8","0,4","15,00216961"
21/07/2014 10.00,"0,1","30,1","24,1","26,1","16,0","0,7","0,4","12,30914021"
21/07/2014 11.00,,"34,6","27,0","26,1","16,0","0,7","0,4","14,48416996"
21/07/2014 12.00,"0,3","28,3","23,3","26,1","16,0","0,6","0,3","9,79985332"
21/07/2014 13.00,"0,2","29,0","24,1","26,1","16,0","0,5","0,3","9,11778259"
21/07/2014 14.00,"0,2","25,8","22,0","26,1","16,0","0,4","0,2","5,87353897"
21/07/2014 15.00,,"31,5","26,3","26,1","16,0","0,4","0,3","14,46790028"
21/07/2014 16.00,"0,2","27,8","21,7","26,1","16,0","0,3","0,2","12,68881989"
21/07/2014 17.00,"0,2","31,5","25,2","26,1","16,0","0,4","0,3","14,05702972"
21/07/2014 18.00,"0,2","51,9","38,9","26,1","16,0","0,4","0,3","30,0707798"
21/07/2014 19.00,"0,4","42,9","35,0","26,1","16,0","0,8","0,3","19,62545967"
21/07/2014 20.00,"0,4","39,9","33,8","26,1","16,0","0,7","0,4","17,01041031"
21/07/2014 21.00,"0,4","27,2","23,6","26,1","16,0","0,7","0,3","9,12252903"
21/07/2014 22.00,"0,5","21,7","18,9","26,1","16,0","0,3","0,3","7,50074577"
21/07/2014 23.00,"0,6","12,8","11,0","26,1","16,0","0,3","0,2","3,59951711"
22/07/2014 0.00,"0,8","15,9","13,5","26,1","16,0","0,2","0,3","3,276788"
22/07/2014 1.00,,"29,4","26,6","16,4",,"0,6","0,5","1,89840806"
22/07/2014 2.00,,"17,8","15,7","16,4",,"0,4","0,3","1,41431403"
22/07/2014 3.00,,"16,9","15,1","16,4",,"0,4","0,2","1,61364698"
22/07/2014 4.00,,"13,0","11,2","16,4",,"0,4","0,2","2,20079708"
22/07/2014 5.00,,"17,4","15,4","16,4",,"0,2","0,2","2,87066388"
22/07/2014 6.00,,"30,4","26,2","16,4",,"0,3","0,3","12,56406975"
22/07/2014 7.00,,"39,1","31,2","16,4",,"0,4","0,3","20,59296989"
22/07/2014 8.00,,"27,8","22,4","16,4",,"0,5","0,3","15,70390034"
22/07/2014 9.00,,"28,7","21,5","16,4",,"0,4","0,3","16,21780968"
22/07/2014 10.00,,"28,4","21,0","16,4",,"0,6","0,4","14,78384972"
22/07/2014 11.00,,"35,5","26,2","16,4",,"0,7","0,4","17,93453026"
22/07/2014 12.00,,"25,4","18,7","16,4",,"0,5","0,3","10,31649017"
22/07/2014 13.00,,"19,5","14,1","16,4",,"0,5","0,3","8,06009865"
22/07/2014 14.00,,"12,7","9,1","16,4",,"0,3","0,2","4,58872414"
22/07/2014 15.00,,"13,2","9,9","16,4",,"0,2","0,2","9,24592495"
22/07/2014 16.00,,"16,6","12,5","16,4",,"0,2","0,3","9,66018486"
22/07/2014 17.00,,"18,2","12,8","16,4",,"0,3","0,3","10,44260025"
22/07/2014 18.00,,"28,1","20,4","16,4",,"0,4","0,3","15,0964098"
22/07/2014 19.00,,"25,4","20,2","16,4",,"0,6","0,3","13,91396999"
22/07/2014 20.00,,"32,7","26,3","16,4",,"0,5","0,3","17,50671005"
22/07/2014 21.00,,"26,3","21,5","16,4",,"0,6","0,3","12,40812969"
22/07/2014 22.00,,"21,7","17,6","16,4",,"0,5","0,3","9,26084137"
22/07/2014 23.00,,"17,3","13,5","16,4",,"0,3","0,2","5,75488901"
23/07/2014 0.00,,"11,8","9,9","16,4",,"0,2","0,2","3,45578098"
23/07/2014 1.00,,"10,6","8,7","11,3","7,0","0,1","0,2","3,18661404"
23/07/2014 2.00,,,,"11,3","7,0","0,1","0,2","1,745857"
23/07/2014 3.00,,"39,6","37,4","11,3","7,0","0,5",,"2,21209097"
23/07/2014 4.00,,"18,5","16,7","11,3","7,0","0,4","0,2","1,760095"
23/07/2014 5.00,,"14,1","12,3","11,3","7,0","0,3","0,2","2,03672099"
23/07/2014 6.00,,"16,7","14,2","11,3","7,0","0,2","0,2","6,2498312"
23/07/2014 7.00,,"27,3","23,2","11,3","7,0","0,3","0,2","12,03386974"
23/07/2014 8.00,,"33,1","25,6","11,3","7,0","0,3","0,3","12,41897011"
23/07/2014 9.00,,"38,6","29,1","11,3","7,0","0,5","0,3","15,3804903"
23/07/2014 10.00,,"38,0","28,7","11,3","7,0","0,6","0,3","9,04184628"
23/07/2014 11.00,,"42,7","32,6","11,3","7,0","0,6","0,4","18,96644974"
23/07/2014 12.00,,"42,7","30,0","11,3","7,0","0,7","0,3","25,49086952"
23/07/2014 13.00,,"29,4","23,9","11,3","7,0","0,4","0,3","14,57909012"
23/07/2014 14.00,"3,0","35,3","28,5","11,3","7,0","0,4","0,4","10,61209965"
23/07/2014 15.00,"3,1","36,7","29,3","11,3","7,0","0,6","0,3","8,85064983"
23/07/2014 16.00,"2,9","24,2","19,2","11,3","7,0","0,4","0,3","12,97087002"
23/07/2014 17.00,"3,5","22,0","17,8","11,3","7,0","0,4","0,3","10,3571701"
23/07/2014 18.00,"3,4","29,4","23,2","11,3","7,0","0,5","0,3","15,4889698"
23/07/2014 19.00,"3,8","32,4","26,1","11,3","7,0","0,5","0,3","17,88434982"
23/07/2014 20.00,"3,9","39,5","33,1","11,3","7,0","0,6","0,3","16,1072998"
23/07/2014 21.00,"4,0","29,3","24,5","11,3","7,0","0,7","0,3","14,49365997"
23/07/2014 22.00,"4,2","22,6","18,9","11,3","7,0","0,6","0,3","12,74238014"
23/07/2014 23.00,"3,9","25,8","22,9","11,3","7,0","0,4","0,3","5,26062393"
24/07/2014 0.00,"3,6","26,4","23,5","11,3","7,0","0,5","0,3","8,70555687"
24/07/2014 1.00,"3,7","17,7","14,9","12,8","8,4","0,5","0,2","15,25574017"
24/07/2014 2.00,"3,7","10,6","9,0","12,8","8,4","0,3","0,2","1,745857"
24/07/2014 3.00,"4,1","9,4","7,8","12,8","8,4","0,2","0,2","1,47262204"
24/07/2014 4.00,"4,2","13,7","11,8","12,8","8,4","0,4","0,3","2,73777604"
24/07/2014 5.00,"4,5","15,3","13,1","12,8","8,4","0,4","0,2","2,1621511"
24/07/2014 6.00,"4,6","17,6","14,6","12,8","8,4","0,4","0,3","7,98077202"
24/07/2014 7.00,"4,5","36,4","29,0","12,8","8,4","0,4","0,3","14,97842979"
24/07/2014 8.00,"3,9","47,2","35,2","12,8","8,4","0,7","0,4","14,33839989"
24/07/2014 9.00,"3,3","33,2","24,2","12,8","8,4","0,7","0,3","12,96679974"
24/07/2014 10.00,"2,9","23,6","17,3","12,8","8,4","0,5","0,3","9,84460163"
24/07/2014 11.00,"2,5","31,8","22,7","12,8","8,4","0,5","0,3","13,51124001"
24/07/2014 12.00,"2,8","23,6","18,0","12,8","8,4","0,5","0,3","9,65815067"
24/07/2014 13.00,"3,0","23,5","17,5","12,8","8,4","0,5","0,3","9,19982147"
24/07/2014 14.00,"3,7","18,1","14,2","12,8","8,4","0,3","0,3","6,69934702"
24/07/2014 15.00,"3,9","11,9","9,1","12,8","8,4","0,2","0,2","5,31689882"
24/07/2014 16.00,"3,8","15,7","12,3","12,8","8,4","0,2","0,2","6,41255093"
24/07/2014 17.00,"4,2","23,5","17,6","12,8","8,4","0,3","0,3","11,9436903"
24/07/2014 18.00,"4,1","25,3","19,6","12,8","8,4","0,5","0,3","15,1743803"
24/07/2014 19.00,"4,4","26,0","20,6","12,8","8,4","0,5","0,3","14,99878025"
24/07/2014 20.00,"4,7","35,3","29,5","12,8","8,4","0,5","0,4","13,94651031"
24/07/2014 21.00,"3,6","31,1","27,6","12,8","8,4","0,7","0,4","6,30135918"
24/07/2014 22.00,"4,7","28,0","25,1","12,8","8,4","0,6","0,3","9,60594463"
24/07/2014 23.00,"4,5","30,5","27,5","12,8","8,4","0,4","0,3","4,40362883"
25/07/2014 0.00,"4,2","40,0","36,3","12,8","8,4","0,3","0,3","4,4965148"
25/07/2014 1.00,,"29,6","27,0","17,4","10,8","0,4","0,3","6,07422781"
25/07/2014 2.00,"4,3",,,"17,4","10,8","0,3","0,3","6,87223721"
25/07/2014 3.00,"4,0","35,8","33,6","17,4","10,8","0,3",,"3,68750095"
25/07/2014 4.00,"4,2","28,0","25,7","17,4","10,8","0,2","0,2","2,06180692"
25/07/2014 5.00,"4,1","35,9","32,6","17,4","10,8","0,6","0,3","4,09174681"
25/07/2014 6.00,"4,1","46,0","39,1","17,4","10,8","0,4","0,4","9,45881844"
25/07/2014 7.00,"4,1","39,7","33,3","17,4","10,8","0,4","0,4","13,27935982"
25/07/2014 8.00,"3,9","37,2","29,1","17,4","10,8","0,8","0,3","11,46840954"
25/07/2014 9.00,"3,0","30,1","22,7","17,4","10,8","0,5","0,3","12,01148987"
25/07/2014 10.00,"3,1","32,2","23,7","17,4","10,8","0,6","0,4","11,6399498"
25/07/2014 11.00,"2,8","30,0","22,8","17,4","10,8","0,7","0,4","10,80193996"
25/07/2014 12.00,"3,0","25,0","19,4","17,4","10,8","0,5","0,4","11,44536018"
25/07/2014 13.00,"3,3","21,9","17,3","17,4","10,8","0,5","0,3","10,72939014"
25/07/2014 14.00,"4,0","17,4","13,8","17,4","10,8","0,4","0,3","5,83624887"
25/07/2014 15.00,"4,3","16,8","13,4","17,4","10,8","0,3","0,3","7,71906281"
25/07/2014 16.00,"3,8","25,2","19,6","17,4","10,8","0,3","0,3","17,68367004"
25/07/2014 17.00,"3,7","35,4","27,9","17,4","10,8","0,6","0,4","23,87788963"
25/07/2014 18.00,"3,3","43,6","33,8","17,4","10,8","0,7","0,4","22,84461975"
25/07/2014 19.00,"4,0","45,2","34,4","17,4","10,8","0,8","0,4","24,00807953"
25/07/2014 20.00,"4,0","40,3","33,4","17,4","10,8","0,7","0,4","18,6918602"
25/07/2014 21.00,"4,0","27,9","24,8","17,4","10,8","0,6","0,3","10,2595396"
25/07/2014 22.00,"4,3","24,0","21,6","17,4","10,8","0,5","0,3","8,21807289"
25/07/2014 23.00,"4,1","23,8","19,8","17,4","10,8","0,4","0,3","8,57809258"
26/07/2014 0.00,"4,0","26,3","24,1","17,4","10,8","0,4","0,3","3,85783601"
26/07/2014 1.00,"4,0","25,6","23,4","18,8","13,1","0,5","0,3","8,63368893"
26/07/2014 2.00,"3,9","24,1","21,9","18,8","13,1","0,4","0,3","3,40086198"
26/07/2014 3.00,"3,8","20,3","17,7","18,8","13,1","0,5","0,3","4,0036068"
26/07/2014 4.00,"3,4","15,2","13,2","18,8","13,1","0,4","0,3","2,48081303"
26/07/2014 5.00,"3,8","48,1","44,6","18,8","13,1","0,3","0,3","6,30068111"
26/07/2014 6.00,"4,0","71,2","59,7","18,8","13,1","0,6","0,4","21,80525017"
26/07/2014 7.00,"3,8","45,0","37,5","18,8","13,1","0,6","0,3","15,51270008"
26/07/2014 8.00,"3,2","27,6","23,3","18,8","13,1","0,4","0,5","7,809237"
26/07/2014 9.00,"2,8","28,1","21,1","18,8","13,1","0,6","0,4","14,77571011"
26/07/2014 10.00,"2,9","22,7","17,4","18,8","13,1","0,7","0,4","12,52949047"
26/07/2014 11.00,"2,9","19,5","14,9","18,8","13,1","0,5","0,4","11,21348953"
26/07/2014 12.00,"3,3","19,5","14,6","18,8","13,1","0,5","0,4","10,63311958"
26/07/2014 13.00,"3,6","17,1","12,9","18,8","13,1","0,6","0,4","10,34360981"
26/07/2014 14.00,"3,7","12,1","9,7","18,8","13,1","0,3","0,3","4,52024508"
26/07/2014 15.00,"3,8","12,2","9,9","18,8","13,1","0,2","0,3","5,52165604"
26/07/2014 16.00,"3,8","12,2","9,8","18,8","13,1","0,3","0,3","6,43763685"
26/07/2014 17.00,"4,0","16,0","13,2","18,8","13,1","0,3","0,3","7,7326231"
26/07/2014 18.00,"4,2","32,5","27,9","18,8","13,1","0,5","0,5","13,61701012"
26/07/2014 19.00,"3,7","39,4","33,4","18,8","13,1","1,0","0,5","16,56427956"
26/07/2014 20.00,"4,0","34,8","30,2","18,8","13,1","0,6","0,4","23,53075981"
26/07/2014 21.00,"4,1","36,7","32,3","18,8","13,1","0,7","0,4","19,14204979"
26/07/2014 22.00,"3,9","28,5","25,6","18,8","13,1","0,8","0,4","11,64334011"
26/07/2014 23.00,"3,9","21,0","18,1","18,8","13,1","0,4","0,3","9,20456696"
27/07/2014 0.00,"3,9","17,9","15,2","18,8","13,1","0,3","0,3","9,81341362"
27/07/2014 1.00,,"15,2","12,7","17,5","10,8","0,3","0,3","12,44338036"
27/07/2014 2.00,"4,3",,,"17,5","10,8","0,3","0,3","6,44712877"
27/07/2014 3.00,"4,5","17,8","15,7","17,5","10,8","0,2",,"5,60094595"
27/07/2014 4.00,"4,1","16,3","14,7","17,5","10,8","0,2","0,3","3,06728506"
27/07/2014 5.00,"4,0","19,4","17,3","17,5","10,8","0,3","0,3","3,99479294"
27/07/2014 6.00,"3,7","19,8","16,2","17,5","10,8","0,2","0,3","8,94082355"
27/07/2014 7.00,"3,5","13,9","11,5","17,5","10,8","0,3","0,3","4,38600111"
27/07/2014 8.00,"3,4","13,9","11,4","17,5","10,8","0,3","0,3","6,13524818"
27/07/2014 9.00,"3,2","14,3","11,3","17,5","10,8","0,3","0,3","6,14202785"
27/07/2014 10.00,"3,1","15,2","11,7","17,5","10,8","0,3","0,3","7,18615198"
27/07/2014 11.00,"3,6","16,8","13,1","17,5","10,8","0,6","0,4","8,39435387"
27/07/2014 12.00,"3,8","13,8","10,7","17,5","10,8","0,5","0,3","7,31158304"
27/07/2014 13.00,"4,1","11,2","8,2","17,5","10,8","0,2","0,3","3,37848806"
27/07/2014 14.00,"4,1","7,7","5,7","17,5","10,8","0,2","0,3","3,22322607"
27/07/2014 15.00,"4,1","6,8","5,2","17,5","10,8","0,1","0,2","2,32826209"
27/07/2014 16.00,"4,2","7,7","5,7","17,5","10,8","0,1","0,2","3,73172808"
27/07/2014 17.00,"4,4","9,2","7,1","17,5","10,8","0,1","0,2","4,39413691"
27/07/2014 18.00,"4,5","16,3","12,8","17,5","10,8","0,2","0,3","11,48740005"
27/07/2014 19.00,"4,6","24,3","19,3","17,5","10,8","0,4","0,3","15,06929016"
27/07/2014 20.00,"5,0","29,7","23,7","17,5","10,8","0,5","0,4","17,52366066"
27/07/2014 21.00,,,,"17,5","10,8",,,
27/07/2014 22.00,,,,"17,5","10,8",,,
27/07/2014 23.00,,,,"17,5","10,8",,,
28/07/2014 0.00,,,,"17,5","10,8",,,
28/07/2014 1.00,,,,"13,9","8,8",,,
28/07/2014 2.00,,,,"13,9","8,8",,,
28/07/2014 3.00,,,,"13,9","8,8",,,
28/07/2014 4.00,,,,"13,9","8,8",,,
28/07/2014 5.00,,,,"13,9","8,8",,,
28/07/2014 6.00,,,,"13,9","8,8",,,
28/07/2014 7.00,,,,"13,9","8,8",,,
28/07/2014 8.00,,,,"13,9","8,8",,,
28/07/2014 9.00,,,,"13,9","8,8",,,
28/07/2014 10.00,,,,"13,9","8,8",,,
28/07/2014 11.00,,,,"13,9","8,8","0,7",,"11,56567955"
28/07/2014 12.00,"3,8","23,7","17,8","13,9","8,8","0,4","0,3","11,7009697"
28/07/2014 13.00,"3,9","22,5","16,9","13,9","8,8","0,5","0,3","10,98025036"
28/07/2014 14.00,"4,1","14,3","10,7","13,9","8,8","0,3","0,2","6,67426109"
28/07/2014 15.00,"4,1","12,2","9,0","13,9","8,8","0,2","0,2","6,58679819"
28/07/2014 16.00,"4,5","15,6","11,7","13,9","8,8","0,2","0,2","8,76250935"
28/07/2014 17.00,"4,6","20,8","16,1","13,9","8,8","0,3","0,2","13,57767963"
28/07/2014 18.00,"4,6","30,4","23,8","13,9","8,8","0,4","0,3","19,90752029"
28/07/2014 19.00,"4,4","29,2","23,6","13,9","8,8","0,6","0,4","18,09453964"
28/07/2014 20.00,"4,8","24,7","20,3","13,9","8,8","0,5","0,3","14,01091957"
28/07/2014 21.00,"5,1","19,8","17,2","13,9","8,8","0,5","0,3","15,63066959"
28/07/2014 22.00,"5,5","15,1","12,4","13,9","8,8","0,3","0,3","6,42272091"
28/07/2014 23.00,"4,9","16,1","13,8","13,9","8,8","0,3","0,3","7,96314383"
29/07/2014 0.00,"4,8","18,7","15,8","13,9","8,8","0,4","0,3","5,65454388"
29/07/2014 1.00,,"15,6","13,0","17,3","11,0","0,7","0,3","5,09654808"
29/07/2014 2.00,"4,3",,,"17,3","11,0","0,4","0,3","1,59195101"
29/07/2014 3.00,"4,0","32,0","29,9","17,3","11,0","0,3",,"1,85298204"
29/07/2014 4.00,"4,2","35,1","32,8","17,3","11,0","0,3","0,3","1,94518995"
29/07/2014 5.00,"4,3","28,6","26,1","17,3","11,0","0,5","0,3","2,83879805"
29/07/2014 6.00,"4,1","27,8","24,2","17,3","11,0","0,5","0,3","8,8764143"
29/07/2014 7.00,"3,8","36,6","29,8","17,3","11,0","0,4","0,4","21,89067078"
29/07/2014 8.00,"3,3","47,7","38,3","17,3","11,0","0,6","0,5","18,34741974"
29/07/2014 9.00,"3,6","48,0","34,1","17,3","11,0","0,7",,"18,69729042"
29/07/2014 10.00,"2,5","33,5","26,1","17,3","11,0","1,0",,"17,48703957"
29/07/2014 11.00,"2,9","25,6","19,8","17,3","11,0","0,3",,"13,41292953"
29/07/2014 12.00,"3,0","32,0","25,1","17,3","11,0","0,5","0,1","11,03652954"
29/07/2014 13.00,"3,6","22,9","18,4","17,3","11,0","0,4","0,3","11,69419003"
29/07/2014 14.00,"3,6","15,8","12,6","17,3","11,0","0,3","0,3","6,750875"
29/07/2014 15.00,"4,1","14,3","11,2","17,3","11,0","0,2","0,2","6,95902205"
29/07/2014 16.00,"4,0","14,3","11,2","17,3","11,0","0,2","0,2","7,26276684"
29/07/2014 17.00,"4,3","19,8","15,5","17,3","11,0","0,3","0,3","11,82503986"
29/07/2014 18.00,"4,1","21,3","17,2","17,3","11,0","0,3","0,3","11,98165989"
29/07/2014 19.00,"4,3","19,0","16,3","17,3","11,0","0,3","0,3","11,94573021"
29/07/2014 20.00,"4,6","21,0","18,4","17,3","11,0","0,4","0,3","15,5303297"
29/07/2014 21.00,"4,2","26,1","22,1","17,3","11,0","0,4","0,3","17,55146027"
29/07/2014 22.00,"3,8","15,5","13,1","17,3","11,0","0,4","0,4","10,69480991"
29/07/2014 23.00,"3,6","17,7","14,8","17,3","11,0","0,3","0,5","12,50576019"
30/07/2014 0.00,"3,5","14,6","12,6","17,3","11,0","0,2","0,5","7,90348005"
30/07/2014 1.00,"3,5","10,8","8,7","21,7","10,4","0,2","0,5","7,10275793"
30/07/2014 2.00,"3,6","7,5","5,8","21,7","10,4","0,1","0,5","4,67686415"
30/07/2014 3.00,"3,4","5,2","4,0","21,7","10,4","0,1","0,5","2,37707806"
30/07/2014 4.00,"3,3","5,1","3,9","21,7","10,4","0,1","0,5","2,12621689"
30/07/2014 5.00,"3,2","5,3","4,2","21,7","10,4","0,1","0,5","2,69641805"
30/07/2014 6.00,"3,0","9,0","7,0","21,7","10,4","0,2","0,5","6,02676821"
30/07/2014 7.00,"3,2","16,5","12,9","21,7","10,4","0,2","0,6","13,99532986"
30/07/2014 8.00,"2,8","19,7","15,2","21,7","10,4","0,4","0,6","16,60429001"
30/07/2014 9.00,"2,7","29,3","22,0","21,7","10,4","0,4","0,6","24,8074398"
30/07/2014 10.00,"2,6","33,9","24,5","21,7","10,4","0,5","0,6","18,20980072"
30/07/2014 11.00,"2,9","27,4","20,5","21,7","10,4","0,5","0,6","13,1457901"
30/07/2014 12.00,"2,6","25,1","19,1","21,7","10,4","0,5","0,7","15,87679005"
30/07/2014 13.00,"2,8","17,5","12,9","21,7","10,4","0,7","0,6","9,41000175"
30/07/2014 14.00,"3,3","11,8","8,6","21,7","10,4","0,2","0,6","5,97659492"
30/07/2014 15.00,"3,1","12,7","9,9","21,7","10,4","0,2","0,6","6,79494476"
30/07/2014 16.00,"3,5","15,1","11,6","21,7","10,4","0,2","0,6","11,20263958"
30/07/2014 17.00,"3,6","22,9","17,6","21,7","10,4","0,3","0,6","13,92617035"
30/07/2014 18.00,"3,7","28,1","21,9","21,7","10,4","0,5","0,6","15,30049038"
30/07/2014 19.00,"3,4","30,7","25,4","21,7","10,4","0,5","0,6","14,17432022"
30/07/2014 20.00,"3,6","23,9","20,3","21,7","10,4","0,4","0,5","11,31112003"
30/07/2014 21.00,"3,5","17,5","14,8","21,7","10,4","0,3","0,5","7,16852522"
30/07/2014 22.00,"3,4","12,5","10,7","21,7","10,4","0,2","0,5","4,3921032"
30/07/2014 23.00,"3,7","19,1","16,8","21,7","10,4","0,3","0,6","4,68364382"
31/07/2014 0.00,"3,8","21,7","19,3","21,7","10,4","0,6","0,5","3,71477795"
31/07/2014 1.00,,,,"12,8","6,3",,,
31/07/2014 2.00,,,,"12,8","6,3","0,2",,"2,40752697"
31/07/2014 3.00,"2,7","9,4","5,9","12,8","6,3","0,2",,"1,63785899"
31/07/2014 4.00,"2,8","12,4","11,1","12,8","6,3","0,2",,"2,16825294"
31/07/2014 5.00,"2,5","14,1","12,4","12,8","6,3","0,4",,"2,95473695"
31/07/2014 6.00,"2,1","24,5","20,4","12,8","6,3","0,4",,"9,66086292"
31/07/2014 7.00,"1,7","48,2","36,7","12,8","6,3","0,5",,"22,78223991"
31/07/2014 8.00,"1,7","43,1","33,0","12,8","6,3","0,8",,"17,01786995"
31/07/2014 9.00,"1,3","27,1","19,9","12,8","6,3","0,5",,"9,95782948"
31/07/2014 10.00,"2,1","23,5","17,3","12,8","6,3","0,3",,"14,11466026"
31/07/2014 11.00,"2,3","26,1","18,1","12,8","6,3","0,4",,"13,3505497"
31/07/2014 12.00,"2,2","22,4","16,1","12,8","6,3","0,5",,"10,58498001"
31/07/2014 13.00,"2,4","22,2","15,7","12,8","6,3","0,4",,"10,74837971"
31/07/2014 14.00,"2,4","13,0","9,4","12,8","6,3","0,3",,"6,48916578"
31/07/2014 15.00,"2,8","15,3","11,6","12,8","6,3","0,2",,"10,51379013"
31/07/2014 16.00,"3,2","20,6","16,4","12,8","6,3","0,3","0,3","12,30982018"
31/07/2014 17.00,"3,4","27,1","21,4","12,8","6,3","0,4","0,3","17,00769997"
31/07/2014 18.00,"3,4","43,9","33,1","12,8","6,3","0,5","0,4","31,78952026"
31/07/2014 19.00,"3,7","36,2","29,8","12,8","6,3","0,7","0,4","19,56105995"
31/07/2014 20.00,"3,7","51,0","38,0","12,8","6,3","0,6","0,4","23,35515976"
31/07/2014 21.00,"3,6","30,9","26,4","12,8","6,3","0,8","0,3","9,67984676"
31/07/2014 22.00,"3,6","18,1","15,0","12,8","6,3","0,3","0,3","6,47289419"
31/07/2014 23.00,"3,2","12,6","10,6","12,8","6,3","0,2","0,2","5,61047411"
01/08/2014 0.00,"3,1","15,3","13,3","12,8","6,3","0,2","0,4","3,59341502"
01/08/2014 1.00,"2,9","37,4","34,1","12,9","7,6","0,7","0,6","2,97846699"
01/08/2014 2.00,"3,2","14,6","12,7","12,9","7,6","0,4","0,2","1,82518399"
01/08/2014 3.00,"2,8","30,9","28,7","12,9","7,6","0,4","0,6","3,95343494"
01/08/2014 4.00,"3,1","21,4","18,6","12,9","7,6","1,0","0,5","1,40075397"
01/08/2014 5.00,"2,8","17,1","15,2","12,9","7,6","0,3","0,3","2,28486991"
01/08/2014 6.00,"2,9","28,7","25,1","12,9","7,6","0,5","0,3","8,29400921"
01/08/2014 7.00,"3,0","45,4","38,1","12,9","7,6","0,9","0,4","12,94849014"
01/08/2014 8.00,"3,5","43,5","34,2","12,9","7,6","0,8","0,4","16,44495964"
01/08/2014 9.00,"3,1","43,1","34,0","12,9","7,6","0,8","0,4","17,86334038"
01/08/2014 10.00,"3,2","35,4","25,8","12,9","7,6","0,7","0,4","21,24588966"
01/08/2014 11.00,"3,2","31,0","23,8","12,9","7,6","0,5","0,3","14,29500961"
01/08/2014 12.00,"2,1","29,7","22,7","12,9","7,6","0,5","0,4","15,5988102"
01/08/2014 13.00,"1,1","32,1","25,3","12,9","7,6","0,5","0,4","18,29862022"
01/08/2014 14.00,"1,2","28,7","23,8","12,9","7,6","0,5","0,3","10,85346985"
01/08/2014 15.00,"1,6","21,7","18,2","12,9","7,6","0,4","0,3","9,81748199"
01/08/2014 16.00,"1,7","24,0","19,2","12,9","7,6","0,4","0,3","16,44631004"
01/08/2014 17.00,"1,5","24,6","19,6","12,9","7,6","0,4","0,3","13,01290035"
01/08/2014 18.00,"1,9","31,1","25,2","12,9","7,6","0,6","0,4","16,37714958"
01/08/2014 19.00,"2,0","26,6","21,4","12,9","7,6","0,7","0,3","16,70734024"
01/08/2014 20.00,"2,2","26,8","23,2","12,9","7,6","0,4","0,4","13,29292011"
01/08/2014 21.00,"2,0","45,7","38,7","12,9","7,6","0,7","0,4","23,87178993"
01/08/2014 22.00,"1,9","32,8","27,5","12,9","7,6","0,6","0,4","22,29680061"
01/08/2014 23.00,"2,2","30,7","25,3","12,9","7,6","0,5","0,4","9,60933495"
02/08/2014 0.00,"2,0","23,2","20,0","12,9","7,6","0,4","0,3","7,31361723"
02/08/2014 1.00,,"31,9","27,1","14,4","8,9","0,4","0,3","14,92486954"
02/08/2014 2.00,"2,0",,,"14,4","8,9","0,5","0,4","3,49781704"
02/08/2014 3.00,"1,8","17,7","16,0","14,4","8,9","0,4",,"1,80496895"
02/08/2014 4.00,"1,9","23,1","20,8","14,4","8,9","0,4","0,3","4,07954407"
02/08/2014 5.00,"1,6","25,5","23,4","14,4","8,9","0,6","0,3","5,59148979"
02/08/2014 6.00,"1,6","53,4","44,3","14,4","8,9","0,7","0,4","36,31111145"
02/08/2014 7.00,"1,2","57,3","43,6","14,4","8,9","0,9","0,4","28,37508965"
02/08/2014 8.00,"1,3","28,1","22,6","14,4","8,9","0,5","0,3","10,25072002"
02/08/2014 9.00,"1,4","26,3","21,5","14,4","8,9","0,5","0,3","8,3821497"
02/08/2014 10.00,"1,3","21,5","17,0","14,4","8,9","0,5","0,3","8,47232437"
02/08/2014 11.00,"1,6","25,3","19,7","14,4","8,9","0,4","0,3","9,61679268"
02/08/2014 12.00,"1,8","23,5","18,6","14,4","8,9","0,5","0,3","10,10562992"
02/08/2014 13.00,"1,8","22,6","18,1","14,4","8,9","0,5","0,3","7,3400588"
02/08/2014 14.00,"2,0","13,2","10,6","14,4","8,9","0,3","0,3","4,63821793"
02/08/2014 15.00,"2,3","13,1","10,4","14,4","8,9","0,3","0,3","4,965693"
02/08/2014 16.00,"2,2","11,9","9,4","14,4","8,9","0,2","0,3","5,4979248"
02/08/2014 17.00,"2,7","13,6","11,0","14,4","8,9","0,2","0,3","5,95489883"
02/08/2014 18.00,"2,6","19,2","16,5","14,4","8,9","0,4","0,3","9,0099802"
02/08/2014 19.00,"2,7","27,2","23,2","14,4","8,9","0,4","0,4","13,31529045"
02/08/2014 20.00,"2,7","29,3","24,3","14,4","8,9","0,6","0,4","18,50403976"
02/08/2014 21.00,"2,8","24,2","19,7","14,4","8,9","0,5","0,4","13,14783001"
02/08/2014 22.00,"2,9","27,0","22,0","14,4","8,9","0,5","0,4","6,77935123"
02/08/2014 23.00,"3,0","26,3","21,2","14,4","8,9","0,6","0,4","9,40050983"
03/08/2014 0.00,"2,8","40,2","35,9","14,4","8,9","0,6","0,4","9,90019798"
