,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



08/01/2009 7.00,"1,20555078","9,88329626","0,30685867","29,61970515",,"0,4439622"
08/01/2009 8.00,"1,4967789","16,52515023","0,35189291","24,8901786","19,53602028","0,43603265"
08/01/2009 9.00,"1,42905179","31,52692976","0,46604311","14,05653659",,"0,48096879"
08/01/2009 10.00,"1,37261236","26,09208888","0,44200916","19,84879365","17,58241081","0,7123668"
08/01/2009 11.00,"1,19651982","10,84372062","0,34760571","39,24047295",,"0,59562131"
08/01/2009 12.00,"1,34326377","16,3093753","0,31562413","44,8181937","29,30401993","0,38261574"
08/01/2009 13.00,"1,29811202","19,37884656","0,33580543","44,9106021",,"0,35045617"
08/01/2009 14.00,"1,34100603","14,82169398","0,30873665","46,6070304","29,30401993","0,30298667"
08/01/2009 15.00,"1,41776411","23,43469568","0,3356132","38,23052415",,"0,23789562"
08/01/2009 16.00,"1,51709755","35,81638704","0,40588484","24,90504135","10,7448101","0,3065116"
08/01/2009 17.00,"1,43130953","47,64487944","0,49633893","14,55984915",,"0,50486829"
08/01/2009 18.00,"1,94152317","54,20562064","0,59994122","10,73134839","30,28083038","0,7381386"
08/01/2009 19.00,"2,01376577","49,90641216","0,71707847","10,5613724",,"1,2663562"
08/01/2009 20.00,"2,39078292","43,31159912","0,78677343","10,29074267","46,88644028","1,90504033"
08/01/2009 21.00,"1,62320421","33,49806792","0,62421749","9,77422919",,"1,31800963"
08/01/2009 22.00,"1,99796362","33,61001552","0,67454898","10,57127159","46,39804077","1,00301828"
08/01/2009 23.00,"1,58934014","19,8395812","0,57759302","13,5829196",,"0,93924832"
09/01/2009 0.00,"1,50580986","25,8049256","0,60475733","10,10262215","41,02563095","0,85246059"
09/01/2009 1.00,"1,41550637","24,8315264","0,62089374","9,67356548",,"0,96810467"
09/01/2009 2.00,"1,14911135","18,93594897","0,53959072","9,79402956","38,0952301","0,93186998"
09/01/2009 3.00,"1,33423281",,"0,53501577","11,60101478",,"0,91204458"
09/01/2009 4.00,"1,07686774","13,12959693","0,46045577",,"39,07204056","0,74309444"
09/01/2009 5.00,"1,46517258","13,6584829",,"19,23290124",,"0,73373296"
09/01/2009 6.00,"1,19651982","10,47706594","0,38977405","28,49280945","31,25761986","0,67954516"
09/01/2009 7.00,"1,25747474","14,43882554","0,37439838","25,2544656",,"0,77943999"
09/01/2009 8.00,"1,19200536","27,91560152","0,4281876","14,93811512","26,86202049","0,81997049"
09/01/2009 9.00,"1,51032433","34,05939288","0,47681819","15,04161971",,"0,87525868"
09/01/2009 10.00,"1,66609822","36,08083576","0,4815411","16,13914502","33,21123123","1,2134905"
09/01/2009 11.00,"1,68190138","33,27094144","0,50125407","18,05158992",,"1,30545476"
09/01/2009 12.00,"1,81735663","32,22129168","0,5047246","20,36657595","43,46763992","1,40942369"
09/01/2009 13.00,"1,83993199","35,30859808","0,45541831","19,70937308",,"1,01513279"
09/01/2009 14.00,"1,74737075","39,84141472","0,50207423","16,65504603","41,5140419","0,96975628"
09/01/2009 15.00,"2,03859989","39,79112912","0,5138815","15,98470409",,"0,91270563"
09/01/2009 16.00,"1,83090205","39,67107464","0,49715793","14,26448342","35,65322113","0,95158453"
09/01/2009 17.00,"1,49226342","39,5266804","0,49836254","14,9594696",,"0,85268128"
09/01/2009 18.00,"1,45614263","42,97577544","0,54858336","13,06180764","39,56044006","0,87294602"
09/01/2009 19.00,"2,1537365","48,72535064","0,62454369","10,82733981",,"1,05015725"
09/01/2009 20.00,"1,50355212","44,53485848","0,60637318","10,41823314","37,6068306","1,07196377"
09/01/2009 21.00,"1,64352183","40,95272648","0,59523928","10,63839336",,"1,28926412"
09/01/2009 22.00,"1,41099089","34,63044992","0,52130372","12,74471237","35,65322113","1,08595158"
09/01/2009 23.00,"1,26876344","31,54801912","0,52005134","14,16425661",,"1,0181065"
10/01/2009 0.00,"1,31165744","27,63654512","0,4795175","14,47971798","30,76922989","1,24498903"
10/01/2009 1.00,"1,09492864","23,30815952","0,48014427","17,06086295",,"1,04872532"
10/01/2009 2.00,"1,3997032","29,0025544","0,48245679","14,03118213","26,37360954","1,17406141"
10/01/2009 3.00,"1,26086135",,"0,36866309","45,5339598",,"0,85224092"
10/01/2009 4.00,"1,34552049","3,88226055","0,32981616",,"22,95482063","0,55222693"
10/01/2009 5.00,"1,324074","3,01106349",,"56,03430315",,"0,47579226"
10/01/2009 6.00,"1,18748988","4,06234036","0,31021271","57,21370725","20,51280975","0,51555188"
10/01/2009 7.00,"1,38390004","13,8920987","0,31906554","43,171002",,"0,43625334"
10/01/2009 8.00,"1,39067224","25,149492","0,36351845","26,8204608","14,65200996","0,43625334"
10/01/2009 9.00,"1,23715711","29,20373504","0,38997909","26,19209565",,"0,66038183"
10/01/2009 10.00,"1,29811202","16,5186609","0,36125718","39,67059495","9,27960968","0,86964179"
10/01/2009 11.00,"1,50806659","12,68345085","0,35692804","38,41222875",,"0,65289264"
10/01/2009 12.00,"2,18760056","49,5559808","0,44179363","32,3326059","13,18680954","0,47623262"
10/01/2009 13.00,"1,41324863","23,34058704","0,38742891","35,1207381",,"0,5311913"
10/01/2009 14.00,"1,35568032","17,89116907","0,37347687","37,30025565","7,81440783","0,45596788"
10/01/2009 15.00,"1,47533241","24,62386408","0,38930572","37,63254285",,"0,45134155"
10/01/2009 16.00,"1,20780852","23,44280256","0,42341576","38,64416745","7,81440783","0,50486829"
10/01/2009 17.00,"1,53515845","30,16902736","0,39363603","34,51212345",,"0,5550908"
10/01/2009 18.00,"2,3591766","47,27173352","0,45694795","26,48982945","13,18680954","0,65421373"
10/01/2009 19.00,"2,53075365","45,51148896","0,96171682","19,16664131",,"1,80448547"
10/01/2009 20.00,"1,39292998","29,8705068","0,50467334","26,94712335","17,58241081","1,03528871"
10/01/2009 21.00,"1,12427723","21,69554048","0,45271434","24,17542995",,"0,62844193"
10/01/2009 22.00,"1,08138322","22,96095944","0,44621947","22,67032215","15,62880993","0,61456496"
10/01/2009 23.00,"1,24167157","21,55602184","0,44150471","22,34298255",,"0,60178839"
11/01/2009 0.00,"1,17394446","18,6990885","0,46690754","23,3578989","19,53602028","0,6471649"
11/01/2009 1.00,"1,09718638","17,31522878","0,45978706","26,23486845",,"0,6146748"
11/01/2009 2.00,"1,25070253","17,65267958","0,45208874","28,2301677","24,90842056","0,62734052"
11/01/2009 3.00,"1,12653497",,"0,42346352","32,6763843",,"0,57480535"
