,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


09/01/2009 17.00,"0,531541","15,409355","6,987744",
09/01/2009 18.00,"0,714145","14,292661","5,865085",
09/01/2009 19.00,"0,607475","15,127912","6,699615",
09/01/2009 20.00,"0,582163","14,552056","6,364765",
09/01/2009 21.00,"0,701489","12,425016","5,047424",
09/01/2009 22.00,"0,652674","12,358871","5,72751",
09/01/2009 23.00,,"14,637655","8,449149",
10/01/2009 0.00,"0,73584","8,102201","3,466617",
10/01/2009 1.00,,"5,697609","2,85532",
10/01/2009 2.00,"1,654782",,,
10/01/2009 3.00,"1,087799","5,503063","2,648957",
10/01/2009 4.00,"1,649972","3,759929","2,194701",
10/01/2009 5.00,,"13,48724","11,904073",
10/01/2009 6.00,"0,861109",,,
10/01/2009 7.00,"1,077695",,,
10/01/2009 8.00,"1,184338","3,51999","4,852744",
10/01/2009 9.00,"1,086982","6,846728","6,142829",
10/01/2009 10.00,"1,158956","8,045134","6,112977",
10/01/2009 11.00,"1,137687","10,318729","7,091573",
10/01/2009 12.00,"1,015281","8,675463","5,718425",
10/01/2009 13.00,"0,916473","10,505493","6,708701",
10/01/2009 14.00,"1,061932","13,030704","8,80736",
10/01/2009 15.00,"1,036156","10,135856","6,651595",
10/01/2009 16.00,"1,223427","10,47696","7,307022",
10/01/2009 17.00,"1,10946","12,471708","9,784658",
10/01/2009 18.00,"0,914174","12,508022","9,870318",
10/01/2009 19.00,"0,893934","11,928275","9,05136",
10/01/2009 20.00,"1,016401","15,114943","10,852805",
10/01/2009 21.00,"1,16773","19,863156","14,31423",
10/01/2009 22.00,"1,103712","27,674841","18,406422",
10/01/2009 23.00,"1,318059","30,983423","20,492089",
11/01/2009 0.00,"1,292647","27,473794","16,174079",
11/01/2009 1.00,"1,384163","42,023274","21,128057",
11/01/2009 2.00,"0,898502","20,944831","14,350565",
11/01/2009 3.00,"0,957951","12,121526","7,339466",
11/01/2009 4.00,,,,
11/01/2009 5.00,"0,835424","17,101907","8,491978",
11/01/2009 6.00,,"22,650355","13,793778",
11/01/2009 7.00,"0,735889","14,654516","9,004636",
11/01/2009 8.00,"0,671055","9,109949","4,455595",
11/01/2009 9.00,"0,637958","9,416036","4,606148",
11/01/2009 10.00,"0,659529","11,709088","5,791106",
11/01/2009 11.00,"0,606978","12,323853","5,326469",
11/01/2009 12.00,"0,840264","13,834828","6,728169",
11/01/2009 13.00,"0,81228","11,272006","4,672341",
11/01/2009 14.00,"0,771468","12,759636","6,055871",
11/01/2009 15.00,"0,793824","11,605329","5,162935",
11/01/2009 16.00,"0,969538","15,791964","8,438765",
11/01/2009 17.00,"0,963638","23,853958","13,530318",
11/01/2009 18.00,"1,013435","22,781346","13,569244",
11/01/2009 19.00,"0,946999","19,2017","9,539359",
11/01/2009 20.00,"1,069859","16,457312","8,970891",
11/01/2009 21.00,"1,144706","15,986509","8,127275",
11/01/2009 22.00,"1,116751","19,437755","11,126648",
11/01/2009 23.00,"1,287533","25,463499","16,242862",
12/01/2009 0.00,"1,467331","47,71828","26,61416",
12/01/2009 1.00,,"46,077613","25,321476",
12/01/2009 2.00,"0,596567",,,
12/01/2009 3.00,"0,448362","25,025116","15,896339",
12/01/2009 4.00,"0,487029","23,850057","14,241541",
12/01/2009 5.00,"0,632818","21,710053","11,819718",
12/01/2009 6.00,"0,625145","24,968043","12,205181",
12/01/2009 7.00,"0,544003","37,722496","19,200704",
12/01/2009 8.00,"1,437101","122,622444","38,819334",
12/01/2009 9.00,"0,947716","78,347623","32,631088",
12/01/2009 10.00,"0,645264","37,854789","21,420059",
12/01/2009 11.00,"0,711361","61,400074","30,68169",
12/01/2009 12.00,"0,607805","47,853151","24,887988",
12/01/2009 13.00,"0,681454","14,610419","6,669765",
12/01/2009 14.00,"0,863675","12,086507","5,78202",
12/01/2009 15.00,"0,585571","13,869847","7,567893",
12/01/2009 16.00,"0,554637","16,350959","9,737934",
12/01/2009 17.00,"0,630401","59,138141","33,054196",
12/01/2009 18.00,"0,892011","56,375586","33,013967",
12/01/2009 19.00,"0,572158","35,186918","25,063184",
12/01/2009 20.00,"0,746887","33,030028","24,320811",
12/01/2009 21.00,"0,60853","41,649746","25,867867",
12/01/2009 22.00,"0,619526","26,884976","20,179306",
12/01/2009 23.00,"0,580133","20,148484","14,643889",
13/01/2009 0.00,"0,622607","19,126482","13,889821",
13/01/2009 1.00,"0,469025","14,200575","9,497829",
13/01/2009 2.00,"0,520018","11,533994","7,098063",
13/01/2009 3.00,"0,437909","9,597612","5,29402",
13/01/2009 4.00,"0,483646","8,467948","4,173957",
13/01/2009 5.00,"0,429995","7,929703","3,846892",
13/01/2009 6.00,"0,421959","7,742938","3,698936",
13/01/2009 7.00,"0,40033","7,92192","4,170064",
13/01/2009 8.00,"0,474281","14,290066","9,085105",
13/01/2009 9.00,"0,571131","23,328675","15,294124",
13/01/2009 10.00,"0,649372","12,736291","7,628891",
13/01/2009 11.00,"0,477362","11,120261","6,28949",
13/01/2009 12.00,"0,619949","11,982748","7,220064",
13/01/2009 13.00,"0,565452","10,492524","5,759957",
13/01/2009 14.00,"0,478873","11,856943","6,694424",
13/01/2009 15.00,"0,493917","10,838818","6,593192",
13/01/2009 16.00,,"11,845269","7,130509",
13/01/2009 17.00,"0,545695","7,531532","4,48285",
13/01/2009 18.00,"0,422623","5,921986","3,698936",
13/01/2009 19.00,"0,634992","5,674263","3,887126",
13/01/2009 20.00,"0,5753","6,552317","4,646382",
13/01/2009 21.00,,"10,487337","7,549723",
13/01/2009 22.00,,"13,524851","9,114957",
13/01/2009 23.00,,"11,051521","6,372553",
