,,,Provincia di Lecce,,,
08/01/2009 23.00,"2,5","35,2","59,9","0,4","3,2","33,9"
09/01/2009 0.00,"2,2","27,3","58,3","0,4","2,1",
09/01/2009 1.00,"2,1","26,8","44,5","0,3","2,9",
09/01/2009 2.00,"2,5","18,6","33,0","0,3","4,5",
09/01/2009 3.00,"2,3","14,5","28,9","0,3","6,9",
09/01/2009 4.00,"2,2","10,5","23,4","0,2","6,7",
09/01/2009 5.00,"1,8","13,3","27,5","0,2","6,7","20,3"
09/01/2009 6.00,"2,1","21,1","40,8","0,3","4,6","20,3"
09/01/2009 7.00,"2,5","31,7","88,4","0,3","1,2","20,3"
09/01/2009 8.00,"4,0","46,2","212,9","0,8","2,1","20,3"
09/01/2009 9.00,"4,9","48,4","183,0","0,8","3,7","20,3"
09/01/2009 10.00,"4,8","24,1","54,4","0,2","25,2","20,3"
09/01/2009 11.00,"4,8","16,0","35,5","0,2","36,3","20,3"
09/01/2009 12.00,"5,3","16,1","30,5","0,2","34,8","20,3"
09/01/2009 13.00,"5,2","20,2","42,9","0,3","29,1","20,3"
09/01/2009 14.00,"4,7","29,5","58,7","0,3","20,9","20,3"
09/01/2009 15.00,"4,3","22,0","35,2","0,2","26,0","20,3"
09/01/2009 16.00,"4,0","24,9","39,1","0,3","23,6","20,3"
09/01/2009 17.00,"3,9","23,8","37,6","0,3","27,0","20,3"
09/01/2009 18.00,"3,5","26,4","40,6","0,2","26,6","20,3"
09/01/2009 19.00,"3,5","27,6","41,9","0,3","24,3","20,3"
09/01/2009 20.00,"3,4","18,8","29,8","0,2","31,1","20,3"
09/01/2009 21.00,"3,1","16,8","27,1","0,2","32,8","20,3"
09/01/2009 22.00,"2,7","11,7","19,8","0,2","35,0","20,3"
09/01/2009 23.00,"2,9","11,6","20,4","0,2","31,8","20,3"
10/01/2009 0.00,"3,4","9,6","17,9","0,2","34,9",
10/01/2009 1.00,"2,6","6,9","14,8","0,2","38,8",
10/01/2009 2.00,"2,3","5,7","13,3","0,2","39,7",
10/01/2009 3.00,"2,5","5,9","13,1",,"35,0",
10/01/2009 4.00,"2,3","5,9","12,4","0,2","35,2",
10/01/2009 5.00,"2,4","5,6","12,9","0,2",,"15,4"
10/01/2009 6.00,"3,8","7,1","14,2","0,3","32,2","15,4"
10/01/2009 7.00,"2,3","10,6","21,2","0,3","33,4","15,4"
10/01/2009 8.00,"3,7","27,7","51,6","0,4","20,6","15,4"
10/01/2009 9.00,"5,1","17,5","28,5","0,3","37,4","15,4"
10/01/2009 10.00,"5,4","16,6","31,0","0,3","33,1","15,4"
10/01/2009 11.00,"5,8","17,7","30,7","0,3","28,7","15,4"
10/01/2009 12.00,"6,1","20,9","34,8","0,4","25,1","15,4"
10/01/2009 13.00,"5,6","24,6","44,2","0,4","26,1","15,4"
10/01/2009 14.00,"4,2","28,2","45,7","0,3","27,6","15,4"
10/01/2009 15.00,"4,4","18,0","27,8","0,4","32,5","15,4"
10/01/2009 16.00,"4,3","29,3","41,8","0,5","24,5","15,4"
10/01/2009 17.00,"4,6","30,8","46,8","0,5","23,1","15,4"
10/01/2009 18.00,"4,7","32,4","46,8","0,4","20,2","15,4"
10/01/2009 19.00,"5,2","43,1","79,0","0,6","6,9","15,4"
10/01/2009 20.00,"5,0","33,9","54,7","0,5","11,2","15,4"
10/01/2009 21.00,"4,9","35,6","55,9","0,5","7,5","15,4"
10/01/2009 22.00,"5,1","31,4","51,1","0,4","6,2","15,4"
10/01/2009 23.00,"4,8","21,7","34,9","0,3","14,5","15,4"
11/01/2009 0.00,"4,9","18,5","30,7","0,3","16,7",
11/01/2009 1.00,"4,8","17,8","31,3","0,3","17,0",
11/01/2009 2.00,"4,7","18,0","28,5","0,3","17,5",
11/01/2009 3.00,"4,5","15,6","26,3","0,3","19,3",
11/01/2009 4.00,"4,4","12,1","22,7","0,3","25,0",
11/01/2009 5.00,"4,3","11,9","20,8","0,3","27,0","13,1"
11/01/2009 6.00,"4,2","10,7","21,2","0,3","28,5","13,1"
11/01/2009 7.00,"4,3","12,2","21,3","0,3","26,7","13,1"
11/01/2009 8.00,"4,3","14,0","24,2","0,3","28,1","13,1"
11/01/2009 9.00,"4,7","10,7","18,8","0,2","38,5","13,1"
11/01/2009 10.00,"4,7","12,4","21,9","0,2","39,2","13,1"
11/01/2009 11.00,"4,9","14,5","25,2","0,2","39,4","13,1"
11/01/2009 12.00,"5,2","11,6","19,6","0,2","43,7","13,1"
11/01/2009 13.00,"5,6","12,5","20,8","0,2","43,9","13,1"
11/01/2009 14.00,"5,3","12,2","19,4","0,2","46,5","13,1"
11/01/2009 15.00,"4,9","11,9","17,9","0,2","47,3","13,1"
11/01/2009 16.00,"4,7","12,7","19,1","0,3","42,2","13,1"
11/01/2009 17.00,"4,9","39,7","76,6","0,7","11,0","13,1"
11/01/2009 18.00,"5,4","46,4","92,2","0,8","7,2","13,1"
11/01/2009 19.00,"5,3","35,6","55,6","0,6","13,4","13,1"
11/01/2009 20.00,"5,6","37,3","65,9","0,6","7,4","13,1"
11/01/2009 21.00,"5,3","33,9","56,4","0,6","7,3","13,1"
11/01/2009 22.00,"5,5","34,2","69,1","0,7","2,8","13,1"
11/01/2009 23.00,"5,4","28,6","61,4","0,7","2,6","13,1"
12/01/2009 0.00,"5,3","23,7","60,2","0,6","1,8",
12/01/2009 1.00,"5,4","19,4","83,8","0,8","1,0",
12/01/2009 2.00,"5,8","14,0","71,0","0,8","0,8",
12/01/2009 3.00,"5,4","13,7","49,6",,"0,7",
12/01/2009 4.00,"5,1","11,5","34,7","0,1","0,5",
12/01/2009 5.00,"5,1","15,6","42,1","0,1",,"18,4"
12/01/2009 6.00,"5,6","14,9","58,4","0,1","1,1","18,4"
12/01/2009 7.00,"5,4","17,3","70,9","0,2","2,9","18,4"
12/01/2009 8.00,"6,3","28,5","90,1","0,2","5,5","18,4"
12/01/2009 9.00,"6,7","26,5","67,8","0,1","6,6","18,4"
12/01/2009 10.00,"7,6","41,0","131,3","0,2","4,6","18,4"
12/01/2009 11.00,"8,7","34,8","96,6","0,1","18,4","18,4"
12/01/2009 12.00,"8,8","21,5","41,7","0,0","31,9","18,4"
12/01/2009 13.00,"8,2","26,8","44,9","0,1","29,4","18,4"
12/01/2009 14.00,"7,2","33,0","61,7","0,0","20,3","18,4"
12/01/2009 15.00,"6,8","21,2","34,6","0,0","32,9","18,4"
12/01/2009 16.00,"6,6","39,2","62,7","0,1","15,0","18,4"
12/01/2009 17.00,"6,8","48,0","83,4","0,1","5,6","18,4"
12/01/2009 18.00,"7,0","51,7","124,6","0,3","3,9","18,4"
12/01/2009 19.00,"7,3","58,1","141,7","0,3","3,2","18,4"
12/01/2009 20.00,"7,6","58,1","206,8","0,9","4,2","18,4"
12/01/2009 21.00,"8,2","54,7","262,7","0,8","4,1","18,4"
12/01/2009 22.00,"8,3","49,7","274,8","0,9","3,7","18,4"
12/01/2009 23.00,"8,5","42,7","228,4","0,9","3,6",
13/01/2009 0.00,"8,2","39,0","206,2","0,7","3,5",
13/01/2009 1.00,"7,9","31,2","127,7",,"1,7",
13/01/2009 2.00,"7,5","18,3","54,7",,"10,1",
13/01/2009 3.00,"6,9","8,9","24,6",,"26,9",
13/01/2009 4.00,"6,6","5,9","18,3",,"36,4",
13/01/2009 5.00,"6,3","7,1","15,5",,"41,1","41,5"
13/01/2009 6.00,"6,3","9,4","17,5",,"38,2","41,5"
13/01/2009 7.00,"5,9","16,9","26,2",,"30,8","41,5"
13/01/2009 8.00,"6,2","39,6","71,2",,"12,4","41,5"
13/01/2009 9.00,"6,7","30,2","47,9",,"21,6","41,5"
13/01/2009 10.00,"6,9","28,9","46,4",,"19,7","41,5"
13/01/2009 11.00,"6,6","19,1","31,9",,"34,5","41,5"
13/01/2009 12.00,"6,0","16,7","28,1",,"39,0","41,5"
13/01/2009 13.00,"5,6","34,3","61,6",,"25,1","41,5"
13/01/2009 14.00,"5,2","19,9","38,8",,"37,4","41,5"
13/01/2009 15.00,"4,9","15,1","24,3",,"40,2","41,5"
13/01/2009 16.00,"4,6","15,6","24,5",,"39,1","41,5"
13/01/2009 17.00,"5,0","11,2","20,6",,"42,6","41,5"
13/01/2009 18.00,"4,8","11,6","20,5",,"45,4","41,5"
13/01/2009 19.00,"4,6","11,5","19,7",,"43,5","41,5"
13/01/2009 20.00,"4,7","11,8","19,7",,"43,8","41,5"
13/01/2009 21.00,"4,4","9,3","16,3",,"45,4","41,5"
13/01/2009 22.00,"4,2","8,9","15,1",,"47,8","41,5"
13/01/2009 23.00,"4,3","8,3","13,0",,"52,3",
14/01/2009 0.00,"4,2","8,1","11,9",,"52,7",
14/01/2009 1.00,"6,6","7,1","11,7",,"50,4",
14/01/2009 2.00,"8,5","7,4","12,3",,"48,8",
14/01/2009 3.00,"9,7","7,5","12,3",,"48,0",
14/01/2009 4.00,"9,3","7,7","12,8","0,2","57,3",
14/01/2009 5.00,"9,3","6,0","10,4","0,1",,"18,8"
14/01/2009 6.00,"9,4","7,8","11,9","0,2","50,5","18,8"
14/01/2009 7.00,"9,6","11,4","16,8","0,2","46,6","18,8"
14/01/2009 8.00,"10,7","23,4","35,8","0,2","34,5","18,8"
14/01/2009 9.00,"11,2","15,6","24,2","0,2","41,1","18,8"
14/01/2009 10.00,"11,4","14,8","24,5","0,2","42,0","18,8"
14/01/2009 11.00,"12,0","12,6","22,9","0,2","41,8","18,8"
14/01/2009 12.00,"12,7","13,2","22,0","0,2","41,1","18,8"
14/01/2009 13.00,"12,2","14,3","23,7","0,3","39,8","18,8"
14/01/2009 14.00,"11,6","12,5","20,9","0,2","41,2","18,8"
14/01/2009 15.00,"11,6","10,4","16,6","0,2","44,8","18,8"
14/01/2009 16.00,"11,8","14,9","21,2","0,2","37,1","18,8"
14/01/2009 17.00,"12,4","18,3","25,9","0,3","33,7","18,8"
14/01/2009 18.00,"13,1","22,8","32,1","0,3","29,2","18,8"
14/01/2009 19.00,"13,8","18,7","27,9","0,3","32,0","18,8"
14/01/2009 20.00,"13,7","19,6","27,5","0,3","32,4","18,8"
14/01/2009 21.00,"13,7","19,2","26,9","0,4","29,8","18,8"
14/01/2009 22.00,"13,9","18,6","27,2","0,4","25,9","18,8"
14/01/2009 23.00,"14,5","20,3","30,4","0,4","19,1",
15/01/2009 0.00,"14,5","15,2","23,6","0,5","20,3",
15/01/2009 1.00,"14,8","10,2","19,5","0,4","19,4",
15/01/2009 2.00,"14,9","7,6","17,1","0,3","17,9",
15/01/2009 3.00,"15,0","7,9","16,5","0,3","17,6",
15/01/2009 4.00,"15,1","6,6","15,3","0,3","12,1",
15/01/2009 5.00,"15,3","6,9","16,2","0,3","18,2","12,9"
15/01/2009 6.00,"15,3","10,8","20,7","0,3","24,9","12,9"
15/01/2009 7.00,"15,4","15,0","27,2","0,3","18,6","12,9"
15/01/2009 8.00,"16,5","40,5","96,4","0,6","3,3","12,9"
15/01/2009 9.00,"17,2","35,2","81,2","0,6","6,9","12,9"
15/01/2009 10.00,"17,2","19,1","40,6","0,4","21,7","12,9"
15/01/2009 11.00,"17,4","13,2","27,3","0,3","38,5","12,9"
15/01/2009 12.00,"17,9","12,1","23,5","0,3","45,8","12,9"
15/01/2009 13.00,"18,3","15,2","25,0","0,3","48,9","12,9"
15/01/2009 14.00,"17,6","11,8","19,5","0,2","51,7","12,9"
15/01/2009 15.00,,"10,3","15,9","0,2",,"12,9"
15/01/2009 16.00,,"22,6","28,1","0,3",,"12,9"
15/01/2009 17.00,,"38,5","60,4","0,5","19,7","12,9"
15/01/2009 18.00,,"52,9","125,3","0,7","4,8","12,9"
15/01/2009 19.00,"0,2","61,0","218,9","1,7","3,6","12,9"
15/01/2009 20.00,"1,6","59,8","297,3","2,3","4,2","12,9"
15/01/2009 21.00,"1,9","64,6","331,6","2,1","6,5","12,9"
15/01/2009 22.00,"1,6","53,7","244,9","1,6","5,9","12,9"
15/01/2009 23.00,"1,0","43,7","140,9","1,2","4,5",
16/01/2009 0.00,"0,5","34,5","73,9","0,6","4,3",
16/01/2009 1.00,,"30,2","52,4","0,5","5,9",
16/01/2009 2.00,,"24,5","40,8","0,4","8,5",
16/01/2009 3.00,,"20,0","34,1",,"11,3",
16/01/2009 4.00,,"18,0","30,8","0,1","11,3",
16/01/2009 5.00,,"21,1","33,1","0,1",,"29,9"
16/01/2009 6.00,,"15,3","26,7","0,1","19,7","29,9"
16/01/2009 7.00,,"20,4","33,1","0,1","23,4","29,9"
16/01/2009 8.00,,"30,7","58,2","0,1","14,5","29,9"
16/01/2009 9.00,,"25,3","45,8","0,1","23,4","29,9"
16/01/2009 10.00,,"22,6","42,6","0,1","26,3","29,9"
16/01/2009 11.00,"0,0","16,7","34,1","0,1","38,2","29,9"
16/01/2009 12.00,"0,0","18,3","35,4","0,1","42,7","29,9"
16/01/2009 13.00,"0,1","19,6","37,1","0,1","42,2","29,9"
16/01/2009 14.00,"0,4","17,8","35,0","0,1","43,3","29,9"
16/01/2009 15.00,"0,9","19,4","33,3","0,1","43,7","29,9"
16/01/2009 16.00,"1,5","20,1","32,8","0,1","43,4","29,9"
16/01/2009 17.00,"1,7","25,0","39,0","0,1","37,4","29,9"
16/01/2009 18.00,"0,9","20,3","33,0","0,1","39,8","29,9"
16/01/2009 19.00,"0,1","20,9","32,3","0,1","38,6","29,9"
16/01/2009 20.00,"0,1","21,6","33,4","0,1","33,1","29,9"
16/01/2009 21.00,"0,0","21,5","33,5","0,1","28,4","29,9"
16/01/2009 22.00,"0,0","15,6","26,5","0,1","31,2","29,9"
16/01/2009 23.00,"0,0","13,4","21,9","0,1","32,9",
17/01/2009 0.00,"0,0","12,1","19,3","0,1","32,2",
17/01/2009 1.00,"0,0","15,3","23,0","0,1","29,3",
17/01/2009 2.00,"0,0","22,5","30,7","0,1","22,4",
17/01/2009 3.00,"0,0","10,2","18,6","0,1","31,2",
17/01/2009 4.00,"0,0","10,5","18,6","0,1","29,4",
17/01/2009 5.00,"0,0","10,9","18,7","0,1","26,9","12,6"
17/01/2009 6.00,"0,1","11,3","20,9","0,1","25,2","12,6"
17/01/2009 7.00,"0,0","16,7","28,0","0,1","20,4","12,6"
17/01/2009 8.00,"0,3","23,1","45,2","0,1","17,8","12,6"
17/01/2009 9.00,"1,3","16,6","31,3","0,1","30,1","12,6"
