,Comune Bari,,
,Piazza Duca Savoia,,
Parm,CO,PM10,BENZENE



12/01/2009 0.00,"0,94017481","61,53845978","3,85700606"
12/01/2009 1.00,,,"3,83629181"
12/01/2009 2.00,"0,68546154","60,56166077","3,35434161"
12/01/2009 3.00,"0,49280432",,"10,02198379"
12/01/2009 4.00,"0,40893481","52,7472496","3,48150729"
12/01/2009 5.00,"0,39133515",,"2,24953078"
12/01/2009 6.00,"0,54119493","34,67642975","1,88061199"
12/01/2009 7.00,"0,61830861",,"1,59684662"
12/01/2009 8.00,"0,94460763","44,93283081","1,77740785"
12/01/2009 9.00,"1,46959275",,"1,85984587"
12/01/2009 10.00,"1,64281194","51,77045059","2,18393529"
12/01/2009 11.00,"1,35691977",,"3,2133488"
12/01/2009 12.00,"1,22001247","77,16725922","4,50325769"
12/01/2009 13.00,"1,14877738",,"5,1533363"
12/01/2009 14.00,"1,21790615","76,67887115","5,24799154"
12/01/2009 15.00,"1,12354814",,"4,77886164"
12/01/2009 16.00,"1,0844554","68,37606049","4,53946188"
12/01/2009 17.00,"1,13340287",,"5,04368946"
12/01/2009 18.00,"1,02637083","60,56166077","4,5969895"
12/01/2009 19.00,"1,01302226",,"3,93084636"
12/01/2009 20.00,"1,07575518","77,16725922","4,24610518"
12/01/2009 21.00,"1,14849894",,"4,19880044"
12/01/2009 22.00,"1,37527435",,"3,89364044"
12/01/2009 23.00,"1,530697",,"4,47660111"
13/01/2009 0.00,"1,50185276","91,81929016","4,22444206"
13/01/2009 1.00,,,"4,89533662"
13/01/2009 2.00,"0,92372035","93,77288055","5,71579832"
13/01/2009 3.00,"0,72644857",,"12,70502505"
13/01/2009 4.00,"0,61945031","78,63246155","5,40125141"
13/01/2009 5.00,"0,49836137",,"3,88218902"
13/01/2009 6.00,"0,52312811","59,09645081","3,30930986"
13/01/2009 7.00,"0,72704388",,"2,9161336"
13/01/2009 8.00,"1,13721941","46,39804077","2,29177797"
13/01/2009 9.00,"1,9653084",,"2,41441292"
13/01/2009 10.00,"2,22439159","64,46884918","2,96673036"
13/01/2009 11.00,"1,79091955",,"4,38271472"
13/01/2009 12.00,"1,43237799","65,93405151","5,81671319"
13/01/2009 13.00,"1,32188706",,"6,35214539"
13/01/2009 14.00,"1,16095279","56,65444183","6,47502543"
13/01/2009 15.00,"0,84019451",,"5,29846525"
13/01/2009 16.00,"0,69303054","42,00244141","4,86696232"
13/01/2009 17.00,"0,9193714",,"3,96888827"
13/01/2009 18.00,"0,82265194","33,21123123","3,31652751"
13/01/2009 19.00,"0,9370328",,"2,8469237"
13/01/2009 20.00,"0,70279441","28,81562042","2,79843008"
13/01/2009 21.00,"0,74014081",,"3,47061013"
13/01/2009 22.00,"0,61067902","34,18803024","2,66043437"
13/01/2009 23.00,"0,50617969",,"2,36272491"
14/01/2009 0.00,"0,50419686","26,37360954","2,06532258"
14/01/2009 1.00,,,"2,12071044"
14/01/2009 2.00,"0,35212125","24,42000961","1,79747021"
14/01/2009 3.00,"0,26670229",,"10,43230464"
14/01/2009 4.00,"0,2487275","28,32722092","2,23358828"
14/01/2009 5.00,"0,1917124",,"1,32186609"
14/01/2009 6.00,"0,22984052","52,2588501","1,06187513"
14/01/2009 7.00,"0,46934239",,"0,48184748"
14/01/2009 8.00,"0,82184459","77,65567017","0,8584975"
14/01/2009 9.00,"1,51548443",,"0,96982239"
14/01/2009 10.00,"1,59217638","97,68009186","1,46273381"
14/01/2009 11.00,"1,16147704",,"2,62754256"
14/01/2009 12.00,"0,81816203",,"3,75796857"
14/01/2009 13.00,"0,71359512",,"4,03156089"
14/01/2009 14.00,"0,81265857",,"3,60588435"
14/01/2009 15.00,"0,72721514",,"2,89505525"
14/01/2009 16.00,"0,60229801","78,63246155","2,97271236"
14/01/2009 17.00,"0,72511697",,"2,94205184"
14/01/2009 18.00,"1,05132862","65,93405151","2,50293972"
14/01/2009 19.00,"1,06946301",,"2,18083955"
14/01/2009 20.00,"1,01224986","56,65444183","2,96083583"
14/01/2009 21.00,"1,19117289",,"3,06439287"
14/01/2009 22.00,"1,03066036","47,37483978","3,09363366"
14/01/2009 23.00,"0,81329233",,"4,08992957"
15/01/2009 0.00,"0,91239422","38,0952301","3,5264058"
15/01/2009 1.00,,,"3,34187827"
15/01/2009 2.00,"0,87359855","46,88644028","2,71932579"
15/01/2009 3.00,"0,67424841",,"11,8631016"
15/01/2009 4.00,"0,40193898","52,2588501","3,69122184"
15/01/2009 5.00,"0,2834911",,"3,03205532"
15/01/2009 6.00,"0,24581966","31,25761986","2,00108683"
15/01/2009 7.00,"0,30474653",,"1,46012927"
15/01/2009 8.00,"0,58530299","25,39682007","1,52177371"
15/01/2009 9.00,"0,9389434",,"1,12807776"
15/01/2009 10.00,"1,26018633","28,81562042","1,02136293"
15/01/2009 11.00,"1,04061761",,"1,91476895"
15/01/2009 12.00,"1,02523262","36,63003159","2,81130937"
15/01/2009 13.00,"1,3098328",,"3,21960335"
15/01/2009 14.00,"1,79461144","51,28205109","3,42427561"
15/01/2009 15.00,"1,52940152",,"4,72233272"
15/01/2009 16.00,"1,26799765","61,05006027","5,15692021"
15/01/2009 17.00,"1,71676963",,"5,57751378"
15/01/2009 18.00,"2,05082057","65,93405151","5,46469288"
15/01/2009 19.00,"2,05006681",,"7,12530133"
15/01/2009 20.00,"1,40722447","64,95726013","8,42208515"
15/01/2009 21.00,"1,63543749",,"8,38533179"
15/01/2009 22.00,"1,89918067","62,02685165","7,97370612"
15/01/2009 23.00,"1,43966273",,"6,34138044"
16/01/2009 0.00,"1,2031223","81,56288147","6,5762332"
16/01/2009 1.00,,,"5,8226301"
