,Foggia,,
,Manfredonia - Capitaneria di Porto,,
Parm,SO2,NO2,PM10



08/01/2009 15.00,"0,45131714","27,97691936",
08/01/2009 16.00,"0,41976878","23,9158696",
08/01/2009 17.00,"0,50798235","33,33843504",
08/01/2009 18.00,"1,12838387","51,84217832",
08/01/2009 19.00,"1,14597797","48,50535592",
08/01/2009 20.00,"1,44101171","43,95502536",
08/01/2009 21.00,"1,48008281","44,1003756",
08/01/2009 22.00,"2,14410551","46,21202664",
08/01/2009 23.00,"2,52686668","48,94792656",
09/01/2009 0.00,"1,10763504","35,80179848",
09/01/2009 1.00,"0,6082677","21,47977128",
09/01/2009 2.00,"0,56543573","18,18058851",
09/01/2009 3.00,"0,45950704","11,5886951",
09/01/2009 4.00,"0,407757","12,61401848",
09/01/2009 5.00,"0,63890584","14,1416147",
09/01/2009 6.00,"0,49645465","15,07608176",
09/01/2009 7.00,"0,59516366","21,26042664",
09/01/2009 8.00,"0,480742","23,0618748",
09/01/2009 9.00,"1,00437598","41,08283808",
09/01/2009 10.00,"0,88619346","29,25402064",
09/01/2009 11.00,"0,79816194","33,39942784",
09/01/2009 12.00,"0,95541658","39,00753416",
09/01/2009 13.00,"0,88127932","36,7349692",
09/01/2009 14.00,"1,03689455","40,37029304",
09/01/2009 15.00,"0,67840104","37,21126752",
09/01/2009 16.00,"0,49784998","40,58055568",
09/01/2009 17.00,"0,50670805","37,60452768",
09/01/2009 18.00,"0,6116655","38,06268112",
09/01/2009 19.00,"0,67700571","42,95176072",
09/01/2009 20.00,"0,62513363","41,05557296",
09/01/2009 21.00,"0,71019246","48,05112208",
09/01/2009 22.00,"0,49196561","37,00492448",
09/01/2009 23.00,"0,41600792","31,85367144",
10/01/2009 0.00,"0,3537004","26,90746128",
10/01/2009 1.00,,"18,96709545",
10/01/2009 2.00,"0,80796887","18,45832946",
10/01/2009 3.00,"0,82127123","25,72639976",
10/01/2009 4.00,"0,62838599","16,79316866",
10/01/2009 5.00,"0,61523517","9,60165866",
10/01/2009 6.00,"0,60933962","16,55565619",
10/01/2009 7.00,"0,70910732","20,9554244",
10/01/2009 8.00,"1,31633158","48,92198072",
10/01/2009 9.00,"1,32691244","43,20357112",
10/01/2009 10.00,"1,05481816","42,48194408",
10/01/2009 11.00,"0,81356135","43,37358616",
10/01/2009 12.00,"0,89655059","42,49360728",
10/01/2009 13.00,"0,76624746","37,41374832",
10/01/2009 14.00,"0,94189964","44,06274744",
10/01/2009 15.00,"0,53028109","27,76665672",
10/01/2009 16.00,"0,44593213","26,1144784",
10/01/2009 17.00,"0,42476937","28,20016448",
10/01/2009 18.00,"0,31744333","21,28509144",
10/01/2009 19.00,"0,40436225","22,5570112",
10/01/2009 20.00,"0,44336217","30,94904688",
10/01/2009 21.00,"0,44079221","29,8679256",
10/01/2009 22.00,"0,83593332","46,42877096",
10/01/2009 23.00,"0,62838599","33,06977992",
11/01/2009 0.00,"0,44668776","35,79919816",
11/01/2009 1.00,"0,35523403","22,412942",
11/01/2009 2.00,"0,41176906","22,0053992",
11/01/2009 3.00,"0,35175691","14,98393292",
11/01/2009 4.00,"0,52272275","25,41491584",
11/01/2009 5.00,"0,49112964","20,5881292",
11/01/2009 6.00,"0,46633925","15,64844087",
11/01/2009 7.00,"0,9192246","30,91009944",
11/01/2009 8.00,,,
11/01/2009 9.00,,,
11/01/2009 10.00,"0,83321285","31,29947824",
11/01/2009 11.00,"0,57744446","25,12159592",
11/01/2009 12.00,"0,57442092","27,51876592",
11/01/2009 13.00,"0,38909505","21,0475828",
11/01/2009 14.00,"0,36460569","20,01447184",
11/01/2009 15.00,"0,54479266","14,79444225",
11/01/2009 16.00,"0,39423395","13,28890859",
11/01/2009 17.00,"0,37851316","15,22273981",
11/01/2009 18.00,"0,72649192","31,73036656",
11/01/2009 19.00,"0,85059643","39,06852696",
11/01/2009 20.00,"0,67691012","26,17417104",
11/01/2009 21.00,"0,783329","30,06000512",
11/01/2009 22.00,"0,79300372","36,95949536",
11/01/2009 23.00,"1,39055224","46,47550024",
12/01/2009 0.00,"0,91378264","38,1431572",
12/01/2009 1.00,,"21,4213788",
12/01/2009 2.00,"0,48413878",,
12/01/2009 3.00,"0,66681639","20,99697216",
12/01/2009 4.00,"0,64648453","19,59396568",
12/01/2009 5.00,"0,58658933","16,70101217",
12/01/2009 6.00,"0,87953313","16,55954329",
12/01/2009 7.00,"0,94428247","23,93405272",
