,Comune Bari,,,,
,Via M.L.King,,,,
Parm,SO2,NO2,CO,PM10,BENZENE



07/01/2009 21.00,"4,07621024","68,79498368","0,83116226",,
07/01/2009 22.00,"7,48253784","88,731618","1,45386408","54,21244049",
07/01/2009 23.00,"8,33715243","85,42074144","1,55148293",,
08/01/2009 0.00,"6,97965981","74,27850408","1,29963905","60,07326126",
08/01/2009 1.00,"7,27541562","77,69840288","1,02229449",,
08/01/2009 2.00,,"47,7162544","0,55504212","48,84004974",
08/01/2009 3.00,"1,77406497",,"0,66268695",,
08/01/2009 4.00,"0,83068052","63,23880728","0,62637157","39,07204056",
08/01/2009 5.00,"0,96557743","50,10824288","0,47202888",,
08/01/2009 6.00,"2,54410686","77,23116744",,"35,65322113",
08/01/2009 7.00,"1,63115003","57,39319232","0,69357693",,
08/01/2009 8.00,"1,77100177","69,82679448","0,89496931","26,86202049",
08/01/2009 9.00,"3,98456939","79,42587576","1,21061441",,
08/01/2009 10.00,"3,02513362","68,77811984","0,84562807","27,8388195",
08/01/2009 11.00,"2,88292651","59,35167304","0,60833621",,
08/01/2009 12.00,"2,75986443","67,00653712","0,71289845","23,44322014",
08/01/2009 13.00,"3,28738538","52,91941824","0,62015397",,
08/01/2009 14.00,"1,30218104","34,4507028","0,45997928","31,25761986",
08/01/2009 15.00,"1,89617209","39,54746384","0,39902765",,
08/01/2009 16.00,"2,0827499","58,74946952","0,58253495","28,81562042",
08/01/2009 17.00,"3,32893898","84,0320176","0,99602374",,
08/01/2009 18.00,"4,69652736","93,6635264","0,91017955","46,39804077",
08/01/2009 19.00,"5,29398231","87,34289416","1,08391833",,
08/01/2009 20.00,"3,14517827","75,2519224","1,02271972","61,53845978",
08/01/2009 21.00,"6,02994962","81,54138904","1,13092259",,
08/01/2009 22.00,"3,43975028","62,89617688","0,84665327","72,77165985",
08/01/2009 23.00,"1,58757971","56,01095016","0,59160564",,
09/01/2009 0.00,"3,75463688","56,9960508","0,60442064","67,39926147",
09/01/2009 1.00,"3,61612351","54,44052896","0,50047701",,
09/01/2009 2.00,,"45,63706912","0,35953298","47,37483978",
09/01/2009 3.00,,,"0,25621379",,
09/01/2009 4.00,,"25,59143168","0,22181484","35,65322113",
09/01/2009 5.00,,"21,90935944","0,24153246",,
09/01/2009 6.00,,"35,48641408",,"27,35042",
09/01/2009 7.00,,"46,21850832","0,73727491",,
09/01/2009 8.00,,"58,77283416","0,71656471","26,37360954",
09/01/2009 9.00,"0,98721004","75,45826544","1,20041134",,
09/01/2009 10.00,"0,25104137","69,59838696","0,98266236","41,5140419",
09/01/2009 11.00,,"64,95069736","0,84137698",,
09/01/2009 12.00,,"50,2600748","0,64714935","49,32844162",
09/01/2009 13.00,,"55,216648","0,56501335",,
09/01/2009 14.00,"0,23396594","61,33223736","0,93403642","33,21123123","4,48719926"
09/01/2009 15.00,,"56,79487016","0,7639639",,"4,33319495"
09/01/2009 16.00,,"62,19011352","0,6855594","38,58362961","3,52329378"
09/01/2009 17.00,"0,11096996","51,99923","0,65534629",,"2,60883281"
09/01/2009 18.00,,"61,64762176","0,74317447","40,53723145","2,29239529"
09/01/2009 19.00,"0,84061254","73,40114464","1,1101285",,"2,67254176"
09/01/2009 20.00,"1,53802232","77,44791176","1,1758613","43,46763992","3,89711959"
09/01/2009 21.00,"2,43501124","76,2525676","1,28566604",,"3,78850603"
09/01/2009 22.00,"0,77653645","70,20707216","1,18049334","46,88644028","4,07706147"
09/01/2009 23.00,"1,03538126","62,0226988","0,79457194",,"3,17897318"
