,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
13/01/2009 22.00,"0,897616","12,273271","4,519192",,
13/01/2009 23.00,"0,81273","12,600108","3,493872",,
14/01/2009 0.00,,"28,223452","12,52186",,
14/01/2009 1.00,,"21,675025","3,626255","51,385151",
14/01/2009 2.00,"0,912065",,,"51,385151",
14/01/2009 3.00,"0,856076","28,056152","3,500361","51,385151",
14/01/2009 4.00,"0,960828","30,446477","3,352403","51,385151",
14/01/2009 5.00,"0,903034","33,185665","2,904638","51,385151",
14/01/2009 6.00,"0,946379","36,298401","3,756042","51,385151",
14/01/2009 7.00,"0,792864","42,577045","8,816446","51,385151",
14/01/2009 8.00,"0,762161","40,090757","8,389445","51,385151",
14/01/2009 9.00,"0,823568","37,954651","8,052","51,385151",
14/01/2009 10.00,"0,762161","37,933908","7,136999","51,385151",
14/01/2009 11.00,"0,603226","38,015608","7,416042","51,385151",
14/01/2009 12.00,"0,787446","40,887124","7,765169","51,385151",
14/01/2009 13.00,"0,888585","53,798477","16,5868","51,385151",
14/01/2009 14.00,"0,978889","68,586594","28,402625","51,385151",
14/01/2009 15.00,"1,043908","87,0607","43,83562","51,385151",
14/01/2009 16.00,"1,168526","77,247784","35,594136","51,385151",
14/01/2009 17.00,"1,029459","69,934171","28,592105","51,385151",
14/01/2009 18.00,"0,975277","57,228989","17,661436","51,385151",
14/01/2009 19.00,"0,767579","63,259917","25,743282","51,385151",
14/01/2009 20.00,"0,940962","67,485471","32,092477","51,385151",
14/01/2009 21.00,"0,792864","58,852811","26,985337","51,385151",
14/01/2009 22.00,"1,051131","38,11807","9,031894","51,385151",
14/01/2009 23.00,"0,841627","36,924868","8,925466","51,385151",
15/01/2009 0.00,"0,915676","38,898835","11,375839","51,385151",
15/01/2009 1.00,"0,93735","35,395707","6,944913","32,233341",
15/01/2009 2.00,"1,002368","40,36314","10,168829","32,233341",
15/01/2009 3.00,"0,919289","42,330645","10,990378","32,233341",
15/01/2009 4.00,"0,95541","43,946689","12,455672","32,233341",
15/01/2009 5.00,"0,800088","45,846756","14,829485","32,233341",
15/01/2009 6.00,"0,857882","42,868895","12,118231","32,233341",
15/01/2009 7.00,"0,980695","58,213401","25,98209","32,233341",
15/01/2009 8.00,"1,121569","115,44499","52,187426","32,233341",
15/01/2009 9.00,"2,272034","173,22391","60,03307","32,233341",
15/01/2009 10.00,"2,12213","139,471448","51,62545","32,233341",
15/01/2009 11.00,"1,473752","101,912352","47,703269","32,233341",
15/01/2009 12.00,"1,513485","57,28216","24,013208","32,233341",
15/01/2009 13.00,"1,114344","54,094207","16,555656","32,233341",
15/01/2009 14.00,"1,329267","50,190323","10,658127","32,233341",
15/01/2009 15.00,"1,392478","56,562352","17,908032","32,233341",
15/01/2009 16.00,"1,237157","53,614333","16,800951","32,233341",
15/01/2009 17.00,"1,201035","57,808725","20,867165","32,233341",
