,Bari,,,
03/01/2009 1.00,"5,53198777","24,63099584","2,03483677",
03/01/2009 2.00,"5,87333467","20,57514672","1,9329715",
03/01/2009 3.00,"5,36221691","17,75358346","1,984927",
03/01/2009 4.00,"4,92695413","18,71400974","2,12993339",
03/01/2009 5.00,"4,99016678","17,35644577","2,08061311",
03/01/2009 6.00,"4,48988618","10,7814181","2,00386058",
03/01/2009 7.00,"4,76260286","8,20644549","1,92864119",
03/01/2009 8.00,"4,7030026","7,34076646","1,996697",
03/01/2009 9.00,"4,26773982","6,83718963","1,96048414",
03/01/2009 10.00,"5,04434949","10,04552946","1,85109996",
03/01/2009 11.00,"4,41583739","7,7521887","1,9797311",
03/01/2009 12.00,"4,33275866","8,70223282","2,03086179",
03/01/2009 13.00,"5,17257997","11,73665522","2,02472107",
03/01/2009 14.00,"4,99739155","11,52639449","1,89164196",
03/01/2009 15.00,"4,92153657","14,41935565","1,91616404",
03/01/2009 16.00,"4,91250561","15,11112298","1,98205411",
03/01/2009 17.00,"4,58741343","6,25184995","1,8518875",
03/01/2009 18.00,"5,24482257","7,97931901","1,67055292",
03/01/2009 19.00,"4,91070044","9,50950982","1,69243744",
03/01/2009 20.00,"4,81859075","12,83594623","1,71711564",
03/01/2009 21.00,"4,26412743","10,23112156","1,69869582",
03/01/2009 22.00,"4,43931585","8,05848728","1,73053877",
03/01/2009 23.00,"4,52420078","5,2524877","1,65378391",
04/01/2009 0.00,"4,81497836","3,09283017","1,59958461",
04/01/2009 1.00,"4,53323174",,"1,58447107",
04/01/2009 2.00,"4,41764358",,"1,59171271",
04/01/2009 3.00,"3,7855191",,,
04/01/2009 4.00,"3,49474253",,"1,63638813",
04/01/2009 5.00,"3,59407597",,"1,5282237",
04/01/2009 6.00,"4,16118161",,"1,53212063",
04/01/2009 7.00,"4,54587406",,"1,53093932",
04/01/2009 8.00,"3,94084144",,"1,51039338",
04/01/2009 9.00,"4,42125597",,"1,49901832",
04/01/2009 10.00,"4,25509647",,"1,49087031",
04/01/2009 11.00,"4,17924251",,"1,50964545",
04/01/2009 12.00,"4,25690368",,"1,53766952",
04/01/2009 13.00,"4,16659917",,"1,50712672",
04/01/2009 14.00,"4,16840638",,"1,53534768",
04/01/2009 15.00,"4,44112205",,"1,53404987",
04/01/2009 16.00,"4,65785085",,"1,35015462",
04/01/2009 17.00,"4,56212877",,"1,12792388",
04/01/2009 18.00,"4,41041882",,"1,21947657",
04/01/2009 19.00,"4,14673309",,"1,12020925",
04/01/2009 20.00,"4,12325463",,"1,06742659",
04/01/2009 21.00,"4,38332797",,"1,08887774",
04/01/2009 22.00,"4,5043347",,"1,06510475",
04/01/2009 23.00,"4,09977515",,"1,06774114",
05/01/2009 0.00,"5,07866409",,"1,16637936",
05/01/2009 1.00,"4,60005575",,"1,04467647",
05/01/2009 2.00,"4,47905004",,"0,98831144",
05/01/2009 3.00,"4,62714762",,"0,98465101",
05/01/2009 4.00,"4,3237277",,"0,97158321",
05/01/2009 5.00,"4,61450529",,"0,94757256",
05/01/2009 6.00,"5,09130642",,"0,94269121",
05/01/2009 7.00,"5,01545144",,"0,96552055",
05/01/2009 8.00,"4,95043361",,"0,97910095",
05/01/2009 9.00,"6,13160284",,"1,13957504",
05/01/2009 10.00,"5,58075089",,"1,13233224",
05/01/2009 11.00,"5,62770985",,"1,17885651",
05/01/2009 12.00,"6,53977375",,"1,17968366",
05/01/2009 13.00,"6,59395544",,"0,97579468",
05/01/2009 14.00,"6,67703519",,"0,96670186",
05/01/2009 15.00,"6,0828387",,"0,96693835",
05/01/2009 16.00,"6,17675357",,"1,01369912",
05/01/2009 17.00,"6,31220983",,"1,00417408",
05/01/2009 18.00,"6,50004058",,"1,07486628",
05/01/2009 19.00,"7,7155244",,"1,19401083",
05/01/2009 20.00,"6,11354193",,"1,13437914",
05/01/2009 21.00,"5,64215735",,"0,97477065",
05/01/2009 22.00,"5,48864222",,"0,9240349",
05/01/2009 23.00,"5,04434949",,"0,91360349",
06/01/2009 0.00,"5,36221691",,"0,9164391",
06/01/2009 1.00,"5,06240938",,"0,95115493",
06/01/2009 2.00,"5,52115164",,"0,92214643",
06/01/2009 3.00,"4,56754735",,,
06/01/2009 4.00,"4,58018968",,"0,92564842",
06/01/2009 5.00,"4,71745112",,"0,88530331",
06/01/2009 6.00,"5,10033738",,"0,86428554",
06/01/2009 7.00,"4,92334277",,"0,88538253",
06/01/2009 8.00,"5,40014491",,"1,06738698",
06/01/2009 9.00,"5,4723875",,"1,12611347",
06/01/2009 10.00,"5,94196488",,"1,21117245",
06/01/2009 11.00,"6,81971419",,"1,19664839",
06/01/2009 12.00,"7,17189722",,"1,07722774",
06/01/2009 13.00,"6,50004058",,"1,07683397",
06/01/2009 14.00,"6,78720477",,"1,43863753",
06/01/2009 15.00,"6,73482927",,"1,40010399",
06/01/2009 16.00,"6,20203924",,"1,47177945",
06/01/2009 17.00,"6,20565162",,"1,4888234",
06/01/2009 18.00,"7,44461391",,"1,57030001",
06/01/2009 19.00,"6,84499884",,"1,64406198",
06/01/2009 20.00,"6,72218694",,"1,82937387",
06/01/2009 21.00,"7,3037411",,"2,07876309",
06/01/2009 22.00,"6,89195678",,"1,77289001",
06/01/2009 23.00,"6,09006245",,"1,67189034",
07/01/2009 0.00,"6,85222361",,"1,64260573",
07/01/2009 1.00,"6,25802712",,"1,68054978",
07/01/2009 2.00,"5,7577455",,"1,6866905",
07/01/2009 3.00,"5,80470446",,"1,69046859",
07/01/2009 4.00,"5,29178051",,"1,69566566",
07/01/2009 5.00,"5,36944168",,"1,81146433",
07/01/2009 6.00,"5,69453387",,"1,82362693",
07/01/2009 7.00,"6,7456654",,"1,89797839",
07/01/2009 8.00,"7,7335853",,"2,00059276",
07/01/2009 9.00,"11,07480456","56,09920808","2,20007338",
07/01/2009 10.00,"12,25958922","63,43218696","2,24022277",
07/01/2009 11.00,"10,39392306","45,72532704","1,84267701",
07/01/2009 12.00,"5,64407846",,"1,60895238",
07/01/2009 13.00,"6,16230607",,"2,0703017",
07/01/2009 14.00,"6,27969939","10,9981586","2,38998935",
07/01/2009 15.00,"6,51810047","10,95274286","1,94143406",
07/01/2009 16.00,"6,01781986","16,70231424","1,96878942",
07/01/2009 17.00,"6,53104688","26,25334696","2,04640871",
07/01/2009 18.00,,,,
07/01/2009 19.00,"6,17675357","42,38848552","1,24234552",
07/01/2009 20.00,"6,46030639","45,7720372","1,03066385",
07/01/2009 21.00,"7,06172765","51,29060456","1,38282471",
07/01/2009 22.00,"7,07798236","45,34894984","1,23439556",
07/01/2009 23.00,"6,6932899","28,31436824","1,06793803",
08/01/2009 0.00,"6,3338821","21,9781532","1,0880902",
08/01/2009 1.00,,"12,09097176","0,80638504",
08/01/2009 2.00,"6,3338821",,"0,95879034",
08/01/2009 3.00,"6,41154226","14,54005447",,
08/01/2009 4.00,"6,50545814","11,85605197","1,12213732",
08/01/2009 5.00,"6,41696083","10,7814181","1,15461053",
08/01/2009 6.00,"6,52351904","16,78797184","1,17433049",
08/01/2009 7.00,"6,40973708","18,82174138","0,99582919",
08/01/2009 8.00,"6,43682793","31,3526892","1,01413134",
08/01/2009 9.00,"6,66078048","35,191794","1,24643933",
08/01/2009 10.00,"6,47294872","33,45783944","1,20605577",
08/01/2009 11.00,"6,31401501","22,25330912","0,96264766",
08/01/2009 12.00,"6,09728722","24,14689656","0,81595086",
08/01/2009 13.00,"6,16049987","17,25520346","0,80410164",
08/01/2009 14.00,"6,20384441","14,49333666","1,03385129",
08/01/2009 15.00,"6,01059611","18,67378126","1,25431123",
08/01/2009 16.00,"6,27247564","22,61282248","1,38636748",
08/01/2009 17.00,"6,18397834","33,06197896","1,19830036",
08/01/2009 18.00,"6,73663546","42,63379512","1,34122023",
08/01/2009 19.00,"6,43863412","32,89974576","1,22624755",
08/01/2009 20.00,"6,60118021","31,75633152","1,31445436",
08/01/2009 21.00,"6,44585787","20,78930984","1,15142193",
08/01/2009 22.00,"6,45127645","23,01386448","1,20200157",
08/01/2009 23.00,"6,50365195","16,59198993","1,32390251",
09/01/2009 0.00,"6,39348237","19,2967644","1,28839797",
09/01/2009 1.00,"6,45669502","16,55045938","1,3499589",
09/01/2009 2.00,"6,48017348","18,2286103","1,42529479",
09/01/2009 3.00,"6,49100962","15,85609746","0,98575194",
09/01/2009 4.00,"6,45488883","12,61271641","1,40738641",
09/01/2009 5.00,"6,35555539","9,31093523","1,32582942",
09/01/2009 6.00,"6,46753116","8,3518072","1,30520542",
09/01/2009 7.00,"6,52171285","13,7301829","1,39006752",
09/01/2009 8.00,"6,53796756","14,05335296","1,30492932",
09/01/2009 9.00,"6,77998102","23,67966112","1,50319018",
09/01/2009 10.00,"6,68606513","26,68295424","1,35535052",
09/01/2009 11.00,"6,46933735","28,78808536","1,54664468",
09/01/2009 12.00,"6,45669502","20,81397464","1,41033735",
09/01/2009 13.00,"6,60118021","26,13654288","1,61859625",
09/01/2009 14.00,"6,4440527","25,78871184","1,66185386",
09/01/2009 15.00,"6,43502174","22,45317048","1,67842482",
09/01/2009 16.00,"6,48378587","25,70565456","1,47792017",
09/01/2009 17.00,"6,53796756","27,51228424","1,49728596",
09/01/2009 18.00,"6,5144891","28,52203056","1,46926189",
09/01/2009 19.00,"6,494622","27,04893016","1,48807547",
09/01/2009 20.00,"6,49823439","28,11448776","1,58309287",
09/01/2009 21.00,"6,40251231","20,10923056","1,55337489",
09/01/2009 22.00,"6,47475491","21,88989528","1,63249004",
09/01/2009 23.00,"6,45308264","15,9443592","1,58620226",
10/01/2009 0.00,"6,48017348","12,51277617","1,5108652",
10/01/2009 1.00,,"11,07344169","1,64335366",
10/01/2009 2.00,"6,33930068",,"1,57978544",
10/01/2009 3.00,"6,29414893","3,6171694",,
10/01/2009 4.00,"6,27789422","2,13110564","1,52806643",
10/01/2009 5.00,"6,15869368","4,45819128","0,89782123",
10/01/2009 6.00,"6,09367484","6,37644543","1,27509483",
10/01/2009 7.00,"6,21287537","7,02538206","1,188067",
10/01/2009 8.00,"6,17494839","8,31157298","0,69042793",
10/01/2009 9.00,"6,22913009","12,3674221","0,73096993",
10/01/2009 10.00,"6,14966272",,"0,81228926",
10/01/2009 11.00,"6,10992955",,"0,97721132",
10/01/2009 12.00,"6,10451199",,"0,93871623",
10/01/2009 13.00,"6,24177241",,"1,11253423",
10/01/2009 14.00,"6,34110585",,"1,11922482",
10/01/2009 15.00,"6,38445141",,"1,07344848",
10/01/2009 16.00,"6,34471824",,"1,00810945",
10/01/2009 17.00,"6,29956649",,"1,04613272",
10/01/2009 18.00,"6,10451199",,"1,23833093",
10/01/2009 19.00,"6,29053655",,"1,29721585",
10/01/2009 20.00,"6,18036595",,"1,41395934",
10/01/2009 21.00,"6,13521522",,"1,40777901",
10/01/2009 22.00,"6,23454764",,"1,40840928",
10/01/2009 23.00,"6,17494839",,"1,63874958",
11/01/2009 0.00,"6,14243897",,"1,008424",
11/01/2009 1.00,"6,46391877",,"1,43049069",
11/01/2009 2.00,"6,16049987",,"1,12894791",
11/01/2009 3.00,"6,31220983",,"0,96851343",
11/01/2009 4.00,"6,2977603",,"1,02428664",
11/01/2009 5.00,"6,33930068",,"1,45513044",
11/01/2009 6.00,"6,31040262",,"0,976503",
11/01/2009 7.00,"6,4241856",,"0,97725093",
11/01/2009 8.00,"6,30859745",,"0,91864211",
11/01/2009 9.00,"6,46753116",,"0,60084409",
11/01/2009 10.00,"6,37180908",,"0,79666312",
11/01/2009 11.00,"6,47294872",,"0,73266268",
11/01/2009 12.00,"6,22010014",,"0,73246579",
11/01/2009 13.00,"6,16049987","7,70546707","0,970678",
11/01/2009 14.00,"6,0647778","5,894935","1,17405438",
11/01/2009 15.00,"5,98711663","6,65938128","1,23498505",
11/01/2009 16.00,"6,0268498","6,86963818","1,18617737",
11/01/2009 17.00,"6,05755303","6,54387162","0,92340463",
11/01/2009 18.00,"6,0124023","10,10782815","1,50799231",
11/01/2009 19.00,"6,26163951","12,62958981","1,49744324",
11/01/2009 20.00,"6,21287537","9,67433951","1,28891057",
11/01/2009 21.00,"6,10089961","12,39726651","1,29607299",
11/01/2009 22.00,"6,28331178","9,89238208","1,39703422",
11/01/2009 23.00,"6,32485216","11,98974092","1,07852671",
12/01/2009 0.00,"6,13160284","9,69640399","1,13618955",
12/01/2009 1.00,,"10,01957406","1,04247113",
12/01/2009 2.00,"6,13882659",,"1,33098687",
12/01/2009 3.00,"6,12257188","9,88718909",,
12/01/2009 4.00,"6,18578453","7,26678544","1,52243715",
12/01/2009 5.00,"6,20203924","6,04159496","1,47650353",
12/01/2009 6.00,"6,15869368","11,8521687","1,25561021",
12/01/2009 7.00,"6,11895949","13,38495026","1,00011988",
12/01/2009 8.00,"6,2959541","21,59657536","1,04924211",
12/01/2009 9.00,"6,40251231","26,44412632","1,0590817",
12/01/2009 10.00,"6,35555539","24,67902528","0,97772276",
12/01/2009 11.00,"6,36277914","20,84512112","1,03700029",
12/01/2009 12.00,"6,4440527","22,55441088","0,93045055",
12/01/2009 13.00,"6,28331178","18,29091282","0,82059455",
12/01/2009 14.00,"6,24719099","16,61664708","0,91144008",
12/01/2009 15.00,"6,12979664","17,89376366","0,90864408",
12/01/2009 16.00,"6,05755303","17,36033095","0,9883895",
12/01/2009 17.00,"6,18578453","21,41097752","1,20219845",
12/01/2009 18.00,"6,59937402","30,43510128","1,74801493",
12/01/2009 19.00,"6,49823439","28,69464592","1,79977355",
12/01/2009 20.00,"6,36819772","24,0015272","1,43702401",
12/01/2009 21.00,"6,31040262","22,24940864","1,39538108",
12/01/2009 22.00,"6,43682793","21,11505728","1,01806787",
12/01/2009 23.00,"6,43863412","17,4485927","1,08199026",
13/01/2009 0.00,"6,53435518","19,15397624","1,13170197",
13/01/2009 1.00,"6,68606513","16,7529287","1,42651454",
13/01/2009 2.00,"6,72760552","17,35124895","1,6768113",
13/01/2009 3.00,"6,48017348","14,53097247","2,30355334",
13/01/2009 4.00,"6,49823439","13,51993173","2,071836",
13/01/2009 5.00,"6,67703519","16,46220719","1,33102648",
13/01/2009 6.00,"6,4765611","22,17283304","1,26501758",
13/01/2009 7.00,"6,66078048","22,01838168","1,10922679",
13/01/2009 8.00,"6,66981042","26,0872324","0,86605634",
13/01/2009 9.00,"6,95715767","36,49876072","1,25738217",
13/01/2009 10.00,"6,78539959","32,85043528","1,21317974",
13/01/2009 11.00,"6,95516944","37,06591728","0,87609282",
13/01/2009 12.00,"6,59395544","30,89583592","0,82693215",
13/01/2009 13.00,"6,45850121","28,53501304","0,94099963",
13/01/2009 14.00,"6,69870746","27,18001688","0,97449571",
13/01/2009 15.00,"6,3862576","17,59006158","0,94099963",
13/01/2009 16.00,"6,3862576","16,54137546","0,75293251",
13/01/2009 17.00,"6,41515464","14,40767906","0,84818641",
13/01/2009 18.00,"6,35374818","12,39467193","0,84586456",
13/01/2009 19.00,"6,36277914","14,61013883","0,93875584",
13/01/2009 20.00,"6,28331178","10,11821222","0,9557194",
13/01/2009 21.00,"6,47475593","13,02154216","1,01027402",
13/01/2009 22.00,"6,25441474","18,11050415","0,91411609",
13/01/2009 23.00,"6,21829395","15,73020182","0,82433303",
14/01/2009 0.00,"6,15327511","3,98057368","0,94371524",
14/01/2009 1.00,,"3,71191474","0,9602862",
14/01/2009 2.00,"5,96183198",,"0,89837111",
14/01/2009 3.00,"6,10089961","5,092851",,
14/01/2009 4.00,"5,84624382","5,70544624","0,80477152",
14/01/2009 5.00,"5,8336015","9,18114867","0,62087743",
14/01/2009 6.00,"5,98711663","9,18374326","0,71089582",
14/01/2009 7.00,"5,95280203","10,0948495","0,96296221",
14/01/2009 8.00,"5,76316408","14,36484644","0,72085424",
14/01/2009 9.00,"5,95280203","16,89569966","0,80827467",
14/01/2009 10.00,"5,84805002","10,80088609","0,82256223",
14/01/2009 11.00,"5,53198777","8,4257863","0,72978979",
14/01/2009 12.00,"5,63854598","6,15451003","0,92852248",
14/01/2009 13.00,"5,58797566","5,76255386","0,87172407",
14/01/2009 14.00,"5,58797566","7,00851057","0,54341542",
14/01/2009 15.00,"5,58797566","4,88129776","0,76304937",
14/01/2009 16.00,"5,78303117","6,00655182","0,42289267",
14/01/2009 17.00,"5,64035217","7,98451009","0,88632734",
14/01/2009 18.00,"5,82998911","8,67108443","0,88617007",
14/01/2009 19.00,"5,70356381","8,20125441","0,87203862",
14/01/2009 20.00,"5,92751738","23,13975056","1,11135408",
14/01/2009 21.00,"5,86249853","15,3460313","1,15886162",
14/01/2009 22.00,"5,83721286","18,29999674","1,15799602",
14/01/2009 23.00,"6,11534711","21,88211344","1,20668487",
15/01/2009 0.00,"6,33568829","21,81722016","1,24069238",
15/01/2009 1.00,"6,26886326","19,03718937","1,25305187",
15/01/2009 2.00,"6,20384441","10,71133374","1,14142506",
15/01/2009 3.00,"6,13521522","16,85935636","1,32909724",
15/01/2009 4.00,"6,16591743","9,17206285","1,16043553",
15/01/2009 5.00,"6,03407457","4,66584978","1,03145023",
15/01/2009 6.00,"5,86611092","7,20838149","0,95946022",
15/01/2009 7.00,"6,02865701","16,31294691","0,988153",
15/01/2009 8.00,"6,02323844","20,69715144","1,01838242",
15/01/2009 9.00,"6,21287537","24,55962088","1,02790746",
15/01/2009 10.00,"6,31040262","24,89706976","1,01747722",
15/01/2009 11.00,"6,12618426","25,11381408","1,00405525",
15/01/2009 12.00,"5,99975896","18,24938036","1,10111956",
15/01/2009 13.00,"5,77941879","20,08454664","1,05317748",
15/01/2009 14.00,"5,96183198","30,78681368","1,12229576",
15/01/2009 15.00,"5,89320176","34,58438984","1,23813404",
15/01/2009 16.00,"5,81554059","31,805642","1,00039482",
15/01/2009 17.00,"6,2435786","40,1237024","1,2830844",
15/01/2009 18.00,"6,6029864","36,18595752","1,25037586",
15/01/2009 19.00,"6,83416271","33,89002792","1,27741668",
15/01/2009 20.00,"7,18995812","29,25922128","1,11879144",
15/01/2009 21.00,"6,80707186","26,592096","1,08399639",
15/01/2009 22.00,"6,56867079","23,45773528","0,92147656",
15/01/2009 23.00,"6,73663546","20,67250576","1,08423405",
16/01/2009 0.00,"6,69870746","20,31039208","1,20420458",
16/01/2009 1.00,,"24,86074176","1,22475169",
16/01/2009 2.00,"6,79262334",,"1,37483398",
16/01/2009 3.00,"6,59756783","20,8788488",,
16/01/2009 4.00,"6,37000391","13,412202","0,99846675",
16/01/2009 5.00,"6,33026972","9,81840298","0,94284965",
16/01/2009 6.00,"6,41515464","11,34599538","0,98106864",
16/01/2009 7.00,"6,31943358","13,19286501","1,09828511",
16/01/2009 8.00,"6,45127645","16,28699916","1,17110344",
16/01/2009 9.00,"6,50184677","21,51091776","1,21164427",
16/01/2009 10.00,"6,3862576","23,30458408","0,92982029",
16/01/2009 11.00,"6,01962605","12,6970815","0,82870295",
16/01/2009 12.00,"6,03768695","14,35964771","1,29158657",
16/01/2009 13.00,"5,9744743","9,77167943","1,21329741",
16/01/2009 14.00,"5,93112875","8,4712116","1,55695726",
16/01/2009 15.00,"5,95099584","6,58410584","1,95497369",
16/01/2009 16.00,"6,07380876","7,46925477","1,02617627",
16/01/2009 17.00,"6,06658399","6,95399945","1,3170127",
16/01/2009 18.00,"6,00517753","12,52836088","0,89604927",
16/01/2009 19.00,"6,32123978","23,51094624","1,12276875",
16/01/2009 20.00,"6,35194301","17,40445609","1,24793519",
16/01/2009 21.00,"6,27247564","17,6173114","1,90136388",
16/01/2009 22.00,"6,33207591","15,16043538","1,98244788",
16/01/2009 23.00,"6,29956649","15,03195662","2,67940913",
17/01/2009 0.00,"6,30859745","8,90470024","2,51051326",
17/01/2009 1.00,"6,32665733","6,97346743","2,46942021",
17/01/2009 2.00,"6,13340801","6,86055236","2,47477339",
17/01/2009 3.00,"5,88958938","4,9137444","2,08254235",
17/01/2009 4.00,"5,91848642","4,80602041","1,61206293",
17/01/2009 5.00,"5,99072901","4,04546696","1,09383714",
17/01/2009 6.00,"5,89861932","5,05261678","1,09820706",
17/01/2009 7.00,"5,92029261","6,87223277","0,96252999",
17/01/2009 8.00,"6,12437807","10,74508437","1,42923132",
17/01/2009 9.00,"6,03949315","11,07993102","2,00492306",
17/01/2009 10.00,"6,25260855","9,17595568","2,08132143",
17/01/2009 11.00,"6,08645109","6,45302103","1,74679518",
17/01/2009 12.00,"5,98350425","4,58667959","1,73990653",
17/01/2009 13.00,"6,04129934","5,0759776","1,4728431",
17/01/2009 14.00,"6,0647778","6,68533859","2,01814814",
17/01/2009 15.00,"5,98350425","5,45755162","1,81866752",
17/01/2009 16.00,"6,07380876","4,88389234","1,24994248",
17/01/2009 17.00,"6,14605034","10,85929386","1,47280349",
17/01/2009 18.00,"6,22371253","22,19489752","1,5201153",
17/01/2009 19.00,"6,51810047","35,7369052","2,01999816",
17/01/2009 20.00,"6,74385921","32,98020272","2,14394484",
17/01/2009 21.00,"6,74385921","24,52327376","2,89298159",
17/01/2009 22.00,"6,68606513","27,08527728","2,05754844",
17/01/2009 23.00,"6,60118021","26,07034944","2,28627406",
18/01/2009 0.00,"6,64633196","20,12739456","1,88498981",
18/01/2009 1.00,,"15,84442087","2,34960579",
18/01/2009 2.00,"6,4241856",,"1,74628258",
18/01/2009 3.00,"6,42057322","9,30055116",,
18/01/2009 4.00,"6,47294872","6,7761911","2,40506445",
18/01/2009 5.00,"6,48017348","5,45236054","2,37393099",
18/01/2009 6.00,"6,28692416","6,46080861","2,31402319",
18/01/2009 7.00,"6,53796756","8,84110521","1,61273164",
18/01/2009 8.00,"6,47114354","5,26806286","1,70589902",
18/01/2009 9.00,"6,49281581","6,53997688","1,87857415",
18/01/2009 10.00,"6,58853789","7,19799933","1,83323002",
18/01/2009 11.00,"6,21287537","7,6665311","1,74962846",
18/01/2009 12.00,"6,14243897","3,85078712","1,72553975",
18/01/2009 13.00,"5,89139557","4,2141914","1,7573827",
18/01/2009 14.00,"5,84082525","3,80146708","2,03149205",
18/01/2009 15.00,"5,87333467","3,47570243","1,31107003",
18/01/2009 16.00,"5,86249853","5,96631761","2,04833795",
18/01/2009 17.00,"5,96905573","7,10714874","1,8312635",
18/01/2009 18.00,"6,18036595","11,4459337","2,23282269",
18/01/2009 19.00,"6,36097295","9,43942546","2,39077689",
18/01/2009 20.00,"6,45488883","8,95142378","2,36838093",
18/01/2009 21.00,"6,33026972","9,19542366","2,4070333",
18/01/2009 22.00,"6,17494839","10,29471659","2,25655607",
18/01/2009 23.00,"6,24177241","10,00270066","2,32807542",
19/01/2009 0.00,"6,29414893","9,50302049","2,32193471",
19/01/2009 1.00,"6,49100962","4,92931764","2,25742167",
19/01/2009 2.00,"6,37903385","5,68078718","2,14040324",
19/01/2009 3.00,"6,45488883","5,61719023","2,15606783",
19/01/2009 4.00,"6,45669502","4,8228919","1,96540393",
19/01/2009 5.00,"6,48197968","5,84302038","1,48433582",
19/01/2009 6.00,"6,64091339","11,38752784","1,76761606",
19/01/2009 7.00,"6,69148371","25,95742672","1,58458757",
19/01/2009 8.00,"6,63188344","33,19306568","1,80347476",
19/01/2009 9.00,"6,85764219","34,50391376","2,10867796",
19/01/2009 10.00,"6,16952982","30,56746904","1,11387281",
19/01/2009 11.00,"5,84805002","11,30056817","1,31579411",
19/01/2009 12.00,"5,82095917","6,30116808","1,44403148",
19/01/2009 13.00,"5,97989288","5,26157353","2,05184111",
19/01/2009 14.00,"5,80831684","6,12725447","2,12611452",
19/01/2009 15.00,"6,01601468","11,7119885","1,28501364",
19/01/2009 16.00,"6,09548103","20,46354328","1,41045618",
19/01/2009 17.00,"6,0846449","27,70826424","1,49335059",
19/01/2009 18.00,"6,15869368","31,7381484","1,62068276",
19/01/2009 19.00,"6,09006245","24,3143304","1,49827039",
19/01/2009 20.00,"6,50184677","18,58681968","1,82445291",
19/01/2009 21.00,"6,63007725","20,2364168","1,69593943",
19/01/2009 22.00,"6,59576164","16,15071371","2,00397825",
19/01/2009 23.00,"6,60659777","11,090317","1,89223261",
20/01/2009 0.00,"6,39528856","11,13314006","1,89805761",
20/01/2009 1.00,,"7,29923208","1,57309601",
20/01/2009 2.00,"6,36458533",,"1,83720617",
20/01/2009 3.00,"6,23996622","4,92542481",,
20/01/2009 4.00,"6,28692416","4,17265894","1,29300321",
20/01/2009 5.00,"6,40251231","6,64640262","1,07699124",
20/01/2009 6.00,"6,34652443","8,4738081","1,15708965",
20/01/2009 7.00,"6,37000391","8,11429665","1,38912154",
20/01/2009 8.00,"6,19481447","14,92812164","1,04955666",
20/01/2009 9.00,"6,11534711","20,62707664","0,67373931",
20/01/2009 10.00,"6,17494839","15,18380193","0,80973092",
20/01/2009 11.00,"5,98169907","10,53353113","0,89278261",
20/01/2009 12.00,"6,14785755","7,42642406","0,80095381",
20/01/2009 13.00,"6,02247365","8,27426604","0,9380149",
