,TARANTO,,,,
,Talsano,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
11/01/2009 3.00,,"13,925615","10,95144","24,87369",
11/01/2009 4.00,,"13,190231","10,443976","24,87369",
11/01/2009 5.00,,"20,531093","17,561509","24,87369",
11/01/2009 6.00,,"14,917802","12,119523","24,87369",
11/01/2009 7.00,,"13,583214","10,799583","24,87369",
11/01/2009 8.00,,"9,810317","6,88651","24,87369",
11/01/2009 9.00,,"10,888102","7,911829","24,87369",
11/01/2009 10.00,,"10,916636","7,923509","24,87369",
11/01/2009 11.00,,"9,266884","6,016936","24,87369",
11/01/2009 12.00,,"9,45754","6,476382","24,87369",
11/01/2009 13.00,,"18,638823","13,657505","24,87369",
11/01/2009 14.00,,"10,504197","7,227849","24,87369",
11/01/2009 15.00,,"12,694789","9,683423","24,87369",
11/01/2009 16.00,,"15,994291","13,005969","24,87369",
11/01/2009 17.00,,"16,527348","13,522526","24,87369",
11/01/2009 18.00,,"35,725164","32,397482","24,87369",
11/01/2009 19.00,,"39,556391","36,332627","24,87369",
11/01/2009 20.00,"0,032478","44,008922","40,688275","24,87369",
11/01/2009 21.00,"1,268427","56,633688","52,9389","24,87369",
11/01/2009 22.00,"1,308121","68,603457","64,683341","24,87369",
11/01/2009 23.00,"0,66218","84,543286","72,345964","24,87369",
12/01/2009 0.00,"0,229146","117,730253","84,046301","24,87369",
12/01/2009 1.00,,"49,994458","46,13675","32,92524",
12/01/2009 2.00,"0,043303",,,"32,92524",
12/01/2009 3.00,,"29,868021","26,875032","32,92524",
12/01/2009 4.00,,"23,023884","20,131275","32,92524",
12/01/2009 5.00,,"16,015044","13,098125","32,92524",
12/01/2009 6.00,,"13,92432","10,902116","32,92524",
12/01/2009 7.00,,"15,698581","12,707465","32,92524",
12/01/2009 8.00,,"40,641968","34,710274","32,92524",
12/01/2009 9.00,,"81,283994","58,052506","32,92524",
12/01/2009 10.00,,"66,765641","42,564999","32,92524",
12/01/2009 11.00,"0,021652","38,221816","28,494765","32,92524",
12/01/2009 12.00,"0,267038","19,16669","14,826891","32,92524",
12/01/2009 13.00,"0,214712","12,645503","9,656167","32,92524",
12/01/2009 14.00,"0,059542","20,990223","16,222101","32,92524",
12/01/2009 15.00,"0,007218","22,739856","18,786697","32,92524",
12/01/2009 16.00,,"35,815926","31,002255","32,92524",
12/01/2009 17.00,,"35,175237","31,492859","32,92524",
12/01/2009 18.00,,"32,094928","29,11515","32,92524",
12/01/2009 19.00,,"39,739274","36,620746","32,92524",
12/01/2009 20.00,,"60,03047","55,494401","32,92524",
12/01/2009 21.00,,"68,495795","61,338719","32,92524",
12/01/2009 22.00,,"61,724294","56,168","32,92524",
12/01/2009 23.00,,"56,990332","53,394453","32,92524",
13/01/2009 0.00,,"34,332216","31,573315","32,92524",
13/01/2009 1.00,,"22,642573","20,281846","19,72188",
13/01/2009 2.00,,"16,599978","14,477763","19,72188",
13/01/2009 3.00,"0,023456","12,168216","10,294716","19,72188",
13/01/2009 4.00,"0,135323","9,253913","7,265487","19,72188",
13/01/2009 5.00,"0,162387","10,108619","8,237595","19,72188",
13/01/2009 6.00,"0,232756","9,617067","7,718445","19,72188",
13/01/2009 7.00,"0,151561","10,888102","8,99036","19,72188",
13/01/2009 8.00,"0,081194","20,974658","17,850928","19,72188",
13/01/2009 9.00,,"24,134085","20,781508","19,72188",
13/01/2009 10.00,,"19,658227","16,71919","19,72188",
13/01/2009 11.00,,"14,683051","12,205181","19,72188",
13/01/2009 12.00,"0,03789","14,118865","11,265527","19,72188",
13/01/2009 13.00,"0,077585","13,402936","9,927423","19,72188",
13/01/2009 14.00,"0,97613","21,162723","17,220162","19,72188",
13/01/2009 15.00,"0,360861","15,225185","12,629589","19,72188",
13/01/2009 16.00,"0,173213","13,766088","11,190243","19,72188",
13/01/2009 17.00,"0,135323","11,152684","8,664595","19,72188",
13/01/2009 18.00,"0,144345","12,553418","9,93521","19,72188",
13/01/2009 19.00,"0,068564","13,539118","11,022827","19,72188",
13/01/2009 20.00,"0,171409","11,710384","9,460189","19,72188",
13/01/2009 21.00,"0,202082","11,176029","8,550382","19,72188",
13/01/2009 22.00,,"18,206277","7,276892","19,72188",
13/01/2009 23.00,"0,171409","7,467979","4,589276","19,72188",
14/01/2009 0.00,"0,178626","6,314969","4,301149","19,72188",
14/01/2009 1.00,,"5,7015","3,72749","60,831902",
14/01/2009 2.00,"0,173213",,,"60,831902",
14/01/2009 3.00,"0,120889","5,417462","3,238192","60,831902",
14/01/2009 4.00,"0,151561","4,13735","2,101256","60,831902",
14/01/2009 5.00,"0,189452","4,05175","2,084382","60,831902",
14/01/2009 6.00,"0,189452","4,994648","2,225851","60,831902",
14/01/2009 7.00,"0,2093","6,802632","4,127234","60,831902",
14/01/2009 8.00,"0,146149","18,72572","10,687969","60,831902",
14/01/2009 9.00,"0,153366","14,253752","8,534806","60,831902",
14/01/2009 10.00,"0,158779","12,724618","7,670423","60,831902",
14/01/2009 11.00,"0,14254","10,249991","6,661978","60,831902",
14/01/2009 12.00,"0,113671","12,409454","8,279126","60,831902",
14/01/2009 13.00,"0,178626","19,153707","13,501754","60,831902",
14/01/2009 14.00,"0,23456","20,13812","13,832715","60,831902",
14/01/2009 15.00,"0,212908","16,142145","11,627633","60,831902",
14/01/2009 16.00,"0,191256","18,260107","13,775609","60,831902",
14/01/2009 17.00,"0,133519","23,103002","18,963209","60,831902",
14/01/2009 18.00,"0,185844","24,603595","19,730234","60,831902",
14/01/2009 19.00,"0,119085","27,62295","23,841894","60,831902",
14/01/2009 20.00,"0,115475","37,578504","33,16192","60,831902",
14/01/2009 21.00,"0,046912","25,061424","22,236425","60,831902",
14/01/2009 22.00,"0,001804","17,248465","14,28697","60,831902",
14/01/2009 23.00,"0,003608","23,663293","20,460943","60,831902",
15/01/2009 0.00,"0,036086","11,781717","9,208404","60,831902",
15/01/2009 1.00,"0,064955","9,942608","7,086383","21,49762",
15/01/2009 2.00,"0,003608","8,461462","6,488064","21,49762",
15/01/2009 3.00,"0,019848","6,543237","4,660658","21,49762",
15/01/2009 4.00,"0,027064","5,368179","3,492574","21,49762",
15/01/2009 5.00,,"6,920656","5,014977","21,49762",
15/01/2009 6.00,,"22,899373","20,769825","21,49762",
15/01/2009 7.00,,"50,431522","46,72339","21,49762",
15/01/2009 8.00,"0,043303","55,470291","41,439749","21,49762",
15/01/2009 9.00,"0,090215","73,774501","43,081565","21,49762",
15/01/2009 10.00,"0,153366","91,336814","45,663013","21,49762",
15/01/2009 11.00,"0,840807","69,471123","40,905022","21,49762",
15/01/2009 12.00,"1,382098","33,412659","25,182587","21,49762",
15/01/2009 13.00,"0,2093","23,17952","17,543331","21,49762",
15/01/2009 14.00,"0,088411","14,038454","10,72301","21,49762",
15/01/2009 15.00,"0,019848","11,768748","9,153893","21,49762",
15/01/2009 16.00,,"25,136661","20,45446","21,49762",
15/01/2009 17.00,"0,009022","52,685695","44,466387","21,49762",
15/01/2009 18.00,"0,086607","95,088978","83,617993","21,49762",
15/01/2009 19.00,"0,158779","93,402901","85,390894","21,49762",
15/01/2009 20.00,"0,140736","71,602065","66,81184","21,49762",
15/01/2009 21.00,"0,054129","34,087079","32,153471","21,49762",
15/01/2009 22.00,"0,010826","34,843217","32,911429","21,49762",
15/01/2009 23.00,"0,055934","35,284161","32,631088","21,49762",
16/01/2009 0.00,"0,045108","32,625392","29,790049","21,49762",
16/01/2009 1.00,,"30,475004","27,852314","16,21055",
16/01/2009 2.00,"0,095629",,,"16,21055",
16/01/2009 3.00,"0,030673","17,651825","14,915143","16,21055",
16/01/2009 4.00,"0,066759","16,711521","13,802861","16,21055",
16/01/2009 5.00,"0,034282","18,375537","15,937869","16,21055",
16/01/2009 6.00,"0,039695","15,834763","13,660098","16,21055",
16/01/2009 7.00,"0,043303","25,934291","23,616066","16,21055",
16/01/2009 8.00,"0,110063","66,999098","57,472365","16,21055",
16/01/2009 9.00,"4,261771","88,103466","63,69306","16,21055",
16/01/2009 10.00,"3,756565","45,418755","33,211229","16,21055",
16/01/2009 11.00,"7,592519","46,614539","33,169699","16,21055",
16/01/2009 12.00,"4,584741","26,532192","19,159176","16,21055",
16/01/2009 13.00,"0,997781","18,3483","13,499159","16,21055",
16/01/2009 14.00,"3,15934","24,981024","18,747758","16,21055",
16/01/2009 15.00,"5,097164","21,693188","16,397312","16,21055",
16/01/2009 16.00,"3,794455","18,107065","14,312927","16,21055",
16/01/2009 17.00,"7,145051","32,563136","29,163181","16,21055",
16/01/2009 18.00,"5,8243","60,407879","56,932456","16,21055",
16/01/2009 19.00,"5,57711","61,438986","57,253022","16,21055",
16/01/2009 20.00,"1,654548","63,673674","58,858489","16,21055",
16/01/2009 21.00,"2,002779","34,930117","31,610962","16,21055",
16/01/2009 22.00,"1,055519","26,494584","23,257855","16,21055",
16/01/2009 23.00,"0,885914","23,379247","20,397349","16,21055",
17/01/2009 0.00,"0,422208","22,5894","19,214987","16,21055",
17/01/2009 1.00,"0,557531","20,152384","17,0774","24,06064",
17/01/2009 2.00,"1,308121","15,610387","12,586757","24,06064",
17/01/2009 3.00,"0,321167","12,683116","10,212954","24,06064",
17/01/2009 4.00,"0,052325","12,306991","9,379723","24,06064",
17/01/2009 5.00,"0,122693","12,191562","9,207106","24,06064",
17/01/2009 6.00,"0,052325","12,336822","10,055913","24,06064",
17/01/2009 7.00,,"13,308255","10,89044","24,06064",
17/01/2009 8.00,"0,019848","23,210646","19,381103","24,06064",
17/01/2009 9.00,"0,021652","22,409118","17,560207","24,06064",
17/01/2009 10.00,"0,505206","21,040814","15,307102","24,06064",
17/01/2009 11.00,"2,746153","32,071581","23,330549","24,06064",
17/01/2009 12.00,"8,556019","31,05086","22,379195","24,06064",
17/01/2009 13.00,"10,861916","32,398419","24,049557","24,06064",
17/01/2009 14.00,"9,822641","32,091026","24,877605","24,06064",
17/01/2009 15.00,"11,850674","34,292006","27,530448","24,06064",
17/01/2009 16.00,"7,477044","29,118363","24,993108","24,06064",
17/01/2009 17.00,"1,125887","36,058464","32,963338","24,06064",
17/01/2009 18.00,"0,041499","55,388573","50,854513","24,06064",
17/01/2009 19.00,"0,007218","34,458007","30,584352","24,06064",
17/01/2009 20.00,"0,016238","30,701977","27,276075","24,06064",
17/01/2009 21.00,,"44,728752","40,712943","24,06064",
17/01/2009 22.00,,"76,037715","69,651598","24,06064",
17/01/2009 23.00,,"50,729853","46,540373","24,06064",
18/01/2009 0.00,,"67,393374","61,912376","24,06064",
18/01/2009 1.00,,"49,770104","46,646813","50,80938",
18/01/2009 2.00,,,,"50,80938",
18/01/2009 3.00,,"35,682335","32,684299","50,80938",
18/01/2009 4.00,,"34,352959","31,172271","50,80938",
18/01/2009 5.00,,"27,740977","24,749119","50,80938",
18/01/2009 6.00,,"23,777421","20,800991","50,80938",
18/01/2009 7.00,,"17,941051","14,942402","50,80938",
18/01/2009 8.00,,"17,013714","13,570548","50,80938",
18/01/2009 9.00,,"32,079363","25,091748","50,80938",
18/01/2009 10.00,,"24,525777","19,623812","50,80938",
18/01/2009 11.00,,"20,869612","17,000826","50,80938",
18/01/2009 12.00,,"23,007019","18,781499","50,80938",
18/01/2009 13.00,"0,018043","22,134152","18,36489","50,80938",
18/01/2009 14.00,"0,016238","15,38212","12,942373","50,80938",
18/01/2009 15.00,"0,030673","13,103335","11,198035","50,80938",
18/01/2009 16.00,,"12,535259","10,649031","50,80938",
18/01/2009 17.00,,"24,506332","22,127404","50,80938",
18/01/2009 18.00,"0,005412","60,435125","57,020695","50,80938",
18/01/2009 19.00,"0,093824","78,739331","71,083148","50,80938",
18/01/2009 20.00,"0,149757","123,673014","102,121696","50,80938",
18/01/2009 21.00,"0,155171","58,097953","49,0258","50,80938",
