NetC,Foggia,,,
,Stat,Manfredonia - Zona 167 - Viale Michelangelo,,,
Parm,SO2,NO2,CO,PM10



08/01/2009 7.00,"2,39304066","12,115627",,"31,60832977"
08/01/2009 8.00,"2,25216684","32,24433128",,"31,60832977"
08/01/2009 9.00,"2,71813285","29,2644028",,"31,60832977"
08/01/2009 10.00,"2,86442423","33,49158624",,"31,60832977"
08/01/2009 11.00,"2,691042","34,52597824",,"31,60832977"
08/01/2009 12.00,"2,45444712","20,1624224",,"31,60832977"
08/01/2009 13.00,"2,48153797","27,8743788",,"31,60832977"
08/01/2009 14.00,"2,27564632","13,78989083",,"31,60832977"
08/01/2009 15.00,"2,56642289","20,32855608",,"31,60832977"
08/01/2009 16.00,"2,14560965","16,22469473",,"31,60832977"
08/01/2009 17.00,"2,48695655","30,041822",,"31,60832977"
08/01/2009 18.00,"3,19674119","43,94204288",,"31,60832977"
08/01/2009 19.00,"3,68979804","42,70517008",,"31,60832977"
08/01/2009 20.00,"2,37497976","22,5686744",,"31,60832977"
08/01/2009 21.00,"2,30634955","22,4064412",,"31,60832977"
08/01/2009 22.00,"2,9240245","20,18968752",,"31,60832977"
08/01/2009 23.00,"2,18714901","22,11962208",,"31,60832977"
09/01/2009 0.00,"2,3334404","18,00278398",,"31,60832977"
09/01/2009 1.00,"1,89998381","11,23567298",,
09/01/2009 2.00,"2,12754875","8,83461588",,
09/01/2009 3.00,"2,0805908","5,93387097",,
09/01/2009 4.00,"2,12754875","5,07467935",,
09/01/2009 5.00,"1,95236033","5,36540469",,
09/01/2009 6.00,"1,77897708","9,95597711",,
09/01/2009 7.00,"2,14380346","21,97685304",,
09/01/2009 8.00,"1,92888085","24,86462312",,
09/01/2009 9.00,"2,44361099","39,99651616",,
09/01/2009 10.00,"2,20340372","27,71474592",,
09/01/2009 11.00,"2,19437276","28,13395192",,
09/01/2009 12.00,"2,03182667","31,59409832",,
09/01/2009 13.00,"2,10406927","31,04768696",,
09/01/2009 14.00,"1,95777788","29,11385192",,
09/01/2009 15.00,"2,10406927","24,1702612",,
09/01/2009 16.00,"1,72479539","20,20267",,
09/01/2009 17.00,"1,73743772","10,33624714",,
09/01/2009 18.00,"1,79523179","10,10133882",,
09/01/2009 19.00,"2,01737815","7,17204202",,
09/01/2009 20.00,"1,66338893","12,29863026",,
09/01/2009 21.00,"1,77175333","9,64708395",,
09/01/2009 22.00,"2,0282153","6,594488",,
09/01/2009 23.00,"1,79523179","6,49714808",,
10/01/2009 0.00,"1,78078327","9,19153083",,
10/01/2009 1.00,,"13,93135206",,"9,39044952"
10/01/2009 2.00,"1,96139027",,,"9,39044952"
10/01/2009 3.00,"2,10226307",,,"9,39044952"
10/01/2009 4.00,"1,83496598",,,"9,39044952"
10/01/2009 5.00,"2,17992425",,,"9,39044952"
10/01/2009 6.00,"1,93429942",,,"9,39044952"
10/01/2009 7.00,"2,51946495",,,"9,39044952"
10/01/2009 8.00,"2,29190103",,,"9,39044952"
10/01/2009 9.00,"2,15463959",,,"9,39044952"
10/01/2009 10.00,"2,2232698",,,"9,39044952"
10/01/2009 11.00,"2,30093097",,,"9,39044952"
10/01/2009 12.00,"2,45264093",,,"9,39044952"
10/01/2009 13.00,"1,9740326",,,"9,39044952"
10/01/2009 14.00,"2,26842155",,,"9,39044952"
10/01/2009 15.00,"1,79523179",,,"9,39044952"
10/01/2009 16.00,"1,86928058",,,"9,39044952"
