,ARPA Puglia,,
07/01/2009 12.00,,,
07/01/2009 13.00,,,
07/01/2009 14.00,"3,48751776",,
07/01/2009 15.00,"3,5146086",,
07/01/2009 16.00,"3,32497166",,
07/01/2009 17.00,"6,07561394",,
07/01/2009 18.00,"3,29968701",,
07/01/2009 19.00,"3,34122638","59,47627808",
07/01/2009 20.00,"3,55434279","89,23130008",
07/01/2009 21.00,"3,61755545","83,19488664",
07/01/2009 22.00,"3,44056083","77,42064664",
07/01/2009 23.00,"3,61936164","102,12435584",
08/01/2009 0.00,"3,46584549","87,99700848",
08/01/2009 1.00,,"105,09646424",
08/01/2009 2.00,"3,56156654",,
08/01/2009 3.00,"3,63200396","106,92647768",
08/01/2009 4.00,"3,63742152","100,92513032",
08/01/2009 5.00,"3,40263284","81,74905136",
08/01/2009 6.00,"3,47306924","83,95934248",
08/01/2009 7.00,"3,64103391","69,27002008",
08/01/2009 8.00,"3,84692556","84,20593312",
08/01/2009 9.00,"3,69702179","86,56545584",
08/01/2009 10.00,"3,88665975","103,65185264",
08/01/2009 11.00,"3,7132765","86,41490496",
08/01/2009 12.00,"3,56677969","69,4867644",
08/01/2009 13.00,,"51,570942",
08/01/2009 14.00,,,
08/01/2009 15.00,,,
08/01/2009 16.00,,,
08/01/2009 17.00,,"76,0358424",
08/01/2009 18.00,,"100,90174656",
08/01/2009 19.00,,"110,1659028",
08/01/2009 20.00,,"72,21618264",
08/01/2009 21.00,,"59,29976224",
08/01/2009 22.00,,"82,01642544",
08/01/2009 23.00,,"103,41698256",
09/01/2009 0.00,,"101,13797416",
09/01/2009 1.00,,,
09/01/2009 2.00,,,
09/01/2009 3.00,,,
09/01/2009 4.00,,,
09/01/2009 5.00,,,
09/01/2009 6.00,,,
09/01/2009 7.00,,,
09/01/2009 8.00,,,
09/01/2009 9.00,,,
09/01/2009 10.00,"3,70436555",,
09/01/2009 11.00,"3,65728862",,
09/01/2009 12.00,"3,62839158",,
09/01/2009 13.00,"3,57601506",,
09/01/2009 14.00,"3,65187004",,
09/01/2009 15.00,"3,62839158",,
09/01/2009 16.00,"3,71508269",,
09/01/2009 17.00,"3,64103391",,
09/01/2009 18.00,"3,65006385",,
09/01/2009 19.00,"3,64825868",,
09/01/2009 20.00,"3,74759212",,
09/01/2009 21.00,"3,67354333",,
09/01/2009 22.00,"3,53989427",,
09/01/2009 23.00,"3,38096057",,
10/01/2009 0.00,"3,52905814",,
10/01/2009 1.00,"3,54170047",,
10/01/2009 2.00,"3,5001611",,
10/01/2009 3.00,"3,23466817",,
10/01/2009 4.00,"3,31955411",,
10/01/2009 5.00,"3,32858405",,
10/01/2009 6.00,"3,34845114",,
10/01/2009 7.00,"3,49654872",,
10/01/2009 8.00,"3,53628189",,
10/01/2009 9.00,"3,48751776",,
10/01/2009 10.00,"3,36651103",,
10/01/2009 11.00,"3,4116638",,
10/01/2009 12.00,"3,35025734",,
10/01/2009 13.00,"3,16965034",,
10/01/2009 14.00,"3,3213603",,
10/01/2009 15.00,"3,25453526",,
10/01/2009 16.00,"3,31232934",,
10/01/2009 17.00,"3,23647436",,
10/01/2009 18.00,"3,24189293",,
10/01/2009 19.00,"3,21660828",,
10/01/2009 20.00,"3,34122638",,
10/01/2009 21.00,"3,41888755",,
10/01/2009 22.00,"3,25092288",,
10/01/2009 23.00,"3,42972368",,
11/01/2009 0.00,"3,2129959",,
11/01/2009 1.00,"3,29607463",,
11/01/2009 2.00,"3,24189293",,
11/01/2009 3.00,"3,1931288",,
11/01/2009 4.00,"3,22202584",,
11/01/2009 5.00,"3,28162611",,
11/01/2009 6.00,"3,35928728",,
11/01/2009 7.00,"3,45320316",,
11/01/2009 8.00,"3,43514226",,
11/01/2009 9.00,"3,42972368",,
11/01/2009 10.00,"3,35206353",,
11/01/2009 11.00,"3,3538687",,
11/01/2009 12.00,"3,26898378",,
11/01/2009 13.00,"3,30691076",,
11/01/2009 14.00,"3,35567489",,
11/01/2009 15.00,"3,20938351",,
11/01/2009 16.00,"3,27259616",,
11/01/2009 17.00,"3,33400262",,
11/01/2009 18.00,"3,34664495",,
11/01/2009 19.00,"3,35206353",,
11/01/2009 20.00,"3,25092288",,
11/01/2009 21.00,"3,32677786",,
11/01/2009 22.00,"3,36109347",,
11/01/2009 23.00,"3,2834323",,
12/01/2009 0.00,"3,25092288",,
12/01/2009 1.00,"3,19493499",,
12/01/2009 2.00,"3,31052315",,
12/01/2009 3.00,"3,40263284",,
12/01/2009 4.00,"3,30871695",,
12/01/2009 5.00,"3,47126305",,
12/01/2009 6.00,"3,34845114",,
12/01/2009 7.00,"3,46945787",,
12/01/2009 8.00,"3,64825868","66,47570856",
12/01/2009 9.00,"3,81802852","86,4655156",
12/01/2009 10.00,"3,69160322","61,5204164",
12/01/2009 11.00,"3,61033068","52,73642072",
12/01/2009 12.00,"3,53266951","52,09008824",
12/01/2009 13.00,"3,43694845","37,5915452",
12/01/2009 14.00,"3,43333607","42,91931408",
12/01/2009 15.00,"3,5705975","47,66564376",
12/01/2009 16.00,"3,62839158","47,14259704",
12/01/2009 17.00,"3,60852449","59,69432256",
12/01/2009 18.00,"3,62116681","75,40117312",
12/01/2009 19.00,"3,64103391","84,46810656",
12/01/2009 20.00,"3,69340941","84,37854848",
12/01/2009 21.00,"3,75481587","73,49978472",
12/01/2009 22.00,"3,84331317","74,65099992",
12/01/2009 23.00,"3,77107058","61,55936384",
13/01/2009 0.00,"3,54170047","54,3535712",
13/01/2009 1.00,"3,56879131",,
13/01/2009 2.00,"3,67715571",,
13/01/2009 3.00,"3,54711803",,
13/01/2009 4.00,"3,59046358",,
13/01/2009 5.00,"3,63380914",,
13/01/2009 6.00,"3,89749588",,
13/01/2009 7.00,"3,93722906",,
13/01/2009 8.00,"3,95348377",,
13/01/2009 9.00,"4,02753255",,
13/01/2009 10.00,"3,92458673",,
13/01/2009 11.00,"3,83789561",,
13/01/2009 12.00,"3,57962745",,
13/01/2009 13.00,"3,45139697",,
13/01/2009 14.00,"3,34483876",,
13/01/2009 15.00,"3,44056083",,
13/01/2009 16.00,"3,31052315",,
13/01/2009 17.00,"3,29788082",,
13/01/2009 18.00,"3,2310568",,
13/01/2009 19.00,"3,25634145",,
13/01/2009 20.00,"3,22202584",,
13/01/2009 21.00,"3,16965034",,
13/01/2009 22.00,"3,29065707",,
13/01/2009 23.00,"3,22925061",,
14/01/2009 0.00,"3,17687409",,
14/01/2009 1.00,"3,15339563",,
14/01/2009 2.00,"3,23466817",,
14/01/2009 3.00,"3,17868028",,
14/01/2009 4.00,"3,16242557",,
14/01/2009 5.00,"3,37012341",,
14/01/2009 6.00,"3,52725195",,
14/01/2009 7.00,"3,34122638",,
14/01/2009 8.00,"3,14978324",,
14/01/2009 9.00,"3,23286299",,
14/01/2009 10.00,"3,25453526",,
14/01/2009 11.00,"3,1750679",,
14/01/2009 12.00,"3,3014932",,
14/01/2009 13.00,"3,15700801",,
14/01/2009 14.00,"3,09198917",,
14/01/2009 15.00,"3,19493499",,
14/01/2009 16.00,,,
14/01/2009 17.00,,,
14/01/2009 18.00,"3,05947975","23,66669776",
14/01/2009 19.00,"3,11546763","20,12869472",
14/01/2009 20.00,"3,37554199","32,71414792",
14/01/2009 21.00,"3,38999051","33,8601816",
14/01/2009 22.00,"3,39540807","35,74468704",
14/01/2009 23.00,"3,63742152","52,75588488",
15/01/2009 0.00,"3,79816142","72,94169104",
15/01/2009 1.00,"3,78732529","69,88908744",
15/01/2009 2.00,"3,69702179","71,28561224",
15/01/2009 3.00,"3,58143364","54,2160028",
15/01/2009 4.00,"3,2653714","24,7945292",
15/01/2009 5.00,"3,36470585","27,82116784",
15/01/2009 6.00,"3,42069374","35,26966976",
15/01/2009 7.00,"3,57601506","49,40738016",
15/01/2009 8.00,"3,65548243","59,10248208",
15/01/2009 9.00,"3,73856116","70,89105192",
15/01/2009 10.00,"3,72411264","72,92352704",
15/01/2009 11.00,"3,68799185","79,71399504",
15/01/2009 12.00,"3,68618566","64,62103032",
15/01/2009 13.00,"3,77287677","55,3607172",
15/01/2009 14.00,"3,62839158","52,84804328",
15/01/2009 15.00,"3,55614899","49,2347648",
15/01/2009 16.00,"3,44959078","43,7421624",
15/01/2009 17.00,"3,61936164","57,10635408",
15/01/2009 18.00,"3,84331317","81,344128",
15/01/2009 19.00,"4,10158134","96,77192216",
15/01/2009 20.00,"4,19007865","94,20473712",
15/01/2009 21.00,"4,17021155","92,27870304",
15/01/2009 22.00,"3,97876842","82,65627624",
15/01/2009 23.00,"3,91916815","87,769882",
16/01/2009 0.00,"4,01308403","79,07932576",
16/01/2009 1.00,,"75,92940136",
16/01/2009 2.00,"3,59949454",,
16/01/2009 3.00,"3,4261113","37,7511972",
16/01/2009 4.00,"3,38096057","23,21632616",
16/01/2009 5.00,"3,32677786","21,45382544",
16/01/2009 6.00,"3,40082664","26,38183336",
16/01/2009 7.00,"3,56337274","37,53315272",
16/01/2009 8.00,"3,60671829","41,29828224",
16/01/2009 9.00,"3,57420887","42,08738376",
16/01/2009 10.00,"3,63380914","42,60522984",
16/01/2009 11.00,"3,48390537","33,85628112",
16/01/2009 12.00,"3,34664495","28,13655224",
16/01/2009 13.00,,"22,96323472",
16/01/2009 14.00,,"22,62968632",
16/01/2009 15.00,"3,3538687","25,47590864",
16/01/2009 16.00,"3,2653714","29,19042752",
16/01/2009 17.00,"3,38637812","27,18131704",
16/01/2009 18.00,"3,36109347","37,22294984",
16/01/2009 19.00,"3,48751776","37,50460656",
16/01/2009 20.00,"3,38818432","36,87513792",
16/01/2009 21.00,"3,33942018","30,77903184",
16/01/2009 22.00,"3,31413553","26,50123776",
16/01/2009 23.00,"3,30329939","19,32791088",
17/01/2009 0.00,"3,23647436","12,27527518",
17/01/2009 1.00,"3,28162611","9,82878705",
17/01/2009 2.00,"3,16423176","7,63148797",
17/01/2009 3.00,"3,1931288","7,67431868",
17/01/2009 4.00,"3,21480209","5,54061654",
17/01/2009 5.00,"3,28523849","7,25640328",
17/01/2009 6.00,"3,22744442","12,24931786",
17/01/2009 7.00,"3,21660828","13,66269312",
17/01/2009 8.00,"3,24731049","23,04111048",
17/01/2009 9.00,"3,50738485","22,76855488",
17/01/2009 10.00,"3,41888755","21,26432712",
17/01/2009 11.00,"3,38637812","25,26826544",
17/01/2009 12.00,"3,34483876","20,59332984",
17/01/2009 13.00,"3,37734818","18,99564543",
17/01/2009 14.00,"3,37554199","16,81523314",
17/01/2009 15.00,"3,35567489","12,62699714",
17/01/2009 16.00,"3,45139697","14,06504102",
17/01/2009 17.00,"3,45320316","18,47520477",
17/01/2009 18.00,"3,4821002","36,2326868",
17/01/2009 19.00,"3,67896089","70,7080544",
17/01/2009 20.00,"3,52183337","65,8280568",
17/01/2009 21.00,"3,71508269","76,2097388",
17/01/2009 22.00,"3,79093767","74,3239332",
17/01/2009 23.00,"3,77107058","71,40891712",
18/01/2009 0.00,"3,60310591","43,06728376",
18/01/2009 1.00,,"29,91853624",
18/01/2009 2.00,"3,3358078",,
18/01/2009 3.00,"3,53086331","32,28065928",
18/01/2009 4.00,"3,43694845","30,11061576",
18/01/2009 5.00,"3,57782126","30,28843176",
18/01/2009 6.00,"3,50557866","42,1444952",
18/01/2009 7.00,"3,54531183","32,48053976",
18/01/2009 8.00,"3,34303257","18,75554986",
18/01/2009 9.00,"3,43694845","19,18774216",
18/01/2009 10.00,"3,42069374","20,04173696",
18/01/2009 11.00,"3,40805141","20,35192072",
18/01/2009 12.00,"3,46765168","10,05851002",
18/01/2009 13.00,"3,2834323","10,86578319",
18/01/2009 14.00,"3,3917967","10,08446542",
18/01/2009 15.00,"3,36651103","7,29793574",
18/01/2009 16.00,"3,4622331","14,76199561",
18/01/2009 17.00,"3,42791749","17,19810158",
18/01/2009 18.00,"3,37192961","22,01059984",
18/01/2009 19.00,"3,34122638","15,31229024",
18/01/2009 20.00,"3,31413553","12,93459396",
18/01/2009 21.00,"3,3737358","13,51473491",
18/01/2009 22.00,"3,3213603","18,60498559",
18/01/2009 23.00,"3,31052315","22,60244032",
19/01/2009 0.00,"3,2310568","11,38493326",
19/01/2009 1.00,"3,25453526","11,0254199",
19/01/2009 2.00,"3,11908001","11,14352605",
19/01/2009 3.00,"3,33039024","9,4835525",
19/01/2009 4.00,"3,30510559","13,40311809",
19/01/2009 5.00,"3,38457193","21,66016848",
19/01/2009 6.00,"3,54711803","37,94587704",
19/01/2009 7.00,"3,73133741","51,50604872",
19/01/2009 8.00,"3,97154467","82,73153256",
19/01/2009 9.00,"3,97154467","86,0683932",
19/01/2009 10.00,"3,80719238","73,39856344",
19/01/2009 11.00,"3,63742152","53,7500484",
19/01/2009 12.00,"3,4821002","34,12233592",
19/01/2009 13.00,"3,52725195","41,11656576",
19/01/2009 14.00,"3,51280343","29,93930056",
19/01/2009 15.00,"3,46584549","38,63503832",
19/01/2009 16.00,"3,56879131","42,3313932",
19/01/2009 17.00,"3,63380914","57,7306412",
19/01/2009 18.00,"3,73494979","65,03375464",
19/01/2009 19.00,"3,5705975","45,40864248",
19/01/2009 20.00,"3,46584549","45,49430008",
19/01/2009 21.00,"3,3737358","36,57791752",
19/01/2009 22.00,"3,5164148","41,38263968",
19/01/2009 23.00,"3,35748109","33,79138784",
20/01/2009 0.00,"3,31052315","22,3519492",
20/01/2009 1.00,,"23,44735312",
20/01/2009 2.00,"3,40443903",,
20/01/2009 3.00,"3,41346897","15,83922406",
20/01/2009 4.00,"3,45320316","16,44792455",
20/01/2009 5.00,"3,4116638","29,69270992",
20/01/2009 6.00,"3,56698512","45,82524816",
20/01/2009 7.00,"3,63742152","47,1438972",
20/01/2009 8.00,"3,54711803","72,02670344",
20/01/2009 9.00,"3,47668162","45,58903968",
20/01/2009 10.00,"3,47668162","37,50070608",
20/01/2009 11.00,"3,48571157","32,58566152",
20/01/2009 12.00,"3,37734818","28,93733608",
20/01/2009 13.00,"3,32497166","18,55048786",
20/01/2009 14.00,"3,26898378","21,71858008",
20/01/2009 15.00,"3,22383203","25,6550248",
20/01/2009 16.00,"3,28523849","34,05356128",
20/01/2009 17.00,"3,37734818","38,54809968",
20/01/2009 18.00,"3,37192961","33,5110504",
20/01/2009 19.00,"3,26717759","34,09378976",
20/01/2009 20.00,"3,30329939","31,10089792",
20/01/2009 21.00,"3,19493499","19,00213476",
20/01/2009 22.00,"3,19493499","12,85153094",
20/01/2009 23.00,"3,24369913","12,16884752",
21/01/2009 0.00,"3,34122638","16,62443848",
21/01/2009 1.00,"3,38637812","21,27340912",
21/01/2009 2.00,"3,43333607","15,72371249",
21/01/2009 3.00,"3,3917967","12,59454858",
21/01/2009 4.00,"3,36831722","15,74448254",
21/01/2009 5.00,"3,48571157","23,83931312",
21/01/2009 6.00,"3,27259616","17,50179983",
21/01/2009 7.00,"3,28162611","20,9463424",
21/01/2009 8.00,"3,28704468","34,38450936",
21/01/2009 9.00,"3,28885088","29,05674048",
21/01/2009 10.00,"3,32316547","25,2046532",
21/01/2009 11.00,"3,28523849","21,8224208",
21/01/2009 12.00,"3,3014932","26,84128696",
21/01/2009 13.00,"3,26898378","18,3596932",
21/01/2009 14.00,"3,32858405","39,47606976",
21/01/2009 15.00,"3,24731049","16,99562842",
21/01/2009 16.00,"3,37554199","23,84709496",
21/01/2009 17.00,"3,40805141","24,71407224",
21/01/2009 18.00,"3,38818432","25,73420072",
21/01/2009 19.00,"3,30510559","23,998946",
21/01/2009 20.00,"3,20577113","10,96441945",
21/01/2009 21.00,"3,28523849","8,08444459",
21/01/2009 22.00,"3,15339563","16,26103802",
21/01/2009 23.00,"3,19493499","18,87365601",
22/01/2009 0.00,"3,30329939","20,1260944",
22/01/2009 1.00,,"19,38370304",
22/01/2009 2.00,"3,31413553",,
22/01/2009 3.00,"3,49835491","24,56870288",
22/01/2009 4.00,"3,37915437","29,622616",
22/01/2009 5.00,"3,58323983","34,30793376",
22/01/2009 6.00,"3,4098576","35,82904448",
22/01/2009 7.00,"3,5724037","38,65582176",
22/01/2009 8.00,"3,64464629","55,12710904",
22/01/2009 9.00,"3,64103391","56,6040908",
22/01/2009 10.00,"3,64464629","48,3651872",
22/01/2009 11.00,"3,64103391","45,76813672",
22/01/2009 12.00,"3,58143364","36,65449312",
22/01/2009 13.00,"3,73856116","32,7245492",
22/01/2009 14.00,"3,68437946","42,60913032",
22/01/2009 15.00,"3,66993095","41,27751792",
22/01/2009 16.00,"3,61574925","41,36317552",
22/01/2009 17.00,"3,57782126","42,65065896",
22/01/2009 18.00,"3,622973","38,997152",
22/01/2009 19.00,"3,55795518","38,44555912",
22/01/2009 20.00,"3,53628189","41,35539368",
22/01/2009 21.00,"3,56517893","36,68433944",
22/01/2009 22.00,"3,49654872","32,79072352",
22/01/2009 23.00,"3,46584549","28,15213504",
23/01/2009 0.00,"3,44778458","23,97688152",
23/01/2009 1.00,"3,38999051","14,14939654",
23/01/2009 2.00,"3,37192961","12,4245259",
23/01/2009 3.00,"3,37012341","7,63148797",
23/01/2009 4.00,"3,29968701","5,84172213",
23/01/2009 5.00,"3,31955411","6,80085016",
23/01/2009 6.00,"3,39721426","8,27912634",
23/01/2009 7.00,"3,44056083","16,47907294",
23/01/2009 8.00,"3,47306924","21,18385104",
23/01/2009 9.00,"3,45320316","23,3006836",
23/01/2009 10.00,"3,49113014","28,0859416",
23/01/2009 11.00,"3,5001611","23,01774584",
23/01/2009 12.00,"3,55795518","27,98990184",
23/01/2009 13.00,"3,40624522","24,29356608",
23/01/2009 14.00,"3,50377247","26,87243344",
23/01/2009 15.00,"3,54531183","24,57778488",
23/01/2009 16.00,"3,48932395","23,4719988",
23/01/2009 17.00,"3,56698512","29,77058568",
23/01/2009 18.00,"3,57782126","49,9330272",
23/01/2009 19.00,"3,64464629","64,59508448",
23/01/2009 20.00,"3,74397973","72,72236552",
23/01/2009 21.00,"3,94445382","81,4025396",
23/01/2009 22.00,"3,63019777","58,47691392",
23/01/2009 23.00,"3,44597839","44,15230552",
24/01/2009 0.00,"3,53808808","39,71617872",
24/01/2009 1.00,,"13,35899295",
24/01/2009 2.00,"3,25995384",,
24/01/2009 3.00,"3,43694845","16,32463306",
24/01/2009 4.00,"3,49835491","16,38822809",
24/01/2009 5.00,"3,40263284","17,81588598",
24/01/2009 6.00,"3,64103391","38,61687432",
24/01/2009 7.00,"3,68979804","36,02372432",
24/01/2009 8.00,"3,74578592","47,8629048",
24/01/2009 9.00,"3,5525366","29,92631808",
24/01/2009 10.00,"3,60671829","38,88164808",
24/01/2009 11.00,"3,622973","39,56562784",
24/01/2009 12.00,"3,56879131","30,44546432",
24/01/2009 13.00,"3,64103391","30,50517608",
24/01/2009 14.00,"3,58323983","38,16910304",
24/01/2009 15.00,"3,6247792","39,0828096",
24/01/2009 16.00,"3,5164148","24,8620228",
24/01/2009 17.00,"3,43514226","20,02355384",
24/01/2009 18.00,"3,43152987","27,4889196",
24/01/2009 19.00,"3,54892422","35,21125816",
24/01/2009 20.00,"3,66993095","46,2133268",
24/01/2009 21.00,"3,70244037","48,72210024",
24/01/2009 22.00,"3,60130073","32,0691156",
24/01/2009 23.00,"3,46765168","23,34611272",
25/01/2009 0.00,"3,52002718","25,91329776",
25/01/2009 1.00,"3,36651103","9,53416888",
25/01/2009 2.00,"3,41346897","10,7359909",
25/01/2009 3.00,"3,3358078","3,9014035",
25/01/2009 4.00,"3,29426843","3,75474354",
25/01/2009 5.00,"3,3014932","4,62691381",
25/01/2009 6.00,"3,37192961","6,85795586",
25/01/2009 7.00,"3,41888755","16,85546162",
25/01/2009 8.00,"3,41346897","16,41808397",
25/01/2009 9.00,"3,49835491","22,19619768",
25/01/2009 10.00,"3,52725195","28,24297416",
25/01/2009 11.00,"3,5001611","18,88792718",
25/01/2009 12.00,"3,41708135","18,67767601",
25/01/2009 13.00,"3,55976137","11,10978498",
25/01/2009 14.00,"3,36831722","8,69704174",
25/01/2009 15.00,"3,44597839","10,55818637",
25/01/2009 16.00,"3,38096057","9,49653116",
25/01/2009 17.00,"3,45320316","18,09362884",
25/01/2009 18.00,"3,54892422","29,98084832",
25/01/2009 19.00,"3,60310591","33,52403288",
25/01/2009 20.00,"3,54711803","29,221574",
25/01/2009 21.00,"3,55614899","21,8496668",
25/01/2009 22.00,"3,53989427","14,30774074",
25/01/2009 23.00,"3,33761399","11,76649962",
26/01/2009 0.00,"3,36109347","9,23176505",
26/01/2009 1.00,,"7,66004178",
26/01/2009 2.00,"3,36831722",,
26/01/2009 3.00,"3,41708135","5,80797915",
26/01/2009 4.00,"3,40805141","10,4621447",
26/01/2009 5.00,"3,47668162","15,72760914",
26/01/2009 6.00,"3,61033068","43,67338776",
26/01/2009 7.00,"3,68437946","52,99341264",
26/01/2009 8.00,"3,83247704","75,4258188",
26/01/2009 9.00,"4,13409076","98,37999064",
26/01/2009 10.00,"3,83789561","69,6580796",
26/01/2009 11.00,"3,4622331","36,35597256",
26/01/2009 12.00,"3,5001611","26,41297984",
26/01/2009 13.00,"3,50196628","21,9197416",
26/01/2009 14.00,"3,54892422","22,804902",
26/01/2009 15.00,"3,5525366","18,71141325",
26/01/2009 16.00,"3,55976137","26,02752064",
26/01/2009 17.00,"3,53808808","34,34948152",
26/01/2009 18.00,"3,38999051","38,3573012",
26/01/2009 19.00,"3,4622331","35,770652",
26/01/2009 20.00,"3,46042691","35,30471672",
26/01/2009 21.00,"3,41527516","22,08069376",
26/01/2009 22.00,"3,44778458","19,43303264",
26/01/2009 23.00,"3,46042691","21,8834136",
