MASSAFRA,,,,
,SO2,NO2,O3,BENZENE
17/01/2011 7.00,"0,002367",,"29,01961","1,484769"
17/01/2011 8.00,"1,223158",,"25,035774","2,152633"
17/01/2011 9.00,,,"23,608989","1,661269"
17/01/2011 10.00,"3,347715",,"18,581955","1,811633"
17/01/2011 11.00,"1,98497",,"10,894372","2,184872"
17/01/2011 12.00,"3,208128",,"6,8596","2,689151"
17/01/2011 13.00,"2,611929",,"14,874107","2,106156"
17/01/2011 14.00,"1,753114",,"15,248671","1,910078"
17/01/2011 15.00,"2,204997",,"14,539791","2,715644"
17/01/2011 16.00,"1,142718",,"16,985133","2,583841"
17/01/2011 17.00,"1,556746",,"17,5018","3,293097"
17/01/2011 18.00,"3,82089",,"17,689902","3,498582"
17/01/2011 19.00,"7,999028",,"2,587936","6,044031"
17/01/2011 20.00,"9,084965",,"0,459716","5,610636"
17/01/2011 21.00,"11,614088",,"3,942443","5,812053"
17/01/2011 22.00,"41,535295",,"0,273311","10,745916"
17/01/2011 23.00,"20,481393",,,"8,223055"
18/01/2011 0.00,"7,618121",,"0,040796","4,819919"
18/01/2011 1.00,"5,081904",,"3,356667","3,424391"
18/01/2011 2.00,,,"15,344776","2,384306"
18/01/2011 3.00,"3,316958",,"20,040772","1,957522"
18/01/2011 4.00,"3,494401",,,"1,677897"
18/01/2011 5.00,"3,210495",,"24,170344","1,408647"
18/01/2011 6.00,"6,198596",,"21,571076","1,656184"
18/01/2011 7.00,"7,502194",,"7,217375","2,256164"
18/01/2011 8.00,"28,198856",,,"6,252312"
18/01/2011 9.00,"36,264154",,"0,192386","8,272481"
18/01/2011 10.00,"49,290653",,"0,121162","11,247003"
18/01/2011 11.00,"18,269295",,"2,916094","8,172306"
18/01/2011 12.00,"15,127407",,"3,237011","4,799985"
18/01/2011 13.00,"20,940375",,"0,247238","5,048642"
18/01/2011 14.00,"21,363864",,"0,91527","5,813986"
18/01/2011 15.00,"11,753672",,"11,129788","5,084949"
18/01/2011 16.00,"9,219822",,"15,697135","4,087577"
18/01/2011 17.00,"7,845247",,"25,735619","3,76168"
18/01/2011 18.00,"5,931254",,"25,336121","3,613401"
18/01/2011 19.00,"8,190664",,"12,552632","4,807409"
18/01/2011 20.00,"6,390233",,"18,763865","5,130155"
18/01/2011 21.00,"5,370541",,"22,345516","4,523769"
18/01/2011 22.00,"6,439914",,"5,810904","4,808732"
18/01/2011 23.00,"9,030551",,"0,795746","5,297705"
19/01/2011 0.00,"2,287804",,"18,764683","3,990911"
19/01/2011 1.00,,,"27,472846","3,06656"
19/01/2011 2.00,,,"23,578447","2,663167"
19/01/2011 3.00,,,"24,775326","2,309454"
19/01/2011 4.00,,,"25,51214","1,968708"
19/01/2011 5.00,,,"18,988997","2,175871"
19/01/2011 6.00,,,"21,188755","2,260282"
19/01/2011 7.00,"0,203466",,"12,519886","2,344337"
19/01/2011 8.00,"4,580338",,"1,944335","4,13441"
19/01/2011 9.00,"5,465175",,"0,039296","4,710083"
19/01/2011 10.00,"2,798832",,"0,425707","4,198888"
19/01/2011 11.00,"0,882471",,"7,168255","3,748764"
19/01/2011 12.00,"1,585136",,"17,284533","3,464563"
19/01/2011 13.00,"3,617424",,"11,959097","3,493751"
19/01/2011 14.00,"4,774339",,"12,276742","3,851379"
19/01/2011 15.00,"4,991999",,"16,956246","4,355506"
19/01/2011 16.00,,,,
19/01/2011 17.00,,,,
19/01/2011 18.00,,,,
19/01/2011 19.00,,,,
19/01/2011 20.00,,,,
19/01/2011 21.00,,,,
19/01/2011 22.00,,,,
19/01/2011 23.00,,,,
20/01/2011 0.00,,,,
20/01/2011 1.00,,,,
20/01/2011 2.00,,,,
20/01/2011 3.00,,,,
20/01/2011 4.00,,,,
20/01/2011 5.00,,,,
20/01/2011 6.00,,,,
20/01/2011 7.00,,,,
20/01/2011 8.00,,,,
20/01/2011 9.00,,,,
20/01/2011 10.00,"8,972632",,,"4,101764"
20/01/2011 11.00,"5,408394",,"11,716603","3,989284"
20/01/2011 12.00,"7,452511",,"18,631306","3,348828"
20/01/2011 13.00,"7,925686",,"17,121695","3,233399"
20/01/2011 14.00,"8,746646",,"17,530888","3,506311"
20/01/2011 15.00,"6,499063",,"20,896528","2,818514"
20/01/2011 16.00,"6,125254",,"23,740499","2,387865"
20/01/2011 17.00,"8,959575",,"19,787154","3,202533"
20/01/2011 18.00,"9,13465",,"12,248881","5,352776"
20/01/2011 19.00,"11,538373",,"1,849844","5,243703"
20/01/2011 20.00,"10,177993",,"4,077255","5,423915"
20/01/2011 21.00,"11,999725",,"2,799139","4,677742"
20/01/2011 22.00,"11,261566",,"0,705328","4,819309"
20/01/2011 23.00,"13,218152",,"0,323483","6,746218"
21/01/2011 0.00,"6,749846",,"2,835412","4,291435"
21/01/2011 1.00,"3,778303",,"7,072022","3,059289"
21/01/2011 2.00,"0,82096",,"12,102157","1,887552"
21/01/2011 3.00,"0,98657",,"14,717077","1,773038"
21/01/2011 4.00,"0,903764",,"12,564333","1,543704"
21/01/2011 5.00,"1,790969",,"13,302021","1,538467"
21/01/2011 6.00,"1,783871",,"11,498965","1,713798"
21/01/2011 7.00,"2,54805",,"14,597253","1,157193"
21/01/2011 8.00,"8,547912",,"1,498648","3,516379"
21/01/2011 9.00,"28,461497",,,"5,734863"
21/01/2011 10.00,"20,741633",,"1,363541","7,724064"
21/01/2011 11.00,"4,582703",,"15,328421","3,580654"
21/01/2011 12.00,"1,152181",,"18,112069","1,954216"
21/01/2011 13.00,"3,894231",,"11,957064","2,470496"
21/01/2011 14.00,"4,530653",,"9,761934","2,641963"
21/01/2011 15.00,"2,820124",,"19,273625","2,341998"
21/01/2011 16.00,"3,082737",,"23,760071","2,172719"
21/01/2011 17.00,"2,209728",,"25,41231","2,612876"
