NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



16/03/2006 5.00,"0,89150932",,,
16/03/2006 6.00,"0,8832645",,,
16/03/2006 7.00,1,,,
16/03/2006 8.00,2,,,
16/03/2006 9.00,1,,,
16/03/2006 10.00,1,,,
16/03/2006 11.00,1,,,
16/03/2006 12.00,1,,,
16/03/2006 13.00,1,,,
16/03/2006 14.00,2,,,
16/03/2006 15.00,1,,,
16/03/2006 16.00,1,,,
16/03/2006 17.00,1,,,
16/03/2006 18.00,1,,,
16/03/2006 19.00,1,,,
16/03/2006 20.00,1,,,
16/03/2006 21.00,1,,,
16/03/2006 22.00,1,,,
16/03/2006 23.00,1,,,
17/03/2006 0.00,1,,,
17/03/2006 1.00,,,,
17/03/2006 2.00,1,,,
17/03/2006 3.00,1,,,
17/03/2006 4.00,1,,,
17/03/2006 5.00,1,,,
17/03/2006 6.00,1,,,
17/03/2006 7.00,1,,,
17/03/2006 8.00,1,,,
17/03/2006 9.00,1,,,
17/03/2006 10.00,1,,,
17/03/2006 11.00,1,,,
17/03/2006 12.00,1,,,
17/03/2006 13.00,1,,,
17/03/2006 14.00,1,,,
17/03/2006 15.00,1,,,
17/03/2006 16.00,1,,,
17/03/2006 17.00,1,,,
17/03/2006 18.00,1,,,
17/03/2006 19.00,1,,,
17/03/2006 20.00,1,,,
17/03/2006 21.00,1,,,
17/03/2006 22.00,1,,,
17/03/2006 23.00,1,,,
18/03/2006 0.00,1,,,
18/03/2006 1.00,1,,,
18/03/2006 2.00,1,,,
18/03/2006 3.00,1,,,
18/03/2006 4.00,1,,,
18/03/2006 5.00,1,,,
18/03/2006 6.00,1,,,
18/03/2006 7.00,1,,,
18/03/2006 8.00,1,,,
18/03/2006 9.00,1,,,
18/03/2006 10.00,1,,,
18/03/2006 11.00,2,,,
18/03/2006 12.00,3,,,
18/03/2006 13.00,3,,,
18/03/2006 14.00,3,,,
18/03/2006 15.00,3,,,
18/03/2006 16.00,2,,,
18/03/2006 17.00,2,,,
18/03/2006 18.00,2,,,
18/03/2006 19.00,2,,,
18/03/2006 20.00,2,,,
18/03/2006 21.00,2,,,
18/03/2006 22.00,2,,,
18/03/2006 23.00,1,,,
19/03/2006 0.00,2,,,
19/03/2006 1.00,,,,
19/03/2006 2.00,1,,,
19/03/2006 3.00,1,,,
19/03/2006 4.00,1,,,
19/03/2006 5.00,1,,,
19/03/2006 6.00,1,,,
19/03/2006 7.00,1,,,
19/03/2006 8.00,1,,,
19/03/2006 9.00,1,,,
19/03/2006 10.00,1,,,
19/03/2006 11.00,1,,,
19/03/2006 12.00,2,,,
19/03/2006 13.00,1,,,
19/03/2006 14.00,1,,,
19/03/2006 15.00,1,,,
19/03/2006 16.00,1,,,
19/03/2006 17.00,1,,,
19/03/2006 18.00,1,,,
19/03/2006 19.00,1,,,
19/03/2006 20.00,1,,,
19/03/2006 21.00,1,,,
19/03/2006 22.00,1,,,
19/03/2006 23.00,1,,,
20/03/2006 0.00,1,,,
20/03/2006 1.00,1,,,
20/03/2006 2.00,1,,,
20/03/2006 3.00,1,,,
20/03/2006 4.00,1,,,
20/03/2006 5.00,1,,,
20/03/2006 6.00,1,,,
20/03/2006 7.00,2,,,
20/03/2006 8.00,2,,,
20/03/2006 9.00,1,,,
20/03/2006 10.00,1,,,
20/03/2006 11.00,1,,,
20/03/2006 12.00,1,,,
20/03/2006 13.00,1,,,
20/03/2006 14.00,"0,93202965",,,
20/03/2006 15.00,"0,92761282",,,
20/03/2006 16.00,1,,,
20/03/2006 17.00,1,,,
20/03/2006 18.00,1,,,
20/03/2006 19.00,1,,,
20/03/2006 20.00,1,,,
20/03/2006 21.00,1,,,
20/03/2006 22.00,2,,,
20/03/2006 23.00,2,,,
21/03/2006 0.00,1,,,
21/03/2006 1.00,,,,
21/03/2006 2.00,1,,,
21/03/2006 3.00,1,,,
21/03/2006 4.00,"0,88176544",,,
21/03/2006 5.00,"0,96918371",,,
21/03/2006 6.00,1,,,
21/03/2006 7.00,2,,,
21/03/2006 8.00,2,,,
21/03/2006 9.00,1,,,
21/03/2006 10.00,1,,,
21/03/2006 11.00,1,,,
21/03/2006 12.00,"0,9804236",,,
21/03/2006 13.00,1,,,
21/03/2006 14.00,1,,,
21/03/2006 15.00,"0,86293467",,,
21/03/2006 16.00,"0,92471132",,,
21/03/2006 17.00,"0,96374886",,,
21/03/2006 18.00,"0,82302556",,,
21/03/2006 19.00,"0,90956412",,,
21/03/2006 20.00,1,,,
21/03/2006 21.00,1,,,
21/03/2006 22.00,2,,,
21/03/2006 23.00,1,,,
22/03/2006 0.00,1,,,
22/03/2006 1.00,"0,8474722",,,
22/03/2006 2.00,"0,91025568",,,
22/03/2006 3.00,"0,92117114",,,
22/03/2006 4.00,"0,88089387",,,
22/03/2006 5.00,"0,84152479",,,
22/03/2006 6.00,"0,8620987",,,
22/03/2006 7.00,"0,80160754",,,
22/03/2006 8.00,"0,86377878",,,
22/03/2006 9.00,"0,85487596",,,
22/03/2006 10.00,"0,90730841",,,
22/03/2006 11.00,"0,96188877",,,
22/03/2006 12.00,"0,93590544",,,
22/03/2006 13.00,"0,98265184",,,
22/03/2006 14.00,1,,,
22/03/2006 15.00,"0,93510608",,,
22/03/2006 16.00,"0,91295988",,,
22/03/2006 17.00,1,,,
22/03/2006 18.00,"0,90350789",,,
22/03/2006 19.00,"0,94167386",,,
22/03/2006 20.00,1,,,
22/03/2006 21.00,1,,,
22/03/2006 22.00,1,,,
22/03/2006 23.00,1,,,
23/03/2006 0.00,"0,97454737",,,
23/03/2006 1.00,,,,
23/03/2006 2.00,"0,83628825",,,
23/03/2006 3.00,"0,77104974",,,
23/03/2006 4.00,"0,7044342",,,
23/03/2006 5.00,"0,84789121",,,
23/03/2006 6.00,"0,79486178",,,
23/03/2006 7.00,"0,88022367",,,
23/03/2006 8.00,"0,88931768",,,
23/03/2006 9.00,"0,75100975",,,
23/03/2006 10.00,"0,73353871",,,
23/03/2006 11.00,"0,9012237",,,
23/03/2006 12.00,"0,7712989",,,
23/03/2006 13.00,"0,80561147",,,
23/03/2006 14.00,"0,78397581",,,
23/03/2006 15.00,"0,8032144",,,
23/03/2006 16.00,"0,81806972",,,
23/03/2006 17.00,"0,86343402",,,
23/03/2006 18.00,"0,84320487",,,
23/03/2006 19.00,"0,92856677",,,
23/03/2006 20.00,"0,99261844",,,
23/03/2006 21.00,1,,,
23/03/2006 22.00,"0,98016019",,,
23/03/2006 23.00,"0,85668317",,,
24/03/2006 0.00,"0,93928595",,,
24/03/2006 1.00,"0,97734819",,,
24/03/2006 2.00,"0,76865267",,,
24/03/2006 3.00,"0,95020141",,,
24/03/2006 4.00,"0,73781011",,,
24/03/2006 5.00,"0,93868083",,,
24/03/2006 6.00,"0,83330946",,,
24/03/2006 7.00,"0,84276654",,,
24/03/2006 8.00,1,,,
24/03/2006 9.00,1,,,
24/03/2006 10.00,1,,,
24/03/2006 11.00,1,,,
24/03/2006 12.00,1,,,
24/03/2006 13.00,1,,,
24/03/2006 14.00,1,,,
24/03/2006 15.00,1,,,
24/03/2006 16.00,1,,,
24/03/2006 17.00,1,,,
24/03/2006 18.00,1,,,
24/03/2006 19.00,1,,,
24/03/2006 20.00,1,,,
24/03/2006 21.00,1,,,
24/03/2006 22.00,1,,,
24/03/2006 23.00,1,,,
25/03/2006 0.00,1,,,
25/03/2006 1.00,,,,
25/03/2006 2.00,"0,97947575",,,
25/03/2006 3.00,"0,9628",,,
25/03/2006 4.00,1,,,
25/03/2006 5.00,1,,,
25/03/2006 6.00,"0,95524674",,,
25/03/2006 7.00,1,,,
25/03/2006 8.00,1,,,
25/03/2006 9.00,1,,,
25/03/2006 10.00,1,,,
25/03/2006 11.00,2,,,
25/03/2006 12.00,2,,,
25/03/2006 13.00,1,,,
25/03/2006 14.00,1,,,
25/03/2006 15.00,"0,97308594",,,
25/03/2006 16.00,1,,,
25/03/2006 17.00,1,,,
25/03/2006 18.00,1,,,
25/03/2006 19.00,"0,99820279",,,
25/03/2006 20.00,"0,90576461",,,
25/03/2006 21.00,1,,,
25/03/2006 22.00,2,,,
25/03/2006 23.00,1,,,
26/03/2006 0.00,1,,,
26/03/2006 1.00,1,,,
26/03/2006 3.00,1,,,
26/03/2006 4.00,1,,,
26/03/2006 5.00,1,,,
26/03/2006 6.00,1,,,
26/03/2006 7.00,1,,,
26/03/2006 8.00,1,,,
26/03/2006 9.00,"0,99529824",,,
26/03/2006 10.00,"0,87634178",,,
26/03/2006 11.00,1,,,
26/03/2006 12.00,"0,91721196",,,
26/03/2006 13.00,"0,90473947",,,
26/03/2006 14.00,"0,89158254",,,
26/03/2006 15.00,"0,88532901",,,
26/03/2006 16.00,"0,94608866",,,
26/03/2006 17.00,"0,78110075",,,
26/03/2006 18.00,"0,77911862",,,
26/03/2006 19.00,"0,85696488",,,
26/03/2006 20.00,"0,90743961",,,
26/03/2006 21.00,1,,,
26/03/2006 22.00,1,,,
26/03/2006 23.00,1,,,
27/03/2006 0.00,1,,,
27/03/2006 1.00,,,,
27/03/2006 2.00,1,,,
27/03/2006 3.00,1,,,
27/03/2006 4.00,1,,,
27/03/2006 5.00,1,,,
27/03/2006 6.00,1,,,
27/03/2006 7.00,1,,,
27/03/2006 8.00,3,,,
27/03/2006 9.00,2,,,
27/03/2006 10.00,1,,,
27/03/2006 11.00,1,,,
27/03/2006 12.00,2,,,
27/03/2006 13.00,1,,,
27/03/2006 14.00,1,,,
27/03/2006 15.00,1,,,
27/03/2006 16.00,1,,,
27/03/2006 17.00,2,,,
27/03/2006 18.00,1,,,
27/03/2006 19.00,1,,,
27/03/2006 20.00,1,,,
27/03/2006 21.00,1,,,
27/03/2006 22.00,1,,,
27/03/2006 23.00,1,,,
28/03/2006 0.00,1,,,
28/03/2006 1.00,1,,,
28/03/2006 2.00,1,,,
28/03/2006 3.00,1,,,
28/03/2006 4.00,1,,,
28/03/2006 5.00,1,,,
28/03/2006 6.00,1,,,
28/03/2006 7.00,2,,,
28/03/2006 8.00,2,,,
28/03/2006 9.00,2,,,
28/03/2006 10.00,1,,,
28/03/2006 11.00,1,,,
28/03/2006 12.00,1,,,
28/03/2006 13.00,1,,,
28/03/2006 14.00,1,,,
28/03/2006 15.00,1,,,
28/03/2006 16.00,1,,,
28/03/2006 17.00,1,,,
28/03/2006 18.00,1,,,
28/03/2006 19.00,1,,,
28/03/2006 20.00,2,,,
28/03/2006 21.00,2,,,
28/03/2006 22.00,1,,,
28/03/2006 23.00,1,,,
29/03/2006 0.00,1,,,
29/03/2006 1.00,,,,
29/03/2006 2.00,1,,,
29/03/2006 3.00,1,,,
29/03/2006 4.00,1,,,
29/03/2006 5.00,1,,,
29/03/2006 6.00,1,,,
29/03/2006 7.00,1,,,
29/03/2006 8.00,1,,,
29/03/2006 9.00,1,,,
29/03/2006 10.00,1,,,
29/03/2006 11.00,2,,,
29/03/2006 12.00,1,,,
29/03/2006 13.00,1,,,
29/03/2006 14.00,2,,,
29/03/2006 15.00,2,,,
29/03/2006 16.00,2,,,
29/03/2006 17.00,2,,,
29/03/2006 18.00,2,,,
29/03/2006 19.00,1,,,
29/03/2006 20.00,2,,,
29/03/2006 21.00,2,,,
29/03/2006 22.00,2,,,
29/03/2006 23.00,2,,,
30/03/2006 0.00,2,,,
30/03/2006 1.00,2,,,
30/03/2006 2.00,2,,,
30/03/2006 3.00,2,,,
30/03/2006 4.00,1,,,
30/03/2006 5.00,2,,,
30/03/2006 6.00,1,,,
30/03/2006 7.00,2,,,
30/03/2006 8.00,2,,,
30/03/2006 9.00,2,,,
30/03/2006 10.00,2,,,
30/03/2006 11.00,2,,,
30/03/2006 12.00,2,,,
30/03/2006 13.00,2,,,
30/03/2006 14.00,2,,,
30/03/2006 15.00,2,,,
30/03/2006 16.00,2,,,
30/03/2006 17.00,2,,,
30/03/2006 18.00,2,,,
30/03/2006 19.00,2,,,
30/03/2006 20.00,2,,,
30/03/2006 21.00,2,,,
30/03/2006 22.00,2,,,
30/03/2006 23.00,2,,,
31/03/2006 0.00,2,,,
31/03/2006 1.00,,,,
31/03/2006 2.00,1,,,
31/03/2006 3.00,1,,,
31/03/2006 4.00,1,,,
31/03/2006 5.00,1,,,
31/03/2006 6.00,1,,,
31/03/2006 7.00,1,,,
31/03/2006 8.00,1,,,
31/03/2006 9.00,1,,,
31/03/2006 10.00,1,,,
31/03/2006 11.00,1,,,
31/03/2006 12.00,1,,,
31/03/2006 13.00,1,,,
31/03/2006 14.00,2,,,
31/03/2006 15.00,2,,,
31/03/2006 16.00,1,,,
31/03/2006 17.00,1,,,
31/03/2006 18.00,1,,,
31/03/2006 19.00,1,,,
31/03/2006 20.00,1,,,
31/03/2006 21.00,2,,,
31/03/2006 22.00,2,,,
31/03/2006 23.00,2,,,
01/04/2006 0.00,1,,,
01/04/2006 1.00,1,,,
01/04/2006 2.00,1,,,
01/04/2006 3.00,1,,,
01/04/2006 4.00,1,,,
01/04/2006 5.00,1,,,
01/04/2006 6.00,1,,,
01/04/2006 7.00,1,,,
01/04/2006 8.00,2,,,
01/04/2006 9.00,1,,,
01/04/2006 10.00,1,,,
01/04/2006 11.00,1,,,
01/04/2006 12.00,1,,,
01/04/2006 13.00,1,,,
01/04/2006 14.00,1,,,
01/04/2006 15.00,1,,,
01/04/2006 16.00,1,,,
01/04/2006 17.00,1,,,
01/04/2006 18.00,1,,,
01/04/2006 19.00,1,,,
01/04/2006 20.00,1,,,
01/04/2006 21.00,1,,,
01/04/2006 22.00,1,,,
01/04/2006 23.00,1,,,
02/04/2006 0.00,2,,,
02/04/2006 1.00,,,,
02/04/2006 2.00,1,,,
02/04/2006 3.00,1,,,
02/04/2006 4.00,1,,,
02/04/2006 5.00,1,,,
02/04/2006 6.00,1,,,
02/04/2006 7.00,2,,,
02/04/2006 8.00,2,,,
02/04/2006 9.00,2,,,
02/04/2006 10.00,2,,,
02/04/2006 11.00,1,,,
02/04/2006 12.00,2,,,
02/04/2006 13.00,2,,,
02/04/2006 14.00,1,,,
02/04/2006 15.00,1,,,
02/04/2006 16.00,1,,,
02/04/2006 17.00,1,,,
02/04/2006 18.00,1,,,
02/04/2006 19.00,1,,,
02/04/2006 20.00,2,,,
02/04/2006 21.00,1,,,
02/04/2006 22.00,1,,,
02/04/2006 23.00,2,,,
03/04/2006 0.00,2,,,
03/04/2006 1.00,2,,,
03/04/2006 2.00,1,,,
03/04/2006 3.00,1,,,
03/04/2006 4.00,1,,,
03/04/2006 5.00,1,,,
03/04/2006 6.00,2,,,
03/04/2006 7.00,2,,,
03/04/2006 8.00,2,,,
03/04/2006 9.00,2,,,
03/04/2006 10.00,2,,,
03/04/2006 11.00,2,,,
03/04/2006 12.00,1,,,
03/04/2006 13.00,1,,,
03/04/2006 14.00,1,,,
03/04/2006 15.00,1,,,
03/04/2006 16.00,1,,,
03/04/2006 17.00,1,,,
03/04/2006 18.00,1,,,
03/04/2006 19.00,1,,,
03/04/2006 20.00,1,,,
03/04/2006 21.00,1,,,
03/04/2006 22.00,1,,,
03/04/2006 23.00,1,,,
04/04/2006 0.00,1,,,
04/04/2006 1.00,,,,
04/04/2006 2.00,1,,,
04/04/2006 3.00,1,,,
04/04/2006 4.00,1,,,
04/04/2006 5.00,1,,,
04/04/2006 6.00,1,,,
04/04/2006 7.00,1,,,
04/04/2006 8.00,1,,,
04/04/2006 9.00,1,,,
04/04/2006 10.00,1,,,
04/04/2006 11.00,1,,,
04/04/2006 12.00,2,,,
04/04/2006 13.00,2,,,
04/04/2006 14.00,1,,,
04/04/2006 15.00,1,,,
04/04/2006 16.00,1,,,
04/04/2006 17.00,1,,,
04/04/2006 18.00,1,,,
04/04/2006 19.00,2,,,
04/04/2006 20.00,2,,,
04/04/2006 21.00,1,,,
04/04/2006 22.00,2,,,
04/04/2006 23.00,2,,,
05/04/2006 0.00,2,,,
05/04/2006 1.00,2,,,
05/04/2006 2.00,2,,,
05/04/2006 3.00,2,,,
05/04/2006 4.00,2,,,
05/04/2006 5.00,1,,,
05/04/2006 6.00,2,,,
05/04/2006 7.00,2,,,
05/04/2006 8.00,2,,,
05/04/2006 9.00,3,,,
05/04/2006 10.00,2,,,
05/04/2006 11.00,2,,,
05/04/2006 12.00,2,,,
05/04/2006 13.00,2,,,
05/04/2006 14.00,2,,,
05/04/2006 15.00,2,,,
05/04/2006 16.00,2,,,
05/04/2006 17.00,2,,,
05/04/2006 18.00,2,,,
05/04/2006 19.00,2,,,
05/04/2006 20.00,2,,,
05/04/2006 21.00,2,,,
05/04/2006 22.00,2,,,
05/04/2006 23.00,2,,,
06/04/2006 0.00,2,,,
06/04/2006 1.00,,,,
06/04/2006 2.00,"0,94002327",,,
06/04/2006 3.00,1,,,
06/04/2006 4.00,"0,91556747",,,
06/04/2006 5.00,1,,,
06/04/2006 6.00,"0,9759671",,,
06/04/2006 7.00,1,,,
06/04/2006 8.00,2,,,
06/04/2006 9.00,2,,,
06/04/2006 10.00,2,,,
06/04/2006 11.00,2,,,
06/04/2006 12.00,1,,,
06/04/2006 13.00,1,,,
06/04/2006 14.00,1,,,
06/04/2006 15.00,1,,,
06/04/2006 16.00,"0,95066821",,,
06/04/2006 17.00,"0,95333783",,,
06/04/2006 18.00,1,,,
06/04/2006 19.00,"0,94090196",,,
06/04/2006 20.00,"0,95574711",,,
06/04/2006 21.00,1,,,
06/04/2006 22.00,2,,,
06/04/2006 23.00,1,,,
07/04/2006 0.00,"0,70693094",,,
07/04/2006 1.00,"0,63592196",,,
07/04/2006 2.00,"0,66875581",,,
07/04/2006 3.00,"0,67775117",,,
07/04/2006 4.00,"0,71197424",,,
07/04/2006 5.00,"0,64674386",,,
07/04/2006 6.00,"0,60788124",,,
07/04/2006 7.00,"0,87900632",,,
07/04/2006 8.00,"0,83907585",,,
07/04/2006 9.00,"0,83273892",,,
07/04/2006 10.00,"0,88682603",,,
07/04/2006 11.00,"0,89162119",,,
07/04/2006 12.00,"0,75694802",,,
07/04/2006 13.00,"0,84777323",,,
07/04/2006 14.00,"0,88616193",,,
07/04/2006 15.00,"0,86433915",,,
07/04/2006 16.00,"0,89805168",,,
07/04/2006 17.00,"0,84338285",,,
07/04/2006 18.00,"0,84016709",,,
07/04/2006 19.00,"0,9297475",,,
07/04/2006 20.00,1,,,
07/04/2006 21.00,1,,,
07/04/2006 22.00,1,,,
07/04/2006 23.00,"0,96986815",,,
08/04/2006 0.00,"0,86265398",,,
08/04/2006 1.00,,,,
08/04/2006 2.00,1,,,
08/04/2006 3.00,1,,,
08/04/2006 4.00,1,,,
08/04/2006 5.00,1,,,
08/04/2006 6.00,1,,,
08/04/2006 7.00,1,,,
08/04/2006 8.00,2,,,
08/04/2006 9.00,2,,,
08/04/2006 10.00,1,,,
08/04/2006 11.00,1,,,
08/04/2006 12.00,2,,,
08/04/2006 13.00,2,,,
08/04/2006 14.00,2,,,
08/04/2006 15.00,2,,,
08/04/2006 16.00,1,,,
08/04/2006 17.00,1,,,
08/04/2006 18.00,1,,,
08/04/2006 19.00,2,,,
08/04/2006 20.00,1,,,
08/04/2006 21.00,2,,,
08/04/2006 22.00,2,,,
08/04/2006 23.00,2,,,
09/04/2006 0.00,2,,,
09/04/2006 1.00,1,,,
09/04/2006 2.00,1,,,
09/04/2006 3.00,1,,,
09/04/2006 4.00,1,,,
09/04/2006 5.00,2,,,
09/04/2006 6.00,2,,,
09/04/2006 7.00,1,,,
09/04/2006 8.00,1,,,
09/04/2006 9.00,2,,,
09/04/2006 10.00,1,,,
09/04/2006 11.00,1,,,
09/04/2006 12.00,1,,,
09/04/2006 13.00,1,,,
09/04/2006 14.00,1,,,
09/04/2006 15.00,1,,,
09/04/2006 16.00,1,,,
09/04/2006 17.00,1,,,
09/04/2006 18.00,1,,,
09/04/2006 19.00,1,,,
09/04/2006 20.00,1,,,
09/04/2006 21.00,1,,,
09/04/2006 22.00,1,,,
09/04/2006 23.00,1,,,
10/04/2006 0.00,2,,,
10/04/2006 1.00,,,,
10/04/2006 2.00,1,,,
10/04/2006 3.00,1,,,
10/04/2006 4.00,1,,,
10/04/2006 5.00,1,,,
10/04/2006 6.00,1,,,
10/04/2006 7.00,1,,,
10/04/2006 8.00,2,,,
10/04/2006 9.00,2,,,
10/04/2006 10.00,1,,,
10/04/2006 11.00,1,,,
10/04/2006 12.00,1,,,
10/04/2006 13.00,1,,,
10/04/2006 14.00,1,,,
10/04/2006 15.00,1,48,,
10/04/2006 16.00,2,,,
10/04/2006 17.00,1,,,
10/04/2006 18.00,1,,,
10/04/2006 19.00,1,,,
10/04/2006 20.00,1,,,
10/04/2006 21.00,1,,,
10/04/2006 22.00,"0,81737409",,,
10/04/2006 23.00,"0,95786857",,,
11/04/2006 0.00,"0,90335127",,,
11/04/2006 1.00,1,,,
11/04/2006 2.00,"0,9676277",,,
11/04/2006 3.00,"0,90851051",,,
11/04/2006 4.00,"0,8477773",,,
11/04/2006 5.00,"0,8282926",,,
11/04/2006 6.00,"0,81757444",,,
11/04/2006 7.00,"0,86203463",,,
11/04/2006 8.00,"0,89220393",,,
11/04/2006 9.00,1,,,
11/04/2006 10.00,"0,97566404",,,
11/04/2006 11.00,"0,93722449",,,
11/04/2006 12.00,"0,86560735",,,
11/04/2006 13.00,"0,88701011",,,
11/04/2006 14.00,1,,,
11/04/2006 15.00,"0,8517792",,,
11/04/2006 16.00,1,,,
11/04/2006 17.00,"0,94179082",,,
11/04/2006 18.00,"0,91827066",,,
11/04/2006 19.00,1,,,
11/04/2006 20.00,1,,,
11/04/2006 21.00,1,,,
11/04/2006 22.00,1,,,
11/04/2006 23.00,1,,,
12/04/2006 0.00,1,,,
12/04/2006 1.00,,,,
12/04/2006 2.00,1,,,
12/04/2006 3.00,1,,,
12/04/2006 4.00,1,,,
12/04/2006 5.00,1,,,
12/04/2006 6.00,1,,,
12/04/2006 7.00,1,,,
12/04/2006 8.00,1,,,
12/04/2006 9.00,1,,,
12/04/2006 10.00,1,,,
12/04/2006 11.00,1,,,
12/04/2006 12.00,1,,,
12/04/2006 13.00,1,,,
12/04/2006 14.00,1,,,
12/04/2006 15.00,1,,,
12/04/2006 16.00,1,,,
12/04/2006 17.00,1,,,
12/04/2006 18.00,1,,,
12/04/2006 19.00,1,,,
12/04/2006 20.00,1,,,
12/04/2006 21.00,1,,,
12/04/2006 22.00,1,,,
12/04/2006 23.00,1,,,
13/04/2006 0.00,1,,,
13/04/2006 1.00,1,,,
13/04/2006 2.00,1,,,
13/04/2006 3.00,1,,,
13/04/2006 4.00,1,,,
13/04/2006 5.00,1,,,
13/04/2006 6.00,1,,,
13/04/2006 7.00,1,,,
13/04/2006 8.00,1,,,
13/04/2006 9.00,1,,,
13/04/2006 10.00,1,,,
13/04/2006 11.00,1,,,
13/04/2006 12.00,1,,,
13/04/2006 13.00,1,,,
13/04/2006 14.00,1,,,
13/04/2006 15.00,1,,,
13/04/2006 16.00,1,,,
13/04/2006 17.00,1,,,
13/04/2006 18.00,1,,,
13/04/2006 19.00,1,,,
13/04/2006 20.00,1,,,
13/04/2006 21.00,1,,,
13/04/2006 22.00,1,,,
13/04/2006 23.00,1,,,
14/04/2006 0.00,1,,,
14/04/2006 1.00,,,,
14/04/2006 2.00,1,,,
14/04/2006 3.00,1,,,
14/04/2006 4.00,1,,,
14/04/2006 5.00,1,,,
14/04/2006 6.00,1,,,
14/04/2006 7.00,1,,,
14/04/2006 8.00,1,,,
14/04/2006 9.00,2,,,
14/04/2006 10.00,1,,,
14/04/2006 11.00,1,,,
14/04/2006 12.00,2,,,
14/04/2006 13.00,1,,,
14/04/2006 14.00,2,,,
14/04/2006 15.00,1,,,
14/04/2006 16.00,1,,,
14/04/2006 17.00,1,,,
14/04/2006 18.00,1,,,
14/04/2006 19.00,1,,,
14/04/2006 20.00,1,,,
14/04/2006 21.00,1,,,
14/04/2006 22.00,1,,,
14/04/2006 23.00,2,,,
15/04/2006 0.00,2,,,
15/04/2006 1.00,1,,,
15/04/2006 2.00,1,,,
15/04/2006 3.00,1,,,
15/04/2006 4.00,1,,,
15/04/2006 5.00,1,,,
15/04/2006 6.00,1,,,
15/04/2006 7.00,1,,,
15/04/2006 8.00,1,,,
15/04/2006 9.00,1,,,
15/04/2006 10.00,1,,,
15/04/2006 11.00,1,,,
15/04/2006 12.00,1,,,
15/04/2006 13.00,1,,,
15/04/2006 14.00,1,,,
15/04/2006 15.00,1,,,
15/04/2006 16.00,1,,,
15/04/2006 17.00,1,,,
15/04/2006 18.00,1,,,
15/04/2006 19.00,1,,,
15/04/2006 20.00,1,,,
15/04/2006 21.00,1,,,
15/04/2006 22.00,2,,,
15/04/2006 23.00,2,,,
16/04/2006 0.00,1,,,
16/04/2006 1.00,,,,
16/04/2006 2.00,"0,89696756",,,
16/04/2006 3.00,"0,89116049",,,
16/04/2006 4.00,"0,87762625",,,
16/04/2006 5.00,"0,97822484",,,
16/04/2006 6.00,"0,82911942",,,
16/04/2006 7.00,"0,75514589",,,
16/04/2006 8.00,"0,95378023",,,
16/04/2006 9.00,"0,80397308",,,
16/04/2006 10.00,"0,91899374",,,
16/04/2006 11.00,1,,,
16/04/2006 12.00,1,,,
16/04/2006 13.00,1,,,
16/04/2006 14.00,1,,,
16/04/2006 15.00,1,,,
16/04/2006 16.00,1,,,
16/04/2006 17.00,1,,,
16/04/2006 18.00,1,,,
16/04/2006 19.00,"0,9703736",,,
16/04/2006 20.00,1,,,
16/04/2006 21.00,"0,90685483",,,
16/04/2006 22.00,1,,,
16/04/2006 23.00,1,,,
17/04/2006 0.00,1,,,
17/04/2006 1.00,1,,,
17/04/2006 2.00,"0,78852688",,,
17/04/2006 3.00,"0,89441591",,,
17/04/2006 4.00,"0,8732979",,,
17/04/2006 5.00,1,,,
17/04/2006 6.00,"0,81348813",,,
17/04/2006 7.00,"0,82529753",,,
17/04/2006 8.00,"0,81987286",,,
17/04/2006 9.00,"0,91082215",,,
17/04/2006 10.00,"0,96085753",,,
17/04/2006 11.00,"0,89831",,,
17/04/2006 12.00,"0,79350713",,,
17/04/2006 13.00,"0,8793521",,,
17/04/2006 14.00,"0,86314214",,,
17/04/2006 15.00,"0,80997541",,,
17/04/2006 16.00,"0,82439851",,,
17/04/2006 17.00,"0,65851462",,,
17/04/2006 18.00,"0,7291829",,,
17/04/2006 19.00,"0,75138503",,,
17/04/2006 20.00,"0,75700497",,,
17/04/2006 21.00,"0,8437388",,,
17/04/2006 22.00,"0,82682609",,,
17/04/2006 23.00,"0,91714484",,,
18/04/2006 0.00,"0,85165309",,,
18/04/2006 1.00,,,,
18/04/2006 2.00,1,,,
18/04/2006 3.00,1,,,
18/04/2006 4.00,1,,,
18/04/2006 5.00,1,,,
18/04/2006 6.00,1,,,
18/04/2006 7.00,1,,,
18/04/2006 8.00,1,,,
18/04/2006 9.00,1,,,
18/04/2006 10.00,1,,,
18/04/2006 11.00,1,,,
18/04/2006 12.00,1,,,
18/04/2006 13.00,1,,,
18/04/2006 14.00,1,,,
18/04/2006 15.00,1,,,
18/04/2006 16.00,1,,,
18/04/2006 17.00,1,,,
18/04/2006 18.00,1,,,
18/04/2006 19.00,1,,,
18/04/2006 20.00,1,,,
18/04/2006 21.00,1,,,
18/04/2006 22.00,1,,,
18/04/2006 23.00,1,,,
19/04/2006 0.00,1,,,
19/04/2006 1.00,1,,,
19/04/2006 2.00,1,,,
19/04/2006 3.00,1,,,
19/04/2006 4.00,1,,,
19/04/2006 5.00,1,,,
19/04/2006 6.00,1,,,
19/04/2006 7.00,1,,,
19/04/2006 8.00,1,,,
19/04/2006 9.00,1,,,
19/04/2006 10.00,1,,,
19/04/2006 11.00,1,,,
19/04/2006 12.00,1,,,
19/04/2006 13.00,1,,,
