,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
09/01/2010 18.00,"4,78788752","27,66153496","21,60000038"
09/01/2010 19.00,"4,90347567","33,09312544","21,60000038"
09/01/2010 20.00,"4,83303927","19,17345952","21,60000038"
09/01/2010 21.00,"4,89263954","28,45843744","21,60000038"
09/01/2010 22.00,"5,20508939","48,43916248","21,60000038"
09/01/2010 23.00,"5,29719908","56,29000656","21,60000038"
10/01/2010 0.00,"5,35318697","55,75787784","21,60000038"
10/01/2010 1.00,,"51,71111072","14,5"
10/01/2010 2.00,"4,90528186",,"14,5"
10/01/2010 3.00,"5,11659209","36,28719792","14,5"
10/01/2010 4.00,"5,05699182","35,81736216","14,5"
10/01/2010 5.00,"5,08769505","26,52978392","14,5"
10/01/2010 6.00,"5,01364626","23,59660384","14,5"
10/01/2010 7.00,"4,99739155","22,30131944","14,5"
10/01/2010 8.00,"5,24662876","25,21245416","14,5"
10/01/2010 9.00,"5,23940501","25,7381012","14,5"
10/01/2010 10.00,"5,3838902","36,5753172","14,5"
10/01/2010 11.00,"5,18702849","31,7109024","14,5"
10/01/2010 12.00,"5,18341611","27,25141096","14,5"
10/01/2010 13.00,"5,11117351","29,76148456","14,5"
10/01/2010 14.00,"5,23218024","32,66483744","14,5"
10/01/2010 15.00,"4,92514896","24,4518988","14,5"
10/01/2010 16.00,"5,07505272","13,65620379","14,5"
10/01/2010 17.00,"4,8637425","12,88916675","14,5"
10/01/2010 18.00,"5,1509077","16,8295043","14,5"
10/01/2010 19.00,"5,24301638","35,31379872","14,5"
10/01/2010 20.00,"5,3838902","37,91083008","14,5"
10/01/2010 21.00,"5,24121018","37,206086","14,5"
10/01/2010 22.00,"5,22856786","36,44293032","14,5"
10/01/2010 23.00,"5,21592553","34,47406744","14,5"
11/01/2010 0.00,"5,24301638","30,1158164","14,5"
11/01/2010 1.00,"5,09853119","24,21309","24,7999897"
11/01/2010 2.00,"5,15993765","19,25521664","24,7999897"
11/01/2010 3.00,"5,10575595","13,5991","24,7999897"
11/01/2010 4.00,"5,10033738","9,53287063","24,7999897"
11/01/2010 5.00,"5,23037405","7,61850931","24,7999897"
11/01/2010 6.00,"5,03531853","8,03642471","24,7999897"
11/01/2010 7.00,"5,05157324","13,29150318","24,7999897"
11/01/2010 8.00,"5,31706516","22,04694696","24,7999897"
11/01/2010 9.00,"5,3459622","43,93036056","24,7999897"
11/01/2010 10.00,"5,56991577","52,7312392","24,7999897"
11/01/2010 11.00,"5,26107728","37,11394672","24,7999897"
11/01/2010 12.00,"5,32248374","40,0471268","24,7999897"
11/01/2010 13.00,"5,51753925","49,67603528","24,7999897"
11/01/2010 14.00,"5,47058131","52,01091232","24,7999897"
11/01/2010 15.00,"5,49044841","45,60332232","24,7999897"
11/01/2010 16.00,"5,18341611","45,47353576","24,7999897"
11/01/2010 17.00,"5,19786463","51,37884336","24,7999897"
11/01/2010 18.00,"5,4182048","57,02847832","24,7999897"
11/01/2010 19.00,"5,28275057","51,66438144","24,7999897"
11/01/2010 20.00,"5,60784275","52,92981952","24,7999897"
11/01/2010 21.00,"5,3838902","48,24060128","24,7999897"
11/01/2010 22.00,"5,743298","57,46586744","24,7999897"
11/01/2010 23.00,"5,60964894","56,02913328","24,7999897"
12/01/2010 0.00,"5,2755258","44,18215184","24,7999897"
12/01/2010 1.00,,"35,13598272","21,60000038"
12/01/2010 2.00,"5,15271288",,"21,60000038"
12/01/2010 3.00,"5,26288347","34,416956","21,60000038"
