, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
05/01/2007 16.00,"5,54307104","120,945472","81,80746296","0,80948474","26,49585435","1,09973295"
05/01/2007 17.00,"4,21148141","84,86492304","60,34065504","0,43673856","38,36175525","1,5077025"
05/01/2007 18.00,"6,13893541","78,48251408","57,6631476","0,43633677","43,3270908","0,80378595"
05/01/2007 19.00,"6,07883884","71,598186","50,6922824","0,42006419","48,66329685","1,087173"
05/01/2007 20.00,"6,06590972","58,7996404","41,74215304","0,3881007","54,4115103","1,01338965"
05/01/2007 21.00,"4,55749024","55,36782984","38,30799072","0,44525795","55,6734675","0,91352025"
05/01/2007 22.00,"6,00107801","32,64353776","26,23258264","0,41255629","61,0906506","0,84304215"
05/01/2007 23.00,"4,2378868","32,27777216","27,412344","0,36377944","60,48028035","1,2849795"
06/01/2007 0.00,"2,87606685","25,6658276","21,07352864","0,35223726","64,12155435","0,84924585"
06/01/2007 1.00,,"17,14341073","15,20457198","0,3286495","65,98548285","1,1507355"
06/01/2007 2.00,"1,03525007",,,"0,31259067","64,64671815","1,01227095"
06/01/2007 3.00,"1,97924675","12,44706646","11,42905839",,"66,7047801","0,39718935"
06/01/2007 4.00,"2,79534654","17,10320328","13,53550497","0,26699662",,"0,42149565"
06/01/2007 5.00,"2,36194385","14,37826103","12,41284931","0,25873653","62,19617985","1,09810575"
06/01/2007 6.00,"1,77597083","18,81910282","14,91903773","0,33307739","59,5532637","0,77551335"
06/01/2007 7.00,"0,88104642","31,88481792","26,58689536","0,35873485","40,5381606","0,84334725"
06/01/2007 8.00,"1,72462962","45,95828512","37,5552172","0,44955619","32,2681674","1,1700585"
06/01/2007 9.00,"1,55727413","44,7884088","34,1690652","0,4347039","36,29828685","1,1921274"
06/01/2007 10.00,"2,00636913","49,17218504","31,22030232","0,52502418","40,5863997","2,350287"
06/01/2007 11.00,"1,34964341","36,63432152","22,23902648","0,40595942","51,8971719","2,279097"
06/01/2007 12.00,"1,8651363","49,9724144","28,02492968","0,48384867","52,96411785","1,5585525"
06/01/2007 13.00,"1,52126318","50,44452544","26,63490568","0,45143317","58,5051705","1,7477145"
06/01/2007 14.00,"1,69378909","42,68083032","21,11377624","0,32390042","68,42524815","1,310913"
06/01/2007 15.00,"0,85201921","33,8549236","15,63156556","0,31513925","72,2763762",
06/01/2007 16.00,"1,18228691","43,3461872","23,2215268","0,36516002","68,2336683","0,74937645"
06/01/2007 17.00,"1,56924727","53,00345064","34,46238512","0,46670243","58,06050495","1,02193245"
06/01/2007 18.00,"0,69110337","84,5004576","59,61254632","0,69047955","38,1644298","1,360746"
06/01/2007 19.00,"0,26677232","80,1283828","60,06291792","0,70337077","34,47270225","1,1341584"
06/01/2007 20.00,"0,48882512","98,7451444","71,4335628","0,8148003","28,06675725","1,3815945"
06/01/2007 21.00,"1,00277624","157,20758448","90,2345456","1,00549382","17,54819955","1,421766"
06/01/2007 22.00,"1,29177204","134,38859104","91,06777608","0,863736","21,31611615","1,4538015"
06/01/2007 23.00,"1,53573712","177,4702148","93,23133792","1,01726726","37,0096041","1,12658175"
07/01/2007 0.00,"1,29276972","234,2632112","89,58821312","1,27124069","44,86369965",
07/01/2007 1.00,"1,99412343","164,73652424","78,08128088","0,92022282","14,91296216",
07/01/2007 2.00,"3,47338756","89,21629088","61,8604656","0,64648333","18,77387369","1,971963"
07/01/2007 3.00,"2,32720212","64,938212","54,5404692","0,54697206","27,5598477","1,3978665"
07/01/2007 4.00,"2,1105923","54,96059296","51,8344156","0,54879531","29,18407695","0,6433542"
07/01/2007 5.00,"2,20356746","49,88683328","48,41969832","0,55518661","28,5107445","1,168533"
07/01/2007 6.00,"2,647311","51,26680016","47,40087","0,51709813","29,336475","1,427868"
07/01/2007 7.00,"1,89026231","53,6506244","50,8817616","0,438","31,16694735",
07/01/2007 8.00,"3,52363956","77,8923944","56,11869136","0,54046397","24,09327585","1,1975175"
07/01/2007 9.00,"3,35347207","88,64947848","53,63584464","0,65738894","24,13034295","1,3256595"
