,ARPA Puglia,,,,,
,S.Maria Cerrate,,,,,
Parm,SO2,NO2,CO,O3,,BENZENE
03/05/2008 20.00,"3,87216306","8,01465697","1,31569085","105,15764754",,
03/05/2008 21.00,"2,90502596","9,95926863","0,9365646","98,75475864",,
03/05/2008 22.00,"2,77042007","10,1163152","0,66091535","99,01709766",,
03/05/2008 23.00,"2,30413103","6,21815901","0,4826481","102,67791498",,
04/05/2008 0.00,"1,82163799","7,5601058","0,39790115","100,61112456",,
04/05/2008 1.00,"2,06701589","7,31623226","0,3892589","97,33782186",,
04/05/2008 2.00,"1,89227796","6,27050724","0,3025811","96,18187032",,
04/05/2008 3.00,"2,12466788","5,70104202","0,22173035","92,63286738",,
04/05/2008 4.00,"2,18144798","6,31775044","0,2381259","84,16181466",,
04/05/2008 5.00,"1,82591701","7,38134872","0,1364475","80,88709932",,
04/05/2008 6.00,"1,82454395","8,7730931","0,0931086","78,81762096",,
04/05/2008 7.00,"1,74230301","10,61427985","0,0787819","81,14678964",,
04/05/2008 8.00,"2,54572606","10,53256357","0,2572251","89,38879848",,
04/05/2008 9.00,"3,52764201","5,51334831","0,7232488","102,19190796",,
04/05/2008 10.00,"3,75816107","4,72682133","1,251867","106,17508188",,
04/05/2008 11.00,"3,36272812","4,23396547","1,723942","109,86917472",,
04/05/2008 12.00,"3,42575192","4,71022339","1,91291345","112,77766314",,
04/05/2008 13.00,"3,3652451","3,72961859","2,27094065","112,96678032",,
04/05/2008 14.00,"4,35464096","5,17754279","2,3048047","115,96314672",,
04/05/2008 15.00,"3,74927902","4,569771","2,6997216","118,99683036",,
04/05/2008 16.00,"6,08322191","8,45771711","2,6531811","113,65261704",,
04/05/2008 17.00,"6,51050901","8,89439315","2,43214535","111,61774836",,
04/05/2008 18.00,"7,26904821","10,6500245","2,05389655","107,73844272",,
04/05/2008 19.00,"5,30911303","8,93269783","1,73938305","107,20581858",,
04/05/2008 20.00,"3,76756811","9,433215","1,3388507","103,05614934",,
04/05/2008 21.00,"2,58681393","7,04937479","0,9141925","101,56993434",,
04/05/2008 22.00,"1,83384299","6,22198873","0,6300344","96,894351",,
04/05/2008 23.00,"1,98829901","7,94698611","0,4960272","86,04351",,
05/05/2008 0.00,"1,96041596","8,06573176","0,3897419","83,90877552",,
05/05/2008 1.00,,"7,40178014","0,2628394","85,81578066",,
05/05/2008 2.00,"1,90689695",,"0,3016519","89,71505946",,
05/05/2008 3.00,"2,2902739","6,49778471",,"90,00671076",,
05/05/2008 4.00,"2,40896702","7,12726136","0,40000565","84,10187556",,
05/05/2008 5.00,"2,40978408","6,84763566","0,38644945","80,74595304",,
05/05/2008 6.00,"2,41131401","8,96972531","0,3474449","79,83638946",,
05/05/2008 7.00,"2,29077196","9,8571228","0,3521392","83,24291196",,
05/05/2008 8.00,"3,06942511","11,04328705","0,52294295","85,36434408",,"0,53750002"
05/05/2008 9.00,"6,00487423","11,89110265","1,00955855","88,60042764",,"0,51389998"
05/05/2008 10.00,"6,12641287","6,76464218","1,53982815","100,46464164",,"0,2976"
05/05/2008 11.00,"4,8288579","4,63361214","1,97089875","105,00315966",,"0,70190001"
05/05/2008 12.00,"4,4033289","4,23013576","2,2609989","106,41472056",,"0,63749999"
05/05/2008 13.00,"4,24084997","4,14331068","2,5274056","107,8623234",,"0,65785003"
05/05/2008 14.00,"4,10270119","4,47400929","2,92644755","108,66531114",,"0,65065002"
05/05/2008 15.00,"3,8196969","3,53170917","3,40915775","111,55251186",,"0,31795001"
05/05/2008 16.00,"4,301229","4,77917144","2,91201275","114,29050248",,"0,62349999"
05/05/2008 17.00,"4,24421215","6,30753661","3,0775518","113,48621982",,"0,58765"
05/05/2008 18.00,"3,42187691","4,52125248","2,71742815","115,77671748",,"0,62234998"
05/05/2008 19.00,"3,01061106","4,93877617","2,5415782","109,27529694",,"0,63625002"
05/05/2008 20.00,"2,84342003","7,90612703","1,9860799","82,89932652",,"0,36109999"
05/05/2008 21.00,"2,5154779","6,82592892","1,5399167","97,67605104",,"0,37154999"
05/05/2008 22.00,"2,18865395","5,44695466","1,27851135","101,04529554",,"0,30825001"
05/05/2008 23.00,"1,51564503","4,57870951","1,1080135","109,42578234",,"0,66745001"
06/05/2008 0.00,"2,316504","4,39612272","1,0882703","109,43239428",,"0,51644999"
06/05/2008 1.00,"2,33124804","3,26229918","0,9109725","112,16779506",,
06/05/2008 2.00,"2,46863198","7,13492267","0,8629738","102,33440802",,
06/05/2008 3.00,"2,03238201","5,08050388","0,79637155","109,6029117",,
06/05/2008 4.00,"2,20247006","5,09837902","0,7817171","104,18814486",,
06/05/2008 5.00,"2,04040408","4,81364641","0,69616055","97,51357782",,
06/05/2008 6.00,"2,19462895","4,85705989","0,6242936","97,55754624",,
06/05/2008 7.00,"2,44008899","4,47145677","0,6020503","96,5654217",,
06/05/2008 8.00,"2,11451197","5,03581508","0,63579015","96,89833386",,
06/05/2008 9.00,"2,37761307","4,40123152","0,37345675","102,84841278",,
06/05/2008 10.00,"2,26617599","7,33410741","0,8233103","104,15883258",,
06/05/2008 11.00,"2,8252461","6,52842808","1,12859045","104,01233004",,
06/05/2008 12.00,"2,52153993","5,61421882","1,28798735","102,67389288",,
06/05/2008 13.00,"2,52852893","8,66839476","1,218402","91,43031834",,
06/05/2008 14.00,"2,2112391","5,81978767","1,1953238","97,47229734",,
06/05/2008 15.00,"2,20885801","4,45230255","1,2265187","103,87114452",,
06/05/2008 16.00,"2,27987099","5,20307924","1,4337395","102,11595894",,
06/05/2008 17.00,"2,63653588","4,7140531","1,6506134","105,65695692",,
06/05/2008 18.00,"2,90509701","5,52611654","1,56953265","107,17519176",,
06/05/2008 19.00,"2,32705307","8,13467982","1,38060835","100,91211498",,
06/05/2008 20.00,"2,69385409","7,62139442","1,09103375","93,4997967",,
06/05/2008 21.00,"2,39185905","8,93269783","0,83752545","81,31991652",,
06/05/2008 22.00,"2,18941998","9,96565086","0,7153782","66,27418218",,
06/05/2008 23.00,"2,24102902","7,36602798","0,5709428","62,91027432",,
07/05/2008 0.00,"2,30869794","6,13133393","0,50899115","74,68664958",,
07/05/2008 1.00,,"5,4163094","0,4837636","70,67950002",,
07/05/2008 2.00,"1,33992302",,"0,4998222","56,9282148",,
07/05/2008 3.00,"1,26184499","5,51845711",,"51,8477139",,
07/05/2008 4.00,"1,29855204","5,87213778","0,38116405","54,91198512",,
07/05/2008 5.00,"0,95082998","5,99216063","0,35897365","51,44154066",,
07/05/2008 6.00,"1,26711702","8,24831667","0,303761","52,8158628",,
07/05/2008 7.00,"0,69677299","9,92096206","0,3321154","55,69770726",,
07/05/2008 8.00,"0,87817198","6,22582033","0,4531966","88,32608118",,
07/05/2008 9.00,"0,938972","3,80878235","0,61826415","106,45205742",,
07/05/2008 10.00,"0,903579","3,57895237","0,9039713","103,61149344",,
07/05/2008 11.00,"1,463691","3,24442216","1,49000555","106,82887914",,
07/05/2008 12.00,"1,42643404","3,35933809","1,76087655","106,08182802",,
07/05/2008 13.00,"0,90914702","3,6874823","2,14833685","104,28930558",,
07/05/2008 14.00,"0,87316298","3,79473692","2,34338835","108,90235998",,
07/05/2008 15.00,"0,99694002","4,23524267","2,7221305","110,53908",,
07/05/2008 16.00,"1,638973","4,58126391","2,67655945","111,08371158",,
07/05/2008 17.00,"1,36177397","4,22502884","2,68787545","109,21406292",,
07/05/2008 18.00,"1,25070906","4,06414691","2,5678511","110,88668754",,
07/05/2008 19.00,"1,77544498","7,86909767","2,23005585","100,46063916",,
07/05/2008 20.00,"1,01006198","12,6559323","1,648249","89,1370935",,
07/05/2008 21.00,"0,790667","8,05040914","1,22270185","88,77220074",,
07/05/2008 22.00,"0,891877","7,7950427","0,9951571","81,38784096",,
07/05/2008 23.00,"1,06286395","6,57950099","0,8436952","78,77634048",,
08/05/2008 0.00,"0,783966","6,22326593","0,67426915","82,5677289",,
08/05/2008 1.00,"0,51062697","6,07770662","0,58484515","85,28445144",,
08/05/2008 2.00,"0,59741801","6,52076677","0,555082","84,48142446",,
08/05/2008 3.00,"0,70348197","7,4707282","0,4706766","78,44074038",,
08/05/2008 4.00,"0,67491299","8,23554844","0,44311455","75,69343026",,
08/05/2008 5.00,"0,308411","9,22764615","0,3881204","70,92853668",,
08/05/2008 6.00,"0,47052899","10,86070026","0,359237","69,48762426",,
08/05/2008 7.00,"0,475382","13,07855538","0,34990245","70,89390738",,
08/05/2008 8.00,"0,99564201","10,33720855","0,65234325","82,2201606",,
08/05/2008 9.00,"1,77114999","10,82240498","1,1207302","86,93977122",,
08/05/2008 10.00,"3,08902502","8,9671728","1,56560425","93,38660892",,
08/05/2008 11.00,"3,02465296","5,86447646","2,1287443","102,35171286",,
08/05/2008 12.00,"3,09504509","5,6525235","2,4213641","106,91283312",,
08/05/2008 13.00,"3,24307108","5,08178108","2,7697704","108,36173088",,
08/05/2008 14.00,"3,81679893","5,2745817","2,9491474","107,03129868",,
08/05/2008 15.00,"3,92343807","5,0396448","3,19870775","108,12597696",,
08/05/2008 16.00,"3,90888596","5,60017339","3,13556815","111,17698506",,
08/05/2008 17.00,"2,95882702","5,37672752","3,17431395","111,7296216",,
08/05/2008 18.00,"1,69410598","4,87225085","2,9297768","112,86452088",,
08/05/2008 19.00,"1,41644096","7,98912051","2,6063761","105,70488858",,
08/05/2008 20.00,"1,17432296","11,29610097","2,06824625","76,58967186",,
08/05/2008 21.00,"1,00004303","12,5652681","1,35320615","54,29273868",,
08/05/2008 22.00,"0,98063898","24,14353788","1,04455765","42,14348532",,
08/05/2008 23.00,"1,14208305","22,08019374","0,93127","31,09822974",,
09/05/2008 0.00,"0,67733502","15,8990735","0,71939975","26,28940698",,
09/05/2008 1.00,,"14,04639383","0,638825","28,30428288",,"0,8829"
09/05/2008 2.00,"1,83961797",,"0,59396005","24,65672868",,"0,92954999"
09/05/2008 3.00,"1,68235803","9,38086489",,"28,96881228",,"0,99800003"
09/05/2008 4.00,"1,70255601","8,74628132","0,3974561","28,6958196",,"1,00100005"
09/05/2008 5.00,"2,35317492","9,28127158","0,31929405","26,18551908",,"1,00035"
09/05/2008 6.00,"1,90970004","14,21876303","0,31540245","38,6717067",,"1,02199996"
09/05/2008 7.00,"1,97712398","12,18477566","0,3837665","64,65215754",,"1,00450003"
09/05/2008 8.00,"2,16078091","10,65768957","0,51887655","83,40271686",,"0,85215002"
09/05/2008 9.00,"2,1423471","6,75187395","1,1182761","107,44416234",,"0,75484997"
09/05/2008 10.00,"3,24745893","6,19134536","1,5871587","112,69912428",,"0,64219999"
09/05/2008 11.00,"4,07967186","5,74317642","2,1454446","114,02953686",,"0,56835002"
09/05/2008 12.00,"3,46471596","4,38207917","2,373324","120,70808676",,"0,68720001"
09/05/2008 13.00,"3,58794308","4,58509362","2,72021805","122,01709392",,"0,53979999"
09/05/2008 14.00,"4,14087582","5,06773565","2,95400385","123,0266214",,"0,53839999"
09/05/2008 15.00,"3,27381992","3,95051006","3,3422749","122,65368444",,"0,64784998"
09/05/2008 16.00,"3,02145696","3,72195727","3,34564325","118,91156184",,"0,54795003"
09/05/2008 17.00,"2,80119395","5,39715706","3,43609535","119,17523502",,"0,65140003"
09/05/2008 18.00,"3,06058788","5,49802757","3,25064175","119,48291586",,"0,59555"
09/05/2008 19.00,"1,974334","6,91913812","2,8210374","111,8095731",,"0,62035"
09/05/2008 20.00,"2,55360007","11,65872203","2,02905425","83,13637536",,"0,57905"
09/05/2008 21.00,"1,61563206","9,94905292","1,44474385","52,89575544",,
09/05/2008 22.00,"2,16374111","12,7848899","1,1028362","38,75693598",,
09/05/2008 23.00,"1,53067803","7,79631801","0,86944485","34,30099854",,
10/05/2008 0.00,"2,31932306","9,29148541","0,75349265","30,6387882",,
10/05/2008 1.00,"1,87815499","13,28157547","0,7659575","39,51334584",,
10/05/2008 2.00,"1,370893","10,56320506","0,68438455","39,61323126",,
10/05/2008 3.00,"1,26810801","7,03405217","0,69383295","58,28122962",,
10/05/2008 4.00,"1,51306403","7,28431169","0,61619645","51,42154788",,
10/05/2008 5.00,"1,35468197","6,93829046","0,486772","46,8551106",,
10/05/2008 6.00,"1,46578002","9,37320358","0,4403649","44,31418326",,
10/05/2008 7.00,"1,769122","9,84946149","0,52723015","53,02626768",,
10/05/2008 8.00,"1,55424905","7,84739281","0,75423555","88,81481538",,
10/05/2008 9.00,"2,09692001","8,30066678","1,22565505","101,72712978",,
10/05/2008 10.00,"3,50290394","4,71150059","1,70717845","108,0926622",,
10/05/2008 11.00,"3,78158092","3,76281635","2,28737645","111,01578714",,
10/05/2008 12.00,"3,97573805","3,56618414","2,5370403","114,47832474",,
10/05/2008 13.00,"3,584512","3,64151819","2,7911627","116,3373786",,
10/05/2008 14.00,"3,72273302","4,34121821","2,8991546","118,91156184",,
10/05/2008 15.00,"3,58232594","3,56873854","3,3158134","112,62317526",,
10/05/2008 16.00,"3,56856608","4,65404168","3,2726861","110,55769938",,
10/05/2008 17.00,"3,34676695","4,31057672","3,26874965","115,10551728",,
10/05/2008 18.00,"3,31873798","5,83255589","2,9959938","117,74234718",,
10/05/2008 19.00,"2,99998808","5,459721","2,5534416","109,2833019",,
10/05/2008 20.00,"2,252671","5,58229637","2,0952747","94,05512118",,
10/05/2008 21.00,"2,3918829","7,85633132","1,5431574","73,14985422",,
10/05/2008 22.00,"2,20201397","10,53894768","1,3273484","64,963782",,
10/05/2008 23.00,"2,17698193","12,64571471","1,14276995","55,35543636",,
11/05/2008 0.00,"1,97948003","12,75168837","1,018026","49,2335451",,
11/05/2008 1.00,,"12,15796765","0,8736435","27,40005594",,
11/05/2008 2.00,"2,29428005",,"0,81796395","27,33746814",,
11/05/2008 3.00,"1,63151503","7,80398121",,"23,53807476",,
11/05/2008 4.00,"1,69985902","8,54454031","0,35519935","36,72473562",,
11/05/2008 5.00,"1,19537199","4,5723254","0,34974375","55,62844866",,
11/05/2008 6.00,"1,08091605","5,81723327","0,2952165","50,17240134",,
11/05/2008 7.00,"1,12593699","8,27640752","0,43244485","56,88026352",,
11/05/2008 8.00,"1,37709796","8,60838333","0,6625242","64,23799896",,
11/05/2008 9.00,"1,65241599","9,81243212","0,9229785","82,88070714",,
11/05/2008 10.00,"5,13503695","10,90411938","1,33316625","95,14181412",,
11/05/2008 11.00,"6,51413393","7,37624369","1,8747599","103,16131254",,
11/05/2008 12.00,"6,35476589","4,82513744","2,18535765","111,93204114",,
11/05/2008 13.00,"4,29217577","5,71508744","2,5115356","110,4445116",,
11/05/2008 14.00,"5,34649086","7,7516311","2,38301045","108,55885302",,
11/05/2008 15.00,"6,34591198","8,5381562","2,49390495","110,09829708",,
11/05/2008 16.00,"4,77807808","4,6719187","2,30563385","117,00718578",,
11/05/2008 17.00,"4,0800252","5,85553983","2,42180915","117,99799578",,"0,53474998"
11/05/2008 18.00,"3,14715791","5,94619463","2,4274384","117,03520314",,"0,26185"
11/05/2008 19.00,"2,34525609","13,45394467","2,08236365","105,6263301",,"0,64684999"
11/05/2008 20.00,"2,09336996","21,49540965","1,54928","72,05782464",,"0,64455003"
11/05/2008 21.00,"1,68357396","21,34729971","1,09859155","54,26476056",,"0,74779999"
11/05/2008 22.00,"1,83095801","12,4669614","0,90281555","56,0439414",,"0,81465"
11/05/2008 23.00,"1,73100901","17,30230702","0,74972065","50,73306246",,"0,39635"
12/05/2008 0.00,"1,76824796","11,82470711","0,5679091","49,53585006",,"0,71324998"
12/05/2008 1.00,"1,59075201","9,4753494","0,5419858","55,58583402",,"0,68895"
12/05/2008 2.00,"1,580127","9,54174494","0,4803642","38,98466532",,"0,66540003"
12/05/2008 3.00,"1,58899903","8,68116299","0,4663549","34,36758882",,"0,74945003"
12/05/2008 4.00,"1,44797301","6,84380407","0,4276873","36,51032826",,
12/05/2008 5.00,"1,52594101","11,07265698","0,43838","37,07096976",,"0,66895002"
12/05/2008 6.00,"1,42638505","22,33046079","0,45343695","28,35488286",,"0,70924997"
12/05/2008 7.00,"1,15145195","14,47668199","0,51728495","40,23648018",,"0,92379999"
12/05/2008 8.00,"1,74555898","10,05247218","0,66191355","90,85500108",,"0,87309998"
12/05/2008 9.00,"1,82660902","13,13346177",,"163,34030628",,"0,74895"
12/05/2008 10.00,0,"15,99818339",,"88,1343153",,"1,29799998"
12/05/2008 11.00,0,"8,9212068",,"101,4780735",,"0,66635001"
12/05/2008 12.00,0,"8,08743662","1,0502697","104,67154242",,"0,75870001"
12/05/2008 13.00,0,"9,18168016","1,37350595","101,56732488",,"0,75080001"
12/05/2008 14.00,0,"7,41710089","1,44830885","113,88835134",,"0,63994998"
12/05/2008 15.00,0,"6,48118489","1,36366195","118,95290118",,"0,60624999"
12/05/2008 16.00,0,"5,85426263","1,4528985","123,80159178",,"0,72420001"
12/05/2008 17.00,0,"4,7166075","1,50366985","123,45937974",,"0,88639998"
12/05/2008 18.00,0,"5,126468","1,35702875","121,4405406",,"0,66869998"
12/05/2008 19.00,0,"5,47632083","1,36341125","113,57005608",,"0,63800001"
12/05/2008 20.00,0,"7,77078156","1,09186405","102,04671996",,"0,69795001"
12/05/2008 21.00,0,"9,1523121","1,060783","78,50067948",,"0,71640003"
12/05/2008 22.00,0,"10,47255215","0,8081349","64,50965748",,"0,61264998"
12/05/2008 23.00,0,"9,51748568","0,7253648","43,53513192",,"0,62695003"
13/05/2008 0.00,0,"8,07339119","0,56399565","30,18599784",,"0,537"
13/05/2008 1.00,,"6,62674419","0,5226957","26,533107",,"0,24605"
13/05/2008 2.00,"1,94493496",,"0,54705845","29,26711476",,"0,49544999"
13/05/2008 3.00,"2,04743409","6,30370689",,"25,61422392",,"0,49575001"
13/05/2008 4.00,"1,80874097","6,13005674","0,48486875","25,41978972",,"0,71205002"
13/05/2008 5.00,"1,71752596","6,29349118","0,55252555","29,88769536",,"1,07509995"
13/05/2008 6.00,"1,71150994","12,51802679","0,4521386","29,38697334",,"1,18850005"
13/05/2008 7.00,"1,93142498","11,42123826","0,45872695","42,11817552",,"0,94190001"
13/05/2008 8.00,"1,99144399","9,56472888","0,48191325","57,19322214",,"0,75145"
13/05/2008 9.00,"1,81495905","4,2888681","0,77487805","99,15159276",,"0,58829999"
13/05/2008 10.00,"2,82899404","3,7347255","0,9963439","105,3253593",,"0,5898"
13/05/2008 11.00,"3,55027199","3,59682751","1,3923142","111,13835328",,
13/05/2008 12.00,"3,49600601","4,04627177","1,4046031","109,6282215",,"0,50424999"
13/05/2008 13.00,"3,14628196","5,74573082","1,53349625","105,49856466",,"0,54259998"
13/05/2008 14.00,"3,17871809","3,67726847","1,28120005","107,62656948",,"0,50809997"
13/05/2008 15.00,"3,01123095","4,28248587","1,38889295","99,5551173",,"0,5909"
13/05/2008 16.00,"2,73979306","10,62831964","1,25037085","81,57693852",,"0,67680001"
13/05/2008 17.00,"2,79166698","10,71131688","1,169665","67,72443372",,"0,77170002"
13/05/2008 18.00,"2,56703711","10,12014868","0,85102185","61,07250816",,"0,71859998"
13/05/2008 19.00,"2,24515891","10,66152305","0,9410611","57,86040024",,"0,80655003"
13/05/2008 20.00,"2,20506096","8,67094727","0,77310475","62,45748396",,"0,73439997"
13/05/2008 21.00,"2,1769259","6,64972625","0,80874785","52,88910426",,"0,61094999"
13/05/2008 22.00,"2,39197707","5,14434502","0,68340245","49,63306716",,"0,60049999"
13/05/2008 23.00,"2,34642696","6,17729993","0,64720965","49,30011576",,"0,72530001"
14/05/2008 0.00,"2,49314904","5,59506648","0,54838555","62,3123352",,"0,62064999"
14/05/2008 1.00,"2,35723591","3,91858949","0,6108478","62,01003024",,"0,47440001"
14/05/2008 2.00,"2,82114005","3,72706419","0,5188662","68,73519726",,"0,55855"
14/05/2008 3.00,"2,53516293","3,03757611","0,572838","70,00698528",,"0,55814999"
14/05/2008 4.00,"2,57870793","2,7553979","0,51156025","73,62658098",,"0,4553"
14/05/2008 5.00,"2,63058305","2,67112722","0,47836665","78,62320638",,"0,52770001"
14/05/2008 6.00,"1,91764295","2,65580459","0,14946895","75,67076916",,"0,45504999"
14/05/2008 7.00,"2,24707603","2,67878665","0,36082975","76,54570344",,"0,53289998"
14/05/2008 8.00,"2,40796709","2,9418144","0,4191129","78,0612111",,"0,5449"
14/05/2008 9.00,"2,46290207","3,93391023","0,5782016","76,898628",,"0,84434998"
14/05/2008 10.00,"2,11845589","4,40378403","0,53212685","77,6004354",,"0,62085003"
14/05/2008 11.00,"2,42241812","3,16398308","0,5604226","87,89726646",,"0,69929999"
14/05/2008 12.00,"2,47284889","2,93670749","0,5223714","86,91977844",,"0,49195001"
14/05/2008 13.00,"2,83091092","3,23293113","0,87501085","92,7913185",,"0,32374999"
14/05/2008 14.00,"2,39084291","2,67878665","0,923197","95,00198238",,"0,1743"
14/05/2008 15.00,"1,37146103","2,73113676","1,32917575","97,51226328",,"0,1901"
14/05/2008 16.00,"1,11133504","2,83456166","1,5152929","101,9587635",,"0,09055"
14/05/2008 17.00,"1,27911198","4,38463169","1,6624308","99,90535392",,"0,22014999"
14/05/2008 18.00,"0,90110499","4,77406453","1,3787994","102,95357598",,"0,21645001"
14/05/2008 19.00,"1,40486598","6,84125155","1,45122755","94,52123352",,"0,23684999"
14/05/2008 20.00,"1,56572902","8,34152586","1,04127785","67,86426546",,"0,25029999"
14/05/2008 21.00,"1,384179","7,34304404","0,9276751","53,28462384",,"0,26005"
14/05/2008 22.00,"1,33355403","9,28127158","0,64163445","50,52930876",,"0,40515"
14/05/2008 23.00,"1,453951","11,90515372","0,621575","46,48621536",,"0,3935"
15/05/2008 0.00,"1,39356303","7,03788377","0,4256633","53,05556034",,"0,44005001"
15/05/2008 1.00,,"5,45461409","0,43946905","51,5400723",,"0,20905"
15/05/2008 2.00,"0,71350002",,"0,42549195","58,29054912",,"0,2121"
15/05/2008 3.00,"0,57946998","4,27227016",,"61,28157888",,"0,37994999"
15/05/2008 4.00,"0,61051899","5,28352021","0,31975865","56,94551964",,"0,38260001"
15/05/2008 5.00,"0,59712702","6,48629368","0,33695","34,95089142",,"0,49129999"
15/05/2008 6.00,"1,44452703","7,08001817","0,2466566","28,0432584",,"0,30880001"
15/05/2008 7.00,"1,41151094","10,25165879","0,3057321","55,39006566",,"0,50569999"
15/05/2008 8.00,"1,235744","5,98577463","0,2931879","80,19463104",,"0,5887"
15/05/2008 9.00,"1,82721806","4,93622177","0,92198375","90,48879378",,"0,47670001"
15/05/2008 10.00,"1,84725702","5,59761899","1,28042035","95,66382384",,"0,47409999"
15/05/2008 11.00,"4,33594894","8,67094727","1,3256372","98,90257572",,"0,46695"
15/05/2008 12.00,"4,551404","4,46251826","1,11514465","107,74115028",,"0,46114999"
15/05/2008 13.00,"3,70405293","4,3935702","1,0119103","108,03543066",,0
15/05/2008 14.00,"3,95742989","3,58022957","1,16726955","109,15141626",,"0,46259999"
15/05/2008 15.00,"2,63857889","3,22782422","1,67754755","109,2579921",,"0,62599999"
15/05/2008 16.00,"3,07553411","4,08968337","1,18489905","104,45582052",,"0,62190002"
15/05/2008 17.00,"2,60185504","3,96200109","1,2974139","106,30955736",,"0,43195"
15/05/2008 18.00,"1,95661402","4,9962332","1,15553035","105,51316194",,"0,72275001"
15/05/2008 19.00,"1,65946102","5,31288826","1,28283535","102,77517132",,"0,60105002"
15/05/2008 20.00,"1,69461","8,1270185","1,15803045","87,4071981",,"0,60049999"
15/05/2008 21.00,"1,42165601","6,45309591","1,05975605","70,12150722",,"0,58160001"
15/05/2008 22.00,"1,24089897","6,79783995","0,81658855","61,87818384",,"0,58359998"
15/05/2008 23.00,"1,22642899","6,13261113","0,76039495","57,91900518",,"0,49039999"
16/05/2008 0.00,"1,05157399","6,33434838","0,63058985","55,09576566",,"0,56115001"
16/05/2008 1.00,"1,12328196","6,41606655","0,56015695","40,51345572",,"0,56045002"
16/05/2008 2.00,"1,39445806","5,60655751","0,3970858","32,71758606",,"0,479"
16/05/2008 3.00,"1,13894796","4,7140531","0,375176","41,26855104",,"0,47865"
16/05/2008 4.00,"1,21666396","3,95306446","0,28923305","42,0249609",,"0,44334999"
16/05/2008 5.00,"1,34177101","3,54192488","0,28101055","46,2464982",,"0,43345001"
16/05/2008 6.00,"1,12425303","3,91348069","0,1793448","39,68647272",,"0,45835"
16/05/2008 7.00,"1,60892999","7,82824046","0,38000715","59,33329326",,"0,40654999"
16/05/2008 8.00,"14,80097961","13,42075066","2,4624973",,,
16/05/2008 9.00,"1,29231799","8,99781617","3,9586059","76,42453032",,
16/05/2008 10.00,,"7,72609464",,"81,29060424",,"0,63770002"
16/05/2008 11.00,,"4,87238063","0,1461581","97,8438609",,"0,56410003"
16/05/2008 12.00,"7,64454603","4,12288114","0,36110115","103,56356178",,"0,53154999"
16/05/2008 13.00,"8,4687767","4,13054245","0,48650865","107,38822572",,"0,69510001"
16/05/2008 14.00,"8,02558899","3,94923286","0,9143834","107,78778702",,"0,546"
16/05/2008 15.00,"7,43358088","3,87773041","1,05609445","106,0911279",,"0,81669998"
16/05/2008 16.00,"7,18500423","4,02967194","0,66579365","104,75278884",,"0,85930002"
16/05/2008 17.00,"6,93315601","4,42804329","0,1751197","100,63374642",,"0,52060002"
16/05/2008 18.00,"7,23406506","4,96686515","0,0512877","94,5025749",,"0,50945002"
16/05/2008 19.00,"7,15066099","5,94746995","0,0467268","90,19314",,"0,26865"
16/05/2008 20.00,"6,93151999","6,28710707","0,16610485","80,57549448",,"0,48394999"
16/05/2008 21.00,"6,62570381","5,92576509","0,2842156","75,86255466",,"0,53934997"
16/05/2008 22.00,"6,42455292","5,91682658","0,4461103","63,52685244",,"0,4901"
16/05/2008 23.00,"6,92661381","6,70079916","0,3220782","48,42119862",,"0,44319999"
17/05/2008 0.00,"6,62406921","6,40457552","0,3965039","44,13707352",,"0,43544999"
17/05/2008 1.00,,"6,23986387","0,27480515","41,04615834",,"0,50075001"
17/05/2008 2.00,"1,88660598",,"0,2783345","44,8708419",,"0,49024999"
17/05/2008 3.00,"1,64371395","3,77047579",,"55,76294376",,"0,41935"
17/05/2008 4.00,"1,68057299","3,7819687","0,6613443","45,74444202",,"0,45824999"
17/05/2008 5.00,"2,02326202","3,74621653","0,61235085","48,42653526",,"0,40665001"
17/05/2008 6.00,"1,83418298","4,28503838","0,56156455","54,12228012",,"0,51370001"
17/05/2008 7.00,"1,66306698","5,44822997","0,55600315","68,75383626",,"0,5"
17/05/2008 8.00,"1,56163895","6,14665656","0,6118966","72,50661252",,"0,44010001"
17/05/2008 9.00,"1,463413","7,58564225","0,6524571","82,01907522",,"0,53114998"
17/05/2008 10.00,"2,02207398","7,20004101","1,11012835","88,54449102",,"0,62935001"
17/05/2008 11.00,"1,78933895","5,53505505","1,4149186","102,03742008",,"0,66684997"
17/05/2008 12.00,"2,13439012",,"1,5954295","105,83275212",,"0,7299"
17/05/2008 13.00,"2,35818005",,"1,54219255","104,2653888",,"0,66759998"
17/05/2008 14.00,"2,08649898",,"1,8461893","105,24419136",,"0,58434999"
17/05/2008 15.00,"2,10820198",,"1,7150801","99,93066372",,"0,6548"
17/05/2008 16.00,"2,17923403",,"1,37970675","99,79214652",,"0,61334997"
17/05/2008 17.00,"1,89616203",,"1,2856609","100,37809782",,"0,4919"
17/05/2008 18.00,"2,11455703",,"0,97553695","97,07412906",,"0,47325"
17/05/2008 19.00,"1,92127001",,"0,33404625","92,46372336",,"0,47604999"
17/05/2008 20.00,"2,076092",,"0,47783535","82,32536304",,"0,56274998"
17/05/2008 21.00,"1,83173704",,"0,8886119","72,15504174",,"0,64600003"
17/05/2008 22.00,"1,75212002",,"1,0790151","66,50057736",,"0,65039998"
17/05/2008 23.00,"1,66391802",,"1,11457885","64,22601114",,"0,5614"
18/05/2008 0.00,"1,83981895",,"1,28918565","59,41716876",,"0,50924999"
