,ARPA Puglia,,,,,
,S.Maria Cerrate,,,,,
Parm,SO2,NO2,CO,O3,,BENZENE
09/01/2008 18.00,"3,25556111","2,88690989","1,49245965","79,67658456",,"0,38145"
09/01/2008 19.00,"2,6092279","15,65264369","1,09241145","41,48960958",,"0,37685001"
09/01/2008 20.00,"3,27235508","10,25293035","0,76209235","39,12714576",,"0,40599999"
09/01/2008 21.00,"2,55665588","10,57469233","0,68042855","26,75416554",,"0,4549"
09/01/2008 22.00,"2,329072","28,2753801","0,88662815","24,9563457",,"0,47909999"
09/01/2008 23.00,"2,77883697","28,27282194","0,8398496","27,27619488",,"1,51250005"
10/01/2008 0.00,"2,14407206","27,36881334","0,83739665","23,59401138",,"1,6365"
10/01/2008 1.00,,"16,10975114","0,8097449","14,83798405",,"2,02850008"
10/01/2008 2.00,"2,82889509",,"0,8119483","11,30626436",,"2,01300001"
10/01/2008 3.00,"2,76047206","15,12787102",,"16,24693745",,"2,14849997"
10/01/2008 4.00,"3,31886005","13,90083265","1,22743295","18,95697545",,"1,68799996"
10/01/2008 5.00,"3,18970799","12,34182411","1,10458995","12,60069779",,"1,47099996"
10/01/2008 6.00,"3,91099906","9,86095252","1,2111639","16,72369168",,"1,68400002"
10/01/2008 7.00,"3,54709411","9,07187114","1,1704516","19,52162532",,"1,73549998"
10/01/2008 8.00,"2,93048096","7,86016103","1,159039","18,79717644",,"1,52649999"
10/01/2008 9.00,"1,55987","12,21669811","1,12720815","28,97281476",,"1,61699998"
10/01/2008 10.00,"1,574911","13,37733154","1,18115925","21,33541584",,"1,28250003"
10/01/2008 11.00,"1,85604703","18,18587668","1,0944527","12,60868313",,"1,22350001"
10/01/2008 12.00,"1,79379702","24,29038755","0,9518251","10,75493255",,"1,01250005"
10/01/2008 13.00,"2,18255901","22,68284733","1,0632555","29,95695396",,"1,18099999"
10/01/2008 14.00,"1,68974102","8,98504794","1,402816","58,50495648",,"1,01954997"
10/01/2008 15.00,"3,32185602","7,73247875","1,7071014","62,86899384",,"0,3355"
10/01/2008 16.00,"5,40510511","12,3316178","1,88045125","54,63498996",,"0,59254998"
10/01/2008 17.00,"4,98888397","11,52848159","1,717479","55,57918284",,"0,57849997"
10/01/2008 18.00,"4,50233507","8,86885669","1,14928585","63,24454026",,"0,60415"
10/01/2008 19.00,"3,1179769","7,1936569","0,8459561","50,11515018",,"0,55355"
10/01/2008 20.00,"2,65753102","8,90588417","0,6703235","39,02727996",,"0,51169997"
10/01/2008 21.00,"2,048841","13,88679287","0,6084466","24,4143432",,"0,63464999"
10/01/2008 22.00,"1,27526999","25,22501883","0,57715395","17,75843282",,"0,6807"
10/01/2008 23.00,"1,49828994","29,46921318","0,72265655","9,26741479",,"1,05044997"
11/01/2008 0.00,"1,56937397","19,90319958","0,97332205","10,42067642",,"1,34500003"
11/01/2008 1.00,"1,54843605","34,89572889","1,16016025","12,43955873",,"1,95550001"
11/01/2008 2.00,"1,31120205","26,20052424","1,239953","14,09754487",,"2,38150001"
11/01/2008 3.00,"1,75555205","17,50915871","1,40597045","12,30505382",,"2,43350005"
11/01/2008 4.00,"1,30912805","15,32067352","1,46851205","12,00408694",,"2,81100011"
11/01/2008 5.00,"1,21053803","17,84240984","1,50690135","10,27551589",,"3,08699989"
11/01/2008 6.00,"1,24201095","13,03259315","1,46950795","10,49525401",,"2,75149989"
11/01/2008 7.00,"1,61267698","10,13930102","1,3292758","12,97890076",,"2,3585"
11/01/2008 8.00,"1,05149496","9,0105844","1,1043404","15,63434611",,"2,05850005"
11/01/2008 9.00,"0,99435002","14,28643953","1,0310923","8,89719716",,"1,64100003"
11/01/2008 10.00,"1,33332598","17,52192694","1,14492965","8,11414922",,"1,59850001"
11/01/2008 11.00,"1,28482199","23,07356865","1,2475614","13,36510084",,"1,67850006"
11/01/2008 12.00,"0,81795198","19,12433391","1,37833135","25,35987024",,"1,75100005"
11/01/2008 13.00,"3,10020304","12,2677729","1,58936325","45,12652974",,"1,29799998"
11/01/2008 14.00,"5,01683283","17,84240984","1,94357475","52,71731154",,"0,90679997"
11/01/2008 15.00,"4,914217","12,68657379","1,98104865","60,3786861",,"0,90535003"
