Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
07/01/2014 11.00,"3,7","55,6","32,3",,"24,2","15,3","10,7","0,4"
07/01/2014 12.00,"4,8","70,7","41,1","18,6","20,6","15,3","10,7","0,6"
07/01/2014 13.00,"2,8","42,9","29,3",,"15,5","15,3","10,7","0,3"
07/01/2014 14.00,"2,1","39,8","27,3","11,7","15,7","15,3","10,7","0,3"
07/01/2014 15.00,"2,7","45,4","32,6",,"19,9","15,3","10,7","0,4"
07/01/2014 16.00,"4,7","53,2","42,2","11,5","23,6","15,3","10,7","0,4"
07/01/2014 17.00,"4,0","113,6","63,9",,"87,8","15,3","10,7","0,5"
07/01/2014 18.00,"3,6","117,9","57,7","24,2","97,5","15,3","10,7","0,6"
07/01/2014 19.00,"2,0","80,6","50,8",,"56,7","15,3","10,7","0,5"
07/01/2014 20.00,"1,0","34,5","27,8","27,8","23,2","15,3","10,7","0,4"
07/01/2014 21.00,"0,7","17,7","14,6",,"13,4","15,3","10,7","0,4"
07/01/2014 22.00,"0,4","26,3","21,8","32,7","22,6","15,3","10,7","0,4"
07/01/2014 23.00,,"10,0","8,5",,"6,2","15,3","10,7","0,3"
08/01/2014 0.00,,"5,5","4,4","27,1","4,3","15,3","10,7","0,3"
08/01/2014 1.00,,"6,8","5,8",,"4,3","11,5","7,9","0,3"
08/01/2014 2.00,"0,2",,,"24,2","3,6","11,5","7,9","0,2"
08/01/2014 3.00,"0,1","4,8","3,7",,"2,1","11,5","7,9",
08/01/2014 4.00,,"6,3","5,3","15,1","3,6","11,5","7,9","0,2"
08/01/2014 5.00,,"4,7","3,6",,"4,3","11,5","7,9","0,2"
08/01/2014 6.00,,"3,4","2,2","16,4","1,4","11,5","7,9","0,2"
08/01/2014 7.00,,"12,0","9,6",,"3,2","11,5","7,9","0,3"
08/01/2014 8.00,"0,1","19,8","10,1","15,1","15,5","11,5","7,9","0,2"
08/01/2014 9.00,"1,0","48,9","28,6",,"25,3","11,5","7,9","0,2"
08/01/2014 10.00,"2,1","97,2","33,5","11,2","61,4","11,5","7,9","0,4"
08/01/2014 11.00,"1,6","49,5","23,2",,"20,7","11,5","7,9","0,3"
08/01/2014 12.00,"0,4","3,5","2,4","6,6","1,4","11,5","7,9","0,2"
08/01/2014 13.00,"0,1","4,0","3,0",,"1,6","11,5","7,9","0,2"
08/01/2014 14.00,"0,5","5,0","3,9","4,2","1,9","11,5","7,9","0,2"
08/01/2014 15.00,"0,8","6,1","4,7",,"2,2","11,5","7,9","0,2"
08/01/2014 16.00,"0,4","5,4","4,5","3,4","2,6","11,5","7,9","0,2"
08/01/2014 17.00,,"5,1","4,0",,"2,5","11,5","7,9","0,2"
08/01/2014 18.00,"0,2","17,0","12,9","8,1","15,8","11,5","7,9","0,3"
08/01/2014 19.00,"0,3","15,4","13,1",,"13,2","11,5","7,9","0,3"
08/01/2014 20.00,"0,3","21,9","18,9","16,6","15,2","11,5","7,9","0,3"
08/01/2014 21.00,"0,1","25,4","19,4",,"18,7","11,5","7,9","0,3"
08/01/2014 22.00,"0,1","14,7","11,7","24,4","5,2","11,5","7,9","0,6"
