Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
10/07/2014 8.00,"1,1","10,9","5,9","17,3","7,6","14,1","6,1","0,1"
10/07/2014 9.00,"1,3","9,7","5,1",,"6,8","14,1","6,1","0,1"
10/07/2014 10.00,"1,2","9,1","5,2","20,3","5,2","14,1","6,1","0,1"
10/07/2014 11.00,"1,3","10,7","6,0",,"5,6","14,1","6,1","0,1"
10/07/2014 12.00,"1,2","8,6","4,1","13,2","5,1","14,1","6,1","0,1"
10/07/2014 13.00,"1,2","7,3","3,5",,"4,5","14,1","6,1","0,2"
10/07/2014 14.00,"1,3","7,4","3,4","13,2","5,0","14,1","6,1","0,2"
10/07/2014 15.00,"1,4","8,6","4,2",,"6,2","14,1","6,1","0,2"
10/07/2014 16.00,"2,0","8,0","4,1","7,6","3,6","14,1","6,1","0,2"
10/07/2014 17.00,"2,9","8,3","5,3",,"2,4","14,1","6,1","0,2"
10/07/2014 18.00,"1,6","7,7","4,6","15,9","4,2","14,1","6,1","0,1"
10/07/2014 19.00,"1,9","7,9","5,3",,"3,2","14,1","6,1","0,2"
10/07/2014 20.00,"2,4","8,4","6,1","27,1","1,9","14,1","6,1","0,1"
10/07/2014 21.00,"1,3","3,7","1,4",,"1,8","14,1","6,1","0,1"
10/07/2014 22.00,"0,8","3,2","0,9","18,8","1,7","14,1","6,1","0,1"
10/07/2014 23.00,"0,7","3,5","1,1",,"1,6","14,1","6,1","0,1"
11/07/2014 0.00,"0,7","3,1","0,8","15,9","1,6","14,1","6,1","0,1"
11/07/2014 1.00,"0,7","3,7","1,6",,"1,5","10,7","5,7","0,1"
11/07/2014 2.00,"0,7",,,"15,6","1,4","10,7","5,7","0,1"
11/07/2014 3.00,"0,7","2,8","0,6",,"1,4","10,7","5,7",
11/07/2014 4.00,"0,7","2,7","0,7","11,0","1,5","10,7","5,7","0,1"
11/07/2014 5.00,"0,7","2,5","1,2",,"1,4","10,7","5,7","0,1"
11/07/2014 6.00,"0,7","8,2","5,6","12,0","1,9","10,7","5,7","0,1"
11/07/2014 7.00,"0,8","11,0","7,6",,"2,8","10,7","5,7","0,1"
11/07/2014 8.00,"0,7","6,9","3,8","7,1","2,5","10,7","5,7","0,1"
11/07/2014 9.00,"0,7","3,5","1,2",,"1,9","10,7","5,7","0,1"
11/07/2014 10.00,"0,7","4,2","1,6","4,6","1,9","10,7","5,7","0,1"
11/07/2014 11.00,"0,7",,,,"1,6","10,7","5,7","0,1"
11/07/2014 12.00,"0,8",,,"8,1","1,6","10,7","5,7","0,1"
11/07/2014 13.00,"0,8",,,,"3,1","10,7","5,7","0,1"
11/07/2014 14.00,"0,8",,,"10,0","1,6","10,7","5,7","0,1"
11/07/2014 15.00,"0,7","3,2","0,8",,"1,7","10,7","5,7","0,1"
11/07/2014 16.00,"1,8","12,2","8,6","9,5","3,5","10,7","5,7","0,2"
11/07/2014 17.00,"5,2","18,1","13,9",,"4,7","10,7","5,7","0,2"
11/07/2014 18.00,"2,6","11,1","7,7","8,1","5,1","10,7","5,7","0,2"
11/07/2014 19.00,"0,7","9,7","7,0",,"4,7","10,7","5,7","0,2"
11/07/2014 20.00,"0,7","17,6","14,7","15,4","7,2","10,7","5,7","0,3"
11/07/2014 21.00,"0,8","24,4","19,8",,"14,2","10,7","5,7","0,4"
11/07/2014 22.00,"0,7","15,2","12,4","23,2","8,3","10,7","5,7","0,5"
11/07/2014 23.00,"0,7","12,0","9,7",,"4,1","10,7","5,7","0,3"
12/07/2014 0.00,"0,6","9,3","7,0","22,5","2,4","10,7","5,7","0,2"
12/07/2014 1.00,"0,6","6,6","4,3",,"1,8","11,9","5,8","0,2"
12/07/2014 2.00,"0,7","3,9","1,7","16,1","1,8","11,9","5,8","0,2"
12/07/2014 3.00,"0,7","5,7","3,1",,"2,7","11,9","5,8","0,4"
12/07/2014 4.00,"0,6","6,5","4,2","15,9","2,1","11,9","5,8","0,2"
12/07/2014 5.00,"0,6","7,3","5,0",,"2,1","11,9","5,8","0,2"
12/07/2014 6.00,"0,7","8,0","5,6","14,2","3,3","11,9","5,8","0,2"
12/07/2014 7.00,"0,7","4,7","2,4",,"1,8","11,9","5,8","0,2"
12/07/2014 8.00,"0,7","7,1","4,6","11,5","2,0","11,9","5,8","0,3"
12/07/2014 9.00,"0,7","4,8","2,4",,"1,9","11,9","5,8","0,2"
12/07/2014 10.00,"0,8","10,1","6,8","13,9","2,4","11,9","5,8","0,2"
12/07/2014 11.00,"1,9","13,3","9,1",,"4,5","11,9","5,8","0,2"
12/07/2014 12.00,"1,2","7,6","4,4","9,0","5,1","11,9","5,8","0,2"
12/07/2014 13.00,"0,7","5,6","2,8",,"3,4","11,9","5,8","0,2"
12/07/2014 14.00,"0,7","6,4","3,6","9,3","4,7","11,9","5,8","0,2"
12/07/2014 15.00,"0,9","4,5","1,9",,"2,9","11,9","5,8","0,2"
12/07/2014 16.00,"1,1","3,1","0,7","6,8","2,2","11,9","5,8","0,2"
12/07/2014 17.00,"0,7","3,1","0,8",,"2,4","11,9","5,8","0,2"
12/07/2014 18.00,"1,0","4,3","2,1","4,4","3,5","11,9","5,8","0,2"
12/07/2014 19.00,"0,7","7,5","5,2",,"5,1","11,9","5,8","0,2"
12/07/2014 20.00,"0,7","10,5","8,1","18,3","6,2","11,9","5,8","0,2"
12/07/2014 21.00,"0,7","9,7","7,4",,"10,1","11,9","5,8","0,2"
12/07/2014 22.00,"0,6","9,6","7,3","17,6","5,0","11,9","5,8","0,2"
12/07/2014 23.00,"0,5","11,5","9,2",,"6,7","11,9","5,8","0,2"
13/07/2014 0.00,"0,3","14,3","11,9","24,2","8,9","11,9","5,8","0,2"
13/07/2014 1.00,"0,4","13,9","11,6",,"6,9","12,5","6,7","0,2"
13/07/2014 2.00,"0,7",,,"27,4","4,7","12,5","6,7","0,2"
13/07/2014 3.00,"0,6","9,9","7,6",,"4,1","12,5","6,7",
13/07/2014 4.00,"0,5","10,1","7,8","22,0","4,8","12,5","6,7","0,2"
13/07/2014 5.00,"0,4","8,1","5,7",,"3,1","12,5","6,7","0,2"
13/07/2014 6.00,"0,7","13,1","9,5","12,2","7,9","12,5","6,7","0,3"
13/07/2014 7.00,"0,7","14,7","10,0",,"5,8","12,5","6,7","0,3"
13/07/2014 8.00,"0,8","16,4","10,7","21,7","4,5","12,5","6,7","0,3"
13/07/2014 9.00,"6,9","34,0","23,7",,"3,5","12,5","6,7","0,4"
13/07/2014 10.00,"13,7","22,5","16,0","12,5","2,2","12,5","6,7","0,2"
13/07/2014 11.00,"8,7","20,1","14,0",,"1,8","12,5","6,7","0,3"
13/07/2014 12.00,"3,9","7,0","4,0","6,6","2,7","12,5","6,7","0,1"
13/07/2014 13.00,"20,8","25,1","16,1",,"2,3","12,5","6,7","0,8"
13/07/2014 14.00,"4,9","6,0","3,4","20,8","1,9","12,5","6,7","0,1"
13/07/2014 15.00,"0,7",,,,"1,5","12,5","6,7","0,1"
13/07/2014 16.00,"0,8","3,4","1,4","11,2","2,1","12,5","6,7","0,1"
13/07/2014 17.00,"0,7","6,0","3,7",,"3,6","12,5","6,7","0,1"
13/07/2014 18.00,"0,7","4,0","1,6","6,8","1,8","12,5","6,7","0,1"
13/07/2014 19.00,"0,7","13,2","10,9",,"7,1","12,5","6,7","0,2"
13/07/2014 20.00,"0,7","13,9","11,6","10,7","7,1","12,5","6,7","0,2"
13/07/2014 21.00,"0,6","7,9","5,5",,"4,6","12,5","6,7","0,1"
13/07/2014 22.00,"0,4","8,9","6,6","16,4","3,6","12,5","6,7","0,2"
13/07/2014 23.00,"0,6","10,3","8,0",,"3,4","12,5","6,7","0,2"
14/07/2014 0.00,"0,7","4,0","1,7","19,5","1,8","12,5","6,7","0,1"
14/07/2014 1.00,"0,6",,,,"1,7","11,2","6,6","0,1"
14/07/2014 2.00,"0,4","3,4","1,1","13,4","1,6","11,2","6,6","0,1"
14/07/2014 3.00,"0,3","3,1","0,8",,"2,1","11,2","6,6","0,1"
14/07/2014 4.00,"0,7","3,3","1,0","11,5","1,3","11,2","6,6","0,1"
14/07/2014 5.00,"0,3",,,,"1,4","11,2","6,6","0,1"
14/07/2014 6.00,"0,5","7,7","5,1","17,8","2,8","11,2","6,6","0,1"
14/07/2014 7.00,"0,5","11,8","8,5",,"5,0","11,2","6,6","0,1"
14/07/2014 8.00,"0,6","12,6","8,5","10,3","4,3","11,2","6,6","0,1"
14/07/2014 9.00,"0,7","13,0","8,6",,"3,6","11,2","6,6","0,2"
14/07/2014 10.00,"3,0","23,3","16,2","9,8","5,2","11,2","6,6","0,3"
14/07/2014 11.00,"4,7","18,2","12,6",,"2,4","11,2","6,6","0,3"
14/07/2014 12.00,"4,2","12,9","8,1","13,7","4,8","11,2","6,6","0,2"
14/07/2014 13.00,,"11,4","6,6",,"6,0","11,2","6,6","0,2"
14/07/2014 14.00,"1,0","10,2","6,2","8,1","5,5","11,2","6,6","0,2"
14/07/2014 15.00,"0,8","11,7","7,1",,"6,7","11,2","6,6","0,2"
14/07/2014 16.00,"0,7","13,9","10,3","9,8","5,9","11,2","6,6","0,1"
14/07/2014 17.00,"0,7","8,2","5,4",,"4,1","11,2","6,6","0,2"
14/07/2014 18.00,"2,2","21,3","17,4","10,3","9,3","11,2","6,6","0,2"
14/07/2014 19.00,"1,1","15,3","12,3",,"6,4","11,2","6,6","0,2"
14/07/2014 20.00,"0,7","17,3","13,7","17,8","9,8","11,2","6,6","0,2"
14/07/2014 21.00,"0,7","16,1","11,8",,"8,1","11,2","6,6","0,2"
14/07/2014 22.00,"0,6","6,3","3,9","14,7","3,3","11,2","6,6","0,1"
14/07/2014 23.00,"0,6","3,5","1,2",,"1,6","11,2","6,6","0,1"
15/07/2014 0.00,"0,6","4,8","2,6","13,2","1,6","11,2","6,6","0,2"
15/07/2014 1.00,,"6,8","4,4",,"1,5","8,7","6,8","0,2"
15/07/2014 2.00,"0,7",,,"8,3","1,5","8,7","6,8","0,1"
15/07/2014 3.00,"0,7","6,8","4,5",,"1,6","8,7","6,8",
15/07/2014 4.00,"0,7","3,0","0,8","7,1","1,4","8,7","6,8","0,1"
15/07/2014 5.00,"0,6",,,,"1,4","8,7","6,8","0,1"
15/07/2014 6.00,"0,5","2,8","0,6","10,3","1,8","8,7","6,8","0,1"
15/07/2014 7.00,"0,6","3,1","0,7",,"1,9","8,7","6,8","0,1"
15/07/2014 8.00,"0,6",,,"8,5","1,7","8,7","6,8","0,1"
15/07/2014 9.00,"0,7","3,6","1,3",,"2,0","8,7","6,8","0,1"
15/07/2014 10.00,"0,5","4,3","2,0","9,5","2,1","8,7","6,8","0,1"
15/07/2014 11.00,"0,6",,,,"1,7","8,7","6,8","0,1"
15/07/2014 12.00,"0,4",,,"6,1","1,9","8,7","6,8","0,1"
15/07/2014 13.00,"0,7",,,,"1,4","8,7","6,8","0,1"
15/07/2014 14.00,"0,7",,,"7,3","1,5","8,7","6,8","0,1"
15/07/2014 15.00,"0,8","1,9",,,"1,5","8,7","6,8","0,1"
15/07/2014 16.00,"0,6",,,"6,8","1,9","8,7","6,8","0,1"
15/07/2014 17.00,"0,9",,,,"1,7","8,7","6,8","0,2"
15/07/2014 18.00,"2,7",,,"4,9","1,6","8,7","6,8","0,2"
15/07/2014 19.00,"1,3",,,,"1,6","8,7","6,8","0,1"
15/07/2014 20.00,"1,6",,,"6,1","1,8","8,7","6,8","0,1"
15/07/2014 21.00,"1,3","3,6","1,3",,"1,6","8,7","6,8","0,1"
15/07/2014 22.00,"1,3","3,1","1,2","9,8","1,5","8,7","6,8","0,1"
15/07/2014 23.00,"1,3","3,1","0,8",,"1,5","8,7","6,8","0,1"
16/07/2014 0.00,"1,1",,,"16,1","1,4","8,7","6,8","0,1"
16/07/2014 1.00,"1,2","2,3","0,5",,"1,3","13,1","10,2","0,1"
16/07/2014 2.00,"1,3","2,6","0,8","14,2","1,5","13,1","10,2","0,1"
16/07/2014 3.00,"1,3",,,,"1,5","13,1","10,2","0,1"
16/07/2014 4.00,"0,9",,,"11,5","1,4","13,1","10,2","0,1"
16/07/2014 5.00,"1,0",,,,"1,5","13,1","10,2","0,1"
16/07/2014 6.00,"1,1",,,"12,9","1,6","13,1","10,2","0,1"
16/07/2014 7.00,"1,1","2,8","0,6",,"1,7","13,1","10,2","0,1"
16/07/2014 8.00,"1,3","3,5","1,2","11,2","2,1","13,1","10,2","0,1"
16/07/2014 9.00,"1,3","3,3","1,0",,"1,8","13,1","10,2","0,1"
16/07/2014 10.00,"1,5","3,0","0,7","10,3","1,8","13,1","10,2","0,1"
16/07/2014 11.00,"1,6","3,0","0,7",,"1,9","13,1","10,2","0,1"
16/07/2014 12.00,"2,8",,,"5,9","1,6","13,1","10,2","0,1"
16/07/2014 13.00,"1,3",,,,"1,7","13,1","10,2","0,2"
16/07/2014 14.00,"2,8",,,"12,7","1,5","13,1","10,2","0,2"
16/07/2014 15.00,"2,4","2,7","0,6",,"1,7","13,1","10,2","0,2"
16/07/2014 16.00,"1,6",,,"10,5","1,6","13,1","10,2","0,2"
16/07/2014 17.00,"1,3",,,,"2,0","13,1","10,2","0,2"
16/07/2014 18.00,"1,7",,,"6,6","1,7","13,1","10,2","0,2"
16/07/2014 19.00,"1,3",,,,"1,9","13,1","10,2","0,2"
16/07/2014 20.00,"1,3","2,6","0,7","18,1","2,0","13,1","10,2","0,2"
16/07/2014 21.00,"1,3",,,,"1,6","13,1","10,2","0,1"
16/07/2014 22.00,"1,3",,,"17,1","1,5","13,1","10,2","0,2"
16/07/2014 23.00,"1,2",,,,"1,5","13,1","10,2","0,1"
17/07/2014 0.00,"1,0",,,"15,6","1,5","13,1","10,2","0,1"
17/07/2014 1.00,,"6,3","4,6",,"1,4","18,4","13,3","0,4"
17/07/2014 2.00,"1,1",,,"23,4","1,5","18,4","13,3","0,4"
17/07/2014 3.00,"1,0","6,0","3,7",,"1,6","18,4","13,3",
17/07/2014 4.00,"0,7","5,6","3,8","32,0","1,5","18,4","13,3","0,2"
17/07/2014 5.00,"0,7","6,5","4,2",,"1,8","18,4","13,3","0,2"
17/07/2014 6.00,"0,7","4,5","2,3","17,6","1,9","18,4","13,3","0,2"
17/07/2014 7.00,"1,0","6,4","4,1",,"2,6","18,4","13,3","0,2"
17/07/2014 8.00,"1,3","3,2","0,9","23,7","2,1","18,4","13,3","0,2"
17/07/2014 9.00,"1,3","3,1","0,7",,"2,0","18,4","13,3","0,2"
17/07/2014 10.00,"1,3","3,8","1,7","17,1","1,9","18,4","13,3","0,2"
17/07/2014 11.00,"2,8","2,7","0,7",,"1,7","18,4","13,3","0,2"
17/07/2014 12.00,"2,7",,,"16,1","1,6","18,4","13,3","0,2"
17/07/2014 13.00,"3,7",,,,"1,6","18,4","13,3","0,2"
17/07/2014 14.00,"4,6","2,7","0,5","21,5","34,5","18,4","13,3","0,2"
17/07/2014 15.00,"2,1",,,,"1,7","18,4","13,3","0,2"
17/07/2014 16.00,"1,8",,,"23,0","1,5","18,4","13,3","0,2"
17/07/2014 17.00,"1,4",,,,"1,5","18,4","13,3","0,2"
17/07/2014 18.00,"1,3",,,"12,5","1,7","18,4","13,3","0,2"
17/07/2014 19.00,"1,4",,,,"1,7","18,4","13,3","0,2"
17/07/2014 20.00,"1,3","2,8","0,9","21,5","1,7","18,4","13,3","0,2"
17/07/2014 21.00,"1,2","3,1","0,6",,"1,5","18,4","13,3","0,2"
17/07/2014 22.00,"1,3",,,"23,4","1,5","18,4","13,3","0,2"
17/07/2014 23.00,"1,2",,,,"1,4","18,4","13,3","0,2"
18/07/2014 0.00,"1,0","3,0","0,7","25,2","1,4","18,4","13,3","0,2"
18/07/2014 1.00,"1,0","2,8","0,5",,"1,4","16,1","12,6","0,2"
18/07/2014 2.00,"0,8","4,3","2,0","21,7","1,4","16,1","12,6","0,2"
18/07/2014 3.00,"0,8","6,4","4,2",,"1,5","16,1","12,6","0,2"
18/07/2014 4.00,"0,8","3,8","2,0","23,7","1,5","16,1","12,6","0,2"
18/07/2014 5.00,"0,7",,,,"1,4","16,1","12,6","0,2"
18/07/2014 6.00,"0,7",,,"23,4","1,6","16,1","12,6","0,2"
18/07/2014 7.00,"1,0",,,,"1,8","16,1","12,6","0,2"
18/07/2014 8.00,"1,0","2,9","0,6","23,0","1,8","16,1","12,6","0,2"
18/07/2014 9.00,"2,6","5,2","2,6",,"1,8","16,1","12,6","0,2"
18/07/2014 10.00,"3,3","3,5","1,2","12,2","1,8","16,1","12,6","0,2"
18/07/2014 11.00,"2,4","2,6","0,6",,"2,0","16,1","12,6","0,2"
18/07/2014 12.00,"2,3",,,"14,2","1,7","16,1","12,6","0,2"
18/07/2014 13.00,"1,5","2,3","0,5",,"1,7","16,1","12,6","0,2"
18/07/2014 14.00,"3,5","2,9","0,7","10,3","1,8","16,1","12,6","0,2"
18/07/2014 15.00,"1,5",,,,"1,6","16,1","12,6","0,2"
18/07/2014 16.00,"1,2","2,9","2,0","14,7","1,5","16,1","12,6","0,2"
18/07/2014 17.00,"1,3","3,1","2,0",,"1,7","16,1","12,6","0,2"
18/07/2014 18.00,"1,3","2,8","1,9","12,9","1,9","16,1","12,6","0,2"
18/07/2014 19.00,"1,3","3,5","2,5",,"1,9","16,1","12,6","0,2"
18/07/2014 20.00,"1,2","3,7","2,8","22,7","1,7","16,1","12,6","0,2"
18/07/2014 21.00,"1,1","5,1","4,2",,"1,6","16,1","12,6","0,2"
18/07/2014 22.00,"1,5","6,3","5,4","20,8","1,5","16,1","12,6","0,2"
18/07/2014 23.00,"1,3","3,4","2,4",,"1,4","16,1","12,6","0,2"
19/07/2014 0.00,"1,1","4,4","3,5","21,0","1,4","16,1","12,6","0,2"
19/07/2014 1.00,,"8,0","7,1",,"1,4","17,1","13,0","0,2"
19/07/2014 2.00,"1,0",,,"28,6","1,6","17,1","13,0","0,2"
19/07/2014 3.00,"0,9","8,9","7,9",,"1,5","17,1","13,0",
19/07/2014 4.00,"0,7","3,8","2,9","23,9","1,5","17,1","13,0","0,1"
19/07/2014 5.00,"1,1","3,4","2,4",,"1,5","17,1","13,0","0,1"
19/07/2014 6.00,"0,7","3,5","2,5","22,7","1,5","17,1","13,0","0,1"
19/07/2014 7.00,"1,0","3,4","2,5",,"1,8","17,1","13,0","0,1"
19/07/2014 8.00,"2,1","3,7","2,8","15,1","1,9","17,1","13,0","0,2"
19/07/2014 9.00,"1,3","4,1","3,1",,"1,8","17,1","13,0","0,2"
19/07/2014 10.00,"1,7","3,7","2,7","21,7","1,6","17,1","13,0","0,2"
19/07/2014 11.00,"1,6","3,3","2,4",,"1,7","17,1","13,0","0,2"
19/07/2014 12.00,"1,6","2,8","1,9","16,8","1,4","17,1","13,0","0,2"
19/07/2014 13.00,"2,4","2,8","1,9",,"1,6","17,1","13,0","0,2"
19/07/2014 14.00,"2,3","2,9","2,0","11,7","1,6","17,1","13,0","0,2"
19/07/2014 15.00,"1,3","2,8","1,9",,"1,5","17,1","13,0","0,2"
19/07/2014 16.00,"1,3","2,8","1,8","14,9","1,5","17,1","13,0","0,2"
19/07/2014 17.00,"1,3","2,3","1,4",,"1,5","17,1","13,0","0,2"
19/07/2014 18.00,"1,3","2,8","1,9","11,5","1,6","17,1","13,0","0,2"
19/07/2014 19.00,"1,3","2,7","1,7",,"1,7","17,1","13,0","0,1"
19/07/2014 20.00,"1,3","3,3","2,3","15,4","2,0","17,1","13,0","0,1"
19/07/2014 21.00,"1,3","4,3","3,3",,"1,6","17,1","13,0","0,2"
19/07/2014 22.00,"1,3","4,2","3,2","29,1","1,7","17,1","13,0","0,2"
19/07/2014 23.00,"1,3","3,9","2,9",,"1,6","17,1","13,0","0,1"
20/07/2014 0.00,"1,2","10,6","9,7","21,0","1,5","17,1","13,0","0,2"
20/07/2014 1.00,"2,1","19,8","18,9",,"2,2","20,0","12,7","0,3"
20/07/2014 2.00,"1,1","10,8","9,9","22,7","1,7","20,0","12,7","0,2"
20/07/2014 3.00,"0,9","6,8","5,9",,"1,6","20,0","12,7","0,3"
20/07/2014 4.00,"1,3","12,5","11,6","21,5","1,8","20,0","12,7","0,3"
20/07/2014 5.00,"1,3","20,8","19,9",,"1,8","20,0","12,7","0,6"
20/07/2014 6.00,"1,3","16,1","14,7","30,5","3,0","20,0","12,7","0,4"
20/07/2014 7.00,"1,7","14,7","12,4",,"3,6","20,0","12,7","0,3"
20/07/2014 8.00,"1,4","7,6","6,3","25,9","2,2","20,0","12,7","0,3"
20/07/2014 9.00,"1,0","2,8","1,9",,"1,5","20,0","12,7","0,2"
20/07/2014 10.00,"1,4","3,0","2,0","20,8","1,6","20,0","12,7","0,2"
20/07/2014 11.00,"1,9","5,7","4,3",,"2,2","20,0","12,7","0,2"
20/07/2014 12.00,"1,1","3,9","2,9","16,8","1,7","20,0","12,7","0,2"
20/07/2014 13.00,"1,3","6,6","5,1",,"2,2","20,0","12,7","0,2"
20/07/2014 14.00,"2,3","5,4","4,0","14,9","2,0","20,0","12,7","0,2"
20/07/2014 15.00,"1,8","4,3","3,3",,"1,8","20,0","12,7","0,2"
20/07/2014 16.00,"3,1","7,6","6,3","16,6","2,2","20,0","12,7","0,2"
20/07/2014 17.00,"1,6","5,8","4,8",,"2,1","20,0","12,7","0,2"
20/07/2014 18.00,"2,4","8,7","7,6","20,8","4,1","20,0","12,7","0,2"
20/07/2014 19.00,"1,0","9,4","8,5",,"3,1","20,0","12,7","0,2"
20/07/2014 20.00,"1,3","6,2","5,2","33,9","1,8","20,0","12,7","0,2"
20/07/2014 21.00,"1,2","4,6","3,7",,"1,8","20,0","12,7","0,2"
20/07/2014 22.00,"1,3","5,5","4,6","34,4","1,8","20,0","12,7","0,2"
20/07/2014 23.00,"1,1","5,1","4,2",,"1,8","20,0","12,7","0,2"
21/07/2014 0.00,"0,9","5,5","4,6","30,3","1,6","20,0","12,7","0,2"
21/07/2014 1.00,,"4,0","3,0",,"1,7","22,0","12,6","0,2"
21/07/2014 2.00,"1,1",,,"25,9","1,7","22,0","12,6","0,2"
21/07/2014 3.00,"0,8","8,5","7,6",,"1,7","22,0","12,6",
21/07/2014 4.00,"0,9","13,9","12,8","24,4","2,4","22,0","12,6","0,2"
21/07/2014 5.00,"1,1","18,7","17,7",,"4,6","22,0","12,6","0,2"
21/07/2014 6.00,"1,1","15,8","14,1","23,4","3,9","22,0","12,6","0,2"
21/07/2014 7.00,"1,2","15,5","12,8",,"7,8","22,0","12,6","0,2"
21/07/2014 8.00,"1,3","20,8","17,3","35,2","8,4","22,0","12,6","0,2"
21/07/2014 9.00,"1,8","15,4","11,6",,"7,0","22,0","12,6","0,2"
21/07/2014 10.00,"3,0","20,1","16,2","33,2","7,0","22,0","12,6","0,3"
21/07/2014 11.00,"4,6","19,9","16,7",,"5,2","22,0","12,6","0,3"
21/07/2014 12.00,"3,4","5,4","4,3","30,5","3,7","22,0","12,6","0,2"
21/07/2014 13.00,"2,4","3,2","2,3",,"1,7","22,0","12,6","0,2"
21/07/2014 14.00,"0,9","4,4","3,0","27,4","2,0","22,0","12,6","0,2"
21/07/2014 15.00,"1,3","11,7","8,8",,"7,2","22,0","12,6","0,2"
21/07/2014 16.00,"1,3","7,8","5,4","21,5","4,1","22,0","12,6","0,2"
21/07/2014 17.00,"2,4","7,8","5,4",,"5,5","22,0","12,6","0,2"
21/07/2014 18.00,"0,9","9,8","7,6","20,0","7,2","22,0","12,6","0,2"
21/07/2014 19.00,"1,3","6,9","5,6",,"3,7","22,0","12,6","0,2"
21/07/2014 20.00,"1,3","11,9","10,6","23,4","5,4","22,0","12,6","0,2"
21/07/2014 21.00,"1,3","14,3","12,4",,"5,9","22,0","12,6","0,2"
21/07/2014 22.00,"1,3","12,6","11,0","34,9","2,6","22,0","12,6","0,2"
21/07/2014 23.00,"1,2","4,1","3,1",,"1,6","22,0","12,6","0,1"
22/07/2014 0.00,"1,1","7,7","6,8","29,1","2,7","22,0","12,6","0,2"
22/07/2014 1.00,"1,0","6,9","5,9",,"1,7","12,5","5,7","0,2"
22/07/2014 2.00,"1,1","6,9","5,9","21,7","1,9","12,5","5,7","0,2"
22/07/2014 3.00,"1,0","5,5","4,5",,"1,5","12,5","5,7","0,2"
22/07/2014 4.00,"1,2","5,2","4,1","16,4","1,8","12,5","5,7","0,2"
22/07/2014 5.00,"1,0","6,7","5,7",,"2,2","12,5","5,7","0,2"
22/07/2014 6.00,"0,7","16,4","14,2","14,4","3,9","12,5","5,7","0,2"
22/07/2014 7.00,"0,7","26,0","21,6",,"16,4","12,5","5,7","0,2"
22/07/2014 8.00,"0,8","15,6","11,9","18,1","11,0","12,5","5,7","0,2"
22/07/2014 9.00,"1,2","13,9","9,8",,"7,8","12,5","5,7","0,2"
22/07/2014 10.00,"3,9","19,4","14,2","11,0","5,9","12,5","5,7","0,3"
22/07/2014 11.00,"5,1","11,0","7,8",,"3,8","12,5","5,7","0,2"
22/07/2014 12.00,"4,4","14,6","10,4","11,5","5,3","12,5","5,7","0,2"
22/07/2014 13.00,"2,0","10,5","6,5",,"6,4","12,5","5,7","0,2"
22/07/2014 14.00,"2,7","8,5","5,8","7,6","4,3","12,5","5,7","0,2"
22/07/2014 15.00,"2,2","10,8","7,2",,"6,8","12,5","5,7","0,2"
22/07/2014 16.00,"1,2","8,8","6,3","10,3","3,9","12,5","5,7","0,2"
22/07/2014 17.00,"1,0","6,8","4,6",,"3,3","12,5","5,7","0,2"
22/07/2014 18.00,"1,3","12,8","9,0","8,8","9,6","12,5","5,7","0,2"
22/07/2014 19.00,"1,2","16,9","13,7",,"7,6","12,5","5,7","0,2"
22/07/2014 20.00,"1,3","11,1","9,7","13,4","5,8","12,5","5,7","0,2"
22/07/2014 21.00,"1,2","11,2","9,4",,"6,4","12,5","5,7","0,2"
22/07/2014 22.00,"1,0","6,9","6,0","18,1","1,7","12,5","5,7","0,2"
22/07/2014 23.00,"0,7","3,7","2,7",,"1,4","12,5","5,7","0,1"
23/07/2014 0.00,"0,7","2,8","1,9","14,9","1,5","12,5","5,7","0,1"
23/07/2014 1.00,,"2,8","1,9",,"1,5","7,8","4,8","0,1"
23/07/2014 2.00,"0,7",,,"14,2","1,4","7,8","4,8","0,2"
23/07/2014 3.00,"0,7","4,8","3,9",,"1,4","7,8","4,8",
23/07/2014 4.00,"0,7","3,0","2,1","8,5","1,5","7,8","4,8","0,1"
23/07/2014 5.00,"0,7","2,8","1,9",,"1,4","7,8","4,8","0,1"
23/07/2014 6.00,"0,6","3,7","2,8","8,3","2,2","7,8","4,8","0,1"
23/07/2014 7.00,"0,6","18,9","14,5",,"15,3","7,8","4,8","0,1"
23/07/2014 8.00,"0,7","21,4","15,2","5,4","10,7","7,8","4,8","0,1"
23/07/2014 9.00,"0,8","28,7","21,3",,"10,5","7,8","4,8","0,2"
23/07/2014 10.00,"0,9","13,6","11,0","6,6","4,8","7,8","4,8","0,2"
23/07/2014 11.00,"0,6","29,0","22,9",,"17,5","7,8","4,8","0,2"
23/07/2014 12.00,"0,4","23,3","18,4","21,2","15,7","7,8","4,8","0,2"
23/07/2014 13.00,"1,3","13,3","11,3",,"3,6","7,8","4,8","0,2"
23/07/2014 14.00,"2,3","21,1","16,0","11,5","5,3","7,8","4,8","0,2"
23/07/2014 15.00,"3,3","8,1","6,1",,"2,7","7,8","4,8","0,1"
23/07/2014 16.00,"3,7","4,8","3,5","9,5","1,9","7,8","4,8","0,1"
23/07/2014 17.00,"2,6","3,7","2,7",,"1,7","7,8","4,8","0,1"
