"NetC","Comune Bari","","","","","","","","","","","","","",""
"Stat","Carbonara","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
06/01/2012 11.00,"8,27561478","15,21949514","19,09600631","0,27637645",,"0,82727865"
06/01/2012 12.00,"8,12646359","16,34798814","20,74250408","0,30610841","3,90720391","1,31147947"
06/01/2012 13.00,"8,25301602","18,56345504","26,18526064","0,32524703",,"0,95088381"
06/01/2012 14.00,"8,44420083","20,25523088","28,07301648","0,37036166","13,18680954","1,5770202"
06/01/2012 15.00,"7,90364093","12,55430863","15,14671869","0,27243991",,"1,63995827"
06/01/2012 16.00,"6,88354009","9,99102025","12,94899514","0,28301345","7,32600689","0,76482773"
06/01/2012 17.00,"6,82839937","11,52834473","15,43529494","0,31960261",,"2,40381273"
06/01/2012 18.00,"6,98658965","12,29603567","16,82889438","0,31928456","15,14041042","0,9296336"
06/01/2012 19.00,"6,63947535","12,06760712","17,10125878","0,32755257",,"0,80051426"
06/01/2012 20.00,"6,35789551","12,6776116","17,9695821","0,30682372","11,72161007","2,04564974"
06/01/2012 21.00,"6,32083399","12,59973584","18,15310542","0,37161403",,"1,72106402"
06/01/2012 22.00,"6,27111693","11,84047873","16,095455","0,31566724","17,09399986","0,95591186"
06/01/2012 23.00,"5,89146066","9,7437757","11,6053295","0,28804159",,"1,54068483"
07/01/2012 0.00,"5,62434459","10,98972859","16,50724435","0,28140459","16,11721039","0,64592619"
07/01/2012 1.00,"5,69078419","7,63343438","9,64560024","0,2586067",,"1,61724866"
07/01/2012 2.00,"5,45304722","6,18501026","7,22739059","0,26133047","19,29179955","1,95043108"
07/01/2012 3.00,"5,49056129","5,83004172","6,4316965","0,26015848",,"0,80310863"
07/01/2012 4.00,"5,13169454","5,51206274","6,3863037","0,25934298","14,89620972","0,54908644"
07/01/2012 5.00,"4,97802482","5,4484677","6,14376842","0,25077674",,"1,11033721"
07/01/2012 6.00,"4,72717974","6,10064708","6,88888055","0,25397699","8,05860806","1,69283921"
07/01/2012 7.00,"4,62051373","7,92610422","8,8771445","0,29273188",,"0,65890311"
