"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
03/01/2012 6.00,"1,06878964","12,7108202","0,7429307"
03/01/2012 7.00,"1,21535014",,"0,93227983"
03/01/2012 8.00,"1,26010128","12,22194958","1,2166971"
03/01/2012 9.00,"1,31930425",,"1,48137542"
03/01/2012 10.00,"1,40699613","19,55512047","2,10751486"
03/01/2012 11.00,"1,56846047",,"3,08280871"
03/01/2012 12.00,"1,66169775","20,28841972","4,52627647"
03/01/2012 13.00,"1,72941338",,"4,43111273"
03/01/2012 14.00,"1,68570491","2,44439006","5,22071458"
03/01/2012 15.00,"1,31698357",,"3,52336294"
03/01/2012 16.00,"1,21279529","27,62158966","1,75672309"
03/01/2012 17.00,"1,528134",,"2,38555046"
03/01/2012 18.00,"1,74300077","26,15497017","4,67290041"
03/01/2012 19.00,"2,16078026",,"5,95818501"
03/01/2012 20.00,"2,3592881","38,62136078","7,59832634"
03/01/2012 21.00,"2,27145759",,"9,69366059"
03/01/2012 22.00,"1,76281975","61,84305954","6,78866213"
03/01/2012 23.00,"1,48096548",,"4,27310754"
04/01/2012 0.00,"1,39696781","57,44316101","2,97443414"
04/01/2012 1.00,"1,29179511",,"2,32629902"
04/01/2012 2.00,"1,23092269","53,5321312","2,0244524"
04/01/2012 3.00,,,"1,71983141"
04/01/2012 4.00,"1,10095879","47,17671967","1,26210005"
04/01/2012 5.00,"1,06255689",,
04/01/2012 6.00,"1,04863514","28,84379959","0,80064342"
04/01/2012 7.00,"1,20278561",,"1,17679307"
04/01/2012 8.00,"1,43377599","25,42164993","1,96149705"
04/01/2012 9.00,"1,91732438",,"3,68069284"
04/01/2012 10.00,"2,11105456","23,22170067","6,28169678"
04/01/2012 11.00,"1,6777433",,"6,283624"
04/01/2012 12.00,"1,72955201","47,42116165","5,50824489"
04/01/2012 13.00,"1,90255917",,"6,08759318"
04/01/2012 14.00,"1,80324525","52,30994034","7,68680025"
04/01/2012 15.00,"1,31079043",,"3,88252463"
04/01/2012 16.00,"1,26019914","53,5321312","2,20197077"
04/01/2012 17.00,"1,39907297",,"2,32187202"
04/01/2012 18.00,"1,40542338","40,57686996","2,66417998"
04/01/2012 19.00,"1,41482144",,"2,59024103"
04/01/2012 20.00,"1,40243516","40,33243179","2,23664234"
04/01/2012 21.00,"1,5160611",,"3,18254692"
04/01/2012 22.00,"1,40656275","32,51037979","3,02782359"
04/01/2012 23.00,"1,33216236",,"2,28345688"
05/01/2012 0.00,"1,25846912","33,24369049","2,0375056"
05/01/2012 1.00,"1,19142104",,"1,65925889"
05/01/2012 2.00,"1,12612395","29,33267975","1,24058542"
05/01/2012 3.00,"1,0959621",,"1,10898968"
05/01/2012 4.00,"1,01766711","28,59935951","0,51507897"
05/01/2012 5.00,"1,02258341",,"0,5231448"
05/01/2012 6.00,"1,05134843","22,24394989","0,54493606"
05/01/2012 7.00,"1,20585306",,"0,84120647"
05/01/2012 8.00,"1,44683098","20,77729988","1,72377025"
05/01/2012 9.00,"1,80070905",,"4,4220116"
05/01/2012 10.00,"1,92776511","30,06599045","7,70212848"
05/01/2012 11.00,"1,58658904",,"5,4704908"
05/01/2012 12.00,"1,51043765","30,06599045","3,34442586"
05/01/2012 13.00,"1,44645818",,"3,79662982"
05/01/2012 14.00,"1,88513776","22,24394989","4,41878364"
05/01/2012 15.00,"1,49580991",,"5,66536834"
05/01/2012 16.00,"1,32640143","30,55487061","2,30139167"
05/01/2012 17.00,"1,46456577",,"2,42500802"
05/01/2012 18.00,"1,6785087","18,33292007","3,84350844"
05/01/2012 19.00,"1,71006622",,"4,58171619"
05/01/2012 20.00,"1,55752811","17,11071968","3,23226093"
05/01/2012 21.00,"1,56798865",,"3,02880296"
05/01/2012 22.00,"1,70869036","11,48863029","3,96851096"
05/01/2012 23.00,"1,38479706",,"2,70957073"
06/01/2012 0.00,"1,27077734","22,73282051","1,25803917"
06/01/2012 1.00,"1,28391155",,"1,56576812"
06/01/2012 2.00,"1,25577564","16,8662796","1,34018023"
06/01/2012 3.00,,,"1,16474162"
06/01/2012 4.00,"1,06200701","10,75531006","0,27742438"
06/01/2012 5.00,"1,0384111",,
06/01/2012 6.00,"0,98123407","13,93301964","0,11903273"
06/01/2012 7.00,"1,04322838",,"0,138252"
06/01/2012 8.00,"1,03443962","9,77756023",
06/01/2012 9.00,"1,06654818",,"0,10020094"
06/01/2012 10.00,"1,06412964","6,84429216","0,58951829"
06/01/2012 11.00,"1,03933611",,
06/01/2012 12.00,"1,14554916","16,37741089","0,33325768"
06/01/2012 13.00,"1,11947763",,"0,88336417"
06/01/2012 14.00,"1,21590118","18,08848","1,03127156"
06/01/2012 15.00,"1,06772716",,"0,78205368"
06/01/2012 16.00,"0,98180492","20,04397964","0,30112251"
06/01/2012 17.00,"1,03827363",,"0,27293331"
06/01/2012 18.00,"1,0532765","24,19944954","0,23723356"
06/01/2012 19.00,"1,10239174",,"0,48158916"
06/01/2012 20.00,"1,07042181","13,19970036","0,49507967"
06/01/2012 21.00,"1,12673325",,"0,53178015"
06/01/2012 22.00,"1,05058186","20,04397964","0,74893507"
06/01/2012 23.00,"1,03583645",,"0,40293947"
07/01/2012 0.00,"0,99592239","23,22170067","0,32691567"
07/01/2012 1.00,"1,02804959",,"0,44328081"
07/01/2012 2.00,"0,98866677","23,9550209",
07/01/2012 3.00,"1,0242948",,
07/01/2012 4.00,"0,97258278","22,48838043","0,16068702"
07/01/2012 5.00,"0,97038093",,
07/01/2012 6.00,"0,95321582","22,73282051","0,23321946"
07/01/2012 7.00,"0,98740857",,"0,51650074"
07/01/2012 8.00,"0,99515465","25,17720985","0,08802847"
07/01/2012 9.00,"1,02370414",,"0,22105715"
07/01/2012 10.00,"1,05349203","23,22170067","0,4393501"
07/01/2012 11.00,"1,0604529",,"0,66183614"
07/01/2012 12.00,"1,08335797","26,39941025","0,38099973"
07/01/2012 13.00,"1,07429427",,"0,85884328"
07/01/2012 14.00,"1,13794171","15,6440897","0,89944497"
07/01/2012 15.00,"1,07028317",,"0,8394735"
07/01/2012 16.00,"1,03754667","17,11071968","0,30750826"
07/01/2012 17.00,"1,06475874",,"0,66201615"
07/01/2012 18.00,"1,15903753","19,31068039","0,76473722"
07/01/2012 19.00,"1,12419704",,"0,9954274"
07/01/2012 20.00,"1,20636449","22,24394989","1,04558075"
07/01/2012 21.00,"1,19777145",,"1,44530853"
07/01/2012 22.00,"1,18636843","17,11071968","1,13472995"
07/01/2012 23.00,"1,07710658",,"0,80259504"
08/01/2012 0.00,"1,07643787","17,59959984","0,63669692"
08/01/2012 1.00,"1,0613185",,"0,68083879"
08/01/2012 2.00,"1,20028902","13,93301964","0,83209313"
08/01/2012 3.00,,,"1,06714929"
08/01/2012 4.00,"1,09841443","17,84403992","0,85033506"
08/01/2012 5.00,"1,03196166",,
08/01/2012 6.00,"1,0414401","10,99975014","0,59635863"
08/01/2012 7.00,"1,03628731",,"0,20136092"
08/01/2012 8.00,"1,12447198","10,99975014","0,34598238"
08/01/2012 9.00,"1,14376089",,"1,06546208"
08/01/2012 10.00,"1,36191063","6,59985304","2,23435815"
08/01/2012 11.00,"1,39836465",,"3,52332023"
08/01/2012 12.00,"1,2415207","21,51062965","2,87474475"
08/01/2012 13.00,"1,32807321",,"1,65367149"
08/01/2012 14.00,"1,44282105","31,28819084","2,79945319"
08/01/2012 15.00,"1,10388643",,"1,62726407"
08/01/2012 16.00,"1,09118444","16,8662796","0,51620276"
08/01/2012 17.00,"1,07431524",,"0,78091362"
08/01/2012 18.00,"1,14594293","17,84403992","0,80095361"
08/01/2012 19.00,"1,20058376",,"0,66143849"
08/01/2012 20.00,"1,44529667","18,57736015","1,54279002"
08/01/2012 21.00,"1,35955151",,"2,51998871"
08/01/2012 22.00,"1,35565924","9,77756023","1,89850611"
08/01/2012 23.00,"1,2207569",,"1,13728161"
09/01/2012 0.00,"1,148577","25,17720985","0,92257765"
09/01/2012 1.00,"1,19085135",,"0,96031852"
09/01/2012 2.00,"1,39620124","16,8662796","1,69694383"
09/01/2012 3.00,"1,06267456",,"1,05658978"
09/01/2012 4.00,"1,04637504","25,17720985","0,07860902"
09/01/2012 5.00,"1,00909621",,
09/01/2012 6.00,"1,02433324","12,7108202","0,32470064"
09/01/2012 7.00,"1,12289923",,"0,52489709"
09/01/2012 8.00,"1,30587413","8,31092644","0,84734915"
09/01/2012 9.00,"1,65216223",,"3,38461566"
09/01/2012 10.00,"1,43037419","5,86653614","3,09188747"
09/01/2012 11.00,"1,52105546",,"3,09800371"
09/01/2012 12.00,"1,25630571","19,06624031","2,30177712"
09/01/2012 13.00,"1,19122532",,"1,32324514"
09/01/2012 14.00,"1,21686347","15,15520954","1,4930699"
09/01/2012 15.00,"1,16627451",,"1,38520383"
09/01/2012 16.00,"1,15335583","23,22170067","1,06006792"
09/01/2012 17.00,"1,28290849",,"1,38359494"
09/01/2012 18.00,"1,361419","27,62158966","1,95391939"
09/01/2012 19.00,"1,38475861",,"2,11732993"
09/01/2012 20.00,"1,40276835","22,73282051","2,06209157"
09/01/2012 21.00,"1,25782021",,"1,81741256"
09/01/2012 22.00,"1,10933281","18,33292007","1,43996115"
09/01/2012 23.00,"1,03316161",,"0,70476575"
10/01/2012 0.00,"1,00956803","24,19944954","0,34301579"
10/01/2012 1.00,"0,99165499",,"0,58388106"
10/01/2012 2.00,"1,00014901","14,66633987","0,21183602"
10/01/2012 3.00,,,"0,10760165"
10/01/2012 4.00,"0,96612402","11,48863029","0,10708095"
10/01/2012 5.00,"0,95262633",,
10/01/2012 6.00,"0,98949275","15,39964962","0,09613599"
10/01/2012 7.00,"0,99554726",,"0,12622597"
10/01/2012 8.00,"1,04018074","10,02198982","0,64732965"
10/01/2012 9.00,"1,17144478",,"0,82619961"
10/01/2012 10.00,"1,26949934","14,4218998","1,48881071"
10/01/2012 11.00,"1,32732528",,"1,34168132"
10/01/2012 12.00,"1,46181404","17,59959984","2,15450738"
10/01/2012 13.00,"1,27103248",,"2,6255889"
10/01/2012 14.00,"1,18021374","15,39964962","1,99112226"
10/01/2012 15.00,"1,07797101",,"0,83614486"
10/01/2012 16.00,"1,08683899","12,7108202","0,76824892"
10/01/2012 17.00,"1,15262887",,"0,86526258"
10/01/2012 18.00,"1,12409918","16,13297081","1,04272705"
10/01/2012 19.00,"1,15251004",,"1,26073219"
10/01/2012 20.00,"1,15030819","14,4218998","1,02400611"
10/01/2012 21.00,"1,48021755",,"2,15098653"
10/01/2012 22.00,"1,29651452","18,57736015","3,41247841"
10/01/2012 23.00,"1,10915573",,"1,19529942"
11/01/2012 0.00,"1,08906064","14,4218998","0,59101531"
11/01/2012 1.00,"1,09912741",,"0,42312183"
11/01/2012 2.00,"1,00341217","14,4218998","0,33199457"
11/01/2012 3.00,"1,03943397",,"0,36969781"
11/01/2012 4.00,"0,98907918","17,35515976","0,60689373"
11/01/2012 5.00,"1,03795908",,"0,29843967"
11/01/2012 6.00,"0,97498268","17,84403992","0,17279237"
11/01/2012 7.00,"1,07051967",,"0,17366801"
11/01/2012 8.00,"1,16796493","14,4218998","0,92729043"
11/01/2012 9.00,"1,25538303",,"1,419373"
11/01/2012 10.00,"1,23886566","16,62183952","1,46438949"
11/01/2012 11.00,"1,19311262",,"1,60606267"
11/01/2012 12.00,"1,2004661","23,46614075","1,39029392"
11/01/2012 13.00,"1,23955418",,"1,58433243"
11/01/2012 14.00,"1,21826031","18,82180023","1,73422705"
11/01/2012 15.00,"1,08554118",,"1,00782564"
11/01/2012 16.00,"1,17203427","13,19970036","0,97591218"
11/01/2012 17.00,"1,17101257",,"1,16248185"
11/01/2012 18.00,"1,20209826","11,48863029","1,0463791"
11/01/2012 19.00,"1,17370605",,"1,23056797"
11/01/2012 20.00,"1,21708016","21,02173996","1,31391213"
11/01/2012 21.00,"1,32891783",,"1,87078879"
11/01/2012 22.00,"1,21796556","15,39964962","1,68761895"
11/01/2012 23.00,"1,09900974",,"0,9860171"
12/01/2012 0.00,"1,08823466","14,66633987","0,79007272"
12/01/2012 1.00,"1,04008288",,"0,47964568"
12/01/2012 2.00,"1,0371529","22,97726059","0,27354961"
12/01/2012 3.00,,,"0,23956554"
12/01/2012 4.00,"1,02323814","19,31068039","0,27582159"
12/01/2012 5.00,"0,97818643",,
12/01/2012 6.00,"1,03479378","20,28841972","0,24295011"
12/01/2012 7.00,"1,12694994",,"0,38210419"
12/01/2012 8.00,"1,46197015","13,68857956","1,68514968"
12/01/2012 9.00,"1,87792175",,"4,45703911"
12/01/2012 10.00,"1,72955201","27,86602974","6,11844998"
12/01/2012 11.00,"1,31460348",,"3,50147913"
12/01/2012 12.00,"1,18591641","50,84331131","2,0825048"
12/01/2012 13.00,"1,16959709",,"1,58959643"
12/01/2012 14.00,"1,28460007","1,46663404","1,66694538"
12/01/2012 15.00,"1,15990313",,"1,27375792"
12/01/2012 16.00,"1,1619279","0,48887801","1,21299624"
12/01/2012 17.00,"1,47333589",,"2,24746627"
12/01/2012 18.00,"1,68814325","6,84429216","3,81417917"
12/01/2012 19.00,"2,02621344",,"4,9791781"
12/01/2012 20.00,"2,22983214","3,91102409","8,36737564"
12/01/2012 21.00,"2,23588897",,"7,54103263"
12/01/2012 22.00,"2,24625048","37,15472031","8,66755031"
12/01/2012 23.00,"1,75340189",,"5,77463075"
13/01/2012 0.00,"1,3915028","40,08798981","3,29737639"
13/01/2012 1.00,"1,32406095",,"2,06400455"
13/01/2012 2.00,"1,26540902","33,97702026","1,9273106"
13/01/2012 3.00,"1,2004661",,"1,11769012"
13/01/2012 4.00,"1,1450587","26,39941025","1,87054369"
13/01/2012 5.00,"1,14983636",,"1,52936257"
13/01/2012 6.00,"1,18127505","26,15497017","1,24355302"
13/01/2012 7.00,"1,45866854",,"1,66392794"
13/01/2012 8.00,"1,87874774","14,66633987","2,72230458"
13/01/2012 9.00,"3,17996187",,"7,70948749"
13/01/2012 10.00,"3,19600625","23,71058083","14,10681717"
13/01/2012 11.00,"2,17236036",,"10,91327445"
13/01/2012 12.00,"1,60760797","63,30970001","7,83761017"
13/01/2012 13.00,"1,27183866",,"3,56248591"
13/01/2012 14.00,"1,29305447","56,22097015","1,90435081"
13/01/2012 15.00,"1,22018722",,"1,3300682"
13/01/2012 16.00,"1,24954289","3,91102409","1,09585615"
13/01/2012 17.00,"1,42376747",,"1,35620408"
13/01/2012 18.00,"1,85478019","24,44388962","3,73551728"
13/01/2012 19.00,"2,2883664",,"6,49768521"
13/01/2012 20.00,"2,40018426","30,06599045","8,33802298"
13/01/2012 21.00,"2,22466187",,"8,47695942"
13/01/2012 22.00,"1,73537119","42,28794098","7,02512175"
13/01/2012 23.00,"1,44742047",,"3,61861414"
14/01/2012 0.00,"1,38232027","46,44340134","2,52288512"
14/01/2012 1.00,"1,27321569",,"1,92544847"
14/01/2012 2.00,"1,21855505","36,91028976","1,31131777"
14/01/2012 3.00,,,"1,19671916"
14/01/2012 4.00,"1,06909487","32,26594162","0,47793305"
14/01/2012 5.00,"1,00783684",,
14/01/2012 6.00,"0,99175285","0,24443901","0,26068558"
14/01/2012 7.00,"1,01851407",,"0,18472483"
14/01/2012 8.00,"1,09545067","1,95551205","0,24104934"
14/01/2012 9.00,"1,39496285",,"1,17346138"
14/01/2012 10.00,"1,57642441","1,22219503","2,52002532"
14/01/2012 11.00,"1,44565083",,"4,52901424"
14/01/2012 12.00,"1,20372926","1,22219503","2,09676416"
14/01/2012 13.00,"1,40131443",,"1,61414375"
14/01/2012 14.00,"1,60194607","1,22219503","2,48233123"
14/01/2012 15.00,"1,41914708",,"3,25875785"
14/01/2012 16.00,"1,48711901","1,22219503","2,43944332"
14/01/2012 17.00,"1,59364777",,"3,33816622"
14/01/2012 18.00,"1,38758956","1,71107304","2,34226694"
14/01/2012 19.00,"1,31118304",,"1,7325551"
14/01/2012 20.00,"1,45652494","0,48887801","2,27262481"
14/01/2012 21.00,"1,51991492",,"2,51884865"
14/01/2012 22.00,"1,58611721","1,46663404","3,18631897"
14/01/2012 23.00,"1,6307903",,"3,84929822"
15/01/2012 0.00,"1,56618057","2,44439006","3,24118815"
15/01/2012 1.00,"1,53159405",,"3,43334217"
15/01/2012 2.00,"1,48472027","0,48887801","2,8495923"
15/01/2012 3.00,"1,31932289",,"2,29589886"
15/01/2012 4.00,"1,24041977","3,42214608","1,5097965"
15/01/2012 5.00,"1,13300561",,"0,62025508"
15/01/2012 6.00,"1,10571548","0,24443901","0,86521173"
15/01/2012 7.00,"1,10604867",,"0,61230824"
15/01/2012 8.00,"1,16057184","2,93326807","0,71890205"
15/01/2012 9.00,"1,07055928",,"0,73268341"
15/01/2012 10.00,"1,25331749","1,71107304","0,68845307"
15/01/2012 11.00,"1,40127482",,"1,75513758"
15/01/2012 12.00,"1,32384542","0,24443901","2,28191511"
15/01/2012 13.00,"1,34295725",,"1,94910491"
15/01/2012 14.00,"1,28275238","16,37741089","2,12331192"
15/01/2012 15.00,"1,09220731",,"0,90194984"
15/01/2012 16.00,"1,09385811","10,02198982","0,372162"
15/01/2012 17.00,"1,13847179",,"0,51664312"
15/01/2012 18.00,"1,15308089","6,84429216","0,7994037"
15/01/2012 19.00,"1,20131072",,"1,01373543"
15/01/2012 20.00,"1,26629442","0,48887801","1,14773942"
15/01/2012 21.00,"1,34069482",,"1,15381701"
15/01/2012 22.00,"1,22848435",,"1,42033813"
15/01/2012 23.00,"1,19956206",,"0,86816307"
16/01/2012 0.00,"1,19610084","14,66633987","1,14433857"
16/01/2012 1.00,"1,08772322",,"0,5391717"
16/01/2012 2.00,"1,09252069","14,91077042","0,14688633"
16/01/2012 3.00,,,"0,16181894"
16/01/2012 4.00,"1,04629466","11,97751045","0,34631799"
16/01/2012 5.00,"1,03727057",,
16/01/2012 6.00,"1,04749577","7,82204819","0,09021502"
16/01/2012 7.00,"1,0638547",,"0,08553275"
16/01/2012 8.00,"1,26525291","10,02198982","0,38008443"
16/01/2012 9.00,"1,81551387",,"3,92490708"
16/01/2012 10.00,"1,40127482","8,55536556","2,6828521"
16/01/2012 11.00,"1,39049973",,"1,78229148"
16/01/2012 12.00,"1,58621624","16,13297081","2,39322271"
16/01/2012 13.00,"1,41252056",,"2,62265486"
16/01/2012 14.00,"1,43668616","2,19995093","2,72184388"
16/01/2012 15.00,"1,19669033",,"2,03127342"
16/01/2012 16.00,"1,23094133","12,7108202","1,36098703"
16/01/2012 17.00,"1,32661696",,"1,34235762"
16/01/2012 18.00,"1,4437845","0,97775602","2,15723192"
16/01/2012 19.00,"1,51462582",,"2,76024682"
16/01/2012 20.00,"1,50088232","0,24443901","2,92480861"
16/01/2012 21.00,"1,6224524",,"3,04801205"
16/01/2012 22.00,"1,31535141","2,44439006","2,87625601"
16/01/2012 23.00,"1,18025335",,"0,89379452"
17/01/2012 0.00,"1,13159013","1,95551205","0,63256383"
17/01/2012 1.00,"1,20616761",,"0,67915972"
17/01/2012 2.00,"1,28957462","1,71107304","2,1303638"
17/01/2012 3.00,"1,11894639",,"1,53283969"
17/01/2012 4.00,"1,05813222",,"0,63460597"
17/01/2012 5.00,"1,0324929",,"0,28803372"
17/01/2012 6.00,"1,05687402","2,68882895","0,33534863"
17/01/2012 7.00,"1,11501451",,"0,33002565"
17/01/2012 8.00,"1,1774224","1,46663404","0,80798209"
17/01/2012 9.00,"1,51214903",,"2,24146495"
17/01/2012 10.00,"1,65363712","0,24443901","5,19305117"
17/01/2012 11.00,"1,4515702",,"3,45828206"
17/01/2012 12.00,"1,37270552","0,97775602","2,51674346"
17/01/2012 13.00,"1,44315424",,"2,63000878"
17/01/2012 14.00,"1,61502086","24,44388962","3,12823607"
17/01/2012 15.00,"1,23155179",,"2,24976875"
17/01/2012 16.00,"1,20125247","23,71058083","1,18627863"
17/01/2012 17.00,"1,29152133",,"1,61694864"
17/01/2012 18.00,"1,27468941","13,44414043","1,76228913"
17/01/2012 19.00,"1,31309014",,"1,7986662"
17/01/2012 20.00,"1,44773618","7,82204819","2,25310451"
17/01/2012 21.00,"1,37856547",,"1,84603501"
17/01/2012 22.00,"1,35677997","8,31092644","2,13276901"
17/01/2012 23.00,"1,29439073",,"1,78834975"
18/01/2012 0.00,"1,27936922","7,08873081","1,77664713"
18/01/2012 1.00,"1,22327447",,"1,06370166"
18/01/2012 2.00,"1,16503495","10,99975014","1,03704202"
18/01/2012 3.00,,,"0,60904774"
18/01/2012 4.00,"1,09357735","9,28868198","0,65870785"
18/01/2012 5.00,"1,06613461",,
18/01/2012 6.00,"1,08990643","10,75531006","0,34707261"
18/01/2012 7.00,"1,13876653",,"0,46829494"
18/01/2012 8.00,"1,43116056","8,55536556","1,53326988"
18/01/2012 9.00,"1,56653356",,"3,14907236"
18/01/2012 10.00,"1,57581512","18,33292007","3,47049318"
18/01/2012 11.00,"1,42250927",,"3,37314594"
18/01/2012 12.00,"1,2294478","32,26594162","2,03843412"
18/01/2012 13.00,"1,19472498",,"1,45414728"
18/01/2012 14.00,"1,36924431","28,3549099","1,62158413"
18/01/2012 15.00,"1,18994731",,"1,46694724"
18/01/2012 16.00,"1,31613778","22,73282051","1,30878442"
18/01/2012 17.00,"1,59447376",,"2,5975197"
18/01/2012 18.00,"1,67416442","33,24369049","3,90014008"
18/01/2012 19.00,"1,71087357",,"3,61891212"
18/01/2012 20.00,"2,0020292","38,62136078","6,26165578"
18/01/2012 21.00,"2,02937874",,"5,77029528"
18/01/2012 22.00,"1,75654739","23,46614075","6,96316611"
18/01/2012 23.00,"1,26371861",,"2,86444254"
19/01/2012 0.00,"1,24156031","37,88803101","1,66727692"
19/01/2012 1.00,"1,19853919",,"1,24693556"
19/01/2012 2.00,"1,21422941","1,46663404","1,76661646"
19/01/2012 3.00,"1,07099149",,"0,77038564"
19/01/2012 4.00,"1,08528604","1,95551205","0,45188564"
19/01/2012 5.00,"1,06613461",,"0,31184474"
19/01/2012 6.00,"1,07683047","23,22170067","0,59982152"
19/01/2012 7.00,"1,2219953",,"0,72036958"
19/01/2012 8.00,"1,49246636",,"1,75431178"
19/01/2012 9.00,"1,80344097",,"3,79711697"
19/01/2012 10.00,"1,81464944","1,46663404","5,45354148"
19/01/2012 11.00,"1,79657912",,"6,40450563"
19/01/2012 12.00,"1,54301804","3,66658497","4,59347576"
19/01/2012 13.00,"1,5359593",,"3,69429216"
19/01/2012 14.00,"1,74298097","32,26594162","5,02004523"
19/01/2012 15.00,"1,35917754",,"3,10400909"
19/01/2012 16.00,"1,33788367","18,33292007","1,8324428"
19/01/2012 17.00,"1,58373828",,"2,11410807"
19/01/2012 18.00,"2,1921607","2,68882895","6,17058038"
19/01/2012 19.00,"1,56785118",,"4,81683032"
19/01/2012 20.00,"1,60575911","3,17770696","3,41721662"
19/01/2012 21.00,"1,70900491",,"3,60282623"
19/01/2012 22.00,"1,53487702","27,86602974","3,96557285"
19/01/2012 23.00,"1,35009404",,"2,32532677"
20/01/2012 0.00,"1,34828479","10,75531006","2,00886383"
20/01/2012 1.00,"1,45862893",,"2,19608539"
20/01/2012 2.00,"1,42785779","4,64434099","2,18783854"
20/01/2012 3.00,,,"2,22598519"
20/01/2012 4.00,"1,42446298","31,77705956","2,19524128"
20/01/2012 5.00,"1,2766769",,
20/01/2012 6.00,"1,23566075","2,68882895","1,58946218"
20/01/2012 7.00,"1,85301056",,"2,92267291"
20/01/2012 8.00,"2,22898751","3,66658497","4,49415148"
20/01/2012 9.00,"3,16631622",,"10,31958036"
20/01/2012 10.00,"2,64690447","4,88878012","13,05932751"
20/01/2012 11.00,"2,13254532",,"10,91725092"
20/01/2012 12.00,"1,49502237","4,64434099","4,65654095"
20/01/2012 13.00,"1,44761852",,"3,19535603"
20/01/2012 14.00,"1,58269561","3,42214608","3,74204845"
20/01/2012 15.00,"1,42536003",,"2,87625499"
20/01/2012 16.00,"1,37807384","3,42214608","2,08742098"
20/01/2012 17.00,"1,38094324",,"1,9125763"
20/01/2012 18.00,"1,62347527","27,37714958","3,13558491"
20/01/2012 19.00,"1,77762574",,"4,36512672"
20/01/2012 20.00,"1,7762289","23,46614075","4,90750604"
20/01/2012 21.00,"1,68480087",,"3,97346477"
20/01/2012 22.00,"1,45697696","18,57736015","3,53836572"
20/01/2012 23.00,"1,24944386",,"1,62688575"
21/01/2012 0.00,"1,1649767","26,64385033","1,30681958"
21/01/2012 1.00,"1,09720166",,"0,20706527"
21/01/2012 2.00,"1,11816118","23,46614075","0,69017891"
21/01/2012 3.00,"1,07618157",,"0,1796439"
21/01/2012 4.00,"1,08982838","22,73282051","0,19188349"
