"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10
07/01/2012 9.00,"4,65871228","9,19944078",
07/01/2012 10.00,"5,27585043","10,57358562","7,32600689"
07/01/2012 11.00,"4,14799987","10,26296018",
07/01/2012 12.00,"3,5360528","10,43286433","16,60560989"
07/01/2012 13.00,"4,04611513","10,99510131",
07/01/2012 14.00,"4,50296841","9,62160655","14,40781021"
07/01/2012 15.00,"3,44909504","8,6780575",
07/01/2012 16.00,"4,75735045","9,73055231","9,03540897"
07/01/2012 17.00,"7,66717927","13,86855051",
07/01/2012 18.00,"10,73729297","19,407278","8,30280876"
07/01/2012 19.00,"11,17078543","18,25556759",
07/01/2012 20.00,"12,25256253","18,28280403","16,11721039"
07/01/2012 21.00,"22,00929968","33,20708064",
07/01/2012 22.00,"12,16819744","21,31512896","13,91940975"
07/01/2012 23.00,"7,22200831","13,70383362",
08/01/2012 0.00,"3,26674378","6,66644994","14,65200996"
08/01/2012 1.00,"2,62754114","6,94983894",
08/01/2012 2.00,,,"12,21000957"
08/01/2012 3.00,"7,09352","9,60733921",
08/01/2012 4.00,"2,91631815","4,63863054","11,47741032"
08/01/2012 5.00,"1,48411734","3,82802094",
08/01/2012 6.00,"1,5413913","3,8406975","7,08180714"
08/01/2012 7.00,"6,36541319","11,40299974",
08/01/2012 8.00,"10,82554324","16,48973617","4,63980484"
08/01/2012 9.00,"12,63348646","19,11156999",
08/01/2012 10.00,"13,81324782","28,9523644","11,23320961"
08/01/2012 11.00,"8,82812655","17,21604187",
08/01/2012 12.00,"7,57308402","15,98975199","10,7448101"
08/01/2012 13.00,"13,34211764","22,45515896",
08/01/2012 14.00,"8,46731877","17,67127951","9,52380943"
08/01/2012 15.00,"5,63016889","11,84137928",
08/01/2012 16.00,"6,56204136","11,61311134","5,61660624"
08/01/2012 17.00,"10,98388934","15,90869084",
08/01/2012 18.00,"15,86907611","24,97389392","10,98900986"
08/01/2012 19.00,"15,56407387","23,27938392",
08/01/2012 20.00,"18,07675353","30,59626376","5,37240601"
08/01/2012 21.00,"14,65103078","25,85907344",
08/01/2012 22.00,"10,39206034","18,31976682","13,43101025"
08/01/2012 23.00,"5,98384109","10,9069084",
09/01/2012 0.00,"3,76512761","7,45954946","11,23320961"
09/01/2012 1.00,"2,2349368","4,43046537",
09/01/2012 2.00,"0,58858626","2,35076576","7,08180714"
09/01/2012 3.00,"2,00845658","5,4395119",
09/01/2012 4.00,"0,00843574","1,3099437","4,63980484"
09/01/2012 5.00,"0,09928825","1,81446697",
09/01/2012 6.00,"1,92020248","4,40063434","11,96580982"
09/01/2012 7.00,"8,22007231","14,7076929",
09/01/2012 8.00,"18,01511256","42,85593128","6,59340715"
09/01/2012 9.00,"25,55185328","69,48865728",
09/01/2012 10.00,"18,82563613","37,3716652","7,08180714"
09/01/2012 11.00,"19,26754904","39,82940736",
09/01/2012 12.00,"17,78213727","41,26065408","22,22220993"
09/01/2012 13.00,"12,08448243","23,65681272",
09/01/2012 14.00,"17,74970019","29,47244752","13,91940975"
09/01/2012 15.00,"20,35062056","31,72269944",
09/01/2012 16.00,"20,70298304","36,04548288","14,65200996"
09/01/2012 17.00,"20,6251264","26,64698952",
09/01/2012 18.00,"34,2242264","50,7687624","18,80340958"
09/01/2012 19.00,"43,64094112","60,9662232",
09/01/2012 20.00,"31,4967584","51,05669048","27,59461975"
09/01/2012 21.00,"26,82180368","48,29218704",
09/01/2012 22.00,"22,86394456","29,16960584","32,23442078"
09/01/2012 23.00,"7,87094494","11,26292854",
10/01/2012 0.00,"2,88127693","5,42783914","26,12940979"
10/01/2012 1.00,"2,30372291","4,4687264",
10/01/2012 2.00,,,"20,51280975"
10/01/2012 3.00,"9,48679717","11,40299974",
10/01/2012 4.00,"4,20964849","5,66907618","10,25640965"
10/01/2012 5.00,"2,42961664","4,16393639",
10/01/2012 6.00,"2,54707462","4,69699434","7,81440783"
10/01/2012 7.00,"6,91311706","15,51765434",
10/01/2012 8.00,"20,81265536","39,05319272","9,27960968"
10/01/2012 9.00,"29,16188136","80,33331096",
10/01/2012 10.00,"16,24286255","33,99562768","7,57020807"
10/01/2012 11.00,"17,84574186","35,63956528",
10/01/2012 12.00,"18,86131787","32,2803916","12,45421028"
10/01/2012 13.00,"21,17801944","37,00524952",
10/01/2012 14.00,"22,22669408","36,1985576","19,29179955"
10/01/2012 15.00,"14,7529117","24,05886808",
10/01/2012 16.00,"15,08970094","28,0360384","22,46640968"
10/01/2012 17.00,"19,38435312","31,88741824",
10/01/2012 18.00,"32,44289248","54,15256264","17,82661057"
10/01/2012 19.00,"28,08659168","50,05799552",
10/01/2012 20.00,"24,25331848","45,5192708","20,75702095"
10/01/2012 21.00,"22,94962128","40,91305248",
10/01/2012 22.00,"17,95929937","27,3505864","16,36141014"
10/01/2012 23.00,"9,89238208","12,99568618",
11/01/2012 0.00,"7,83525554","10,4030333","13,91940975"
11/01/2012 1.00,"5,00135033","7,7007865",
11/01/2012 2.00,"2,18302218","3,99338408","19,29179955"
11/01/2012 3.00,"2,20832941","4,66651515",
11/01/2012 4.00,"2,12202173","4,20284559","19,78022003"
11/01/2012 5.00,"1,1531597","3,02389683",
11/01/2012 6.00,"3,24857404","5,6035787","12,21000957"
11/01/2012 7.00,"8,02020139","14,22456874",
11/01/2012 8.00,"22,87629608","40,6432884","6,83760691"
11/01/2012 9.00,"26,2059676","55,67975352",
11/01/2012 10.00,"19,00927799","32,19542232","14,89620972"
11/01/2012 11.00,"19,79967776","33,75699096",
11/01/2012 12.00,"12,32393749","21,77683872","8,30280876"
11/01/2012 13.00,,"22,66328016",
11/01/2012 14.00,"17,96189204","30,42701352","5,61660624"
11/01/2012 15.00,"14,26296361","22,79886008",
11/01/2012 16.00,"18,97618701","28,63459","23,44322014"
11/01/2012 17.00,"33,68756624","45,59902032",
11/01/2012 18.00,"21,65238664","30,64685528","16,84980965"
11/01/2012 19.00,"30,00094344","48,65210192",
11/01/2012 20.00,"26,40714824","45,88501728","20,51280975"
11/01/2012 21.00,"20,64589072","34,1960244",
11/01/2012 22.00,"18,29220151","29,29864672","22,46640968"
11/01/2012 23.00,"12,49655285","16,59673742",
12/01/2012 0.00,"5,55424337","8,30712185","26,61782074"
12/01/2012 1.00,"2,39846825","4,64511414",
12/01/2012 2.00,,,"15,14041042"
