
Stat, Viale Romagna,,,,,
,NO2,NOX,CO,O3
05/01/2012 16.00,"13,07735535","19,64786496","0,39444454","66,2985582"
05/01/2012 17.00,"21,81071936","30,31288624","0,46354418","56,3896725"
05/01/2012 18.00,"25,9976552","33,28683016","0,54786455","53,2177821"
05/01/2012 19.00,"24,09238544","30,86021536","0,51175771","45,9982761"
05/01/2012 20.00,"27,0722948","32,23888208","0,48399692","47,54031135"
05/01/2012 21.00,"30,7829132","38,61480936","0,51223303","38,75309445"
05/01/2012 22.00,"26,405198","31,9094636","0,49861301","41,6087574"
05/01/2012 23.00,"15,1124155","24,10167776","0,40370978","55,76122755"
06/01/2012 0.00,"8,39982899","15,70117574","0,26617571","81,052461"
06/01/2012 1.00,"7,20448866","15,71025392","0,26116038","83,48646075"
06/01/2012 2.00,,,"0,24837684","81,30923745"
06/01/2012 3.00,"64,94679688","72,97557168",,"80,9902968"
06/01/2012 4.00,"31,83548832","37,98708064","0,20424664","76,99133925"
06/01/2012 5.00,"28,09114224","34,01574192","0,22494752",
06/01/2012 6.00,"23,4810808","26,9705764","0,20671993","62,5158387"
06/01/2012 7.00,"21,87043112","30,39070464","0,2280872","61,2346497"
06/01/2012 8.00,"24,01450968","30,51001344","0,26170677","59,316936"
06/01/2012 9.00,"19,62901264","24,16651368","0,23699945","67,3594593"
06/01/2012 10.00,"17,15526704","24,03294136","0,27919342","66,9094272"
06/01/2012 11.00,"18,49337259","21,45325184","0,27889168","65,272809"
06/01/2012 12.00,"17,88856493","25,6476636","0,28505337","65,33092335"
06/01/2012 13.00,"13,1578257","16,75172414","0,27607821","71,22734535"
06/01/2012 14.00,"12,02218947","16,1992135","0,31453136","73,54780965"
06/01/2012 15.00,"11,6535922","18,55841118","0,31319511","75,0506232"
06/01/2012 16.00,"13,01894758","19,39106424","0,32344944","75,0925182"
06/01/2012 17.00,"13,46411854","18,95528502","0,31198933","77,3264793"
06/01/2012 18.00,"13,50493782","18,51431282","0,37945332","72,5774616"
06/01/2012 19.00,"11,50433192","17,96439485","0,29445259","73,0693887"
06/01/2012 20.00,"15,8145669","20,99542344","0,30746447","72,3571737"
06/01/2012 21.00,"12,28954634","18,75944078","0,31229107","70,49350455"
06/01/2012 22.00,"13,22790814","20,53887608","0,33465208","67,50407685"
06/01/2012 23.00,"9,32001914","16,13566245","0,31203244","68,7136254"
07/01/2012 0.00,"9,04357262","15,67782831","0,29919181","70,7489244"
07/01/2012 1.00,"8,84889278","13,77516843","0,27424566","70,34348055"
07/01/2012 2.00,"8,77880651","16,82694987","0,27035456","67,6757067"
07/01/2012 3.00,"6,14282962","10,46528802","0,27674459","68,00546025"
07/01/2012 4.00,"6,98904258","11,28238314","0,26540564","66,81077445"
07/01/2012 5.00,"7,62240214","11,60922042","0,26458781","66,42019335"
07/01/2012 6.00,"6,26612686","12,38481174","0,27940894","64,8754848"
07/01/2012 7.00,"9,82359406","14,56761978","0,2799763","63,41995275"
07/01/2012 8.00,"8,27523351","13,78295027","0,28385342","64,08217305"
07/01/2012 9.00,"8,16621127","13,75182291","0,30414073","64,7903382"
07/01/2012 10.00,"10,1065299","15,51959884","0,30836968","64,6998051"
07/01/2012 11.00,"10,80607334","15,30170732","0,31957232","65,47552095"
07/01/2012 12.00,"10,63216738","18,40925798","0,32435464","68,93931975"
07/01/2012 13.00,"10,90082633","16,63240387","0,34133102","72,34905405"
07/01/2012 14.00,"7,33297697","12,50802294","0,34546677","74,81682915"
07/01/2012 15.00,"10,19348575","15,75435038","0,33193763","75,80203995"
07/01/2012 16.00,"9,59257283","16,42099594","0,34688924","73,49103195"
07/01/2012 17.00,"13,3538057","24,95638","0,36981061","69,61370955"
07/01/2012 18.00,"21,58489304","26,90184","0,41057047","65,7350106"
07/01/2012 19.00,"20,603712","27,56589672","0,4425835","62,95100805"
07/01/2012 20.00,"23,61996848","30,8407512","0,45137343","57,66002865"
07/01/2012 21.00,"35,39165536","38,82881952","0,52272502","45,9928896"
07/01/2012 22.00,"22,7711552","31,2051784","0,51888984","59,3439483"
07/01/2012 23.00,"16,31814564","22,68018224","0,46257607","68,06898105"
08/01/2012 0.00,"16,81393106","21,38321528","0,46882396","66,83511345"
08/01/2012 1.00,"16,38173876","23,12374712","0,42685717","71,0962539"
08/01/2012 2.00,,,"0,40919227","67,4986704"
08/01/2012 3.00,"65,22585328","76,2335432",,"47,7551928"
08/01/2012 4.00,"48,96350936","56,81525208","0,38962027","43,11021435"
08/01/2012 5.00,"30,22223832","36,76791296","0,35858933",
08/01/2012 6.00,"23,94313472","26,71117536","0,31195555","46,33209945"
08/01/2012 7.00,"26,2183","31,42306992","0,32893659","44,86170465"
08/01/2012 8.00,"27,7796392","37,26465056","0,33200636","39,1707078"
08/01/2012 9.00,"25,64204232","40,4189152","0,35949454","43,0669827"
08/01/2012 10.00,"25,30329328","35,40090944","0,40694732","50,72975775"
08/01/2012 11.00,"31,7900592","40,54860616","0,49698201","50,82164745"
08/01/2012 12.00,"26,28059296","35,54748336","0,45595071","60,69270795"
08/01/2012 13.00,"22,21826216","28,48673504","0,33204015","70,6583913"
08/01/2012 14.00,"20,02225368","27,87717032","0,33897889","73,4491569"
08/01/2012 15.00,"21,0929928","28,60346264","0,40888588","70,06102845"
08/01/2012 16.00,"21,73546304","28,42578048","0,39707744","68,91230745"
08/01/2012 17.00,"16,04428797","21,90719888","0,35217601","75,32902545"
08/01/2012 18.00,"26,31563992","30,27267688","0,41922991","56,6910372"
08/01/2012 19.00,"54,56253368","65,0160304","0,70011025","28,61446455"
08/01/2012 20.00,"64,95587888","78,86380512","0,79885215","25,429068"
08/01/2012 21.00,"59,93443152","74,0157188","1,0330987","29,64021375"
08/01/2012 22.00,"35,61490048","39,76004","0,76773384","38,10575685"
08/01/2012 23.00,"42,08868392","46,78706064","0,7923433","28,2090207"
09/01/2012 0.00,"26,3221216","35,0792728","0,64158181","38,0895375"
09/01/2012 1.00,"20,06120112","25,85647312","0,52029832","45,40769625"
09/01/2012 2.00,"17,67571726","22,5530916","0,45909738","43,6507995"
09/01/2012 3.00,"14,71007716","18,9449086","0,45426962","38,92474425"
09/01/2012 4.00,"11,47967477","13,17726309","0,39470666","38,55578895"
09/01/2012 5.00,"11,25384845","17,6349649","0,3447969","45,0238782"
09/01/2012 6.00,"19,18124136","24,01217704","0,36988168","39,735612"
09/01/2012 7.00,"46,25095496","53,87243552","0,43427239","22,38152595"
09/01/2012 8.00,"51,46710128","68,35704008","0,46090779","24,17355465"
09/01/2012 9.00,"66,06168408","118,29186456","0,80471327","21,93959355"
09/01/2012 10.00,"38,9049936","71,44641144","0,69696475","36,20831235"
09/01/2012 11.00,"29,03857648","43,86367","0,45064996","56,50859445"
09/01/2012 12.00,"15,81586898","29,26103768","0,38914612","60,99004275"
09/01/2012 13.00,"39,09967344","58,2276656","0,4759491","50,3337702"
09/01/2012 14.00,"31,74724952","46,08795696","0,44078008","48,6890523"
09/01/2012 15.00,"36,67137608","43,44865128","0,54314164","44,50763205"
09/01/2012 16.00,"33,5811252","43,5796424","0,45573519","52,78261275"
09/01/2012 17.00,"34,58569","44,33836224","0,57089777","40,9140984"
09/01/2012 18.00,"64,76381848","82,30339752","0,83837478","20,94221325"
09/01/2012 19.00,"62,8494476","74,16487392","0,68606035","26,6656488"
09/01/2012 20.00,"45,04004712","58,65436664","0,70907492","37,44624975"
09/01/2012 21.00,"64,97794336","81,94933336","0,79079268","23,18834385"
09/01/2012 22.00,"60,20308664","76,53703496","0,92276388","18,67852266"
09/01/2012 23.00,"34,20929368","42,36693728","0,5860684","44,86170465"
10/01/2012 0.00,"13,12537714","17,02538488","0,34920293","63,2280537"
10/01/2012 1.00,"9,04357262","14,46904853","0,32466919","66,8161809"
10/01/2012 2.00,,,"0,2972148","59,0142147"
10/01/2012 3.00,"66,91047824","71,40752136",,"40,61407035"
10/01/2012 4.00,"34,12233592","45,22289168","0,2929975","45,44013495"
10/01/2012 5.00,"23,33963104","26,40898376","0,27912701",
10/01/2012 6.00,"22,039146","27,48807832","0,27675857","56,18153415"
10/01/2012 7.00,"38,5623632","45,36556512","0,36252121","33,39456435"
10/01/2012 8.00,"60,38868448","92,71291824","0,5295659","12,58479716"
10/01/2012 9.00,"72,02280296","166,23193768","1,20670817","12,47802276"
10/01/2012 10.00,"49,36715168","78,0895216","0,48282959","30,6943518"
10/01/2012 11.00,"36,74015072","63,58285256","0,4068879","42,36556065"
10/01/2012 12.00,"29,17744504","42,68991232","0,36239189","52,3596129"
10/01/2012 13.00,"27,57327704","41,77163608","0,3702603","59,43585795"
10/01/2012 14.00,"27,1216244","43,76896864","0,43540361","55,24767465"
10/01/2012 15.00,"16,29088434","23,10430208","0,31780851","60,11970405"
10/01/2012 16.00,"16,20652882","24,761834","0,32539033","61,37519745"
10/01/2012 17.00,"20,85678432","29,43741968","0,37863083","55,26930045"
10/01/2012 18.00,"28,62715232","38,83400104","0,44475157","51,1824831"
10/01/2012 19.00,"27,58495936","38,43064552","0,48425089","49,09988265"
10/01/2012 20.00,"32,32868872","39,28924824","0,50027547","44,500869"
10/01/2012 21.00,"33,89132808","45,51083888","0,54322086","41,46278325"
10/01/2012 22.00,"22,030064","27,45435064","0,38237863","53,4840348"
10/01/2012 23.00,"14,38820917","21,223678","0,34809035","57,13973265"
11/01/2012 0.00,"11,4005065","16,67520208","0,31697553","57,60193425"
11/01/2012 1.00,"13,37586826","19,53243752","0,31232369","54,3394908"
11/01/2012 2.00,"10,96960862","13,95674342","0,29907065","57,9911388"
11/01/2012 3.00,"8,48029742","12,30958602","0,2657598","59,4088257"
11/01/2012 4.00,"8,88393592","11,16565362","0,26986643","56,3653335"
11/01/2012 5.00,"9,53287063","14,73622567","0,27273815","57,33839475"
11/01/2012 6.00,"9,11884998","16,78674242","0,26379212","55,916658"
11/01/2012 7.00,"12,05333595","21,29631488","0,28996734","50,49865695"
11/01/2012 8.00,"21,16178656","30,74086832","0,32564896","43,2332061"
11/01/2012 9.00,"34,51299576","55,69984864","0,4959673","36,24075105"
11/01/2012 10.00,"16,33371697","29,37646512","0,38177516","51,33520035"
11/01/2012 11.00,"14,55044237","23,89804976","0,31729125","56,70861315"
11/01/2012 12.00,"14,1701666","21,86178888","0,3339624","58,75608165"
11/01/2012 13.00,"17,73541755","26,68782984","0,36784759","57,0356535"
11/01/2012 14.00,"22,376614","36,72382224","0,41804511","58,9493373"
11/01/2012 15.00,"16,60756317","26,68782984","0,33253993","66,4175001"
11/01/2012 16.00,"19,2474348","30,01975752","0,35541354","62,98073355"
11/01/2012 17.00,"22,8814776","29,41667448","0,38741842","58,73309925"
11/01/2012 18.00,"32,64925464","38,89107424","0,48735212","48,1187217"
11/01/2012 19.00,"30,25986648","36,2906204","0,44035719","52,9569558"
11/01/2012 20.00,"21,25394496","26,12753736","0,39013171","56,12746965"
11/01/2012 21.00,"25,9522452","33,51900432","0,42691775","48,79851795"
11/01/2012 22.00,"20,3467392","26,44789296","0,41317774","51,8865984"
11/01/2012 23.00,"13,5705481","18,37942886","0,36364077","56,1585717"
12/01/2012 0.00,"11,89629192","17,07077958","0,34369714","56,91537495"
12/01/2012 1.00,"9,70029682","15,15125778","0,3060921","57,5735454"
12/01/2012 2.00,,,"0,29609873","59,76156165"
12/01/2012 3.00,"47,04655728","57,15767216",,"59,13313665"
12/01/2012 4.00,"28,07165896","31,27135272","0,2612396","58,55470635"
12/01/2012 5.00,"19,5991472","23,7592768","0,27364219",
12/01/2012 6.00,"22,48563624","28,5840176","0,27957088","52,95964905"
12/01/2012 7.00,"28,51813008","33,35558568","0,29718451","49,27827555"
12/01/2012 8.00,"41,07375608","50,8439996","0,343908","43,3683474"
12/01/2012 9.00,"51,543696","76,82370112","0,51564764","43,82514255"
12/01/2012 10.00,"25,96780888","37,805498","0,34420974","62,4428616"
12/01/2012 11.00,"20,39995016","28,41411728","0,31402226","69,32718765"
12/01/2012 12.00,"21,80035632","28,61514496","0,31807063","71,4665658"
12/01/2012 13.00,"22,1403864","29,95622176","0,37856908","69,24339765"
12/01/2012 14.00,"25,27086576","40,12968696","0,40010644","69,78938925"
12/01/2012 15.00,"19,50700792","28,281826","0,33309913","74,51139465"
12/01/2012 16.00,"20,63485848","31,62539776","0,34980873","72,2071497"
12/01/2012 17.00,"30,39225336","37,3411688","0,48580384","57,8992491"
12/01/2012 18.00,"65,70087056","71,16628432","0,8041762","30,71192775"
12/01/2012 19.00,"77,99042264","120,21397904","1,04727209","12,69561542"
12/01/2012 20.00,"78,62897328","129,80380624","1,43101494","16,47834689"
12/01/2012 21.00,"80,05664456","152,34133416","1,8625589","14,19303648"
12/01/2012 22.00,"82,50702552","202,5068032","2,09049581","13,80921245"
12/01/2012 23.00,"60,77026232","103,10557512","1,8569168","19,72591362"
13/01/2012 0.00,"58,92078472","78,61610552","1,29506177","11,67526469"
13/01/2012 1.00,"58,8909384","77,98447632","1,39772623","14,98768887"
13/01/2012 2.00,"48,95442736","78,17772216","1,44785268","11,89689722"
13/01/2012 3.00,"39,7135784","50,46787096","1,21276617","11,4347036"
13/01/2012 4.00,"31,88481792","43,14384024","1,14222775","11,75634947"
13/01/2012 5.00,"27,70176344","34,72778984","0,90218998","16,46078091"
13/01/2012 6.00,"23,47589928","29,81872984","0,66189242","27,27111135"
13/01/2012 7.00,"33,33325352","36,59153096","0,50242722","25,10605755"
13/01/2012 8.00,"53,70593856","71,349148","0,61180907","14,63766213"
13/01/2012 9.00,"58,58333584","113,25439464","0,97604399","14,12005539"
13/01/2012 10.00,"38,20675032","64,4894656","0,65073871","33,318894"
13/01/2012 11.00,"31,4630116","46,83503272","0,43821825","50,9851776"
13/01/2012 12.00,"21,34608424","30,39588616","0,41216535","64,4011137"
13/01/2012 13.00,"15,56018869","22,9421836","0,37289087","76,37775705"
13/01/2012 14.00,"16,45312519","26,32208336","0,35671252","82,1228184"
13/01/2012 15.00,,,"0,30213693","80,28145335"
13/01/2012 16.00,,,"0,33073069","75,54931335"
13/01/2012 17.00,,,"0,46987013","47,70653475"
13/01/2012 18.00,,,"0,53573224","48,92436255"
13/01/2012 19.00,"82,57840048","86,25397192","0,71055447","33,63919125"
13/01/2012 20.00,"79,71399504","86,71958216","0,70521528","18,37039292"
13/01/2012 21.00,"96,17750048","122,80531264","1,14782674","13,48891919"
13/01/2012 22.00,"92,75890184","129,66633344","1,35151883","13,57811564"
13/01/2012 23.00,"78,6653204","108,58660992","1,41736347","12,18475776"
14/01/2012 0.00,"70,8183768","94,1123684","1,33954729","12,421269"
14/01/2012 1.00,"68,68858088","85,55620664","1,34734114","13,29160571"
14/01/2012 2.00,"55,5203692","63,29754392","1,23894954","18,90016716"
14/01/2012 3.00,"34,20151184","37,36713376",,"32,96751465"
14/01/2012 4.00,"27,88866144","31,1131156","0,80703511","35,6744703"
14/01/2012 5.00,"22,43500648","25,1898352","0,71420092",
14/01/2012 6.00,"19,587484","22,13027192","0,56256336","41,5087281"
14/01/2012 7.00,"13,29280525","16,37171223","0,27767076","66,18099285"
14/01/2012 8.00,"13,18378301","16,19143166","0,25290752","67,78652895"
14/01/2012 9.00,"24,83867728","36,45793952","0,35463066","58,85607105"
14/01/2012 10.00,"22,2935376","31,55147984","0,31145809","62,65502985"
14/01/2012 11.00,"18,78669825","24,38830568","0,31408633","64,19975835"
14/01/2012 12.00,"14,98522543","20,7061952","0,3078396","69,13123875"
14/01/2012 13.00,"19,2565168","27,92516152","0,32972413","69,27312315"
14/01/2012 14.00,"23,08913992","37,28931536","0,39210871","69,10554315"
14/01/2012 15.00,"10,61399","15,0838158","0,31516279","78,60497505"
14/01/2012 16.00,"15,05790438","19,56484592","0,36448773","73,0774884"
14/01/2012 17.00,"19,29414496","24,1120408","0,41669953","70,3962084"
14/01/2012 18.00,"26,96587288","31,7538268","0,45676272","63,10641855"
14/01/2012 19.00,"28,98148416","34,58251608","0,43375863","61,74415275"
14/01/2012 20.00,"32,38968152","39,6316492","0,45021425","58,6344465"
14/01/2012 21.00,"34,80631568","42,38902088","0,48519454","55,5598722"
14/01/2012 22.00,"28,0859416","34,0105604","0,44538999","60,97651665"
14/01/2012 23.00,"30,07946928","34,91065352","0,57850289","53,99082465"
15/01/2012 0.00,"46,33661256","51,45098312","0,84093778","28,13199375"
15/01/2012 1.00,"42,08738376","47,78571736","0,7986774","26,61699075"
15/01/2012 2.00,"12,17533685","15,35747654","0,28735541","70,36646295"
15/01/2012 3.00,"13,38495026","16,56495998","0,36643328","63,9713508"
15/01/2012 4.00,"17,14877771","22,74373712","0,33278225","53,93811675"
15/01/2012 5.00,"13,8236319","16,8956901","0,36953567","55,15307175"
15/01/2012 6.00,"5,40174416","8,17353423","0,26339718","56,5248138"
15/01/2012 7.00,"25,81077632","30,03404016","0,37530126","32,0768868"
15/01/2012 8.00,"25,1683252","33,00798408","0,37586046","43,2656448"
15/01/2012 9.00,"22,28055512","32,48271944","0,41437303","44,57115285"
15/01/2012 10.00,"23,19166136","36,35807576","0,4446141","51,32845725"
15/01/2012 11.00,"6,70999766","11,26681946","0,30608045","76,18990785"
15/01/2012 12.00,"9,87810518","16,05524946","0,33166269","71,91929115"
15/01/2012 13.00,"8,63085022","14,6298745","0,32153884","76,8480783"
15/01/2012 14.00,"7,37580768","12,2992115","0,32700968","80,9403021"
15/01/2012 15.00,"5,47053218","9,52368538","0,32670794","81,5403582"
15/01/2012 16.00,"6,29597891","10,1890327","0,34768726","80,1172449"
15/01/2012 17.00,"9,68602183","13,54560224","0,38787976","74,6938374"
15/01/2012 18.00,"23,44085232","27,67872384","0,49131196","57,4708428"
15/01/2012 19.00,"38,09122728","43,501824","0,53809486","46,2780549"
15/01/2012 20.00,"35,378692","41,38516352","0,48898545","49,45938165"
15/01/2012 21.00,"42,90505056","49,9516692","0,6803833","39,274767"
15/01/2012 22.00,"32,11454472","37,35935192","0,65966261","45,3225696"
15/01/2012 23.00,"24,07292128","28,39595328","0,62640652","44,39140335"
16/01/2012 0.00,"25,95872688","29,80058496","0,61662751","41,1532989"
16/01/2012 1.00,"25,63556064","29,39462912","0,58854053","42,1493226"
16/01/2012 2.00,"11,18246393","14,44311034","0,4104097","58,4344278"
16/01/2012 3.00,"10,45175871","13,90745971",,"54,007044"
16/01/2012 4.00,"7,60553066","10,99964231","0,37719671","55,73014545"
16/01/2012 5.00,"6,46210686","9,67024401","0,34094774",
16/01/2012 6.00,"8,79308342","11,81025192","0,30628899","63,42537915"
16/01/2012 7.00,"20,65432264","25,04716176","0,32933735","54,3503037"
16/01/2012 8.00,"23,1384504","30,36865928","0,3771105","57,70870665"
16/01/2012 9.00,"44,54684672","74,30496616","0,56373069","43,7156769"
16/01/2012 10.00,"17,9560547","28,32591672","0,38502202","64,6322145"
16/01/2012 11.00,"10,83333464","19,0875763","0,36369436","71,4516831"
16/01/2012 12.00,"9,89887141","18,12392448","0,36055585","73,941084"
16/01/2012 13.00,"11,90278316","21,18736912","0,37315416","71,8503639"
16/01/2012 14.00,"18,36358794","31,95355432","0,47691372","68,97040185"
16/01/2012 15.00,,,"0,34529086","73,44239385"
16/01/2012 16.00,,,"0,380722","71,1178797"
16/01/2012 17.00,"38,16652184","44,845482","0,44186819","61,1319471"
16/01/2012 18.00,"45,92520752","53,4029248","0,57138474","47,15380005"
16/01/2012 19.00,"46,85057728","54,55593728","0,60131242","46,0361412"
16/01/2012 20.00,"41,8991856","50,42248008","0,62418836","46,9159362"
16/01/2012 21.00,"33,9211744","40,45910544","0,60419347","52,60421985"
16/01/2012 22.00,"25,87955096","30,41014968","0,59731414","57,57085215"
