"NetC","ENEL Brindisi"
"Stat","Costa Morena Diga"
,PM10

,,,

22/01/2012 6.00,"32,23712"
22/01/2012 7.00,
22/01/2012 8.00,"23,88109"
22/01/2012 9.00,
22/01/2012 10.00,"25,00609"
22/01/2012 11.00,
22/01/2012 12.00,"31,04437"
22/01/2012 13.00,
22/01/2012 14.00,"23,85907"
22/01/2012 15.00,
22/01/2012 16.00,"16,21375"
22/01/2012 17.00,
22/01/2012 18.00,"26,70833"
22/01/2012 19.00,
22/01/2012 20.00,"34,99525"
22/01/2012 21.00,
22/01/2012 22.00,"32,03624"
22/01/2012 23.00,
23/01/2012 0.00,"43,27439"
23/01/2012 1.00,
23/01/2012 2.00,"45,45764"
23/01/2012 3.00,
23/01/2012 4.00,"42,84417"
23/01/2012 5.00,
23/01/2012 6.00,"28,49187"
23/01/2012 7.00,
23/01/2012 8.00,"27,07622"
23/01/2012 9.00,
23/01/2012 10.00,"29,27611"
23/01/2012 11.00,
23/01/2012 12.00,"28,54978"
23/01/2012 13.00,
23/01/2012 14.00,"18,52776"
23/01/2012 15.00,
23/01/2012 16.00,"13,62906"
23/01/2012 17.00,
23/01/2012 18.00,"18,73983"
23/01/2012 19.00,
23/01/2012 20.00,"17,53352"
23/01/2012 21.00,
23/01/2012 22.00,"27,70764"
23/01/2012 23.00,
24/01/2012 0.00,"30,62398"
24/01/2012 1.00,
24/01/2012 2.00,"40,14397"
24/01/2012 3.00,
24/01/2012 4.00,"47,43021"
24/01/2012 5.00,
24/01/2012 6.00,"45,0176"
24/01/2012 7.00,
24/01/2012 8.00,"52,50474"
24/01/2012 9.00,
24/01/2012 10.00,"44,61856"
24/01/2012 11.00,
24/01/2012 12.00,"44,55284"
24/01/2012 13.00,
24/01/2012 14.00,"32,19715"
24/01/2012 15.00,
24/01/2012 16.00,"27,15683"
24/01/2012 17.00,
24/01/2012 18.00,"33,92174"
24/01/2012 19.00,
24/01/2012 20.00,"37,24255"
24/01/2012 21.00,
24/01/2012 22.00,"31,06131"
24/01/2012 23.00,
25/01/2012 0.00,"29,15718"
25/01/2012 1.00,
25/01/2012 2.00,"24,04945"
25/01/2012 3.00,
25/01/2012 4.00,"16,42783"
25/01/2012 5.00,
25/01/2012 6.00,"12,76727"
25/01/2012 7.00,
25/01/2012 8.00,"8,227982"
25/01/2012 9.00,
25/01/2012 10.00,"8,086043"
25/01/2012 11.00,
25/01/2012 12.00,"10,33739"
25/01/2012 13.00,
25/01/2012 14.00,"12,05589"
25/01/2012 15.00,
25/01/2012 16.00,"17,48374"
25/01/2012 17.00,
25/01/2012 18.00,"24,45359"
25/01/2012 19.00,
25/01/2012 20.00,"30,6399"
25/01/2012 21.00,
25/01/2012 22.00,"26,42581"
25/01/2012 23.00,
26/01/2012 0.00,"18,09552"
26/01/2012 1.00,
26/01/2012 2.00,"11,92987"
26/01/2012 3.00,
26/01/2012 4.00,"10,53624"
26/01/2012 5.00,
26/01/2012 6.00,"9,953591"
26/01/2012 7.00,
26/01/2012 8.00,"23,43394"
26/01/2012 9.00,
26/01/2012 10.00,"20,35195"
26/01/2012 11.00,
26/01/2012 12.00,"15,79742"
26/01/2012 13.00,
26/01/2012 14.00,"18,78047"
26/01/2012 15.00,
26/01/2012 16.00,"15,00169"
26/01/2012 17.00,
26/01/2012 18.00,"18,33536"
26/01/2012 19.00,
26/01/2012 20.00,"24,27032"
26/01/2012 21.00,
26/01/2012 22.00,"18,46036"
26/01/2012 23.00,
27/01/2012 0.00,"13,69681"
27/01/2012 1.00,
27/01/2012 2.00,"17,24321"
27/01/2012 3.00,
