"NetC","Provincia di TARANTO","","","","","",""
"Stat","MANDURIA","","","","","",""
,NO2,NOX,CO,O3,PM10
10/01/2012 3.00,"12,009738","19,162141",,"31,990624",
10/01/2012 4.00,"10,283038","17,227397","0,387862",,"38,827831"
10/01/2012 5.00,"9,229168","16,222487","0,355888","35,375581",
10/01/2012 6.00,"19,253915","41,018461","0,41706","28,141211","22,954821"
10/01/2012 7.00,"22,213079","40,855079","0,494503","24,272506",
10/01/2012 8.00,"32,72843","59,877069","0,66011","19,096407","11,96581"
10/01/2012 9.00,"47,7526","109,003536","1,144767","14,74225",
10/01/2012 10.00,"31,178774","70,168642","0,76679","28,435055","7,326007"
10/01/2012 11.00,"31,261831","71,4549","0,65281","38,102766",
10/01/2012 12.00,"27,412343","63,123896","0,629999","43,680366","19,0476"
10/01/2012 13.00,"28,131371","66,062106","0,692425","45,53346",
10/01/2012 14.00,"25,901633","59,201505","0,651328","48,198363","10,50061"
10/01/2012 15.00,"18,836008","38,618345","0,58685","51,19571",
10/01/2012 16.00,"27,047649","52,814163","0,727896","43,891594","9,76801"
10/01/2012 17.00,"37,112644","66,825851","0,946692","34,047188",
10/01/2012 18.00,"50,733809","90,43408","1,418156","24,258283","17,3382"
10/01/2012 19.00,"48,122475","77,990078","1,384434","19,596076",
10/01/2012 20.00,"44,613038","71,661071","1,332235","17,444384","38,58363"
10/01/2012 21.00,"47,329493","75,866152","1,56639","14,810632",
10/01/2012 22.00,"38,292408","57,094442","1,383598","13,017101","52,991451"
10/01/2012 23.00,"31,896499","46,823616","1,224643","10,632504",
11/01/2012 0.00,"22,419424","34,164341","0,967069","15,844504","66,666649"
11/01/2012 1.00,"18,327243","28,06097","0,868526","19,044956",
11/01/2012 2.00,,,"0,538072","26,44993","48,84005"
11/01/2012 3.00,"9,853446","16,787831",,"25,554174",
11/01/2012 4.00,"8,909893","15,225357","0,457007",,"30,52503"
11/01/2012 5.00,"8,658105","15,405593","0,449192","32,308507",
11/01/2012 6.00,"14,475159","24,558682","0,513688","34,229991","17,3382"
11/01/2012 7.00,"22,372713","34,11505","0,539789","28,145281",
11/01/2012 8.00,"32,210584","63,851297","0,710777","24,112728","9,27961"
11/01/2012 9.00,"50,533929","118,0503","1,098016","14,069929",
11/01/2012 10.00,"35,404638","81,728326","0,829601","28,729577","12,94261"
11/01/2012 11.00,"30,115815","70,915487","0,735514","40,11971",
11/01/2012 12.00,"26,237764","60,837868","0,70099","48,468525","17,826611"
11/01/2012 13.00,"33,154116","75,053131","0,730165","47,22544",
11/01/2012 14.00,"33,734275","72,388509","0,775235","46,578163","11,96581"
11/01/2012 15.00,"21,300674","38,860806","0,634787","51,991255",
11/01/2012 16.00,"23,804266","42,504447","0,758656","50,422509","10,50061"
11/01/2012 17.00,"34,345578","61,190577","0,953167","39,594986",
11/01/2012 18.00,"51,931752","87,589216","1,378987","28,249538","19,0476"
11/01/2012 19.00,"60,994785","102,163664","1,593379","21,600823",
11/01/2012 20.00,"68,334247","117,711894","1,644254","16,06116","30,28083"
11/01/2012 21.00,"66,613276","107,868958","1,945827","19,506703",
