"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
04/01/2012 21.00,"4,035659","49,217898","90,372514","2,081096","4,862226"
04/01/2012 22.00,"3,515513","44,032251","69,732456","2,300782","4,386066"
04/01/2012 23.00,"2,341568","36,652543","57,041573","2,944628","4,33125"
05/01/2012 0.00,"1,285921","30,951648","48,705274","5,83349","3,615486"
05/01/2012 1.00,"1,758208","24,762082","43,888314","1,574975","3,250179"
05/01/2012 2.00,"1,486394","11,155852","14,882784","15,885782","1,880484"
05/01/2012 3.00,"0,867816","10,580251","15,338022","18,792383","1,313811"
05/01/2012 4.00,"0,662827","8,199956","11,600788","19,425247","1,143616"
05/01/2012 5.00,"0,419911","5,844319","8,178073","35,234135","1,108784"
05/01/2012 6.00,"0,390111","12,607527","20,834586","34,024166","0,954251"
05/01/2012 7.00,"0,854271","26,507069","38,789889","13,995645","2,630318"
05/01/2012 8.00,"1,048422","27,237128","51,878983","13,988878","1,786055"
05/01/2012 9.00,,"39,33785","100,63745","4,10896","3,653471"
05/01/2012 10.00,"0,39282","30,943865","50,015223","11,914543","2,634335"
05/01/2012 11.00,"0,858785","50,025814","79,108312","10,375903","2,216145"
05/01/2012 12.00,"0,067727","26,578463","41,195778","17,501311","1,910994"
05/01/2012 13.00,"0,717009","30,683623","50,251929","18,479751","3,255824"
05/01/2012 14.00,"0,060503","25,324725","39,990914","22,371551","2,280368"
05/01/2012 15.00,"0,049667","18,509595","25,753358","35,374382","1,888111"
05/01/2012 16.00,"0,465063","28,305285","40,362491","32,100228","2,114953"
05/01/2012 17.00,"0,695336","27,564194","37,302908","26,68921","2,724492"
05/01/2012 18.00,"0,864204","36,490958","53,465829","19,950797","2,90801"
05/01/2012 19.00,"0,374759","28,021697","35,383414","26,292086","3,029541"
05/01/2012 20.00,"0,953604","23,423338","30,831017","33,1167","4,027523"
05/01/2012 21.00,"0,506602","23,101452","32,961941","37,207929","2,101274"
05/01/2012 22.00,"0,721524","24,623213","32,611129","33,410744","2,107529"
05/01/2012 23.00,"1,418667","12,022189","15,657076","45,718197","1,927723"
06/01/2012 0.00,"2,317186","18,127378","21,78982","44,297","1,334965"
06/01/2012 1.00,"1,484588","9,61853","12,403616","49,911648","1,344423"
06/01/2012 2.00,,"8,557519","10,696799","53,395356","0,741647"
06/01/2012 3.00,"1,135114",,,"47,929395","0,80221"
06/01/2012 4.00,"1,83948","5,883905","7,401834",,"0,869077"
06/01/2012 5.00,"1,480073","3,989659","5,148341","40,881739","1,044713"
06/01/2012 6.00,"1,363581","1,887756","2,935702","52,654335","0,769716"
06/01/2012 7.00,"1,379836","2,026628","2,925975","58,979581","0,596776"
06/01/2012 8.00,"1,75008","2,242074","2,914303","71,494035","0,620573"
