"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
02/06/2012 9.00,"2,921505","21,640053","14,954531","70,075973","1,379611"
02/06/2012 10.00,"3,594101","16,105938","11,27737","72,713939","1,809904"
02/06/2012 11.00,"2,032233","13,763283","9,835269","76,145882","1,356678"
02/06/2012 12.00,"1,496865","14,609488","10,336882","79,525465","1,228587"
02/06/2012 13.00,"3,024426","13,226606","9,23699","86,863261","1,309642"
02/06/2012 14.00,"1,676525","4,937107","3,483499","85,964512","0,764123"
02/06/2012 15.00,"1,020179","5,743732","3,971551","83,991316","0,60125"
02/06/2012 16.00,"0,976845","6,62434","4,520987","85,292133","0,596623"
02/06/2012 17.00,"1,485128","10,21685","6,983281","80,829661","0,785276"
02/06/2012 18.00,"1,427348","11,974167","7,712811","81,850046","0,775564"
02/06/2012 19.00,"1,681942","21,116356","12,846651","77,611409","1,21084"
02/06/2012 20.00,"2,266965","40,361211","24,931887","62,867416","1,633505"
02/06/2012 21.00,"2,812264","34,559072","20,874871","55,40969","2,240807"
02/06/2012 22.00,"1,887784","20,823706","11,940763","54,699308","1,45492"
02/06/2012 23.00,"1,141303","10,135118","6,012271","63,990601","0,844212"
03/06/2012 0.00,"1,452627","9,440071","5,431969","64,432631","0,729392"
03/06/2012 1.00,"1,62687","13,986513","8,055363","56,652235","0,908791"
03/06/2012 2.00,"1,63319","8,016306","4,704134","61,387529","0,932538"
03/06/2012 3.00,"1,432766","7,352447","4,208283","63,478967","0,637201"
03/06/2012 4.00,"1,904034","10,358962","5,926123","53,48128","1,126633"
03/06/2012 5.00,"1,681039","10,85021","6,388057","51,629723","0,845127"
03/06/2012 6.00,"1,618745","8,692499","5,420097","50,340733","1,21801"
03/06/2012 7.00,"2,307592","14,361602","9,226476","62,320908","0,664152"
03/06/2012 8.00,"8,778058","23,9269","16,117502","51,785153","2,902772"
03/06/2012 9.00,"10,246031","22,50833","16,175162","57,314454","1,70261"
03/06/2012 10.00,"6,767491","13,766528","9,964487","67,742961","1,711764"
03/06/2012 11.00,"5,210137","11,654885","8,457265","70,548148","1,24613"
03/06/2012 12.00,"7,150285","17,076751","12,202258","73,681097","1,440987"
03/06/2012 13.00,"9,913797","18,51349","13,036928","74,278278","1,726764"
03/06/2012 14.00,"8,538812","9,193477","6,361262","77,390101","1,287471"
03/06/2012 15.00,"3,876682","6,926093","4,859807","76,114634","0,85311"
03/06/2012 16.00,"2,660592","5,609404","4,084829","74,258849","0,818736"
03/06/2012 17.00,"1,651246","7,482881","5,237291","71,473091","0,762394"
03/06/2012 18.00,"1,946467","8,609434","5,667006","76,351147","0,642591"
03/06/2012 19.00,"1,967231","16,178616","10,061139","74,992888","1,032255"
03/06/2012 20.00,"3,616672","31,734266","18,936596","67,831636","1,534704"
03/06/2012 21.00,"3,715078","22,071611","12,650287","65,096548","1,551942"
03/06/2012 22.00,"1,875144","13,259704","7,725021","69,704323","0,86206"
03/06/2012 23.00,"1,968134","9,849551","5,713469","68,858779","0,666186"
04/06/2012 0.00,"1,823683","6,539977","3,897614","64,291551","0,576283"
04/06/2012 1.00,"2,072861","7,816433","4,390413","57,490991","0,402223"
04/06/2012 2.00,,"6,235627","3,553368","55,515283","0,370086"
04/06/2012 3.00,"2,932338",,,"53,8732","0,393579"
04/06/2012 4.00,"3,339507","12,218812","6,921214","56,230729","0,704578"
04/06/2012 5.00,"3,232976","10,914455","6,195077","60,407703","0,730308"
04/06/2012 6.00,"4,700951","26,793257","15,902478","52,376433","1,157448"
04/06/2012 7.00,"6,213164","29,187827","21,86217","55,850624","1,322914"
04/06/2012 8.00,"8,03775","32,028887","21,875058","60,27254","1,569994"
04/06/2012 9.00,"13,388723","32,249511","22,529287","63,449419","1,588808"
04/06/2012 10.00,"10,863553","25,845153","17,999497","72,902287","1,733527"
04/06/2012 11.00,"9,271896","21,832784","15,215344","79,981605","1,645252"
04/06/2012 12.00,"6,183371","19,684154","14,141899","78,687531","1,443428"
04/06/2012 13.00,"4,082523","19,725052","14,471902","74,515644","1,336897"
04/06/2012 14.00,"3,659104","11,488106","7,91936","79,540694","0,693594"
04/06/2012 15.00,"3,688897","16,458309","10,733352","73,634636","0,686373"
04/06/2012 16.00,"3,550766","20,055369","14,585179","69,802299","0,858806"
04/06/2012 17.00,"3,881196","20,60046","13,697602","72,618483","0,866077"
04/06/2012 18.00,"4,728938","34,67913","23,244585","72,296642","1,60986"
04/06/2012 19.00,"4,066273","41,49296","26,255622","66,353438","1,987523"
04/06/2012 20.00,"3,438818","35,901088","21,901844","57,119326","2,255909"
04/06/2012 21.00,"2,273285","21,67185","12,984018","59,318891","1,189025"
04/06/2012 22.00,"2,20106","12,948213","7,644981","61,318259","0,804955"
04/06/2012 23.00,"2,564893","9,10068","5,124691","61,973736","0,542264"
05/06/2012 0.00,"3,107485","14,356412","8,330419","47,959562","0,724765"
05/06/2012 1.00,"2,6633","5,499734","3,317991","53,076655","0,638015"
05/06/2012 2.00,"2,947687","1,881265","1,120581","61,316585","0,400088"
05/06/2012 3.00,"2,229047","1,881265","1,154498","68,512471","0,273319"
05/06/2012 4.00,"1,787571","1,171978","0,790918","73,023085","0,254555"
05/06/2012 5.00,"1,803821","1,253096","0,847557","78,468757","0,211739"
05/06/2012 6.00,"2,328356","15,544605","11,109823","69,84876","0,326813"
05/06/2012 7.00,"2,982896","26,367549","23,093651","45,993988","1,663609"
05/06/2012 8.00,"2,470099","13,122782","9,301771","62,157876","0,815125"
05/06/2012 9.00,"3,025329","8,879391","6,563062","69,238891","0,770123"
05/06/2012 10.00,"2,539615","9,064989","6,674646","71,847276","0,467261"
05/06/2012 11.00,"3,105679","8,534806","6,475221","74,966693","0,526043"
05/06/2012 12.00,"2,599201","17,018343","12,625867","71,329492","0,837805"
05/06/2012 13.00,"3,17971","12,241526","8,834411","76,353674","1,208654"
05/06/2012 14.00,"2,741845","9,467977","6,47963","79,641196","0,414783"
05/06/2012 15.00,"2,559477","4,569808","3,146376","86,220448","0,417733"
05/06/2012 16.00,"2,768027","8,568553","5,754508","84,05468","0,325491"
05/06/2012 17.00,"3,432498","17,113094","11,499173","74,80199","0,815024"
05/06/2012 18.00,"3,538127","25,872418","18,137873","70,765225","1,250351"
05/06/2012 19.00,"3,502014","28,795236","18,341369","69,991506","1,620742"
05/06/2012 20.00,"3,399093","10,05786","5,496071","81,425169","0,888299"
05/06/2012 21.00,"2,753581","12,826212","7,073497","69,069097","0,575927"
05/06/2012 22.00,"2,119806","6,122063","3,518774","69,549727","0,593521"
05/06/2012 23.00,"1,445405","3,602892","2,149249","75,031754","0,494618"
06/06/2012 0.00,"1,080668","4,539956","2,587781","67,273298","0,374103"
06/06/2012 1.00,"0,721348","3,889073","2,288305","68,0842","0,376544"
06/06/2012 2.00,,"2,752787","1,703934","68,585089","0,361798"
06/06/2012 3.00,"0,970525",,,"66,911784","0,322542"
06/06/2012 4.00,"1,03643","3,259606","1,897593","60,607901","0,343339"
06/06/2012 5.00,"1,15831","8,039669","4,916108","56,06347","0,429021"
06/06/2012 6.00,"1,098724","10,468633","6,206608","54,309066","0,646303"
06/06/2012 7.00,"1,125809","11,054623","7,101986","53,677231","0,527264"
06/06/2012 8.00,"1,16463","15,475173","10,894119","51,651687","0,894248"
06/06/2012 9.00,"1,078862","6,242116","4,191326","66,208987","0,669033"
06/06/2012 10.00,"1,284704","3,831967","2,536909","72,603277","0,473464"
06/06/2012 11.00,"1,040041","5,057808","3,30646","77,277765","0,437666"
06/06/2012 12.00,"1,076154","7,508839","4,91136","83,68217","0,532044"
06/06/2012 13.00,"1,021985","5,897531","3,908466","86,415576","0,628862"
06/06/2012 14.00,"0,837811","4,301797","2,706826","90,892401","0,414987"
06/06/2012 15.00,"0,793573","6,658733","4,364635","89,181091","0,47682"
06/06/2012 16.00,"0,681624","6,18436","4,086187","88,897264","0,592453"
06/06/2012 17.00,"1,07164","14,592622","10,089296","80,115067","0,952573"
06/06/2012 18.00,"1,323525","18,911292","12,87209","75,534332","1,4896"
06/06/2012 19.00,"1,831809","24,379874","14,893143","75,707497","1,527076"
06/06/2012 20.00,"1,542006","21,540782","12,855472","79,470565","1,314523"
06/06/2012 21.00,"1,34429","10,453701","5,854221","80,16407","0,840906"
06/06/2012 22.00,"1,311789","11,447226","6,334469","71,310055","0,641269"
06/06/2012 23.00,"1,177269","11,864495","6,747905","70,132571","0,613963"
07/06/2012 0.00,"1,229632","15,103331","8,752333","59,364496","0,810346"
07/06/2012 1.00,"1,496865","9,259669","5,528967","62,261776","0,811464"
07/06/2012 2.00,"1,102335","4,089596","2,378182","66,230113","0,560113"
07/06/2012 3.00,"1,177269","2,360829","1,446852","70,573506","0,506466"
07/06/2012 4.00,"1,147476","11,22789","6,666507","62,505066","0,726341"
07/06/2012 5.00,"1,762292","32,82382","20,799576","41,760419","1,453954"
07/06/2012 6.00,"2,925117","45,567623","32,532776","30,166255","2,791818"
07/06/2012 7.00,"3,191447","45,787619","32,926206","40,155501","3,298995"
07/06/2012 8.00,"3,031648","43,502721","31,551248","47,149512","1,901231"
07/06/2012 9.00,"2,930533","25,222836","17,519249","63,817694","1,654557"
07/06/2012 10.00,"3,29527","21,185151","14,753407","74,864486","1,125361"
07/06/2012 11.00,"8,400682","23,938583","16,734768","78,711192","1,749494"
07/06/2012 12.00,"13,087182","27,494751","20,457712","80,009474","1,799531"
07/06/2012 13.00,"7,446408","20,769825","14,57331","85,766005","1,620539"
07/06/2012 14.00,"4,229681","12,207133","8,444717","91,892511","0,920741"
07/06/2012 15.00,"3,52639","10,690573","7,272923","88,83476","0,854483"
07/06/2012 16.00,"1,935633","12,269426","8,33449","87,065132","0,700815"
07/06/2012 17.00,"2,281411","17,906091","11,865124","85,677329","1,08041"
07/06/2012 18.00,"2,513433","19,953478","13,417119","82,969258","1,357492"
07/06/2012 19.00,"2,7274","25,558984","16,095114","79,409735","1,222129"
07/06/2012 20.00,"3,336799","19,730234","11,364188","86,668148","1,065562"
07/06/2012 21.00,"3,190544","17,625744","9,965166","79,268693","1,307913"
07/06/2012 22.00,"2,645244","14,357052","8,065199","74,290113","0,968743"
07/06/2012 23.00,"2,095431","15,423906","8,748264","71,035528","0,999253"
08/06/2012 0.00,"1,69097","14,407679","8,210698","68,533559","0,737783"
08/06/2012 1.00,"2,335579","15,478417","8,968038","64,756146","0,546587"
08/06/2012 2.00,,"11,715233","6,656331","61,898565","0,774903"
08/06/2012 3.00,"4,537541",,,"58,064535","0,94581"
08/06/2012 4.00,"3,580559","18,709472","10,784911","53,044577","0,979371"
08/06/2012 5.00,"3,450554","33,56361","21,599327","33,180939","1,515889"
08/06/2012 6.00,"5,092772","42,36319","29,804925","23,404542","2,842057"
08/06/2012 7.00,"9,133766","32,691451","20,736501","46,500797","2,504464"
08/06/2012 8.00,"12,669176","35,196323","23,558306","53,221114","1,757274"
08/06/2012 9.00,"16,123345","40,055576","27,549855","54,81841","2,148412"
08/06/2012 10.00,"11,349262","26,871132","19,147876","67,013146","2,394984"
08/06/2012 11.00,"7,015765","22,198798","15,499217","76,777713","1,64398"
08/06/2012 12.00,"4,793037","19,533603","13,854977","81,478373","1,33644"
08/06/2012 13.00,"2,974771","19,620561","13,779","82,503841","1,451615"
08/06/2012 14.00,"1,468877","10,430348","7,303108","86,714593","0,807803"
08/06/2012 15.00,"1,820975","15,525788","10,88937","82,549449","0,788124"
08/06/2012 16.00,"1,380403","12,619856","8,719094","81,159934","0,94642"
08/06/2012 17.00,"1,475198","17,353199","11,6579","79,016122","1,003372"
08/06/2012 18.00,"3,381038","28,420139","18,818897","77,093625","1,313455"
08/06/2012 19.00,"8,931536","45,759053","28,528339","63,941864","1,949335"
08/06/2012 20.00,"6,745824","42,195756","24,186417","62,884315","2,327659"
08/06/2012 21.00,"9,020012","48,428147","28,521877","46,973813","2,303403"
08/06/2012 22.00,"11,23551","34,827747","19,2347","55,793189","1,883077"
08/06/2012 23.00,"14,228338","32,299473","17,911989","57,971628","1,848957"
09/06/2012 0.00,"6,478591","21,805536","12,097449","67,343419","1,084783"
09/06/2012 1.00,"4,565529","18,091033","10,025868","69,384165","0,721358"
09/06/2012 2.00,"4,371424","10,383618","5,783337","70,347951","0,728782"
09/06/2012 3.00,"5,832176","14,560826","8,055701","58,148165","0,714798"
09/06/2012 4.00,"5,619113","17,277919","9,618205","54,799837","0,809685"
09/06/2012 5.00,"4,597128","32,163854","17,588776","51,043512","0,743376"
09/06/2012 6.00,"3,333731","21,189529","12,313255","55,846435","1,416681"
09/06/2012 7.00,"5,363616","31,330625","21,838424","64,368415","1,469819"
09/06/2012 8.00,"13,046554","36,407901","24,254924","60,601139","1,657252"
09/06/2012 9.00,"18,685533","40,435837","28,103704","61,574198","2,062425"
09/06/2012 10.00,"18,922067","37,217768","25,65294","68,645081","3,007269"
09/06/2012 11.00,"7,330847","25,164424","17,548748","77,706028","2,01249"
09/06/2012 12.00,"5,354588","27,182617","20,399377","73,854239","1,427766"
09/06/2012 13.00,"8,675136","24,476563","17,895041","76,1535","1,530483"
09/06/2012 14.00,"13,225312","20,457042","13,528025","81,573","1,899603"
09/06/2012 15.00,"6,583317","14,224677","9,257001","94,215394","1,862941"
09/06/2012 16.00,"4,430107","12,563402","8,082494","91,368807","1,050307"
09/06/2012 17.00,"7,023891","19,540104","12,802224","79,308373","1,441496"
09/06/2012 18.00,"9,586978","31,718033","20,942365","62,864045","1,886738"
09/06/2012 19.00,"8,924313","42,429362","25,462332","54,265136","2,059578"
09/06/2012 20.00,"6,289001","38,766145","23,147915","49,395523","2,720068"
09/06/2012 21.00,"3,29527","36,221653","21,682404","51,981122","1,541772"
09/06/2012 22.00,"4,762342","26,207267","15,734931","59,301155","1,536738"
09/06/2012 23.00,"5,970308","27,004169","15,348631","62,298963","1,3191"
10/06/2012 0.00,"5,675087","41,653243","24,315304","50,026499","1,57335"
10/06/2012 1.00,"13,734503","42,757728","25,036358","39,34208","1,852567"
10/06/2012 2.00,,"35,749236","20,258958","37,394222","1,729561"
10/06/2012 3.00,"6,156287",,,"48,042332","1,670219"
10/06/2012 4.00,"4,372327","18,55957","10,198845","46,51093","1,444343"
10/06/2012 5.00,"6,10934","17,330486","9,739286","49,818722","1,581486"
10/06/2012 6.00,"5,029575","18,932053","11,292289","47,506817","1,366136"
10/06/2012 7.00,"5,779813","22,00995","14,614348","46,849643","1,402087"
10/06/2012 8.00,"9,194254","19,364889","12,8375","61,346988","1,670728"
10/06/2012 9.00,"12,535562","16,702964","10,85647","72,367608","1,497583"
10/06/2012 10.00,"11,296001","15,510865","9,837303","89,53077","1,504143"
10/06/2012 11.00,"8,855699","18,877551","12,240576","96,53069","1,618911"
10/06/2012 12.00,"12,030885","22,888609","14,837854","95,895479","1,997032"
10/06/2012 13.00,"10,73716","18,33114","11,931264","100,672189","2,113326"
10/06/2012 14.00,"6,971527","9,159732","5,907468","95,062628","1,214654"
10/06/2012 15.00,"3,71237","6,181115","4,162158","93,274431","0,70534"
10/06/2012 16.00,"2,620868","6,140881","3,973245","90,781754","0,495228"
10/06/2012 17.00,"3,156237","10,916399","6,804544","87,539004","0,577249"
10/06/2012 18.00,"1,832712","9,694455","5,921036","87,921644","0,763564"
10/06/2012 19.00,"2,117098","12,443346","7,283437","87,3802","0,95003"
10/06/2012 20.00,"4,28024","20,541418","11,495104","75,892473","1,056968"
10/06/2012 21.00,"7,877952","31,377983","17,515179","63,226418","1,253046"
10/06/2012 22.00,"3,969672","13,543937","7,477774","65,689506","1,196094"
10/06/2012 23.00,"4,359687","15,5206","8,948028","67,492064","0,878891"
11/06/2012 0.00,"2,796917","11,699662","6,832356","69,941651","0,786853"
11/06/2012 1.00,"1,897715","2,937084","1,735815","74,896587","0,391443"
11/06/2012 2.00,"1,558257","4,197968","2,458562","77,869041","0,30271"
11/06/2012 3.00,"1,537491","3,902702","2,16485","77,392635","0,309727"
11/06/2012 4.00,"1,220604","7,324541","4,278828","70,794791","0,53006"
11/06/2012 5.00,"1,222409","5,064297","2,871319","69,364751","0,444073"
11/06/2012 6.00,"1,565479","7,247967","4,155713","68,865544","0,499449"
11/06/2012 7.00,"1,486934","7,669128","4,693958","70,122434","0,423987"
11/06/2012 8.00,"1,826392","11,32263","7,300394","69,734727","0,524874"
11/06/2012 9.00,"1,885076","11,449178","7,752154","74,114413","0,56596"
11/06/2012 10.00,"2,426763","20,462892","14,514302","73,759643","0,90874"
11/06/2012 11.00,"2,134252","16,553051","11,329938","79,258556","1,055137"
11/06/2012 12.00,"2,655175","17,250668","12,438651","76,504876","1,223248"
11/06/2012 13.00,"1,551937","12,23244","8,385703","80,539084","0,851178"
11/06/2012 14.00,"1,515824","9,454999","6,405695","84,641725","0,581317"
11/06/2012 15.00,"1,219701","12,302524","8,818809","78,63518","0,735291"
11/06/2012 16.00,"1,886881","18,356449","12,400324","77,165406","0,85606"
11/06/2012 17.00,"2,388845","18,730884","12,743893","77,347026","1,257622"
11/06/2012 18.00,"2,568505","20,023554","13,70676","73,791735","1,834465"
11/06/2012 19.00,"3,286242","26,686835","17,701375","67,807139","1,641845"
11/06/2012 20.00,"5,225485","36,568184","25,177788","58,279934","1,922842"
11/06/2012 21.00,"6,165314","28,880893","17,202476","54,112259","1,937334"
11/06/2012 22.00,"6,047046","17,196798","9,703335","56,343906","1,76119"
11/06/2012 23.00,"4,059953","14,440768","8,26598","58,769848","1,039628"
12/06/2012 0.00,"3,547154","16,427165","10,029598","48,588863","1,106547"
12/06/2012 1.00,"2,838446","6,757371","4,02785","58,311178","0,741393"
12/06/2012 2.00,,"6,098702","3,563542","56,484975","0,641218"
12/06/2012 3.00,"3,204086",,,"51,531748","0,687746"
12/06/2012 4.00,"2,972965","16,278554","9,547661","48,404705","0,852704"
12/06/2012 5.00,"3,26638","30,189792","20,323413","33,131944","1,344474"
12/06/2012 6.00,"3,502014","30,61873","20,281348","35,112739","2,025305"
12/06/2012 7.00,"6,632973","35,144414","28,951598","41,644689","1,480142"
12/06/2012 8.00,"9,099459","28,003534","20,175518","52,155962","2,348914"
12/06/2012 9.00,"5,071105","18,302587","13,336739","66,789289","1,619979"
12/06/2012 10.00,"3,548961","17,371366","12,614326","70,481413","1,181957"
12/06/2012 11.00,"2,604617","17,706865","13,206163","72,109976","1,278979"
12/06/2012 12.00,"2,115293","18,743212","13,937725","73,338153","1,402443"
12/06/2012 13.00,"2,471904","15,626375","11,769488","75,090026","1,043594"
12/06/2012 14.00,"1,663885","7,858616","5,624949","80,271323","0,57847"
12/06/2012 15.00,"3,653687","12,590002","8,739784","78,90632","0,877061"
12/06/2012 16.00,"4,398509","15,935916","10,904287","77,530328","1,427512"
12/06/2012 17.00,"4,823734","21,560247","15,183796","72,008607","1,429038"
12/06/2012 18.00,"6,839716","25,512905","16,464465","73,415002","2,048696"
12/06/2012 19.00,"9,215922","36,400119","22,930176","62,915555","2,309556"
12/06/2012 20.00,"7,220704","29,336447","18,476358","59,850198","2,121716"
12/06/2012 21.00,"4,241418","16,994336","10,464739","65,704727","1,314269"
12/06/2012 22.00,"3,451457","11,900829","6,848296","65,208891","0,896028"
12/06/2012 23.00,"3,300687","13,721101","8,027551","61,564921","0,951709"
13/06/2012 0.00,"4,348853","12,446589","7,177619","62,954421","1,190856"
13/06/2012 1.00,"5,199303","10,52574","6,106555","62,260938","1,248113"
13/06/2012 2.00,"4,224265","5,53153","3,253551","62,50674","1,131972"
13/06/2012 3.00,"2,518851","1,696969","1,197231","66,201399","0,586656"
13/06/2012 4.00,"1,792085","1,926692","1,256922","68,372243","0,324525"
13/06/2012 5.00,"1,38943","4,30569","2,556241","66,298537","0,355645"
13/06/2012 6.00,"1,346998","7,112988","4,088898","60,242974","0,480838"
13/06/2012 7.00,"1,339775","8,521828","6,181848","65,784985","0,405173"
13/06/2012 8.00,"1,328039","9,412817","6,594266","68,759951","0,468328"
13/06/2012 9.00,"0,975492","9,052738","6,754342",,"0,669186"
13/06/2012 10.00,"0,852256","10,267467","7,64939",,"0,822702"
13/06/2012 11.00,"0,923578","9,083809","6,763168",,"1,015932"
13/06/2012 12.00,"0,659054","13,188318","9,929555",,"0,939657"
13/06/2012 13.00,"0,918162","14,702285","11,000277",,"1,158516"
13/06/2012 14.00,"0,995804","10,337549","8,198149",,"0,785226"
13/06/2012 15.00,"0,657248","9,161031","6,917824",,"0,662118"
13/06/2012 16.00,"0,751141","9,767136","7,37467",,"0,830126"
13/06/2012 17.00,"0,755655","12,434911","9,61651",,"0,950437"
13/06/2012 18.00,"2,693996","13,055943","9,26141",,"1,000677"
13/06/2012 19.00,"2,166753","12,996885","8,174746",,"0,770581"
13/06/2012 20.00,"1,656663","15,590032","9,304484",,"0,843246"
13/06/2012 21.00,"1,508601","12,335623","7,099613",,"0,968184"
13/06/2012 22.00,"1,294635","9,803478","5,467242",,"0,709713"
13/06/2012 23.00,"1,510408","7,120776","4,099414",,"0,587775"
14/06/2012 0.00,"1,311789","6,170733","3,489945",,"0,512212"
14/06/2012 1.00,"0,926287","3,682713","2,129239",,"0,414834"
14/06/2012 2.00,,"2,41599","1,437017",,"0,325694"
14/06/2012 3.00,"0,865798",,,,"0,277082"
14/06/2012 4.00,"1,152894","5,398499","3,075154",,"0,287455"
14/06/2012 5.00,"0,766488","3,931253","2,298819",,"0,337644"
14/06/2012 6.00,"0,887466","5,562031","3,292894",,"0,436446"
14/06/2012 7.00,"0,802601","5,187594","3,325454",,"0,382443"
14/06/2012 8.00,"0,939829","6,061063","3,878281",,"0,411834"
14/06/2012 9.00,"1,197131","6,249255","4,265261",,"0,527213"
14/06/2012 10.00,"1,108655","5,017573","3,333593",,"0,462023"
14/06/2012 11.00,"1,336164","5,56917","4,0075",,"0,55757"
14/06/2012 12.00,"1,2513","13,055293","9,468637",,"0,622353"
14/06/2012 13.00,"1,368665","15,077372","11,107783",,"0,923233"
14/06/2012 14.00,"0,954274","10,066946","6,856095",,"0,674017"
14/06/2012 15.00,"1,28651","11,688634","7,986173",,"0,66105"
14/06/2012 16.00,"1,908548","13,819084","9,584969",,"0,94225"
14/06/2012 17.00,"3,363884","21,826951","14,692358",,"0,995948"
14/06/2012 18.00,"2,311203","14,719813","9,715204",,"1,524127"
14/06/2012 19.00,"1,558257","8,482243","5,215584",,"0,69217"
14/06/2012 20.00,"1,816462","17,38045","10,42608",,"0,767123"
14/06/2012 21.00,"2,00876","9,412167","5,557457",,"0,941793"
14/06/2012 22.00,"1,622356","8,018253","4,446033",,"0,586911"
14/06/2012 23.00,"1,483323","6,641211","3,796884",,"0,921605"
15/06/2012 0.00,"1,31901","3,900105","2,246588",,"0,443412"
15/06/2012 1.00,"1,172755","4,140862","2,384964",,"0,288269"
15/06/2012 2.00,"1,191715","2,47634","1,55267",,"0,303219"
15/06/2012 3.00,"1,027402","2,737862","1,685281",,"0,276217"
15/06/2012 4.00,"0,919064","7,395275","4,132312",,"0,388087"
15/06/2012 5.00,"0,956983","5,283638","3,075832",,"0,475498"
15/06/2012 6.00,"1,064418","6,737903","4,049218",,"0,449972"
15/06/2012 7.00,"1,044556","6,225244","3,721591",,"0,405478"
15/06/2012 8.00,"1,324428","5,443276","3,510973",,"0,479668"
15/06/2012 9.00,"1,258522","6,578915","4,344624",,"0,526959"
15/06/2012 10.00,"1,133934","7,006562","4,349712",,"0,537484"
15/06/2012 11.00,"0,982261","7,050041","4,329701",,"0,544197"
15/06/2012 12.00,"2,478224","10,060454","6,390432",,"0,502144"
15/06/2012 13.00,"1,489799","7,319998","4,804613",,"1,61347"
15/06/2012 14.00,"1,30276","5,833286","3,69751",,"0,752427"
15/06/2012 15.00,"1,166435","4,154489","2,678337",,"0,687746"
15/06/2012 16.00,"0,735793","2,628839","1,762948",,"0,419919"
15/06/2012 17.00,"1,003928","3,282319","2,142467",,"0,359764"
15/06/2012 18.00,"1,101432","4,746966","2,873692",,"0,37807"
15/06/2012 19.00,"1,108655","6,039648","3,459081",,"0,459125"
15/06/2012 20.00,"1,278384","8,944286","4,977156",,"0,708493"
15/06/2012 21.00,"2,5026","11,931985","6,881534",,"0,888858"
15/06/2012 22.00,"1,638607","7,05718","4,094326",,"1,361"
15/06/2012 23.00,"1,404778","6,432255","3,636461",,"0,573639"
16/06/2012 0.00,"1,074349","5,954637","3,456028",,"0,540485"
16/06/2012 1.00,"1,236855","2,746297","1,683585",,"0,343085"
16/06/2012 2.00,,"2,81768","1,595403",,"0,303066"
16/06/2012 3.00,"1,403875",,,,"0,293303"
16/06/2012 4.00,"1,059","2,685297","1,647295",,"0,298947"
16/06/2012 5.00,"1,133032","2,318648","1,506205",,"0,322287"
16/06/2012 6.00,"1,064418","2,847532","1,722926",,"0,347356"
16/06/2012 7.00,"1,051778","3,920223","2,410403",,"0,331491"
16/06/2012 8.00,"1,377693","4,072722","2,523681",,"0,452362"
16/06/2012 9.00,"1,291927","6,219403","3,853523",,"0,503974"
16/06/2012 10.00,"2,018691","6,908574","4,257123",,"0,629218"
16/06/2012 11.00,"2,261549","5,77553","3,625947",,"0,657592"
16/06/2012 12.00,"2,291342","5,981892","3,677499",,"0,685"
16/06/2012 13.00,"1,729791","7,186967","4,651225",,"1,108683"
16/06/2012 14.00,"1,249494","3,666489","2,404636",,"0,623218"
16/06/2012 15.00,"1,124003","3,116839","1,977974",,"0,48755"
16/06/2012 16.00,"0,870312","3,382255","2,045467",,"0,390528"
16/06/2012 17.00,"0,905523","3,802117","2,515203",,"0,440158"
16/06/2012 18.00,"1,13574","5,622381","3,290519",,"0,540332"
16/06/2012 19.00,"1,05539","7,307022","4,16894",,"0,530721"
16/06/2012 20.00,"1,749653","9,490041","5,295966",,"0,734172"
16/06/2012 21.00,"1,422835","11,177265","6,259515",,"0,721256"
16/06/2012 22.00,"2,119806","7,80086","4,474521",,"0,878129"
16/06/2012 23.00,"1,551937","4,554233","2,586766",,"0,651897"
17/06/2012 0.00,"1,4761","6,535434","3,789083",,"0,357323"
17/06/2012 1.00,"1,266648","9,321317","5,214567",,"0,458769"
17/06/2012 2.00,"1,280189","8,641234","4,766199",,"0,448751"
17/06/2012 3.00,"1,485128","2,219362","1,408867",,"0,303778"
17/06/2012 4.00,"2,121612","3,352403","2,032919",,"0,325999"
17/06/2012 5.00,"1,653052","2,12267","1,289822",,"0,291421"
17/06/2012 6.00,"1,497767","1,905926","1,182308",,"0,31288"
17/06/2012 7.00,"1,2513","2,005212","1,322379",,"0,297167"
17/06/2012 8.00,"1,229632","2,87868","1,881314",,"0,337949"
17/06/2012 9.00,"1,830003","3,311521","2,161459",,"0,376748"
17/06/2012 10.00,"2,090014","3,563956","2,257781",,"0,444988"
17/06/2012 11.00,"2,401485","5,041584","3,094486",,"0,744291"
17/06/2012 12.00,"1,776738","5,578902","3,553368",,"0,586809"
17/06/2012 13.00,"2,264257","4,758648","3,001217",,"1,003932"
17/06/2012 14.00,"1,460753","2,473746","1,594386",,"0,693848"
17/06/2012 15.00,"1,618745","2,039607","1,285072",,"0,575317"
17/06/2012 16.00,"0,95608","1,582755","1,045288",,"0,434157"
17/06/2012 17.00,"1,13574","2,407552","1,466523",,"0,476617"
17/06/2012 18.00,"0,765586","2,944872","1,76634",,"0,493652"
17/06/2012 19.00,"1,772223","5,216796","2,949325",,"0,48099"
17/06/2012 20.00,"1,613328","8,013061","4,497925",,"0,597996"
17/06/2012 21.00,"1,850768","7,042255","3,954932",,"0,562401"
17/06/2012 22.00,"1,755069","6,364765","3,630356",,"0,502957"
17/06/2012 23.00,"2,564893","5,16618","3,004947",,"0,533874"
18/06/2012 0.00,"2,156822","4,344628","2,490783",,"0,537535"
18/06/2012 1.00,"4,143915","10,64839","6,097399",,"0,705798"
