"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
06/01/2012 9.00,"2,435433","6,800037","0,214313","70,409374",
06/01/2012 10.00,"2,90772","8,816834","0,283372","61,564564","4,394531"
06/01/2012 11.00,"6,203933","18,845041","0,27953","60,816777",
06/01/2012 12.00,"8,728601","25,942073","0,308464","64,513072","0,976563"
06/01/2012 13.00,"11,043241","30,700679","0,377606","73,53249",
06/01/2012 14.00,"9,275974","25,070507","0,299959","75,858402","0,976563"
06/01/2012 15.00,"2,908808","7,76758","0,318693","83,123054",
06/01/2012 16.00,"3,171069","8,775331","0,360613","84,245082","2,441406"
06/01/2012 17.00,"3,586768","10,224051","0,366583","84,540819",
06/01/2012 18.00,"5,568413","14,548165","0,384536","85,08288","1,953125"
06/01/2012 19.00,"5,627178","14,360102","0,394265","83,772047",
06/01/2012 20.00,"6,103819","15,091597","0,371259","78,845476","2,929688"
06/01/2012 21.00,"8,247607","21,327442","0,397605","75,993736",
06/01/2012 22.00,"5,814351","15,005997","0,371593","78,845476","7,324219"
06/01/2012 23.00,"2,603018","7,574332","0,325457","82,729198",
07/01/2012 0.00,"1,877177","7,282513","0,337524","84,802706","14,16015"
07/01/2012 1.00,"1,663885","5,687234","0,317315","83,604887",
07/01/2012 2.00,"0,428758","3,446061","0,29648","82,949828","8,789063"
07/01/2012 3.00,"0,490786","3,203527","0,322994","80,096734",
07/01/2012 4.00,,"1,211374","0,324163","80,236148","16,11327"
07/01/2012 5.00,"0,141469","1,889693","0,335311","80,375561",
07/01/2012 6.00,"0,460316","3,220387","0,355727","78,665461","14,16015"
07/01/2012 7.00,"3,192833","9,958172","0,351595","76,23735",
07/01/2012 8.00,"9,491441","25,262472","0,462529","69,838904","10,74218"
07/01/2012 9.00,"12,147781","31,325826","0,478019","65,328533",
07/01/2012 10.00,"17,236284","47,956897","0,562316","63,727383","7,8125"
07/01/2012 11.00,"16,977289","48,048998","0,529291","67,511638",
07/01/2012 12.00,"18,254863","50,157895","0,497267","68,510492","14,16015"
07/01/2012 13.00,"16,383122","46,010175","0,4685","75,54373",
