"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
07/01/2012 4.00,"6,958739",,,"0,343277","61,117343",,"0,289692",
07/01/2012 5.00,"7,165261",,,"0,350675","60,921115",,"0,290252",
07/01/2012 6.00,"7,11961",,,"0,413276","60,334127",,"0,285014",
07/01/2012 7.00,"6,784824",,,"0,566514","59,706519",,"0,289184",
07/01/2012 8.00,"8,660922",,,"0,551034","60,075315",,"0,297269",
07/01/2012 9.00,"6,719606",,,"0,582286","60,20557",,"0,294371",
07/01/2012 10.00,"5,434816",,,"0,614316","59,943367",,"0,292286",
07/01/2012 11.00,"5,808731",,,"0,598155","61,804102",,"0,289031",
07/01/2012 12.00,"4,508722",,,"0,62113","62,952724",,"0,292133",
07/01/2012 13.00,"5,404382",,,"0,58764","67,218914",,"0,279777",
07/01/2012 14.00,"7,669613",,,"0,530687","68,753208",,"0,280183",
07/01/2012 15.00,"5,921775",,,"0,591924","71,46144",,"0,282828",
07/01/2012 16.00,"6,132645",,,"0,596111","70,811869",,"0,291981",
07/01/2012 17.00,"6,773956",,,"0,577515","69,39937",,"0,279675",
07/01/2012 18.00,"6,004384",,,"0,585304","68,998474",,"0,292235",
07/01/2012 19.00,,,,,,,,
07/01/2012 20.00,,,,,,,,
07/01/2012 21.00,,,,,,,,
07/01/2012 22.00,,,,,,,,
07/01/2012 23.00,,,,,,,,
08/01/2012 0.00,,,,,,,,
08/01/2012 1.00,,,,,,,,
08/01/2012 2.00,,,,,,,,
08/01/2012 3.00,,,,,,,,
08/01/2012 4.00,,,,,,,,
08/01/2012 5.00,,,,,,,,
08/01/2012 6.00,,,,,,,,
08/01/2012 7.00,,,,,,,,
08/01/2012 8.00,,,,,,,,
08/01/2012 9.00,,,,,,,,
08/01/2012 10.00,,,,,,,,
08/01/2012 11.00,,,,,,,,
08/01/2012 12.00,,,,,,,,
08/01/2012 13.00,,,,,,,,
08/01/2012 14.00,,,,,,,,
08/01/2012 15.00,,,,,,,,
08/01/2012 16.00,,,,,,,,
08/01/2012 17.00,,,,,,,,
08/01/2012 18.00,,,,,,,,
08/01/2012 19.00,,,,,,,,
08/01/2012 20.00,,,,,,,,
08/01/2012 21.00,,,,,,,,
08/01/2012 22.00,,,,,,,,
08/01/2012 23.00,,,,,,,,
09/01/2012 0.00,,,,,,,,
09/01/2012 1.00,,,,,,"8,3",,"3,2"
09/01/2012 2.00,,,,,,"8,3",,"3,2"
09/01/2012 3.00,,,,,,"8,3",,"3,2"
09/01/2012 4.00,,,,,,"8,3",,"3,2"
09/01/2012 5.00,,,,,,"8,3",,"3,2"
09/01/2012 6.00,,,,,,"8,3",,"3,2"
09/01/2012 7.00,,,,,,"8,3",,"3,2"
09/01/2012 8.00,,,,,,"8,3",,"3,2"
09/01/2012 9.00,,,,,,"8,3",,"3,2"
09/01/2012 10.00,,,,,,"8,3",,"3,2"
09/01/2012 11.00,,,,,,"8,3",,"3,2"
09/01/2012 12.00,,,,,,"8,3",,"3,2"
09/01/2012 13.00,,,,,,"8,3",,"3,2"
09/01/2012 14.00,,,,,,"8,3",,"3,2"
09/01/2012 15.00,,,,,,"8,3",,"3,2"
09/01/2012 16.00,,,,"0,79762","64,377137","8,3","0,549434","3,2"
09/01/2012 17.00,,"3,317115","6,262811","0,839473","62,436079","8,3","0,670711","3,2"
09/01/2012 18.00,,"5,285204","9,968049","0,828487","65,524141","8,3","0,611776","3,2"
09/01/2012 19.00,,"2,820718","6,797575","0,727927","70,214664","8,3","0,516127","3,2"
09/01/2012 20.00,,"5,285204","9,475799","0,672214","68,070798","8,3","0,494516","3,2"
09/01/2012 21.00,,,,"0,642184","71,618608","8,3","0,483329","3,2"
09/01/2012 22.00,,"6,292371","11,460989","0,695626","66,759525","8,3","0,464362","3,2"
09/01/2012 23.00,,"7,72378","14,369146","0,693057","63,41399","8,3","0,393528","3,2"
10/01/2012 0.00,,"33,255969","61,744906","0,630725","46,128291","8,3","0,390528","3,2"
10/01/2012 1.00,,"36,957544","70,757593","0,639418","41,931568","7,5","0,37507","2,3"
