"NetC","ENEL Brindisi"
04/01/2012 15.00,
04/01/2012 16.00,"12,28022"
04/01/2012 17.00,
04/01/2012 18.00,"7,25173"
04/01/2012 19.00,
04/01/2012 20.00,"15,62678"
04/01/2012 21.00,
04/01/2012 22.00,"34,40205"
04/01/2012 23.00,
05/01/2012 0.00,"46,08974"
05/01/2012 1.00,
05/01/2012 2.00,"58,08709"
05/01/2012 3.00,
05/01/2012 4.00,"59,39085"
05/01/2012 5.00,
05/01/2012 6.00,"51,34682"
05/01/2012 7.00,
05/01/2012 8.00,"39,9515"
05/01/2012 9.00,
05/01/2012 10.00,"27,54204"
05/01/2012 11.00,
05/01/2012 12.00,"22,70384"
05/01/2012 13.00,
05/01/2012 14.00,"14,57264"
05/01/2012 15.00,
05/01/2012 16.00,"19,94504"
05/01/2012 17.00,
05/01/2012 18.00,"25,14245"
05/01/2012 19.00,
05/01/2012 20.00,"14,13364"
05/01/2012 21.00,
05/01/2012 22.00,"16,39769"
05/01/2012 23.00,
06/01/2012 0.00,"22,10553"
06/01/2012 1.00,
06/01/2012 2.00,"15,77533"
06/01/2012 3.00,
06/01/2012 4.00,"13,18376"
06/01/2012 5.00,
06/01/2012 6.00,"14,85619"
06/01/2012 7.00,
06/01/2012 8.00,"14,15343"
06/01/2012 9.00,
06/01/2012 10.00,"18,5504"
06/01/2012 11.00,
06/01/2012 12.00,"22,43182"
06/01/2012 13.00,
06/01/2012 14.00,"26,3682"
06/01/2012 15.00,
06/01/2012 16.00,"24,76392"
06/01/2012 17.00,
06/01/2012 18.00,"19,20465"
06/01/2012 19.00,
06/01/2012 20.00,"22,84968"
06/01/2012 21.00,
06/01/2012 22.00,"25,03764"
06/01/2012 23.00,
07/01/2012 0.00,"23,66198"
07/01/2012 1.00,
07/01/2012 2.00,"15,56166"
07/01/2012 3.00,
07/01/2012 4.00,"20,60269"
07/01/2012 5.00,
07/01/2012 6.00,"25,37817"
07/01/2012 7.00,
07/01/2012 8.00,"18,93771"
07/01/2012 9.00,
07/01/2012 10.00,"17,95075"
07/01/2012 11.00,
07/01/2012 12.00,"18,67283"
07/01/2012 13.00,
07/01/2012 14.00,"16,36072"
07/01/2012 15.00,
07/01/2012 16.00,"14,76563"
07/01/2012 17.00,
07/01/2012 18.00,"12,84493"
07/01/2012 19.00,
07/01/2012 20.00,"11,17419"
07/01/2012 21.00,
07/01/2012 22.00,"9,982702"
07/01/2012 23.00,
08/01/2012 0.00,"11,17182"
08/01/2012 1.00,
08/01/2012 2.00,"10,82417"
08/01/2012 3.00,
08/01/2012 4.00,"12,18966"
08/01/2012 5.00,
08/01/2012 6.00,"7,738774"
08/01/2012 7.00,
08/01/2012 8.00,"9,683558"
08/01/2012 9.00,
08/01/2012 10.00,"15,98087"
08/01/2012 11.00,
08/01/2012 12.00,"14,1124"
08/01/2012 13.00,
08/01/2012 14.00,"11,78639"
08/01/2012 15.00,
08/01/2012 16.00,"11,75451"
08/01/2012 17.00,
08/01/2012 18.00,"9,159205"
08/01/2012 19.00,
08/01/2012 20.00,"11,93562"
08/01/2012 21.00,
08/01/2012 22.00,"15,34764"
08/01/2012 23.00,
09/01/2012 0.00,"13,65489"
09/01/2012 1.00,
09/01/2012 2.00,"14,19006"
09/01/2012 3.00,
09/01/2012 4.00,"9,799891"
09/01/2012 5.00,
09/01/2012 6.00,"7,763194"
09/01/2012 7.00,
09/01/2012 8.00,"6,228463"
09/01/2012 9.00,
09/01/2012 10.00,"7,513906"
09/01/2012 11.00,
09/01/2012 12.00,"12,12013"
09/01/2012 13.00,
09/01/2012 14.00,"11,01241"
09/01/2012 15.00,
09/01/2012 16.00,"11,52455"
09/01/2012 17.00,
09/01/2012 18.00,"12,76455"
09/01/2012 19.00,
09/01/2012 20.00,"6,871524"
09/01/2012 21.00,
09/01/2012 22.00,"6,183693"
09/01/2012 23.00,
10/01/2012 0.00,"11,23592"
10/01/2012 1.00,
10/01/2012 2.00,"14,48718"
10/01/2012 3.00,
10/01/2012 4.00,"12,57733"
10/01/2012 5.00,
10/01/2012 6.00,"10,64848"
10/01/2012 7.00,
10/01/2012 8.00,"8,31434"
10/01/2012 9.00,
10/01/2012 10.00,"9,94709"
10/01/2012 11.00,
10/01/2012 12.00,"15,88251"
10/01/2012 13.00,
10/01/2012 14.00,"18,2136"
10/01/2012 15.00,
10/01/2012 16.00,"16,98073"
10/01/2012 17.00,
10/01/2012 18.00,"18,93059"
10/01/2012 19.00,
10/01/2012 20.00,"21,61307"
10/01/2012 21.00,
10/01/2012 22.00,"24,16564"
10/01/2012 23.00,
11/01/2012 0.00,"16,8159"
11/01/2012 1.00,
11/01/2012 2.00,"16,89967"
11/01/2012 3.00,
11/01/2012 4.00,"17,93854"
11/01/2012 5.00,
11/01/2012 6.00,"15,4884"
11/01/2012 7.00,
11/01/2012 8.00,"14,99084"
11/01/2012 9.00,
11/01/2012 10.00,"11,8549"
11/01/2012 11.00,
11/01/2012 12.00,"17,48439"
11/01/2012 13.00,
11/01/2012 14.00,"18,32078"
11/01/2012 15.00,
11/01/2012 16.00,"11,919"
11/01/2012 17.00,
11/01/2012 18.00,"14,81685"
11/01/2012 19.00,
11/01/2012 20.00,"25,26794"
11/01/2012 21.00,
11/01/2012 22.00,"26,40143"
11/01/2012 23.00,
12/01/2012 0.00,"23,25702"
12/01/2012 1.00,
12/01/2012 2.00,"19,82024"
12/01/2012 3.00,
12/01/2012 4.00,"13,3852"
12/01/2012 5.00,
12/01/2012 6.00,"13,30993"
12/01/2012 7.00,
12/01/2012 8.00,"16,33359"
12/01/2012 9.00,
12/01/2012 10.00,"18,38353"
12/01/2012 11.00,
12/01/2012 12.00,"19,14292"
12/01/2012 13.00,
12/01/2012 14.00,"12,70316"
12/01/2012 15.00,
12/01/2012 16.00,"7,853412"
12/01/2012 17.00,
12/01/2012 18.00,"13,3625"
12/01/2012 19.00,
12/01/2012 20.00,"21,61002"
12/01/2012 21.00,
12/01/2012 22.00,"29,0371"
12/01/2012 23.00,
13/01/2012 0.00,"48,03418"
13/01/2012 1.00,
13/01/2012 2.00,"50,16721"
13/01/2012 3.00,
13/01/2012 4.00,"46,76908"
13/01/2012 5.00,
13/01/2012 6.00,"52,13063"
13/01/2012 7.00,
13/01/2012 8.00,"48,55955"
13/01/2012 9.00,
13/01/2012 10.00,"40,9985"
13/01/2012 11.00,
13/01/2012 12.00,"34,2925"
13/01/2012 13.00,
13/01/2012 14.00,"20,82214"
13/01/2012 15.00,
13/01/2012 16.00,"20,94695"
13/01/2012 17.00,
13/01/2012 18.00,"27,19644"
13/01/2012 19.00,
13/01/2012 20.00,"28,16917"
13/01/2012 21.00,
13/01/2012 22.00,"37,82899"
13/01/2012 23.00,
14/01/2012 0.00,"50,29914"
14/01/2012 1.00,
14/01/2012 2.00,"58,49375"
14/01/2012 3.00,
14/01/2012 4.00,"50,65798"
14/01/2012 5.00,
14/01/2012 6.00,"37,65126"
14/01/2012 7.00,
14/01/2012 8.00,"30,91032"
14/01/2012 9.00,
14/01/2012 10.00,"29,50005"
14/01/2012 11.00,
14/01/2012 12.00,"24,14835"
14/01/2012 13.00,
14/01/2012 14.00,"14,00793"
14/01/2012 15.00,
14/01/2012 16.00,"9,248745"
14/01/2012 17.00,
14/01/2012 18.00,"8,764415"
14/01/2012 19.00,
14/01/2012 20.00,"16,09279"
14/01/2012 21.00,
14/01/2012 22.00,"20,62915"
14/01/2012 23.00,
15/01/2012 0.00,"17,98127"
15/01/2012 1.00,
15/01/2012 2.00,"15,67562"
15/01/2012 3.00,
15/01/2012 4.00,"13,02028"
15/01/2012 5.00,
15/01/2012 6.00,"9,402388"
15/01/2012 7.00,
15/01/2012 8.00,"7,080772"
15/01/2012 9.00,
15/01/2012 10.00,"8,369286"
15/01/2012 11.00,
15/01/2012 12.00,"9,007598"
15/01/2012 13.00,
15/01/2012 14.00,"6,18505"
15/01/2012 15.00,
15/01/2012 16.00,"5,771944"
15/01/2012 17.00,
15/01/2012 18.00,"6,784697"
15/01/2012 19.00,
15/01/2012 20.00,"7,320581"
15/01/2012 21.00,
15/01/2012 22.00,"8,772894"
15/01/2012 23.00,
16/01/2012 0.00,"11,43332"
16/01/2012 1.00,
16/01/2012 2.00,"13,61484"
16/01/2012 3.00,
16/01/2012 4.00,"12,77167"
16/01/2012 5.00,
16/01/2012 6.00,"15,78449"
16/01/2012 7.00,
16/01/2012 8.00,"13,10948"
16/01/2012 9.00,
16/01/2012 10.00,"11,84947"
16/01/2012 11.00,
16/01/2012 12.00,"21,21862"
16/01/2012 13.00,
16/01/2012 14.00,"32,45285"
16/01/2012 15.00,
16/01/2012 16.00,"46,20301"
16/01/2012 17.00,
16/01/2012 18.00,"64,61741"
16/01/2012 19.00,
16/01/2012 20.00,"75,78246"
16/01/2012 21.00,
16/01/2012 22.00,"64,97795"
16/01/2012 23.00,
17/01/2012 0.00,"52,62854"
17/01/2012 1.00,
17/01/2012 2.00,"40,82146"
17/01/2012 3.00,
17/01/2012 4.00,"22,02618"
17/01/2012 5.00,
17/01/2012 6.00,"18,84513"
17/01/2012 7.00,
17/01/2012 8.00,"21,997"
17/01/2012 9.00,
17/01/2012 10.00,"19,83991"
17/01/2012 11.00,
17/01/2012 12.00,"29,50346"
17/01/2012 13.00,
17/01/2012 14.00,"36,38346"
17/01/2012 15.00,
17/01/2012 16.00,"39,74663"
17/01/2012 17.00,
17/01/2012 18.00,"49,89654"
17/01/2012 19.00,
17/01/2012 20.00,"37,90428"
17/01/2012 21.00,
17/01/2012 22.00,"21,60323"
17/01/2012 23.00,
18/01/2012 0.00,"14,88943"
18/01/2012 1.00,
18/01/2012 2.00,"12,89377"
18/01/2012 3.00,
18/01/2012 4.00,"15,03222"
18/01/2012 5.00,
18/01/2012 6.00,"17,81778"
18/01/2012 7.00,
18/01/2012 8.00,"15,37884"
18/01/2012 9.00,
18/01/2012 10.00,"13,13017"
18/01/2012 11.00,
18/01/2012 12.00,"10,65732"
18/01/2012 13.00,
18/01/2012 14.00,"11,33937"
18/01/2012 15.00,
18/01/2012 16.00,"15,51824"
18/01/2012 17.00,
18/01/2012 18.00,"14,93623"
18/01/2012 19.00,
18/01/2012 20.00,"11,80979"
18/01/2012 21.00,
18/01/2012 22.00,"16,21286"
18/01/2012 23.00,
19/01/2012 0.00,"21,1881"
19/01/2012 1.00,
19/01/2012 2.00,"12,14692"
19/01/2012 3.00,
19/01/2012 4.00,"10,34561"
19/01/2012 5.00,
19/01/2012 6.00,"15,25946"
19/01/2012 7.00,
19/01/2012 8.00,"19,19922"
19/01/2012 9.00,
19/01/2012 10.00,"21,45772"
19/01/2012 11.00,
19/01/2012 12.00,"21,44281"
19/01/2012 13.00,
19/01/2012 14.00,"14,74053"
19/01/2012 15.00,
19/01/2012 16.00,"17,41012"
19/01/2012 17.00,
19/01/2012 18.00,"27,36364"
19/01/2012 19.00,
19/01/2012 20.00,"30,46431"
19/01/2012 21.00,
19/01/2012 22.00,"36,36819"
19/01/2012 23.00,
20/01/2012 0.00,"58,46152"
20/01/2012 1.00,
20/01/2012 2.00,"80,74649"
20/01/2012 3.00,
20/01/2012 4.00,"73,1902"
20/01/2012 5.00,
20/01/2012 6.00,"53,25634"
20/01/2012 7.00,
20/01/2012 8.00,"45,71054"
20/01/2012 9.00,
20/01/2012 10.00,"41,34547"
20/01/2012 11.00,
20/01/2012 12.00,"35,71427"
20/01/2012 13.00,
20/01/2012 14.00,"34,48819"
20/01/2012 15.00,
20/01/2012 16.00,"35,84825"
20/01/2012 17.00,
20/01/2012 18.00,"39,1999"
20/01/2012 19.00,
20/01/2012 20.00,"34,24195"
20/01/2012 21.00,
20/01/2012 22.00,"26,77553"
20/01/2012 23.00,
21/01/2012 0.00,"25,40971"
21/01/2012 1.00,
21/01/2012 2.00,"19,09069"
21/01/2012 3.00,
21/01/2012 4.00,"22,24426"
21/01/2012 5.00,
21/01/2012 6.00,"22,72147"
21/01/2012 7.00,
21/01/2012 8.00,"18,82375"
21/01/2012 9.00,
21/01/2012 10.00,"19,95421"
21/01/2012 11.00,
21/01/2012 12.00,"12,58479"
21/01/2012 13.00,
21/01/2012 14.00,"9,011329"
21/01/2012 15.00,
21/01/2012 16.00,"12,93572"
21/01/2012 17.00,
21/01/2012 18.00,"16,01816"
21/01/2012 19.00,
21/01/2012 20.00,"12,15879"
21/01/2012 21.00,
21/01/2012 22.00,"12,64957"
21/01/2012 23.00,
22/01/2012 0.00,"21,88882"
22/01/2012 1.00,
22/01/2012 2.00,"34,62894"
22/01/2012 3.00,
22/01/2012 4.00,"38,60907"
22/01/2012 5.00,
22/01/2012 6.00,"39,27994"
22/01/2012 7.00,
22/01/2012 8.00,"33,93365"
22/01/2012 9.00,
22/01/2012 10.00,"29,22296"
22/01/2012 11.00,
22/01/2012 12.00,"33,09388"
22/01/2012 13.00,
22/01/2012 14.00,"23,29331"
22/01/2012 15.00,
22/01/2012 16.00,"13,3028"
22/01/2012 17.00,
22/01/2012 18.00,"15,41649"
22/01/2012 19.00,
22/01/2012 20.00,"27,56545"
22/01/2012 21.00,
22/01/2012 22.00,"31,50182"
22/01/2012 23.00,
23/01/2012 0.00,"43,85258"
23/01/2012 1.00,
23/01/2012 2.00,"60,99715"
23/01/2012 3.00,
23/01/2012 4.00,"56,44994"
23/01/2012 5.00,
23/01/2012 6.00,"44,07339"
23/01/2012 7.00,
23/01/2012 8.00,"36,69549"
23/01/2012 9.00,
23/01/2012 10.00,"45,90319"
23/01/2012 11.00,
23/01/2012 12.00,"39,38034"
23/01/2012 13.00,
23/01/2012 14.00,"22,4515"
23/01/2012 15.00,
23/01/2012 16.00,"13,74406"
23/01/2012 17.00,
23/01/2012 18.00,"10,57353"
23/01/2012 19.00,
23/01/2012 20.00,"16,58289"
23/01/2012 21.00,
23/01/2012 22.00,"28,38624"
23/01/2012 23.00,
24/01/2012 0.00,"37,5875"
24/01/2012 1.00,
24/01/2012 2.00,"45,68885"
24/01/2012 3.00,
24/01/2012 4.00,"59,43595"
24/01/2012 5.00,
24/01/2012 6.00,"68,33808"
24/01/2012 7.00,
24/01/2012 8.00,"61,43127"
24/01/2012 9.00,
24/01/2012 10.00,"52,65668"
24/01/2012 11.00,
24/01/2012 12.00,"53,28788"
24/01/2012 13.00,
24/01/2012 14.00,"35,95713"
24/01/2012 15.00,
24/01/2012 16.00,"22,63566"
24/01/2012 17.00,
24/01/2012 18.00,"24,81955"
24/01/2012 19.00,
24/01/2012 20.00,"27,52643"
24/01/2012 21.00,
24/01/2012 22.00,"25,31101"
24/01/2012 23.00,
25/01/2012 0.00,"31,84337"
25/01/2012 1.00,
25/01/2012 2.00,"28,17324"
25/01/2012 3.00,
25/01/2012 4.00,"18,46526"
25/01/2012 5.00,
25/01/2012 6.00,"10,51587"
25/01/2012 7.00,
25/01/2012 8.00,"10,91134"
25/01/2012 9.00,
25/01/2012 10.00,"13,93094"
25/01/2012 11.00,
25/01/2012 12.00,"9,712048"
25/01/2012 13.00,
25/01/2012 14.00,"7,985009"
25/01/2012 15.00,
25/01/2012 16.00,"13,6725"
25/01/2012 17.00,
25/01/2012 18.00,"25,73971"
25/01/2012 19.00,
25/01/2012 20.00,"41,39431"
25/01/2012 21.00,
25/01/2012 22.00,"52,46303"
25/01/2012 23.00,
26/01/2012 0.00,"43,87294"
26/01/2012 1.00,
26/01/2012 2.00,"33,42388"
26/01/2012 3.00,
26/01/2012 4.00,"26,14502"
26/01/2012 5.00,
26/01/2012 6.00,"22,67161"
26/01/2012 7.00,
26/01/2012 8.00,"20,96526"
26/01/2012 9.00,
26/01/2012 10.00,"28,90991"
26/01/2012 11.00,
26/01/2012 12.00,"26,23218"
26/01/2012 13.00,
26/01/2012 14.00,"27,40164"
26/01/2012 15.00,
26/01/2012 16.00,"33,81121"
26/01/2012 17.00,
26/01/2012 18.00,"23,29161"
26/01/2012 19.00,
26/01/2012 20.00,"24,44037"
26/01/2012 21.00,
26/01/2012 22.00,"26,73755"
26/01/2012 23.00,
27/01/2012 0.00,"20,3032"
27/01/2012 1.00,
27/01/2012 2.00,"23,93637"
27/01/2012 3.00,
27/01/2012 4.00,"24,18158"
27/01/2012 5.00,
27/01/2012 6.00,"20,99036"
27/01/2012 7.00,
27/01/2012 8.00,"15,62644"
27/01/2012 9.00,
27/01/2012 10.00,"16,65276"
27/01/2012 11.00,
27/01/2012 12.00,"14,81074"
27/01/2012 13.00,
27/01/2012 14.00,"19,23043"
27/01/2012 15.00,
27/01/2012 16.00,"34,24535"
27/01/2012 17.00,
27/01/2012 18.00,"44,55432"
27/01/2012 19.00,
27/01/2012 20.00,"39,06729"
27/01/2012 21.00,
27/01/2012 22.00,"34,86195"
27/01/2012 23.00,
28/01/2012 0.00,"27,80094"
28/01/2012 1.00,
28/01/2012 2.00,"22,50407"
28/01/2012 3.00,
28/01/2012 4.00,"22,29818"
28/01/2012 5.00,
28/01/2012 6.00,"24,17616"
28/01/2012 7.00,
28/01/2012 8.00,"19,98337"
28/01/2012 9.00,
28/01/2012 10.00,"16,88475"
28/01/2012 11.00,
28/01/2012 12.00,"21,74297"
28/01/2012 13.00,
28/01/2012 14.00,"23,01383"
28/01/2012 15.00,
28/01/2012 16.00,"24,86974"
28/01/2012 17.00,
28/01/2012 18.00,"23,93433"
28/01/2012 19.00,
28/01/2012 20.00,"24,93996"
28/01/2012 21.00,
28/01/2012 22.00,"29,44105"
28/01/2012 23.00,
29/01/2012 0.00,"33,69183"
29/01/2012 1.00,
29/01/2012 2.00,"38,11253"
29/01/2012 3.00,
29/01/2012 4.00,"36,24676"
29/01/2012 5.00,
29/01/2012 6.00,"29,89892"
29/01/2012 7.00,
29/01/2012 8.00,"25,25912"
29/01/2012 9.00,
29/01/2012 10.00,"24,69135"
29/01/2012 11.00,
29/01/2012 12.00,"22,88427"
29/01/2012 13.00,
29/01/2012 14.00,"22,34093"
29/01/2012 15.00,
29/01/2012 16.00,"17,74962"
29/01/2012 17.00,
29/01/2012 18.00,"18,10744"
29/01/2012 19.00,
29/01/2012 20.00,"26,38549"
29/01/2012 21.00,
29/01/2012 22.00,"29,29928"
29/01/2012 23.00,
30/01/2012 0.00,"22,91785"
30/01/2012 1.00,
30/01/2012 2.00,"15,23911"
30/01/2012 3.00,
30/01/2012 4.00,"11,04429"
30/01/2012 5.00,
30/01/2012 6.00,"9,856872"
30/01/2012 7.00,
30/01/2012 8.00,"15,67155"
30/01/2012 9.00,
30/01/2012 10.00,"21,15214"
30/01/2012 11.00,
30/01/2012 12.00,"20,01458"
30/01/2012 13.00,
30/01/2012 14.00,"15,74108"
30/01/2012 15.00,
30/01/2012 16.00,"30,32626"
30/01/2012 17.00,
30/01/2012 18.00,"62,95143"
30/01/2012 19.00,
30/01/2012 20.00,"70,45787"
30/01/2012 21.00,
30/01/2012 22.00,"50,89947"
30/01/2012 23.00,
31/01/2012 0.00,"40,05968"
31/01/2012 1.00,
31/01/2012 2.00,"28,29636"
31/01/2012 3.00,
31/01/2012 4.00,"21,59536"
31/01/2012 5.00,
31/01/2012 6.00,"22,6109"
31/01/2012 7.00,
31/01/2012 8.00,"23,93569"
31/01/2012 9.00,
31/01/2012 10.00,"32,37484"
31/01/2012 11.00,
31/01/2012 12.00,"52,71469"
31/01/2012 13.00,
31/01/2012 14.00,"83,87259"
31/01/2012 15.00,
31/01/2012 16.00,"101,3281"
31/01/2012 17.00,
31/01/2012 18.00,"124,6651"
31/01/2012 19.00,
31/01/2012 20.00,"134,9382"
31/01/2012 21.00,
31/01/2012 22.00,"80,4382"
31/01/2012 23.00,
01/02/2012 0.00,"54,90232"
01/02/2012 1.00,
01/02/2012 2.00,"47,48405"
01/02/2012 3.00,
01/02/2012 4.00,"42,47964"
01/02/2012 5.00,
01/02/2012 6.00,"36,03445"
01/02/2012 7.00,
01/02/2012 8.00,"32,17779"
01/02/2012 9.00,
01/02/2012 10.00,"20,09495"
01/02/2012 11.00,
01/02/2012 12.00,"12,95923"
01/02/2012 13.00,
01/02/2012 14.00,"14,80837"
01/02/2012 15.00,
01/02/2012 16.00,"19,41459"
01/02/2012 17.00,
01/02/2012 18.00,"14,56688"
01/02/2012 19.00,
01/02/2012 20.00,"17,46574"
01/02/2012 21.00,
01/02/2012 22.00,"19,09815"
01/02/2012 23.00,
02/02/2012 0.00,"16,61341"
02/02/2012 1.00,
02/02/2012 2.00,"12,15608"
02/02/2012 3.00,
02/02/2012 4.00,"11,29867"
02/02/2012 5.00,
02/02/2012 6.00,"12,3433"
02/02/2012 7.00,
02/02/2012 8.00,"8,193597"
02/02/2012 9.00,
02/02/2012 10.00,"15,70919"
02/02/2012 11.00,
02/02/2012 12.00,"22,79575"
02/02/2012 13.00,
02/02/2012 14.00,"15,61558"
02/02/2012 15.00,
02/02/2012 16.00,"16,12636"
02/02/2012 17.00,
02/02/2012 18.00,"16,45196"
02/02/2012 19.00,
02/02/2012 20.00,"13,60839"
02/02/2012 21.00,
02/02/2012 22.00,"21,78198"
02/02/2012 23.00,
03/02/2012 0.00,"28,27906"
03/02/2012 1.00,
03/02/2012 2.00,"25,66272"
03/02/2012 3.00,
03/02/2012 4.00,"33,61314"
03/02/2012 5.00,
03/02/2012 6.00,"41,4886"
03/02/2012 7.00,
03/02/2012 8.00,"44,23881"
03/02/2012 9.00,
03/02/2012 10.00,"44,89011"
03/02/2012 11.00,
03/02/2012 12.00,"37,95245"
03/02/2012 13.00,
03/02/2012 14.00,"29,79887"
03/02/2012 15.00,
03/02/2012 16.00,"24,13376"
03/02/2012 17.00,
03/02/2012 18.00,"16,05921"
03/02/2012 19.00,
03/02/2012 20.00,"21,36243"
03/02/2012 21.00,
03/02/2012 22.00,"26,99769"
03/02/2012 23.00,
04/02/2012 0.00,"22,88596"
04/02/2012 1.00,
04/02/2012 2.00,"25,01458"
04/02/2012 3.00,
04/02/2012 4.00,"28,47849"
04/02/2012 5.00,
04/02/2012 6.00,"28,40082"
04/02/2012 7.00,
04/02/2012 8.00,"21,01478"
04/02/2012 9.00,
04/02/2012 10.00,"27,18593"
04/02/2012 11.00,
04/02/2012 12.00,"26,58119"
04/02/2012 13.00,
04/02/2012 14.00,"24,17853"
04/02/2012 15.00,
04/02/2012 16.00,"27,43996"
04/02/2012 17.00,
04/02/2012 18.00,"19,31827"
04/02/2012 19.00,
04/02/2012 20.00,"21,68803"
04/02/2012 21.00,
04/02/2012 22.00,"23,16917"
04/02/2012 23.00,
05/02/2012 0.00,"16,94444"
05/02/2012 1.00,
05/02/2012 2.00,"21,19216"
05/02/2012 3.00,
05/02/2012 4.00,"22,07163"
05/02/2012 5.00,
05/02/2012 6.00,"21,63919"
05/02/2012 7.00,
05/02/2012 8.00,"28,83326"
05/02/2012 9.00,
05/02/2012 10.00,"29,64862"
05/02/2012 11.00,
05/02/2012 12.00,"26,86236"
05/02/2012 13.00,
05/02/2012 14.00,"22,45556"
05/02/2012 15.00,
05/02/2012 16.00,"14,25349"
05/02/2012 17.00,
05/02/2012 18.00,"13,51377"
05/02/2012 19.00,
05/02/2012 20.00,"12,90191"
05/02/2012 21.00,
05/02/2012 22.00,"11,31325"
05/02/2012 23.00,
06/02/2012 0.00,"13,26346"
06/02/2012 1.00,
06/02/2012 2.00,"9,671008"
06/02/2012 3.00,
06/02/2012 4.00,"15,98087"
06/02/2012 5.00,
06/02/2012 6.00,"20,61591"
06/02/2012 7.00,
06/02/2012 8.00,"14,40747"
06/02/2012 9.00,
06/02/2012 10.00,"21,33902"
06/02/2012 11.00,
06/02/2012 12.00,"30,87496"
06/02/2012 13.00,
06/02/2012 14.00,"30,17466"
06/02/2012 15.00,
06/02/2012 16.00,"34,37796"
06/02/2012 17.00,
06/02/2012 18.00,"39,22872"
06/02/2012 19.00,
06/02/2012 20.00,"38,54462"
06/02/2012 21.00,
06/02/2012 22.00,"39,03812"
06/02/2012 23.00,
07/02/2012 0.00,"43,65417"
07/02/2012 1.00,
07/02/2012 2.00,"49,89146"
07/02/2012 3.00,
07/02/2012 4.00,"47,66381"
07/02/2012 5.00,
07/02/2012 6.00,"35,659"
07/02/2012 7.00,
07/02/2012 8.00,"40,23672"
07/02/2012 9.00,
07/02/2012 10.00,"38,20275"
07/02/2012 11.00,
07/02/2012 12.00,"39,07067"
07/02/2012 13.00,
07/02/2012 14.00,"42,31108"
07/02/2012 15.00,
07/02/2012 16.00,"45,1421"
07/02/2012 17.00,
07/02/2012 18.00,"42,42775"
07/02/2012 19.00,
07/02/2012 20.00,"34,09137"
07/02/2012 21.00,
07/02/2012 22.00,"32,17033"
07/02/2012 23.00,
08/02/2012 0.00,"33,23735"
08/02/2012 1.00,
08/02/2012 2.00,"32,58174"
08/02/2012 3.00,
08/02/2012 4.00,"28,07014"
08/02/2012 5.00,
08/02/2012 6.00,"25,37918"
08/02/2012 7.00,
08/02/2012 8.00,"19,9827"
08/02/2012 9.00,
08/02/2012 10.00,"18,35707"
08/02/2012 11.00,
08/02/2012 12.00,"18,99605"
08/02/2012 13.00,
08/02/2012 14.00,"15,73226"
08/02/2012 15.00,
08/02/2012 16.00,"15,08614"
08/02/2012 17.00,
