, Brindisi,,
,P.za San Giusto Casale,,
Parm,SO2,NO2,PM10



15/01/2008 14.00,,,
15/01/2008 15.00,,,
15/01/2008 16.00,,,
15/01/2008 17.00,,,
15/01/2008 18.00,,,
15/01/2008 19.00,,,
15/01/2008 20.00,,,
15/01/2008 21.00,,,
15/01/2008 22.00,,,
15/01/2008 23.00,,,
16/01/2008 0.00,,,
16/01/2008 1.00,,,
16/01/2008 2.00,,,
16/01/2008 3.00,,,
16/01/2008 4.00,,,
16/01/2008 5.00,,,
16/01/2008 6.00,,,
16/01/2008 7.00,,,
16/01/2008 8.00,,,
16/01/2008 9.00,,,
16/01/2008 10.00,,,
16/01/2008 11.00,,,
16/01/2008 12.00,,,
16/01/2008 13.00,,,
16/01/2008 14.00,,,
16/01/2008 15.00,,,
16/01/2008 16.00,,,
16/01/2008 17.00,,,
16/01/2008 18.00,,,
16/01/2008 19.00,,,
16/01/2008 20.00,,,
16/01/2008 21.00,,,
16/01/2008 22.00,,,
16/01/2008 23.00,,,
17/01/2008 0.00,,,
17/01/2008 1.00,,,
17/01/2008 2.00,,,
17/01/2008 3.00,,,
17/01/2008 4.00,,,
17/01/2008 5.00,,,
17/01/2008 6.00,,,
17/01/2008 7.00,,,
17/01/2008 8.00,,,
17/01/2008 9.00,,,
17/01/2008 10.00,,,
17/01/2008 11.00,,,
17/01/2008 12.00,,,
17/01/2008 13.00,,,
17/01/2008 14.00,,,
17/01/2008 15.00,,,
17/01/2008 16.00,,,
17/01/2008 17.00,,,
17/01/2008 18.00,,,
17/01/2008 19.00,,,
17/01/2008 20.00,,,
17/01/2008 21.00,,,
17/01/2008 22.00,,,
17/01/2008 23.00,,,
18/01/2008 0.00,,,
18/01/2008 1.00,,,
18/01/2008 2.00,,,
18/01/2008 3.00,,,
18/01/2008 4.00,,,
18/01/2008 5.00,,,
18/01/2008 6.00,,,
18/01/2008 7.00,,,
18/01/2008 8.00,,,
18/01/2008 9.00,,,
18/01/2008 10.00,,,
18/01/2008 11.00,,,
18/01/2008 12.00,,,
18/01/2008 13.00,,,
18/01/2008 14.00,,,
18/01/2008 15.00,,,
18/01/2008 16.00,,,
18/01/2008 17.00,,,
18/01/2008 18.00,,,
18/01/2008 19.00,,,
18/01/2008 20.00,,,
18/01/2008 21.00,,,
18/01/2008 22.00,,,
18/01/2008 23.00,,,
19/01/2008 0.00,,,
19/01/2008 1.00,,,
19/01/2008 2.00,,,
19/01/2008 3.00,,,
19/01/2008 4.00,,,
19/01/2008 5.00,,,
19/01/2008 6.00,,,
19/01/2008 7.00,,,
19/01/2008 8.00,,,
19/01/2008 9.00,,,
19/01/2008 10.00,,,
19/01/2008 11.00,,,
19/01/2008 12.00,,,
19/01/2008 13.00,,,
19/01/2008 14.00,,,
19/01/2008 15.00,,,
19/01/2008 16.00,,,
19/01/2008 17.00,,,
19/01/2008 18.00,,,
19/01/2008 19.00,,,
19/01/2008 20.00,,,
19/01/2008 21.00,,,
19/01/2008 22.00,,,
19/01/2008 23.00,,,
20/01/2008 0.00,,,
20/01/2008 1.00,,,
20/01/2008 2.00,,,
20/01/2008 3.00,,,
20/01/2008 4.00,,,
20/01/2008 5.00,,,
20/01/2008 6.00,,,
20/01/2008 7.00,,,
20/01/2008 8.00,,,
20/01/2008 9.00,,,
20/01/2008 10.00,,,
20/01/2008 11.00,,,
20/01/2008 12.00,,,
20/01/2008 13.00,,,
20/01/2008 14.00,,,
20/01/2008 15.00,,,
20/01/2008 16.00,,,
20/01/2008 17.00,,,
20/01/2008 18.00,,,
20/01/2008 19.00,,,
20/01/2008 20.00,,,
20/01/2008 21.00,,,
20/01/2008 22.00,,,
20/01/2008 23.00,,,
21/01/2008 0.00,,,
21/01/2008 1.00,,,
21/01/2008 2.00,,,
21/01/2008 3.00,,,
21/01/2008 4.00,,,
21/01/2008 5.00,,,
21/01/2008 6.00,,,
21/01/2008 7.00,,,
21/01/2008 8.00,,,
21/01/2008 9.00,,,
21/01/2008 10.00,,,
21/01/2008 11.00,,,
21/01/2008 12.00,,,
21/01/2008 13.00,,,
21/01/2008 14.00,,,
21/01/2008 15.00,,,
21/01/2008 16.00,,,
21/01/2008 17.00,,,
21/01/2008 18.00,,,
21/01/2008 19.00,,,
21/01/2008 20.00,,,
21/01/2008 21.00,,,
21/01/2008 22.00,,,
21/01/2008 23.00,,,
22/01/2008 0.00,,,
22/01/2008 1.00,,,
22/01/2008 2.00,,,
22/01/2008 3.00,,,
22/01/2008 4.00,,,
22/01/2008 5.00,,,
22/01/2008 6.00,,,
22/01/2008 7.00,,,
22/01/2008 8.00,,,
22/01/2008 9.00,,,
22/01/2008 10.00,,,
22/01/2008 11.00,,,
22/01/2008 12.00,"0,54569","12,564695","23,93162"
22/01/2008 13.00,"1,677072","12,092273",
22/01/2008 14.00,"1,773194","15,717231","16,60561"
22/01/2008 15.00,"2,247837","12,812593",
22/01/2008 16.00,"1,823346","13,146147","14,65201"
22/01/2008 17.00,"1,438258","16,289591",
22/01/2008 18.00,"1,299148","18,055991","25,88522"
22/01/2008 19.00,"1,896781","22,815284",
22/01/2008 20.00,"1,834092","31,568133","28,327221"
22/01/2008 21.00,"1,546918","31,533087",
22/01/2008 22.00,"1,230489","28,653116","31,25762"
22/01/2008 23.00,"1,171383","24,354557",
23/01/2008 0.00,"1,545724","14,105269","24,908421"
23/01/2008 1.00,"0,896747","14,231167",
23/01/2008 2.00,"1,468707","6,402402","19,53602"
23/01/2008 3.00,"2,115296","3,239488",
23/01/2008 4.00,"1,434676","2,362127","8,791209"
23/01/2008 5.00,"1,177353","3,059083",
23/01/2008 6.00,"1,315268","2,089575","11,72161"
23/01/2008 7.00,"1,73379","1,996126",
23/01/2008 8.00,"1,731999","2,272575","15,14041"
23/01/2008 9.00,"2,4771","2,838446",
23/01/2008 10.00,"2,351722","3,997445","15,14041"
23/01/2008 11.00,"1,889616","8,968297",
23/01/2008 12.00,"1,515872","9,880701","12,69841"
23/01/2008 13.00,"1,228101","6,633424",
23/01/2008 14.00,"0,832864","1,540575","21,001221"
23/01/2008 15.00,"0,377923","1,772894",
23/01/2008 16.00,"1,04302","3,416","20,51281"
23/01/2008 17.00,"1,145114","8,623063",
23/01/2008 18.00,"0,911075","1,689829","19,53602"
23/01/2008 19.00,"0,370162","1,805339",
23/01/2008 20.00,"0,336131","2,044148","18,07081"
23/01/2008 21.00,"0,379714","2,074",
23/01/2008 22.00,"0,306279","1,361468","24,908421"
23/01/2008 23.00,"0,343892","0,950042",
24/01/2008 0.00,"0,290756","0,787807","26,37361"
24/01/2008 1.00,,"0,463341",
24/01/2008 2.00,"0,331436",,"27,83882"
24/01/2008 3.00,"1,124","3,550978",
24/01/2008 4.00,"0,979898","2,302427","15,62881"
24/01/2008 5.00,"0,938468","2,036362",
24/01/2008 6.00,"0,875423","1,242064","21,001221"
24/01/2008 7.00,"0,891634","1,601575",
24/01/2008 8.00,"0,655667","1,870234","26,37361"
24/01/2008 9.00,"0,990705","1,323829",
24/01/2008 10.00,"1,09518","2,748894","25,88522"
24/01/2008 11.00,"1,486058","3,003276",
24/01/2008 12.00,"2,024641","6,425765","21,001221"
24/01/2008 13.00,"1,48966","3,227808",
24/01/2008 14.00,"1,831905","9,081212","17,094"
24/01/2008 15.00,"1,210462","7,066912",
24/01/2008 16.00,"1,080769","2,228447","10,25641"
24/01/2008 17.00,"0,504359","1,191447",
24/01/2008 18.00,"0,904243","1,095404","12,69841"
24/01/2008 19.00,"1,368975","3,082446",
24/01/2008 20.00,"0,897039","4,621722","12,21001"
24/01/2008 21.00,"0,239571","4,585381",
24/01/2008 22.00,"0,35125","1,077234","9,76801"
24/01/2008 23.00,"0,383673","1,541871",
25/01/2008 0.00,"0,172924","2,058425","8,791209"
25/01/2008 1.00,"0,01441","5,608106",
25/01/2008 2.00,0,"6,560745","15,62881"
25/01/2008 3.00,"0,010808","5,558786",
25/01/2008 4.00,"0,009007","4,625615","17,094"
25/01/2008 5.00,"0,009007","7,562702",
25/01/2008 6.00,"0,009007","7,850828","15,14041"
25/01/2008 7.00,"0,003602","11,159099",
25/01/2008 8.00,"0,01441","13,165605","16,60561"
25/01/2008 9.00,"0,003602","13,913186",
25/01/2008 10.00,"0,009007","11,278505","14,65201"
25/01/2008 11.00,"0,021615","10,238913",
25/01/2008 12.00,"0,190936","10,369997","14,65201"
25/01/2008 13.00,"0,037827","11,051379",
25/01/2008 14.00,"0,016212","8,656807","21,48962"
25/01/2008 15.00,"0,01441","6,446532",
25/01/2008 16.00,"0,02702","6,671063","19,53602"
25/01/2008 17.00,"0,075654","8,072764",
25/01/2008 18.00,"0,012609","10,113019","23,44322"
25/01/2008 19.00,"0,02702","12,432307",
25/01/2008 20.00,"0,016212","12,676309","31,25762"
25/01/2008 21.00,"0,003602","19,068334",
25/01/2008 22.00,"0,018013","19,549835","25,88522"
25/01/2008 23.00,"0,016212","19,486243",
26/01/2008 0.00,"0,018013","19,547235","31,746031"
26/01/2008 1.00,,"20,586828",
26/01/2008 2.00,"0,586555",,"32,722832"
26/01/2008 3.00,"0,161933","22,344147",
26/01/2008 4.00,"0,704555","16,196143","23,93162"
26/01/2008 5.00,"0,530778","13,985863",
26/01/2008 6.00,"0,276334","13,782099","29,79241"
26/01/2008 7.00,"0,365547","12,072804",
26/01/2008 8.00,"0,330611","12,492017","23,93162"
26/01/2008 9.00,"0,352203","9,640594",
26/01/2008 10.00,"0,494043","10,558186","27,83882"
26/01/2008 11.00,"1,085547","10,664615",
26/01/2008 12.00,"0,696908","9,0877","21,48962"
26/01/2008 13.00,"0,69406","6,807339",
26/01/2008 14.00,"1,156167","2,65285","26,86202"
26/01/2008 15.00,"1,020324","2,378998",
26/01/2008 16.00,"0,808162","3,342021","13,18681"
26/01/2008 17.00,"0,016493","1,996126",
26/01/2008 18.00,"0,010046","2,495808","17,094"
26/01/2008 19.00,"0,368546","14,686712",
26/01/2008 20.00,"0,69421","28,749156","24,908421"
26/01/2008 21.00,"0,178875","20,401231",
26/01/2008 22.00,"0,221307","16,998222","35,653221"
26/01/2008 23.00,"0,496742","16,717886",
27/01/2008 0.00,"0,329712","14,625712","26,37361"
27/01/2008 1.00,"0,993635","15,630272",
27/01/2008 2.00,"0,337659","18,828229","25,88522"
27/01/2008 3.00,"0,786571","17,596553",
27/01/2008 4.00,"0,858092","6,31934","16,11721"
27/01/2008 5.00,"0,686113","13,496567",
27/01/2008 6.00,"0,069421","9,654872","14,65201"
27/01/2008 7.00,"0,773377","12,73082",
27/01/2008 8.00,"0,691362","19,695186","18,07081"
27/01/2008 9.00,"0,975343","18,123483",
27/01/2008 10.00,"2,283246","20,220834","28,327221"
27/01/2008 11.00,"2,903987","14,973549",
27/01/2008 12.00,"2,007962","8,475105","35,164822"
27/01/2008 13.00,"1,671802","6,190851",
27/01/2008 14.00,"1,576141","7,670423","25,88522"
27/01/2008 15.00,"1,380773","11,627633",
27/01/2008 16.00,"1,721131","11,778187","16,11721"
27/01/2008 17.00,"1,880214","28,567459",
27/01/2008 18.00,"3,166678","59,673557","27,83882"
27/01/2008 19.00,"4,293008","74,621154",
27/01/2008 20.00,"2,859005","56,732576","58,119652"
