,ARPA Puglia,
,S.Barbara,
Parm,SO2,NO2



16/01/2008 5.00,"0,89730102",
16/01/2008 6.00,"0,89488798",
16/01/2008 7.00,"0,68461001",
16/01/2008 8.00,"0,84076703",
16/01/2008 9.00,"0,918329",
16/01/2008 10.00,,"15,46495375"
16/01/2008 11.00,"1,178936","11,03052634"
16/01/2008 12.00,"1,16342402","7,3800734"
16/01/2008 13.00,"0,97038102","5,73807138"
16/01/2008 14.00,"1,06517899","6,99064057"
16/01/2008 15.00,"0,99106401","6,22198873"
16/01/2008 16.00,"1,03449905","5,20307924"
16/01/2008 17.00,"0,86662102","5,37034341"
16/01/2008 18.00,"0,72701001","9,53663802"
16/01/2008 19.00,"1,32061505","12,2677729"
16/01/2008 20.00,"1,28752196","17,97391995"
16/01/2008 21.00,"1,13757002","29,28534543"
16/01/2008 22.00,"0,96900302","16,73922591"
16/01/2008 23.00,"0,72942299","17,2831622"
17/01/2008 0.00,"0,94556201","16,76859584"
17/01/2008 1.00,"1,16514695","7,7937655"
17/01/2008 2.00,"0,896267","8,00444314"
17/01/2008 3.00,"0,63324702","5,3754522"
17/01/2008 4.00,"0,98899603","6,54502791"
17/01/2008 5.00,"1,00967896","5,39332735"
17/01/2008 6.00,"0,88144398","6,70846047"
17/01/2008 7.00,"0,59360403","6,91658372"
17/01/2008 8.00,"0,814224","9,50982437"
17/01/2008 9.00,"0,940391","15,38706154"
17/01/2008 10.00,"0,913158","12,80276316"
17/01/2008 11.00,"0,67392403","13,69399037"
17/01/2008 12.00,"0,65668797","7,27409598"
17/01/2008 13.00,"0,79078299","7,09917051"
17/01/2008 14.00,"0,84455901","9,08847096"
17/01/2008 15.00,"1,00175095","8,28917575"
17/01/2008 16.00,"0,91143501","10,9475291"
17/01/2008 17.00,"0,61153001","8,77181778"
17/01/2008 18.00,"1,05345905","11,62679958"
17/01/2008 19.00,"1,35612094","26,81213139"
17/01/2008 20.00,"1,47022295","23,56898643"
17/01/2008 21.00,"1,67877698","30,74603598"
17/01/2008 22.00,"2,11829305","27,39052008"
17/01/2008 23.00,"1,31061804","18,78853215"
18/01/2008 0.00,"1,14894497","14,90697955"
18/01/2008 1.00,,"10,11503424"
18/01/2008 2.00,"0,39876801",
18/01/2008 3.00,"0,59282601","8,4487786"
18/01/2008 4.00,"0,48125699","4,4803934"
18/01/2008 5.00,"0,33801699","6,54885762"
18/01/2008 6.00,"0,368249","5,29373404"
18/01/2008 7.00,"0,458655","7,88697281"
18/01/2008 8.00,"0,21665899","12,23585233"
18/01/2008 9.00,"0,363354","13,27646103"
18/01/2008 10.00,"0,45736","19,5227109"
18/01/2008 11.00,"0,290223","8,86630229"
18/01/2008 12.00,"0,45116901","7,980182"
18/01/2008 13.00,"0,465709","5,40226398"
18/01/2008 14.00,"0,27251601","7,84356121"
18/01/2008 15.00,"0,443252","5,33714752"
18/01/2008 16.00,"0,388403","9,43832192"
18/01/2008 17.00,"0,40913299","14,72184024"
18/01/2008 18.00,"0,46383801","20,5045929"
18/01/2008 19.00,"0,49032599","17,07631052"
18/01/2008 20.00,"0,62348902","18,38761581"
18/01/2008 21.00,"0,52516502","26,49674412"
18/01/2008 22.00,"0,74902201","19,54441764"
18/01/2008 23.00,"0,73477","20,56971312"
19/01/2008 0.00,"0,77335101","29,70159192"
19/01/2008 1.00,"0,71994197","27,93828609"
19/01/2008 2.00,"0,62708801","19,56612438"
19/01/2008 3.00,"0,35270101",
19/01/2008 4.00,"0,25394499",
19/01/2008 5.00,"0,31915799",
19/01/2008 6.00,"0,274243","7,25111393"
19/01/2008 7.00,"0,406542","6,80166967"
19/01/2008 8.00,"0,45045","12,20137736"
