,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



07/01/2008 12.00,"2,5945","16,160303","4,494197","9,275892","27,97217"
07/01/2008 13.00,"2,927749","21,036913","6,659667","10,833334","27,97217"
07/01/2008 14.00,"2,817281","16,590899","5,933049","7,499105","27,97217"
07/01/2008 15.00,"2,681321","19,322327","5,949123","10,207757","27,97217"
07/01/2008 16.00,"2,530769","18,701077","5,603154","10,116914","27,97217"
07/01/2008 17.00,"2,6078","17,44431","5,477117","9,052658","27,97217"
07/01/2008 18.00,"2,773316","24,375341","5,854382","15,409635","27,97217"
07/01/2008 19.00,"3,433717","55,649275","10,594726","39,431939","27,97217"
07/01/2008 20.00,"3,817397","60,307995","12,978426","40,436486","27,97217"
07/01/2008 21.00,"3,993442","76,068844","24,44443","38,615573","27,97217"
07/01/2008 22.00,"5,761656","107,515293","40,16016","45,970614","27,97217"
07/01/2008 23.00,"4,303046","70,334909","19,075583","41,115285","27,97217"
08/01/2008 0.00,"3,916226","56,965686","10,573576","40,781715","27,97217"
08/01/2008 1.00,"30,452959","7,837141","18,449245","16,59313",
08/01/2008 2.00,"0,945205","16,59313",,,
08/01/2008 3.00,"1,038621","22,339082","8,041846","10,015681","16,59313"
08/01/2008 4.00,"0,931575","19,850192","8,689794","6,530893","16,59313"
08/01/2008 5.00,"1,049196","20,841067","8,742241","7,441999","16,59313"
08/01/2008 6.00,"0,94027","20,457175","8,796376","6,974766","16,59313"
08/01/2008 7.00,"0,921645","20,368975","8,231325","7,753487","16,59313"
08/01/2008 8.00,"1,123694","37,132377","10,774896","20,625757","16,59313"
08/01/2008 9.00,"1,270634","38,110269","12,429451","19,065742","16,59313"
08/01/2008 10.00,"1,337023","38,45137","13,268567","18,119586","16,59313"
08/01/2008 11.00,"1,127748","23,318292","8,815832","9,80802","16,59313"
08/01/2008 12.00,"1,112355","21,263886","7,870977","9,201913","16,59313"
08/01/2008 13.00,"0,924172","20,877395","7,404048","9,531573","16,59313"
08/01/2008 14.00,"0,781874","21,95647","7,329609","10,725616","16,59313"
08/01/2008 15.00,"0,780581","24,252114","7,845599","12,231138","16,59313"
08/01/2008 16.00,"1,032275","23,269019","7,586759","11,644508","16,59313"
08/01/2008 17.00,"0,83011","23,914913","7,278855","12,763269","16,59313"
08/01/2008 18.00,"0,768831","26,56462","7,119829","15,658825","16,59313"
08/01/2008 19.00,"0,854433","22,738556","7,257708","11,618551","16,59313"
08/01/2008 20.00,"0,892798","20,516831","6,820386","10,066296","16,59313"
08/01/2008 21.00,"0,750618","20,208158","6,458347","10,312882","16,59313"
08/01/2008 22.00,"0,788102","24,170413","6,187663","14,693202","16,59313"
08/01/2008 23.00,"0,849498","22,402635","5,712272","13,653609","16,59313"
09/01/2008 0.00,"0,652854","12,729805","5,131994","4,864424","16,59313"
09/01/2008 1.00,"0,647038","12,563794","4,930674","5,007191","33,60955"
