,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



06/01/2008 16.00,,,"7,13875239","0,30474425","60,42795192","25,39682007","0,30647799"
06/01/2008 17.00,,,"13,67866962","0,34674455","53,53956612",,"0,59584397"
06/01/2008 18.00,,,"21,77376003","0,403512","41,83109568","38,0952301","0,94412398"
06/01/2008 19.00,,,"31,77514989","0,5143444","30,20659884",,"1,43816996"
06/01/2008 20.00,,,"27,58078323","0,4888466","33,0983514","37,11843109","2,10852194"
06/01/2008 21.00,,,"25,54166637","0,4202008","35,09445096",,"1,77778602"
06/01/2008 22.00,,,"24,58149111","0,4639054","36,83274372","36,14162064","1,69201601"
06/01/2008 23.00,,,"20,13048081","0,4068608","42,67077282",,"1,48473799"
07/01/2008 0.00,,,"11,11862862","0,2756228","53,32302018","28,32722092","1,165048"
07/01/2008 1.00,,,"6,58588511","0,27382995","59,55731442",,"0,80702102"
07/01/2008 2.00,,,"5,59506648","0,25298505","58,72352328","29,30401993","0,47520301"
07/01/2008 3.00,,,"2,73752276","0,26346615","53,46295002",,"0,415207"
07/01/2008 4.00,,,"1,59220631","0,1775209","51,11331768","25,88521957","0,30561101"
07/01/2008 5.00,,,"1,40195821","0,15956365","50,91886386",,"0,19363301"
07/01/2008 6.00,,,"9,46258117","0,29743715","27,81423414","20,02441978","0,254062"
07/01/2008 7.00,,,"29,99909088","0,45332195","9,07288249",,"1,35478199"
07/01/2008 8.00,,,"46,80599517","0,792442",,"22,95482063","1,72580397"
07/01/2008 9.00,,,"75,94962606","2,2501383",,,"5,32079697"
07/01/2008 10.00,,,"72,61965414","1,7749468",,"41,5140419",
07/01/2008 11.00,,,"40,1601024","0,689011","19,88435988",,"8,13042736"
07/01/2008 12.00,,,"27,07897005","0,4241614","31,30702578","25,39682007","3,58719492"
07/01/2008 13.00,,,"26,76360159","0,4552827","34,56265086",,"2,80075002"
07/01/2008 14.00,,,"22,23468027","0,9896095","44,86723182","25,39682007","2,36605"
07/01/2008 15.00,,,"31,53639456","0,72968075","37,02866904",,
