,,,ARPA Puglia,,
,,,Viale Pitagora,,
Parm,NO2,CO,O3,PM2.5,Benzene



07/01/2008 5.00,"9,85158138","0,32350305","59,88875508","15,97842026",0
07/01/2008 6.00,"70,93239714","1,0253653","15,67257568","15,97842026","0,44641"
07/01/2008 7.00,"101,90089899","1,646271","7,20278453","15,97842026","1,20095599"
07/01/2008 8.00,"118,11051054","2,87297945","7,8123328","15,97842026",
07/01/2008 9.00,"125,47016757","2,9330727","9,74478704","15,97842026",
07/01/2008 10.00,"76,99314843","1,3900303","30,75821514","15,97842026",
07/01/2008 11.00,"32,4256185","0,6450718","52,95216294","15,97842026","0,78873599"
07/01/2008 12.00,"32,2367661","0,56101485","54,43345332","15,97842026","0,47930101"
07/01/2008 13.00,"47,73951666","0,79953405","49,01937318","15,97842026","0,405296"
07/01/2008 14.00,"45,71586162","0,7789525","54,98842464","15,97842026","0,95687002"
07/01/2008 15.00,"42,65359362","0,60777615","56,05045524","15,97842026","0,767097"
07/01/2008 16.00,"27,77606865","0,37666755","61,73870526","15,97842026","0,23846"
07/01/2008 17.00,"42,09343182","0,5650824","47,78963082","15,97842026","0,38409001"
07/01/2008 18.00,"47,65020678","0,5735809","38,32033212","15,97842026","0,38365701"
07/01/2008 19.00,"58,66033932","0,8750925","27,4243455","15,97842026","0,53945702"
07/01/2008 20.00,"69,88357035","1,1748722","16,37928023","15,97842026","1,18472695"
07/01/2008 21.00,"81,44619021","1,6930323","13,48059789","15,97842026","1,94143796"
07/01/2008 22.00,"64,43017515","1,464341","10,86805951","15,97842026","2,71005011"
07/01/2008 23.00,"64,70703954","1,3327166","8,47644822","15,97842026","1,707955"
08/01/2008 0.00,"53,83470906","1,1233177","9,63698495","15,97842026","1,66402805"
08/01/2008 1.00,"42,49156428","1,20616715","11,055715","13,31935978","1,39657199"
08/01/2008 2.00,"29,92221441","1,04908865","21,85026426","13,31935978","1,50757897"
08/01/2008 3.00,"19,39692843",,"22,74758496","13,31935978","1,04039598"
08/01/2008 4.00,"27,61020207","0,64342615","26,16931296","13,31935978","0,79003501"
08/01/2008 5.00,"12,30777801","0,4715299","37,39138398","13,31935978","0,367428"
08/01/2008 6.00,"44,60834763","0,62077115","22,4361567","13,31935978","0,11685"
08/01/2008 7.00,"57,54770901","0,8376968","17,41737443","13,31935978","0,37240499"
08/01/2008 8.00,"80,81842527","1,6220175","8,65478617","13,31935978","1,07371998"
08/01/2008 9.00,"96,68099232","1,58338555","7,51820546","13,31935978","1,55237198"
08/01/2008 10.00,"73,90791342","0,828","12,46379728","13,31935978","1,341609"
08/01/2008 11.00,"73,09129608","1,01034745","11,86356458","13,31935978","0,77293998"
08/01/2008 12.00,"54,33872301","0,9996168","15,48625239","13,31935978","1,01248205"
08/01/2008 13.00,"49,79377557","0,98510955","16,37395733","13,31935978","0,90125799"
08/01/2008 14.00,"63,50765751","0,86241835","15,03374848","13,31935978","1,32992399"
08/01/2008 15.00,"33,54078816","0,5716466","27,72245178","13,31935978","0,70694101"
08/01/2008 16.00,"36,18964998","0,65991945","28,33600842","13,31935978","0,73399001"
08/01/2008 17.00,"18,72196168","0,42665805","50,7228993","13,31935978","0,25707"
08/01/2008 18.00,"35,13570687","0,58897595","41,84853786","13,31935978",0
08/01/2008 19.00,"48,79599912","0,7378584","34,02820206","13,31935978","0,83937103"
08/01/2008 20.00,"42,19425342","0,63070715","43,5826908","13,31935978","0,28952801"
08/01/2008 21.00,"49,37145345","0,8200903","34,77219246","13,31935978","0,59939599"
08/01/2008 22.00,"22,16572281","0,45964695","51,17009796","13,31935978","0,40702701"
08/01/2008 23.00,"22,72204737","0,4071437","47,53674864","13,31935978","0,077683"
09/01/2008 0.00,"37,78076907","0,56632095","32,68401624","13,31935978","0,18241601"
09/01/2008 1.00,"34,04604357","0,4995899","30,22319736","12,23456001","0,460908"
09/01/2008 2.00,"16,09478591","0,40491845","43,62926868","12,23456001","0,43991801"
09/01/2008 3.00,"8,51311445","0,3478451","53,70810192","12,23456001","0,278276"
09/01/2008 4.00,"7,7845486","0,3321453","56,01984804","12,23456001","0,122909"
09/01/2008 5.00,"11,04076274","0,35146185","54,33629508","12,23456001",0
09/01/2008 6.00,"21,53795787","0,4017778","50,88395988","12,23456001",0
09/01/2008 7.00,"50,74945524","0,5734751","31,46225922","12,23456001","0,071841"
09/01/2008 8.00,"78,54724944","1,0192105","18,37029429","12,23456001","0,564991"
09/01/2008 9.00,"76,66267554","1,3530256","18,12274875","12,23456001","1,39267695"
09/01/2008 10.00,"49,72233519","0,92441945","37,56839562","12,23456001","1,52207696"
09/01/2008 11.00,"29,63001987","0,6365503","56,55888792","12,23456001","0,79717499"
09/01/2008 12.00,"21,59282664","0,52900115","67,81955148","12,23456001","0,46134001"
09/01/2008 13.00,"54,55945836","0,65435575","60,44374602","12,23456001","0,278492"
09/01/2008 14.00,"42,79267476","0,6692195","62,92053558","12,23456001","0,63769698"
09/01/2008 15.00,"22,19890365","0,49410555","74,2317795","12,23456001","0,50613302"
09/01/2008 16.00,"22,16190438","0,57057365","70,67296656","12,23456001","0,147144"
09/01/2008 17.00,"72,35253333","1,06650655","32,50302174","12,23456001","0,61952001"
09/01/2008 18.00,"89,60459508","1,44555115","20,10975444","12,23456001","1,72851205"
09/01/2008 19.00,"108,69657579","1,58239195","14,7382909","12,23456001","1,81138897"
09/01/2008 20.00,"102,38192712","1,47786385","11,68522663","12,23456001","2,10199809"
