, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



07/01/2008 18.00,"0,608587","18,897011","10,25641","0,27215","0,402943"
07/01/2008 19.00,"0,384673","12,685393",,"0,268458","0,480847"
07/01/2008 20.00,"0,40649","9,724956","15,14041","0,29318","0,566893"
07/01/2008 21.00,"0,409934","8,344021",,"0,294705","0,543345"
07/01/2008 22.00,"0,43529","12,289546","19,0476","0,35599","0,474025"
07/01/2008 23.00,"0,712056","19,760098",,"0,482333","0,407784"
08/01/2008 0.00,"0,5994","31,895197","33,699631","0,695123","0,504174"
08/01/2008 1.00,,"18,926864",,"0,436097","0,75373"
08/01/2008 2.00,"0,30709",,"16,11721","0,292257","0,423849"
08/01/2008 3.00,"0,33184","22,974915",,,"0,546867"
08/01/2008 4.00,"0,337514","19,660158","13,18681","0,395565","0,464121"
08/01/2008 5.00,"0,328006","16,996931",,"0,610413","0,52574"
08/01/2008 6.00,"0,314695","13,304482","24,908421","0,553141","0,944529"
08/01/2008 7.00,"0,912682","30,82446",,"0,570629","0,670325"
08/01/2008 8.00,"1,052288","40,245705","30,76923","0,531084","1,015169"
08/01/2008 9.00,"2,854067","47,624115",,"0,636523","0,528381"
08/01/2008 10.00,"1,160213","40,613001","33,699631","0,472329","0,307654"
08/01/2008 11.00,"0,329908","20,749062",,"0,311302","0,310955"
08/01/2008 12.00,"1,688089","17,884678","21,97802","0,063669","0,276845"
08/01/2008 13.00,"1,132886","21,825002",,"0,225276","0,300612"
08/01/2008 14.00,"0,269061","19,674441","14,65201","0,329511","0,306994"
08/01/2008 15.00,"0,375819","21,617339",,"0,346235","0,308534"
08/01/2008 16.00,"1,268995","13,867759","15,14041","0,195156","0,305893"
08/01/2008 17.00,"0,475616","8,393339",,"0,162389","0,305014"
08/01/2008 18.00,"0,309942","6,10519","11,72161","0,166641","0,303692"
08/01/2008 19.00,"0,325154","9,00204",,"0,183565","0,305893"
08/01/2008 20.00,"1,072315","14,506315","13,18681","0,182843","0,303692"
08/01/2008 21.00,"1,905073","21,440842",,"0,189461","0,306774"
08/01/2008 22.00,"0,924613","15,701648","7,326007","0,22676","0,306334"
08/01/2008 23.00,"1,623745","18,350609",,"0,24569","0,271783"
09/01/2008 0.00,"1,675454","13,112396","9,27961","0,232375","0,276404"
09/01/2008 1.00,"0,425688","13,457629",,"0,230369",
09/01/2008 2.00,"1,067163","14,424544","5,860806","0,223952",
09/01/2008 3.00,"0,460159","9,04487",,"0,189782",
09/01/2008 4.00,"0,44875","4,71517","8,302809","0,180919",
09/01/2008 5.00,"0,376494","7,165552",,"0,179635",
09/01/2008 6.00,"0,457859","7,256403","11,23321","0,195116",
09/01/2008 7.00,"0,327055","11,444631",,"0,222228",
09/01/2008 8.00,"1,804478","27,819868","8,791209","0,226358",
09/01/2008 9.00,"1,798682","40,849211",,"0,268028",
09/01/2008 10.00,"2,568844","34,008132","20,51281","0,339778",
09/01/2008 11.00,"11,329777","20,951543",,"0,214047",
09/01/2008 12.00,"5,535161","11,218807","18,07081","0,170852",
09/01/2008 13.00,"2,079365","7,721042",,"0,167282",
09/01/2008 14.00,"2,377469","8,193466","8,302809","0,203739",
09/01/2008 15.00,"1,336958","5,47702",,"0,190705",
09/01/2008 16.00,"0,854564","6,295977","4,884005","0,173659",
09/01/2008 17.00,"0,577469","8,293403",,"0,191025",
09/01/2008 18.00,"0,87269","48,354805","21,001221","0,350727",
09/01/2008 19.00,"1,574951","53,51904",,"0,46523",
09/01/2008 20.00,"3,516521","64,993527","36,141621","0,89669",
09/01/2008 21.00,"2,180574","47,573485",,"0,78303",
09/01/2008 22.00,"1,832786","43,452741","48,35165","0,80946",
09/01/2008 23.00,"1,818064","34,785549",,"0,88189",
10/01/2008 0.00,"0,879713","29,971746","52,25885","0,802641",
10/01/2008 1.00,,"29,762804",,"0,680359",
10/01/2008 2.00,"0,540096",,"37,118431","0,593809",
10/01/2008 3.00,"0,366191","32,755694",,,
10/01/2008 4.00,"0,403693","24,633596","41,514042","0,71112",
10/01/2008 5.00,"0,389354","19,339573",,"0,643261",
10/01/2008 6.00,"0,530904","24,872405","36,630032","0,593727",
10/01/2008 7.00,"2,207811","43,212651",,"0,593607",
10/01/2008 8.00,"4,119654","56,820833","38,58363","0,650982",
10/01/2008 9.00,"2,812615","41,381337",,"0,535471",
10/01/2008 10.00,"3,763022","50,6767","49,328442","0,592366",
10/01/2008 11.00,"3,233589","54,868835",,"0,651943",
10/01/2008 12.00,"1,77397","25,78221","39,072041","0,339056",
10/01/2008 13.00,"1,910005","9,687318",,"0,21294",
10/01/2008 14.00,"1,917358","8,704827","19,0476","0,233546",
10/01/2008 15.00,"1,070264","12,162356",,"0,227425",
10/01/2008 16.00,"1,258508","20,193568","11,23321","0,244229",
10/01/2008 17.00,"0,665469","18,634841",,"0,279999",
10/01/2008 18.00,"0,389354","18,37267","21,97802","0,284441",
10/01/2008 19.00,"0,401854","20,566065",,"0,267236",
10/01/2008 20.00,"0,555905","48,859686","16,11721","0,356941",
10/01/2008 21.00,"0,579068","47,739618",,"0,564679",
10/01/2008 22.00,"1,665142","40,391075","39,56044","0,673508",
10/01/2008 23.00,"0,930921","35,010096",,"0,640099",
11/01/2008 0.00,"0,619879","24,864622","38,09523","0,554757",
11/01/2008 1.00,"0,389354","20,139057",,"0,555036",
11/01/2008 2.00,"0,399281","14,316824","34,67643","0,537391",
11/01/2008 3.00,"0,388251","11,401799",,"0,49738",
11/01/2008 4.00,"0,423547","15,444678","32,234421","0,430721",
11/01/2008 5.00,"0,411414","18,316859",,"0,411316",
11/01/2008 6.00,"0,504432","21,510917","30,76923","0,401394",
11/01/2008 7.00,"0,716206","25,013873",,"0,403713",
11/01/2008 8.00,"2,095674","31,7109","31,746031","0,483016",
11/01/2008 9.00,"2,188326","35,505878",,"0,511503",
11/01/2008 10.00,"1,438662","28,315668","36,141621","0,469572",
11/01/2008 11.00,"2,417378","16,725667",,"0,330453",
11/01/2008 12.00,"3,61228","19,155275","23,44322","0,267276",
11/01/2008 13.00,"3,349402","10,266162",,"0,277318",
11/01/2008 14.00,"3,13432","9,932616","11,72161","0,261554",
11/01/2008 15.00,"1,908167","10,194776",,"0,210981",
11/01/2008 16.00,"0,780915","11,856051","5,372406","0,186513",
11/01/2008 17.00,"0,590098","17,113734",,"0,237106","0,273763"
11/01/2008 18.00,"0,538257","27,465554","13,67521","0,299084","0,321298"
11/01/2008 19.00,"0,400384","21,352565",,"0,39051","0,731283"
11/01/2008 20.00,"0,381633","21,995036","21,001221","0,377146","0,691011"
