NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
15/06/2008 11.00,"2,22872806",
15/06/2008 12.00,"2,47557497",
15/06/2008 13.00,"2,16657209",
15/06/2008 14.00,"2,56791997",
15/06/2008 15.00,"2,75616288",
15/06/2008 16.00,"2,20208907",
15/06/2008 17.00,"2,34060788",
15/06/2008 18.00,"2,03515697",
15/06/2008 19.00,"2,44183302",
15/06/2008 20.00,"2,36724591",
15/06/2008 21.00,"2,12217498",
15/06/2008 22.00,"2,24115896",
15/06/2008 23.00,"2,42584991",
16/06/2008 0.00,"2,04225993",
16/06/2008 1.00,,
16/06/2008 2.00,"2,15236497",
16/06/2008 3.00,"2,30153799",
16/06/2008 4.00,"2,35481501",
16/06/2008 5.00,"1,96944904",
16/06/2008 6.00,"2,40986705",
16/06/2008 7.00,"2,02982903",
16/06/2008 8.00,"2,16124392",
16/06/2008 9.00,"2,21807194",
16/06/2008 10.00,"2,48267794",
16/06/2008 11.00,"2,80233598",
16/06/2008 12.00,"3,65653396",
16/06/2008 13.00,"2,78635311",
16/06/2008 14.00,"2,18432999",
16/06/2008 15.00,"2,20564103",
16/06/2008 16.00,"2,75971508",
16/06/2008 17.00,"2,329952",
16/06/2008 18.00,"2,67092109",
16/06/2008 19.00,"2,32462502",
16/06/2008 20.00,"1,79541302",
16/06/2008 21.00,"1,94636297",
16/06/2008 22.00,"2,33172798",
16/06/2008 23.00,"2,17189908",
17/06/2008 0.00,"2,39210796",
17/06/2008 1.00,"2,23050308",
17/06/2008 2.00,"2,39921188",
17/06/2008 3.00,"2,21629596",
17/06/2008 4.00,"2,15946794",
17/06/2008 5.00,"2,79345703",
17/06/2008 6.00,"2,27312398",
17/06/2008 7.00,"2,29443502",
17/06/2008 8.00,"2,10086393",
17/06/2008 9.00,"2,11684704",
17/06/2008 10.00,"2,70288706",
17/06/2008 11.00,"2,10619211",
17/06/2008 12.00,"2,21274495",
17/06/2008 13.00,"2,42229795",
17/06/2008 14.00,"2,31397009",
17/06/2008 15.00,"2,01739812",
17/06/2008 16.00,"1,99075997",
17/06/2008 17.00,"2,40631509",
17/06/2008 18.00,"2,07244992",
17/06/2008 19.00,"1,94813895",
17/06/2008 20.00,"1,752792",
17/06/2008 21.00,"1,80962002",
17/06/2008 22.00,"2,65138602",
17/06/2008 23.00,"2,37435007",
18/06/2008 0.00,"2,7241981",
18/06/2008 1.00,,
18/06/2008 2.00,"1,86112106",
18/06/2008 3.00,"2,4862299",
18/06/2008 4.00,"1,89486206",
18/06/2008 5.00,"2,19853806",
18/06/2008 6.00,"1,94991505",
18/06/2008 7.00,"2,13460588",
18/06/2008 8.00,"2,10263991",
18/06/2008 9.00,"2,535954",
18/06/2008 10.00,"2,42584991",
18/06/2008 11.00,"2,47379899",
18/06/2008 12.00,"2,62829995",
18/06/2008 13.00,"2,63362789",
18/06/2008 14.00,"2,61231709",
18/06/2008 15.00,"2,26246905",
18/06/2008 16.00,"2,51464391",
18/06/2008 17.00,"2,01206994",
18/06/2008 18.00,"3,7275691",
18/06/2008 19.00,"4,55157709",
18/06/2008 20.00,"4,35978222",
18/06/2008 21.00,"4,29052305",
18/06/2008 22.00,"4,19107294",
18/06/2008 23.00,"4,05610704",
19/06/2008 0.00,"3,98507094",
19/06/2008 1.00,"4,58354187",
19/06/2008 2.00,"4,4201622",
19/06/2008 3.00,"4,26033306",
19/06/2008 4.00,"4,65990496",
19/06/2008 5.00,"4,01881313",
19/06/2008 6.00,"4,48942089",
19/06/2008 7.00,"4,88188982",
19/06/2008 8.00,"4,26388407",
19/06/2008 9.00,"4,59242201",
19/06/2008 10.00,"4,5373702",
19/06/2008 11.00,"4,50185204",
19/06/2008 12.00,"4,36155701",
19/06/2008 13.00,"4,03479624",
19/06/2008 14.00,"4,20883179",
19/06/2008 15.00,"3,97086406",
19/06/2008 16.00,"3,61746502",
19/06/2008 17.00,"3,74177599",
19/06/2008 18.00,"4,45567894",
19/06/2008 19.00,"4,91030407",
19/06/2008 20.00,"4,52493906",
19/06/2008 21.00,"4,64925003",
19/06/2008 22.00,"4,16088295",
19/06/2008 23.00,"4,56223202",
20/06/2008 0.00,"4,24612617",
20/06/2008 1.00,,
20/06/2008 2.00,"4,24612617",
20/06/2008 3.00,"4,38286781","5,66529173"
20/06/2008 4.00,"4,3118329","4,82513744"
20/06/2008 5.00,"4,4929719","4,14969479"
20/06/2008 6.00,"4,48409319","3,95051006"
20/06/2008 7.00,"5,25837612","4,05010337"
20/06/2008 8.00,"4,75402689","11,16203834"
20/06/2008 9.00,"5,25837612","7,25877524"
20/06/2008 10.00,"4,60130119","4,59658653"
20/06/2008 11.00,"4,97778702","4,23524267"
20/06/2008 12.00,"4,8197341","4,91706943"
20/06/2008 13.00,"4,51961088","3,7806915"
20/06/2008 14.00,"4,65280199","4,19182919"
20/06/2008 15.00,"4,90852785","4,40761563"
20/06/2008 16.00,"4,76823378","3,9658308"
20/06/2008 17.00,"5,01152897","3,52787945"
20/06/2008 18.00,"5,18201399","3,32358593"
20/06/2008 19.00,"5,39511919","3,26357638"
20/06/2008 20.00,"5,08078909","4,15352451"
20/06/2008 21.00,"5,51232719","4,34121821"
20/06/2008 22.00,"4,91207981","3,5470318"
20/06/2008 23.00,"4,64569807","3,96200109"
21/06/2008 0.00,"5,06302977","5,54654608"
21/06/2008 1.00,"5,59756899","6,83742183"
21/06/2008 2.00,"5,58691406","6,43394169"
21/06/2008 3.00,"5,82665682","5,94364023"
21/06/2008 4.00,"5,3542738","6,487569"
21/06/2008 5.00,"5,56205082","6,30370689"
21/06/2008 6.00,"5,82310581","7,09534079"
21/06/2008 7.00,"5,798244","5,29756376"
21/06/2008 8.00,"6,13566017","5,4609982"
21/06/2008 9.00,"5,72543192","5,21457027"
21/06/2008 10.00,"5,71477699","4,84173726"
21/06/2008 11.00,"4,95825291","4,6706415"
21/06/2008 12.00,"5,76627684","4,45485695"
21/06/2008 13.00,"5,14116812","5,01283114"
21/06/2008 14.00,"5,40754986","5,09710182"
21/06/2008 15.00,"5,76627684","4,34249541"
21/06/2008 16.00,"4,92628717","3,89432835"
21/06/2008 17.00,"5,05237389","4,26077913"
21/06/2008 18.00,"4,9884429","4,04754897"
21/06/2008 19.00,"4,88188982","8,35046249"
21/06/2008 20.00,"4,91563177","4,97324926"
21/06/2008 21.00,"4,33847094","3,09248062"
21/06/2008 22.00,"5,69524193","4,91323972"
21/06/2008 23.00,"5,41820478","3,02991668"
22/06/2008 0.00,"4,75935507","2,78987287"
22/06/2008 1.00,,"2,67367973"
22/06/2008 2.00,"5,10742712",
22/06/2008 3.00,"5,12873697","3,49723608"
22/06/2008 4.00,"5,37203312","4,03605794"
22/06/2008 5.00,"5,60289717","3,91858949"
22/06/2008 6.00,"5,20510006","3,94540126"
22/06/2008 7.00,"5,02396011","6,61397596"
22/06/2008 8.00,"6,1516428","14,55967923"
22/06/2008 9.00,"5,66505194","12,42992639"
22/06/2008 10.00,"6,62047482","6,78890144"
22/06/2008 11.00,"5,76805401","5,5503758"
22/06/2008 12.00,"6,09481478","5,14689942"
22/06/2008 13.00,"5,63841391","4,83662847"
22/06/2008 14.00,"5,99891806","4,79832378"
22/06/2008 15.00,"5,42886114","4,07436262"
22/06/2008 16.00,"5,82133007","4,45868854"
22/06/2008 17.00,"5,26370382","4,93111298"
22/06/2008 18.00,"4,9884429","5,53888477"
22/06/2008 19.00,"5,52475786","5,20946336"
22/06/2008 20.00,"4,95825291","6,4007458"
22/06/2008 21.00,"4,96002913","5,60145059"
22/06/2008 22.00,"5,004426","5,4175866"
22/06/2008 23.00,"5,02751207","8,89183875"
23/06/2008 0.00,"5,26548004","4,2901453"
23/06/2008 1.00,"4,656353","2,97373497"
23/06/2008 2.00,"4,65990496","2,76688893"
23/06/2008 3.00,"4,56578398","2,84860521"
23/06/2008 4.00,"4,69897509","2,62388402"
23/06/2008 5.00,"5,1003232","2,93543029"
23/06/2008 6.00,"4,622612","2,9839488"
23/06/2008 7.00,"5,1003232","2,37107198"
23/06/2008 8.00,"4,79664803","7,66608134"
23/06/2008 9.00,"5,33651495","11,67787437"
23/06/2008 10.00,"5,2015481","17,00097647"
23/06/2008 11.00,"5,01685715","9,66049059"
23/06/2008 12.00,"5,75029516","6,15304067"
23/06/2008 13.00,"5,20865202","5,09199491"
23/06/2008 14.00,"4,80552721","3,96455549"
23/06/2008 15.00,"5,3578248","4,0564856"
23/06/2008 16.00,"4,69187117","4,03478074"
23/06/2008 17.00,"4,69187117","4,54040483"
23/06/2008 18.00,"4,90852785","5,51973243"
23/06/2008 19.00,"4,86235523","4,25567221"
23/06/2008 20.00,"4,60485315","4,77023293"
23/06/2008 21.00,"4,71318102","5,19924765"
23/06/2008 22.00,"5,18734121","5,80574224"
23/06/2008 23.00,"4,59242201","8,70414504"
24/06/2008 0.00,"4,68831921","4,15352451"
24/06/2008 1.00,,"3,2214401"
24/06/2008 2.00,"4,41660976",
24/06/2008 3.00,"4,43259287","3,78963001"
24/06/2008 4.00,"4,51605892","3,36444501"
24/06/2008 5.00,"4,90142488","3,06311257"
24/06/2008 6.00,"4,84992409","3,15887616"
24/06/2008 7.00,"4,8357172","4,02839474"
24/06/2008 8.00,"4,95647717","8,65562653"
24/06/2008 9.00,"4,65457821","10,27846868"
24/06/2008 10.00,"5,22463512","9,57366551"
24/06/2008 11.00,"6,70394087","23,27402682"
24/06/2008 12.00,"6,24043703","8,79224732"
24/06/2008 13.00,"5,87460613","4,56849568"
24/06/2008 14.00,"5,28678989","3,85602555"
24/06/2008 15.00,"5,29211807","4,42293638"
24/06/2008 16.00,"5,34006596","5,58612797"
24/06/2008 17.00,"5,29744577","3,86113246"
24/06/2008 18.00,"5,36670494","4,81620081"
24/06/2008 19.00,"5,65439701","17,03161796"
24/06/2008 20.00,"5,34184313","6,95999532"
24/06/2008 21.00,"5,12340879","9,04761188"
24/06/2008 22.00,"5,02751207","6,63568082"
24/06/2008 23.00,"4,85525179","5,03198348"
25/06/2008 0.00,"4,90852785","2,99161012"
25/06/2008 1.00,"4,78244114","2,8013639"
25/06/2008 2.00,"4,48586893","2,80902521"
25/06/2008 3.00,"4,89609718","3,71302064"
25/06/2008 4.00,"4,96358109","3,16781279"
25/06/2008 5.00,"4,53204203","2,97118246"
25/06/2008 6.00,"5,07546091","2,99288732"
25/06/2008 7.00,"4,64392185","2,7502891"
25/06/2008 8.00,"4,54269695","10,05630377"
25/06/2008 9.00,"4,79664803","7,65459219"
25/06/2008 10.00,"4,505404","6,75570367"
25/06/2008 11.00,"4,82328606","5,06773565"
25/06/2008 12.00,"4,83216476","4,39995432"
25/06/2008 13.00,"5,18201399","4,09351496"
25/06/2008 14.00,"4,9032011","3,66066865"
25/06/2008 15.00,"4,48942089","3,34529267"
25/06/2008 16.00,"4,5675602","3,57767517"
25/06/2008 17.00,"4,73804379","3,7781371"
25/06/2008 18.00,"5,12696123","4,84301258"
25/06/2008 19.00,"5,22818613","4,67830282"
25/06/2008 20.00,"5,23529005","4,12032862"
25/06/2008 21.00,"4,91385603","2,59834757"
25/06/2008 22.00,"4,83926916","3,94795566"
25/06/2008 23.00,"5,39334297","4,25694941"
26/06/2008 0.00,"5,14649582","11,0688235"
26/06/2008 1.00,,"3,32230873"
26/06/2008 2.00,"4,91385603",
26/06/2008 3.00,"6,0113492","3,60576602"
26/06/2008 4.00,"5,51943016","3,10652605"
26/06/2008 5.00,"4,94759798","5,67550556"
26/06/2008 6.00,"5,62420702","4,75491218"
26/06/2008 7.00,"5,28501511","3,95051006"
26/06/2008 8.00,"5,38801479","4,71022339"
26/06/2008 9.00,"5,98826218","8,69903813"
26/06/2008 10.00,"5,72010517","18,41442382"
26/06/2008 11.00,"5,92255497","10,94114687"
26/06/2008 12.00,"6,58140612","15,88757683"
26/06/2008 13.00,"5,8870368","5,52611654"
26/06/2008 14.00,"5,8479681","4,82513744"
26/06/2008 15.00,"5,2068758","4,05265588"
26/06/2008 16.00,"5,67570782","3,36699752"
26/06/2008 17.00,"5,12873697","3,16781279"
26/06/2008 18.00,"5,58513784","4,47656369"
26/06/2008 19.00,"5,63308716","12,95214654"
26/06/2008 20.00,"5,2175312","14,00936823"
26/06/2008 21.00,"5,37203312","7,78227447"
26/06/2008 22.00,"4,93339109","6,36243924"
26/06/2008 23.00,"5,11097813","4,75363499"
27/06/2008 0.00,"4,90142488","4,69873048"
27/06/2008 1.00,"4,81440592","7,07746377"
27/06/2008 2.00,"4,8747859","5,70359642"
27/06/2008 3.00,"4,41660976","4,61446168"
27/06/2008 4.00,"4,50718021","4,14714227"
27/06/2008 5.00,"4,23902178","4,21609033"
27/06/2008 6.00,"4,5675602","4,46251826"
27/06/2008 7.00,"4,41483402","4,88770138"
27/06/2008 8.00,"4,4929719","4,37697038"
27/06/2008 9.00,"4,39885092","11,99835727"
27/06/2008 10.00,"4,91207981","11,82726904"
27/06/2008 11.00,"4,51073122","5,51973243"
27/06/2008 12.00,"4,78066492","4,96686515"
27/06/2008 13.00,"4,31716108","4,91579223"
27/06/2008 14.00,"4,61373186","5,02559937"
27/06/2008 15.00,"4,79131985","4,28759278"
27/06/2008 16.00,"4,97245979","4,34632701"
27/06/2008 17.00,"4,56933498","4,78044864"
27/06/2008 18.00,"4,773561","5,3192705"
27/06/2008 19.00,"5,23706579","8,74117441"
27/06/2008 20.00,"4,90142488","8,00827286"
27/06/2008 21.00,"4,92273521","9,76135921"
27/06/2008 22.00,"4,66700888","8,11297308"
27/06/2008 23.00,"5,30632496","6,75442647"
28/06/2008 0.00,"4,31716108","8,79352264"
28/06/2008 1.00,,"6,54630511"
28/06/2008 2.00,"4,30472898",
28/06/2008 3.00,"4,02414083","7,9840136"
28/06/2008 4.00,"4,46100712","4,17906096"
28/06/2008 5.00,"3,64232707","3,6913139"
28/06/2008 6.00,"4,1786418","3,967108"
28/06/2008 7.00,"4,10227919","7,01873142"
28/06/2008 8.00,"4,60662889","9,79200446"
28/06/2008 9.00,"4,82328606","10,91177693"
28/06/2008 10.00,"4,84637308","5,71381213"
28/06/2008 11.00,"4,33314419","14,16003257"
28/06/2008 12.00,"4,96002913","14,33878588"
28/06/2008 13.00,"4,47876501","5,5542074"
28/06/2008 14.00,"5,17135811","4,79321687"
28/06/2008 15.00,"4,8357172","4,50592986"
28/06/2008 16.00,"4,68831921","4,77278733"
28/06/2008 17.00,"4,85702801","4,06159439"
28/06/2008 18.00,"4,59419823","3,48957477"
28/06/2008 19.00,"4,48231697","3,38742895"
28/06/2008 20.00,"4,32426405","10,10481853"
28/06/2008 21.00,"5,52298212","8,05168634"
28/06/2008 22.00,"4,58176708","5,3167161"
28/06/2008 23.00,"4,358006","4,42804329"
29/06/2008 0.00,"4,97068405","4,0143512"
29/06/2008 1.00,"4,54624891","3,46531363"
29/06/2008 2.00,"4,5213871","6,97787234"
29/06/2008 3.00,"4,85169983","6,2079433"
29/06/2008 4.00,"4,33136702","4,46890237"
29/06/2008 5.00,"4,36866093","4,61318448"
29/06/2008 6.00,"4,11470985","4,68340973"
29/06/2008 7.00,"3,81813908","4,00796708"
29/06/2008 8.00,"3,78617311","3,97476932"
29/06/2008 9.00,"4,15200377","13,74506516"
29/06/2008 10.00,"3,82346606","7,43114632"
29/06/2008 11.00,"3,84300089","6,09175205"
29/06/2008 12.00,"3,99750304","4,64765756"
29/06/2008 13.00,"4,2567811","4,86854904"
29/06/2008 14.00,"4,84282112","4,90046961"
29/06/2008 15.00,"5,41643","4,02584223"
29/06/2008 16.00,"4,44147205","3,67726847"
29/06/2008 17.00,"4,86945915","4,55189585"
29/06/2008 18.00,"4,58531809","3,91603509"
29/06/2008 19.00,"4,78066492","3,65173202"
29/06/2008 20.00,"5,07546091","4,55189585"
29/06/2008 21.00,"5,00620079","5,54271637"
29/06/2008 22.00,"4,61728382","6,2985981"
29/06/2008 23.00,"4,76468182","5,126468"
30/06/2008 0.00,"4,12003803","4,09479216"
30/06/2008 1.00,,"3,05672846"
30/06/2008 2.00,"4,27809095",
30/06/2008 3.00,"4,43614388","3,14866045"
30/06/2008 4.00,"4,57821512","2,78731847"
30/06/2008 5.00,"4,46100712","2,64175916"
30/06/2008 6.00,"4,78421688","2,83839138"
30/06/2008 7.00,"4,70074987","3,75132344"
30/06/2008 8.00,"5,06302977","6,32668895"
30/06/2008 9.00,"4,99909782","9,99374171"
30/06/2008 10.00,"4,96713209","8,85098155"
30/06/2008 11.00,"5,37380791","6,34456409"
30/06/2008 12.00,"5,2477212","3,64151819"
30/06/2008 13.00,"4,82683802","3,80750515"
30/06/2008 14.00,"5,24239302","3,81005955"
30/06/2008 15.00,"4,9369421","3,97732371"
30/06/2008 16.00,"5,25837612","4,26205633"
30/06/2008 17.00,"5,43596411","4,40378403"
30/06/2008 18.00,"5,23706579","4,57743231"
30/06/2008 19.00,"5,31520414","3,66705464"
30/06/2008 20.00,"5,32763481","5,14689942"
30/06/2008 21.00,"4,88899422","9,54685185"
30/06/2008 22.00,"4,5675602","8,70925196"
30/06/2008 23.00,"3,98684692",
01/07/2008 0.00,"3,73644805",
01/07/2008 1.00,"3,471843",
01/07/2008 2.00,"3,727569",
01/07/2008 3.00,"4,532042",
01/07/2008 4.00,"4,52849",
01/07/2008 5.00,"4,194625",
01/07/2008 6.00,"4,704302",
01/07/2008 7.00,"4,423713",
01/07/2008 8.00,"4,405954",
01/07/2008 9.00,"4,606629",
01/07/2008 10.00,"5,031064",
01/07/2008 11.00,"5,901244",
01/07/2008 12.00,"5,844416",
01/07/2008 13.00,"6,439335",
01/07/2008 14.00,"8,254283",
01/07/2008 15.00,"8,783495",
01/07/2008 16.00,"8,398129",
01/07/2008 17.00,"7,686002",
01/07/2008 18.00,"4,867683",
01/07/2008 19.00,"3,296031",
01/07/2008 20.00,"5,730313",
01/07/2008 21.00,"6,439335",
01/07/2008 22.00,"6,37718",
01/07/2008 23.00,"6,306145",
02/07/2008 0.00,"6,185385",
02/07/2008 1.00,,
02/07/2008 2.00,"6,33811",
02/07/2008 3.00,"6,57075",
02/07/2008 4.00,"6,265299",
02/07/2008 5.00,"6,336335",
02/07/2008 6.00,"6,370076",
02/07/2008 7.00,"5,737864",
02/07/2008 8.00,"6,210247",
02/07/2008 9.00,"5,306325",
02/07/2008 10.00,"6,641786",
02/07/2008 11.00,"6,18716",
02/07/2008 12.00,"6,128557",
02/07/2008 13.00,"6,228006",
02/07/2008 14.00,"6,139212",
02/07/2008 15.00,"6,373628",
02/07/2008 16.00,"5,99359",
02/07/2008 17.00,"5,940314",
02/07/2008 18.00,"5,524758",
02/07/2008 19.00,"5,654397",
02/07/2008 20.00,"5,585138",
02/07/2008 21.00,"5,984711",
02/07/2008 22.00,"5,03284",
02/07/2008 23.00,"5,251273",
03/07/2008 0.00,"4,830389",
03/07/2008 1.00,"5,194445",
03/07/2008 2.00,"5,613552",
03/07/2008 3.00,"5,69169",
03/07/2008 4.00,"5,714777",
03/07/2008 5.00,"5,560276",
03/07/2008 6.00,"5,40755",
03/07/2008 7.00,"5,505223",
03/07/2008 8.00,"5,734312",
03/07/2008 9.00,"5,686363",
03/07/2008 10.00,"5,78226",
03/07/2008 11.00,"5,562051",
03/07/2008 12.00,"5,457274",
03/07/2008 13.00,"5,659725",
03/07/2008 14.00,"5,171358",
03/07/2008 15.00,"5,666828",
03/07/2008 16.00,"5,079012",
03/07/2008 17.00,"5,611776",
03/07/2008 18.00,"5,524758",
03/07/2008 19.00,"5,906572",
03/07/2008 20.00,"5,936762",
03/07/2008 21.00,"5,817778",
03/07/2008 22.00,"5,309877",
03/07/2008 23.00,"5,578034",
04/07/2008 0.00,"4,963581",
04/07/2008 1.00,,
04/07/2008 2.00,"5,22641",
04/07/2008 3.00,"5,027512",
04/07/2008 4.00,"5,126961",
04/07/2008 5.00,"5,297446",
04/07/2008 6.00,"5,357825",
04/07/2008 7.00,"5,048822",
04/07/2008 8.00,"5,070133",
04/07/2008 9.00,"5,190893",
04/07/2008 10.00,"5,713001",
04/07/2008 11.00,"5,412878",
04/07/2008 12.00,"4,775337",
04/07/2008 13.00,"5,487464",
04/07/2008 14.00,"5,52831",
04/07/2008 15.00,"5,515879",
04/07/2008 16.00,"5,816002",
04/07/2008 17.00,"5,883485","5,810849"
04/07/2008 18.00,"6,210247","4,973249"
04/07/2008 19.00,"6,052194","4,952822"
04/07/2008 20.00,"5,574482","5,568253"
04/07/2008 21.00,"5,773381","5,356298"
04/07/2008 22.00,"5,546069","7,662254"
04/07/2008 23.00,"5,151824","7,40561"
05/07/2008 0.00,"5,341843","6,1773"
05/07/2008 1.00,"5,389791","4,871103"
05/07/2008 2.00,"5,405774","4,774064"
05/07/2008 3.00,"5,427085","5,452062"
05/07/2008 4.00,"5,05415","5,420141"
05/07/2008 5.00,"5,538965","5,762331"
05/07/2008 6.00,"6,020228","6,12878"
05/07/2008 7.00,"5,359601","13,455226"
05/07/2008 8.00,"5,702346","10,943697"
05/07/2008 9.00,"5,247721","12,274157"
05/07/2008 10.00,"5,677484","19,166469"
05/07/2008 11.00,"5,94209","6,694415"
05/07/2008 12.00,"5,78226","5,587405"
05/07/2008 13.00,"5,90302","5,024324"
05/07/2008 14.00,"6,140988","4,786833"
05/07/2008 15.00,"5,895916","3,899437"
05/07/2008 16.00,"4,968908","3,77686"
05/07/2008 17.00,"5,293894","3,72068"
05/07/2008 18.00,"5,755622","4,088406"
05/07/2008 19.00,"5,304549","4,244179"
05/07/2008 20.00,"5,72188","4,744697"
05/07/2008 21.00,"5,576259","4,864719"
05/07/2008 22.00,"5,824882","4,448473"
05/07/2008 23.00,"5,150048","3,779414"
06/07/2008 0.00,"5,173134","3,646625"
06/07/2008 1.00,,"3,947956"
06/07/2008 2.00,"5,075461",
06/07/2008 3.00,"5,743191","4,707669"
06/07/2008 4.00,"6,014901","3,870069"
06/07/2008 5.00,"6,043314","4,491886"
06/07/2008 6.00,"5,480361","3,764094"
06/07/2008 7.00,"5,393343","3,444886"
06/07/2008 8.00,"5,689915","3,909651"
06/07/2008 9.00,"5,780485","4,800878"
06/07/2008 10.00,"5,28679","5,16605"
06/07/2008 11.00,"5,215755","4,433152"
06/07/2008 12.00,"5,835537","5,116254"
06/07/2008 13.00,"5,69169","4,3974"
06/07/2008 14.00,"5,183789","5,126468"
06/07/2008 15.00,"5,831985","4,235243"
06/07/2008 16.00,"5,535413","4,221197"
06/07/2008 17.00,"5,572707","4,055209"
06/07/2008 18.00,"5,901244","3,79346"
06/07/2008 19.00,"5,594018","3,956894"
06/07/2008 20.00,"5,379136","5,086888"
06/07/2008 21.00,"5,403998","3,988815"
06/07/2008 22.00,"6,062849","2,61367"
06/07/2008 23.00,"5,489241","3,328695"
07/07/2008 0.00,"5,899468","4,11522"
07/07/2008 1.00,"5,85152",
07/07/2008 2.00,"6,320352",
07/07/2008 3.00,"6,158747",
07/07/2008 4.00,"6,78208",
07/07/2008 5.00,"6,039763",
07/07/2008 6.00,"6,39849",
07/07/2008 7.00,"6,199592",
07/07/2008 8.00,"5,801795",
07/07/2008 9.00,"5,975831",
07/07/2008 10.00,"5,757398",
07/07/2008 11.00,"6,078832",
07/07/2008 12.00,"6,192488",
07/07/2008 13.00,"6,228006",
07/07/2008 14.00,"6,281282",
07/07/2008 15.00,"6,174729",
07/07/2008 16.00,"6,167626",
07/07/2008 17.00,"6,258196",
07/07/2008 18.00,"5,61",
07/07/2008 19.00,"6,219127",
07/07/2008 20.00,"6,236886",
07/07/2008 21.00,"5,922555",
07/07/2008 22.00,"5,713001",
07/07/2008 23.00,"5,613552",
08/07/2008 0.00,"5,737864",
08/07/2008 1.00,,
08/07/2008 2.00,"6,300817",
08/07/2008 3.00,"5,393343",
08/07/2008 4.00,"6,043314",
08/07/2008 5.00,"6,041539",
08/07/2008 6.00,"5,849744",
08/07/2008 7.00,"5,762726",
08/07/2008 8.00,"5,915451",
08/07/2008 9.00,"6,059298","4,743421"
08/07/2008 10.00,"5,608224","4,61063"
08/07/2008 11.00,"6,302593","5,103486"
08/07/2008 12.00,"6,130332","9,615802"
08/07/2008 13.00,"5,585138","5,084334"
08/07/2008 14.00,"6,11435","5,086888"
08/07/2008 15.00,"5,997142","3,90199"
08/07/2008 16.00,"5,672156","4,162463"
08/07/2008 17.00,"5,569155","3,859855"
08/07/2008 18.00,"5,876382","3,653007"
08/07/2008 19.00,"5,837313","3,592998"
08/07/2008 20.00,"5,562051","5,209463"
08/07/2008 21.00,"6,522802","5,587405"
08/07/2008 22.00,"5,553172","7,376242"
08/07/2008 23.00,"5,267256","6,275616"
09/07/2008 0.00,"6,057521","5,431632"
09/07/2008 1.00,"5,526534","4,468903"
09/07/2008 2.00,"5,007977","4,329729"
09/07/2008 3.00,"4,819734","3,86624"
09/07/2008 4.00,"5,153599","4,297807"
09/07/2008 5.00,"4,682992","4,196938"
09/07/2008 6.00,"4,681216","4,359095"
09/07/2008 7.00,"5,082564","4,26844"
09/07/2008 8.00,"5,521206","4,267163"
09/07/2008 9.00,"5,641966","5,0256"
09/07/2008 10.00,"5,563828","4,394846"
09/07/2008 11.00,"5,590466","5,280966"
09/07/2008 12.00,"5,237066","5,60911"
09/07/2008 13.00,"6,064625","4,968142"
09/07/2008 14.00,"5,725432","4,84429"
09/07/2008 15.00,"5,908348","3,97477"
09/07/2008 16.00,"5,764502","3,940294"
09/07/2008 17.00,"5,469706","4,097345"
09/07/2008 18.00,"5,546069","3,698973"
09/07/2008 19.00,"5,76095","4,175231"
09/07/2008 20.00,"5,615328","4,130543"
09/07/2008 21.00,"6,572526","4,700008"
09/07/2008 22.00,"5,538965","3,736003"
09/07/2008 23.00,"6,320352","3,889222"
10/07/2008 0.00,"5,869278","3,863685"
10/07/2008 1.00,,"3,142276"
10/07/2008 2.00,"5,849744",
10/07/2008 3.00,"5,743191","4,154802"
10/07/2008 4.00,"6,426904","3,508727"
10/07/2008 5.00,"6,318576","3,130785"
10/07/2008 6.00,"6,476629","5,123915"
10/07/2008 7.00,"6,238661","4,02329"
10/07/2008 8.00,"6,727028","4,961758"
10/07/2008 9.00,"6,572526","5,358852"
10/07/2008 10.00,"6,34699","6,587162"
10/07/2008 11.00,"6,615148","5,011554"
10/07/2008 12.00,"6,02378","5,883629"
10/07/2008 13.00,"6,148091","5,749563"
10/07/2008 14.00,"6,556543","5,23117"
10/07/2008 15.00,"6,471301","4,036058"
10/07/2008 16.00,"6,735907","3,725787"
10/07/2008 17.00,"5,633087","3,066944"
10/07/2008 18.00,"6,949013","4,106283"
10/07/2008 19.00,"6,302593","4,099899"
10/07/2008 20.00,"6,142764","4,738315"
10/07/2008 21.00,"6,274179","4,536573"
10/07/2008 22.00,"6,119678","4,246734"
10/07/2008 23.00,"6,434008","4,94899"
11/07/2008 0.00,"6,259972","4,179061"
11/07/2008 1.00,"6,57963","8,184476"
11/07/2008 2.00,"6,945461","7,855055"
11/07/2008 3.00,"6,560095","3,562355"
11/07/2008 4.00,"6,066401","3,197179"
11/07/2008 5.00,"6,686182","3,111633"
11/07/2008 6.00,"6,897512","2,779657"
11/07/2008 7.00,"7,19586","2,654527"
11/07/2008 8.00,"7,09641","7,331555"
11/07/2008 9.00,"6,638234","8,075946"
11/07/2008 10.00,"7,174549","6,251357"
11/07/2008 11.00,"7,011168","4,434429"
11/07/2008 12.00,"6,57075","4,499546"
11/07/2008 13.00,"6,405594","4,922176"
11/07/2008 14.00,"6,039763","4,802155"
11/07/2008 15.00,"6,48906","4,671919"
11/07/2008 16.00,"6,366524","4,149695"
11/07/2008 17.00,"6,091263","4,438257"
11/07/2008 18.00,"6,806942","4,359095"
11/07/2008 19.00,"5,839088","4,133097"
