NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
11/01/2008 16.00,"8,84565067","26,29756503"
11/01/2008 17.00,"8,61123466","22,09552389"
11/01/2008 18.00,"8,30400753","16,11868589"
11/01/2008 19.00,"8,54907894","8,65945625"
11/01/2008 20.00,"7,78722715","12,29331124"
11/01/2008 21.00,"7,84050417","17,00736058"
11/01/2008 22.00,"7,66824293","15,27980692"
11/01/2008 23.00,"8,10333347","7,90484983"
12/01/2008 0.00,"7,86891699","7,33155489"
12/01/2008 1.00,,"6,61397596"
12/01/2008 2.00,"8,12464428",
12/01/2008 3.00,"8,08735085","5,47504363"
12/01/2008 4.00,"7,89378023","4,73065293"
12/01/2008 5.00,"7,41429281","4,73320544"
12/01/2008 6.00,"7,61496687","4,26333353"
12/01/2008 7.00,"7,62739801","3,5904434"
12/01/2008 8.00,"7,32549906","4,34377261"
12/01/2008 9.00,"7,56346703","3,55086339"
12/01/2008 10.00,"7,68244982","4,88642606"
12/01/2008 11.00,"8,15838623","5,91427218"
12/01/2008 12.00,"8,05716038","6,81443789"
12/01/2008 13.00,"8,79770184","9,31191495"
12/01/2008 14.00,"9,70517635","30,26211111"
12/01/2008 15.00,"9,72293472","7,8959132"
12/01/2008 16.00,"8,9291172","6,36116392"
12/01/2008 17.00,"9,20437813","6,09686085"
12/01/2008 18.00,"8,84032345","9,39746471"
12/01/2008 19.00,"8,94154835","8,81139778"
12/01/2008 20.00,"7,94705582","6,83614463"
12/01/2008 21.00,"7,85293484","6,70590796"
12/01/2008 22.00,"8,15483379","5,5529302"
12/01/2008 23.00,"7,71796799","4,87238063"
13/01/2008 0.00,"7,88490105","4,392293"
13/01/2008 1.00,"7,70731306","4,92217635"
13/01/2008 2.00,"7,14258289","3,27889713"
13/01/2008 3.00,"7,79610682","2,56004288"
13/01/2008 4.00,"7,73927784","2,7515663"
13/01/2008 5.00,"7,30951595","2,45023574"
13/01/2008 6.00,"7,61319113","2,12591937"
13/01/2008 7.00,"7,90976286","2,27275587"
13/01/2008 8.00,"7,4444828","4,86344212"
13/01/2008 9.00,"7,02715111","10,18398229"
13/01/2008 10.00,"7,02537489","7,7503539"
13/01/2008 11.00,"7,55281115","5,68061248"
13/01/2008 12.00,"8,40700912","3,45254729"
13/01/2008 13.00,"8,15660954","3,25208347"
13/01/2008 14.00,"8,3999052","3,63768659"
13/01/2008 15.00,"7,73217487","10,61044826"
