,ARPA Puglia,,,,
,Baldassarre,,,,
Parm,SO2,NO2,,,PM10


11/01/2008 6.00,"3,7198689","7,50009625",,,
11/01/2008 7.00,"4,14695787","8,61476745",,,
11/01/2008 8.00,"2,71525311","11,51316273",,,
11/01/2008 9.00,"0,88665998","10,37933731",,,
11/01/2008 10.00,"1,09037495","11,25524377",,,
11/01/2008 11.00,"0,008263","27,49521654",,,
11/01/2008 12.00,"0,011112","29,63391354",,,
11/01/2008 13.00,"0,043307","15,54922255",,,
11/01/2008 14.00,"0,036469","10,86453374",,,
11/01/2008 15.00,"0,138469","8,15255496",,,
11/01/2008 16.00,"0,30571499","9,36426506",,,
11/01/2008 17.00,"1,55079997","10,62448616",,,
11/01/2008 18.00,"2,75998497","18,05308372",,,
11/01/2008 19.00,"4,00962877","20,73185532",,,
11/01/2008 20.00,"2,69815898","25,8174774",,,
11/01/2008 21.00,"0,25215101","37,42894683",,,
11/01/2008 22.00,"1,32429194","31,79048004",,,
11/01/2008 23.00,"1,48897302","30,1063455",,,
12/01/2008 0.00,"2,176476","27,47862612",,,
12/01/2008 1.00,,"22,35598596",,,
12/01/2008 2.00,"1,26389098",,,,
12/01/2008 3.00,"3,87632608","13,87402464",,,
12/01/2008 4.00,"5,16235685","11,36504903",,,
12/01/2008 5.00,"5,23365784","8,40153729",,,
12/01/2008 6.00,"5,50545216","7,62394694",,,
12/01/2008 7.00,"5,96630907","8,26108678",,,
12/01/2008 8.00,"7,07438898","16,05102068",,,
12/01/2008 9.00,"7,17776489","17,64194038",,,
12/01/2008 10.00,"6,96239805","15,2606621",,,
12/01/2008 11.00,"6,34745216","17,24740628",,,
12/01/2008 12.00,"6,15732622","12,55506179",,,
12/01/2008 13.00,"3,87000895","10,91432757",,,
12/01/2008 14.00,"3,365762","11,6089282",,,
12/01/2008 15.00,"4,6595459","10,35379897",,,
12/01/2008 16.00,"4,86124516","8,67350167",,,
12/01/2008 17.00,"3,46618104","8,47942385",,,
12/01/2008 18.00,"3,76077509","9,67964293",,,
12/01/2008 19.00,"3,58572412","11,60764724",,,
12/01/2008 20.00,"2,28946996","11,10329847",,,
12/01/2008 21.00,"3,75606489","10,30655766",,,
12/01/2008 22.00,"0,911062","9,55068157",,,
12/01/2008 23.00,"1,22555494","9,25062821",,,
13/01/2008 0.00,"2,62119389","6,51949145",,,
13/01/2008 1.00,"4,99462891","9,10506891",,,
13/01/2008 2.00,"6,23928022","7,35070535",,,
13/01/2008 3.00,"4,655756","8,62753568",,,
13/01/2008 4.00,"4,43843508","9,07315022",,,
13/01/2008 5.00,"2,92089891","6,14793376",,,
13/01/2008 6.00,"3,34569001","7,58564225",,,
13/01/2008 7.00,"6,65399218","5,74573082",,,
